record_id,native-country,sex,race,age
13604,United-States,Male,White,39
13621,United-States,Male,White,33
13623,United-States,Male,White,71
13640,Canada,Female,White,46
13650,United-States,Male,White,45
13651,United-States,Male,White,55
13667,United-States,Female,White,22
13668,United-States,Female,White,64
13679,United-States,Male,White,34
13681,United-States,Male,White,37
1370,United-States,Male,Black,26
13705,United-States,Female,Other,27
13734,United-States,Female,White,27
13746,United-States,Male,White,23
13774,United-States,Male,White,37
1381,United-States,Male,White,23
13874,United-States,Male,White,37
13884,United-States,Male,White,70
13908,United-States,Male,White,30
13909,United-States,Male,White,37
13911,United-States,Male,White,50
13971,?,Male,Asian-Pac-Islander,45
13982,United-States,Male,Black,46
13988,United-States,Male,White,24
13992,United-States,Male,White,31
14000,United-States,Male,White,54
14003,United-States,Male,White,42
14004,United-States,Female,White,60
14016,United-States,Male,White,36
14048,United-States,Male,White,47
14059,United-States,Male,White,20
14075,United-States,Male,White,18
14109,United-States,Male,White,58
14122,United-States,Male,White,31
14139,United-States,Male,White,33
14149,United-States,Male,White,37
14190,United-States,Male,White,69
14191,United-States,Male,Black,50
14262,United-States,Female,White,34
14288,United-States,Male,White,51
14291,United-States,Female,Black,40
14308,United-States,Male,White,45
1431,United-States,Female,White,59
14317,United-States,Female,White,47
14342,United-States,Male,White,36
14355,United-States,Male,White,29
14372,United-States,Male,White,23
1440,United-States,Male,White,50
14481,United-States,Male,White,33
14486,United-States,Female,White,27
14492,United-States,Female,White,22
14506,United-States,Male,White,57
14542,United-States,Male,White,47
14572,South,Male,Asian-Pac-Islander,26
14573,United-States,Male,White,60
14582,?,Male,Asian-Pac-Islander,35
14624,United-States,Male,White,44
14637,United-States,Male,White,31
14639,United-States,Male,White,25
14668,United-States,Male,White,30
14694,United-States,Female,White,47
14712,United-States,Male,White,46
14739,United-States,Female,White,48
14750,United-States,Female,White,44
14759,United-States,Female,White,37
14769,United-States,Male,White,22
14785,United-States,Male,White,17
14809,Italy,Female,White,55
14818,United-States,Male,White,44
14848,United-States,Male,White,33
14879,United-States,Male,White,51
14883,United-States,Male,White,48
14891,United-States,Female,White,26
14912,United-States,Female,White,45
14931,United-States,Male,White,46
14983,United-States,Male,White,47
14987,United-States,Female,White,51
14988,United-States,Female,White,34
14990,Germany,Male,White,52
15060,United-States,Female,White,31
15113,United-States,Female,Black,35
1512,United-States,Male,White,37
15123,United-States,Male,White,30
15203,United-States,Male,White,27
1521,United-States,Female,White,47
15244,United-States,Male,White,49
15307,United-States,Male,White,39
15341,United-States,Male,White,31
15342,Mexico,Male,White,31
15343,United-States,Male,White,46
15361,United-States,Male,White,27
15363,United-States,Male,White,32
1537,United-States,Male,White,43
15399,United-States,Male,White,20
15427,United-States,Male,White,35
15428,United-States,Male,White,20
1543,United-States,Male,White,59
15432,United-States,Male,White,36
15489,United-States,Male,White,45
1551,United-States,Male,White,17
15513,United-States,Male,White,39
15524,United-States,Female,White,43
15554,United-States,Male,White,22
15579,United-States,Male,White,61
1561,United-States,Male,White,45
15636,United-States,Male,White,50
15647,United-States,Male,White,40
15652,United-States,Male,White,56
15654,United-States,Male,White,50
15660,United-States,Male,White,52
15671,United-States,Male,White,39
1569,United-States,Male,White,20
15739,United-States,Male,White,43
15744,United-States,Male,White,47
15750,United-States,Male,White,38
15820,United-States,Female,Amer-Indian-Eskimo,22
15828,Guatemala,Male,White,61
15865,United-States,Female,White,25
15873,United-States,Male,White,58
15903,United-States,Female,Black,26
15963,United-States,Male,White,38
15964,United-States,Female,White,55
1597,United-States,Female,Black,37
15997,United-States,Female,White,68
1601,United-States,Female,White,57
16011,United-States,Female,White,39
16030,United-States,Male,White,24
16041,United-States,Female,Black,23
16062,United-States,Male,White,27
16104,United-States,Male,White,23
16116,United-States,Male,White,41
16138,United-States,Female,White,57
1618,United-States,Male,White,32
16198,United-States,Male,White,70
16269,United-States,Male,White,50
16281,United-States,Male,White,55
16290,United-States,Male,White,21
16299,Mexico,Female,White,22
16314,United-States,Female,Black,52
16358,United-States,Male,White,50
16363,United-States,Male,White,45
16393,United-States,Female,White,32
16421,United-States,Female,White,44
16424,United-States,Male,White,37
16445,United-States,Female,White,52
16476,United-States,Male,White,57
16483,United-States,Male,White,31
16491,United-States,Male,White,25
1651,United-States,Male,White,36
16522,United-States,Female,Black,28
16534,United-States,Male,White,19
16536,United-States,Male,White,33
16550,United-States,Female,Black,28
16575,United-States,Female,White,22
16584,United-States,Female,Black,26
16585,United-States,Male,White,44
16613,United-States,Male,White,53
16616,United-States,Male,White,37
16620,United-States,Female,Asian-Pac-Islander,35
16664,United-States,Male,White,27
16667,United-States,Male,White,45
16671,United-States,Male,White,33
16693,United-States,Male,White,21
16715,United-States,Male,White,41
1673,United-States,Male,White,20
16752,United-States,Male,White,42
16753,United-States,Male,White,29
16760,United-States,Female,White,18
16829,United-States,Male,White,44
16836,United-States,Male,White,44
16849,United-States,Male,White,40
16859,United-States,Female,White,35
16866,United-States,Male,White,48
16900,United-States,Male,White,22
16903,United-States,Male,White,40
16918,Ecuador,Male,White,37
16926,United-States,Female,Black,50
16938,United-States,Male,White,40
16960,United-States,Male,White,62
16988,United-States,Female,White,21
17025,Philippines,Male,Asian-Pac-Islander,29
17037,United-States,Male,White,37
17038,United-States,Female,White,30
17049,United-States,Male,White,50
17076,United-States,Male,White,37
17084,United-States,Male,White,50
17115,United-States,Male,White,51
17136,United-States,Male,Black,50
17153,United-States,Male,White,36
17164,United-States,Male,White,22
17178,United-States,Male,White,22
17191,United-States,Male,Amer-Indian-Eskimo,30
17195,United-States,Female,White,23
17251,United-States,Male,White,34
17265,United-States,Male,White,44
1729,United-States,Male,White,31
17291,United-States,Male,White,42
17317,United-States,Female,White,19
17321,United-States,Male,White,26
17325,United-States,Male,White,28
17345,United-States,Female,White,65
17358,United-States,Male,White,42
17359,United-States,Male,White,33
1736,United-States,Male,White,26
17362,United-States,Male,White,30
17377,United-States,Female,White,51
17456,United-States,Male,White,33
17540,China,Male,Asian-Pac-Islander,48
17579,United-States,Male,White,37
17609,United-States,Male,White,79
17674,United-States,Male,Black,36
17731,United-States,Male,White,26
17741,United-States,Male,White,44
17788,United-States,Female,Black,27
17805,United-States,Female,White,60
17812,United-States,Male,White,36
17815,United-States,Male,White,43
17832,United-States,Female,White,66
17862,United-States,Male,White,33
1791,United-States,Male,White,43
17919,United-States,Male,White,40
17937,United-States,Male,White,52
1799,United-States,Female,White,63
17996,United-States,Male,White,30
18003,United-States,Female,Black,30
18023,United-States,Male,White,63
18024,United-States,Male,White,22
1807,United-States,Male,White,32
18105,United-States,Female,White,25
18134,United-States,Male,White,26
18146,United-States,Male,White,46
18164,United-States,Female,White,36
18219,United-States,Male,White,30
18238,Taiwan,Male,Asian-Pac-Islander,28
18280,United-States,Female,White,65
18297,United-States,Male,White,43
18300,United-States,Male,White,45
18329,United-States,Female,White,39
1834,United-States,Male,White,56
18358,United-States,Male,White,72
18435,Mexico,Male,White,36
18445,United-States,Male,White,36
18510,United-States,Female,White,21
18577,United-States,Female,White,42
18584,United-States,Female,White,33
18610,United-States,Female,Black,52
18633,United-States,Male,White,36
18649,United-States,Female,White,66
18659,United-States,Male,Black,29
18691,United-States,Male,Amer-Indian-Eskimo,51
18729,United-States,Male,White,37
18731,United-States,Male,White,28
18775,Mexico,Male,White,21
18778,United-States,Male,White,36
18806,United-States,Male,White,56
18824,United-States,Female,White,25
18836,United-States,Female,White,19
18848,United-States,Male,White,35
18893,United-States,Male,White,53
18911,United-States,Male,White,52
18958,United-States,Female,White,52
18960,United-States,Male,White,45
18969,United-States,Female,White,37
18977,United-States,Male,White,37
18979,United-States,Male,White,44
19017,United-States,Male,White,33
19030,United-States,Male,White,21
19049,United-States,Male,White,28
19053,United-States,Male,White,27
19078,United-States,Female,White,60
19109,United-States,Female,White,18
19173,United-States,Male,White,17
19190,United-States,Male,White,17
19195,United-States,Female,White,62
19236,United-States,Female,White,17
19239,United-States,Male,White,20
19318,United-States,Male,White,24
19354,United-States,Female,White,60
19363,United-States,Male,White,32
19389,United-States,Male,White,31
19422,United-States,Female,White,41
19430,United-States,Male,White,19
1944,United-States,Female,White,18
19450,United-States,Male,White,44
19454,United-States,Male,White,31
19536,United-States,Male,Other,43
19546,United-States,Male,White,28
19550,United-States,Male,White,38
19553,United-States,Male,White,52
19561,Philippines,Male,Asian-Pac-Islander,29
19600,United-States,Female,White,57
1964,United-States,Male,White,28
19660,United-States,Male,White,49
1967,United-States,Female,Black,28
19679,United-States,Male,White,22
19732,United-States,Male,White,24
19747,United-States,Male,White,90
19785,United-States,Male,White,30
19792,United-States,Male,White,50
19843,United-States,Female,White,40
19867,United-States,Male,White,32
19903,United-States,Male,White,18
19910,United-States,Male,White,36
19932,United-States,Male,White,39
19945,United-States,Female,White,56
19949,Germany,Male,White,48
19968,United-States,Male,White,45
19982,United-States,Male,White,30
19998,United-States,Male,White,54
20094,United-States,Male,Black,21
20166,United-States,Male,Asian-Pac-Islander,27
20199,United-States,Male,Black,25
20203,?,Male,White,22
20220,United-States,Female,Black,37
20285,United-States,Male,White,70
20292,Japan,Female,Asian-Pac-Islander,40
20296,United-States,Female,White,20
20298,United-States,Male,White,41
20384,United-States,Female,Black,35
20386,United-States,Male,White,40
20400,United-States,Female,White,24
20402,United-States,Female,White,26
20420,Ireland,Male,White,35
20427,United-States,Male,Black,54
20502,United-States,Female,White,52
20505,United-States,Male,White,49
20541,United-States,Male,White,52
2060,United-States,Female,Asian-Pac-Islander,47
20601,United-States,Female,White,39
20614,United-States,Female,Black,27
20635,United-States,Male,White,46
20651,United-States,Male,White,56
20661,United-States,Male,White,58
20669,United-States,Male,White,20
20678,United-States,Male,White,18
20689,United-States,Male,White,37
20707,United-States,Male,White,20
20717,United-States,Male,White,24
20734,United-States,Male,White,40
20735,United-States,Female,White,37
2075,United-States,Male,Black,25
20751,United-States,Male,White,36
208,United-States,Female,White,58
20845,United-States,Male,White,36
20860,United-States,Male,White,45
20873,United-States,Male,White,47
20884,United-States,Male,Black,47
20912,United-States,Male,White,42
20927,United-States,Male,White,25
20950,United-States,Female,White,38
20979,United-States,Female,White,28
20987,United-States,Male,White,52
21005,United-States,Male,White,51
21008,United-States,Female,White,23
21035,United-States,Male,White,25
21082,United-States,Female,Black,29
21093,United-States,Female,Black,36
21118,United-States,Male,White,20
21132,United-States,Male,White,45
21138,United-States,Male,White,28
21163,United-States,Male,White,42
21168,United-States,Male,White,43
21197,United-States,Male,White,27
2120,United-States,Female,White,42
21261,United-States,Male,White,45
21278,United-States,Female,White,19
21295,United-States,Male,White,23
21308,United-States,Female,White,18
21309,United-States,Male,White,41
21326,United-States,Female,White,20
21361,United-States,Male,White,41
21364,United-States,Male,White,49
21384,United-States,Male,White,26
21460,United-States,Male,White,18
21477,United-States,Male,Black,25
2154,United-States,Female,White,75
21549,United-States,Female,White,20
21569,France,Male,White,31
21577,United-States,Male,White,37
21646,United-States,Female,Black,46
21696,United-States,Male,Black,37
21699,United-States,Female,White,43
21705,Taiwan,Female,Asian-Pac-Islander,35
21709,United-States,Male,White,25
21756,United-States,Male,White,25
21768,United-States,Female,White,52
21796,United-States,Male,White,40
21828,United-States,Male,White,57
21866,United-States,Male,Black,35
21871,United-States,Male,White,52
21920,United-States,Male,White,63
21934,United-States,Female,White,65
21945,United-States,Female,White,34
21946,United-States,Male,Black,30
21983,United-States,Male,White,35
22008,United-States,Male,White,42
22029,South,Male,Asian-Pac-Islander,23
22043,United-States,Female,White,18
22052,United-States,Male,White,52
22060,United-States,Male,White,67
22072,United-States,Male,White,36
22121,United-States,Male,White,54
22137,United-States,Male,White,28
22183,United-States,Male,White,59
22223,United-States,Male,Black,47
22226,United-States,Male,White,37
22229,United-States,Male,White,18
22260,United-States,Male,White,31
22264,?,Female,White,31
22271,United-States,Male,White,56
22276,United-States,Male,White,39
22280,United-States,Male,White,59
22310,United-States,Female,White,42
22320,United-States,Female,White,42
22343,United-States,Female,White,64
22351,?,Male,Black,33
22370,United-States,Male,White,49
22440,United-States,Male,White,36
22456,United-States,Female,White,32
22458,United-States,Female,White,39
22464,United-States,Male,White,24
22469,United-States,Female,Black,45
22483,United-States,Male,Black,26
22485,United-States,Male,White,25
22490,United-States,Male,White,23
22509,United-States,Female,White,27
22512,Mexico,Male,White,46
22537,United-States,Male,White,45
22564,China,Female,Asian-Pac-Islander,34
2257,United-States,Female,White,20
22588,United-States,Male,White,36
22591,United-States,Female,White,39
22593,United-States,Male,White,41
22623,United-States,Male,White,60
22628,United-States,Male,White,38
22631,United-States,Male,White,64
22668,United-States,Male,White,40
22671,Mexico,Male,White,32
22681,United-States,Female,White,47
22684,United-States,Male,White,54
22687,United-States,Male,White,19
22731,United-States,Female,White,66
22749,United-States,Male,White,65
22758,United-States,Male,White,36
2276,United-States,Female,White,47
22764,United-States,Male,White,44
22781,United-States,Female,White,53
22791,United-States,Male,White,39
22799,United-States,Female,White,25
22807,United-States,Male,White,53
22810,United-States,Male,White,25
22821,United-States,Male,White,29
22841,United-States,Female,White,26
2288,Haiti,Female,Black,34
22885,United-States,Female,White,20
22909,United-States,Male,White,30
22917,United-States,Female,White,21
22918,United-States,Female,White,60
22941,United-States,Male,White,44
22950,United-States,Female,White,20
2301,United-States,Female,White,45
23015,United-States,Male,White,42
23051,United-States,Male,Black,64
2306,United-States,Male,White,42
23098,United-States,Male,White,40
23115,?,Male,White,24
23126,United-States,Male,White,40
23156,United-States,Female,Black,33
23166,United-States,Female,White,21
23172,United-States,Male,Black,37
2318,United-States,Male,White,62
23229,United-States,Male,White,45
23254,United-States,Male,White,25
23276,United-States,Male,White,52
23278,United-States,Male,White,44
23373,United-States,Female,White,17
234,United-States,Male,White,28
23407,United-States,Male,White,25
23426,United-States,Male,White,55
23486,United-States,Male,White,39
23492,United-States,Male,White,37
235,United-States,Male,White,59
23514,United-States,Female,Black,33
2352,United-States,Male,White,37
23535,United-States,Male,White,59
23568,United-States,Male,White,41
2359,United-States,Male,White,20
23598,United-States,Male,White,42
23618,United-States,Male,White,41
23631,Cuba,Male,White,53
23646,Mexico,Male,White,42
2365,United-States,Female,Black,47
23678,United-States,Male,White,69
23679,United-States,Male,White,19
23697,United-States,Female,White,25
23698,United-States,Male,White,23
23703,United-States,Female,White,38
23742,United-States,Female,White,67
23752,United-States,Male,White,36
23760,United-States,Male,White,51
2379,United-States,Male,White,42
23841,United-States,Male,White,37
23896,United-States,Male,White,39
2394,United-States,Female,White,18
23961,United-States,Male,White,58
23971,United-States,Male,White,29
23997,United-States,Female,White,23
24005,United-States,Male,White,49
24022,United-States,Female,White,24
24065,United-States,Male,White,36
24070,United-States,Female,Asian-Pac-Islander,33
24108,United-States,Male,White,41
24125,United-States,Male,White,50
24140,United-States,Male,White,55
24146,United-States,Male,White,52
24173,United-States,Male,White,27
24178,United-States,Male,Asian-Pac-Islander,36
24195,United-States,Male,Black,29
2421,United-States,Female,White,68
24212,United-States,Female,Black,37
24215,United-States,Male,White,58
24267,United-States,Male,White,36
24275,United-States,Male,White,26
24315,United-States,Male,White,53
24320,United-States,Male,White,49
24350,United-States,Male,White,43
2436,United-States,Male,White,31
2437,United-States,Male,Black,39
24407,United-States,Male,White,52
24409,United-States,Male,White,73
24494,United-States,Female,White,30
24512,Mexico,Female,White,28
24516,United-States,Female,White,45
24534,United-States,Male,White,55
24541,United-States,Male,White,50
24545,United-States,Female,White,46
24557,United-States,Female,White,53
24566,United-States,Female,White,22
24586,United-States,Female,White,33
24613,United-States,Male,White,47
24621,United-States,Male,White,64
24628,United-States,Male,White,56
24654,United-States,Male,White,36
24676,United-States,Female,White,29
24699,United-States,Male,White,52
24704,United-States,Male,White,60
24756,United-States,Male,White,54
24757,United-States,Female,White,34
24769,United-States,Female,White,19
24814,Mexico,Male,White,37
24815,United-States,Female,White,50
24901,United-States,Male,White,19
24918,United-States,Female,White,31
24937,United-States,Male,White,44
24941,United-States,Female,White,48
24942,United-States,Female,White,25
24972,United-States,Male,White,41
24974,United-States,Female,Black,50
25034,United-States,Female,White,33
2504,United-States,Male,White,61
25056,United-States,Female,White,18
2509,United-States,Male,Asian-Pac-Islander,31
25091,United-States,Female,White,50
25098,United-States,Female,White,56
25115,United-States,Female,Black,25
25129,Cuba,Male,White,47
25160,United-States,Male,White,38
25169,United-States,Male,White,19
25174,United-States,Male,White,50
25206,United-States,Female,White,47
25233,United-States,Male,White,37
25257,United-States,Male,Black,44
25261,United-States,Male,White,50
25295,United-States,Female,White,61
25313,?,Male,White,47
25325,United-States,Male,White,18
25331,United-States,Male,White,37
25335,United-States,Male,White,46
25340,Mexico,Female,White,26
25371,United-States,Male,White,32
25428,United-States,Male,White,22
25433,United-States,Male,White,24
25444,United-States,Male,White,56
25453,United-States,Male,White,17
25467,United-States,Male,White,31
2549,?,Female,White,43
25494,United-States,Female,White,23
25503,United-States,Male,White,48
25523,United-States,Female,White,29
25553,United-States,Male,White,45
25568,United-States,Male,White,73
25607,United-States,Female,White,55
25616,United-States,Female,Black,42
25633,United-States,Male,White,56
25660,United-States,Male,White,43
25661,United-States,Male,White,47
25708,United-States,Male,White,43
25715,United-States,Male,White,35
25738,United-States,Female,White,39
25746,United-States,Male,White,42
25747,United-States,Male,White,23
25773,Canada,Male,White,22
25777,United-States,Male,White,67
25796,United-States,Male,White,46
25848,United-States,Female,Black,42
25879,United-States,Female,White,20
25901,United-States,Female,White,37
25929,Puerto-Rico,Female,White,44
25935,United-States,Female,White,30
25952,United-States,Male,White,48
26009,United-States,Male,White,19
26062,United-States,Female,White,23
26066,United-States,Female,White,38
26137,United-States,Female,White,20
26146,United-States,Male,White,31
26182,United-States,Male,White,44
26196,United-States,Male,Amer-Indian-Eskimo,28
26206,United-States,Male,White,53
26211,United-States,Male,White,46
26212,United-States,Male,White,26
26215,United-States,Male,White,28
26217,United-States,Male,White,44
26219,United-States,Male,White,42
26243,United-States,Female,Amer-Indian-Eskimo,50
26247,United-States,Male,White,45
26253,United-States,Male,White,39
26282,United-States,Female,White,18
2630,United-States,Male,White,42
26302,United-States,Male,White,42
26311,United-States,Male,White,35
26361,United-States,Male,White,31
26363,?,Male,White,48
26385,United-States,Female,White,29
26399,United-States,Male,White,30
26409,United-States,Male,White,41
26410,United-States,Female,White,38
26421,United-States,Male,White,21
26448,United-States,Male,Black,25
26462,United-States,Male,White,60
26493,United-States,Male,White,51
26510,United-States,Female,White,34
2654,United-States,Male,Asian-Pac-Islander,37
26564,United-States,Male,White,43
26574,United-States,Female,Black,38
26603,United-States,Male,Black,36
26611,United-States,Female,White,45
26628,United-States,Male,White,22
26650,United-States,Female,White,34
26655,United-States,Male,White,38
26658,United-States,Male,Black,35
26668,United-States,Male,White,33
26670,United-States,Male,White,34
26672,United-States,Male,White,30
26726,United-States,Male,White,58
26738,United-States,Female,White,19
2676,United-States,Male,White,62
26761,United-States,Female,White,18
26762,?,Male,Asian-Pac-Islander,23
26782,Cuba,Male,White,54
26792,Philippines,Male,Asian-Pac-Islander,62
26825,United-States,Male,White,49
26827,United-States,Male,White,37
2689,United-States,Female,White,22
26920,United-States,Male,White,41
26921,United-States,Female,White,19
2699,United-States,Female,White,40
270,United-States,Male,White,61
27009,United-States,Female,White,20
27031,United-States,Female,White,22
27045,United-States,Female,White,63
27063,United-States,Female,White,38
27075,United-States,Male,White,40
27115,Honduras,Male,White,28
2713,United-States,Female,White,39
27149,United-States,Male,White,44
2721,United-States,Male,White,34
27216,United-States,Female,White,44
2723,United-States,Female,White,26
27245,United-States,Female,White,43
27254,United-States,Male,White,49
27274,United-States,Male,White,39
27314,United-States,Male,White,51
27336,United-States,Male,White,26
27363,United-States,Male,White,62
27382,United-States,Female,White,19
27404,United-States,Female,Black,61
27415,United-States,Female,White,21
27433,United-States,Male,Asian-Pac-Islander,29
2744,United-States,Male,White,43
27459,United-States,Female,White,38
27485,United-States,Male,White,28
27488,Mexico,Male,White,27
27506,United-States,Male,White,44
27523,United-States,Male,White,30
27535,United-States,Male,Black,28
2754,United-States,Male,White,80
27551,United-States,Male,White,20
27620,United-States,Male,White,23
27657,United-States,Female,Amer-Indian-Eskimo,48
27673,United-States,Female,White,22
27716,United-States,Male,White,39
27783,United-States,Female,White,20
27785,United-States,Male,White,62
27812,United-States,Female,White,28
27832,United-States,Male,White,38
27851,United-States,Male,White,34
2786,United-States,Male,White,30
27885,United-States,Female,White,36
27892,United-States,Male,White,38
27893,United-States,Female,White,18
27908,Poland,Male,White,61
27920,United-States,Female,White,23
27956,United-States,Male,White,37
27966,United-States,Male,White,30
27971,United-States,Male,White,67
27993,United-States,Female,White,59
28010,United-States,Male,White,28
28018,?,Male,White,30
28046,United-States,Male,White,32
28049,Hong,Male,Asian-Pac-Islander,26
2806,United-States,Male,White,47
28063,United-States,Male,White,54
28080,United-States,Female,White,21
28083,United-States,Male,White,28
2811,United-States,Female,Black,53
28119,United-States,Female,White,31
28148,United-States,Female,White,55
28175,United-States,Male,White,19
28279,United-States,Male,Black,34
28310,United-States,Male,White,57
28314,United-States,Male,White,45
28318,United-States,Male,Black,38
28319,United-States,Male,White,19
28359,United-States,Male,White,53
28391,United-States,Female,White,48
28394,United-States,Female,White,20
28408,United-States,Male,White,27
28410,United-States,Male,Black,23
28412,United-States,Female,White,26
28429,United-States,Male,White,31
28439,Portugal,Male,White,49
28452,India,Male,Asian-Pac-Islander,53
28510,United-States,Male,White,35
28522,United-States,Male,White,42
28556,United-States,Male,White,34
28566,United-States,Male,White,31
28596,United-States,Male,White,31
28610,United-States,Male,White,38
28611,United-States,Male,White,29
28619,United-States,Female,White,38
28629,United-States,Male,White,61
28636,United-States,Male,White,55
28642,United-States,Male,White,30
28645,United-States,Male,White,56
28671,United-States,Male,White,48
2870,United-States,Male,White,43
28709,United-States,Female,White,26
28715,Puerto-Rico,Female,White,57
2872,United-States,Male,White,46
28720,United-States,Male,White,28
28734,United-States,Male,White,41
28773,Vietnam,Male,Asian-Pac-Islander,21
2878,United-States,Male,White,31
28842,United-States,Male,White,52
28861,United-States,Male,White,19
28886,United-States,Female,White,38
28889,Mexico,Male,White,41
28891,United-States,Male,White,23
28985,United-States,Male,White,49
29000,United-States,Female,White,28
29021,United-States,Female,Amer-Indian-Eskimo,28
29071,United-States,Male,White,46
29075,United-States,Female,White,52
29112,United-States,Male,White,33
2912,United-States,Female,White,40
2913,United-States,Female,White,30
