record_id,age,sex,native-country,relationship
16562,46,Female,Mexico,Wife
16618,23,Female,United-States,Own-child
16627,37,Male,Cuba,Husband
16671,33,Male,United-States,Husband
16696,44,Male,United-States,Husband
16836,44,Male,United-States,Husband
1700,37,Female,United-States,Unmarried
17054,60,Male,United-States,Not-in-family
17209,53,Male,United-States,Husband
17382,27,Male,Cambodia,Not-in-family
17396,58,Male,United-States,Husband
17533,34,Male,United-States,Husband
17764,52,Male,United-States,Husband
17773,47,Female,United-States,Unmarried
17800,25,Male,United-States,Unmarried
17914,33,Male,United-States,Husband
17980,36,Female,United-States,Own-child
18050,36,Female,United-States,Wife
18065,32,Male,?,Other-relative
1815,22,Male,United-States,Own-child
18180,34,Male,United-States,Husband
1822,19,Male,United-States,Own-child
18321,51,Male,United-States,Husband
18334,43,Male,United-States,Not-in-family
1839,45,Male,Philippines,Husband
18478,32,Male,United-States,Husband
18551,44,Male,United-States,Husband
18998,45,Male,United-States,Not-in-family
19095,40,Male,United-States,Not-in-family
19257,40,Male,United-States,Husband
19299,39,Male,?,Not-in-family
1968,55,Male,United-States,Husband
19952,47,Male,United-States,Husband
19987,45,Male,United-States,Husband
2007,24,Male,United-States,Husband
20170,64,Male,United-States,Husband
20198,25,Male,United-States,Not-in-family
20312,21,Female,United-States,Not-in-family
20334,27,Female,United-States,Not-in-family
20481,26,Male,United-States,Husband
20768,28,Male,United-States,Not-in-family
2098,52,Male,United-States,Husband
2100,47,Female,United-States,Not-in-family
21037,54,Male,United-States,Husband
21124,54,Male,Haiti,Husband
21239,44,Male,United-States,Husband
21286,20,Female,United-States,Own-child
21378,35,Male,United-States,Not-in-family
21477,25,Male,United-States,Own-child
2166,47,Male,United-States,Husband
21664,35,Male,United-States,Husband
21874,51,Male,United-States,Husband
21955,22,Male,United-States,Not-in-family
21973,23,Male,United-States,Husband
22036,42,Male,Canada,Not-in-family
2230,59,Male,United-States,Husband
22368,24,Female,United-States,Not-in-family
22466,40,Male,United-States,Husband
22615,26,Female,United-States,Not-in-family
22616,23,Male,United-States,Own-child
22630,50,Male,United-States,Not-in-family
22816,44,Female,United-States,Unmarried
23154,34,Male,United-States,Husband
23155,44,Male,United-States,Not-in-family
23187,25,Male,United-States,Not-in-family
23198,40,Female,United-States,Unmarried
23376,25,Female,United-States,Unmarried
2341,45,Male,Canada,Husband
23596,24,Male,United-States,Other-relative
23773,42,Female,United-States,Not-in-family
23796,30,Male,United-States,Husband
23856,32,Male,United-States,Own-child
23952,59,Male,United-States,Husband
24050,24,Female,United-States,Wife
24146,52,Male,United-States,Not-in-family
24281,34,Female,United-States,Wife
24290,72,Female,United-States,Not-in-family
24353,27,Male,United-States,Not-in-family
24392,32,Male,United-States,Not-in-family
24419,35,Male,United-States,Husband
24444,28,Male,United-States,Husband
24557,53,Female,United-States,Unmarried
24806,42,Male,United-States,Husband
2491,76,Male,United-States,Husband
24979,34,Female,United-States,Not-in-family
25109,35,Female,United-States,Unmarried
25246,54,Male,United-States,Husband
25324,27,Female,United-States,Wife
25388,27,Female,United-States,Own-child
25410,45,Female,United-States,Wife
25628,53,Female,United-States,Unmarried
25635,56,Female,United-States,Unmarried
25823,31,Male,United-States,Husband
25833,38,Male,United-States,Husband
25912,74,Female,United-States,Not-in-family
26494,31,Male,South,Husband
26620,42,Female,United-States,Unmarried
26710,50,Male,United-States,Husband
26786,30,Male,United-States,Not-in-family
26857,47,Male,United-States,Husband
26871,53,Male,United-States,Husband
26953,49,Male,United-States,Husband
26995,33,Male,Mexico,Not-in-family
2715,72,Female,United-States,Not-in-family
27164,50,Male,Canada,Husband
27165,45,Male,United-States,Not-in-family
27247,59,Male,United-States,Husband
27352,26,Female,United-States,Wife
27491,21,Female,United-States,Not-in-family
27497,76,Male,United-States,Not-in-family
27590,36,Male,United-States,Not-in-family
27873,42,Male,United-States,Husband
27910,45,Female,United-States,Not-in-family
27964,30,Female,United-States,Unmarried
28101,30,Male,United-States,Husband
28146,40,Male,United-States,Husband
28166,36,Male,United-States,Husband
28182,23,Male,United-States,Not-in-family
282,34,Female,United-States,Unmarried
28276,21,Female,United-States,Own-child
28492,20,Male,United-States,Own-child
28495,55,Female,United-States,Unmarried
28718,42,Male,United-States,Husband
28738,52,Male,United-States,Husband
28772,67,Female,United-States,Not-in-family
28831,49,Male,United-States,Husband
28885,69,Female,United-States,Not-in-family
28978,31,Female,United-States,Wife
28980,45,Male,United-States,Husband
29029,45,Male,?,Husband
29035,45,Male,United-States,Not-in-family
29230,60,Male,United-States,Husband
29328,60,Male,United-States,Husband
2937,19,Male,United-States,Own-child
29442,21,Male,England,Other-relative
29711,34,Female,United-States,Wife
30004,18,Male,United-States,Own-child
30081,39,Male,United-States,Husband
30090,45,Male,United-States,Husband
3020,51,Male,United-States,Husband
30288,40,Female,Canada,Unmarried
30342,45,Male,United-States,Husband
30618,35,Female,United-States,Not-in-family
30622,24,Female,United-States,Own-child
30694,46,Male,United-States,Husband
31142,53,Male,United-States,Husband
31224,50,Female,United-States,Not-in-family
31253,43,Male,United-States,Husband
31318,22,Female,United-States,Unmarried
3133,45,Male,United-States,Own-child
31590,33,Female,United-States,Not-in-family
32131,48,Male,United-States,Husband
32238,47,Male,United-States,Husband
3227,39,Male,United-States,Husband
32296,42,Female,United-States,Not-in-family
32384,62,Male,United-States,Husband
3262,38,Male,United-States,Husband
3335,53,Female,United-States,Not-in-family
3345,45,Female,United-States,Not-in-family
3517,47,Male,United-States,Husband
3603,61,Male,United-States,Husband
3606,73,Male,Canada,Husband
3643,31,Male,United-States,Husband
3811,38,Female,United-States,Unmarried
3847,44,Female,United-States,Wife
4072,34,Female,United-States,Unmarried
4134,38,Female,United-States,Unmarried
4252,35,Male,United-States,Not-in-family
4303,37,Male,Cambodia,Husband
4313,19,Male,United-States,Own-child
4554,18,Male,United-States,Own-child
4621,18,Male,United-States,Own-child
4651,36,Male,United-States,Husband
4729,69,Female,United-States,Not-in-family
4752,60,Male,United-States,Husband
4776,31,Male,United-States,Husband
478,27,Male,United-States,Not-in-family
4949,44,Male,United-States,Husband
5107,25,Male,United-States,Own-child
5264,51,Male,United-States,Husband
5454,32,Female,United-States,Wife
5457,34,Male,United-States,Husband
5615,44,Female,United-States,Not-in-family
575,29,Male,United-States,Wife
5853,25,Female,United-States,Unmarried
5923,42,Male,United-States,Husband
6230,31,Male,United-States,Husband
6392,33,Male,United-States,Not-in-family
6591,33,Female,United-States,Own-child
6668,38,Female,United-States,Wife
6714,61,Male,United-States,Husband
6803,38,Male,United-States,Husband
6816,47,Female,United-States,Not-in-family
6890,39,Male,United-States,Husband
695,25,Male,United-States,Other-relative
7092,21,Female,United-States,Not-in-family
722,29,Male,United-States,Not-in-family
7301,66,Female,United-States,Wife
7383,50,Male,United-States,Husband
7441,36,Male,United-States,Husband
7487,33,Male,United-States,Husband
7749,56,Female,United-States,Unmarried
7828,46,Female,United-States,Not-in-family
7846,33,Male,United-States,Husband
7912,24,Female,United-States,Own-child
7916,28,Male,United-States,Not-in-family
8109,20,Female,United-States,Not-in-family
8217,31,Male,United-States,Own-child
8267,39,Male,United-States,Husband
8279,36,Male,United-States,Husband
8412,31,Male,United-States,Husband
8500,45,Male,United-States,Husband
8581,51,Male,United-States,Not-in-family
9063,46,Male,United-States,Husband
9080,20,Male,United-States,Own-child
9175,27,Female,United-States,Unmarried
9207,21,Female,United-States,Not-in-family
9211,33,Female,United-States,Own-child
9223,47,Male,United-States,Other-relative
9356,20,Female,United-States,Own-child
9380,39,Female,United-States,Unmarried
9472,40,Male,United-States,Other-relative
9488,38,Male,United-States,Husband
9529,58,Male,United-States,Husband
9648,43,Male,Haiti,Husband
9690,26,Female,United-States,Wife
9818,52,Male,United-States,Husband
