age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
*,Private-sector,266015,Higher-education,10,Never-married,Non-manual,Own-child,Non-White,Male,0,0,44,North-America,<=50K
*,Private-sector,386940,Higher-education,13,Previously-married,Non-manual,Own-child,White,Male,0,1408,40,North-America,<=50K
*,Government,59951,Higher-education,10,Married-spouse-present,Non-manual,Own-child,White,Male,0,0,40,North-America,<=50K
*,Government,311512,Higher-education,10,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,15,North-America,<=50K
*,Private-sector,197200,Higher-education,10,Never-married,Manual-or-service,Own-child,White,Male,0,0,40,North-America,<=50K
*,Private-sector,544091,Pre-higher-education,9,Married-spouse-present,Non-manual,Wife,White,Female,0,0,25,North-America,<=50K
*,Private-sector,84154,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,38,Unknown,>50K
*,Self-employed,265477,Higher-education,12,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,507875,Pre-higher-education,5,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,43,North-America,<=50K
*,Self-employed,88506,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,172987,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,<=50K
*,Private-sector,94638,Pre-higher-education,9,Previously-married,Non-manual,Unmarried,White,Female,0,0,40,North-America,<=50K
*,Private-sector,289980,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,35,North-America,<=50K
*,Government,337895,Higher-education,13,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,40,North-America,>50K
*,Private-sector,144361,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,38,North-America,<=50K
*,Private-sector,128354,Higher-education,14,Previously-married,Non-manual,Unmarried,White,Female,0,0,40,North-America,<=50K
*,Government,101603,Higher-education,11,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,271466,Higher-education,11,Never-married,Non-manual,Not-in-family,White,Male,0,0,43,North-America,<=50K
*,Private-sector,32275,Higher-education,10,Married-spouse-present,Non-manual,Wife,Non-White,Female,0,0,40,North-America,<=50K
*,Government,251585,Higher-education,13,Previously-married,Non-manual,Not-in-family,White,Male,0,0,55,North-America,>50K
*,Self-employed,109832,Pre-higher-education,9,Previously-married,Non-manual,Not-in-family,White,Male,0,0,60,North-America,<=50K
*,Private-sector,237993,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
*,Private-sector,216666,Pre-higher-education,3,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,Central-America,<=50K
*,Private-sector,56352,Higher-education,11,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,Caribbean,<=50K
*,Private-sector,147372,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,48,North-America,<=50K
*,Private-sector,188146,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,5013,0,40,North-America,<=50K
*,Private-sector,59496,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,2407,0,40,North-America,<=50K
*,Private-sector,149640,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,116632,Higher-education,16,Married-spouse-present,Non-manual,Husband,White,Male,0,0,45,North-America,>50K
*,Private-sector,105598,Higher-education,10,Previously-married,Non-manual,Not-in-family,White,Male,0,0,58,North-America,<=50K
*,Private-sector,155537,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,183175,Higher-education,10,Previously-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
*,Private-sector,169846,Pre-higher-education,9,Married-spouse-present,Non-manual,Wife,White,Female,0,0,40,North-America,>50K
*,Self-employed,191681,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,>50K
*,Unknown,200681,Higher-education,10,Never-married,Unknown,Own-child,White,Male,0,0,40,North-America,<=50K
*,Private-sector,101509,Higher-education,10,Never-married,Non-manual,Own-child,White,Male,0,0,32,North-America,<=50K
*,Private-sector,309974,Higher-education,13,Previously-married,Non-manual,Own-child,Non-White,Female,0,0,40,North-America,<=50K
*,Self-employed,162298,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,70,North-America,>50K
*,Private-sector,211678,Higher-education,10,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
*,Private-sector,124744,Higher-education,10,Married-spouse-present,Non-manual,Other-relative,White,Male,0,0,20,North-America,<=50K
*,Private-sector,213921,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,40,Central-America,<=50K
*,Private-sector,32214,Higher-education,12,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,<=50K
*,Unknown,212759,Pre-higher-education,6,Married-spouse-present,Unknown,Husband,White,Male,0,0,2,North-America,<=50K
*,Private-sector,309634,Pre-higher-education,7,Never-married,Manual-or-service,Own-child,White,Female,0,0,22,North-America,<=50K
*,Government,125927,Pre-higher-education,4,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,446839,Pre-higher-education,9,Never-married,Non-manual,Not-in-family,White,Male,0,0,30,North-America,<=50K
*,Private-sector,276515,Higher-education,13,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,Caribbean,<=50K
*,Private-sector,51618,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Wife,White,Female,0,0,40,North-America,<=50K
*,Private-sector,159937,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,48,North-America,<=50K
*,Private-sector,343591,Pre-higher-education,9,Previously-married,Manual-or-service,Not-in-family,White,Female,14344,0,40,North-America,>50K
*,Private-sector,346253,Pre-higher-education,9,Previously-married,Non-manual,Own-child,White,Female,0,0,35,North-America,<=50K
*,Government,268234,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,>50K
*,Private-sector,202051,Higher-education,14,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,<=50K
*,Private-sector,54334,Pre-higher-education,5,Never-married,Non-manual,Not-in-family,White,Male,0,0,40,North-America,<=50K
*,Government,410867,Higher-education,16,Never-married,Non-manual,Not-in-family,White,Female,0,0,50,North-America,>50K
*,Private-sector,249977,Higher-education,11,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,286730,Higher-education,10,Previously-married,Manual-or-service,Unmarried,White,Female,0,0,40,North-America,<=50K
*,Government,226296,Higher-education,13,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,>50K
*,Government,115585,Higher-education,10,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,50,North-America,<=50K
*,Self-employed,191277,Higher-education,16,Married-spouse-present,Non-manual,Husband,White,Male,0,1902,60,North-America,>50K
*,Private-sector,202683,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,48,North-America,>50K
*,Government,249409,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,Non-White,Male,0,0,40,North-America,<=50K
*,Private-sector,124191,Higher-education,14,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
*,Private-sector,198282,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,15024,0,60,North-America,>50K
*,Self-employed,149116,Higher-education,14,Never-married,Non-manual,Not-in-family,White,Female,0,0,50,North-America,<=50K
*,Private-sector,188300,Higher-education,10,Never-married,Non-manual,Own-child,White,Female,0,0,40,North-America,<=50K
*,Private-sector,103432,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
*,Self-employed,317660,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,7688,0,40,North-America,>50K
*,Private-sector,194901,Pre-higher-education,7,Never-married,Manual-or-service,Own-child,White,Male,0,0,40,North-America,<=50K
*,Private-sector,124692,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,432376,Higher-education,13,Never-married,Non-manual,Other-relative,White,Male,0,0,40,North-America,<=50K
*,Private-sector,65324,Higher-education,15,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
*,Self-employed,335605,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,1887,50,North-America,>50K
*,Private-sector,377869,Higher-education,10,Married-spouse-present,Non-manual,Wife,White,Female,4064,0,25,North-America,<=50K
*,Private-sector,102864,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Female,0,0,40,North-America,<=50K
*,Private-sector,95647,Pre-higher-education,5,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,50,North-America,<=50K
*,Self-employed,303090,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,<=50K
*,Government,197371,Higher-education,11,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,>50K
*,Private-sector,247552,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,56,North-America,<=50K
*,Private-sector,102632,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,41,North-America,<=50K
*,Private-sector,199915,Higher-education,10,Never-married,Manual-or-service,Own-child,White,Female,0,0,40,North-America,<=50K
*,Private-sector,118853,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,60,North-America,<=50K
*,Government,267989,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,>50K
*,Private-sector,301606,Higher-education,10,Never-married,Manual-or-service,Own-child,Non-White,Male,0,0,35,North-America,<=50K
*,Private-sector,287828,Higher-education,13,Married-spouse-present,Non-manual,Wife,White,Female,0,0,40,North-America,>50K
*,Private-sector,111697,Higher-education,10,Never-married,Non-manual,Own-child,White,Female,0,1719,28,North-America,<=50K
*,Private-sector,114937,Higher-education,12,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
*,Unknown,129305,Pre-higher-education,9,Married-spouse-present,Unknown,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,365739,Higher-education,10,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
*,Private-sector,69621,Higher-education,12,Never-married,Non-manual,Not-in-family,White,Female,0,0,60,North-America,<=50K
*,Private-sector,43323,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Female,0,1762,40,North-America,<=50K
*,Self-employed,120985,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,4386,0,35,North-America,<=50K
*,Private-sector,254202,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,<=50K
*,Private-sector,146195,Higher-education,12,Previously-married,Non-manual,Not-in-family,Non-White,Female,0,0,36,North-America,<=50K
*,Self-employed,56920,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,60,North-America,<=50K
*,Private-sector,163127,Higher-education,11,Married-spouse-present,Non-manual,Wife,White,Female,0,0,35,North-America,<=50K
*,Private-sector,34310,Higher-education,10,Never-married,Non-manual,Own-child,White,Male,0,0,20,North-America,<=50K
*,Private-sector,81973,Higher-education,10,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,>50K
*,Self-employed,66614,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,232782,Higher-education,10,Never-married,Non-manual,Own-child,White,Female,0,0,40,North-America,<=50K
*,Private-sector,316868,Higher-education,10,Never-married,Manual-or-service,Own-child,White,Male,0,0,30,Central-America,<=50K
*,Private-sector,196584,Higher-education,11,Never-married,Non-manual,Not-in-family,White,Female,0,1564,40,North-America,>50K
*,Private-sector,105376,Higher-education,10,Never-married,Non-manual,Other-relative,White,Male,0,0,40,North-America,<=50K
*,Private-sector,175374,Higher-education,10,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,24,North-America,<=50K
*,Private-sector,108293,Pre-higher-education,9,Previously-married,Manual-or-service,Unmarried,White,Female,0,0,24,North-America,<=50K
*,Private-sector,181232,Pre-higher-education,7,Married-spouse-present,Manual-or-service,Husband,White,Male,0,2179,40,North-America,<=50K
*,Unknown,174662,Higher-education,10,Previously-married,Unknown,Not-in-family,White,Female,0,0,40,North-America,<=50K
*,Private-sector,198183,Pre-higher-education,9,Never-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
*,Private-sector,163003,Higher-education,13,Never-married,Non-manual,Other-relative,Non-White,Female,0,0,40,Southeast-Asia,<=50K
*,Private-sector,296158,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,35,North-America,<=50K
*,Unknown,252903,Pre-higher-education,9,Previously-married,Unknown,Not-in-family,White,Male,0,0,45,North-America,>50K
*,Private-sector,187715,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,46,North-America,<=50K
*,Private-sector,214542,Higher-education,13,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
*,Private-sector,191535,Pre-higher-education,9,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,60,North-America,<=50K
*,Private-sector,228456,Higher-education,13,Previously-married,Manual-or-service,Other-relative,Non-White,Male,0,0,50,North-America,<=50K
*,Unknown,38317,Pre-higher-education,2,Previously-married,Unknown,Not-in-family,White,Female,0,0,20,North-America,<=50K
*,Private-sector,252752,Pre-higher-education,9,Never-married,Manual-or-service,Unmarried,White,Female,0,0,40,North-America,<=50K
*,Self-employed,78374,Higher-education,14,Previously-married,Non-manual,Unmarried,Non-White,Female,0,0,40,North-America,<=50K
*,Self-employed,201080,Higher-education,14,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
*,Government,235485,Higher-education,12,Never-married,Non-manual,Not-in-family,White,Male,0,0,42,North-America,<=50K
*,Government,102628,Higher-education,14,Previously-married,Manual-or-service,Unmarried,White,Male,0,0,40,North-America,<=50K
*,Private-sector,25828,Pre-higher-education,7,Never-married,Manual-or-service,Own-child,White,Male,0,0,16,North-America,<=50K
*,Government,54826,Higher-education,11,Previously-married,Non-manual,Not-in-family,White,Female,0,0,20,North-America,<=50K
*,Private-sector,124953,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Male,0,1980,40,North-America,<=50K
*,Government,175325,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Private-sector,96062,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,1977,40,North-America,>50K
*,Private-sector,428030,Higher-education,13,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,50,North-America,<=50K
*,Government,149624,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
*,Private-sector,312956,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,Non-White,Male,0,0,40,North-America,<=50K
*,Private-sector,483777,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,Non-White,Male,0,0,40,North-America,<=50K
*,Private-sector,183930,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,12,North-America,<=50K
*,Private-sector,37274,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,65,North-America,<=50K
*,Government,181344,Higher-education,10,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,38,North-America,>50K
*,Private-sector,114580,Higher-education,10,Previously-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
*,Private-sector,633742,Higher-education,10,Never-married,Manual-or-service,Not-in-family,Non-White,Male,0,0,45,North-America,<=50K
*,Private-sector,286370,Pre-higher-education,4,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,Central-America,>50K
*,Government,29054,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,42,North-America,>50K
*,Private-sector,304030,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,40,North-America,<=50K
*,Self-employed,143129,Higher-education,13,Previously-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
*,Unknown,135105,Higher-education,13,Previously-married,Unknown,Not-in-family,White,Female,0,0,50,North-America,<=50K
*,Private-sector,99928,Higher-education,14,Married-spouse-present,Non-manual,Wife,White,Female,0,0,50,North-America,<=50K
*,Government,109567,Higher-education,16,Married-spouse-present,Non-manual,Husband,White,Male,0,0,1,North-America,>50K
*,Private-sector,159567,Higher-education,10,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Government,523910,Higher-education,13,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,<=50K
*,Private-sector,120939,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,45,North-America,<=50K
*,Government,130760,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,24,North-America,<=50K
*,Private-sector,197387,Pre-higher-education,3,Married-spouse-present,Manual-or-service,Other-relative,White,Male,0,0,40,Central-America,<=50K
*,Private-sector,99374,Higher-education,10,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
*,Government,56795,Higher-education,14,Never-married,Non-manual,Not-in-family,White,Female,14084,0,55,North-America,>50K
*,Private-sector,138992,Higher-education,14,Married-spouse-present,Non-manual,Other-relative,White,Male,7298,0,40,North-America,>50K
*,Self-employed,32921,Pre-higher-education,9,Never-married,Non-manual,Not-in-family,White,Male,0,0,40,North-America,<=50K
*,Private-sector,397317,Higher-education,14,Never-married,Non-manual,Not-in-family,White,Female,0,1876,40,North-America,<=50K
*,Private-sector,259323,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,>50K
*,Government,254817,Higher-education,10,Never-married,Non-manual,Not-in-family,White,Female,0,1340,40,North-America,<=50K
*,Government,48211,Pre-higher-education,9,Previously-married,Non-manual,Unmarried,White,Female,0,0,35,North-America,<=50K
*,Private-sector,140164,Pre-higher-education,7,Never-married,Non-manual,Own-child,White,Female,0,0,40,North-America,<=50K
*,Private-sector,128757,Higher-education,13,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,7298,0,36,North-America,>50K
*,Private-sector,36270,Pre-higher-education,9,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,60,North-America,<=50K
*,Self-employed,210563,Pre-higher-education,9,Married-spouse-present,Non-manual,Wife,White,Female,15024,0,35,North-America,>50K
*,Private-sector,65368,Pre-higher-education,7,Never-married,Non-manual,Own-child,White,Female,0,0,12,North-America,<=50K
*,Government,160943,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,<=50K
*,Private-sector,208358,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,>50K
*,Private-sector,153790,Higher-education,10,Never-married,Non-manual,Not-in-family,Non-White,Female,0,0,40,North-America,<=50K
*,Private-sector,85815,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,<=50K
*,Self-employed,125417,Pre-higher-education,4,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,>50K
*,Private-sector,635913,Higher-education,13,Never-married,Non-manual,Not-in-family,Non-White,Male,0,0,60,North-America,>50K
*,Private-sector,313321,Higher-education,12,Previously-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
*,Private-sector,182609,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,Eastern-Southern-Europe,<=50K
*,Private-sector,109434,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,55,North-America,<=50K
*,Private-sector,255004,Pre-higher-education,6,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
*,Private-sector,197860,Higher-education,10,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Unknown,187656,Pre-higher-education,2,Previously-married,Unknown,Not-in-family,White,Male,0,0,40,North-America,<=50K
*,Private-sector,51744,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,Non-White,Male,0,2206,40,North-America,<=50K
*,Private-sector,176681,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,20,North-America,<=50K
*,Government,140359,Pre-higher-education,1,Never-married,Manual-or-service,Not-in-family,White,Female,0,0,35,North-America,<=50K
*,Private-sector,243313,Pre-higher-education,9,Never-married,Non-manual,Own-child,White,Female,0,0,40,North-America,<=50K
*,Self-employed,167687,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,1409,0,50,North-America,<=50K
*,Private-sector,176796,Pre-higher-education,9,Previously-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
*,Private-sector,538583,Pre-higher-education,7,Previously-married,Manual-or-service,Not-in-family,Non-White,Male,3674,0,40,North-America,<=50K
*,Private-sector,130408,Pre-higher-education,9,Previously-married,Non-manual,Unmarried,Non-White,Female,0,0,38,North-America,<=50K
*,Private-sector,159732,Higher-education,10,Never-married,Non-manual,Not-in-family,White,Male,0,0,42,North-America,<=50K
*,Private-sector,76714,Higher-education,15,Never-married,Non-manual,Not-in-family,White,Male,0,0,55,North-America,>50K
*,Government,268700,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Government,170525,Higher-education,10,Never-married,Non-manual,Not-in-family,White,Female,0,0,38,North-America,<=50K
*,Private-sector,180138,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,Middle-East,>50K
*,Government,115076,Higher-education,14,Married-spouse-present,Non-manual,Husband,White,Male,0,0,70,North-America,>50K
*,Private-sector,115458,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,40,North-America,<=50K
*,Private-sector,347890,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
*,Self-employed,196001,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Wife,White,Female,0,0,20,North-America,<=50K
*,Government,273905,Higher-education,12,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,50,North-America,<=50K
*,Unknown,119156,Higher-education,10,Never-married,Unknown,Own-child,White,Male,0,0,20,North-America,<=50K
*,Private-sector,179488,Higher-education,10,Previously-married,Manual-or-service,Not-in-family,White,Male,0,1741,40,North-America,<=50K
*,Private-sector,203580,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,35,Unknown,<=50K
*,Private-sector,236596,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,45,North-America,>50K
*,Private-sector,183916,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Female,0,0,34,North-America,<=50K
*,Private-sector,207578,Higher-education,12,Married-spouse-present,Non-manual,Husband,White,Male,0,1977,60,North-America,>50K
*,Private-sector,153141,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,Unknown,<=50K
*,Private-sector,112763,Higher-education,15,Married-spouse-present,Non-manual,Wife,White,Female,0,0,40,North-America,>50K
*,Private-sector,390781,Higher-education,13,Married-spouse-present,Non-manual,Wife,Non-White,Female,0,0,40,North-America,<=50K
*,Government,171328,Pre-higher-education,6,Previously-married,Manual-or-service,Unmarried,Non-White,Female,0,0,30,North-America,<=50K
*,Government,27382,Higher-education,10,Never-married,Non-manual,Own-child,White,Male,0,0,40,North-America,<=50K
*,Private-sector,259014,Higher-education,10,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,20,North-America,<=50K
*,Private-sector,117789,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Female,0,0,40,North-America,<=50K
*,Private-sector,172579,Pre-higher-education,9,Previously-married,Manual-or-service,Not-in-family,White,Female,0,0,30,North-America,<=50K
*,Private-sector,187666,Higher-education,11,Previously-married,Non-manual,Not-in-family,White,Female,0,0,45,North-America,<=50K
*,Private-sector,204518,Pre-higher-education,4,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
