target_id,known_values,qid_filter_values,refine_values,qid_exposed_values,qid_equivalence_class_size,stage1_equivalence_class_size,reduced_equivalence_class_size,stage2_equivalence_class_size,equivalence_class_size,equivalence_class_reduction,equivalence_class_reduction_rate,true_record_in_qid_class,true_record_in_reduced_class,unique_reidentified,false_unique_match,true_sensitive_value,predicted_sensitive_top_value,predicted_sensitive_top_probability,true_sensitive_probability,sensitive_value_certain,n_distinct_sensitive_values,sensitive_distribution_json
26093,age=62 | sex=Male,,age=62 | sex=Male,,32454,32454,169,169,169,32285,0.994793,True,True,False,False,>50K,<=50K,0.656805,0.343195,False,2,"{""<=50K"": 0.656805, "">50K"": 0.343195}"
31215,age=49 | sex=Female,,age=49 | sex=Female,,32454,32454,171,171,171,32283,0.994731,True,True,False,False,<=50K,<=50K,0.842105,0.842105,False,2,"{""<=50K"": 0.842105, "">50K"": 0.157895}"
8645,age=34 | sex=Male,,age=34 | sex=Male,,32454,32454,628,628,628,31826,0.98065,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
21712,age=23 | sex=Male,,age=23 | sex=Male,,32454,32454,518,518,518,31936,0.984039,True,True,False,False,<=50K,<=50K,0.980695,0.980695,False,2,"{""<=50K"": 0.980695, "">50K"": 0.019305}"
9232,age=60 | sex=Male,,age=60 | sex=Male,,32454,32454,232,232,232,32222,0.992851,True,True,False,False,>50K,<=50K,0.616379,0.383621,False,2,"{""<=50K"": 0.616379, "">50K"": 0.383621}"
23164,age=59 | sex=Male,,age=59 | sex=Male,,32454,32454,260,260,260,32194,0.991989,True,True,False,False,>50K,<=50K,0.561538,0.438462,False,2,"{""<=50K"": 0.561538, "">50K"": 0.438462}"
2206,age=45 | sex=Male,,age=45 | sex=Male,,32454,32454,511,511,511,31943,0.984255,True,True,False,False,>50K,>50K,0.500978,0.500978,False,2,"{"">50K"": 0.500978, ""<=50K"": 0.499022}"
21954,age=32 | sex=Male,,age=32 | sex=Male,,32454,32454,572,572,572,31882,0.982375,True,True,False,False,<=50K,<=50K,0.729021,0.729021,False,2,"{""<=50K"": 0.729021, "">50K"": 0.270979}"
1251,age=48 | sex=Male,,age=48 | sex=Male,,32454,32454,372,372,372,32082,0.988538,True,True,False,False,<=50K,<=50K,0.508065,0.508065,False,2,"{""<=50K"": 0.508065, "">50K"": 0.491935}"
10334,age=35 | sex=Male,,age=35 | sex=Male,,32454,32454,629,629,629,31825,0.980619,True,True,False,False,<=50K,<=50K,0.718601,0.718601,False,2,"{""<=50K"": 0.718601, "">50K"": 0.281399}"
17267,age=18 | sex=Male,,age=18 | sex=Male,,32454,32454,282,282,282,32172,0.991311,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
25899,age=50 | sex=Female,,age=50 | sex=Female,,32454,32454,153,153,153,32301,0.995286,True,True,False,False,<=50K,<=50K,0.803922,0.803922,False,2,"{""<=50K"": 0.803922, "">50K"": 0.196078}"
13908,age=30 | sex=Male,,age=30 | sex=Male,,32454,32454,587,587,587,31867,0.981913,True,True,False,False,<=50K,<=50K,0.758092,0.758092,False,2,"{""<=50K"": 0.758092, "">50K"": 0.241908}"
5016,age=44 | sex=Female,,age=44 | sex=Female,,32454,32454,200,200,200,32254,0.993837,True,True,False,False,<=50K,<=50K,0.85,0.85,False,2,"{""<=50K"": 0.85, "">50K"": 0.15}"
18014,age=36 | sex=Male,,age=36 | sex=Male,,32454,32454,611,611,611,31843,0.981173,True,True,False,False,>50K,<=50K,0.638298,0.361702,False,2,"{""<=50K"": 0.638298, "">50K"": 0.361702}"
8074,age=35 | sex=Male,,age=35 | sex=Male,,32454,32454,629,629,629,31825,0.980619,True,True,False,False,>50K,<=50K,0.718601,0.281399,False,2,"{""<=50K"": 0.718601, "">50K"": 0.281399}"
19629,age=20 | sex=Male,,age=20 | sex=Male,,32454,32454,390,390,390,32064,0.987983,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
19867,age=32 | sex=Male,,age=32 | sex=Male,,32454,32454,572,572,572,31882,0.982375,True,True,False,False,<=50K,<=50K,0.729021,0.729021,False,2,"{""<=50K"": 0.729021, "">50K"": 0.270979}"
15337,age=38 | sex=Male,,age=38 | sex=Male,,32454,32454,589,589,589,31865,0.981851,True,True,False,False,<=50K,<=50K,0.595925,0.595925,False,2,"{""<=50K"": 0.595925, "">50K"": 0.404075}"
4299,age=20 | sex=Female,,age=20 | sex=Female,,32454,32454,363,363,363,32091,0.988815,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
30614,age=24 | sex=Female,,age=24 | sex=Female,,32454,32454,303,303,303,32151,0.990664,True,True,False,False,<=50K,<=50K,0.973597,0.973597,False,2,"{""<=50K"": 0.973597, "">50K"": 0.026403}"
27722,age=48 | sex=Male,,age=48 | sex=Male,,32454,32454,372,372,372,32082,0.988538,True,True,False,False,>50K,<=50K,0.508065,0.491935,False,2,"{""<=50K"": 0.508065, "">50K"": 0.491935}"
7472,age=21 | sex=Male,,age=21 | sex=Male,,32454,32454,391,391,391,32063,0.987952,True,True,False,False,<=50K,<=50K,0.997442,0.997442,False,2,"{""<=50K"": 0.997442, "">50K"": 0.002558}"
25598,age=32 | sex=Female,,age=32 | sex=Female,,32454,32454,253,253,253,32201,0.992204,True,True,False,False,<=50K,<=50K,0.865613,0.865613,False,2,"{""<=50K"": 0.865613, "">50K"": 0.134387}"
7348,age=25 | sex=Female,,age=25 | sex=Female,,32454,32454,313,313,313,32141,0.990356,True,True,False,False,<=50K,<=50K,0.952077,0.952077,False,2,"{""<=50K"": 0.952077, "">50K"": 0.047923}"
25534,age=45 | sex=Male,,age=45 | sex=Male,,32454,32454,511,511,511,31943,0.984255,True,True,False,False,<=50K,>50K,0.500978,0.499022,False,2,"{"">50K"": 0.500978, ""<=50K"": 0.499022}"
14321,age=36 | sex=Female,,age=36 | sex=Female,,32454,32454,286,286,286,32168,0.991188,True,True,False,False,<=50K,<=50K,0.853147,0.853147,False,2,"{""<=50K"": 0.853147, "">50K"": 0.146853}"
13292,age=32 | sex=Female,,age=32 | sex=Female,,32454,32454,253,253,253,32201,0.992204,True,True,False,False,>50K,<=50K,0.865613,0.134387,False,2,"{""<=50K"": 0.865613, "">50K"": 0.134387}"
23976,age=28 | sex=Male,,age=28 | sex=Male,,32454,32454,556,556,556,31898,0.982868,True,True,False,False,<=50K,<=50K,0.839928,0.839928,False,2,"{""<=50K"": 0.839928, "">50K"": 0.160072}"
24282,age=29 | sex=Male,,age=29 | sex=Male,,32454,32454,542,542,542,31912,0.983299,True,True,False,False,>50K,<=50K,0.811808,0.188192,False,2,"{""<=50K"": 0.811808, "">50K"": 0.188192}"
3056,age=59 | sex=Male,,age=59 | sex=Male,,32454,32454,260,260,260,32194,0.991989,True,True,False,False,>50K,<=50K,0.561538,0.438462,False,2,"{""<=50K"": 0.561538, "">50K"": 0.438462}"
13732,age=44 | sex=Female,,age=44 | sex=Female,,32454,32454,200,200,200,32254,0.993837,True,True,False,False,<=50K,<=50K,0.85,0.85,False,2,"{""<=50K"": 0.85, "">50K"": 0.15}"
20057,age=57 | sex=Male,,age=57 | sex=Male,,32454,32454,265,265,265,32189,0.991835,True,True,False,False,>50K,<=50K,0.543396,0.456604,False,2,"{""<=50K"": 0.543396, "">50K"": 0.456604}"
25315,age=64 | sex=Male,,age=64 | sex=Male,,32454,32454,138,138,138,32316,0.995748,True,True,False,False,>50K,<=50K,0.65942,0.34058,False,2,"{""<=50K"": 0.65942, "">50K"": 0.34058}"
13850,age=45 | sex=Female,,age=45 | sex=Female,,32454,32454,221,221,221,32233,0.99319,True,True,False,False,<=50K,<=50K,0.855204,0.855204,False,2,"{""<=50K"": 0.855204, "">50K"": 0.144796}"
7650,age=43 | sex=Male,,age=43 | sex=Male,,32454,32454,541,541,541,31913,0.98333,True,True,False,False,<=50K,<=50K,0.595194,0.595194,False,2,"{""<=50K"": 0.595194, "">50K"": 0.404806}"
17433,age=41 | sex=Male,,age=41 | sex=Male,,32454,32454,574,574,574,31880,0.982313,True,True,False,False,<=50K,<=50K,0.587108,0.587108,False,2,"{""<=50K"": 0.587108, "">50K"": 0.412892}"
8218,age=65 | sex=Female,,age=65 | sex=Female,,32454,32454,57,57,57,32397,0.998244,True,True,False,False,<=50K,<=50K,0.982456,0.982456,False,2,"{""<=50K"": 0.982456, "">50K"": 0.017544}"
1461,age=46 | sex=Male,,age=46 | sex=Male,,32454,32454,509,509,509,31945,0.984316,True,True,False,False,<=50K,>50K,0.504912,0.495088,False,2,"{"">50K"": 0.504912, ""<=50K"": 0.495088}"
11226,age=27 | sex=Male,,age=27 | sex=Male,,32454,32454,541,541,541,31913,0.98333,True,True,False,False,>50K,<=50K,0.889094,0.110906,False,2,"{""<=50K"": 0.889094, "">50K"": 0.110906}"
16788,age=64 | sex=Male,,age=64 | sex=Male,,32454,32454,138,138,138,32316,0.995748,True,True,False,False,>50K,<=50K,0.65942,0.34058,False,2,"{""<=50K"": 0.65942, "">50K"": 0.34058}"
17647,age=41 | sex=Male,,age=41 | sex=Male,,32454,32454,574,574,574,31880,0.982313,True,True,False,False,<=50K,<=50K,0.587108,0.587108,False,2,"{""<=50K"": 0.587108, "">50K"": 0.412892}"
10699,age=26 | sex=Female,,age=26 | sex=Female,,32454,32454,288,288,288,32166,0.991126,True,True,False,False,<=50K,<=50K,0.951389,0.951389,False,2,"{""<=50K"": 0.951389, "">50K"": 0.048611}"
16785,age=44 | sex=Male,,age=44 | sex=Male,,32454,32454,521,521,521,31933,0.983947,True,True,False,False,>50K,<=50K,0.518234,0.481766,False,2,"{""<=50K"": 0.518234, "">50K"": 0.481766}"
16845,age=23 | sex=Male,,age=23 | sex=Male,,32454,32454,518,518,518,31936,0.984039,True,True,False,False,<=50K,<=50K,0.980695,0.980695,False,2,"{""<=50K"": 0.980695, "">50K"": 0.019305}"
5533,age=26 | sex=Female,,age=26 | sex=Female,,32454,32454,288,288,288,32166,0.991126,True,True,False,False,<=50K,<=50K,0.951389,0.951389,False,2,"{""<=50K"": 0.951389, "">50K"": 0.048611}"
5240,age=25 | sex=Female,,age=25 | sex=Female,,32454,32454,313,313,313,32141,0.990356,True,True,False,False,<=50K,<=50K,0.952077,0.952077,False,2,"{""<=50K"": 0.952077, "">50K"": 0.047923}"
25556,age=25 | sex=Female,,age=25 | sex=Female,,32454,32454,313,313,313,32141,0.990356,True,True,False,False,<=50K,<=50K,0.952077,0.952077,False,2,"{""<=50K"": 0.952077, "">50K"": 0.047923}"
10251,age=22 | sex=Female,,age=22 | sex=Female,,32454,32454,341,341,341,32113,0.989493,True,True,False,False,<=50K,<=50K,0.98827,0.98827,False,2,"{""<=50K"": 0.98827, "">50K"": 0.01173}"
16447,age=22 | sex=Female,,age=22 | sex=Female,,32454,32454,341,341,341,32113,0.989493,True,True,False,False,<=50K,<=50K,0.98827,0.98827,False,2,"{""<=50K"": 0.98827, "">50K"": 0.01173}"
9573,age=39 | sex=Male,,age=39 | sex=Male,,32454,32454,559,559,559,31895,0.982776,True,True,False,False,<=50K,<=50K,0.595707,0.595707,False,2,"{""<=50K"": 0.595707, "">50K"": 0.404293}"
29900,age=38 | sex=Male,,age=38 | sex=Male,,32454,32454,589,589,589,31865,0.981851,True,True,False,False,>50K,<=50K,0.595925,0.404075,False,2,"{""<=50K"": 0.595925, "">50K"": 0.404075}"
1492,age=45 | sex=Male,,age=45 | sex=Male,,32454,32454,511,511,511,31943,0.984255,True,True,False,False,>50K,>50K,0.500978,0.500978,False,2,"{"">50K"": 0.500978, ""<=50K"": 0.499022}"
20484,age=58 | sex=Male,,age=58 | sex=Male,,32454,32454,258,258,258,32196,0.99205,True,True,False,False,>50K,<=50K,0.612403,0.387597,False,2,"{""<=50K"": 0.612403, "">50K"": 0.387597}"
29174,age=41 | sex=Male,,age=41 | sex=Male,,32454,32454,574,574,574,31880,0.982313,True,True,False,False,<=50K,<=50K,0.587108,0.587108,False,2,"{""<=50K"": 0.587108, "">50K"": 0.412892}"
25091,age=50 | sex=Female,,age=50 | sex=Female,,32454,32454,153,153,153,32301,0.995286,True,True,False,False,<=50K,<=50K,0.803922,0.803922,False,2,"{""<=50K"": 0.803922, "">50K"": 0.196078}"
26208,age=36 | sex=Male,,age=36 | sex=Male,,32454,32454,611,611,611,31843,0.981173,True,True,False,False,<=50K,<=50K,0.638298,0.638298,False,2,"{""<=50K"": 0.638298, "">50K"": 0.361702}"
11320,age=26 | sex=Male,,age=26 | sex=Male,,32454,32454,493,493,493,31961,0.984809,True,True,False,False,<=50K,<=50K,0.900609,0.900609,False,2,"{""<=50K"": 0.900609, "">50K"": 0.099391}"
12478,age=41 | sex=Male,,age=41 | sex=Male,,32454,32454,574,574,574,31880,0.982313,True,True,False,False,<=50K,<=50K,0.587108,0.587108,False,2,"{""<=50K"": 0.587108, "">50K"": 0.412892}"
21032,age=25 | sex=Female,,age=25 | sex=Female,,32454,32454,313,313,313,32141,0.990356,True,True,False,False,<=50K,<=50K,0.952077,0.952077,False,2,"{""<=50K"": 0.952077, "">50K"": 0.047923}"
19579,age=30 | sex=Female,,age=30 | sex=Female,,32454,32454,273,273,273,32181,0.991588,True,True,False,False,<=50K,<=50K,0.893773,0.893773,False,2,"{""<=50K"": 0.893773, "">50K"": 0.106227}"
29644,age=46 | sex=Male,,age=46 | sex=Male,,32454,32454,509,509,509,31945,0.984316,True,True,False,False,>50K,>50K,0.504912,0.504912,False,2,"{"">50K"": 0.504912, ""<=50K"": 0.495088}"
16680,age=20 | sex=Male,,age=20 | sex=Male,,32454,32454,390,390,390,32064,0.987983,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
6357,age=29 | sex=Male,,age=29 | sex=Male,,32454,32454,542,542,542,31912,0.983299,True,True,False,False,<=50K,<=50K,0.811808,0.811808,False,2,"{""<=50K"": 0.811808, "">50K"": 0.188192}"
21715,age=41 | sex=Male,,age=41 | sex=Male,,32454,32454,574,574,574,31880,0.982313,True,True,False,False,>50K,<=50K,0.587108,0.412892,False,2,"{""<=50K"": 0.587108, "">50K"": 0.412892}"
26918,age=29 | sex=Female,,age=29 | sex=Female,,32454,32454,267,267,267,32187,0.991773,True,True,False,False,<=50K,<=50K,0.88015,0.88015,False,2,"{""<=50K"": 0.88015, "">50K"": 0.11985}"
19243,age=40 | sex=Female,,age=40 | sex=Female,,32454,32454,262,262,262,32192,0.991927,True,True,False,False,<=50K,<=50K,0.820611,0.820611,False,2,"{""<=50K"": 0.820611, "">50K"": 0.179389}"
19653,age=68 | sex=Male,,age=68 | sex=Male,,32454,32454,77,77,77,32377,0.997627,True,True,False,False,<=50K,<=50K,0.701299,0.701299,False,2,"{""<=50K"": 0.701299, "">50K"": 0.298701}"
20633,age=25 | sex=Male,,age=25 | sex=Male,,32454,32454,527,527,527,31927,0.983762,True,True,False,False,<=50K,<=50K,0.927894,0.927894,False,2,"{""<=50K"": 0.927894, "">50K"": 0.072106}"
19274,age=45 | sex=Female,,age=45 | sex=Female,,32454,32454,221,221,221,32233,0.99319,True,True,False,False,<=50K,<=50K,0.855204,0.855204,False,2,"{""<=50K"": 0.855204, "">50K"": 0.144796}"
30884,age=57 | sex=Female,,age=57 | sex=Female,,32454,32454,90,90,90,32364,0.997227,True,True,False,False,>50K,<=50K,0.888889,0.111111,False,2,"{""<=50K"": 0.888889, "">50K"": 0.111111}"
13236,age=57 | sex=Male,,age=57 | sex=Male,,32454,32454,265,265,265,32189,0.991835,True,True,False,False,>50K,<=50K,0.543396,0.456604,False,2,"{""<=50K"": 0.543396, "">50K"": 0.456604}"
29123,age=29 | sex=Male,,age=29 | sex=Male,,32454,32454,542,542,542,31912,0.983299,True,True,False,False,>50K,<=50K,0.811808,0.188192,False,2,"{""<=50K"": 0.811808, "">50K"": 0.188192}"
2237,age=37 | sex=Male,,age=37 | sex=Male,,32454,32454,627,627,627,31827,0.98068,True,True,False,False,>50K,<=50K,0.604466,0.395534,False,2,"{""<=50K"": 0.604466, "">50K"": 0.395534}"
23372,age=22 | sex=Male,,age=22 | sex=Male,,32454,32454,423,423,423,32031,0.986966,True,True,False,False,<=50K,<=50K,0.978723,0.978723,False,2,"{""<=50K"": 0.978723, "">50K"": 0.021277}"
29414,age=33 | sex=Female,,age=33 | sex=Female,,32454,32454,253,253,253,32201,0.992204,True,True,False,False,<=50K,<=50K,0.857708,0.857708,False,2,"{""<=50K"": 0.857708, "">50K"": 0.142292}"
8498,age=38 | sex=Male,,age=38 | sex=Male,,32454,32454,589,589,589,31865,0.981851,True,True,False,False,<=50K,<=50K,0.595925,0.595925,False,2,"{""<=50K"": 0.595925, "">50K"": 0.404075}"
3613,age=24 | sex=Female,,age=24 | sex=Female,,32454,32454,303,303,303,32151,0.990664,True,True,False,False,<=50K,<=50K,0.973597,0.973597,False,2,"{""<=50K"": 0.973597, "">50K"": 0.026403}"
14887,age=58 | sex=Male,,age=58 | sex=Male,,32454,32454,258,258,258,32196,0.99205,True,True,False,False,<=50K,<=50K,0.612403,0.612403,False,2,"{""<=50K"": 0.612403, "">50K"": 0.387597}"
29816,age=19 | sex=Male,,age=19 | sex=Male,,32454,32454,356,356,356,32098,0.989031,True,True,False,False,<=50K,<=50K,0.997191,0.997191,False,2,"{""<=50K"": 0.997191, "">50K"": 0.002809}"
10404,age=39 | sex=Female,,age=39 | sex=Female,,32454,32454,253,253,253,32201,0.992204,True,True,False,False,<=50K,<=50K,0.794466,0.794466,False,2,"{""<=50K"": 0.794466, "">50K"": 0.205534}"
371,age=17 | sex=Male,,age=17 | sex=Male,,32454,32454,209,209,209,32245,0.99356,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
13076,age=28 | sex=Male,,age=28 | sex=Male,,32454,32454,556,556,556,31898,0.982868,True,True,False,False,<=50K,<=50K,0.839928,0.839928,False,2,"{""<=50K"": 0.839928, "">50K"": 0.160072}"
12122,age=27 | sex=Female,,age=27 | sex=Female,,32454,32454,294,294,294,32160,0.990941,True,True,False,False,<=50K,<=50K,0.928571,0.928571,False,2,"{""<=50K"": 0.928571, "">50K"": 0.071429}"
7850,age=57 | sex=Male,,age=57 | sex=Male,,32454,32454,265,265,265,32189,0.991835,True,True,False,False,<=50K,<=50K,0.543396,0.543396,False,2,"{""<=50K"": 0.543396, "">50K"": 0.456604}"
31740,age=40 | sex=Male,,age=40 | sex=Male,,32454,32454,529,529,529,31925,0.9837,True,True,False,False,<=50K,<=50K,0.582231,0.582231,False,2,"{""<=50K"": 0.582231, "">50K"": 0.417769}"
14573,age=60 | sex=Male,,age=60 | sex=Male,,32454,32454,232,232,232,32222,0.992851,True,True,False,False,>50K,<=50K,0.616379,0.383621,False,2,"{""<=50K"": 0.616379, "">50K"": 0.383621}"
7860,age=30 | sex=Male,,age=30 | sex=Male,,32454,32454,587,587,587,31867,0.981913,True,True,False,False,<=50K,<=50K,0.758092,0.758092,False,2,"{""<=50K"": 0.758092, "">50K"": 0.241908}"
21567,age=39 | sex=Female,,age=39 | sex=Female,,32454,32454,253,253,253,32201,0.992204,True,True,False,False,<=50K,<=50K,0.794466,0.794466,False,2,"{""<=50K"": 0.794466, "">50K"": 0.205534}"
27777,age=21 | sex=Female,,age=21 | sex=Female,,32454,32454,329,329,329,32125,0.989863,True,True,False,False,<=50K,<=50K,0.993921,0.993921,False,2,"{""<=50K"": 0.993921, "">50K"": 0.006079}"
