record_id,occupation,sex,capital-gain,marital-status,race,relationship,workclass
16811,Prof-specialty,Female,0,Married-civ-spouse,White,Wife,Local-gov
16831,Transport-moving,Female,0,Never-married,White,Other-relative,Private
1684,Transport-moving,Male,0,Never-married,White,Own-child,Self-emp-not-inc
16863,Sales,Male,0,Married-civ-spouse,White,Husband,Private
16954,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Local-gov
17006,Sales,Male,0,Married-civ-spouse,White,Husband,Self-emp-inc
17011,Adm-clerical,Female,0,Never-married,White,Own-child,Private
17087,Craft-repair,Male,0,Never-married,White,Own-child,Private
17194,Handlers-cleaners,Male,0,Never-married,Black,Other-relative,Private
17470,?,Female,0,Never-married,White,Own-child,?
17477,Other-service,Female,0,Divorced,Black,Unmarried,Private
17616,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Local-gov
17682,Sales,Male,0,Married-civ-spouse,White,Husband,Private
17700,Sales,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
17885,Adm-clerical,Female,0,Married-civ-spouse,White,Wife,Self-emp-not-inc
17905,?,Male,0,Married-civ-spouse,White,Husband,?
17930,Protective-serv,Male,0,Married-civ-spouse,White,Husband,State-gov
18002,Craft-repair,Male,0,Separated,White,Own-child,Self-emp-not-inc
18038,Other-service,Female,0,Divorced,White,Not-in-family,Private
18082,Sales,Male,0,Never-married,White,Not-in-family,Self-emp-not-inc
1815,Handlers-cleaners,Male,0,Never-married,Black,Own-child,Private
18152,Machine-op-inspct,Male,0,Married-civ-spouse,White,Husband,Federal-gov
18283,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
18308,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
1837,Farming-fishing,Male,0,Married-civ-spouse,White,Husband,Private
18579,Other-service,Female,0,Never-married,White,Own-child,Private
18586,Exec-managerial,Female,0,Married-civ-spouse,White,Wife,Private
18739,Protective-serv,Male,0,Married-civ-spouse,White,Husband,Federal-gov
18920,Machine-op-inspct,Female,0,Divorced,White,Not-in-family,Private
18959,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Private
19037,Prof-specialty,Male,0,Never-married,White,Not-in-family,Private
19051,Other-service,Female,0,Never-married,White,Not-in-family,Private
19081,Adm-clerical,Female,0,Never-married,White,Own-child,Private
1912,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Self-emp-inc
19168,?,Male,0,Married-civ-spouse,White,Husband,?
1923,?,Female,0,Never-married,White,Own-child,?
1959,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Private
196,Craft-repair,Male,0,Divorced,White,Not-in-family,Private
19654,Sales,Male,0,Married-civ-spouse,White,Husband,Private
19715,Adm-clerical,Female,0,Never-married,Black,Unmarried,Private
19872,Adm-clerical,Female,0,Married-civ-spouse,White,Other-relative,Private
19960,Adm-clerical,Male,0,Never-married,White,Not-in-family,Private
20008,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,Private
20058,Sales,Male,0,Never-married,White,Not-in-family,Private
20220,Machine-op-inspct,Female,0,Divorced,Black,Unmarried,Private
20371,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
20372,Machine-op-inspct,Male,0,Married-civ-spouse,White,Husband,Private
20528,Craft-repair,Male,0,Separated,White,Own-child,Private
20745,Farming-fishing,Male,0,Never-married,White,Own-child,Local-gov
20765,Farming-fishing,Male,0,Married-civ-spouse,White,Husband,Private
20802,Handlers-cleaners,Male,0,Never-married,White,Not-in-family,Private
20960,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Private
21030,Farming-fishing,Male,0,Married-civ-spouse,White,Husband,Private
21243,?,Male,2414,Married-civ-spouse,White,Husband,?
21288,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
21401,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,Self-emp-inc
21411,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
21437,?,Male,0,Never-married,Black,Own-child,?
216,Sales,Female,0,Divorced,White,Not-in-family,Private
21659,Craft-repair,Male,0,Divorced,White,Unmarried,Private
21692,Sales,Female,0,Never-married,White,Not-in-family,Private
21722,Other-service,Male,0,Married-civ-spouse,White,Husband,Private
22004,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
2201,Adm-clerical,Male,0,Married-civ-spouse,White,Husband,Federal-gov
22043,Other-service,Female,0,Never-married,White,Own-child,Private
22112,Sales,Female,0,Never-married,White,Not-in-family,Private
22173,?,Male,0,Never-married,White,Other-relative,?
22302,Other-service,Male,0,Never-married,Black,Other-relative,Private
22315,Sales,Male,0,Married-civ-spouse,White,Husband,Private
22591,Exec-managerial,Female,13550,Divorced,White,Not-in-family,Private
22622,Other-service,Male,0,Divorced,White,Not-in-family,Private
22822,Other-service,Male,0,Never-married,White,Own-child,Private
22844,Sales,Male,3818,Married-civ-spouse,White,Husband,Self-emp-not-inc
22864,Other-service,Female,0,Never-married,White,Not-in-family,Private
22900,Craft-repair,Male,0,Married-civ-spouse,Asian-Pac-Islander,Husband,Private
22959,Farming-fishing,Male,0,Married-civ-spouse,White,Husband,Private
23001,Other-service,Female,0,Never-married,White,Own-child,Private
23067,Machine-op-inspct,Male,0,Never-married,Black,Not-in-family,Private
23087,Prof-specialty,Female,99999,Married-civ-spouse,White,Wife,Private
23128,Transport-moving,Male,0,Never-married,White,Unmarried,Local-gov
2320,Craft-repair,Male,0,Never-married,White,Not-in-family,Private
23321,Sales,Male,0,Never-married,White,Own-child,Private
23371,Prof-specialty,Female,0,Never-married,White,Not-in-family,Private
2361,Prof-specialty,Male,99999,Married-civ-spouse,White,Husband,Private
24013,Prof-specialty,Male,0,Never-married,White,Not-in-family,Private
24038,Tech-support,Male,0,Married-civ-spouse,White,Husband,Private
24187,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
24236,Tech-support,Male,0,Married-civ-spouse,White,Husband,Private
24322,Prof-specialty,Female,0,Married-civ-spouse,White,Wife,Private
24337,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Local-gov
24372,Other-service,Female,0,Separated,White,Not-in-family,Private
24469,Other-service,Female,0,Divorced,Black,Unmarried,Local-gov
24510,Exec-managerial,Male,99999,Married-civ-spouse,White,Husband,Self-emp-not-inc
24639,Other-service,Male,0,Never-married,White,Not-in-family,Private
24640,Machine-op-inspct,Male,0,Never-married,White,Own-child,Private
24643,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
24658,Adm-clerical,Female,0,Never-married,White,Own-child,Private
24719,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Private
2476,?,Male,0,Never-married,White,Not-in-family,?
24792,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Private
24885,Prof-specialty,Female,0,Never-married,White,Not-in-family,Private
24911,Prof-specialty,Female,0,Widowed,White,Not-in-family,Private
2497,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Private
24984,Adm-clerical,Female,0,Married-civ-spouse,White,Wife,Private
25031,Exec-managerial,Female,0,Never-married,White,Other-relative,Private
25040,Sales,Female,0,Never-married,White,Own-child,Private
25089,Protective-serv,Male,0,Married-civ-spouse,Black,Husband,Private
25172,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
25182,Exec-managerial,Male,0,Never-married,White,Not-in-family,Private
25199,Other-service,Male,0,Never-married,White,Not-in-family,Private
25209,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Private
25497,Adm-clerical,Female,0,Never-married,White,Unmarried,Private
25550,Machine-op-inspct,Male,0,Divorced,White,Own-child,Private
25598,Sales,Female,0,Separated,White,Unmarried,Private
25611,Prof-specialty,Male,99999,Married-civ-spouse,White,Husband,Self-emp-inc
2564,Sales,Male,0,Never-married,Black,Own-child,Private
25729,Other-service,Male,0,Married-civ-spouse,White,Husband,Private
25767,Sales,Female,0,Never-married,White,Unmarried,Private
25779,Handlers-cleaners,Male,0,Divorced,White,Own-child,Private
25961,Machine-op-inspct,Male,0,Married-civ-spouse,White,Husband,Private
26082,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
26144,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Local-gov
26185,Prof-specialty,Female,5013,Married-civ-spouse,White,Wife,Private
26219,Exec-managerial,Male,0,Divorced,White,Not-in-family,State-gov
26222,Sales,Male,0,Never-married,Black,Not-in-family,Private
26331,?,Female,0,Never-married,White,Unmarried,?
26380,Transport-moving,Male,0,Married-civ-spouse,Amer-Indian-Eskimo,Husband,Self-emp-not-inc
26442,Prof-specialty,Male,99999,Married-civ-spouse,White,Husband,Self-emp-inc
26458,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
26466,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Private
2649,Adm-clerical,Female,0,Married-civ-spouse,White,Wife,Private
26507,Adm-clerical,Female,0,Never-married,White,Own-child,Private
26544,Adm-clerical,Female,0,Divorced,White,Unmarried,Private
26625,Farming-fishing,Male,0,Widowed,White,Not-in-family,Self-emp-not-inc
26632,Sales,Female,13550,Never-married,White,Not-in-family,Private
26691,Handlers-cleaners,Male,0,Married-civ-spouse,White,Husband,Private
2678,Farming-fishing,Female,0,Never-married,White,Not-in-family,Private
26823,Other-service,Female,0,Married-civ-spouse,White,Wife,Self-emp-not-inc
27022,?,Male,0,Married-civ-spouse,White,Husband,?
27055,Handlers-cleaners,Male,0,Never-married,White,Other-relative,Private
2730,Priv-house-serv,Female,0,Married-civ-spouse,Black,Other-relative,Private
27331,?,Male,0,Never-married,White,Not-in-family,?
27362,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
27578,?,Female,0,Widowed,White,Not-in-family,?
27807,Other-service,Male,0,Never-married,White,Not-in-family,Private
27936,Handlers-cleaners,Male,0,Divorced,Black,Own-child,Private
28196,Sales,Male,4508,Married-civ-spouse,White,Husband,Private
28242,Machine-op-inspct,Female,0,Never-married,White,Own-child,Private
28293,?,Male,0,Married-civ-spouse,White,Husband,?
28377,Prof-specialty,Female,0,Never-married,White,Not-in-family,Local-gov
2847,?,Female,0,Never-married,Black,Unmarried,?
2848,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Private
28517,Adm-clerical,Female,0,Never-married,White,Own-child,Private
28539,Sales,Male,0,Married-civ-spouse,White,Husband,Private
28612,Adm-clerical,Female,0,Divorced,Black,Not-in-family,Private
28622,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,Private
28653,Sales,Female,0,Never-married,White,Not-in-family,Private
2874,Adm-clerical,Female,7688,Married-civ-spouse,White,Wife,Federal-gov
28838,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
28848,Sales,Male,0,Separated,White,Unmarried,Private
28850,Craft-repair,Male,7298,Married-civ-spouse,White,Husband,Private
28884,Sales,Male,0,Never-married,Asian-Pac-Islander,Other-relative,Private
29031,Handlers-cleaners,Male,0,Never-married,White,Other-relative,Private
29090,Machine-op-inspct,Female,0,Divorced,Black,Unmarried,Private
29184,Adm-clerical,Male,0,Never-married,Other,Not-in-family,Local-gov
29752,?,Female,0,Divorced,White,Unmarried,?
29803,Sales,Female,8614,Never-married,White,Not-in-family,Private
29857,Sales,Male,0,Married-civ-spouse,White,Husband,Private
29916,Prof-specialty,Female,0,Divorced,White,Unmarried,Private
30073,Handlers-cleaners,Male,0,Never-married,White,Own-child,Private
30155,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
30160,Other-service,Male,0,Never-married,White,Not-in-family,State-gov
30489,Transport-moving,Male,0,Never-married,White,Not-in-family,Private
30539,Prof-specialty,Female,0,Divorced,Black,Unmarried,Private
30563,Transport-moving,Male,0,Divorced,White,Not-in-family,Private
30634,Other-service,Male,0,Never-married,White,Own-child,Private
30644,Other-service,Female,0,Never-married,White,Not-in-family,Private
30777,Adm-clerical,Female,0,Never-married,White,Own-child,Private
30822,?,Female,0,Never-married,White,Not-in-family,?
30964,Adm-clerical,Male,0,Married-civ-spouse,White,Husband,Private
3122,Adm-clerical,Female,0,Married-civ-spouse,White,Wife,Private
31260,Sales,Female,0,Widowed,White,Unmarried,Self-emp-not-inc
31594,?,Female,0,Divorced,White,Not-in-family,?
31789,Other-service,Female,0,Married-civ-spouse,Black,Wife,Private
31951,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
31964,Machine-op-inspct,Female,0,Never-married,Black,Unmarried,Private
32061,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,Private
32145,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
32247,Exec-managerial,Female,0,Widowed,White,Unmarried,Federal-gov
32286,Prof-specialty,Female,0,Never-married,Black,Own-child,Private
32402,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
32431,Machine-op-inspct,Female,0,Divorced,White,Not-in-family,Private
3263,Adm-clerical,Female,0,Never-married,White,Not-in-family,Private
3298,Other-service,Female,0,Never-married,Black,Unmarried,Private
3315,Sales,Female,0,Widowed,White,Not-in-family,Private
3383,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
345,Sales,Male,0,Never-married,White,Not-in-family,Self-emp-not-inc
3580,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
3594,?,Female,7688,Married-civ-spouse,White,Wife,?
3673,Craft-repair,Male,7688,Married-civ-spouse,White,Husband,Private
369,Sales,Female,0,Divorced,White,Unmarried,Private
3707,Craft-repair,Male,7298,Married-civ-spouse,Amer-Indian-Eskimo,Husband,Private
3929,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
4034,Craft-repair,Male,0,Never-married,White,Not-in-family,Private
4296,Other-service,Male,0,Never-married,White,Own-child,Private
4405,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Private
4413,?,Female,0,Never-married,White,Own-child,?
4450,Sales,Male,0,Never-married,White,Not-in-family,Self-emp-inc
4475,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,State-gov
4667,Farming-fishing,Male,0,Never-married,White,Own-child,Private
4867,Machine-op-inspct,Male,0,Married-civ-spouse,White,Husband,Private
4962,Craft-repair,Male,0,Never-married,Other,Own-child,Private
4978,Sales,Male,8614,Divorced,White,Not-in-family,Private
499,?,Male,0,Married-civ-spouse,White,Husband,?
5018,Exec-managerial,Male,0,Never-married,White,Not-in-family,Federal-gov
5165,Prof-specialty,Male,0,Never-married,White,Not-in-family,Private
5332,Handlers-cleaners,Male,0,Never-married,White,Own-child,Private
5477,Prof-specialty,Male,0,Never-married,White,Own-child,State-gov
5662,Exec-managerial,Female,0,Married-civ-spouse,White,Wife,Private
5665,Other-service,Male,0,Divorced,Black,Not-in-family,Private
6004,Sales,Male,3103,Married-civ-spouse,White,Husband,Private
6149,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Self-emp-inc
6150,Exec-managerial,Female,0,Married-civ-spouse,Asian-Pac-Islander,Wife,Self-emp-inc
6368,Handlers-cleaners,Male,0,Never-married,White,Own-child,Private
6380,Transport-moving,Male,0,Never-married,White,Not-in-family,Private
6396,Handlers-cleaners,Male,0,Never-married,White,Own-child,Private
6563,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Private
6633,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,Private
6647,Adm-clerical,Male,0,Never-married,Black,Own-child,Federal-gov
6816,Prof-specialty,Female,0,Never-married,White,Not-in-family,Local-gov
6913,Adm-clerical,Male,0,Married-civ-spouse,White,Husband,Local-gov
7072,Machine-op-inspct,Male,0,Married-civ-spouse,Asian-Pac-Islander,Husband,Private
7162,Adm-clerical,Male,0,Divorced,Black,Not-in-family,Federal-gov
7230,Machine-op-inspct,Female,0,Married-civ-spouse,White,Wife,Private
7279,Sales,Female,0,Married-spouse-absent,Black,Not-in-family,Private
7423,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Private
7468,Other-service,Female,0,Married-civ-spouse,White,Wife,Private
7697,Craft-repair,Male,0,Married-civ-spouse,Asian-Pac-Islander,Husband,Private
7758,Handlers-cleaners,Female,0,Widowed,White,Not-in-family,Private
7919,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
8029,Exec-managerial,Female,0,Married-civ-spouse,White,Wife,Private
8055,Exec-managerial,Female,0,Married-civ-spouse,White,Wife,Private
8073,Sales,Male,0,Married-civ-spouse,White,Husband,Private
8157,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Private
8158,Transport-moving,Male,0,Never-married,White,Own-child,Local-gov
8268,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
8275,Farming-fishing,Female,0,Never-married,White,Unmarried,Private
8283,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Private
83,Sales,Male,0,Married-civ-spouse,White,Husband,Private
8355,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
843,Prof-specialty,Female,0,Widowed,White,Not-in-family,Local-gov
8539,Sales,Female,0,Never-married,White,Not-in-family,Private
8630,Sales,Male,0,Never-married,White,Own-child,Private
8677,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Private
8687,Craft-repair,Female,0,Divorced,White,Own-child,Private
8697,Farming-fishing,Male,0,Divorced,White,Not-in-family,Self-emp-not-inc
8714,Exec-managerial,Female,0,Divorced,White,Not-in-family,Private
8972,Adm-clerical,Female,0,Divorced,White,Not-in-family,Local-gov
9316,Transport-moving,Male,0,Married-spouse-absent,Black,Not-in-family,Private
9528,Craft-repair,Male,0,Never-married,White,Unmarried,Private
9788,Craft-repair,Male,2885,Married-civ-spouse,White,Husband,Self-emp-not-inc
9806,Priv-house-serv,Female,0,Widowed,White,Not-in-family,Private
