record_id,education,marital-status,native-country,race,relationship,age,occupation,workclass
18783,Some-college,Married-civ-spouse,United-States,Amer-Indian-Eskimo,Husband,32,Sales,Self-emp-not-inc
18803,Assoc-acdm,Never-married,United-States,White,Not-in-family,33,Prof-specialty,Private
18849,HS-grad,Never-married,United-States,White,Not-in-family,41,Handlers-cleaners,Private
18940,HS-grad,Widowed,United-States,White,Unmarried,65,Adm-clerical,Private
19183,Bachelors,Never-married,Canada,White,Not-in-family,29,Adm-clerical,Private
19191,HS-grad,Never-married,United-States,White,Not-in-family,27,Machine-op-inspct,Private
19213,Some-college,Never-married,United-States,White,Not-in-family,23,Craft-repair,Private
19361,Assoc-voc,Married-civ-spouse,United-States,White,Husband,43,Craft-repair,Private
19434,Masters,Married-spouse-absent,United-States,White,Not-in-family,67,Exec-managerial,Private
19511,11th,Married-civ-spouse,Vietnam,Asian-Pac-Islander,Husband,30,Handlers-cleaners,Private
19948,10th,Widowed,United-States,White,Unmarried,63,Farming-fishing,Private
19977,HS-grad,Married-civ-spouse,United-States,White,Husband,49,Craft-repair,Private
20065,HS-grad,Married-civ-spouse,United-States,White,Husband,33,Craft-repair,Private
20068,9th,Never-married,United-States,White,Own-child,24,?,?
20107,HS-grad,Married-civ-spouse,United-States,White,Husband,64,Machine-op-inspct,Private
20386,Masters,Married-civ-spouse,United-States,White,Husband,40,Prof-specialty,Private
20454,HS-grad,Divorced,United-States,White,Not-in-family,47,Adm-clerical,Federal-gov
20562,Bachelors,Married-civ-spouse,United-States,White,Husband,43,Prof-specialty,Self-emp-not-inc
20635,Bachelors,Divorced,United-States,White,Not-in-family,46,Prof-specialty,Private
20700,HS-grad,Divorced,United-States,White,Unmarried,33,Other-service,Private
20707,Some-college,Never-married,United-States,White,Own-child,20,Prof-specialty,Self-emp-not-inc
21260,Bachelors,Widowed,United-States,White,Not-in-family,55,Prof-specialty,Local-gov
21262,Some-college,Never-married,United-States,White,Own-child,18,Other-service,Private
21265,Some-college,Never-married,United-States,White,Own-child,19,Adm-clerical,Private
2133,Masters,Never-married,United-States,White,Not-in-family,27,Exec-managerial,Private
21432,HS-grad,Never-married,United-States,White,Unmarried,39,Exec-managerial,Federal-gov
21490,Some-college,Never-married,United-States,Black,Own-child,19,Exec-managerial,Private
21677,HS-grad,Never-married,United-States,White,Not-in-family,22,Other-service,Private
2175,Bachelors,Married-civ-spouse,United-States,White,Wife,27,Prof-specialty,Private
21861,Masters,Married-civ-spouse,United-States,White,Husband,45,?,?
21923,11th,Divorced,United-States,White,Other-relative,40,Other-service,Private
2206,HS-grad,Married-civ-spouse,United-States,White,Husband,45,Transport-moving,Private
22276,Some-college,Divorced,United-States,White,Not-in-family,39,Exec-managerial,Private
22328,HS-grad,Married-civ-spouse,United-States,White,Wife,54,Machine-op-inspct,Private
22400,HS-grad,Separated,United-States,Black,Unmarried,26,Sales,Private
22430,Masters,Married-civ-spouse,United-States,White,Husband,41,Exec-managerial,Local-gov
22523,HS-grad,Never-married,United-States,White,Not-in-family,34,Craft-repair,Private
22529,Bachelors,Never-married,United-States,White,Own-child,22,Exec-managerial,Private
22599,HS-grad,Married-civ-spouse,United-States,White,Husband,47,Adm-clerical,Federal-gov
22624,HS-grad,Divorced,United-States,White,Own-child,29,Sales,Private
22884,5th-6th,Never-married,Mexico,White,Own-child,31,Other-service,Private
22908,Some-college,Married-spouse-absent,United-States,White,Unmarried,30,Exec-managerial,Private
22987,HS-grad,Married-civ-spouse,United-States,White,Husband,62,Other-service,Local-gov
23028,Assoc-acdm,Divorced,United-States,White,Unmarried,33,Exec-managerial,Federal-gov
2312,Bachelors,Married-civ-spouse,United-States,White,Wife,26,Sales,Private
23150,HS-grad,Never-married,United-States,White,Own-child,19,Handlers-cleaners,Private
23296,HS-grad,Married-civ-spouse,United-States,White,Husband,34,Transport-moving,Private
23343,Some-college,Married-civ-spouse,United-States,White,Husband,36,Sales,Self-emp-inc
23624,Assoc-voc,Never-married,United-States,White,Not-in-family,23,Tech-support,Private
23670,Some-college,Never-married,United-States,White,Own-child,26,?,?
23700,HS-grad,Married-civ-spouse,United-States,White,Husband,27,Adm-clerical,Private
23878,Bachelors,Married-civ-spouse,United-States,White,Husband,51,Adm-clerical,Local-gov
239,HS-grad,Never-married,United-States,White,Own-child,23,Transport-moving,Private
2394,Some-college,Never-married,United-States,White,Own-child,18,Sales,Private
24201,HS-grad,Married-civ-spouse,United-States,White,Husband,52,Protective-serv,Local-gov
24241,Some-college,Never-married,United-States,White,Own-child,20,?,?
24267,Some-college,Separated,United-States,White,Not-in-family,36,Exec-managerial,Private
24268,HS-grad,Never-married,United-States,Black,Not-in-family,29,Craft-repair,Private
24480,Some-college,Married-civ-spouse,United-States,White,Husband,30,Sales,Private
24515,11th,Never-married,United-States,White,Own-child,18,Handlers-cleaners,Private
2460,Assoc-voc,Married-civ-spouse,United-States,White,Husband,38,Craft-repair,Private
24600,Bachelors,Married-civ-spouse,United-States,White,Husband,41,Prof-specialty,Self-emp-inc
24689,HS-grad,Married-civ-spouse,United-States,White,Wife,53,Adm-clerical,Local-gov
24746,HS-grad,Married-civ-spouse,United-States,White,Husband,51,Prof-specialty,Private
24790,Prof-school,Married-civ-spouse,United-States,White,Husband,50,Prof-specialty,Self-emp-inc
24884,Assoc-acdm,Divorced,United-States,White,Not-in-family,50,Prof-specialty,Local-gov
2493,11th,Never-married,United-States,White,Own-child,18,Craft-repair,Private
2506,Some-college,Never-married,United-States,White,Own-child,19,?,?
25142,HS-grad,Married-civ-spouse,United-States,White,Husband,35,Other-service,Private
25157,Some-college,Never-married,United-States,White,Own-child,20,Adm-clerical,Private
25436,Bachelors,Married-civ-spouse,United-States,White,Husband,53,Craft-repair,Private
25460,HS-grad,Divorced,United-States,Amer-Indian-Eskimo,Not-in-family,34,Craft-repair,Private
25569,5th-6th,Married-civ-spouse,El-Salvador,White,Husband,59,Other-service,Self-emp-not-inc
25666,Some-college,Married-civ-spouse,United-States,White,Husband,37,Machine-op-inspct,Private
2579,HS-grad,Married-civ-spouse,United-States,White,Husband,47,Transport-moving,Private
25863,HS-grad,Never-married,United-States,White,Unmarried,29,Other-service,Private
2587,Bachelors,Married-civ-spouse,?,Asian-Pac-Islander,Husband,36,Prof-specialty,Private
25885,Bachelors,Never-married,United-States,Black,Not-in-family,28,Prof-specialty,Self-emp-not-inc
25905,HS-grad,Never-married,United-States,White,Not-in-family,28,Craft-repair,Private
26014,Assoc-acdm,Divorced,United-States,White,Not-in-family,58,Adm-clerical,Private
26172,Assoc-voc,Divorced,United-States,White,Not-in-family,59,Prof-specialty,Self-emp-inc
26195,HS-grad,Married-civ-spouse,United-States,White,Husband,48,Craft-repair,Local-gov
26235,Some-college,Divorced,United-States,White,Own-child,39,Machine-op-inspct,Private
26351,Some-college,Married-civ-spouse,United-States,White,Husband,31,Sales,Private
26368,HS-grad,Married-civ-spouse,United-States,White,Husband,34,Exec-managerial,Private
26419,Bachelors,Married-civ-spouse,United-States,White,Husband,27,Sales,Private
26432,HS-grad,Married-civ-spouse,Laos,Asian-Pac-Islander,Husband,36,Machine-op-inspct,Private
26644,10th,Divorced,United-States,Black,Not-in-family,54,Other-service,Self-emp-not-inc
26687,HS-grad,Married-civ-spouse,United-States,Black,Husband,34,?,?
26994,HS-grad,Married-civ-spouse,United-States,White,Husband,29,Machine-op-inspct,Private
27021,HS-grad,Married-civ-spouse,United-States,White,Husband,49,Farming-fishing,Private
27102,HS-grad,Married-civ-spouse,United-States,White,Husband,55,Craft-repair,Self-emp-not-inc
27104,Some-college,Never-married,United-States,Black,Unmarried,33,Adm-clerical,Local-gov
27179,HS-grad,Never-married,United-States,White,Own-child,26,?,?
27213,Assoc-acdm,Married-civ-spouse,United-States,White,Husband,44,Exec-managerial,Private
27268,HS-grad,Never-married,United-States,White,Own-child,35,Machine-op-inspct,Private
27280,HS-grad,Never-married,United-States,White,Other-relative,25,Handlers-cleaners,Private
274,HS-grad,Divorced,United-States,White,Own-child,30,Prof-specialty,Private
27465,Bachelors,Divorced,United-States,White,Unmarried,45,Exec-managerial,Private
27548,12th,Never-married,United-States,White,Not-in-family,19,Handlers-cleaners,Private
27553,Some-college,Married-civ-spouse,United-States,White,Husband,34,Sales,Private
27761,HS-grad,Divorced,United-States,White,Unmarried,38,Craft-repair,Private
27849,Bachelors,Never-married,United-States,White,Own-child,22,Adm-clerical,Private
27944,HS-grad,Divorced,United-States,White,Unmarried,33,?,?
28012,Assoc-acdm,Married-civ-spouse,United-States,White,Husband,35,Tech-support,Private
28246,Some-college,Married-civ-spouse,United-States,Black,Husband,47,Tech-support,Self-emp-not-inc
28293,Some-college,Married-civ-spouse,United-States,White,Husband,42,?,?
28545,HS-grad,Married-civ-spouse,United-States,White,Husband,36,Transport-moving,Private
28880,HS-grad,Married-civ-spouse,United-States,White,Husband,53,Sales,Private
28943,Some-college,Never-married,United-States,White,Not-in-family,23,?,?
29146,11th,Never-married,United-States,White,Own-child,18,Sales,Private
29237,Some-college,Never-married,United-States,White,Other-relative,22,Sales,Private
29238,Some-college,Never-married,United-States,White,Not-in-family,41,Handlers-cleaners,Private
29261,Assoc-voc,Married-civ-spouse,United-States,Black,Husband,42,Prof-specialty,Private
29453,9th,Never-married,United-States,White,Own-child,18,Farming-fishing,Private
29526,HS-grad,Married-civ-spouse,El-Salvador,White,Husband,51,Other-service,Private
29621,HS-grad,Divorced,United-States,Black,Not-in-family,34,Handlers-cleaners,Private
29641,Assoc-acdm,Never-married,United-States,White,Unmarried,46,Prof-specialty,Private
2968,Bachelors,Married-civ-spouse,United-States,White,Husband,49,Sales,Self-emp-inc
29781,Bachelors,Widowed,United-States,White,Not-in-family,31,Other-service,Private
2982,Some-college,Married-civ-spouse,United-States,White,Husband,43,Exec-managerial,Self-emp-inc
29935,Some-college,Never-married,United-States,White,Unmarried,31,Adm-clerical,Private
30028,Some-college,Never-married,United-States,White,Own-child,19,Other-service,Private
30097,HS-grad,Married-civ-spouse,United-States,Black,Husband,28,Adm-clerical,Private
30126,HS-grad,Never-married,United-States,White,Not-in-family,28,Adm-clerical,Private
30137,HS-grad,Never-married,United-States,White,Not-in-family,26,Adm-clerical,Private
30268,9th,Widowed,United-States,White,Not-in-family,60,?,?
30302,Bachelors,Married-civ-spouse,?,White,Husband,28,Adm-clerical,Private
304,Some-college,Married-civ-spouse,Laos,Asian-Pac-Islander,Wife,24,Adm-clerical,Private
30413,Some-college,Married-civ-spouse,United-States,White,Husband,45,Transport-moving,Private
30565,11th,Married-civ-spouse,United-States,White,Other-relative,20,Handlers-cleaners,Private
30595,Bachelors,Married-spouse-absent,United-States,White,Unmarried,43,Adm-clerical,Private
30623,Some-college,Married-civ-spouse,Canada,White,Husband,72,?,?
30702,Some-college,Divorced,United-States,White,Unmarried,47,Exec-managerial,Private
30787,Prof-school,Married-civ-spouse,United-States,White,Husband,29,Prof-specialty,Self-emp-inc
30844,HS-grad,Divorced,United-States,White,Own-child,36,Other-service,Private
3086,HS-grad,Divorced,United-States,Black,Unmarried,44,Machine-op-inspct,Private
3092,9th,Married-civ-spouse,United-States,White,Husband,60,Farming-fishing,Self-emp-not-inc
31056,Bachelors,Never-married,United-States,White,Not-in-family,31,Exec-managerial,Private
31133,Some-college,Never-married,United-States,White,Own-child,30,Adm-clerical,Private
31194,Some-college,Married-civ-spouse,United-States,White,Husband,59,Sales,Self-emp-not-inc
31195,HS-grad,Never-married,United-States,White,Not-in-family,36,Other-service,Private
31304,10th,Married-civ-spouse,United-States,White,Husband,42,Craft-repair,Private
31386,HS-grad,Married-civ-spouse,United-States,White,Wife,48,Sales,Self-emp-not-inc
31443,11th,Married-civ-spouse,United-States,White,Husband,30,Transport-moving,State-gov
31737,Bachelors,Never-married,United-States,White,Not-in-family,52,Prof-specialty,Private
31761,Bachelors,Married-civ-spouse,United-States,White,Husband,44,Craft-repair,Self-emp-inc
31856,Bachelors,Never-married,United-States,White,Not-in-family,23,Prof-specialty,Private
31937,Some-college,Never-married,United-States,White,Other-relative,22,Adm-clerical,Private
3213,HS-grad,Widowed,United-States,White,Not-in-family,74,Other-service,Federal-gov
32430,7th-8th,Married-civ-spouse,United-States,White,Husband,61,Farming-fishing,Self-emp-not-inc
3313,Bachelors,Never-married,United-States,White,Own-child,23,Prof-specialty,Private
3436,HS-grad,Married-civ-spouse,United-States,White,Husband,38,Craft-repair,Private
3452,Assoc-acdm,Never-married,United-States,White,Own-child,25,Adm-clerical,State-gov
3673,Assoc-acdm,Married-civ-spouse,Germany,White,Husband,39,Craft-repair,Private
3686,HS-grad,Never-married,United-States,White,Other-relative,35,Other-service,Self-emp-not-inc
3704,Masters,Divorced,United-States,White,Not-in-family,34,Prof-specialty,Local-gov
3773,Some-college,Widowed,United-States,White,Not-in-family,74,?,?
3884,Masters,Married-civ-spouse,United-States,White,Husband,51,Prof-specialty,Local-gov
4062,HS-grad,Never-married,United-States,White,Own-child,18,Sales,Private
4098,11th,Never-married,United-States,White,Own-child,19,Handlers-cleaners,Private
4167,Some-college,Married-civ-spouse,United-States,White,Husband,31,Exec-managerial,Local-gov
4213,HS-grad,Never-married,United-States,White,Own-child,30,Machine-op-inspct,Private
4259,Some-college,Never-married,United-States,White,Not-in-family,32,Other-service,Private
4374,Bachelors,Married-civ-spouse,Puerto-Rico,White,Husband,31,Prof-specialty,Self-emp-not-inc
4398,Some-college,Never-married,United-States,White,Own-child,24,Sales,Private
4461,Some-college,Never-married,United-States,White,Own-child,20,Other-service,Private
4594,Assoc-acdm,Never-married,United-States,White,Own-child,23,Other-service,Private
466,HS-grad,Divorced,United-States,White,Unmarried,52,Transport-moving,Private
4692,Some-college,Divorced,United-States,White,Not-in-family,55,Tech-support,Self-emp-not-inc
4806,HS-grad,Divorced,United-States,White,Not-in-family,36,Transport-moving,Private
4839,Assoc-voc,Never-married,United-States,Black,Unmarried,24,Tech-support,Private
4912,Some-college,Never-married,United-States,Black,Own-child,38,Adm-clerical,Private
4941,HS-grad,Married-civ-spouse,United-States,White,Husband,33,Craft-repair,Self-emp-inc
5121,HS-grad,Married-civ-spouse,United-States,White,Husband,50,Craft-repair,Private
5154,Bachelors,Married-civ-spouse,United-States,White,Husband,28,Craft-repair,Private
551,HS-grad,Separated,United-States,White,Unmarried,36,Other-service,Self-emp-not-inc
5570,Some-college,Married-civ-spouse,United-States,White,Husband,42,Craft-repair,Private
5688,HS-grad,Married-civ-spouse,United-States,White,Wife,41,Adm-clerical,Private
5854,Some-college,Married-civ-spouse,?,White,Husband,40,Craft-repair,Private
6292,HS-grad,Never-married,United-States,White,Own-child,18,Sales,Private
631,10th,Separated,United-States,Black,Unmarried,49,Other-service,Local-gov
6474,HS-grad,Separated,United-States,White,Unmarried,37,Prof-specialty,Private
6528,Bachelors,Married-civ-spouse,United-States,White,Husband,63,Prof-specialty,Self-emp-not-inc
6539,HS-grad,Separated,United-States,White,Not-in-family,33,Transport-moving,Private
6560,Prof-school,Never-married,India,Asian-Pac-Islander,Not-in-family,26,Prof-specialty,State-gov
679,HS-grad,Widowed,United-States,White,Not-in-family,58,Exec-managerial,Self-emp-not-inc
6919,Bachelors,Never-married,United-States,White,Not-in-family,27,Prof-specialty,Private
7028,Some-college,Divorced,United-States,White,Unmarried,47,Tech-support,Private
7374,HS-grad,Married-civ-spouse,United-States,White,Husband,37,Craft-repair,Private
7403,Some-college,Married-civ-spouse,United-States,White,Husband,59,Exec-managerial,Private
7651,Some-college,Married-civ-spouse,United-States,White,Husband,40,Craft-repair,Federal-gov
7709,Bachelors,Never-married,United-States,White,Not-in-family,37,Prof-specialty,Private
7897,HS-grad,Married-civ-spouse,United-States,Black,Husband,30,Machine-op-inspct,Private
7961,Prof-school,Divorced,United-States,White,Not-in-family,47,Adm-clerical,Private
8069,5th-6th,Married-civ-spouse,United-States,White,Husband,57,?,?
8116,Bachelors,Separated,United-States,White,Not-in-family,41,Craft-repair,Self-emp-not-inc
8176,Some-college,Married-civ-spouse,United-States,White,Husband,79,Adm-clerical,Private
8235,10th,Never-married,United-States,White,Not-in-family,26,Prof-specialty,Self-emp-not-inc
8245,Some-college,Married-civ-spouse,United-States,White,Husband,22,Craft-repair,Self-emp-inc
8472,Bachelors,Married-civ-spouse,United-States,White,Husband,75,?,?
8597,Assoc-acdm,Divorced,United-States,White,Not-in-family,32,Protective-serv,Federal-gov
8614,Prof-school,Married-civ-spouse,United-States,White,Husband,32,Sales,Private
8665,Some-college,Married-civ-spouse,United-States,White,Husband,46,Tech-support,Private
8759,HS-grad,Divorced,United-States,White,Not-in-family,28,Transport-moving,Private
8825,HS-grad,Married-civ-spouse,United-States,White,Husband,47,Sales,Self-emp-not-inc
8862,Masters,Married-civ-spouse,United-States,White,Husband,46,Exec-managerial,Private
8935,Some-college,Married-civ-spouse,United-States,White,Husband,54,Sales,Self-emp-not-inc
9042,HS-grad,Never-married,United-States,Black,Not-in-family,28,Other-service,Private
9055,Bachelors,Widowed,United-States,White,Not-in-family,74,Other-service,Private
9100,HS-grad,Never-married,United-States,White,Not-in-family,24,Machine-op-inspct,Private
9163,Masters,Never-married,United-States,White,Not-in-family,41,Prof-specialty,Local-gov
9388,Some-college,Married-civ-spouse,Dominican-Republic,White,Husband,32,Protective-serv,Private
9433,Masters,Widowed,United-States,White,Not-in-family,55,Sales,Self-emp-inc
9440,Bachelors,Married-civ-spouse,United-States,White,Husband,39,Exec-managerial,Self-emp-inc
9495,Some-college,Married-civ-spouse,United-States,White,Husband,49,Machine-op-inspct,Private
9613,Bachelors,Married-civ-spouse,United-States,White,Husband,55,Sales,Private
9663,Prof-school,Married-civ-spouse,United-States,White,Husband,35,Prof-specialty,Private
9882,Some-college,Divorced,United-States,White,Not-in-family,43,Tech-support,Private
