record_id,marital-status,sex,age,hours-per-week,occupation
22533,Married-civ-spouse,Male,48,40,Machine-op-inspct
22566,Married-civ-spouse,Male,45,40,Machine-op-inspct
22657,Married-civ-spouse,Male,51,40,Tech-support
22994,Married-civ-spouse,Male,41,35,Transport-moving
23002,Married-civ-spouse,Male,38,55,Exec-managerial
23011,Never-married,Male,47,60,Other-service
23146,Never-married,Female,28,35,Other-service
2320,Never-married,Male,40,40,Craft-repair
23208,Never-married,Male,24,50,Adm-clerical
23215,Married-civ-spouse,Male,55,50,Transport-moving
23294,Never-married,Male,63,40,Exec-managerial
23317,Married-civ-spouse,Male,33,40,Prof-specialty
23372,Never-married,Male,22,40,Tech-support
23421,Married-civ-spouse,Male,64,56,?
23440,Never-married,Male,22,35,Sales
23444,Never-married,Male,24,40,Sales
23582,Married-civ-spouse,Male,30,50,Exec-managerial
2361,Married-civ-spouse,Male,26,60,Prof-specialty
23842,Divorced,Female,38,40,Adm-clerical
24001,Never-married,Male,23,40,Machine-op-inspct
24138,Widowed,Female,56,38,Craft-repair
24357,Separated,Female,26,20,Other-service
24412,Widowed,Female,60,40,Sales
24418,Never-married,Male,23,22,Adm-clerical
24615,Divorced,Female,47,40,Adm-clerical
24625,Married-civ-spouse,Male,42,50,Exec-managerial
24641,Married-civ-spouse,Male,54,55,Sales
24659,Married-civ-spouse,Male,62,40,Exec-managerial
2476,Never-married,Male,21,40,?
24836,Married-civ-spouse,Male,30,40,Craft-repair
24850,Married-civ-spouse,Male,48,50,Exec-managerial
24924,Widowed,Female,69,18,Other-service
24936,Married-civ-spouse,Male,30,40,Adm-clerical
2497,Married-civ-spouse,Male,32,60,Exec-managerial
25211,Divorced,Male,42,60,Prof-specialty
25336,Married-civ-spouse,Male,54,40,Adm-clerical
25358,Married-civ-spouse,Male,32,40,Exec-managerial
25412,Divorced,Female,47,40,Adm-clerical
25429,Married-civ-spouse,Male,50,40,Transport-moving
25499,Married-civ-spouse,Male,27,60,Transport-moving
25502,Never-married,Female,17,40,Other-service
25612,Married-civ-spouse,Male,59,40,Adm-clerical
2564,Never-married,Male,19,30,Sales
25659,Widowed,Male,52,35,Craft-repair
25850,Married-civ-spouse,Male,45,40,Farming-fishing
26012,Widowed,Female,81,4,?
26084,Never-married,Male,59,40,Adm-clerical
26115,Divorced,Female,42,40,Prof-specialty
26162,Separated,Female,25,30,Priv-house-serv
26268,Never-married,Female,37,60,Prof-specialty
26405,Married-civ-spouse,Male,64,45,Prof-specialty
26426,Married-civ-spouse,Male,37,50,Sales
2649,Married-civ-spouse,Female,28,40,Adm-clerical
26509,Divorced,Female,45,40,Adm-clerical
26546,Separated,Female,62,33,Sales
26627,Married-civ-spouse,Male,30,48,Craft-repair
26686,Never-married,Female,25,34,Other-service
26693,Married-civ-spouse,Male,34,50,Prof-specialty
2678,Never-married,Female,31,45,Farming-fishing
26812,Never-married,Male,26,40,Sales
26929,Married-civ-spouse,Male,41,45,Prof-specialty
27043,Married-civ-spouse,Male,45,50,Other-service
27048,Married-civ-spouse,Female,45,40,Exec-managerial
27142,Married-civ-spouse,Male,34,40,Craft-repair
2730,Married-civ-spouse,Female,54,20,Priv-house-serv
27423,Never-married,Female,27,40,Exec-managerial
27537,Married-civ-spouse,Male,46,55,Sales
27539,Married-civ-spouse,Female,25,40,Other-service
27672,Never-married,Male,45,40,Craft-repair
27726,Married-civ-spouse,Male,24,48,Sales
27942,Married-civ-spouse,Male,27,55,Exec-managerial
28005,Married-spouse-absent,Female,54,43,Exec-managerial
28025,Never-married,Male,26,65,Sales
28143,Married-civ-spouse,Male,68,35,?
28156,Never-married,Female,21,40,Other-service
28185,Married-civ-spouse,Male,32,55,Exec-managerial
28197,Married-civ-spouse,Male,40,55,Prof-specialty
28329,Married-civ-spouse,Male,25,40,Protective-serv
28382,Never-married,Male,20,40,?
28389,Married-civ-spouse,Male,31,40,Protective-serv
28459,Never-married,Female,29,50,Prof-specialty
2847,Never-married,Female,26,40,?
2848,Married-civ-spouse,Male,36,60,Exec-managerial
28550,Married-civ-spouse,Male,43,40,Prof-specialty
28553,Married-civ-spouse,Male,25,40,Sales
28622,Married-civ-spouse,Male,57,40,Prof-specialty
28623,Never-married,Male,33,65,Craft-repair
28670,Never-married,Female,32,40,Adm-clerical
28681,Divorced,Female,54,40,Prof-specialty
2874,Married-civ-spouse,Female,38,33,Adm-clerical
28747,Married-civ-spouse,Male,34,40,Machine-op-inspct
28771,Divorced,Female,32,30,Exec-managerial
28868,Married-civ-spouse,Male,29,55,Exec-managerial
29024,Never-married,Female,29,40,Adm-clerical
29044,Married-civ-spouse,Male,46,40,Other-service
29184,Never-married,Male,29,40,Adm-clerical
29187,Divorced,Female,31,99,Other-service
29359,Never-married,Female,20,5,?
29376,Never-married,Male,35,40,Adm-clerical
29383,Divorced,Male,46,55,Transport-moving
29481,Never-married,Male,18,20,Other-service
29529,Never-married,Female,21,40,Adm-clerical
29595,Divorced,Female,41,40,Exec-managerial
29611,Married-civ-spouse,Male,47,40,Craft-repair
29613,Never-married,Female,32,40,Prof-specialty
29623,Divorced,Male,51,40,Protective-serv
29637,Divorced,Male,27,52,Exec-managerial
29816,Never-married,Male,19,40,Sales
29867,Married-civ-spouse,Female,47,2,Prof-specialty
30010,Married-civ-spouse,Male,47,40,Craft-repair
30027,Married-civ-spouse,Male,43,49,Exec-managerial
30131,Divorced,Female,35,35,Sales
30137,Never-married,Female,26,40,Adm-clerical
30139,Divorced,Male,43,20,Sales
30155,Married-civ-spouse,Male,37,30,Transport-moving
30204,Married-civ-spouse,Male,27,40,Handlers-cleaners
30470,Married-civ-spouse,Male,35,50,Sales
30634,Never-married,Male,21,35,Other-service
30649,Married-civ-spouse,Male,45,40,Craft-repair
31059,Married-civ-spouse,Male,46,40,Craft-repair
31155,Married-civ-spouse,Male,31,40,Craft-repair
31168,Married-civ-spouse,Female,27,50,Sales
3122,Married-civ-spouse,Female,26,40,Adm-clerical
31237,Never-married,Female,18,33,Sales
31264,Never-married,Male,28,40,Other-service
31410,Never-married,Male,24,40,Machine-op-inspct
31706,Married-civ-spouse,Male,29,48,Exec-managerial
31884,Married-civ-spouse,Male,41,50,Exec-managerial
31900,Divorced,Male,37,40,Handlers-cleaners
32003,Married-civ-spouse,Male,51,25,Exec-managerial
32027,Divorced,Female,46,55,Prof-specialty
32185,Married-civ-spouse,Male,52,50,Exec-managerial
32399,Married-civ-spouse,Male,42,40,Sales
32502,Married-civ-spouse,Male,35,50,Prof-specialty
32513,Married-civ-spouse,Female,46,22,Prof-specialty
32526,Married-civ-spouse,Male,32,40,Transport-moving
32543,Divorced,Female,45,48,Prof-specialty
3263,Never-married,Female,31,43,Adm-clerical
3298,Never-married,Female,25,40,Other-service
3315,Widowed,Female,68,30,Sales
3383,Married-civ-spouse,Male,40,40,Craft-repair
345,Never-married,Male,43,42,Sales
3580,Married-civ-spouse,Male,63,40,Craft-repair
3594,Married-civ-spouse,Female,59,40,?
3673,Married-civ-spouse,Male,39,60,Craft-repair
369,Divorced,Female,39,40,Sales
3707,Married-civ-spouse,Male,41,50,Craft-repair
3929,Married-civ-spouse,Male,46,40,Craft-repair
4235,Never-married,Male,26,40,Prof-specialty
4241,Never-married,Male,34,40,Prof-specialty
4273,Widowed,Female,72,16,Other-service
4413,Never-married,Female,20,40,?
4457,Divorced,Male,31,40,Protective-serv
4579,Divorced,Female,43,38,Prof-specialty
4641,Married-civ-spouse,Male,58,60,Exec-managerial
4890,Married-civ-spouse,Male,51,75,Farming-fishing
4915,Never-married,Male,18,20,Exec-managerial
499,Married-civ-spouse,Male,72,20,?
5018,Never-married,Male,33,50,Exec-managerial
5038,Married-civ-spouse,Male,55,45,Machine-op-inspct
5121,Married-civ-spouse,Male,50,40,Craft-repair
5337,Divorced,Female,47,50,Prof-specialty
5407,Divorced,Female,35,40,Prof-specialty
5422,Never-married,Female,39,63,Prof-specialty
5464,Divorced,Female,47,45,Exec-managerial
5576,Never-married,Male,45,30,Transport-moving
5667,Never-married,Female,30,40,Machine-op-inspct
5777,Married-civ-spouse,Male,26,40,Adm-clerical
5803,Divorced,Male,27,40,?
6039,Widowed,Female,55,20,?
6067,Married-civ-spouse,Male,22,40,Machine-op-inspct
6179,Married-civ-spouse,Male,58,40,Craft-repair
6215,Never-married,Male,23,40,Sales
6267,Never-married,Female,18,4,Other-service
6334,Divorced,Male,36,40,Prof-specialty
6419,Married-civ-spouse,Female,40,35,Exec-managerial
6438,Married-civ-spouse,Male,33,52,Sales
6741,Divorced,Male,31,40,Transport-moving
6914,Divorced,Female,67,40,?
7251,Never-married,Male,18,12,Handlers-cleaners
7449,Divorced,Female,26,38,Adm-clerical
7468,Married-civ-spouse,Female,54,35,Other-service
7542,Never-married,Male,24,40,Handlers-cleaners
7827,Divorced,Male,29,50,Craft-repair
8010,Married-civ-spouse,Male,41,40,Adm-clerical
8030,Never-married,Male,34,38,Sales
83,Married-civ-spouse,Male,59,48,Sales
8372,Never-married,Male,33,35,Sales
843,Widowed,Female,62,48,Prof-specialty
8471,Married-civ-spouse,Male,38,50,Sales
8574,Never-married,Male,28,40,Exec-managerial
8629,Divorced,Female,53,40,Sales
8943,Never-married,Female,22,40,Adm-clerical
8966,Married-civ-spouse,Male,43,48,Exec-managerial
9226,Widowed,Female,42,40,Sales
9253,Divorced,Female,45,40,Adm-clerical
9295,Never-married,Male,36,70,Exec-managerial
9300,Separated,Female,42,40,Craft-repair
9507,Never-married,Male,24,40,Sales
9712,Never-married,Male,30,40,?
