record_id,marital-status,native-country,sex,age,capital-gain,capital-loss,education,hours-per-week,occupation,race,relationship,workclass
18759,Never-married,United-States,Male,25,0,0,HS-grad,40,Other-service,White,Own-child,Local-gov
18776,Divorced,United-States,Female,44,0,1408,Some-college,46,Sales,White,Unmarried,Private
18984,Married-civ-spouse,United-States,Male,61,0,0,HS-grad,20,Transport-moving,White,Husband,Private
18987,Married-civ-spouse,United-States,Male,48,15024,0,Bachelors,45,Prof-specialty,White,Husband,Private
19050,Never-married,United-States,Female,34,0,0,Bachelors,40,Exec-managerial,White,Not-in-family,Private
19080,Married-civ-spouse,United-States,Male,47,99999,0,Some-college,60,Sales,White,Husband,Private
19285,Separated,United-States,Female,46,0,0,HS-grad,37,Adm-clerical,White,Unmarried,State-gov
19415,Never-married,United-States,Male,25,0,0,Some-college,40,Adm-clerical,White,Not-in-family,Private
19566,Married-civ-spouse,United-States,Male,54,0,0,Assoc-acdm,45,Sales,White,Husband,Private
19625,Never-married,United-States,Male,17,0,0,11th,16,Craft-repair,White,Own-child,Private
19649,Never-married,United-States,Female,19,0,0,HS-grad,20,Sales,Black,Unmarried,Private
19663,Married-civ-spouse,United-States,Male,51,0,0,HS-grad,40,Craft-repair,White,Husband,Private
19690,Married-civ-spouse,United-States,Female,38,0,0,Some-college,15,Farming-fishing,White,Wife,Self-emp-not-inc
19763,Married-civ-spouse,United-States,Female,33,0,0,Doctorate,48,Prof-specialty,White,Wife,State-gov
19838,Married-civ-spouse,United-States,Male,24,0,0,Some-college,60,Transport-moving,White,Husband,Self-emp-not-inc
20008,Married-civ-spouse,United-States,Male,47,0,0,Assoc-acdm,40,Prof-specialty,White,Husband,Private
20044,Married-civ-spouse,United-States,Male,65,0,0,HS-grad,24,Exec-managerial,White,Husband,Self-emp-not-inc
20179,Married-civ-spouse,United-States,Male,54,0,0,7th-8th,40,Craft-repair,White,Husband,Private
20183,Divorced,United-States,Female,25,0,0,HS-grad,40,Adm-clerical,White,Not-in-family,Local-gov
20280,Never-married,United-States,Female,36,0,0,HS-grad,40,Other-service,Black,Not-in-family,Private
2033,Married-civ-spouse,United-States,Male,47,0,0,HS-grad,40,Craft-repair,Black,Husband,Private
20548,Married-civ-spouse,United-States,Male,23,0,0,Assoc-voc,25,Handlers-cleaners,White,Husband,Federal-gov
20706,Never-married,United-States,Female,41,0,0,Bachelors,45,Prof-specialty,White,Not-in-family,Private
20808,Never-married,United-States,Male,21,0,0,Some-college,12,Sales,White,Own-child,Private
20912,Married-civ-spouse,United-States,Male,42,0,0,Some-college,40,Machine-op-inspct,White,Husband,Private
21040,Married-civ-spouse,United-States,Male,30,0,1902,Bachelors,55,Prof-specialty,White,Husband,Private
21198,Married-civ-spouse,United-States,Male,71,20051,0,Some-college,50,Exec-managerial,White,Husband,Self-emp-inc
21320,Married-civ-spouse,United-States,Male,51,0,0,HS-grad,70,Exec-managerial,White,Husband,Self-emp-inc
21323,Never-married,Mexico,Male,26,0,0,5th-6th,40,Farming-fishing,Black,Other-relative,Private
21371,Never-married,Hungary,Male,30,0,0,Bachelors,60,Tech-support,White,Not-in-family,Private
21462,Never-married,United-States,Female,26,0,0,Bachelors,32,Adm-clerical,Black,Own-child,Private
21464,Married-civ-spouse,United-States,Male,26,0,0,Assoc-voc,65,Craft-repair,White,Husband,Private
21488,Never-married,Canada,Female,20,0,0,Some-college,10,Tech-support,White,Not-in-family,Private
21596,Never-married,United-States,Male,24,0,0,Assoc-acdm,40,Exec-managerial,White,Own-child,Private
2167,Married-civ-spouse,United-States,Male,45,0,0,Bachelors,40,Exec-managerial,White,Husband,Private
21852,Married-civ-spouse,United-States,Male,31,0,0,HS-grad,91,Farming-fishing,White,Husband,Self-emp-not-inc
22463,Never-married,United-States,Male,24,0,0,HS-grad,40,Craft-repair,Black,Not-in-family,Private
22545,Separated,United-States,Female,65,0,0,HS-grad,40,?,White,Not-in-family,?
22555,Married-civ-spouse,El-Salvador,Male,41,0,0,Prof-school,45,Prof-specialty,White,Husband,Self-emp-inc
22592,Married-civ-spouse,United-States,Female,48,0,0,Doctorate,40,Exec-managerial,White,Wife,Self-emp-inc
22662,Married-civ-spouse,United-States,Male,53,0,0,HS-grad,40,Craft-repair,White,Husband,Private
22815,Divorced,United-States,Male,33,114,0,9th,55,Craft-repair,White,Unmarried,Private
22831,Married-civ-spouse,United-States,Female,33,0,0,12th,40,Adm-clerical,White,Wife,Private
23312,Married-civ-spouse,United-States,Male,44,15024,0,Bachelors,65,Farming-fishing,White,Husband,Self-emp-inc
23317,Married-civ-spouse,United-States,Male,33,0,0,Bachelors,40,Prof-specialty,White,Husband,Private
23361,Married-civ-spouse,United-States,Male,40,0,0,HS-grad,45,Machine-op-inspct,White,Husband,Private
23460,Married-civ-spouse,China,Male,69,0,0,Doctorate,40,Prof-specialty,White,Husband,Private
23485,Married-civ-spouse,United-States,Male,37,0,0,HS-grad,50,Transport-moving,White,Husband,Private
23787,Never-married,United-States,Female,24,0,0,Bachelors,40,Exec-managerial,White,Own-child,Private
23799,Divorced,United-States,Female,29,0,0,Assoc-voc,40,Exec-managerial,White,Not-in-family,Private
23923,Never-married,United-States,Male,29,0,0,Some-college,35,Prof-specialty,White,Not-in-family,State-gov
24058,Never-married,United-States,Male,18,0,0,10th,20,Sales,White,Not-in-family,Private
24185,Widowed,United-States,Female,47,6497,0,Bachelors,40,Craft-repair,Black,Unmarried,Private
24214,Never-married,United-States,Male,20,594,0,11th,20,Other-service,Black,Own-child,Private
24242,Never-married,United-States,Male,25,0,0,HS-grad,40,Other-service,White,Not-in-family,Private
24316,Married-civ-spouse,United-States,Male,56,0,1902,Some-college,60,Craft-repair,White,Husband,Private
24440,Divorced,United-States,Male,52,4934,0,HS-grad,36,Tech-support,White,Unmarried,Local-gov
24441,Never-married,United-States,Male,25,13550,0,Bachelors,35,Exec-managerial,White,Not-in-family,Self-emp-not-inc
24455,Separated,United-States,Female,26,0,0,Assoc-acdm,40,Craft-repair,Other,Not-in-family,Private
2447,Divorced,United-States,Female,29,0,0,HS-grad,25,Other-service,White,Not-in-family,Private
24658,Never-married,United-States,Female,22,0,0,HS-grad,40,Adm-clerical,White,Own-child,Private
24760,Married-civ-spouse,United-States,Female,24,0,0,11th,24,?,Other,Wife,?
24872,Never-married,India,Male,28,0,0,Some-college,40,Sales,Other,Not-in-family,Private
24964,Divorced,United-States,Female,44,0,0,HS-grad,40,Other-service,White,Unmarried,Private
25016,Divorced,United-States,Female,30,0,0,Some-college,40,Sales,Amer-Indian-Eskimo,Unmarried,Private
25176,Married-civ-spouse,United-States,Male,33,0,0,HS-grad,40,Protective-serv,White,Husband,Local-gov
25254,Married-spouse-absent,United-States,Female,50,0,0,HS-grad,40,Handlers-cleaners,White,Unmarried,Private
25351,Married-civ-spouse,United-States,Male,55,0,0,5th-6th,50,Craft-repair,White,Husband,Private
25358,Married-civ-spouse,United-States,Male,32,0,0,Bachelors,40,Exec-managerial,White,Husband,Private
25668,Married-civ-spouse,United-States,Male,69,0,0,Assoc-voc,8,Sales,White,Husband,Self-emp-not-inc
25871,Widowed,United-States,Female,64,0,0,HS-grad,40,Other-service,White,Other-relative,Self-emp-not-inc
25918,Divorced,United-States,Female,49,0,0,Bachelors,40,Exec-managerial,White,Unmarried,Private
25964,Divorced,United-States,Female,49,0,0,Assoc-voc,40,Tech-support,White,Unmarried,Private
26033,Married-civ-spouse,United-States,Male,67,10605,0,Doctorate,35,Prof-specialty,White,Husband,Self-emp-not-inc
26143,Married-civ-spouse,United-States,Male,34,0,0,Bachelors,30,?,White,Husband,?
26232,Divorced,United-States,Female,51,0,0,Bachelors,50,Prof-specialty,White,Not-in-family,Private
26236,Divorced,United-States,Female,32,0,0,Bachelors,48,Exec-managerial,White,Not-in-family,Private
26259,Never-married,United-States,Female,18,0,0,Some-college,40,?,Asian-Pac-Islander,Own-child,?
26437,Married-civ-spouse,United-States,Male,34,7298,0,Some-college,50,Prof-specialty,White,Husband,Private
26451,Married-civ-spouse,United-States,Male,41,0,0,Some-college,40,Craft-repair,Black,Husband,Private
26501,Married-civ-spouse,El-Salvador,Male,52,0,0,Preschool,40,Machine-op-inspct,White,Husband,Private
26553,Never-married,United-States,Male,20,0,0,Some-college,70,Machine-op-inspct,White,Not-in-family,Private
26617,Separated,United-States,Male,33,0,0,HS-grad,50,Craft-repair,White,Unmarried,Self-emp-not-inc
2662,Separated,United-States,Female,41,0,0,HS-grad,40,Machine-op-inspct,White,Unmarried,Private
26690,Married-civ-spouse,United-States,Male,48,0,0,HS-grad,44,Transport-moving,White,Husband,Private
26697,Married-civ-spouse,United-States,Male,49,0,1902,HS-grad,40,Machine-op-inspct,White,Husband,Private
26916,Never-married,United-States,Female,22,0,0,Some-college,40,Tech-support,White,Own-child,Private
26930,Married-civ-spouse,United-States,Male,29,0,0,Masters,40,Prof-specialty,White,Husband,Federal-gov
26940,Never-married,?,Female,22,0,0,HS-grad,40,Sales,White,Own-child,Private
26945,Never-married,United-States,Female,22,0,0,Some-college,30,Handlers-cleaners,White,Not-in-family,Private
27001,Divorced,United-States,Female,45,0,0,Assoc-voc,40,Adm-clerical,White,Not-in-family,Private
27058,Married-civ-spouse,United-States,Female,30,0,0,12th,40,Adm-clerical,White,Wife,Local-gov
27080,Divorced,United-States,Female,27,0,0,HS-grad,45,Tech-support,White,Not-in-family,Private
27365,Married-civ-spouse,United-States,Male,42,0,0,Bachelors,60,Sales,White,Husband,Self-emp-inc
27410,Never-married,United-States,Male,51,0,0,HS-grad,40,Craft-repair,Black,Not-in-family,Private
27470,Never-married,United-States,Female,43,0,0,Bachelors,50,Exec-managerial,Black,Not-in-family,Private
27522,Never-married,United-States,Male,21,0,0,Some-college,20,?,White,Own-child,?
27659,Married-spouse-absent,India,Male,31,0,0,11th,40,Handlers-cleaners,Asian-Pac-Islander,Not-in-family,Private
27982,Widowed,Germany,Female,66,0,0,7th-8th,20,Other-service,White,Not-in-family,Private
28017,Never-married,United-States,Female,27,0,0,Some-college,30,Sales,White,Not-in-family,Private
2805,Never-married,United-States,Male,18,0,0,10th,10,Sales,White,Own-child,Private
28107,Married-civ-spouse,?,Female,32,0,0,Bachelors,35,Adm-clerical,White,Wife,Private
28109,Never-married,United-States,Female,25,0,0,Some-college,50,Machine-op-inspct,White,Own-child,Private
28349,Married-civ-spouse,United-States,Male,65,99999,0,Doctorate,40,Exec-managerial,White,Husband,Self-emp-inc
28677,Divorced,United-States,Female,37,0,0,Some-college,40,Tech-support,White,Unmarried,Private
28721,Married-civ-spouse,United-States,Male,80,1409,0,HS-grad,40,Other-service,White,Husband,Self-emp-not-inc
28873,Widowed,United-States,Female,36,0,0,HS-grad,40,Other-service,White,Not-in-family,Private
28966,Divorced,United-States,Male,39,0,0,Some-college,40,Adm-clerical,White,Not-in-family,Federal-gov
29024,Never-married,United-States,Female,29,0,0,HS-grad,40,Adm-clerical,White,Other-relative,Private
29048,Divorced,United-States,Female,48,0,0,Some-college,40,Exec-managerial,White,Not-in-family,Private
29051,Never-married,United-States,Male,20,0,0,Some-college,35,Sales,White,Own-child,Private
29052,Never-married,United-States,Male,29,0,0,Bachelors,50,Prof-specialty,White,Own-child,Private
29274,Married-civ-spouse,United-States,Male,38,0,0,Bachelors,40,Exec-managerial,White,Husband,Private
29295,Divorced,United-States,Female,51,0,0,Masters,40,Exec-managerial,White,Not-in-family,Local-gov
29387,Never-married,United-States,Female,22,0,0,Some-college,40,Adm-clerical,White,Not-in-family,Private
29405,Never-married,United-States,Female,23,0,0,HS-grad,40,Exec-managerial,White,Not-in-family,Private
2947,Never-married,United-States,Male,18,0,0,HS-grad,10,?,White,Own-child,?
29776,Married-civ-spouse,United-States,Male,54,0,0,Bachelors,50,Craft-repair,White,Husband,Self-emp-not-inc
29787,Married-civ-spouse,United-States,Male,44,0,1887,Some-college,60,Transport-moving,White,Husband,Private
29850,Married-civ-spouse,United-States,Male,64,0,0,Some-college,20,Exec-managerial,White,Husband,Private
29899,Married-civ-spouse,United-States,Male,42,0,0,Some-college,40,Adm-clerical,White,Husband,Federal-gov
29944,Married-civ-spouse,United-States,Male,38,0,0,HS-grad,42,Exec-managerial,White,Husband,Federal-gov
29985,Never-married,United-States,Male,49,0,0,HS-grad,30,Craft-repair,White,Not-in-family,Self-emp-not-inc
29990,Divorced,United-States,Female,33,0,0,Assoc-acdm,40,Machine-op-inspct,Amer-Indian-Eskimo,Unmarried,Private
3007,Divorced,United-States,Male,49,0,0,Some-college,35,Tech-support,White,Other-relative,Private
30213,Divorced,United-States,Female,37,0,0,Some-college,40,Exec-managerial,White,Unmarried,Self-emp-not-inc
30357,Divorced,United-States,Female,41,0,0,Assoc-voc,45,Craft-repair,White,Unmarried,Local-gov
30444,Never-married,United-States,Male,17,0,0,10th,25,?,White,Own-child,?
30485,Married-civ-spouse,United-States,Male,46,0,0,Doctorate,60,Prof-specialty,White,Husband,Private
30498,Never-married,El-Salvador,Male,20,0,0,Some-college,33,Other-service,White,Own-child,Private
30576,Widowed,United-States,Female,46,0,0,Assoc-acdm,40,Adm-clerical,White,Unmarried,Private
30772,Never-married,United-States,Female,24,5060,0,Some-college,30,Sales,White,Own-child,Private
30782,Married-civ-spouse,United-States,Female,28,0,0,10th,40,Other-service,Amer-Indian-Eskimo,Wife,Federal-gov
30865,Married-civ-spouse,Germany,Male,30,3137,0,Assoc-voc,60,Sales,White,Husband,Self-emp-not-inc
31066,Divorced,United-States,Female,55,0,0,Masters,45,Prof-specialty,White,Unmarried,Local-gov
31068,Never-married,United-States,Male,19,0,0,HS-grad,40,Craft-repair,White,Own-child,Private
3110,Never-married,United-States,Male,24,0,0,Bachelors,40,Prof-specialty,Asian-Pac-Islander,Not-in-family,Federal-gov
31136,Married-civ-spouse,United-States,Female,40,0,0,Masters,40,Prof-specialty,White,Wife,Local-gov
3115,Married-civ-spouse,Poland,Male,35,2829,0,Some-college,55,Tech-support,White,Husband,Private
31303,Divorced,United-States,Male,42,0,0,HS-grad,44,Farming-fishing,White,Not-in-family,Private
31494,Never-married,United-States,Female,20,0,0,Some-college,25,Sales,White,Not-in-family,Private
31495,Divorced,United-States,Male,41,0,0,Bachelors,40,Prof-specialty,Black,Not-in-family,Private
31698,Never-married,United-States,Male,20,0,0,Assoc-acdm,20,?,White,Not-in-family,?
31738,Never-married,United-States,Male,30,0,0,Some-college,55,Handlers-cleaners,White,Not-in-family,Private
3179,Never-married,Trinadad&Tobago,Female,35,0,0,12th,40,Other-service,Black,Not-in-family,Self-emp-not-inc
31938,Married-civ-spouse,United-States,Male,49,0,0,Bachelors,60,Prof-specialty,White,Husband,Self-emp-not-inc
32217,Never-married,United-States,Female,22,0,0,HS-grad,37,Sales,White,Not-in-family,Private
32426,Never-married,United-States,Male,20,0,0,HS-grad,40,?,White,Own-child,?
3318,Married-civ-spouse,United-States,Male,26,0,0,Some-college,60,Exec-managerial,White,Husband,Private
3507,Never-married,United-States,Male,25,0,0,Masters,40,Protective-serv,White,Not-in-family,Local-gov
352,Married-civ-spouse,United-States,Male,33,0,0,Bachelors,40,Exec-managerial,White,Husband,Private
3578,Married-civ-spouse,United-States,Male,37,0,0,Doctorate,99,Prof-specialty,Black,Husband,Self-emp-inc
3663,Married-civ-spouse,United-States,Male,32,0,0,HS-grad,40,Machine-op-inspct,White,Husband,Private
3767,Never-married,United-States,Female,37,0,0,Some-college,40,Adm-clerical,Black,Unmarried,Local-gov
3773,Widowed,United-States,Female,74,0,0,Some-college,3,?,White,Not-in-family,?
4020,Divorced,United-States,Female,37,0,0,HS-grad,40,Adm-clerical,White,Unmarried,Private
4131,Married-civ-spouse,United-States,Male,41,0,1887,Some-college,50,Exec-managerial,White,Husband,Private
4279,Divorced,United-States,Female,46,0,0,HS-grad,40,Prof-specialty,White,Unmarried,Private
4298,Never-married,United-States,Female,25,0,0,HS-grad,35,Other-service,White,Not-in-family,Private
4377,Married-civ-spouse,United-States,Male,46,0,0,Some-college,10,Prof-specialty,White,Husband,Private
4416,Never-married,United-States,Female,21,0,0,Some-college,10,Adm-clerical,White,Own-child,Private
4424,Divorced,United-States,Female,43,0,880,Some-college,42,Sales,White,Unmarried,Self-emp-not-inc
4493,Divorced,United-States,Female,25,0,0,11th,40,Sales,White,Own-child,Private
4532,Divorced,Philippines,Female,25,0,0,HS-grad,40,Handlers-cleaners,Asian-Pac-Islander,Own-child,Private
4614,Married-civ-spouse,United-States,Male,42,0,0,HS-grad,50,Farming-fishing,White,Husband,Self-emp-not-inc
4759,Widowed,United-States,Female,76,0,0,10th,12,Sales,Black,Unmarried,Private
4938,Married-civ-spouse,United-States,Female,31,0,1740,Some-college,20,Adm-clerical,White,Wife,Private
507,Married-civ-spouse,United-States,Male,43,0,0,Some-college,40,Exec-managerial,White,Husband,Private
5258,Never-married,United-States,Male,20,0,0,HS-grad,40,Adm-clerical,White,Own-child,Private
5328,Never-married,United-States,Male,27,0,0,Bachelors,40,Exec-managerial,White,Own-child,Private
5339,Never-married,United-States,Female,20,0,0,Some-college,30,Exec-managerial,White,Not-in-family,Private
5522,Never-married,United-States,Male,27,0,0,Assoc-acdm,40,Craft-repair,White,Unmarried,Private
5574,Never-married,United-States,Male,54,0,0,Bachelors,50,Exec-managerial,White,Not-in-family,Private
5769,Married-civ-spouse,United-States,Male,48,0,0,Assoc-acdm,50,Transport-moving,White,Husband,Private
5977,Married-civ-spouse,United-States,Male,29,0,0,Doctorate,50,?,White,Husband,?
6046,Married-civ-spouse,United-States,Female,61,2414,0,HS-grad,5,Adm-clerical,White,Wife,Private
6124,Married-civ-spouse,United-States,Male,48,0,0,HS-grad,60,Craft-repair,White,Husband,Self-emp-inc
6152,Separated,United-States,Female,46,0,0,9th,40,Other-service,Black,Unmarried,Local-gov
6260,Divorced,United-States,Female,42,0,0,HS-grad,40,Craft-repair,White,Other-relative,Private
6271,Never-married,United-States,Female,20,114,0,9th,20,Adm-clerical,Black,Unmarried,Private
6303,Married-civ-spouse,United-States,Male,51,0,1902,Some-college,50,Sales,White,Husband,Private
6352,Married-civ-spouse,United-States,Male,44,0,0,Assoc-acdm,40,Craft-repair,White,Husband,Federal-gov
636,Never-married,United-States,Male,21,0,0,Bachelors,40,Handlers-cleaners,White,Not-in-family,Private
