record_id,education,occupation,race,sex
7669,HS-grad,Farming-fishing,Asian-Pac-Islander,Male
7723,Some-college,Prof-specialty,Black,Male
7752,Bachelors,Tech-support,White,Male
7790,HS-grad,Adm-clerical,White,Male
7948,HS-grad,Other-service,White,Female
8165,HS-grad,Adm-clerical,White,Female
8299,HS-grad,Craft-repair,White,Male
8306,Some-college,Sales,White,Female
8430,Assoc-acdm,Prof-specialty,White,Female
8436,HS-grad,Handlers-cleaners,Black,Male
848,Bachelors,Craft-repair,White,Male
8768,Bachelors,Protective-serv,White,Male
8848,HS-grad,Machine-op-inspct,White,Male
8939,Assoc-acdm,Exec-managerial,White,Male
9131,Masters,Prof-specialty,White,Male
9403,HS-grad,Farming-fishing,White,Male
9529,Masters,Prof-specialty,White,Male
9606,Some-college,Craft-repair,White,Male
9719,HS-grad,Transport-moving,White,Male
9748,HS-grad,Exec-managerial,Black,Male
9767,Bachelors,Sales,White,Male
9893,HS-grad,Craft-repair,White,Male
99,HS-grad,Other-service,Black,Male
9912,Some-college,Adm-clerical,White,Female
