record_id,education,marital-status,occupation,race,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country
20059,HS-grad,Never-married,Craft-repair,White,Not-in-family,Male,0,0,40,United-States
20219,Some-college,Divorced,Other-service,Black,Not-in-family,Male,0,0,40,United-States
20292,Bachelors,Married-civ-spouse,Other-service,Asian-Pac-Islander,Wife,Female,7688,0,52,Japan
20451,Some-college,Never-married,Other-service,White,Own-child,Female,0,0,10,United-States
20512,Bachelors,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,1902,50,United-States
20713,Bachelors,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,15,United-States
20792,Some-college,Never-married,Sales,White,Not-in-family,Male,0,0,24,United-States
2091,Bachelors,Never-married,?,White,Not-in-family,Male,0,0,40,United-States
20937,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,50,United-States
20951,Bachelors,Divorced,Machine-op-inspct,Black,Not-in-family,Male,0,0,39,United-States
21173,HS-grad,Divorced,Farming-fishing,Black,Not-in-family,Male,0,0,40,United-States
21176,Some-college,Widowed,?,White,Unmarried,Female,0,0,8,United-States
21252,Bachelors,Divorced,Prof-specialty,White,Other-relative,Male,0,0,35,United-States
21279,Bachelors,Married-civ-spouse,Prof-specialty,White,Wife,Female,0,0,50,United-States
21463,Bachelors,Divorced,Adm-clerical,White,Not-in-family,Female,0,0,40,United-States
2150,11th,Never-married,Machine-op-inspct,Black,Not-in-family,Male,0,0,40,United-States
21603,11th,Divorced,Farming-fishing,White,Not-in-family,Male,0,0,50,United-States
21802,Bachelors,Never-married,Prof-specialty,White,Own-child,Female,0,0,40,United-States
21927,Some-college,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Wife,Female,0,0,5,United-States
2194,Bachelors,Married-civ-spouse,Sales,White,Husband,Male,0,0,40,United-States
22187,Some-college,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,12,United-States
22249,Some-college,Never-married,Sales,White,Own-child,Female,0,0,25,United-States
22277,HS-grad,Married-civ-spouse,Transport-moving,White,Husband,Male,0,0,50,United-States
22287,Some-college,Never-married,Exec-managerial,White,Own-child,Female,0,0,30,United-States
22328,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Wife,Female,0,0,40,United-States
22382,11th,Divorced,Machine-op-inspct,Black,Not-in-family,Female,0,0,20,United-States
22512,1st-4th,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,0,0,40,Mexico
22600,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,55,United-States
22656,Bachelors,Never-married,Adm-clerical,White,Not-in-family,Female,0,0,38,United-States
22709,Some-college,Never-married,Sales,White,Own-child,Male,0,0,40,United-States
22919,Prof-school,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,0,34,United-States
23032,Bachelors,Married-civ-spouse,Exec-managerial,Black,Husband,Male,0,0,40,?
23185,Bachelors,Widowed,Exec-managerial,White,Not-in-family,Female,0,0,55,United-States
23186,HS-grad,Never-married,Craft-repair,White,Own-child,Male,0,0,40,United-States
23191,Bachelors,Never-married,Sales,White,Not-in-family,Male,0,0,60,United-States
23447,Some-college,Never-married,Handlers-cleaners,White,Own-child,Male,0,0,35,United-States
23485,HS-grad,Married-civ-spouse,Transport-moving,White,Husband,Male,0,0,50,United-States
23595,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,40,United-States
236,Some-college,Never-married,Adm-clerical,White,Not-in-family,Female,0,0,38,United-States
23758,11th,Never-married,Exec-managerial,White,Not-in-family,Male,0,0,50,United-States
23784,Some-college,Married-civ-spouse,Sales,White,Husband,Male,0,0,40,?
24062,Some-college,Married-civ-spouse,Prof-specialty,White,Wife,Female,0,0,40,United-States
24104,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,45,United-States
24264,9th,Divorced,Other-service,White,Not-in-family,Female,0,0,40,United-States
24301,HS-grad,Divorced,Adm-clerical,White,Not-in-family,Female,0,0,40,United-States
24528,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,4064,0,40,United-States
24537,HS-grad,Divorced,Sales,White,Unmarried,Female,0,0,65,United-States
24606,Assoc-voc,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,60,?
24655,HS-grad,Never-married,Handlers-cleaners,Black,Own-child,Male,0,0,40,United-States
24711,HS-grad,Married-civ-spouse,Other-service,White,Husband,Male,0,0,45,United-States
24976,11th,Married-civ-spouse,Tech-support,White,Husband,Male,0,0,40,United-States
25034,Some-college,Divorced,?,White,Unmarried,Female,0,0,40,United-States
25045,Some-college,Separated,Other-service,White,Unmarried,Female,0,0,38,El-Salvador
25046,HS-grad,Never-married,Handlers-cleaners,White,Not-in-family,Male,0,0,40,?
25235,HS-grad,Divorced,Transport-moving,White,Unmarried,Male,0,0,43,?
25311,Prof-school,Never-married,Prof-specialty,White,Unmarried,Male,27828,0,45,Germany
25340,Bachelors,Never-married,Adm-clerical,White,Own-child,Female,0,0,40,Mexico
25392,Masters,Divorced,Other-service,Black,Unmarried,Female,0,0,40,United-States
25568,HS-grad,Married-civ-spouse,?,White,Husband,Male,0,0,15,United-States
25580,HS-grad,Separated,Adm-clerical,White,Not-in-family,Female,0,2001,40,United-States
25622,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,1887,40,United-States
2621,Masters,Never-married,Sales,White,Not-in-family,Male,0,0,20,United-States
26232,Bachelors,Divorced,Prof-specialty,White,Not-in-family,Female,0,0,50,United-States
26451,Some-college,Married-civ-spouse,Craft-repair,Black,Husband,Male,0,0,40,United-States
26487,Some-college,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,40,United-States
26631,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,50,United-States
26685,Some-college,Divorced,Adm-clerical,White,Unmarried,Female,0,0,45,United-States
26744,Masters,Never-married,Exec-managerial,White,Not-in-family,Male,0,0,40,United-States
26938,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,40,United-States
26963,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Wife,Female,0,1887,36,United-States
27147,HS-grad,Never-married,Other-service,White,Not-in-family,Female,0,0,40,United-States
272,Masters,Married-civ-spouse,Farming-fishing,White,Husband,Male,2407,0,98,United-States
27369,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,0,0,25,Mexico
27411,Some-college,Married-civ-spouse,Sales,White,Husband,Male,7688,0,40,United-States
27428,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,40,United-States
27475,Some-college,Married-civ-spouse,?,White,Husband,Male,0,0,8,United-States
27521,Bachelors,Separated,Prof-specialty,White,Unmarried,Female,0,0,50,United-States
27542,Some-college,Never-married,Craft-repair,White,Not-in-family,Female,0,0,40,United-States
27552,Assoc-voc,Never-married,Adm-clerical,White,Not-in-family,Female,0,0,40,United-States
2756,Masters,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,1977,60,United-States
27737,Some-college,Married-civ-spouse,Craft-repair,White,Husband,Male,0,1651,38,United-States
27772,Masters,Never-married,Exec-managerial,Black,Not-in-family,Female,0,0,40,United-States
27775,5th-6th,Married-civ-spouse,Transport-moving,Black,Husband,Male,0,0,50,United-States
27829,Bachelors,Divorced,Prof-specialty,White,Unmarried,Female,0,0,40,United-States
27884,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,70,United-States
27896,HS-grad,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,52,United-States
28013,Some-college,Never-married,Exec-managerial,White,Own-child,Female,0,0,40,United-States
28070,Bachelors,Never-married,Prof-specialty,Black,Own-child,Male,0,0,35,United-States
28149,9th,Divorced,Transport-moving,Black,Not-in-family,Male,0,0,40,United-States
28292,Masters,Married-civ-spouse,Other-service,White,Husband,Male,0,0,40,United-States
28374,HS-grad,Married-civ-spouse,Other-service,Black,Husband,Male,0,1740,40,United-States
28473,Some-college,Never-married,Craft-repair,White,Unmarried,Male,0,0,42,Mexico
2848,Some-college,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,60,United-States
28532,11th,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,40,United-States
28591,Some-college,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,40,United-States
28771,Bachelors,Divorced,Exec-managerial,Black,Unmarried,Female,0,0,30,United-States
28867,Some-college,Never-married,Handlers-cleaners,White,Other-relative,Male,0,0,20,United-States
28897,Bachelors,Never-married,Tech-support,White,Not-in-family,Male,0,0,40,United-States
28962,HS-grad,Never-married,Handlers-cleaners,White,Own-child,Male,0,0,25,United-States
28976,Some-college,Never-married,Craft-repair,White,Own-child,Male,0,0,15,United-States
2899,HS-grad,Divorced,Tech-support,White,Unmarried,Female,0,0,30,Germany
29065,Assoc-voc,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,40,United-States
29187,HS-grad,Divorced,Other-service,White,Unmarried,Female,0,0,99,United-States
29189,Masters,Divorced,Prof-specialty,White,Not-in-family,Male,0,0,20,United-States
29190,Some-college,Married-civ-spouse,Sales,White,Husband,Male,0,0,40,United-States
29201,HS-grad,Never-married,Handlers-cleaners,White,Other-relative,Male,0,0,40,United-States
29253,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,40,United-States
2934,Bachelors,Never-married,Machine-op-inspct,White,Own-child,Male,0,0,25,United-States
29470,Some-college,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,40,United-States
29605,Assoc-acdm,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,42,United-States
29842,9th,Married-civ-spouse,?,White,Wife,Female,0,0,35,United-States
29940,11th,Never-married,Other-service,White,Not-in-family,Female,0,0,20,United-States
29964,HS-grad,Never-married,Adm-clerical,White,Not-in-family,Female,0,0,38,United-States
30067,Bachelors,Never-married,Craft-repair,White,Not-in-family,Male,8614,0,40,United-States
301,Some-college,Never-married,Other-service,Asian-Pac-Islander,Not-in-family,Female,0,0,25,United-States
30116,HS-grad,Divorced,Adm-clerical,White,Unmarried,Female,0,0,38,United-States
30176,Assoc-voc,Divorced,Exec-managerial,White,Not-in-family,Male,0,0,25,United-States
30365,HS-grad,Married-civ-spouse,Farming-fishing,White,Husband,Male,0,0,53,United-States
30381,HS-grad,Divorced,Exec-managerial,White,Not-in-family,Male,0,0,40,United-States
3040,Prof-school,Never-married,Exec-managerial,Black,Not-in-family,Female,0,0,52,United-States
30471,Bachelors,Never-married,Prof-specialty,White,Not-in-family,Male,0,0,50,United-States
30515,Masters,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,40,United-States
30627,10th,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,0,0,32,United-States
30905,HS-grad,Never-married,Adm-clerical,White,Own-child,Female,0,0,35,United-States
31180,Some-college,Widowed,Sales,White,Not-in-family,Male,0,0,40,United-States
31363,Bachelors,Never-married,Prof-specialty,White,Not-in-family,Female,0,0,20,United-States
31420,Masters,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,42,United-States
31437,11th,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,40,United-States
3159,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,40,Germany
31781,Prof-school,Never-married,Prof-specialty,White,Not-in-family,Male,0,0,40,United-States
31885,Some-college,Never-married,?,Black,Not-in-family,Male,0,0,30,United-States
32010,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,40,United-States
32122,HS-grad,Divorced,Craft-repair,White,Unmarried,Male,0,0,40,United-States
32180,Some-college,Never-married,Sales,White,Own-child,Female,0,0,30,United-States
32325,Some-college,Never-married,Other-service,White,Own-child,Female,0,0,37,United-States
32415,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,50,United-States
32504,Masters,Divorced,Sales,White,Not-in-family,Female,0,0,50,United-States
3304,HS-grad,Divorced,Adm-clerical,White,Unmarried,Female,0,0,45,United-States
3515,Bachelors,Divorced,Prof-specialty,White,Not-in-family,Female,0,0,40,United-States
3568,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,40,United-States
3724,Masters,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,1977,60,United-States
3860,Bachelors,Married-civ-spouse,Sales,White,Husband,Male,0,1887,40,United-States
3882,Some-college,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,40,United-States
3883,10th,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,40,United-States
4055,Prof-school,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Husband,Male,7688,0,50,Philippines
4259,Some-college,Never-married,Other-service,White,Not-in-family,Male,0,0,50,United-States
4349,Masters,Married-civ-spouse,Exec-managerial,White,Husband,Male,15024,0,65,United-States
4451,HS-grad,Never-married,Craft-repair,White,Not-in-family,Female,0,0,40,United-States
4514,Bachelors,Divorced,Exec-managerial,White,Other-relative,Female,0,0,50,United-States
4555,11th,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,7688,0,40,United-States
4556,HS-grad,Never-married,Adm-clerical,White,Unmarried,Female,0,0,40,United-States
4579,Some-college,Divorced,Prof-specialty,White,Unmarried,Female,0,0,38,United-States
466,HS-grad,Divorced,Transport-moving,White,Unmarried,Male,0,0,40,United-States
468,Masters,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,1977,45,United-States
4726,Some-college,Married-civ-spouse,Transport-moving,White,Husband,Male,0,1579,45,El-Salvador
4765,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,60,Ireland
4837,HS-grad,Never-married,Adm-clerical,White,Not-in-family,Female,0,0,40,United-States
4991,9th,Married-civ-spouse,Transport-moving,White,Husband,Male,0,0,40,United-States
5264,Some-college,Married-civ-spouse,Sales,White,Husband,Male,0,0,40,United-States
5378,7th-8th,Married-civ-spouse,Transport-moving,White,Husband,Male,0,0,40,United-States
5399,HS-grad,Divorced,Other-service,Other,Unmarried,Female,0,0,28,United-States
5445,HS-grad,Divorced,Machine-op-inspct,White,Own-child,Male,0,0,50,United-States
5597,HS-grad,Never-married,Craft-repair,White,Other-relative,Male,2597,0,40,United-States
5799,HS-grad,Never-married,Craft-repair,White,Own-child,Male,0,0,20,United-States
5822,Masters,Married-civ-spouse,Prof-specialty,White,Wife,Female,15024,0,50,United-States
6030,HS-grad,Married-civ-spouse,Sales,White,Husband,Male,0,0,50,United-States
6034,Assoc-voc,Never-married,Adm-clerical,White,Own-child,Male,0,0,43,United-States
6201,Bachelors,Never-married,Sales,White,Not-in-family,Male,0,0,40,United-States
6308,Some-college,Never-married,Exec-managerial,White,Not-in-family,Male,0,0,60,United-States
6333,Some-college,Divorced,Adm-clerical,White,Unmarried,Female,0,0,40,United-States
6441,Bachelors,Never-married,Prof-specialty,White,Own-child,Male,0,0,40,United-States
6769,Bachelors,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,1848,45,United-States
686,7th-8th,Never-married,?,White,Not-in-family,Male,0,0,4,United-States
6940,HS-grad,Never-married,Adm-clerical,White,Not-in-family,Male,0,0,40,United-States
7155,Masters,Divorced,Prof-specialty,White,Unmarried,Male,15020,0,50,United-States
7158,HS-grad,Divorced,Sales,White,Own-child,Female,0,0,40,United-States
7265,Some-college,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,50,United-States
7366,7th-8th,Never-married,Transport-moving,White,Unmarried,Male,0,0,25,Guatemala
7372,Some-college,Married-civ-spouse,Protective-serv,White,Husband,Male,0,0,40,United-States
7480,10th,Married-civ-spouse,Sales,White,Husband,Male,0,0,40,United-States
8004,11th,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,0,45,United-States
8141,Some-college,Never-married,Sales,White,Not-in-family,Female,0,0,35,United-States
8224,Prof-school,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,80,United-States
834,11th,Widowed,?,White,Not-in-family,Female,0,0,24,United-States
8357,HS-grad,Never-married,Adm-clerical,White,Own-child,Female,0,0,35,United-States
8482,HS-grad,Never-married,Protective-serv,White,Unmarried,Male,0,0,44,United-States
8785,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,50,United-States
8814,HS-grad,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,60,United-States
8815,Some-college,Never-married,Other-service,White,Not-in-family,Male,0,0,40,United-States
8848,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,40,United-States
9016,Bachelors,Married-civ-spouse,Sales,Black,Husband,Male,7688,0,45,United-States
9284,Some-college,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,60,United-States
9320,HS-grad,Married-civ-spouse,Sales,White,Husband,Male,0,0,60,United-States
9415,Prof-school,Never-married,Prof-specialty,White,Own-child,Male,0,0,20,United-States
9440,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,45,United-States
959,Assoc-acdm,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,40,United-States
9656,Bachelors,Divorced,Prof-specialty,White,Unmarried,Male,0,0,65,United-States
9670,HS-grad,Never-married,Adm-clerical,White,Own-child,Female,0,0,20,United-States
9765,Some-college,Never-married,Exec-managerial,White,Unmarried,Male,0,0,60,United-States
9796,HS-grad,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,55,United-States
