record_id,age,marital-status,native-country,occupation,sex,workclass,capital-loss,education,hours-per-week,race,relationship
12778,24,Never-married,United-States,Protective-serv,Male,Local-gov,0,HS-grad,40,White,Not-in-family
12823,26,Never-married,United-States,Exec-managerial,Female,Private,0,Masters,30,White,Not-in-family
12858,20,Never-married,United-States,?,Male,?,0,HS-grad,25,White,Own-child
13066,47,Married-civ-spouse,United-States,Craft-repair,Male,Federal-gov,0,HS-grad,40,White,Husband
13116,48,Married-civ-spouse,El-Salvador,Prof-specialty,Male,Private,0,Masters,40,White,Husband
1324,39,Married-civ-spouse,United-States,Adm-clerical,Male,Private,0,HS-grad,40,White,Husband
13387,29,Married-civ-spouse,United-States,Transport-moving,Male,Local-gov,0,HS-grad,40,Black,Husband
13571,34,Married-civ-spouse,United-States,Handlers-cleaners,Male,Private,0,HS-grad,70,White,Husband
13772,65,Married-civ-spouse,United-States,Sales,Male,Private,0,Bachelors,15,White,Husband
13834,23,Married-civ-spouse,Mexico,Handlers-cleaners,Male,Private,0,5th-6th,40,White,Husband
13921,70,Married-civ-spouse,United-States,Exec-managerial,Male,Self-emp-inc,0,Some-college,20,White,Husband
14027,34,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,Some-college,40,White,Husband
14247,54,Never-married,United-States,Prof-specialty,Male,Local-gov,0,Bachelors,50,White,Not-in-family
14319,18,Never-married,United-States,Handlers-cleaners,Male,Private,0,11th,25,White,Not-in-family
14343,64,Divorced,United-States,Sales,Male,Self-emp-inc,0,Bachelors,45,White,Not-in-family
14377,22,Never-married,United-States,Adm-clerical,Female,Private,0,Assoc-acdm,27,White,Own-child
14400,48,Married-civ-spouse,United-States,Adm-clerical,Female,Federal-gov,0,HS-grad,40,White,Wife
1443,38,Divorced,United-States,Craft-repair,Male,Private,0,Assoc-voc,40,White,Not-in-family
14434,29,Married-civ-spouse,United-States,Other-service,Male,Private,0,HS-grad,35,White,Husband
14508,29,Married-civ-spouse,United-States,Machine-op-inspct,Male,Self-emp-not-inc,0,HS-grad,40,White,Husband
14595,42,Never-married,United-States,Transport-moving,Male,Private,0,HS-grad,40,White,Own-child
14726,31,Never-married,United-States,Exec-managerial,Male,Private,0,Bachelors,50,White,Not-in-family
14831,48,Married-civ-spouse,United-States,Other-service,Male,Self-emp-inc,0,Masters,40,White,Husband
14985,50,Divorced,United-States,Prof-specialty,Female,Local-gov,0,Masters,45,White,Not-in-family
15054,32,Never-married,United-States,Prof-specialty,Female,Private,0,Masters,20,White,Not-in-family
15136,26,Married-civ-spouse,?,Prof-specialty,Male,Private,0,Bachelors,50,White,Husband
15165,57,Married-civ-spouse,United-States,Transport-moving,Male,Local-gov,0,HS-grad,25,White,Husband
15225,65,Married-civ-spouse,Mexico,Exec-managerial,Male,Self-emp-inc,0,Bachelors,44,White,Husband
1534,50,Divorced,United-States,Other-service,Female,Private,0,Some-college,40,White,Not-in-family
15408,51,Married-civ-spouse,United-States,Exec-managerial,Male,Private,0,Masters,60,White,Husband
15468,29,Married-spouse-absent,United-States,Other-service,Female,Private,0,12th,40,Black,Not-in-family
15476,20,Never-married,United-States,?,Female,?,0,HS-grad,40,White,Own-child
15609,63,Married-civ-spouse,?,Sales,Male,Private,0,HS-grad,48,White,Husband
15647,40,Divorced,United-States,Craft-repair,Male,Private,0,Assoc-voc,50,White,Unmarried
15657,28,Never-married,United-States,Other-service,Female,Private,0,HS-grad,28,White,Unmarried
15669,31,Married-civ-spouse,United-States,Exec-managerial,Male,Private,1887,Bachelors,40,Black,Husband
15675,38,Divorced,United-States,Adm-clerical,Female,Private,0,Some-college,40,White,Own-child
15774,39,Married-civ-spouse,United-States,Adm-clerical,Male,Private,0,Some-college,40,White,Husband
16034,37,Married-civ-spouse,United-States,Adm-clerical,Female,Private,0,HS-grad,40,White,Wife
16158,34,Married-civ-spouse,United-States,Machine-op-inspct,Female,Private,0,11th,40,White,Own-child
1616,46,Married-civ-spouse,United-States,Prof-specialty,Male,Private,0,Prof-school,60,White,Husband
16209,25,Married-civ-spouse,United-States,Adm-clerical,Male,Private,0,Some-college,45,White,Husband
16294,34,Married-civ-spouse,United-States,?,Male,?,0,HS-grad,80,White,Husband
16334,53,Divorced,United-States,Prof-specialty,Male,Private,0,Doctorate,50,White,Not-in-family
16371,41,Married-civ-spouse,United-States,Other-service,Male,Private,0,Some-college,48,White,Husband
16414,38,Married-civ-spouse,United-States,Handlers-cleaners,Male,Private,0,HS-grad,40,White,Husband
16484,46,Married-civ-spouse,United-States,Transport-moving,Male,Private,0,Bachelors,40,White,Husband
16492,58,Married-civ-spouse,United-States,Exec-managerial,Male,Self-emp-not-inc,0,Bachelors,70,White,Husband
1651,36,Married-civ-spouse,United-States,Craft-repair,Male,Self-emp-not-inc,0,9th,30,White,Husband
16528,36,Widowed,United-States,Other-service,Female,Private,0,HS-grad,20,Asian-Pac-Islander,Unmarried
16536,33,Never-married,United-States,Adm-clerical,Male,Private,0,HS-grad,35,White,Own-child
16539,36,Married-civ-spouse,United-States,Prof-specialty,Male,Private,0,Bachelors,40,White,Husband
16541,34,Married-civ-spouse,United-States,Exec-managerial,Male,Self-emp-not-inc,0,HS-grad,70,White,Husband
16684,40,Married-civ-spouse,United-States,Prof-specialty,Male,Private,0,Assoc-voc,40,White,Husband
17125,27,Never-married,United-States,Exec-managerial,Male,Private,0,Assoc-acdm,40,White,Not-in-family
17386,21,Never-married,United-States,Prof-specialty,Female,Private,0,Some-college,4,Amer-Indian-Eskimo,Own-child
17471,39,Divorced,United-States,Adm-clerical,Female,Private,0,Some-college,35,White,Unmarried
17750,24,Married-civ-spouse,United-States,?,Male,?,0,HS-grad,40,White,Husband
17860,22,Never-married,United-States,Exec-managerial,Male,Private,0,Bachelors,40,White,Not-in-family
17863,20,Never-married,United-States,Handlers-cleaners,Male,Private,0,Some-college,15,White,Other-relative
1791,43,Divorced,United-States,Craft-repair,Male,Private,0,Assoc-acdm,40,White,Not-in-family
17969,60,Married-civ-spouse,United-States,Sales,Male,Private,0,Bachelors,46,White,Husband
18087,50,Married-civ-spouse,United-States,Protective-serv,Male,Local-gov,0,Bachelors,44,White,Husband
18142,36,Married-civ-spouse,United-States,Exec-managerial,Male,Private,0,Bachelors,45,Black,Husband
18148,36,Divorced,United-States,Exec-managerial,Male,Private,0,Assoc-acdm,48,White,Not-in-family
18190,52,Married-civ-spouse,United-States,Tech-support,Male,State-gov,0,Some-college,50,White,Husband
18270,27,Never-married,United-States,Protective-serv,Female,Local-gov,0,Some-college,40,White,Own-child
18437,42,Married-civ-spouse,United-States,Prof-specialty,Male,Local-gov,0,Masters,55,White,Husband
18649,66,Widowed,United-States,Prof-specialty,Female,Local-gov,0,Masters,40,White,Not-in-family
18679,22,Never-married,United-States,Transport-moving,Male,Private,0,9th,40,White,Own-child
18731,28,Never-married,United-States,Exec-managerial,Male,Private,0,HS-grad,40,White,Not-in-family
18832,90,Never-married,United-States,Exec-managerial,Female,Private,0,Masters,40,White,Own-child
18937,21,Never-married,United-States,Handlers-cleaners,Male,Private,0,12th,32,White,Own-child
19073,45,Divorced,United-States,?,Male,?,0,7th-8th,48,Amer-Indian-Eskimo,Not-in-family
19214,41,Married-civ-spouse,United-States,Prof-specialty,Male,Private,0,Bachelors,40,White,Husband
19330,48,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,Assoc-voc,40,White,Husband
19356,32,Married-civ-spouse,United-States,Transport-moving,Male,Self-emp-not-inc,1887,HS-grad,60,White,Husband
19447,48,Never-married,United-States,Protective-serv,Male,Local-gov,0,Assoc-voc,48,White,Unmarried
19449,37,Never-married,United-States,Sales,Male,Private,0,Masters,50,White,Not-in-family
19584,64,Married-civ-spouse,Canada,Farming-fishing,Male,Self-emp-not-inc,0,5th-6th,70,White,Husband
19645,43,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,Bachelors,48,White,Husband
1966,21,Never-married,United-States,Sales,Male,Private,0,Some-college,30,White,Own-child
19678,41,Divorced,United-States,Adm-clerical,Female,Private,0,Some-college,38,White,Unmarried
19806,42,Divorced,United-States,Machine-op-inspct,Male,Private,0,HS-grad,40,Black,Not-in-family
19961,44,Married-spouse-absent,United-States,Prof-specialty,Female,Local-gov,0,Doctorate,38,White,Unmarried
19986,19,Never-married,United-States,?,Male,?,0,Some-college,22,White,Own-child
20324,65,Divorced,United-States,Sales,Male,Private,0,Masters,28,White,Not-in-family
20330,37,Never-married,United-States,Adm-clerical,Female,Private,0,Bachelors,40,Black,Other-relative
20466,25,Never-married,United-States,Craft-repair,Male,Private,0,Some-college,55,White,Own-child
20630,34,Married-civ-spouse,Philippines,Other-service,Male,Private,0,Some-college,40,Asian-Pac-Islander,Husband
2066,46,Married-civ-spouse,United-States,Exec-managerial,Male,Private,0,HS-grad,40,White,Husband
20732,41,Divorced,United-States,Tech-support,Male,Private,0,Some-college,50,White,Not-in-family
20943,35,Divorced,United-States,Sales,Female,Private,0,HS-grad,40,White,Own-child
21028,31,Never-married,United-States,Other-service,Female,Private,0,10th,40,White,Not-in-family
21100,24,Never-married,United-States,Prof-specialty,Female,Private,0,Bachelors,20,White,Own-child
21252,32,Divorced,United-States,Prof-specialty,Male,Self-emp-not-inc,0,Bachelors,35,White,Other-relative
21391,37,Never-married,United-States,Machine-op-inspct,Male,Private,0,HS-grad,40,White,Not-in-family
21433,59,Married-civ-spouse,United-States,Exec-managerial,Male,Self-emp-not-inc,0,HS-grad,50,White,Husband
21603,31,Divorced,United-States,Farming-fishing,Male,Private,0,11th,50,White,Not-in-family
21861,45,Married-civ-spouse,United-States,?,Male,?,0,Masters,40,White,Husband
22231,50,Divorced,United-States,Tech-support,Female,Private,0,Some-college,36,White,Not-in-family
22238,46,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,HS-grad,40,White,Husband
22246,28,Married-civ-spouse,United-States,Adm-clerical,Female,Private,0,Some-college,32,White,Wife
22288,54,Married-civ-spouse,United-States,Exec-managerial,Male,Federal-gov,0,Some-college,40,White,Husband
22310,42,Separated,United-States,Sales,Female,Private,0,HS-grad,45,White,Unmarried
22567,47,Divorced,United-States,Priv-house-serv,Female,Private,0,HS-grad,4,White,Not-in-family
22619,23,Never-married,United-States,Adm-clerical,Female,Private,0,HS-grad,40,Black,Own-child
22688,49,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,Assoc-voc,40,White,Husband
22707,17,Never-married,United-States,Protective-serv,Female,Local-gov,1602,10th,40,White,Own-child
22735,43,Married-civ-spouse,United-States,Exec-managerial,Female,Local-gov,0,Masters,50,Amer-Indian-Eskimo,Wife
22744,44,Married-civ-spouse,United-States,Craft-repair,Male,Self-emp-not-inc,0,HS-grad,50,White,Husband
22970,51,Married-civ-spouse,United-States,Transport-moving,Male,Federal-gov,0,HS-grad,40,White,Husband
23125,31,Married-civ-spouse,Mexico,Machine-op-inspct,Male,Private,0,1st-4th,40,White,Husband
23185,26,Widowed,United-States,Exec-managerial,Female,Private,0,Bachelors,55,White,Not-in-family
23275,20,Never-married,United-States,Transport-moving,Male,Private,0,Assoc-acdm,20,White,Own-child
23378,53,Married-civ-spouse,United-States,Exec-managerial,Male,Local-gov,0,HS-grad,60,White,Husband
23381,57,Married-civ-spouse,United-States,Exec-managerial,Male,Federal-gov,0,Masters,40,Black,Husband
23387,48,Separated,United-States,Adm-clerical,Female,Private,0,Some-college,44,White,Unmarried
234,28,Never-married,United-States,Prof-specialty,Male,Private,0,Prof-school,55,White,Not-in-family
23496,45,Divorced,United-States,Transport-moving,Male,Private,0,HS-grad,60,White,Own-child
23781,49,Married-civ-spouse,United-States,Machine-op-inspct,Male,Private,0,7th-8th,40,White,Husband
23895,28,Married-civ-spouse,United-States,Transport-moving,Male,Private,0,HS-grad,45,White,Husband
2392,35,Married-civ-spouse,United-States,Handlers-cleaners,Male,Private,1579,Some-college,40,White,Husband
24058,18,Never-married,United-States,Sales,Male,Private,0,10th,20,White,Not-in-family
24284,57,Married-civ-spouse,United-States,Exec-managerial,Male,Self-emp-not-inc,0,HS-grad,1,White,Husband
24405,76,Widowed,United-States,?,Female,?,0,11th,16,White,Other-relative
24475,41,Divorced,United-States,?,Female,?,0,HS-grad,28,Black,Not-in-family
24724,32,Never-married,United-States,Adm-clerical,Female,Private,0,Some-college,40,White,Own-child
24895,46,Married-civ-spouse,United-States,Protective-serv,Male,Local-gov,0,Bachelors,40,White,Husband
25040,18,Never-married,United-States,Sales,Female,Private,0,12th,20,White,Own-child
25077,28,Never-married,United-States,Adm-clerical,Male,Private,0,HS-grad,40,White,Not-in-family
25096,21,Never-married,United-States,Other-service,Female,Private,0,HS-grad,30,Black,Own-child
25105,38,Married-civ-spouse,?,Prof-specialty,Male,Private,0,Masters,40,Asian-Pac-Islander,Husband
2517,51,Married-civ-spouse,United-States,Exec-managerial,Male,Private,0,Bachelors,60,White,Husband
25178,45,Never-married,United-States,Prof-specialty,Male,Private,0,Doctorate,30,White,Not-in-family
25322,27,Never-married,United-States,Craft-repair,Male,Private,0,HS-grad,20,Black,Own-child
25588,30,Never-married,United-States,?,Male,?,0,HS-grad,40,White,Own-child
25620,42,Married-civ-spouse,United-States,Exec-managerial,Female,Local-gov,0,Assoc-acdm,45,White,Wife
25678,22,Married-civ-spouse,United-States,Transport-moving,Male,Private,0,12th,40,White,Husband
25693,49,Divorced,United-States,Other-service,Female,Private,0,Some-college,40,White,Unmarried
25786,62,Divorced,United-States,Prof-specialty,Male,State-gov,0,Bachelors,40,White,Not-in-family
2585,51,Divorced,United-States,Adm-clerical,Female,Private,0,HS-grad,40,White,Not-in-family
25898,26,Married-civ-spouse,United-States,Transport-moving,Male,Private,0,HS-grad,40,Other,Husband
25947,42,Married-civ-spouse,United-States,Machine-op-inspct,Female,Private,0,HS-grad,40,White,Wife
26075,25,Never-married,United-States,Farming-fishing,Male,Self-emp-not-inc,0,HS-grad,50,White,Not-in-family
26193,31,Married-civ-spouse,United-States,Machine-op-inspct,Male,Private,0,HS-grad,40,White,Husband
26282,18,Never-married,United-States,Other-service,Female,Private,0,Some-college,12,White,Own-child
26330,35,Never-married,United-States,Craft-repair,Male,Self-emp-not-inc,0,Some-college,40,White,Own-child
26457,41,Married-civ-spouse,Taiwan,Exec-managerial,Male,Self-emp-inc,1977,Bachelors,60,Asian-Pac-Islander,Husband
26494,31,Married-civ-spouse,South,Prof-specialty,Male,Private,0,Masters,6,Asian-Pac-Islander,Husband
26539,59,Married-civ-spouse,United-States,Transport-moving,Male,State-gov,0,9th,40,White,Husband
26540,42,Separated,United-States,Adm-clerical,Female,Private,0,Some-college,40,White,Own-child
26633,43,Divorced,United-States,Adm-clerical,Female,Private,0,HS-grad,40,White,Not-in-family
26658,35,Separated,United-States,Other-service,Male,Private,0,HS-grad,40,Black,Not-in-family
26699,18,Never-married,United-States,Sales,Female,Private,0,Some-college,20,White,Own-child
269,33,Married-civ-spouse,United-States,Craft-repair,Female,Private,0,HS-grad,40,White,Wife
2690,61,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,9th,40,White,Husband
2735,26,Never-married,?,Prof-specialty,Male,Private,1602,Some-college,40,White,Not-in-family
27394,35,Never-married,United-States,Machine-op-inspct,Female,Private,0,HS-grad,40,White,Not-in-family
27428,55,Married-civ-spouse,United-States,Exec-managerial,Male,Self-emp-not-inc,0,Bachelors,40,White,Husband
27485,28,Married-civ-spouse,United-States,Farming-fishing,Male,Private,0,11th,40,White,Husband
27498,25,Married-civ-spouse,United-States,?,Female,?,0,Bachelors,25,White,Wife
27548,19,Never-married,United-States,Handlers-cleaners,Male,Private,0,12th,40,White,Not-in-family
27561,50,Divorced,United-States,Other-service,Female,Private,0,11th,40,White,Unmarried
27847,36,Never-married,United-States,Sales,Female,Private,0,HS-grad,40,White,Own-child
27853,42,Never-married,United-States,?,Male,?,0,9th,35,Black,Own-child
27907,52,Married-civ-spouse,United-States,Adm-clerical,Male,Private,0,HS-grad,40,White,Husband
28016,19,Never-married,United-States,Sales,Female,Private,0,HS-grad,35,White,Own-child
28022,30,Married-civ-spouse,United-States,Handlers-cleaners,Male,Private,0,HS-grad,40,White,Husband
28100,58,Married-civ-spouse,United-States,Sales,Male,Private,0,Some-college,12,White,Husband
28137,49,Married-civ-spouse,United-States,Transport-moving,Male,Private,0,HS-grad,40,White,Husband
28156,21,Never-married,United-States,Other-service,Female,Private,0,Some-college,40,White,Own-child
28312,31,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,Some-college,40,White,Husband
28555,59,Divorced,United-States,Prof-specialty,Female,Private,0,Some-college,48,White,Not-in-family
2864,29,Married-civ-spouse,United-States,Sales,Female,Private,0,Some-college,25,White,Wife
28737,38,Never-married,United-States,Other-service,Female,Private,0,HS-grad,40,Black,Unmarried
28746,38,Married-civ-spouse,United-States,Exec-managerial,Male,Private,0,Bachelors,50,White,Husband
28770,17,Never-married,United-States,Sales,Male,Private,0,7th-8th,8,White,Own-child
28803,45,Married-civ-spouse,United-States,Exec-managerial,Male,Self-emp-inc,0,HS-grad,48,White,Husband
28909,41,Married-civ-spouse,United-States,Sales,Male,Private,0,Some-college,50,White,Husband
29017,27,Married-civ-spouse,United-States,Exec-managerial,Male,Local-gov,0,HS-grad,80,White,Husband
29029,45,Married-civ-spouse,?,Exec-managerial,Male,Self-emp-not-inc,0,Some-college,72,Asian-Pac-Islander,Husband
29151,24,Never-married,United-States,Tech-support,Female,State-gov,0,Bachelors,40,White,Not-in-family
29153,25,Never-married,United-States,Prof-specialty,Male,Private,0,Masters,35,White,Own-child
29170,35,Never-married,United-States,Machine-op-inspct,Female,Private,0,HS-grad,40,White,Not-in-family
29213,25,Married-civ-spouse,United-States,Adm-clerical,Female,Private,0,Some-college,40,White,Wife
29288,19,Never-married,United-States,Prof-specialty,Female,Private,0,HS-grad,40,White,Not-in-family
29304,24,Never-married,United-States,Handlers-cleaners,Male,Private,0,HS-grad,40,White,Other-relative
2938,47,Married-civ-spouse,United-States,Machine-op-inspct,Female,Private,0,11th,40,Black,Wife
29393,47,Married-civ-spouse,Japan,Craft-repair,Male,Private,0,HS-grad,60,Asian-Pac-Islander,Husband
29398,42,Divorced,United-States,Exec-managerial,Female,Private,0,HS-grad,40,White,Not-in-family
29406,24,Separated,United-States,Craft-repair,Male,Private,0,Assoc-acdm,40,Asian-Pac-Islander,Unmarried
2953,34,Married-civ-spouse,United-States,Protective-serv,Male,Private,0,Bachelors,30,Black,Husband
2964,27,Never-married,United-States,Craft-repair,Female,Private,0,HS-grad,45,White,Own-child
29659,66,Married-civ-spouse,United-States,Exec-managerial,Male,Private,0,Some-college,24,White,Husband
29677,30,Divorced,United-States,Transport-moving,Male,Private,0,7th-8th,40,White,Not-in-family
298,24,Never-married,United-States,Craft-repair,Male,Private,0,HS-grad,40,White,Own-child
30009,28,Never-married,United-States,Exec-managerial,Male,Self-emp-not-inc,0,Bachelors,50,White,Not-in-family
30360,21,Never-married,United-States,Protective-serv,Male,Private,0,HS-grad,40,Black,Own-child
30455,32,Married-civ-spouse,Philippines,Machine-op-inspct,Male,Private,0,Some-college,40,Asian-Pac-Islander,Husband
30540,30,Never-married,United-States,Craft-repair,Male,Self-emp-not-inc,0,Assoc-acdm,40,White,Own-child
30575,23,Never-married,United-States,Handlers-cleaners,Male,Private,0,Some-college,50,White,Own-child
30644,37,Never-married,United-States,Other-service,Female,Private,0,Assoc-acdm,30,White,Not-in-family
30813,28,Never-married,United-States,Adm-clerical,Female,Local-gov,0,Assoc-acdm,40,White,Not-in-family
3087,46,Divorced,United-States,Adm-clerical,Female,Local-gov,0,HS-grad,25,White,Unmarried
30883,51,Divorced,United-States,Tech-support,Female,Private,0,Assoc-voc,48,Black,Unmarried
3095,48,Married-civ-spouse,United-States,Exec-managerial,Male,Self-emp-inc,0,Bachelors,40,White,Husband
30997,29,Married-civ-spouse,United-States,Adm-clerical,Male,Private,0,Some-college,40,Amer-Indian-Eskimo,Husband
31049,27,Never-married,United-States,Handlers-cleaners,Male,Private,0,Some-college,48,White,Not-in-family
31122,50,Married-civ-spouse,United-States,Sales,Female,Private,0,Some-college,39,White,Wife
31140,25,Never-married,United-States,Transport-moving,Male,Private,0,10th,50,White,Not-in-family
31228,31,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,HS-grad,47,White,Husband
31229,29,Divorced,United-States,Tech-support,Male,Private,0,Assoc-voc,40,Black,Not-in-family
31315,27,Divorced,United-States,Prof-specialty,Female,Private,0,Some-college,40,White,Own-child
31360,41,Widowed,United-States,?,Female,?,0,Some-college,20,Black,Unmarried
31447,60,Married-civ-spouse,United-States,Protective-serv,Male,Private,0,Some-college,16,White,Husband
3149,55,Married-civ-spouse,United-States,Exec-managerial,Male,Self-emp-inc,0,HS-grad,45,White,Husband
31528,54,Married-civ-spouse,United-States,Farming-fishing,Male,Private,0,Some-college,50,White,Husband
31629,57,Married-civ-spouse,United-States,Farming-fishing,Male,Self-emp-not-inc,0,HS-grad,40,Asian-Pac-Islander,Husband
3182,29,Never-married,United-States,Machine-op-inspct,Male,Private,0,Assoc-acdm,45,White,Unmarried
31912,62,Married-civ-spouse,United-States,?,Male,?,0,HS-grad,18,White,Husband
31924,25,Married-civ-spouse,United-States,Adm-clerical,Female,Private,0,Some-college,40,White,Wife
31998,52,Married-civ-spouse,United-States,?,Female,?,0,12th,40,Black,Wife
32123,44,Never-married,United-States,Adm-clerical,Male,Federal-gov,0,Some-college,50,White,Not-in-family
32254,31,Married-civ-spouse,?,Other-service,Male,Private,1485,Some-college,55,Asian-Pac-Islander,Husband
32276,29,Never-married,United-States,Protective-serv,Male,Local-gov,0,Some-college,48,White,Own-child
3264,36,Separated,United-States,Exec-managerial,Male,Self-emp-inc,0,Assoc-acdm,50,White,Not-in-family
3316,47,Never-married,United-States,Protective-serv,Male,Local-gov,0,Some-college,40,Black,Not-in-family
3460,38,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,HS-grad,40,White,Husband
3782,66,Widowed,United-States,Craft-repair,Male,Self-emp-not-inc,0,HS-grad,20,White,Not-in-family
4000,63,Married-civ-spouse,United-States,Sales,Male,Private,0,Bachelors,40,White,Husband
4119,25,Married-civ-spouse,United-States,Transport-moving,Male,Private,0,HS-grad,40,White,Husband
4134,38,Divorced,United-States,Adm-clerical,Female,Private,0,HS-grad,48,White,Unmarried
4183,23,Never-married,United-States,Craft-repair,Male,Private,0,HS-grad,40,White,Not-in-family
4590,26,Married-civ-spouse,United-States,Sales,Male,Private,0,Bachelors,50,White,Husband
464,24,Never-married,United-States,Tech-support,Female,Private,0,Bachelors,20,White,Not-in-family
4699,59,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,10th,40,White,Husband
4831,56,Widowed,United-States,Adm-clerical,Female,Private,0,HS-grad,40,White,Not-in-family
4890,51,Married-civ-spouse,United-States,Farming-fishing,Male,Self-emp-not-inc,0,Some-college,75,White,Husband
4925,28,Never-married,United-States,?,Male,?,0,Bachelors,18,White,Not-in-family
5302,21,Never-married,United-States,?,Female,?,0,Some-college,25,White,Own-child
5455,44,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,Bachelors,12,White,Husband
547,35,Married-civ-spouse,United-States,Protective-serv,Male,Local-gov,0,Some-college,40,White,Husband
5526,20,Never-married,United-States,?,Male,?,0,Some-college,35,White,Own-child
5900,29,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,HS-grad,45,White,Husband
5956,51,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,HS-grad,40,White,Husband
6120,48,Married-spouse-absent,United-States,Exec-managerial,Female,Federal-gov,0,Masters,50,White,Not-in-family
6163,25,Never-married,United-States,Sales,Male,Private,0,Some-college,24,White,Own-child
6353,29,Married-civ-spouse,United-States,Transport-moving,Male,Private,0,HS-grad,40,Black,Husband
6698,36,Married-civ-spouse,United-States,Prof-specialty,Male,Private,0,Bachelors,45,White,Husband
6754,63,Married-civ-spouse,United-States,Other-service,Male,Private,0,HS-grad,20,White,Husband
6800,52,Divorced,United-States,Exec-managerial,Female,Federal-gov,0,Some-college,40,White,Not-in-family
7026,38,Divorced,United-States,Adm-clerical,Female,Private,0,HS-grad,40,White,Unmarried
7040,56,Divorced,United-States,Sales,Female,Private,0,11th,40,White,Not-in-family
7064,56,Married-civ-spouse,United-States,Craft-repair,Male,Self-emp-not-inc,0,Masters,50,White,Husband
7123,58,Married-civ-spouse,United-States,Sales,Male,Private,0,HS-grad,40,White,Husband
7302,19,Never-married,United-States,Transport-moving,Male,Private,0,HS-grad,30,White,Own-child
7339,34,Married-civ-spouse,United-States,Craft-repair,Male,Self-emp-not-inc,0,Some-college,55,White,Husband
7868,49,Married-civ-spouse,United-States,Machine-op-inspct,Male,State-gov,0,Some-college,40,White,Husband
7936,32,Married-civ-spouse,United-States,Tech-support,Male,State-gov,0,Bachelors,20,White,Husband
802,68,Never-married,United-States,Farming-fishing,Male,Self-emp-not-inc,0,11th,20,White,Unmarried
8133,31,Never-married,United-States,Adm-clerical,Female,State-gov,0,Assoc-acdm,45,Black,Own-child
8186,21,Separated,United-States,Machine-op-inspct,Male,Private,0,HS-grad,40,White,Other-relative
8202,36,Married-civ-spouse,United-States,Prof-specialty,Male,Private,0,Bachelors,55,White,Husband
8213,37,Married-civ-spouse,United-States,Exec-managerial,Male,Private,0,Masters,45,White,Husband
8220,48,Married-civ-spouse,United-States,Adm-clerical,Female,Private,0,Some-college,37,White,Wife
829,24,Never-married,United-States,Sales,Male,Self-emp-inc,0,Bachelors,40,White,Own-child
