record_id,race,relationship,sex,workclass,education
20390,White,Husband,Male,Private,Some-college
20485,White,Not-in-family,Male,Private,Bachelors
20490,White,Not-in-family,Female,Local-gov,Masters
20711,White,Unmarried,Female,Private,HS-grad
20719,White,Own-child,Female,Private,Some-college
20819,White,Not-in-family,Male,Private,Bachelors
20843,White,Not-in-family,Female,Private,Some-college
20845,White,Not-in-family,Male,Private,HS-grad
20920,White,Not-in-family,Female,Private,HS-grad
20928,White,Husband,Male,Private,Some-college
21240,White,Husband,Male,Private,Prof-school
21338,White,Husband,Male,Local-gov,Some-college
21405,White,Husband,Male,Private,HS-grad
21413,Black,Husband,Male,?,HS-grad
21456,Black,Unmarried,Female,Private,Masters
21600,White,Husband,Male,Private,Some-college
21633,White,Unmarried,Female,Federal-gov,HS-grad
21642,White,Own-child,Female,Private,Some-college
21971,White,Not-in-family,Female,Private,Masters
220,White,Husband,Male,Private,Some-college
22333,White,Husband,Male,Self-emp-not-inc,11th
2263,White,Not-in-family,Male,Private,Some-college
22644,White,Husband,Male,?,Assoc-voc
22998,White,Not-in-family,Male,Private,Some-college
23026,White,Unmarried,Female,Private,Some-college
23159,White,Not-in-family,Female,Private,Assoc-voc
23176,White,Own-child,Female,?,HS-grad
2322,White,Own-child,Male,Private,HS-grad
23279,White,Not-in-family,Female,Private,Masters
23454,White,Not-in-family,Male,Private,HS-grad
23461,Black,Unmarried,Female,Private,HS-grad
23699,Black,Unmarried,Female,Private,HS-grad
23892,White,Husband,Male,Self-emp-inc,Bachelors
2395,White,Not-in-family,Male,Private,12th
23979,White,Husband,Male,Private,Some-college
24036,White,Husband,Male,Private,Some-college
24199,White,Not-in-family,Female,Private,Masters
24277,White,Husband,Male,Private,HS-grad
24338,White,Husband,Male,Private,HS-grad
24445,White,Husband,Male,Self-emp-not-inc,7th-8th
24543,Black,Not-in-family,Female,Local-gov,Bachelors
24548,White,Unmarried,Female,State-gov,Assoc-acdm
24638,White,Husband,Male,Private,HS-grad
24651,White,Husband,Male,Private,Some-college
24740,White,Husband,Male,Private,HS-grad
24823,White,Husband,Male,Local-gov,Bachelors
24840,White,Husband,Male,Self-emp-inc,Some-college
24870,White,Not-in-family,Female,Private,HS-grad
24919,White,Wife,Female,Private,Some-college
25014,White,Wife,Female,Private,Some-college
25187,White,Husband,Male,Federal-gov,Some-college
25199,White,Not-in-family,Male,Private,Some-college
25215,White,Husband,Male,Private,Masters
25273,White,Husband,Male,Private,7th-8th
25287,White,Not-in-family,Female,Private,Prof-school
25419,White,Husband,Male,Self-emp-not-inc,Assoc-voc
25439,White,Husband,Male,State-gov,HS-grad
25558,White,Husband,Male,Private,HS-grad
25715,White,Husband,Male,Local-gov,Assoc-acdm
25725,White,Not-in-family,Male,Private,Bachelors
25763,White,Other-relative,Male,Private,HS-grad
25859,White,Wife,Female,State-gov,Some-college
25866,White,Husband,Male,Self-emp-inc,Some-college
26016,White,Own-child,Male,Local-gov,11th
26085,White,Wife,Female,Private,Bachelors
26203,White,Husband,Male,Private,10th
26282,White,Own-child,Female,Private,Some-college
26524,White,Husband,Male,Private,Assoc-acdm
26760,White,Own-child,Female,Private,HS-grad
27158,White,Not-in-family,Female,Private,Some-college
27337,Black,Unmarried,Female,Private,Some-college
27429,White,Own-child,Female,Private,10th
27485,White,Husband,Male,Private,11th
27509,White,Not-in-family,Male,Self-emp-not-inc,Assoc-acdm
27511,White,Not-in-family,Male,Private,HS-grad
2754,White,Husband,Male,Self-emp-not-inc,7th-8th
27549,White,Own-child,Female,?,Some-college
27609,White,Husband,Male,Self-emp-not-inc,HS-grad
27650,White,Husband,Male,Private,Bachelors
27693,White,Own-child,Male,Private,10th
27777,White,Not-in-family,Female,Private,Some-college
27905,White,Unmarried,Male,Private,Some-college
27908,White,Husband,Male,Private,7th-8th
27917,White,Unmarried,Female,Private,HS-grad
27924,White,Husband,Male,Private,Assoc-voc
28087,White,Husband,Male,Self-emp-not-inc,Prof-school
28451,White,Husband,Male,Private,Some-college
28611,White,Unmarried,Male,Private,Assoc-voc
28665,Asian-Pac-Islander,Not-in-family,Male,Private,Prof-school
28685,White,Husband,Male,Private,9th
28711,White,Husband,Male,Private,Some-college
28805,White,Not-in-family,Female,Self-emp-inc,Some-college
29074,Black,Unmarried,Male,Private,HS-grad
29233,White,Own-child,Female,Private,Bachelors
29407,Black,Husband,Male,Private,HS-grad
29503,White,Own-child,Female,Private,Some-college
29512,White,Not-in-family,Female,Private,HS-grad
29530,Black,Wife,Female,Private,HS-grad
29577,White,Not-in-family,Male,Self-emp-not-inc,HS-grad
29635,White,Husband,Male,Private,Bachelors
29877,White,Husband,Male,Self-emp-not-inc,HS-grad
29880,White,Husband,Male,Private,HS-grad
29892,White,Not-in-family,Male,Private,Masters
29940,White,Not-in-family,Female,Private,11th
3018,White,Own-child,Male,Private,HS-grad
3020,White,Husband,Male,State-gov,Doctorate
30203,White,Husband,Male,Private,Some-college
3023,Black,Not-in-family,Male,Private,10th
30261,White,Own-child,Male,Private,Some-college
30365,White,Husband,Male,Private,HS-grad
3042,White,Husband,Male,?,Assoc-voc
3044,White,Other-relative,Male,Private,HS-grad
30514,White,Own-child,Female,Private,Some-college
30619,White,Not-in-family,Female,Self-emp-inc,Bachelors
30779,White,Not-in-family,Female,Private,HS-grad
3090,White,Not-in-family,Female,Private,Some-college
31013,White,Not-in-family,Male,Private,Masters
3108,White,Own-child,Male,Private,Some-college
31097,White,Husband,Male,Private,Assoc-voc
31210,White,Other-relative,Male,Private,HS-grad
3129,White,Not-in-family,Female,Federal-gov,Assoc-acdm
31430,White,Husband,Male,Self-emp-inc,HS-grad
31432,White,Not-in-family,Male,?,HS-grad
31558,White,Unmarried,Female,Private,Bachelors
31743,Black,Husband,Male,Local-gov,Prof-school
31851,White,Unmarried,Male,Self-emp-not-inc,Prof-school
31876,White,Husband,Male,Private,HS-grad
31943,White,Not-in-family,Female,Private,Some-college
31988,White,Husband,Male,Private,Some-college
32450,Black,Husband,Male,Private,9th
32457,Asian-Pac-Islander,Husband,Male,Private,Masters
32549,White,Other-relative,Female,State-gov,Some-college
3367,White,Husband,Male,Private,Bachelors
3416,White,Unmarried,Male,Local-gov,HS-grad
3418,White,Husband,Male,State-gov,Bachelors
3623,White,Husband,Male,Private,9th
3847,White,Wife,Female,Private,HS-grad
3964,White,Husband,Male,Private,Bachelors
3995,White,Unmarried,Female,Private,Some-college
4057,Black,Unmarried,Female,Private,Assoc-voc
4079,White,Husband,Male,Private,HS-grad
4121,White,Husband,Male,Private,HS-grad
427,White,Not-in-family,Male,Private,HS-grad
4365,White,Husband,Male,Private,Bachelors
4403,Asian-Pac-Islander,Husband,Male,Private,Some-college
449,White,Own-child,Female,?,11th
4507,White,Husband,Male,Private,Some-college
4508,Black,Not-in-family,Male,Private,Some-college
4572,White,Not-in-family,Male,Private,11th
4645,Black,Husband,Male,Private,9th
4725,White,Other-relative,Male,Private,HS-grad
479,White,Unmarried,Female,Private,HS-grad
4828,White,Not-in-family,Female,Private,11th
4913,White,Other-relative,Female,Private,Bachelors
4949,White,Husband,Male,Private,Bachelors
5001,White,Other-relative,Female,Private,Bachelors
5102,White,Husband,Male,Private,Some-college
5231,White,Not-in-family,Male,Private,Bachelors
5427,White,Husband,Male,State-gov,Masters
5467,White,Other-relative,Male,Private,Some-college
5664,White,Unmarried,Male,Private,HS-grad
6173,White,Husband,Male,Private,Doctorate
6224,White,Wife,Female,Local-gov,Masters
6545,White,Not-in-family,Female,Private,HS-grad
6590,White,Not-in-family,Male,Self-emp-not-inc,7th-8th
6600,White,Husband,Male,Private,Bachelors
6744,White,Husband,Male,Self-emp-not-inc,HS-grad
7074,White,Husband,Male,Private,Some-college
7079,White,Husband,Male,Self-emp-not-inc,HS-grad
7175,White,Husband,Male,Self-emp-not-inc,HS-grad
7211,White,Husband,Male,Local-gov,Some-college
7260,White,Own-child,Female,Private,Some-college
7419,White,Own-child,Female,Private,Some-college
7531,White,Husband,Male,Private,Bachelors
7563,White,Unmarried,Female,Private,Some-college
7575,White,Husband,Male,Self-emp-not-inc,Assoc-voc
771,White,Not-in-family,Male,Private,5th-6th
7768,White,Husband,Male,Local-gov,5th-6th
7855,White,Husband,Male,State-gov,Some-college
7972,White,Not-in-family,Female,Private,Bachelors
8043,White,Not-in-family,Male,Private,Some-college
8106,White,Not-in-family,Female,Private,Some-college
8107,White,Unmarried,Male,Federal-gov,Some-college
8296,White,Husband,Male,Private,Some-college
8297,White,Not-in-family,Female,?,Some-college
8326,White,Own-child,Female,Private,HS-grad
8356,Asian-Pac-Islander,Wife,Female,Private,12th
8407,White,Not-in-family,Male,Private,Bachelors
8439,White,Unmarried,Female,Private,Assoc-voc
8446,White,Husband,Male,?,HS-grad
8532,White,Own-child,Female,?,Some-college
8537,White,Own-child,Female,Private,HS-grad
8553,White,Own-child,Female,Private,Assoc-voc
8676,White,Not-in-family,Female,Private,Bachelors
8806,White,Husband,Male,Private,Prof-school
8871,Black,Unmarried,Female,Private,12th
9145,White,Not-in-family,Male,Local-gov,Prof-school
9344,White,Husband,Male,Federal-gov,Bachelors
9405,White,Own-child,Male,Local-gov,9th
9428,White,Unmarried,Male,Private,HS-grad
9439,White,Husband,Male,Private,10th
9674,White,Wife,Female,Local-gov,HS-grad
9751,White,Husband,Male,Private,Prof-school
9752,White,Not-in-family,Female,Private,Masters
976,White,Not-in-family,Female,Private,Some-college
9933,White,Not-in-family,Female,Private,HS-grad
9949,White,Not-in-family,Male,Private,HS-grad
