record_id,age,education,marital-status,native-country,occupation,race,sex,workclass,capital-gain,relationship
12396,35,11th,Never-married,United-States,Machine-op-inspct,White,Male,Private,0,Not-in-family
12559,47,Some-college,Widowed,United-States,Other-service,White,Female,Self-emp-not-inc,0,Unmarried
12567,41,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,7298,Husband
12665,37,Some-college,Separated,United-States,Exec-managerial,White,Male,Federal-gov,8614,Not-in-family
12684,23,Bachelors,Never-married,United-States,Exec-managerial,Asian-Pac-Islander,Male,Private,0,Own-child
12753,55,HS-grad,Widowed,United-States,Sales,White,Female,Private,0,Unmarried
12946,64,Some-college,Widowed,United-States,Craft-repair,White,Female,Self-emp-not-inc,0,Not-in-family
12978,29,Bachelors,Married-civ-spouse,United-States,Other-service,White,Male,Private,7298,Husband
13149,47,HS-grad,Divorced,United-States,Sales,White,Female,Private,0,Unmarried
13164,39,Assoc-voc,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,0,Husband
13328,49,Some-college,Divorced,United-States,Exec-managerial,White,Male,Self-emp-inc,0,Not-in-family
13499,50,Bachelors,Married-civ-spouse,?,Sales,White,Male,Private,99999,Husband
13539,39,Bachelors,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,0,Husband
13599,34,Bachelors,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
13623,71,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
13727,44,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,0,Husband
1377,54,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Male,Private,0,Husband
13771,20,HS-grad,Never-married,United-States,Adm-clerical,White,Male,Private,0,Own-child
13853,24,Some-college,Never-married,United-States,Craft-repair,White,Male,Private,0,Not-in-family
13904,50,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Self-emp-not-inc,0,Husband
14010,45,Bachelors,Divorced,United-States,Adm-clerical,White,Female,Private,4687,Unmarried
14079,24,HS-grad,Never-married,United-States,Other-service,White,Female,Private,2174,Not-in-family
14134,35,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,Black,Male,Private,0,Husband
1415,28,Some-college,Married-civ-spouse,United-States,Adm-clerical,Asian-Pac-Islander,Male,State-gov,0,Husband
14308,45,Assoc-voc,Married-civ-spouse,United-States,Farming-fishing,White,Male,Private,0,Husband
14370,22,Assoc-acdm,Never-married,United-States,?,White,Male,?,0,Other-relative
14432,21,Some-college,Never-married,United-States,Craft-repair,White,Male,Private,0,Own-child
14434,29,HS-grad,Married-civ-spouse,United-States,Other-service,White,Male,Private,0,Husband
14616,18,HS-grad,Never-married,United-States,Sales,White,Female,Private,0,Own-child
14636,41,HS-grad,Separated,United-States,Transport-moving,White,Male,Local-gov,0,Own-child
14687,58,Assoc-acdm,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
14716,23,Some-college,Married-civ-spouse,United-States,Tech-support,White,Male,Private,0,Husband
14737,51,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Local-gov,0,Husband
14780,26,HS-grad,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0,Husband
14789,23,Assoc-acdm,Never-married,United-States,Adm-clerical,White,Female,Private,0,Not-in-family
14818,44,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,7688,Husband
14949,36,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Female,Private,15024,Wife
15139,22,Some-college,Never-married,United-States,Other-service,Black,Male,Private,0,Own-child
15211,36,Assoc-voc,Never-married,United-States,Adm-clerical,White,Male,Private,0,Not-in-family
1522,30,Some-college,Divorced,United-States,Exec-managerial,White,Female,Private,0,Unmarried
15312,32,11th,Never-married,United-States,Other-service,Black,Male,Private,0,Not-in-family
15468,29,12th,Married-spouse-absent,United-States,Other-service,Black,Female,Private,0,Not-in-family
15710,30,11th,Never-married,United-States,Craft-repair,White,Male,Self-emp-not-inc,0,Not-in-family
1575,52,Assoc-voc,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,0,Husband
15807,24,HS-grad,Never-married,United-States,Craft-repair,White,Male,Private,0,Own-child
15844,59,HS-grad,Divorced,United-States,Exec-managerial,White,Male,Self-emp-not-inc,0,Not-in-family
15944,60,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
1605,67,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,0,Husband
16322,39,Some-college,Divorced,United-States,Sales,White,Female,Private,0,Other-relative
16371,41,Some-college,Married-civ-spouse,United-States,Other-service,White,Male,Private,0,Husband
16469,18,11th,Never-married,United-States,Sales,White,Female,Private,0,Own-child
16506,21,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,0,Own-child
16590,34,Assoc-acdm,Divorced,United-States,Adm-clerical,Black,Male,Private,0,Not-in-family
16688,47,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-not-inc,0,Husband
16787,17,11th,Never-married,United-States,Sales,White,Male,Private,0,Own-child
16792,31,Some-college,Never-married,United-States,Sales,White,Female,Private,0,Not-in-family
16893,54,9th,Married-civ-spouse,United-States,Other-service,White,Male,Local-gov,0,Husband
16972,34,HS-grad,Separated,United-States,Adm-clerical,White,Female,State-gov,0,Unmarried
17029,34,Some-college,Separated,United-States,Exec-managerial,White,Female,State-gov,0,Own-child
17083,24,Assoc-voc,Never-married,United-States,Adm-clerical,White,Female,Private,0,Own-child
17207,50,Some-college,Married-civ-spouse,United-States,Sales,Asian-Pac-Islander,Male,Private,0,Husband
17220,39,Some-college,Married-civ-spouse,United-States,Craft-repair,Asian-Pac-Islander,Male,Private,0,Own-child
17295,22,Some-college,Never-married,United-States,Sales,White,Female,Private,0,Own-child
17413,28,HS-grad,Never-married,United-States,Transport-moving,White,Male,Private,0,Unmarried
17422,37,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0,Husband
1748,27,HS-grad,Never-married,United-States,Other-service,White,Female,Private,0,Not-in-family
17615,35,HS-grad,Divorced,United-States,Machine-op-inspct,White,Male,Private,0,Own-child
17633,62,7th-8th,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,0,Husband
17778,39,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
17830,37,Some-college,Never-married,United-States,Sales,White,Male,Private,0,Not-in-family
17940,30,Some-college,Married-civ-spouse,United-States,Tech-support,White,Male,Private,0,Husband
17965,53,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Husband
18014,36,Assoc-acdm,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
18019,17,11th,Never-married,United-States,?,White,Male,?,0,Own-child
18058,36,7th-8th,Never-married,United-States,Craft-repair,Black,Male,Self-emp-inc,0,Unmarried
18064,31,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Female,Private,0,Wife
1824,51,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,0,Husband
18268,24,Bachelors,Never-married,United-States,Exec-managerial,White,Male,Private,0,Own-child
18346,43,HS-grad,Divorced,United-States,Tech-support,White,Female,State-gov,0,Not-in-family
18374,39,Some-college,Married-civ-spouse,United-States,Protective-serv,White,Male,State-gov,0,Husband
18500,55,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,White,Male,Local-gov,0,Husband
18567,32,Bachelors,Never-married,United-States,Transport-moving,White,Male,Private,0,Not-in-family
18851,25,HS-grad,Never-married,United-States,Adm-clerical,White,Male,Private,0,Not-in-family
18882,43,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,99999,Husband
18965,45,Some-college,Divorced,United-States,Tech-support,White,Female,Private,0,Not-in-family
19006,42,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,5178,Husband
19028,61,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,0,Husband
19038,52,HS-grad,Married-civ-spouse,Philippines,Handlers-cleaners,Asian-Pac-Islander,Male,Private,0,Husband
19287,29,HS-grad,Never-married,United-States,Sales,White,Female,Private,0,Not-in-family
19355,39,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Self-emp-inc,0,Husband
19386,58,Masters,Married-civ-spouse,United-States,Exec-managerial,White,Male,Self-emp-not-inc,0,Husband
19499,45,Bachelors,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,0,Husband
19631,34,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0,Husband
19742,40,7th-8th,Separated,United-States,Other-service,White,Female,Private,0,Not-in-family
19854,26,Bachelors,Never-married,United-States,Exec-managerial,White,Male,Private,0,Not-in-family
20043,23,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
2021,36,Doctorate,Never-married,England,Prof-specialty,White,Male,Private,0,Not-in-family
20250,59,10th,Married-civ-spouse,United-States,Farming-fishing,White,Male,State-gov,0,Husband
20397,30,HS-grad,Divorced,United-States,Other-service,White,Female,Private,0,Unmarried
20466,25,Some-college,Never-married,United-States,Craft-repair,White,Male,Private,0,Own-child
20468,57,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Husband
20500,40,Bachelors,Never-married,United-States,Prof-specialty,White,Female,Self-emp-inc,0,Not-in-family
20820,34,HS-grad,Married-civ-spouse,United-States,Protective-serv,White,Male,Local-gov,0,Husband
20843,53,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,0,Not-in-family
21025,19,HS-grad,Never-married,United-States,Other-service,White,Female,Private,0,Not-in-family
21051,34,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
21188,46,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,99999,Husband
21200,17,10th,Never-married,United-States,Other-service,White,Male,Private,0,Own-child
21295,23,HS-grad,Never-married,United-States,Tech-support,White,Male,Private,0,Own-child
21407,22,Assoc-voc,Never-married,United-States,Priv-house-serv,White,Female,Private,0,Not-in-family
21526,37,10th,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Husband
21796,40,Bachelors,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,0,Husband
21909,22,Some-college,Never-married,United-States,Craft-repair,White,Male,Private,0,Unmarried
21980,48,Assoc-acdm,Divorced,United-States,Adm-clerical,White,Female,Private,0,Not-in-family
22008,42,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
22013,69,Bachelors,Married-civ-spouse,United-States,Handlers-cleaners,White,Male,Private,0,Husband
22057,58,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0,Husband
22108,48,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,0,Not-in-family
22401,40,Masters,Never-married,United-States,Tech-support,White,Female,Federal-gov,0,Not-in-family
22485,25,10th,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,0,Husband
22521,50,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,0,Husband
22656,44,Bachelors,Never-married,United-States,Adm-clerical,White,Female,State-gov,0,Not-in-family
2270,38,HS-grad,Divorced,United-States,Craft-repair,White,Male,Private,0,Unmarried
22910,19,12th,Married-civ-spouse,United-States,?,White,Female,?,15024,Other-relative
22911,30,Bachelors,Never-married,United-States,Exec-managerial,White,Male,Self-emp-inc,0,Own-child
23099,20,10th,Divorced,United-States,?,White,Female,?,0,Not-in-family
23231,36,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
23435,29,Bachelors,Never-married,United-States,Prof-specialty,White,Female,Federal-gov,0,Not-in-family
23658,48,Some-college,Divorced,United-States,Sales,White,Male,Private,0,Unmarried
24527,63,11th,Married-civ-spouse,United-States,?,White,Male,?,0,Husband
24580,21,Some-college,Never-married,United-States,?,White,Male,?,0,Own-child
24648,31,Some-college,Divorced,United-States,Adm-clerical,White,Female,Private,0,Not-in-family
24677,19,HS-grad,Never-married,United-States,Adm-clerical,White,Female,Private,0,Not-in-family
25279,69,HS-grad,Married-civ-spouse,United-States,Other-service,White,Male,Private,0,Husband
25294,34,Masters,Never-married,United-States,Exec-managerial,White,Male,Private,0,Own-child
25627,44,HS-grad,Divorced,United-States,Tech-support,White,Male,Private,0,Not-in-family
25644,27,Bachelors,Never-married,United-States,Exec-managerial,White,Female,Private,0,Own-child
25653,45,Assoc-voc,Never-married,United-States,Sales,White,Female,Private,0,Not-in-family
2577,48,HS-grad,Divorced,United-States,Adm-clerical,White,Female,Private,0,Unmarried
25933,38,Bachelors,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
25952,48,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,0,Husband
26097,30,HS-grad,Never-married,United-States,Craft-repair,White,Male,Private,0,Not-in-family
26209,32,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
26222,47,Bachelors,Never-married,United-States,Sales,Black,Male,Private,0,Not-in-family
26357,23,Some-college,Divorced,United-States,Sales,Black,Female,Private,0,Own-child
26473,34,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-not-inc,0,Husband
26477,36,Doctorate,Married-civ-spouse,United-States,Prof-specialty,White,Male,Local-gov,0,Husband
26561,34,HS-grad,Married-civ-spouse,United-States,Exec-managerial,Black,Female,Private,0,Wife
26606,54,Preschool,Married-civ-spouse,China,Craft-repair,Asian-Pac-Islander,Male,Private,0,Husband
26708,65,HS-grad,Divorced,United-States,Adm-clerical,White,Female,Federal-gov,0,Not-in-family
26723,41,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Female,Self-emp-not-inc,0,Wife
26725,56,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Female,Self-emp-not-inc,0,Wife
26862,48,Bachelors,Married-civ-spouse,Japan,Exec-managerial,Asian-Pac-Islander,Male,Self-emp-not-inc,0,Husband
26902,78,5th-6th,Married-civ-spouse,United-States,Transport-moving,Asian-Pac-Islander,Male,Private,0,Husband
26938,35,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Federal-gov,0,Husband
26968,26,HS-grad,Married-civ-spouse,United-States,Other-service,White,Male,Private,0,Husband
27061,45,Some-college,Divorced,United-States,Handlers-cleaners,White,Male,Private,0,Not-in-family
27103,37,5th-6th,Married-civ-spouse,Mexico,Machine-op-inspct,White,Male,Private,0,Husband
27299,37,Some-college,Married-civ-spouse,?,Craft-repair,White,Male,Self-emp-not-inc,0,Husband
27423,27,Bachelors,Never-married,United-States,Exec-managerial,White,Female,Federal-gov,0,Not-in-family
27479,54,HS-grad,Divorced,United-States,Other-service,White,Male,Private,0,Unmarried
27577,42,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Husband
27655,41,Masters,Never-married,United-States,Exec-managerial,White,Male,Private,27828,Not-in-family
277,35,Some-college,Never-married,United-States,Exec-managerial,White,Female,Private,0,Not-in-family
27774,19,Some-college,Never-married,United-States,?,White,Male,?,0,Own-child
27785,62,9th,Married-civ-spouse,United-States,Other-service,White,Male,Private,0,Husband
27806,32,Some-college,Divorced,United-States,Other-service,White,Female,Self-emp-not-inc,0,Not-in-family
27812,28,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,0,Own-child
2786,30,Some-college,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
2787,20,Some-college,Never-married,United-States,Sales,White,Female,Private,0,Not-in-family
27881,49,Some-college,Married-civ-spouse,United-States,Farming-fishing,White,Male,Private,0,Husband
28116,44,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
2844,37,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-inc,7688,Husband
28670,32,Masters,Never-married,United-States,Adm-clerical,Black,Female,Private,0,Not-in-family
2879,22,11th,Never-married,United-States,Other-service,White,Male,Private,0,Other-relative
28836,19,HS-grad,Never-married,Mexico,Craft-repair,White,Male,Private,0,Other-relative
28871,26,5th-6th,Never-married,Mexico,Transport-moving,White,Male,Private,0,Not-in-family
28924,42,Bachelors,Married-civ-spouse,Philippines,Adm-clerical,Asian-Pac-Islander,Male,Private,0,Husband
29055,43,Bachelors,Never-married,United-States,Sales,White,Male,Private,0,Not-in-family
29185,48,Some-college,Never-married,United-States,Craft-repair,White,Female,Private,0,Unmarried
29279,17,10th,Never-married,United-States,Other-service,White,Female,Local-gov,0,Own-child
29535,46,Assoc-voc,Married-civ-spouse,United-States,Adm-clerical,White,Male,Federal-gov,0,Husband
29802,47,Bachelors,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Husband
30039,25,HS-grad,Never-married,United-States,Craft-repair,Black,Male,Private,0,Own-child
30065,36,Some-college,Married-civ-spouse,El-Salvador,Craft-repair,White,Male,Private,3137,Husband
30251,23,Some-college,Never-married,United-States,Farming-fishing,White,Female,Private,0,Not-in-family
30269,29,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,White,Male,Private,0,Husband
30315,42,HS-grad,Married-civ-spouse,United-States,Sales,White,Female,Private,0,Wife
30352,62,Assoc-voc,Married-civ-spouse,United-States,Tech-support,White,Male,Private,0,Husband
30600,64,7th-8th,Married-civ-spouse,United-States,Protective-serv,White,Male,Local-gov,0,Husband
30691,20,Some-college,Never-married,United-States,Farming-fishing,White,Male,Private,0,Own-child
3103,20,Some-college,Never-married,United-States,Other-service,White,Female,Private,0,Own-child
31195,36,HS-grad,Never-married,United-States,Other-service,White,Male,Private,0,Not-in-family
31320,24,Bachelors,Never-married,United-States,Tech-support,White,Female,Private,3674,Not-in-family
31358,31,HS-grad,Married-civ-spouse,United-States,Farming-fishing,Amer-Indian-Eskimo,Male,Federal-gov,0,Husband
31394,39,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Male,Self-emp-not-inc,0,Husband
31482,45,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Husband
31517,24,Bachelors,Never-married,United-States,Exec-managerial,White,Male,Private,0,Not-in-family
31535,51,7th-8th,Married-civ-spouse,United-States,Exec-managerial,White,Male,Self-emp-not-inc,0,Husband
31659,24,Some-college,Never-married,United-States,Other-service,White,Male,State-gov,0,Not-in-family
31870,44,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Husband
3205,31,7th-8th,Never-married,United-States,Craft-repair,White,Male,Private,0,Unmarried
32248,24,Masters,Never-married,United-States,Prof-specialty,White,Female,Private,0,Not-in-family
32439,23,Bachelors,Never-married,United-States,Prof-specialty,White,Male,Private,0,Own-child
3282,45,Some-college,Never-married,United-States,Farming-fishing,White,Male,Private,0,Other-relative
3336,33,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Female,Private,0,Wife
3375,21,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Husband
3445,41,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
3489,36,Assoc-voc,Married-civ-spouse,United-States,Prof-specialty,White,Female,Private,0,Wife
3491,33,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,0,Unmarried
3566,24,Bachelors,Never-married,United-States,Prof-specialty,White,Male,Private,0,Not-in-family
3629,32,HS-grad,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0,Husband
3733,64,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Female,State-gov,0,Wife
3752,47,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Male,Private,0,Husband
3830,57,HS-grad,Married-civ-spouse,United-States,Other-service,White,Male,Private,0,Husband
3857,51,Some-college,Divorced,United-States,Sales,White,Female,Private,0,Not-in-family
4183,23,HS-grad,Never-married,United-States,Craft-repair,White,Male,Private,0,Not-in-family
4582,37,Assoc-acdm,Never-married,United-States,Adm-clerical,White,Female,Private,0,Not-in-family
4645,45,9th,Married-civ-spouse,United-States,Adm-clerical,Black,Male,Private,5178,Husband
469,30,Bachelors,Married-civ-spouse,United-States,Tech-support,White,Female,Private,0,Wife
4808,49,Bachelors,Married-civ-spouse,United-States,Adm-clerical,White,Male,State-gov,0,Husband
4878,46,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Female,Private,0,Wife
4925,28,Bachelors,Never-married,United-States,?,White,Male,?,0,Not-in-family
4956,41,Bachelors,Widowed,United-States,Exec-managerial,White,Male,Private,0,Unmarried
5131,47,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Female,State-gov,0,Wife
5260,21,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,0,Own-child
5292,21,Some-college,Never-married,United-States,Sales,White,Female,Private,0,Own-child
5419,28,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,0,Husband
5503,21,HS-grad,Never-married,Mexico,Machine-op-inspct,White,Male,Private,0,Unmarried
5585,55,Assoc-voc,Divorced,United-States,Adm-clerical,Black,Female,Private,0,Unmarried
571,51,HS-grad,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0,Husband
5834,58,1st-4th,Married-civ-spouse,Cuba,Other-service,White,Male,Private,0,Husband
5939,36,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
5945,20,9th,Never-married,United-States,Sales,White,Female,Private,0,Own-child
6008,51,Assoc-voc,Married-civ-spouse,United-States,Tech-support,White,Male,Private,7298,Husband
6060,40,Assoc-acdm,Divorced,United-States,Adm-clerical,Black,Female,Private,0,Unmarried
6087,19,Some-college,Never-married,United-States,Adm-clerical,White,Male,State-gov,0,Own-child
6478,43,Assoc-voc,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,15024,Husband
6766,71,Some-college,Married-civ-spouse,United-States,?,White,Male,?,0,Husband
6777,29,Some-college,Never-married,United-States,Other-service,White,Female,State-gov,0,Unmarried
6806,18,Some-college,Never-married,United-States,Sales,White,Female,Private,0,Own-child
7120,47,Doctorate,Married-civ-spouse,United-States,Prof-specialty,White,Male,Self-emp-not-inc,0,Husband
7316,23,Some-college,Never-married,United-States,Adm-clerical,White,Male,Private,0,Not-in-family
7434,33,Bachelors,Married-civ-spouse,United-States,Adm-clerical,Black,Female,Private,0,Wife
7446,33,HS-grad,Divorced,United-States,Exec-managerial,White,Female,Private,0,Unmarried
7972,31,Bachelors,Never-married,United-States,Prof-specialty,White,Female,Private,0,Not-in-family
8043,24,Some-college,Never-married,United-States,Other-service,White,Male,Private,0,Not-in-family
8079,47,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
8187,68,Assoc-voc,Widowed,United-States,Exec-managerial,White,Female,Private,0,Not-in-family
8251,49,Masters,Divorced,United-States,Prof-specialty,Black,Female,State-gov,7430,Unmarried
8260,25,Some-college,Never-married,United-States,Craft-repair,White,Male,Private,0,Not-in-family
8270,43,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0,Husband
843,62,Bachelors,Widowed,United-States,Prof-specialty,White,Female,Local-gov,0,Not-in-family
8514,21,Assoc-acdm,Never-married,United-States,Other-service,White,Female,Private,0,Own-child
8523,34,Assoc-acdm,Divorced,United-States,Machine-op-inspct,White,Male,Private,0,Not-in-family
8584,53,Assoc-acdm,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
9075,36,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
9108,54,Masters,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,4386,Husband
9223,47,HS-grad,Never-married,United-States,Tech-support,White,Male,Private,0,Other-relative
9397,46,Some-college,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
9411,23,Some-college,Never-married,United-States,Adm-clerical,White,Male,Private,0,Own-child
9428,32,HS-grad,Divorced,United-States,Craft-repair,White,Male,Private,0,Unmarried
9532,43,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Female,Private,0,Wife
9668,31,11th,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Husband
969,36,Assoc-voc,Widowed,United-States,?,White,Female,?,0,Not-in-family
9804,18,HS-grad,Never-married,United-States,Sales,White,Female,Private,0,Own-child
