record_id,native-country,relationship,age,capital-gain,capital-loss,education,hours-per-week,occupation,race,workclass
13409,United-States,Own-child,20,0,0,Some-college,40,Craft-repair,White,Private
1343,United-States,Own-child,59,0,0,HS-grad,40,Adm-clerical,White,State-gov
13433,United-States,Not-in-family,47,0,0,Some-college,40,Craft-repair,White,Self-emp-not-inc
13807,United-States,Own-child,17,0,0,11th,15,Sales,White,Private
13818,United-States,Own-child,52,0,0,HS-grad,40,Craft-repair,Black,Private
13834,Mexico,Husband,23,0,0,5th-6th,40,Handlers-cleaners,White,Private
14048,United-States,Husband,47,0,0,HS-grad,40,Craft-repair,White,Private
14109,United-States,Not-in-family,58,0,0,HS-grad,40,Other-service,White,Private
14145,United-States,Husband,51,0,0,Bachelors,50,Prof-specialty,White,Private
14163,United-States,Not-in-family,26,0,0,HS-grad,40,Exec-managerial,White,Private
14169,United-States,Not-in-family,66,3273,0,Doctorate,40,Prof-specialty,White,Local-gov
1419,United-States,Not-in-family,47,0,0,Some-college,40,Adm-clerical,White,Private
14447,United-States,Husband,40,0,0,Masters,50,Craft-repair,White,Self-emp-inc
14456,United-States,Own-child,23,0,0,Some-college,32,Adm-clerical,White,Private
14555,United-States,Own-child,19,0,2129,11th,55,Craft-repair,White,Self-emp-not-inc
14613,United-States,Not-in-family,39,0,0,HS-grad,50,Armed-Forces,White,Federal-gov
14756,United-States,Not-in-family,82,0,4356,HS-grad,18,Exec-managerial,White,Private
14757,United-States,Husband,52,0,0,Bachelors,60,Protective-serv,White,Federal-gov
14780,United-States,Husband,26,0,0,HS-grad,40,Prof-specialty,White,Private
14823,United-States,Not-in-family,50,0,0,11th,40,Machine-op-inspct,White,Private
14825,United-States,Not-in-family,29,0,0,Assoc-voc,40,Tech-support,White,Private
14934,United-States,Husband,33,0,0,Assoc-voc,36,Sales,White,Private
15130,Cuba,Wife,47,0,0,10th,20,?,White,?
15245,United-States,Not-in-family,44,0,0,Some-college,45,Other-service,White,Self-emp-not-inc
15282,United-States,Not-in-family,36,0,0,11th,40,Transport-moving,White,Private
15312,United-States,Not-in-family,32,0,0,11th,40,Other-service,Black,Private
15599,United-States,Unmarried,31,0,0,HS-grad,40,Exec-managerial,Black,Private
15643,United-States,Unmarried,72,0,0,Some-college,4,?,Asian-Pac-Islander,?
15679,United-States,Husband,45,0,0,Masters,50,Prof-specialty,White,Local-gov
15767,United-States,Husband,35,15024,0,Bachelors,50,Sales,White,Private
15856,United-States,Husband,47,0,2002,Bachelors,30,Prof-specialty,White,Self-emp-not-inc
15980,United-States,Own-child,20,0,0,Some-college,8,Sales,White,Private
16035,United-States,Not-in-family,37,0,0,HS-grad,50,Exec-managerial,White,Private
16104,United-States,Husband,23,0,0,HS-grad,54,Exec-managerial,White,Private
16109,United-States,Husband,43,0,0,Bachelors,50,Prof-specialty,White,Private
16130,United-States,Not-in-family,20,0,0,HS-grad,43,?,Other,?
16147,United-States,Not-in-family,41,3325,0,Assoc-voc,40,Tech-support,White,Private
16252,United-States,Wife,61,15024,0,HS-grad,38,Exec-managerial,White,Private
16284,United-States,Husband,51,0,0,Assoc-acdm,40,Sales,White,Self-emp-not-inc
16368,United-States,Not-in-family,53,0,0,HS-grad,40,Handlers-cleaners,White,Private
16648,United-States,Unmarried,52,0,0,11th,40,Handlers-cleaners,White,Private
16688,United-States,Husband,47,0,0,Some-college,30,Craft-repair,White,Self-emp-not-inc
16748,United-States,Own-child,36,0,0,Some-college,32,?,White,?
16815,United-States,Own-child,26,0,0,HS-grad,40,Other-service,Black,Private
16858,United-States,Unmarried,25,0,0,Some-college,40,Adm-clerical,Black,Local-gov
1694,United-States,Husband,44,0,0,Some-college,50,Sales,White,Private
17021,?,Husband,29,0,0,1st-4th,40,Other-service,White,Private
17028,United-States,Wife,43,0,1902,Assoc-voc,32,Tech-support,White,Private
17051,United-States,Husband,61,0,1902,Some-college,35,Sales,White,Self-emp-inc
17234,United-States,Unmarried,57,0,0,HS-grad,42,Adm-clerical,White,Private
17305,United-States,Not-in-family,52,0,0,Some-college,50,Exec-managerial,White,Private
17346,United-States,Husband,70,0,2246,Some-college,40,Exec-managerial,White,Self-emp-not-inc
17444,United-States,Wife,28,0,0,Bachelors,40,Exec-managerial,White,Private
17521,United-States,Husband,29,0,0,Some-college,42,Craft-repair,White,Private
17664,United-States,Husband,65,0,0,Bachelors,20,Other-service,White,Private
17674,United-States,Unmarried,36,0,0,HS-grad,90,Exec-managerial,Black,State-gov
17769,Italy,Husband,42,0,1977,HS-grad,60,Exec-managerial,White,Self-emp-inc
17784,Mexico,Husband,35,0,0,9th,40,Other-service,White,Private
17964,United-States,Own-child,18,0,0,11th,25,Exec-managerial,White,Private
18049,United-States,Husband,45,0,0,9th,40,Farming-fishing,White,Self-emp-not-inc
18289,United-States,Husband,50,0,0,HS-grad,35,Farming-fishing,White,Private
18308,United-States,Husband,43,0,0,HS-grad,40,Craft-repair,White,Private
18392,United-States,Own-child,19,0,0,Some-college,60,Farming-fishing,White,Self-emp-inc
18534,United-States,Husband,65,3818,0,HS-grad,40,?,Amer-Indian-Eskimo,?
18633,United-States,Husband,36,7298,0,Bachelors,40,Exec-managerial,White,Self-emp-not-inc
18708,United-States,Not-in-family,36,0,0,HS-grad,40,Adm-clerical,White,Local-gov
18966,United-States,Husband,45,0,0,Assoc-voc,3,Protective-serv,White,Self-emp-not-inc
19005,United-States,Not-in-family,45,0,0,Bachelors,40,Prof-specialty,White,Private
19011,United-States,Husband,65,1797,0,5th-6th,21,Farming-fishing,White,Self-emp-not-inc
19078,United-States,Wife,60,0,0,Bachelors,45,Prof-specialty,White,Local-gov
1935,United-States,Husband,90,0,0,Bachelors,45,Exec-managerial,White,Private
19408,Mexico,Not-in-family,46,0,0,1st-4th,40,Other-service,White,Private
19475,United-States,Husband,43,0,0,Prof-school,40,Prof-specialty,Black,State-gov
19535,United-States,Not-in-family,27,0,2258,HS-grad,50,Craft-repair,White,Self-emp-not-inc
19642,United-States,Not-in-family,25,0,0,Some-college,60,Exec-managerial,White,Private
1971,United-States,Not-in-family,31,0,0,11th,40,?,Black,?
19782,United-States,Not-in-family,40,0,0,Some-college,35,Adm-clerical,Black,State-gov
19920,United-States,Husband,55,0,0,Masters,40,Prof-specialty,White,Local-gov
20014,United-States,Husband,57,0,0,Bachelors,40,Exec-managerial,White,Private
20064,United-States,Other-relative,23,0,0,Some-college,40,?,White,?
20253,United-States,Not-in-family,56,0,0,Some-college,50,Prof-specialty,Black,Self-emp-not-inc
20309,United-States,Husband,58,0,0,Bachelors,40,Exec-managerial,Black,Federal-gov
20330,United-States,Other-relative,37,0,0,Bachelors,40,Adm-clerical,Black,Private
20341,United-States,Own-child,21,0,0,Some-college,60,Other-service,White,Private
20577,United-States,Wife,40,0,0,HS-grad,40,Adm-clerical,White,Local-gov
20928,Canada,Husband,52,15024,0,Some-college,55,Exec-managerial,White,Private
20965,United-States,Not-in-family,26,0,0,Some-college,30,Craft-repair,White,Self-emp-not-inc
21034,United-States,Husband,44,0,0,Some-college,40,Craft-repair,White,Self-emp-not-inc
21037,United-States,Husband,54,0,0,Bachelors,60,Exec-managerial,White,Private
2109,United-States,Husband,66,5556,0,Some-college,40,Sales,White,Private
21208,United-States,Not-in-family,21,0,0,HS-grad,40,Handlers-cleaners,Black,Private
21276,United-States,Husband,47,0,0,7th-8th,40,Craft-repair,White,Private
21328,United-States,Husband,46,0,0,Some-college,40,Craft-repair,White,Federal-gov
21339,United-States,Other-relative,30,0,0,HS-grad,40,Sales,White,Private
21508,United-States,Unmarried,25,0,0,Assoc-acdm,40,Adm-clerical,White,Private
21567,United-States,Unmarried,39,0,0,Assoc-acdm,55,Other-service,White,Local-gov
21659,United-States,Unmarried,38,0,0,Assoc-voc,40,Craft-repair,White,Private
21663,United-States,Husband,61,0,0,HS-grad,40,Transport-moving,White,Private
21980,United-States,Not-in-family,48,0,0,Assoc-acdm,40,Adm-clerical,White,Private
22002,?,Unmarried,32,0,0,Assoc-voc,40,Other-service,White,Private
22032,United-States,Not-in-family,26,0,1669,Masters,40,Prof-specialty,White,Private
22217,United-States,Husband,53,3103,0,HS-grad,72,Craft-repair,Black,Self-emp-not-inc
22284,United-States,Husband,54,0,0,Doctorate,60,Prof-specialty,White,Self-emp-inc
2244,United-States,Unmarried,63,0,0,Some-college,40,Exec-managerial,White,Federal-gov
22450,United-States,Own-child,26,0,0,HS-grad,40,Transport-moving,Black,Private
22641,United-States,Own-child,20,0,0,12th,40,Adm-clerical,White,Private
22649,United-States,Husband,40,0,0,Some-college,43,Machine-op-inspct,White,Private
22784,United-States,Unmarried,30,0,0,HS-grad,62,Adm-clerical,Black,Private
22795,United-States,Not-in-family,25,0,0,HS-grad,40,?,White,?
23014,United-States,Not-in-family,38,0,0,HS-grad,40,Transport-moving,White,Local-gov
23093,United-States,Husband,23,0,0,Some-college,40,Sales,White,Private
23183,United-States,Husband,39,0,0,HS-grad,40,Craft-repair,White,Local-gov
23217,United-States,Own-child,22,0,0,HS-grad,3,Other-service,White,Private
23328,United-States,Own-child,31,0,0,HS-grad,40,Handlers-cleaners,White,Federal-gov
23498,United-States,Husband,53,0,0,Masters,42,Exec-managerial,White,State-gov
23539,United-States,Not-in-family,29,0,0,HS-grad,40,Other-service,White,Private
23672,United-States,Husband,41,0,1887,Bachelors,40,Prof-specialty,White,Private
23674,United-States,Own-child,21,0,0,Some-college,40,Handlers-cleaners,White,Private
23777,United-States,Not-in-family,47,0,0,Some-college,48,Exec-managerial,White,Private
23809,United-States,Own-child,23,0,0,HS-grad,40,Sales,White,Private
23872,United-States,Husband,57,0,0,Some-college,35,Prof-specialty,Black,State-gov
23879,United-States,Husband,38,7688,0,Some-college,40,Protective-serv,White,State-gov
23944,United-States,Own-child,23,0,0,10th,44,Craft-repair,White,Private
24064,United-States,Husband,50,0,0,HS-grad,48,Sales,White,Self-emp-inc
2422,United-States,Husband,29,0,0,11th,60,Transport-moving,White,Private
24344,United-States,Unmarried,42,0,0,HS-grad,40,Adm-clerical,White,Private
24399,United-States,Not-in-family,29,0,0,Bachelors,50,Prof-specialty,Other,Private
24465,?,Husband,42,15024,0,Masters,50,Sales,White,Private
24537,United-States,Unmarried,50,0,0,HS-grad,65,Sales,White,Private
24647,United-States,Not-in-family,20,0,0,Some-college,20,Sales,White,Private
24763,United-States,Not-in-family,67,991,0,HS-grad,18,Sales,White,Private
24777,United-States,Not-in-family,59,0,0,HS-grad,40,Other-service,Black,Private
24828,United-States,Husband,29,0,0,Bachelors,25,?,White,?
24860,Mexico,Other-relative,23,0,0,9th,35,Machine-op-inspct,White,Private
25077,United-States,Not-in-family,28,0,0,HS-grad,40,Adm-clerical,White,Private
25180,United-States,Wife,31,0,0,HS-grad,40,Adm-clerical,White,Private
25321,United-States,Husband,66,6767,0,Bachelors,20,?,White,?
2552,United-States,Husband,51,0,0,Some-college,40,Sales,White,Private
25589,United-States,Husband,46,0,0,10th,40,Handlers-cleaners,White,Private
25720,United-States,Husband,40,0,0,Some-college,40,Adm-clerical,White,Private
25754,Guatemala,Other-relative,20,0,0,11th,40,Transport-moving,White,Private
25785,United-States,Husband,43,15024,0,Bachelors,50,Exec-managerial,White,Private
26094,United-States,Not-in-family,19,0,0,11th,25,Sales,White,Private
26319,United-States,Unmarried,46,0,0,Prof-school,40,Prof-specialty,White,Private
2654,United-States,Husband,37,0,0,Some-college,55,Exec-managerial,Asian-Pac-Islander,Private
26683,United-States,Husband,49,0,0,Masters,40,Sales,White,Private
26738,United-States,Own-child,19,0,0,HS-grad,35,Sales,White,Private
26797,United-States,Not-in-family,34,0,2824,Bachelors,50,Sales,White,Private
26811,United-States,Unmarried,48,0,0,Prof-school,25,Prof-specialty,White,Private
26841,United-States,Wife,25,0,0,Some-college,40,Exec-managerial,Black,Private
26943,United-States,Husband,39,0,1977,Masters,45,Prof-specialty,White,Local-gov
2695,United-States,Husband,47,7688,0,HS-grad,55,Transport-moving,White,Private
26957,United-States,Not-in-family,40,0,0,Assoc-acdm,40,Exec-managerial,White,Private
26969,United-States,Own-child,19,0,0,Some-college,10,Prof-specialty,White,State-gov
27046,South,Other-relative,22,0,0,Some-college,20,Prof-specialty,Asian-Pac-Islander,Private
27065,United-States,Not-in-family,38,0,0,HS-grad,50,Farming-fishing,White,Self-emp-not-inc
27096,United-States,Not-in-family,35,0,0,Bachelors,40,Sales,White,Private
27140,United-States,Husband,69,0,0,Doctorate,50,?,White,?
27462,United-States,Own-child,61,0,0,Some-college,16,Tech-support,White,Private
27531,Mexico,Other-relative,19,0,0,1st-4th,52,Handlers-cleaners,White,Private
27614,United-States,Husband,63,0,0,Prof-school,30,Prof-specialty,White,Self-emp-not-inc
27678,United-States,Husband,52,0,0,Some-college,40,Exec-managerial,White,Local-gov
27694,United-States,Husband,30,0,0,HS-grad,50,Exec-managerial,White,Private
27784,United-States,Other-relative,28,0,0,Bachelors,15,Adm-clerical,White,Private
27857,United-States,Unmarried,40,0,0,Some-college,40,Machine-op-inspct,Black,Private
27876,United-States,Husband,43,0,0,Bachelors,40,Sales,White,Self-emp-not-inc
27914,Italy,Husband,38,0,0,Assoc-acdm,55,Exec-managerial,White,Private
27923,United-States,Husband,32,15024,0,Bachelors,50,Exec-managerial,White,Private
28035,United-States,Own-child,24,0,0,Some-college,35,Sales,White,Private
28266,United-States,Husband,64,0,0,Doctorate,60,Prof-specialty,White,Private
28302,United-States,Not-in-family,50,0,0,HS-grad,40,Machine-op-inspct,White,Private
2859,United-States,Not-in-family,40,0,2444,Prof-school,45,Prof-specialty,White,Self-emp-not-inc
28591,United-States,Husband,32,0,0,Some-college,40,Craft-repair,White,Private
28673,United-States,Not-in-family,24,0,0,Assoc-acdm,22,Other-service,White,Private
28698,United-States,Husband,48,0,0,Masters,40,Prof-specialty,White,Private
28764,United-States,Husband,44,0,0,HS-grad,40,Craft-repair,White,Private
28792,United-States,Not-in-family,39,0,0,Doctorate,45,Prof-specialty,White,Private
28814,United-States,Husband,38,0,0,Bachelors,42,Exec-managerial,White,Local-gov
28882,United-States,Unmarried,39,0,0,HS-grad,40,Farming-fishing,White,Private
2894,United-States,Husband,48,0,0,Bachelors,45,Exec-managerial,White,Private
28986,United-States,Husband,40,2580,0,Some-college,40,Machine-op-inspct,White,Private
29134,United-States,Husband,47,0,0,HS-grad,40,Craft-repair,White,Private
29136,United-States,Husband,50,0,0,Some-college,40,Exec-managerial,Black,Federal-gov
2921,United-States,Other-relative,23,0,0,7th-8th,36,Craft-repair,White,Private
29219,United-States,Own-child,25,0,0,Some-college,40,Other-service,White,Private
29234,United-States,Husband,24,5013,0,Bachelors,30,Prof-specialty,White,Private
29495,United-States,Not-in-family,38,0,0,Some-college,32,Prof-specialty,White,Private
29527,United-States,Unmarried,29,0,0,10th,12,?,White,?
29575,United-States,Not-in-family,34,0,0,Bachelors,35,Sales,White,Private
29587,United-States,Husband,55,0,1887,Bachelors,40,Exec-managerial,White,Private
2993,United-States,Wife,29,0,0,10th,40,Farming-fishing,Amer-Indian-Eskimo,Private
30064,Greece,Not-in-family,23,0,0,Some-college,24,Adm-clerical,White,Private
30066,United-States,Not-in-family,42,0,0,Prof-school,39,Prof-specialty,White,Private
30147,United-States,Unmarried,31,0,0,9th,20,Other-service,White,Private
30150,United-States,Own-child,22,0,0,Bachelors,35,Adm-clerical,White,Private
30153,United-States,Wife,30,0,0,HS-grad,30,Other-service,White,Private
30309,United-States,Unmarried,45,0,0,Some-college,48,Machine-op-inspct,White,Private
30375,United-States,Husband,41,0,0,Masters,38,Prof-specialty,White,Local-gov
30485,United-States,Husband,46,0,0,Doctorate,60,Prof-specialty,White,Private
30502,United-States,Husband,60,0,0,HS-grad,30,Prof-specialty,White,Private
30640,United-States,Not-in-family,30,0,0,Assoc-voc,40,Prof-specialty,White,Private
30717,United-States,Not-in-family,25,0,0,Assoc-acdm,40,Prof-specialty,White,Private
30886,United-States,Husband,37,0,0,HS-grad,40,Craft-repair,White,Private
30903,United-States,Not-in-family,50,0,0,Bachelors,37,Adm-clerical,Black,State-gov
31130,United-States,Husband,51,0,0,Masters,40,Exec-managerial,White,State-gov
31183,United-States,Not-in-family,20,0,0,HS-grad,40,Machine-op-inspct,White,Private
31185,China,Husband,45,0,0,Doctorate,45,Prof-specialty,Asian-Pac-Islander,Private
31225,United-States,Not-in-family,18,0,0,HS-grad,35,Transport-moving,Black,Private
31262,United-States,Unmarried,22,0,0,HS-grad,20,Sales,White,Private
31414,United-States,Not-in-family,35,0,0,Some-college,40,Adm-clerical,White,Private
31433,United-States,Not-in-family,25,0,0,Some-college,55,Transport-moving,White,Private
31443,United-States,Husband,30,0,0,11th,40,Transport-moving,White,State-gov
31531,United-States,Wife,28,7298,0,Masters,40,Prof-specialty,White,Local-gov
31792,United-States,Unmarried,32,0,0,HS-grad,40,?,Black,?
31857,United-States,Husband,40,0,0,HS-grad,40,Exec-managerial,White,Local-gov
31953,United-States,Wife,37,0,1848,Bachelors,40,Exec-managerial,White,Private
32076,United-States,Husband,59,0,0,Some-college,40,Tech-support,White,Federal-gov
3208,United-States,Not-in-family,47,0,0,10th,40,Machine-op-inspct,White,Private
32153,Italy,Not-in-family,65,0,0,5th-6th,10,Machine-op-inspct,White,Private
32274,United-States,Husband,34,0,0,HS-grad,45,Machine-op-inspct,White,Private
32458,United-States,Husband,36,0,1977,Bachelors,45,Prof-specialty,White,Private
3448,El-Salvador,Husband,50,15024,0,HS-grad,55,Sales,White,Self-emp-not-inc
345,United-States,Not-in-family,43,0,0,Bachelors,42,Sales,White,Self-emp-not-inc
3490,United-States,Husband,69,1424,0,9th,35,Other-service,White,Private
3616,United-States,Not-in-family,26,0,0,Bachelors,40,Exec-managerial,White,Private
369,United-States,Unmarried,39,0,0,HS-grad,40,Sales,White,Private
3851,United-States,Own-child,22,0,0,Some-college,40,?,White,?
3921,United-States,Not-in-family,29,0,0,11th,40,Craft-repair,White,Private
4085,Peru,Other-relative,37,0,0,HS-grad,50,Other-service,White,Private
4228,United-States,Unmarried,38,0,0,Assoc-voc,40,Adm-clerical,Black,Private
4237,United-States,Own-child,29,0,0,Masters,40,Transport-moving,Black,Private
4326,?,Husband,64,0,0,1st-4th,53,Transport-moving,White,Private
4507,United-States,Husband,52,0,0,Some-college,40,Machine-op-inspct,White,Private
4573,United-States,Unmarried,21,0,0,HS-grad,40,Adm-clerical,Black,Private
4672,United-States,Not-in-family,25,6849,0,Bachelors,50,Sales,White,Private
4750,United-States,Husband,65,0,0,Some-college,35,Sales,White,Self-emp-inc
4886,United-States,Unmarried,34,0,0,HS-grad,30,Exec-managerial,White,Private
4912,United-States,Own-child,38,0,0,Some-college,40,Adm-clerical,Black,Private
5072,United-States,Husband,61,0,0,7th-8th,50,Sales,White,Private
5132,Canada,Not-in-family,23,0,0,Bachelors,35,Exec-managerial,White,Private
5138,United-States,Own-child,41,0,0,Some-college,40,Protective-serv,White,Federal-gov
5203,United-States,Own-child,17,0,0,10th,20,Prof-specialty,White,Private
5346,Germany,Own-child,20,0,0,Some-college,40,?,White,?
5476,United-States,Own-child,21,0,0,Some-college,10,Other-service,White,Private
5642,United-States,Husband,57,0,0,11th,15,Sales,White,Self-emp-not-inc
5668,United-States,Not-in-family,51,0,0,Doctorate,40,Prof-specialty,White,Private
5726,United-States,Own-child,20,0,0,HS-grad,40,Machine-op-inspct,White,Private
573,United-States,Husband,37,0,1977,Assoc-voc,40,Craft-repair,White,Private
5748,United-States,Husband,41,0,0,Some-college,60,Exec-managerial,White,Private
6156,United-States,Own-child,20,0,0,Some-college,16,Other-service,White,Private
6164,United-States,Husband,31,0,0,HS-grad,50,Craft-repair,White,Private
6233,United-States,Husband,67,20051,0,Masters,60,Prof-specialty,White,Private
6382,United-States,Husband,58,0,0,Some-college,65,Exec-managerial,White,Self-emp-inc
6438,United-States,Husband,33,0,0,Some-college,52,Sales,White,Private
6531,United-States,Not-in-family,31,0,0,7th-8th,35,Adm-clerical,White,Private
6576,United-States,Husband,39,0,0,Bachelors,50,Sales,White,Private
6775,United-States,Husband,34,0,0,HS-grad,40,Exec-managerial,White,Private
6808,United-States,Husband,33,0,0,Bachelors,50,Prof-specialty,White,Local-gov
6910,United-States,Husband,30,0,0,Bachelors,70,Exec-managerial,White,Private
6920,United-States,Unmarried,43,0,0,Assoc-acdm,30,Other-service,White,State-gov
7004,United-States,Other-relative,61,0,0,HS-grad,40,Other-service,White,Self-emp-not-inc
7097,United-States,Husband,45,0,0,Assoc-voc,60,Farming-fishing,White,Self-emp-not-inc
7164,United-States,Own-child,20,0,0,Some-college,35,?,White,?
7283,United-States,Husband,37,0,0,Bachelors,45,Prof-specialty,White,Self-emp-inc
7333,United-States,Own-child,21,0,0,Some-college,20,Sales,White,Private
7373,United-States,Husband,35,0,0,Some-college,58,Exec-managerial,White,Private
7444,United-States,Not-in-family,37,0,0,HS-grad,60,Sales,White,Private
7498,United-States,Husband,74,0,0,HS-grad,40,Exec-managerial,White,Private
7571,United-States,Not-in-family,51,14084,0,Bachelors,50,Exec-managerial,White,Private
8034,United-States,Not-in-family,42,0,0,Some-college,60,Sales,White,Self-emp-inc
8142,United-States,Wife,38,0,0,Bachelors,15,Prof-specialty,White,Local-gov
8272,United-States,Husband,62,0,0,HS-grad,40,Sales,White,Self-emp-not-inc
8286,United-States,Not-in-family,39,0,0,Masters,40,Prof-specialty,White,Self-emp-not-inc
83,United-States,Husband,59,0,0,HS-grad,48,Sales,White,Private
8758,United-States,Husband,29,0,0,HS-grad,50,Machine-op-inspct,White,Private
8823,United-States,Husband,32,0,0,HS-grad,90,Protective-serv,White,Private
8948,United-States,Not-in-family,53,0,0,Some-college,40,Sales,White,Private
9022,United-States,Husband,45,0,0,HS-grad,50,Sales,White,Private
9107,United-States,Husband,37,0,0,HS-grad,40,Craft-repair,White,Private
9153,United-States,Unmarried,28,0,0,HS-grad,20,Adm-clerical,White,Private
9161,United-States,Wife,39,0,0,Some-college,15,Other-service,White,Private
9179,United-States,Husband,32,0,0,Bachelors,60,Exec-managerial,White,Private
9188,United-States,Husband,28,0,0,HS-grad,40,Machine-op-inspct,White,Private
9257,United-States,Own-child,19,0,0,HS-grad,20,Farming-fishing,White,Without-pay
9275,United-States,Not-in-family,22,0,1602,Some-college,10,Other-service,White,Private
9277,United-States,Not-in-family,24,0,0,Bachelors,40,Prof-specialty,Other,Federal-gov
9359,United-States,Husband,43,0,0,HS-grad,50,Handlers-cleaners,White,Private
9609,United-States,Not-in-family,38,0,0,Assoc-voc,39,Prof-specialty,White,Private
9726,United-States,Own-child,18,0,0,10th,20,Other-service,White,Private
9845,United-States,Own-child,23,0,0,Some-college,40,Sales,White,Private
9872,United-States,Not-in-family,63,0,0,HS-grad,11,?,Black,?
9954,United-States,Husband,32,0,0,HS-grad,55,Sales,White,Private
9972,United-States,Unmarried,43,9562,0,Masters,40,Prof-specialty,Black,Local-gov
