record_id,occupation,sex,workclass,capital-loss,education,marital-status
22934,Transport-moving,Male,Private,0,11th,Never-married
22942,Transport-moving,Male,Private,0,HS-grad,Married-civ-spouse
23027,Farming-fishing,Male,Private,0,7th-8th,Never-married
23064,Adm-clerical,Female,Private,0,Some-college,Never-married
23173,Adm-clerical,Male,Private,0,12th,Never-married
23320,Prof-specialty,Female,Local-gov,1669,Doctorate,Divorced
23391,Exec-managerial,Male,Private,0,Masters,Married-civ-spouse
23534,Craft-repair,Male,Private,0,11th,Never-married
23608,Adm-clerical,Female,Private,0,HS-grad,Never-married
23648,Exec-managerial,Female,Private,0,HS-grad,Divorced
23821,Transport-moving,Male,Private,0,HS-grad,Married-civ-spouse
2394,Sales,Female,Private,0,Some-college,Never-married
24073,?,Male,?,0,HS-grad,Married-civ-spouse
24181,Farming-fishing,Male,Self-emp-not-inc,0,HS-grad,Divorced
24243,Craft-repair,Male,Private,0,HS-grad,Never-married
24276,Craft-repair,Male,Private,0,Some-college,Never-married
24337,Transport-moving,Male,Local-gov,0,HS-grad,Married-civ-spouse
24382,Craft-repair,Male,Private,0,HS-grad,Married-civ-spouse
24610,Exec-managerial,Female,Private,0,HS-grad,Married-civ-spouse
24791,Prof-specialty,Male,Self-emp-not-inc,1648,Some-college,Married-civ-spouse
24934,Sales,Female,Private,0,Some-college,Never-married
24937,Machine-op-inspct,Male,Private,0,Bachelors,Married-civ-spouse
24941,Adm-clerical,Female,Federal-gov,0,HS-grad,Married-spouse-absent
25019,Prof-specialty,Male,Private,0,HS-grad,Married-civ-spouse
25144,Handlers-cleaners,Male,Private,0,9th,Divorced
25176,Protective-serv,Male,Local-gov,0,HS-grad,Married-civ-spouse
25242,Craft-repair,Male,Private,0,Some-college,Married-civ-spouse
25323,Exec-managerial,Female,Private,0,HS-grad,Married-civ-spouse
25375,Craft-repair,Male,Private,0,HS-grad,Never-married
25501,Prof-specialty,Male,State-gov,0,Doctorate,Married-civ-spouse
25555,Exec-managerial,Male,State-gov,0,Some-college,Divorced
25671,Machine-op-inspct,Male,Private,0,Some-college,Never-married
25693,Other-service,Female,Private,0,Some-college,Divorced
25707,Transport-moving,Male,State-gov,0,10th,Married-civ-spouse
25731,Farming-fishing,Male,Self-emp-not-inc,0,7th-8th,Married-civ-spouse
25808,Craft-repair,Male,Private,0,Some-college,Married-civ-spouse
26085,Exec-managerial,Female,Private,0,Bachelors,Married-civ-spouse
26258,Exec-managerial,Female,Self-emp-not-inc,0,Bachelors,Divorced
26320,Adm-clerical,Male,Private,0,Some-college,Married-civ-spouse
26389,Adm-clerical,Female,Private,0,Some-college,Separated
26547,Adm-clerical,Female,Private,0,HS-grad,Divorced
26653,Prof-specialty,Female,Private,0,HS-grad,Never-married
26687,?,Male,?,0,HS-grad,Married-civ-spouse
26690,Transport-moving,Male,Private,0,HS-grad,Married-civ-spouse
26694,Sales,Female,Private,0,10th,Married-civ-spouse
26897,Prof-specialty,Male,Private,0,1st-4th,Married-civ-spouse
26939,Craft-repair,Male,Private,0,10th,Married-civ-spouse
27187,Other-service,Male,Private,0,10th,Never-married
2723,Exec-managerial,Female,Private,0,HS-grad,Never-married
27240,Exec-managerial,Male,Private,0,Bachelors,Separated
27615,Other-service,Female,Private,0,11th,Divorced
27658,Other-service,Female,Private,0,HS-grad,Divorced
27695,Sales,Female,Private,0,10th,Never-married
27749,Sales,Male,Private,0,Some-college,Never-married
27784,Adm-clerical,Female,Private,0,Bachelors,Married-civ-spouse
27941,Other-service,Male,Private,0,Some-college,Never-married
28008,Machine-op-inspct,Male,Private,0,1st-4th,Married-civ-spouse
28023,Tech-support,Male,Private,0,Bachelors,Never-married
28112,?,Female,?,0,HS-grad,Divorced
28173,Exec-managerial,Female,State-gov,2258,Doctorate,Never-married
28326,Prof-specialty,Female,Private,0,Masters,Divorced
28365,?,Male,?,0,HS-grad,Married-civ-spouse
28462,Machine-op-inspct,Male,Private,0,Bachelors,Married-civ-spouse
28613,Craft-repair,Male,Private,0,HS-grad,Married-civ-spouse
28720,Machine-op-inspct,Male,Private,0,Some-college,Married-civ-spouse
2881,Adm-clerical,Female,Private,0,Some-college,Separated
28838,Craft-repair,Male,Self-emp-not-inc,0,HS-grad,Married-civ-spouse
28862,Adm-clerical,Female,Private,0,Some-college,Never-married
29057,Prof-specialty,Male,Private,0,Masters,Married-civ-spouse
29235,Craft-repair,Male,Self-emp-not-inc,0,Bachelors,Married-civ-spouse
2945,Craft-repair,Male,Private,0,HS-grad,Never-married
29507,Other-service,Male,State-gov,0,Some-college,Never-married
2971,Prof-specialty,Male,Private,0,Bachelors,Married-civ-spouse
29748,Machine-op-inspct,Male,Private,1579,HS-grad,Married-civ-spouse
29801,Other-service,Female,Private,0,HS-grad,Divorced
29928,Transport-moving,Male,Self-emp-not-inc,2002,Doctorate,Married-civ-spouse
29946,Sales,Female,Private,0,Some-college,Divorced
29968,Other-service,Male,Private,0,HS-grad,Never-married
30121,Tech-support,Female,Private,0,HS-grad,Separated
30161,Machine-op-inspct,Female,Private,0,9th,Separated
3027,Prof-specialty,Male,Self-emp-inc,2415,Prof-school,Married-civ-spouse
3045,Transport-moving,Male,Private,1876,5th-6th,Divorced
30729,Transport-moving,Male,Local-gov,0,HS-grad,Married-civ-spouse
30800,Other-service,Female,Local-gov,0,HS-grad,Separated
30881,Adm-clerical,Male,Private,0,HS-grad,Never-married
30910,Tech-support,Male,Private,0,Assoc-acdm,Married-civ-spouse
31066,Prof-specialty,Female,Local-gov,0,Masters,Divorced
31188,Adm-clerical,Male,Private,0,Bachelors,Married-civ-spouse
31261,Craft-repair,Male,Private,0,Some-college,Never-married
31302,Adm-clerical,Male,Private,0,Masters,Married-civ-spouse
31414,Adm-clerical,Female,Private,0,Some-college,Divorced
31510,Tech-support,Male,Private,0,Bachelors,Married-civ-spouse
31668,?,Female,?,0,7th-8th,Widowed
31686,Transport-moving,Female,Private,0,Some-college,Widowed
31694,Sales,Male,Private,0,Some-college,Married-civ-spouse
31735,Other-service,Female,Self-emp-not-inc,2339,Prof-school,Divorced
31881,Exec-managerial,Female,Federal-gov,0,Some-college,Married-civ-spouse
31946,Prof-specialty,Male,Private,0,Masters,Married-civ-spouse
31979,Transport-moving,Male,Private,0,HS-grad,Married-civ-spouse
32190,Exec-managerial,Male,Private,0,Bachelors,Never-married
32203,Prof-specialty,Male,Federal-gov,0,Doctorate,Married-civ-spouse
32260,Adm-clerical,Male,Federal-gov,0,Some-college,Married-civ-spouse
32415,Craft-repair,Male,Self-emp-not-inc,0,HS-grad,Married-civ-spouse
32418,Prof-specialty,Female,Private,0,Bachelors,Never-married
32423,Handlers-cleaners,Female,Private,0,11th,Widowed
32492,Sales,Male,Self-emp-not-inc,0,HS-grad,Divorced
32536,Exec-managerial,Female,Private,0,Bachelors,Never-married
3393,Farming-fishing,Male,Private,0,Assoc-voc,Married-civ-spouse
3411,Machine-op-inspct,Female,Private,0,Some-college,Never-married
346,?,Male,?,0,11th,Married-civ-spouse
3540,Sales,Male,Private,0,Masters,Married-civ-spouse
370,Adm-clerical,Female,Federal-gov,0,Some-college,Never-married
3712,Adm-clerical,Female,Private,0,Assoc-voc,Never-married
3722,Adm-clerical,Male,Private,0,Some-college,Never-married
3813,Prof-specialty,Female,Private,0,HS-grad,Divorced
409,Exec-managerial,Male,Private,0,Some-college,Married-civ-spouse
4184,Prof-specialty,Male,Private,0,Bachelors,Never-married
4186,Craft-repair,Male,Private,0,11th,Married-civ-spouse
4253,Adm-clerical,Female,Private,0,HS-grad,Divorced
4297,Exec-managerial,Male,Local-gov,0,Masters,Married-civ-spouse
4438,Prof-specialty,Male,Private,0,Doctorate,Married-civ-spouse
4910,Machine-op-inspct,Male,Private,0,HS-grad,Married-civ-spouse
5156,?,Female,?,0,HS-grad,Widowed
5231,Exec-managerial,Male,Private,0,Bachelors,Divorced
5236,Tech-support,Male,Private,0,Some-college,Married-civ-spouse
5243,Prof-specialty,Female,Private,0,Assoc-voc,Separated
5247,Handlers-cleaners,Male,Private,0,11th,Never-married
5363,Craft-repair,Male,Self-emp-not-inc,0,HS-grad,Never-married
5376,Craft-repair,Male,Private,0,Assoc-voc,Married-civ-spouse
5478,Craft-repair,Male,Private,0,Bachelors,Married-civ-spouse
5526,?,Male,?,0,Some-college,Never-married
5627,Adm-clerical,Female,Local-gov,0,Some-college,Divorced
5633,Adm-clerical,Male,Private,0,HS-grad,Never-married
5711,Adm-clerical,Male,Private,0,HS-grad,Married-civ-spouse
5904,Handlers-cleaners,Male,Private,0,HS-grad,Married-civ-spouse
6048,Adm-clerical,Female,Private,0,Assoc-voc,Never-married
6261,Adm-clerical,Female,Private,0,HS-grad,Separated
6332,Prof-specialty,Male,Private,0,Bachelors,Married-civ-spouse
6486,Prof-specialty,Male,Local-gov,0,Masters,Married-civ-spouse
6555,Craft-repair,Male,Private,0,10th,Married-civ-spouse
6674,Craft-repair,Male,Private,0,Some-college,Married-civ-spouse
6887,Sales,Male,Private,0,Bachelors,Never-married
7001,Prof-specialty,Male,Local-gov,0,Bachelors,Married-civ-spouse
7057,Prof-specialty,Female,Self-emp-not-inc,0,Some-college,Never-married
7114,Exec-managerial,Male,Private,0,HS-grad,Married-civ-spouse
7124,Other-service,Male,Private,0,5th-6th,Married-civ-spouse
7302,Transport-moving,Male,Private,0,HS-grad,Never-married
7327,Prof-specialty,Male,State-gov,0,Doctorate,Married-civ-spouse
7528,Adm-clerical,Female,Private,0,HS-grad,Never-married
7596,Exec-managerial,Male,Private,0,Some-college,Never-married
7654,Prof-specialty,Male,Federal-gov,0,Bachelors,Married-civ-spouse
7911,Machine-op-inspct,Male,Self-emp-not-inc,0,Some-college,Married-civ-spouse
7912,Sales,Female,Private,0,Bachelors,Never-married
8024,Adm-clerical,Male,Private,0,HS-grad,Never-married
8066,Sales,Male,Self-emp-not-inc,0,HS-grad,Married-civ-spouse
8116,Craft-repair,Male,Self-emp-not-inc,0,Bachelors,Separated
8190,Craft-repair,Female,Private,0,HS-grad,Never-married
8268,Exec-managerial,Male,Self-emp-not-inc,0,Bachelors,Married-civ-spouse
827,Machine-op-inspct,Female,Private,0,HS-grad,Separated
83,Sales,Male,Private,0,HS-grad,Married-civ-spouse
8309,Exec-managerial,Female,Private,0,HS-grad,Divorced
8358,Other-service,Female,Private,0,HS-grad,Divorced
849,Craft-repair,Male,Private,0,HS-grad,Never-married
8498,Handlers-cleaners,Male,Private,0,1st-4th,Married-civ-spouse
8545,Exec-managerial,Female,Private,0,Some-college,Widowed
8597,Protective-serv,Male,Federal-gov,0,Assoc-acdm,Divorced
8637,Adm-clerical,Male,Private,0,Some-college,Never-married
8685,Other-service,Female,Private,0,Some-college,Divorced
8861,Adm-clerical,Female,Private,0,Some-college,Separated
8968,Sales,Male,Private,0,9th,Divorced
9078,Adm-clerical,Male,Private,0,Assoc-acdm,Never-married
9196,Transport-moving,Male,Private,0,HS-grad,Never-married
9211,?,Female,?,0,Assoc-voc,Married-civ-spouse
9262,Handlers-cleaners,Female,Private,0,HS-grad,Separated
9568,Other-service,Female,State-gov,0,7th-8th,Divorced
9585,Sales,Female,Private,0,10th,Never-married
9591,Other-service,Female,Private,0,Some-college,Never-married
9607,Adm-clerical,Female,Private,0,11th,Never-married
9699,Prof-specialty,Female,Private,0,Masters,Never-married
9789,Craft-repair,Male,Private,0,HS-grad,Never-married
9869,Machine-op-inspct,Male,Private,0,Some-college,Separated
9959,Transport-moving,Male,Private,0,HS-grad,Married-civ-spouse
