record_id,education,occupation,race,sex,workclass,age,capital-gain,hours-per-week,native-country
14367,Bachelors,Exec-managerial,White,Male,Private,46,15024,45,United-States
14381,HS-grad,Adm-clerical,White,Male,Self-emp-inc,75,0,26,United-States
14427,HS-grad,Protective-serv,White,Male,State-gov,41,0,40,United-States
14558,Doctorate,Prof-specialty,White,Female,Self-emp-not-inc,48,0,60,United-States
14585,Some-college,Other-service,White,Male,Private,22,0,16,United-States
14651,HS-grad,Tech-support,Black,Female,Local-gov,43,0,40,United-States
14843,Some-college,Other-service,White,Female,Private,19,0,15,United-States
14902,Assoc-acdm,Prof-specialty,White,Female,Private,33,0,32,United-States
1504,Masters,?,White,Male,?,60,0,40,United-States
15078,Bachelors,Tech-support,White,Male,Private,31,0,40,United-States
15105,Some-college,Sales,White,Male,Self-emp-inc,44,0,45,United-States
15152,Bachelors,Exec-managerial,Black,Male,Self-emp-not-inc,32,0,40,?
15165,HS-grad,Transport-moving,White,Male,Local-gov,57,0,25,United-States
15169,10th,Craft-repair,White,Male,Self-emp-not-inc,32,0,40,United-States
15335,Bachelors,Prof-specialty,White,Male,Private,52,0,50,United-States
15393,HS-grad,Farming-fishing,White,Male,Private,23,0,40,United-States
15519,Some-college,Sales,White,Male,Private,24,0,40,United-States
15574,1st-4th,Transport-moving,Black,Male,Private,74,0,20,United-States
15638,Prof-school,Exec-managerial,White,Male,Private,39,0,50,United-States
1566,Some-college,Farming-fishing,White,Male,Private,29,0,40,United-States
15660,Some-college,Exec-managerial,White,Male,Self-emp-inc,52,0,65,United-States
15745,Doctorate,Exec-managerial,White,Male,Self-emp-inc,53,14084,50,United-States
15865,Some-college,Adm-clerical,White,Female,Private,25,0,40,United-States
16013,Some-college,Adm-clerical,Black,Female,Private,41,0,48,United-States
16070,HS-grad,Handlers-cleaners,White,Male,Private,29,0,16,United-States
16084,Some-college,Other-service,White,Male,Private,18,0,8,United-States
16254,Some-college,Sales,White,Male,Private,46,0,50,United-States
16400,Some-college,Adm-clerical,Black,Male,Federal-gov,41,4650,40,United-States
16501,HS-grad,Adm-clerical,Black,Female,Federal-gov,40,0,40,United-States
16502,Doctorate,Prof-specialty,White,Male,Private,34,0,50,United-States
16600,Some-college,Adm-clerical,White,Male,Private,22,0,20,United-States
16642,HS-grad,?,White,Male,?,18,0,40,United-States
16716,Masters,Prof-specialty,White,Male,Self-emp-not-inc,55,0,40,United-States
16909,Masters,Exec-managerial,White,Male,Self-emp-not-inc,37,0,60,United-States
16947,Some-college,Transport-moving,White,Male,Private,34,4064,40,United-States
16958,Some-college,Craft-repair,White,Male,Private,42,0,38,United-States
17133,HS-grad,Other-service,White,Female,Private,31,0,38,United-States
17170,Bachelors,Exec-managerial,White,Male,Private,40,0,30,Canada
17181,Bachelors,Prof-specialty,White,Male,Private,52,0,40,United-States
1721,HS-grad,Protective-serv,White,Male,Local-gov,51,0,70,United-States
17254,Doctorate,Exec-managerial,White,Female,Federal-gov,63,0,60,United-States
17635,Some-college,?,White,Female,?,41,0,20,United-States
18258,HS-grad,Craft-repair,White,Male,Private,45,0,50,United-States
18375,Some-college,Other-service,White,Female,Private,21,0,30,United-States
18733,HS-grad,Craft-repair,White,Male,Local-gov,45,0,40,United-States
1883,Bachelors,Exec-managerial,Black,Male,Federal-gov,27,0,48,United-States
18842,7th-8th,Craft-repair,White,Male,Self-emp-not-inc,34,0,40,United-States
18848,Some-college,Exec-managerial,White,Male,Local-gov,35,0,40,United-States
18856,11th,Transport-moving,White,Male,Private,37,0,65,United-States
19294,HS-grad,Craft-repair,White,Male,Private,42,0,40,United-States
19453,Some-college,Exec-managerial,White,Male,State-gov,26,0,12,United-States
19478,Bachelors,Prof-specialty,White,Male,Private,36,0,45,United-States
19580,HS-grad,Exec-managerial,Amer-Indian-Eskimo,Female,Local-gov,39,0,40,United-States
19703,11th,Other-service,White,Male,Private,18,0,16,United-States
19731,Doctorate,Prof-specialty,White,Female,Federal-gov,34,0,99,United-States
19875,HS-grad,Sales,White,Male,Private,32,0,50,United-States
19895,Masters,Exec-managerial,White,Male,Self-emp-inc,53,0,40,United-States
20192,Some-college,Machine-op-inspct,White,Male,Private,39,0,40,United-States
20265,10th,Machine-op-inspct,White,Female,Private,28,0,40,United-States
20356,HS-grad,Machine-op-inspct,White,Male,Private,63,2174,40,United-States
20480,7th-8th,?,White,Male,?,55,0,40,?
20538,HS-grad,Adm-clerical,White,Female,Local-gov,44,0,40,United-States
20569,Some-college,Craft-repair,White,Male,Private,26,0,40,United-States
20982,Assoc-acdm,Other-service,White,Female,Local-gov,52,4865,30,United-States
21046,Masters,Sales,White,Female,Private,27,0,40,United-States
21212,Bachelors,Adm-clerical,White,Female,Private,22,0,35,United-States
21382,Masters,Prof-specialty,White,Female,Local-gov,62,0,50,?
21387,Bachelors,Sales,White,Male,Self-emp-not-inc,66,0,50,United-States
21450,Bachelors,Adm-clerical,Black,Male,Private,23,0,24,United-States
21662,Some-college,Other-service,White,Female,Private,21,0,20,United-States
21756,11th,Machine-op-inspct,White,Male,Private,25,0,40,United-States
21760,10th,Sales,White,Male,Private,41,0,48,United-States
21765,Some-college,Craft-repair,White,Male,Private,22,0,35,United-States
21821,Some-college,Handlers-cleaners,Black,Male,Private,37,0,50,United-States
21908,Some-college,Exec-managerial,White,Male,Private,36,0,52,United-States
220,Some-college,Handlers-cleaners,White,Male,Private,31,0,40,United-States
22023,Some-college,Exec-managerial,White,Female,Private,32,0,45,United-States
22074,HS-grad,Handlers-cleaners,White,Male,Private,27,0,40,United-States
22256,Some-college,Prof-specialty,White,Female,Private,21,0,40,United-States
22280,Doctorate,Prof-specialty,White,Male,State-gov,59,0,40,United-States
22391,7th-8th,Farming-fishing,White,Male,Private,38,3942,84,Portugal
2246,Masters,Sales,White,Male,Self-emp-not-inc,58,0,18,United-States
22573,Assoc-voc,Adm-clerical,White,Male,Federal-gov,46,5178,40,United-States
22852,Some-college,Tech-support,White,Male,Private,19,0,30,United-States
23151,Assoc-voc,Transport-moving,White,Male,Private,40,2829,40,United-States
23255,Doctorate,Prof-specialty,White,Male,Self-emp-not-inc,41,15024,55,United-States
23280,Bachelors,Exec-managerial,White,Male,Self-emp-inc,49,0,50,United-States
23359,Bachelors,Prof-specialty,White,Male,Private,24,0,30,United-States
23401,HS-grad,Handlers-cleaners,White,Male,Private,26,0,20,Mexico
23456,HS-grad,Adm-clerical,White,Female,Private,24,2597,40,United-States
23655,Bachelors,Prof-specialty,White,Female,Local-gov,27,0,40,United-States
23722,5th-6th,Machine-op-inspct,White,Male,Private,58,0,40,Italy
23728,Assoc-acdm,Exec-managerial,White,Male,Private,44,0,40,United-States
24074,Bachelors,Transport-moving,White,Male,Local-gov,42,0,33,United-States
24108,Bachelors,Exec-managerial,White,Male,Private,41,0,50,United-States
24180,Masters,Sales,White,Male,Self-emp-not-inc,50,7688,45,United-States
24239,11th,Farming-fishing,White,Male,Private,35,0,40,United-States
24280,7th-8th,Farming-fishing,White,Male,Self-emp-inc,82,0,50,United-States
24434,Doctorate,Prof-specialty,White,Male,Private,42,0,50,United-States
24471,HS-grad,Adm-clerical,White,Male,Federal-gov,51,0,40,United-States
24565,Masters,Prof-specialty,White,Male,State-gov,49,0,45,United-States
24676,Masters,Prof-specialty,White,Female,State-gov,29,0,45,United-States
24769,HS-grad,Other-service,White,Female,Private,19,0,30,United-States
24916,Assoc-voc,Exec-managerial,White,Male,Private,44,0,40,United-States
24932,HS-grad,Machine-op-inspct,White,Female,Private,29,0,40,United-States
25047,HS-grad,Prof-specialty,Amer-Indian-Eskimo,Female,Private,47,0,40,United-States
25107,HS-grad,Prof-specialty,White,Male,State-gov,43,0,40,United-States
25202,Assoc-voc,Farming-fishing,White,Male,Private,52,0,50,United-States
2521,Masters,?,White,Female,?,54,0,40,United-States
25265,HS-grad,Adm-clerical,White,Female,Private,24,0,40,United-States
25346,10th,Handlers-cleaners,White,Male,Private,37,0,40,United-States
25480,HS-grad,Sales,White,Male,Private,26,0,40,United-States
25576,Bachelors,Sales,White,Male,Private,30,0,40,United-States
25991,Bachelors,Tech-support,White,Male,Private,44,5178,40,United-States
25998,Some-college,Craft-repair,Black,Male,Local-gov,43,0,40,United-States
26097,HS-grad,Craft-repair,White,Male,Private,30,0,40,United-States
26166,Some-college,Prof-specialty,Amer-Indian-Eskimo,Male,Federal-gov,57,0,40,United-States
2617,HS-grad,Adm-clerical,White,Female,Private,23,0,40,United-States
26331,Some-college,?,White,Female,?,27,0,40,United-States
26377,Assoc-acdm,Adm-clerical,White,Female,Local-gov,24,0,20,?
26459,Masters,Exec-managerial,White,Male,State-gov,34,0,38,United-States
26680,Some-college,Sales,White,Female,Private,32,0,30,United-States
26787,HS-grad,Craft-repair,White,Male,Federal-gov,33,0,40,United-States
26788,HS-grad,Tech-support,White,Female,Private,33,0,40,United-States
26885,HS-grad,Craft-repair,White,Male,Private,34,0,44,United-States
26894,Some-college,Other-service,White,Female,Private,61,0,40,United-States
27020,Some-college,Sales,White,Female,Private,67,0,25,Nicaragua
27053,7th-8th,Other-service,White,Male,Private,46,0,52,United-States
2709,HS-grad,Adm-clerical,White,Female,Private,23,0,40,United-States
27137,HS-grad,Prof-specialty,White,Male,State-gov,39,0,40,United-States
27317,Doctorate,?,White,Male,?,70,0,20,United-States
27351,Assoc-voc,Tech-support,Black,Female,Private,46,0,40,United-States
27362,HS-grad,Craft-repair,White,Male,Private,35,0,40,United-States
27480,12th,Sales,Asian-Pac-Islander,Male,Private,50,0,40,Cambodia
27481,9th,Machine-op-inspct,White,Female,Private,32,0,40,Columbia
27513,11th,?,Black,Female,?,46,0,40,United-States
27635,Bachelors,Exec-managerial,White,Male,Self-emp-inc,44,99999,70,United-States
27720,Assoc-acdm,Prof-specialty,Black,Female,Private,30,0,25,United-States
27733,HS-grad,Craft-repair,White,Male,Private,30,0,40,United-States
27852,11th,Craft-repair,White,Male,Private,24,0,40,United-States
27865,Assoc-acdm,Exec-managerial,White,Male,Private,38,0,40,United-States
279,Some-college,Machine-op-inspct,White,Female,Private,24,7298,48,United-States
28072,Masters,Prof-specialty,White,Male,Local-gov,46,0,40,United-States
28151,Some-college,Exec-managerial,Amer-Indian-Eskimo,Male,Self-emp-not-inc,51,0,60,United-States
28265,HS-grad,Craft-repair,White,Male,Private,19,0,35,United-States
28275,Some-college,Adm-clerical,Black,Female,Federal-gov,20,0,20,United-States
28573,HS-grad,Craft-repair,White,Male,Local-gov,26,0,40,United-States
28632,11th,Other-service,White,Male,Private,18,0,16,United-States
28673,Assoc-acdm,Other-service,White,Female,Private,24,0,22,United-States
28731,Bachelors,Exec-managerial,White,Female,Private,25,0,40,United-States
28802,HS-grad,?,White,Female,?,20,0,30,United-States
28857,HS-grad,Craft-repair,Black,Male,Private,48,0,45,United-States
28911,Some-college,Sales,White,Female,Private,20,0,30,United-States
2903,Some-college,Sales,White,Male,Private,42,0,40,United-States
29074,HS-grad,Other-service,Black,Male,Private,26,0,40,United-States
29285,Bachelors,Prof-specialty,White,Male,Private,66,20051,40,United-States
29301,Assoc-acdm,Tech-support,White,Female,Private,39,0,40,United-States
29327,HS-grad,Exec-managerial,White,Male,Self-emp-inc,38,0,50,United-States
29352,Masters,Sales,White,Male,Self-emp-inc,50,0,40,United-States
29524,Assoc-acdm,Prof-specialty,White,Male,Private,43,0,50,United-States
29537,Masters,Prof-specialty,Amer-Indian-Eskimo,Male,Local-gov,46,0,40,United-States
29582,Some-college,?,White,Male,?,23,0,30,United-States
29677,7th-8th,Transport-moving,White,Male,Private,30,0,40,United-States
29806,Prof-school,Prof-specialty,White,Male,Private,38,99999,60,United-States
29967,9th,?,White,Male,?,19,0,35,El-Salvador
29979,HS-grad,Craft-repair,White,Male,Private,41,0,72,United-States
29980,HS-grad,Farming-fishing,White,Male,Private,20,0,55,United-States
3004,Assoc-acdm,Adm-clerical,White,Female,Private,25,0,40,United-States
30140,Some-college,Adm-clerical,White,Female,Private,21,0,25,United-States
30388,Assoc-acdm,Protective-serv,White,Male,Local-gov,31,0,40,United-States
30479,HS-grad,Sales,White,Male,Private,38,0,42,United-States
30509,HS-grad,Craft-repair,White,Male,Private,22,0,35,United-States
30518,Some-college,Prof-specialty,White,Male,Self-emp-not-inc,38,3137,50,United-States
30529,Some-college,Adm-clerical,White,Female,Self-emp-not-inc,37,0,20,United-States
30747,HS-grad,Adm-clerical,White,Female,Private,64,0,40,United-States
30765,Some-college,Sales,White,Female,Private,38,0,25,United-States
30846,Bachelors,Sales,White,Male,Private,46,0,48,United-States
30923,HS-grad,Transport-moving,White,Male,Private,26,0,65,United-States
31000,Some-college,Transport-moving,White,Male,Private,43,0,50,United-States
31042,Bachelors,Exec-managerial,White,Male,Private,34,0,50,United-States
3132,Some-college,Transport-moving,White,Male,Private,43,0,40,United-States
31325,Assoc-acdm,Adm-clerical,Black,Female,Local-gov,25,0,38,United-States
31504,Assoc-voc,Tech-support,Black,Male,Federal-gov,32,4650,40,United-States
31524,Assoc-acdm,Exec-managerial,White,Male,Self-emp-not-inc,51,0,40,United-States
31862,Assoc-voc,?,White,Female,?,29,0,40,United-States
3197,HS-grad,Sales,White,Male,Self-emp-inc,51,0,50,United-States
31998,12th,?,Black,Female,?,52,0,40,United-States
32408,Bachelors,Sales,White,Male,Private,30,0,40,United-States
32460,HS-grad,Adm-clerical,White,Female,Private,62,0,32,United-States
3275,Some-college,Adm-clerical,White,Female,Private,58,0,46,United-States
3424,5th-6th,Farming-fishing,White,Male,Private,37,0,36,Mexico
3463,11th,Prof-specialty,White,Male,Self-emp-inc,17,0,20,United-States
3551,Some-college,Sales,Black,Male,Private,24,0,40,Jamaica
3683,HS-grad,Adm-clerical,White,Female,Private,48,0,35,United-States
3684,HS-grad,Exec-managerial,White,Male,Self-emp-not-inc,46,0,40,United-States
3686,HS-grad,Other-service,White,Female,Self-emp-not-inc,35,0,30,United-States
3701,Some-college,Handlers-cleaners,White,Male,Private,23,0,40,United-States
3901,Some-college,?,White,Male,?,18,0,40,United-States
3978,Bachelors,Sales,White,Male,Self-emp-not-inc,50,0,60,United-States
3999,7th-8th,Craft-repair,White,Male,Private,28,0,30,United-States
4026,Some-college,Exec-managerial,Black,Male,Private,20,0,47,United-States
4109,Bachelors,?,White,Female,?,90,991,10,United-States
430,HS-grad,?,White,Male,?,80,0,24,United-States
4351,HS-grad,Machine-op-inspct,White,Male,Private,33,0,40,United-States
4406,Some-college,Adm-clerical,White,Female,Private,19,0,25,United-States
4418,Some-college,Exec-managerial,White,Female,Private,54,0,40,United-States
447,HS-grad,Craft-repair,Amer-Indian-Eskimo,Male,Private,51,0,40,United-States
4724,Bachelors,Sales,Asian-Pac-Islander,Male,Self-emp-not-inc,37,3137,77,Vietnam
4856,HS-grad,Sales,White,Female,Private,32,0,50,United-States
4961,Assoc-acdm,Exec-managerial,White,Female,Private,28,0,16,United-States
4970,HS-grad,?,White,Male,?,51,0,40,United-States
4975,HS-grad,Adm-clerical,White,Male,Private,29,0,45,United-States
5072,7th-8th,Sales,White,Male,Private,61,0,50,United-States
5100,7th-8th,Farming-fishing,White,Male,Private,37,2580,60,United-States
518,Some-college,?,White,Female,?,21,0,35,United-States
5201,Masters,Prof-specialty,White,Male,Self-emp-not-inc,76,0,30,?
5271,HS-grad,Transport-moving,White,Male,Private,20,0,40,United-States
5459,Bachelors,Exec-managerial,White,Male,Private,36,0,55,United-States
5465,Assoc-voc,Exec-managerial,White,Male,Self-emp-inc,49,0,60,United-States
5570,Some-college,Craft-repair,White,Male,Private,42,7298,45,United-States
5600,HS-grad,Tech-support,White,Male,Private,44,0,45,United-States
5627,Some-college,Adm-clerical,White,Female,Local-gov,35,0,40,United-States
5700,7th-8th,Machine-op-inspct,White,Male,Private,49,0,48,United-States
5715,Some-college,Other-service,White,Female,State-gov,19,0,40,United-States
5749,HS-grad,Machine-op-inspct,White,Male,Private,61,0,40,United-States
5857,Assoc-acdm,Craft-repair,White,Male,Private,31,0,40,United-States
5870,7th-8th,Craft-repair,Black,Male,Private,51,0,50,Dominican-Republic
5901,HS-grad,Exec-managerial,White,Female,Private,42,0,40,United-States
6454,Some-college,Handlers-cleaners,White,Male,Private,40,0,40,United-States
6844,Masters,Prof-specialty,White,Male,Federal-gov,37,0,40,?
6858,HS-grad,Craft-repair,White,Male,Self-emp-inc,41,0,40,United-States
6910,Bachelors,Exec-managerial,White,Male,Private,30,0,70,United-States
6934,Bachelors,Exec-managerial,White,Male,Private,56,0,50,United-States
7001,Bachelors,Prof-specialty,Black,Male,Local-gov,45,0,40,United-States
7043,Doctorate,Sales,White,Female,Private,41,0,50,United-States
7054,7th-8th,Craft-repair,White,Male,Private,23,0,25,Germany
7199,HS-grad,Adm-clerical,White,Female,Private,48,0,37,United-States
7233,Some-college,Adm-clerical,White,Female,Private,21,0,30,United-States
7401,Some-college,Sales,White,Female,Self-emp-inc,35,0,40,United-States
7510,HS-grad,?,White,Male,?,62,0,24,United-States
7562,HS-grad,Adm-clerical,White,Female,Private,61,0,40,United-States
7751,9th,Adm-clerical,White,Male,Self-emp-not-inc,69,0,40,United-States
7890,9th,Machine-op-inspct,White,Female,Private,30,0,40,Portugal
7987,Some-college,Machine-op-inspct,White,Male,Private,30,0,40,United-States
8034,Some-college,Sales,White,Male,Self-emp-inc,42,0,60,United-States
8161,Assoc-acdm,Adm-clerical,White,Female,Private,57,0,35,United-States
8353,Bachelors,Craft-repair,White,Male,Private,26,3325,40,United-States
8710,Prof-school,Prof-specialty,Other,Male,Self-emp-inc,52,99999,65,United-States
9243,Some-college,Sales,White,Female,Private,22,0,18,United-States
9246,HS-grad,Craft-repair,White,Male,Private,39,0,40,United-States
9335,Assoc-voc,Craft-repair,White,Male,Private,38,0,40,United-States
9558,Some-college,Adm-clerical,White,Female,Self-emp-not-inc,47,0,35,United-States
9577,HS-grad,?,White,Female,?,35,0,38,United-States
9631,HS-grad,Handlers-cleaners,White,Male,Private,38,0,40,United-States
9673,Prof-school,Prof-specialty,White,Male,Self-emp-not-inc,49,99999,35,United-States
9766,Bachelors,Exec-managerial,White,Male,Private,34,0,45,United-States
9771,Some-college,Craft-repair,White,Male,Private,24,0,40,United-States
9820,Assoc-acdm,Prof-specialty,White,Male,Local-gov,37,0,45,Canada
9956,HS-grad,Other-service,White,Female,Private,51,0,24,United-States
