record_id,age,native-country,relationship
19425,24,United-States,Wife
19598,54,United-States,Wife
19629,20,United-States,Not-in-family
19864,31,United-States,Not-in-family
20044,65,United-States,Husband
20072,65,United-States,Husband
20080,45,United-States,Husband
20110,47,United-States,Unmarried
20164,53,United-States,Husband
20309,58,United-States,Husband
20410,21,United-States,Not-in-family
2092,35,United-States,Not-in-family
21421,47,United-States,Husband
21494,28,United-States,Not-in-family
21523,52,United-States,Husband
21543,52,United-States,Husband
21595,51,United-States,Wife
2191,22,United-States,Not-in-family
21989,37,United-States,Own-child
22001,22,United-States,Husband
22003,72,United-States,Husband
22242,38,United-States,Husband
22313,26,United-States,Husband
22384,31,United-States,Husband
22438,28,United-States,Husband
22484,37,United-States,Not-in-family
22537,45,United-States,Husband
22555,41,El-Salvador,Husband
22558,42,United-States,Husband
22581,46,United-States,Husband
22585,53,United-States,Not-in-family
22609,48,United-States,Not-in-family
22642,18,United-States,Not-in-family
22645,27,United-States,Husband
22648,48,United-States,Other-relative
22766,65,United-States,Other-relative
23273,22,United-States,Own-child
23294,63,United-States,Not-in-family
23303,58,Greece,Husband
23528,72,United-States,Husband
23538,50,United-States,Husband
23668,42,United-States,Husband
23687,37,?,Husband
23996,42,United-States,Unmarried
240,40,United-States,Husband
24007,25,United-States,Not-in-family
24137,48,United-States,Husband
24151,29,United-States,Own-child
2422,29,United-States,Husband
24238,90,United-States,Not-in-family
24752,20,United-States,Own-child
24898,37,United-States,Husband
24946,67,United-States,Not-in-family
25060,22,United-States,Wife
25216,21,United-States,Own-child
25457,55,United-States,Husband
2554,36,United-States,Husband
25563,49,United-States,Not-in-family
25643,32,United-States,Not-in-family
25759,24,United-States,Not-in-family
25858,37,United-States,Husband
26111,25,United-States,Own-child
26404,50,United-States,Wife
26504,50,United-States,Not-in-family
26506,76,United-States,Not-in-family
26578,21,United-States,Not-in-family
26665,66,United-States,Husband
26693,34,United-States,Husband
26751,31,United-States,Not-in-family
26950,31,United-States,Unmarried
26951,56,United-States,Wife
27146,27,United-States,Not-in-family
2724,45,United-States,Unmarried
27240,38,United-States,Not-in-family
27241,26,United-States,Not-in-family
27288,24,United-States,Own-child
27409,35,United-States,Husband
27415,21,United-States,Own-child
27549,20,United-States,Own-child
27689,49,United-States,Husband
277,35,United-States,Not-in-family
27810,56,United-States,Husband
28005,54,United-States,Not-in-family
28008,42,Italy,Husband
28072,46,United-States,Husband
28084,32,United-States,Unmarried
28151,51,United-States,Husband
28208,64,United-States,Husband
28267,44,United-States,Husband
2837,69,United-States,Wife
28386,33,United-States,Not-in-family
28576,44,United-States,Unmarried
28622,57,United-States,Husband
28923,26,United-States,Not-in-family
28967,34,United-States,Not-in-family
29268,26,United-States,Husband
29382,26,United-States,Husband
29499,36,United-States,Not-in-family
29518,70,United-States,Husband
29530,47,United-States,Wife
29644,46,United-States,Husband
2966,27,Ireland,Not-in-family
29706,31,United-States,Not-in-family
2978,29,United-States,Unmarried
29826,36,United-States,Wife
2994,35,Japan,Husband
30041,21,United-States,Own-child
30071,36,United-States,Unmarried
30112,33,United-States,Husband
30113,33,United-States,Own-child
30132,25,United-States,Own-child
30231,64,United-States,Husband
30384,20,United-States,Own-child
30528,44,Haiti,Husband
30544,24,United-States,Own-child
30655,23,United-States,Husband
30699,43,United-States,Not-in-family
30731,68,United-States,Husband
30767,49,United-States,Not-in-family
3095,48,United-States,Husband
31132,27,United-States,Unmarried
31210,35,United-States,Other-relative
31263,30,United-States,Unmarried
31282,29,United-States,Husband
31347,39,United-States,Not-in-family
31485,48,United-States,Unmarried
3161,21,United-States,Own-child
31861,27,United-States,Husband
3187,40,?,Not-in-family
31918,26,United-States,Not-in-family
3204,50,United-States,Unmarried
32052,51,United-States,Husband
32080,21,United-States,Own-child
32081,49,United-States,Unmarried
32315,26,United-States,Husband
3238,44,Puerto-Rico,Husband
32390,60,United-States,Husband
32439,23,United-States,Own-child
3249,38,United-States,Husband
3260,34,Peru,Husband
3378,38,United-States,Husband
3392,44,United-States,Husband
3400,39,United-States,Husband
3560,30,United-States,Not-in-family
3751,41,United-States,Husband
3835,40,United-States,Not-in-family
3915,51,United-States,Husband
4475,53,United-States,Husband
4534,20,United-States,Own-child
4687,45,United-States,Unmarried
4738,25,United-States,Not-in-family
4753,47,United-States,Husband
4756,32,United-States,Husband
4838,31,United-States,Husband
4891,21,United-States,Not-in-family
4950,63,United-States,Husband
5152,27,United-States,Not-in-family
5196,40,Taiwan,Husband
5209,25,United-States,Own-child
5319,49,United-States,Husband
5519,19,United-States,Not-in-family
5537,44,United-States,Husband
5585,55,United-States,Unmarried
5735,20,United-States,Own-child
5751,60,United-States,Husband
5915,29,United-States,Not-in-family
5927,22,United-States,Own-child
6015,67,United-States,Not-in-family
6355,36,United-States,Husband
6701,56,United-States,Husband
6760,41,United-States,Not-in-family
6867,47,United-States,Other-relative
6982,44,United-States,Not-in-family
7419,23,United-States,Own-child
7455,23,Mexico,Husband
7589,46,United-States,Not-in-family
7621,44,United-States,Husband
7626,50,United-States,Husband
7899,46,United-States,Husband
7929,40,United-States,Husband
7989,47,United-States,Husband
8027,45,United-States,Not-in-family
8195,38,United-States,Husband
8231,57,United-States,Husband
8353,26,United-States,Not-in-family
838,24,United-States,Not-in-family
8443,40,United-States,Husband
8615,33,United-States,Not-in-family
8716,22,United-States,Own-child
8729,56,United-States,Husband
8861,42,United-States,Unmarried
8991,29,United-States,Wife
9102,68,United-States,Unmarried
9154,53,United-States,Not-in-family
9241,38,United-States,Husband
9307,29,United-States,Not-in-family
9429,27,United-States,Husband
9443,38,United-States,Husband
9509,61,United-States,Wife
9517,27,United-States,Own-child
9542,47,United-States,Unmarried
9664,52,United-States,Not-in-family
9772,39,United-States,Not-in-family
9920,47,United-States,Not-in-family
9949,26,United-States,Not-in-family
