record_id,age,education,occupation,race,sex,workclass,capital-gain,capital-loss,hours-per-week,native-country,relationship
17170,40,Bachelors,Exec-managerial,White,Male,Private,0,0,30,Canada,Not-in-family
17181,52,Bachelors,Prof-specialty,White,Male,Private,0,0,40,United-States,Husband
1721,51,HS-grad,Protective-serv,White,Male,Local-gov,0,0,70,United-States,Husband
17254,63,Doctorate,Exec-managerial,White,Female,Federal-gov,0,2559,60,United-States,Not-in-family
17635,41,Some-college,?,White,Female,?,0,0,20,United-States,Not-in-family
18258,45,HS-grad,Craft-repair,White,Male,Private,0,0,50,United-States,Husband
18375,21,Some-college,Other-service,White,Female,Private,0,0,30,United-States,Own-child
18733,45,HS-grad,Craft-repair,White,Male,Local-gov,0,0,40,United-States,Husband
1883,27,Bachelors,Exec-managerial,Black,Male,Federal-gov,0,0,48,United-States,Not-in-family
18842,34,7th-8th,Craft-repair,White,Male,Self-emp-not-inc,0,0,40,United-States,Own-child
18848,35,Some-college,Exec-managerial,White,Male,Local-gov,0,2377,40,United-States,Husband
18856,37,11th,Transport-moving,White,Male,Private,0,0,65,United-States,Not-in-family
19294,42,HS-grad,Craft-repair,White,Male,Private,0,0,40,United-States,Husband
19453,26,Some-college,Exec-managerial,White,Male,State-gov,0,0,12,United-States,Husband
19478,36,Bachelors,Prof-specialty,White,Male,Private,0,0,45,United-States,Not-in-family
19580,39,HS-grad,Exec-managerial,Amer-Indian-Eskimo,Female,Local-gov,0,0,40,United-States,Own-child
19703,18,11th,Other-service,White,Male,Private,0,0,16,United-States,Own-child
19731,34,Doctorate,Prof-specialty,White,Female,Federal-gov,0,0,99,United-States,Not-in-family
19875,32,HS-grad,Sales,White,Male,Private,0,0,50,United-States,Not-in-family
19895,53,Masters,Exec-managerial,White,Male,Self-emp-inc,0,0,40,United-States,Husband
20192,39,Some-college,Machine-op-inspct,White,Male,Private,0,0,40,United-States,Husband
20265,28,10th,Machine-op-inspct,White,Female,Private,0,155,40,United-States,Not-in-family
20356,63,HS-grad,Machine-op-inspct,White,Male,Private,2174,0,40,United-States,Not-in-family
20480,55,7th-8th,?,White,Male,?,0,0,40,?,Husband
20538,44,HS-grad,Adm-clerical,White,Female,Local-gov,0,0,40,United-States,Other-relative
20569,26,Some-college,Craft-repair,White,Male,Private,0,0,40,United-States,Husband
20982,52,Assoc-acdm,Other-service,White,Female,Local-gov,4865,0,30,United-States,Not-in-family
21046,27,Masters,Sales,White,Female,Private,0,0,40,United-States,Own-child
21212,22,Bachelors,Adm-clerical,White,Female,Private,0,0,35,United-States,Own-child
21382,62,Masters,Prof-specialty,White,Female,Local-gov,0,0,50,?,Not-in-family
21387,66,Bachelors,Sales,White,Male,Self-emp-not-inc,0,0,50,United-States,Husband
21450,23,Bachelors,Adm-clerical,Black,Male,Private,0,0,24,United-States,Own-child
21662,21,Some-college,Other-service,White,Female,Private,0,0,20,United-States,Not-in-family
21756,25,11th,Machine-op-inspct,White,Male,Private,0,0,40,United-States,Husband
21760,41,10th,Sales,White,Male,Private,0,0,48,United-States,Not-in-family
21765,22,Some-college,Craft-repair,White,Male,Private,0,0,35,United-States,Own-child
21821,37,Some-college,Handlers-cleaners,Black,Male,Private,0,0,50,United-States,Husband
21908,36,Some-college,Exec-managerial,White,Male,Private,0,0,52,United-States,Husband
220,31,Some-college,Handlers-cleaners,White,Male,Private,0,0,40,United-States,Husband
22023,32,Some-college,Exec-managerial,White,Female,Private,0,0,45,United-States,Not-in-family
22074,27,HS-grad,Handlers-cleaners,White,Male,Private,0,0,40,United-States,Own-child
22256,21,Some-college,Prof-specialty,White,Female,Private,0,0,40,United-States,Not-in-family
22280,59,Doctorate,Prof-specialty,White,Male,State-gov,0,0,40,United-States,Husband
22391,38,7th-8th,Farming-fishing,White,Male,Private,3942,0,84,Portugal,Husband
2246,58,Masters,Sales,White,Male,Self-emp-not-inc,0,0,18,United-States,Not-in-family
22573,46,Assoc-voc,Adm-clerical,White,Male,Federal-gov,5178,0,40,United-States,Husband
22852,19,Some-college,Tech-support,White,Male,Private,0,0,30,United-States,Own-child
23151,40,Assoc-voc,Transport-moving,White,Male,Private,2829,0,40,United-States,Husband
23255,41,Doctorate,Prof-specialty,White,Male,Self-emp-not-inc,15024,0,55,United-States,Husband
23280,49,Bachelors,Exec-managerial,White,Male,Self-emp-inc,0,0,50,United-States,Husband
23359,24,Bachelors,Prof-specialty,White,Male,Private,0,0,30,United-States,Husband
23401,26,HS-grad,Handlers-cleaners,White,Male,Private,0,0,20,Mexico,Not-in-family
23456,24,HS-grad,Adm-clerical,White,Female,Private,2597,0,40,United-States,Not-in-family
23655,27,Bachelors,Prof-specialty,White,Female,Local-gov,0,0,40,United-States,Other-relative
23722,58,5th-6th,Machine-op-inspct,White,Male,Private,0,0,40,Italy,Husband
23728,44,Assoc-acdm,Exec-managerial,White,Male,Private,0,0,40,United-States,Not-in-family
24074,42,Bachelors,Transport-moving,White,Male,Local-gov,0,0,33,United-States,Not-in-family
24108,41,Bachelors,Exec-managerial,White,Male,Private,0,0,50,United-States,Not-in-family
24180,50,Masters,Sales,White,Male,Self-emp-not-inc,7688,0,45,United-States,Husband
24239,35,11th,Farming-fishing,White,Male,Private,0,0,40,United-States,Husband
24280,82,7th-8th,Farming-fishing,White,Male,Self-emp-inc,0,0,50,United-States,Husband
24434,42,Doctorate,Prof-specialty,White,Male,Private,0,0,50,United-States,Not-in-family
24471,51,HS-grad,Adm-clerical,White,Male,Federal-gov,0,0,40,United-States,Husband
24565,49,Masters,Prof-specialty,White,Male,State-gov,0,0,45,United-States,Husband
24676,29,Masters,Prof-specialty,White,Female,State-gov,0,0,45,United-States,Wife
24769,19,HS-grad,Other-service,White,Female,Private,0,0,30,United-States,Not-in-family
24916,44,Assoc-voc,Exec-managerial,White,Male,Private,0,0,40,United-States,Husband
24932,29,HS-grad,Machine-op-inspct,White,Female,Private,0,0,40,United-States,Not-in-family
25047,47,HS-grad,Prof-specialty,Amer-Indian-Eskimo,Female,Private,0,0,40,United-States,Unmarried
25107,43,HS-grad,Prof-specialty,White,Male,State-gov,0,0,40,United-States,Husband
25202,52,Assoc-voc,Farming-fishing,White,Male,Private,0,0,50,United-States,Not-in-family
2521,54,Masters,?,White,Female,?,0,0,40,United-States,Not-in-family
25265,24,HS-grad,Adm-clerical,White,Female,Private,0,0,40,United-States,Own-child
25346,37,10th,Handlers-cleaners,White,Male,Private,0,0,40,United-States,Not-in-family
25480,26,HS-grad,Sales,White,Male,Private,0,0,40,United-States,Husband
25576,30,Bachelors,Sales,White,Male,Private,0,0,40,United-States,Not-in-family
25991,44,Bachelors,Tech-support,White,Male,Private,5178,0,40,United-States,Husband
25998,43,Some-college,Craft-repair,Black,Male,Local-gov,0,0,40,United-States,Not-in-family
26097,30,HS-grad,Craft-repair,White,Male,Private,0,0,40,United-States,Not-in-family
26166,57,Some-college,Prof-specialty,Amer-Indian-Eskimo,Male,Federal-gov,0,0,40,United-States,Husband
2617,23,HS-grad,Adm-clerical,White,Female,Private,0,0,40,United-States,Not-in-family
26331,27,Some-college,?,White,Female,?,0,0,40,United-States,Unmarried
26377,24,Assoc-acdm,Adm-clerical,White,Female,Local-gov,0,0,20,?,Own-child
26459,34,Masters,Exec-managerial,White,Male,State-gov,0,0,38,United-States,Husband
26680,32,Some-college,Sales,White,Female,Private,0,0,30,United-States,Unmarried
26787,33,HS-grad,Craft-repair,White,Male,Federal-gov,0,0,40,United-States,Husband
26788,33,HS-grad,Tech-support,White,Female,Private,0,0,40,United-States,Not-in-family
26885,34,HS-grad,Craft-repair,White,Male,Private,0,0,44,United-States,Unmarried
26894,61,Some-college,Other-service,White,Female,Private,0,0,40,United-States,Not-in-family
27020,67,Some-college,Sales,White,Female,Private,0,0,25,Nicaragua,Not-in-family
27053,46,7th-8th,Other-service,White,Male,Private,0,0,52,United-States,Own-child
2709,23,HS-grad,Adm-clerical,White,Female,Private,0,0,40,United-States,Own-child
27137,39,HS-grad,Prof-specialty,White,Male,State-gov,0,0,40,United-States,Not-in-family
27317,70,Doctorate,?,White,Male,?,0,0,20,United-States,Husband
27351,46,Assoc-voc,Tech-support,Black,Female,Private,0,625,40,United-States,Unmarried
27362,35,HS-grad,Craft-repair,White,Male,Private,0,0,40,United-States,Husband
27480,50,12th,Sales,Asian-Pac-Islander,Male,Private,0,0,40,Cambodia,Husband
27481,32,9th,Machine-op-inspct,White,Female,Private,0,0,40,Columbia,Unmarried
27513,46,11th,?,Black,Female,?,0,0,40,United-States,Unmarried
27635,44,Bachelors,Exec-managerial,White,Male,Self-emp-inc,99999,0,70,United-States,Husband
27720,30,Assoc-acdm,Prof-specialty,Black,Female,Private,0,0,25,United-States,Not-in-family
27733,30,HS-grad,Craft-repair,White,Male,Private,0,0,40,United-States,Not-in-family
27852,24,11th,Craft-repair,White,Male,Private,0,0,40,United-States,Unmarried
27865,38,Assoc-acdm,Exec-managerial,White,Male,Private,0,0,40,United-States,Husband
279,24,Some-college,Machine-op-inspct,White,Female,Private,7298,0,48,United-States,Wife
28072,46,Masters,Prof-specialty,White,Male,Local-gov,0,0,40,United-States,Husband
28151,51,Some-college,Exec-managerial,Amer-Indian-Eskimo,Male,Self-emp-not-inc,0,0,60,United-States,Husband
28265,19,HS-grad,Craft-repair,White,Male,Private,0,0,35,United-States,Other-relative
28275,20,Some-college,Adm-clerical,Black,Female,Federal-gov,0,0,20,United-States,Own-child
28573,26,HS-grad,Craft-repair,White,Male,Local-gov,0,0,40,United-States,Husband
28632,18,11th,Other-service,White,Male,Private,0,0,16,United-States,Own-child
28673,24,Assoc-acdm,Other-service,White,Female,Private,0,0,22,United-States,Not-in-family
28731,25,Bachelors,Exec-managerial,White,Female,Private,0,0,40,United-States,Not-in-family
28802,20,HS-grad,?,White,Female,?,0,0,30,United-States,Not-in-family
28857,48,HS-grad,Craft-repair,Black,Male,Private,0,0,45,United-States,Unmarried
28911,20,Some-college,Sales,White,Female,Private,0,0,30,United-States,Own-child
2903,42,Some-college,Sales,White,Male,Private,0,0,40,United-States,Husband
29074,26,HS-grad,Other-service,Black,Male,Private,0,0,40,United-States,Unmarried
29285,66,Bachelors,Prof-specialty,White,Male,Private,20051,0,40,United-States,Husband
29301,39,Assoc-acdm,Tech-support,White,Female,Private,0,0,40,United-States,Not-in-family
29327,38,HS-grad,Exec-managerial,White,Male,Self-emp-inc,0,0,50,United-States,Husband
29352,50,Masters,Sales,White,Male,Self-emp-inc,0,0,40,United-States,Husband
29524,43,Assoc-acdm,Prof-specialty,White,Male,Private,0,0,50,United-States,Husband
29537,46,Masters,Prof-specialty,Amer-Indian-Eskimo,Male,Local-gov,0,0,40,United-States,Not-in-family
29582,23,Some-college,?,White,Male,?,0,0,30,United-States,Own-child
29677,30,7th-8th,Transport-moving,White,Male,Private,0,0,40,United-States,Not-in-family
29806,38,Prof-school,Prof-specialty,White,Male,Private,99999,0,60,United-States,Husband
29967,19,9th,?,White,Male,?,0,1719,35,El-Salvador,Other-relative
29979,41,HS-grad,Craft-repair,White,Male,Private,0,0,72,United-States,Husband
29980,20,HS-grad,Farming-fishing,White,Male,Private,0,0,55,United-States,Not-in-family
3004,25,Assoc-acdm,Adm-clerical,White,Female,Private,0,0,40,United-States,Not-in-family
30140,21,Some-college,Adm-clerical,White,Female,Private,0,0,25,United-States,Not-in-family
30388,31,Assoc-acdm,Protective-serv,White,Male,Local-gov,0,0,40,United-States,Unmarried
30479,38,HS-grad,Sales,White,Male,Private,0,0,42,United-States,Unmarried
30509,22,HS-grad,Craft-repair,White,Male,Private,0,0,35,United-States,Husband
30518,38,Some-college,Prof-specialty,White,Male,Self-emp-not-inc,3137,0,50,United-States,Husband
30529,37,Some-college,Adm-clerical,White,Female,Self-emp-not-inc,0,0,20,United-States,Wife
30747,64,HS-grad,Adm-clerical,White,Female,Private,0,0,40,United-States,Not-in-family
30765,38,Some-college,Sales,White,Female,Private,0,0,25,United-States,Own-child
30846,46,Bachelors,Sales,White,Male,Private,0,0,48,United-States,Husband
30923,26,HS-grad,Transport-moving,White,Male,Private,0,0,65,United-States,Husband
31000,43,Some-college,Transport-moving,White,Male,Private,0,0,50,United-States,Husband
31042,34,Bachelors,Exec-managerial,White,Male,Private,0,0,50,United-States,Husband
3132,43,Some-college,Transport-moving,White,Male,Private,0,0,40,United-States,Husband
31325,25,Assoc-acdm,Adm-clerical,Black,Female,Local-gov,0,0,38,United-States,Own-child
31504,32,Assoc-voc,Tech-support,Black,Male,Federal-gov,4650,0,40,United-States,Own-child
31524,51,Assoc-acdm,Exec-managerial,White,Male,Self-emp-not-inc,0,0,40,United-States,Husband
31862,29,Assoc-voc,?,White,Female,?,0,0,40,United-States,Unmarried
3197,51,HS-grad,Sales,White,Male,Self-emp-inc,0,0,50,United-States,Husband
31998,52,12th,?,Black,Female,?,0,0,40,United-States,Wife
32408,30,Bachelors,Sales,White,Male,Private,0,0,40,United-States,Not-in-family
32460,62,HS-grad,Adm-clerical,White,Female,Private,0,0,32,United-States,Not-in-family
3275,58,Some-college,Adm-clerical,White,Female,Private,0,0,46,United-States,Unmarried
3424,37,5th-6th,Farming-fishing,White,Male,Private,0,0,36,Mexico,Husband
3463,17,11th,Prof-specialty,White,Male,Self-emp-inc,0,0,20,United-States,Own-child
3551,24,Some-college,Sales,Black,Male,Private,0,0,40,Jamaica,Not-in-family
3683,48,HS-grad,Adm-clerical,White,Female,Private,0,0,35,United-States,Not-in-family
3684,46,HS-grad,Exec-managerial,White,Male,Self-emp-not-inc,0,0,40,United-States,Husband
3686,35,HS-grad,Other-service,White,Female,Self-emp-not-inc,0,0,30,United-States,Other-relative
3701,23,Some-college,Handlers-cleaners,White,Male,Private,0,0,40,United-States,Husband
3901,18,Some-college,?,White,Male,?,0,0,40,United-States,Own-child
3978,50,Bachelors,Sales,White,Male,Self-emp-not-inc,0,0,60,United-States,Husband
3999,28,7th-8th,Craft-repair,White,Male,Private,0,0,30,United-States,Husband
4026,20,Some-college,Exec-managerial,Black,Male,Private,0,0,47,United-States,Not-in-family
4109,90,Bachelors,?,White,Female,?,991,0,10,United-States,Other-relative
430,80,HS-grad,?,White,Male,?,0,0,24,United-States,Not-in-family
4351,33,HS-grad,Machine-op-inspct,White,Male,Private,0,0,40,United-States,Husband
4406,19,Some-college,Adm-clerical,White,Female,Private,0,0,25,United-States,Own-child
4418,54,Some-college,Exec-managerial,White,Female,Private,0,0,40,United-States,Unmarried
447,51,HS-grad,Craft-repair,Amer-Indian-Eskimo,Male,Private,0,0,40,United-States,Husband
4724,37,Bachelors,Sales,Asian-Pac-Islander,Male,Self-emp-not-inc,3137,0,77,Vietnam,Husband
4856,32,HS-grad,Sales,White,Female,Private,0,0,50,United-States,Not-in-family
4961,28,Assoc-acdm,Exec-managerial,White,Female,Private,0,0,16,United-States,Wife
4970,51,HS-grad,?,White,Male,?,0,0,40,United-States,Husband
4975,29,HS-grad,Adm-clerical,White,Male,Private,0,0,45,United-States,Husband
5072,61,7th-8th,Sales,White,Male,Private,0,0,50,United-States,Husband
5100,37,7th-8th,Farming-fishing,White,Male,Private,2580,0,60,United-States,Husband
518,21,Some-college,?,White,Female,?,0,0,35,United-States,Unmarried
5201,76,Masters,Prof-specialty,White,Male,Self-emp-not-inc,0,0,30,?,Husband
5271,20,HS-grad,Transport-moving,White,Male,Private,0,0,40,United-States,Other-relative
5459,36,Bachelors,Exec-managerial,White,Male,Private,0,0,55,United-States,Own-child
5465,49,Assoc-voc,Exec-managerial,White,Male,Self-emp-inc,0,0,60,United-States,Not-in-family
5570,42,Some-college,Craft-repair,White,Male,Private,7298,0,45,United-States,Husband
5600,44,HS-grad,Tech-support,White,Male,Private,0,0,45,United-States,Husband
5627,35,Some-college,Adm-clerical,White,Female,Local-gov,0,0,40,United-States,Unmarried
5700,49,7th-8th,Machine-op-inspct,White,Male,Private,0,0,48,United-States,Husband
5715,19,Some-college,Other-service,White,Female,State-gov,0,0,40,United-States,Own-child
5749,61,HS-grad,Machine-op-inspct,White,Male,Private,0,0,40,United-States,Husband
5857,31,Assoc-acdm,Craft-repair,White,Male,Private,0,0,40,United-States,Husband
5870,51,7th-8th,Craft-repair,Black,Male,Private,0,0,50,Dominican-Republic,Not-in-family
5901,42,HS-grad,Exec-managerial,White,Female,Private,0,0,40,United-States,Wife
6454,40,Some-college,Handlers-cleaners,White,Male,Private,0,0,40,United-States,Husband
6844,37,Masters,Prof-specialty,White,Male,Federal-gov,0,0,40,?,Husband
6858,41,HS-grad,Craft-repair,White,Male,Self-emp-inc,0,0,40,United-States,Husband
6910,30,Bachelors,Exec-managerial,White,Male,Private,0,0,70,United-States,Husband
6934,56,Bachelors,Exec-managerial,White,Male,Private,0,0,50,United-States,Husband
7001,45,Bachelors,Prof-specialty,Black,Male,Local-gov,0,0,40,United-States,Husband
7043,41,Doctorate,Sales,White,Female,Private,0,0,50,United-States,Unmarried
7054,23,7th-8th,Craft-repair,White,Male,Private,0,0,25,Germany,Not-in-family
7199,48,HS-grad,Adm-clerical,White,Female,Private,0,0,37,United-States,Not-in-family
7233,21,Some-college,Adm-clerical,White,Female,Private,0,0,30,United-States,Not-in-family
7401,35,Some-college,Sales,White,Female,Self-emp-inc,0,0,40,United-States,Wife
7510,62,HS-grad,?,White,Male,?,0,0,24,United-States,Husband
7562,61,HS-grad,Adm-clerical,White,Female,Private,0,0,40,United-States,Not-in-family
7751,69,9th,Adm-clerical,White,Male,Self-emp-not-inc,0,0,40,United-States,Husband
7890,30,9th,Machine-op-inspct,White,Female,Private,0,0,40,Portugal,Wife
7987,30,Some-college,Machine-op-inspct,White,Male,Private,0,0,40,United-States,Not-in-family
8034,42,Some-college,Sales,White,Male,Self-emp-inc,0,0,60,United-States,Not-in-family
8161,57,Assoc-acdm,Adm-clerical,White,Female,Private,0,0,35,United-States,Not-in-family
8353,26,Bachelors,Craft-repair,White,Male,Private,3325,0,40,United-States,Not-in-family
8710,52,Prof-school,Prof-specialty,Other,Male,Self-emp-inc,99999,0,65,United-States,Husband
9243,22,Some-college,Sales,White,Female,Private,0,0,18,United-States,Other-relative
9246,39,HS-grad,Craft-repair,White,Male,Private,0,0,40,United-States,Husband
9335,38,Assoc-voc,Craft-repair,White,Male,Private,0,0,40,United-States,Own-child
9558,47,Some-college,Adm-clerical,White,Female,Self-emp-not-inc,0,0,35,United-States,Wife
9577,35,HS-grad,?,White,Female,?,0,0,38,United-States,Own-child
9631,38,HS-grad,Handlers-cleaners,White,Male,Private,0,2042,40,United-States,Husband
9673,49,Prof-school,Prof-specialty,White,Male,Self-emp-not-inc,99999,0,35,United-States,Husband
9766,34,Bachelors,Exec-managerial,White,Male,Private,0,1977,45,United-States,Husband
9771,24,Some-college,Craft-repair,White,Male,Private,0,0,40,United-States,Husband
9820,37,Assoc-acdm,Prof-specialty,White,Male,Local-gov,0,0,45,Canada,Husband
9956,51,HS-grad,Other-service,White,Female,Private,0,0,24,United-States,Not-in-family
