record_id,race,sex,age,capital-loss,education,hours-per-week,marital-status,native-country,relationship,workclass
14244,White,Male,41,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
14366,White,Male,42,0,Prof-school,35,Married-civ-spouse,United-States,Husband,Private
14587,White,Female,33,0,Some-college,35,Married-civ-spouse,United-States,Wife,Private
14675,White,Female,48,0,Some-college,48,Divorced,United-States,Not-in-family,Private
14733,White,Male,45,0,Some-college,65,Married-civ-spouse,United-States,Husband,Federal-gov
14858,White,Female,26,0,HS-grad,40,Divorced,United-States,Own-child,Federal-gov
14969,White,Male,59,0,11th,40,Married-civ-spouse,United-States,Husband,Private
15004,White,Male,36,0,Assoc-voc,40,Divorced,United-States,Not-in-family,Private
15041,White,Female,37,0,Bachelors,40,Never-married,United-States,Not-in-family,Private
15238,White,Male,73,0,Bachelors,30,Married-civ-spouse,United-States,Husband,?
15301,White,Male,39,0,Some-college,40,Never-married,United-States,Unmarried,Private
15382,White,Male,51,0,Masters,47,Married-civ-spouse,United-States,Husband,Private
15491,White,Female,19,0,HS-grad,40,Never-married,United-States,Not-in-family,Private
15614,White,Male,49,0,Some-college,40,Never-married,United-States,Own-child,Private
15615,White,Male,36,0,Bachelors,40,Never-married,United-States,Not-in-family,Private
15687,White,Male,30,0,HS-grad,40,Married-spouse-absent,United-States,Other-relative,Private
15746,White,Male,31,0,Bachelors,40,Married-civ-spouse,United-States,Husband,Private
15842,White,Female,18,0,HS-grad,27,Never-married,United-States,Own-child,Private
15844,White,Male,59,0,HS-grad,60,Divorced,United-States,Not-in-family,Self-emp-not-inc
16036,White,Female,28,0,Masters,80,Never-married,?,Not-in-family,Private
16045,White,Male,28,0,Assoc-voc,60,Never-married,United-States,Not-in-family,Self-emp-inc
16054,White,Male,42,0,HS-grad,40,Never-married,United-States,Not-in-family,State-gov
16069,White,Male,44,0,HS-grad,40,Married-civ-spouse,Mexico,Husband,Private
16119,White,Female,30,0,Some-college,20,Divorced,United-States,Own-child,Private
16128,White,Male,27,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
16362,Black,Female,59,2339,HS-grad,40,Separated,United-States,Other-relative,Local-gov
16516,White,Male,45,0,Some-college,56,Divorced,United-States,Not-in-family,Private
16561,White,Male,32,0,Bachelors,35,Never-married,United-States,Not-in-family,Local-gov
16771,White,Male,33,0,Assoc-voc,40,Never-married,Cuba,Not-in-family,Private
16793,White,Male,50,0,11th,40,Married-civ-spouse,United-States,Husband,Private
1684,White,Male,20,0,HS-grad,80,Never-married,United-States,Own-child,Self-emp-not-inc
16893,White,Male,54,0,9th,40,Married-civ-spouse,United-States,Husband,Local-gov
16937,White,Male,23,0,Some-college,15,Never-married,United-States,Own-child,Private
17026,White,Male,36,0,HS-grad,40,Divorced,United-States,Own-child,Private
17123,White,Female,46,0,HS-grad,40,Divorced,United-States,Not-in-family,Private
17624,White,Male,25,0,Bachelors,40,Never-married,United-States,Not-in-family,Private
17678,White,Female,46,1876,Masters,60,Divorced,United-States,Not-in-family,Local-gov
17702,White,Male,62,0,Bachelors,50,Married-civ-spouse,United-States,Husband,Self-emp-inc
17935,White,Female,23,0,Bachelors,40,Never-married,United-States,Not-in-family,Private
18063,White,Male,17,0,10th,12,Never-married,United-States,Own-child,Self-emp-inc
1815,Black,Male,22,0,HS-grad,40,Never-married,United-States,Own-child,Private
18183,White,Male,48,1902,Doctorate,50,Married-civ-spouse,United-States,Husband,Private
18216,White,Male,54,0,HS-grad,45,Married-civ-spouse,United-States,Husband,Private
18285,White,Male,50,0,HS-grad,65,Married-civ-spouse,United-States,Husband,Private
18353,White,Female,40,0,Some-college,48,Divorced,United-States,Not-in-family,Private
1837,White,Male,70,0,HS-grad,30,Married-civ-spouse,United-States,Husband,Private
18420,White,Female,46,0,Bachelors,40,Separated,United-States,Unmarried,Private
18436,White,Female,33,0,Some-college,40,Married-civ-spouse,United-States,Wife,Federal-gov
18536,Other,Male,53,0,5th-6th,40,Married-civ-spouse,Puerto-Rico,Husband,Private
18780,Black,Female,26,0,Bachelors,35,Never-married,United-States,Unmarried,Private
18826,White,Male,50,0,Some-college,52,Married-civ-spouse,United-States,Husband,Local-gov
18843,White,Female,35,0,Assoc-acdm,40,Widowed,United-States,Not-in-family,State-gov
18900,Other,Male,44,0,HS-grad,32,Married-spouse-absent,Canada,Not-in-family,Private
18920,White,Female,45,0,HS-grad,40,Divorced,United-States,Not-in-family,Private
19004,Black,Female,21,0,10th,40,Never-married,United-States,Unmarried,Private
19083,White,Male,61,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Local-gov
1912,White,Male,52,0,Prof-school,40,Married-civ-spouse,United-States,Husband,Self-emp-inc
19139,White,Male,36,0,Some-college,40,Divorced,United-States,Not-in-family,Private
19217,White,Female,23,0,Assoc-acdm,32,Never-married,United-States,Unmarried,Federal-gov
1923,White,Female,21,0,Some-college,40,Never-married,United-States,Own-child,?
19339,White,Male,62,0,HS-grad,40,Divorced,United-States,Other-relative,Local-gov
19487,White,Male,29,1887,HS-grad,30,Married-civ-spouse,United-States,Husband,Private
19565,White,Male,28,0,HS-grad,40,Divorced,United-States,Not-in-family,Private
1959,White,Male,32,0,Some-college,40,Married-civ-spouse,United-States,Husband,Private
196,White,Male,36,0,Some-college,40,Divorced,United-States,Not-in-family,Private
19815,Black,Male,45,0,Assoc-acdm,35,Divorced,United-States,Unmarried,Private
19837,Black,Female,43,0,Some-college,40,Divorced,United-States,Unmarried,Private
20010,White,Male,41,0,Bachelors,40,Never-married,United-States,Not-in-family,Private
20060,White,Female,25,0,Bachelors,16,Never-married,United-States,Own-child,Private
20178,White,Male,22,0,HS-grad,35,Never-married,United-States,Not-in-family,Private
20356,White,Male,63,0,HS-grad,40,Never-married,United-States,Not-in-family,Private
20476,White,Male,24,0,HS-grad,38,Never-married,United-States,Not-in-family,Private
20494,Asian-Pac-Islander,Male,37,0,Bachelors,40,Married-civ-spouse,Cambodia,Husband,Private
20634,White,Male,45,0,Assoc-voc,50,Divorced,United-States,Not-in-family,Private
20687,White,Male,45,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
20826,White,Male,81,0,Bachelors,5,Widowed,United-States,Not-in-family,?
20958,White,Female,52,0,HS-grad,50,Married-spouse-absent,United-States,Not-in-family,Private
21043,White,Male,29,0,Some-college,40,Never-married,United-States,Own-child,Private
21345,White,Male,54,0,7th-8th,40,Married-civ-spouse,United-States,Husband,Private
21402,Black,Male,62,0,HS-grad,40,Divorced,United-States,Not-in-family,Self-emp-inc
216,White,Female,50,0,Assoc-acdm,40,Divorced,United-States,Not-in-family,Private
21780,White,Female,25,0,Some-college,40,Never-married,United-States,Own-child,Private
21860,White,Male,51,0,HS-grad,30,Married-civ-spouse,United-States,Husband,Self-emp-not-inc
21884,Black,Male,57,1977,Masters,40,Married-civ-spouse,United-States,Husband,Private
2201,White,Male,28,0,Assoc-acdm,60,Married-civ-spouse,United-States,Husband,Federal-gov
22316,White,Male,50,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Local-gov
22383,White,Male,19,0,HS-grad,35,Never-married,United-States,Other-relative,Private
22461,White,Female,21,0,Some-college,30,Never-married,United-States,Own-child,Private
22479,White,Female,17,0,11th,13,Never-married,United-States,Own-child,Private
22519,White,Female,40,0,HS-grad,40,Married-civ-spouse,United-States,Wife,Private
22533,White,Male,48,0,9th,40,Married-civ-spouse,Poland,Husband,Private
22566,White,Male,45,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
22657,White,Male,51,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
22994,White,Male,41,0,9th,35,Married-civ-spouse,United-States,Husband,Private
23002,White,Male,38,0,Bachelors,55,Married-civ-spouse,United-States,Husband,Private
23011,White,Male,47,0,Prof-school,60,Never-married,United-States,Not-in-family,Self-emp-inc
23146,White,Female,28,0,Some-college,35,Never-married,United-States,Unmarried,Private
2320,White,Male,40,0,Some-college,40,Never-married,United-States,Not-in-family,Private
23208,White,Male,24,0,HS-grad,50,Never-married,United-States,Not-in-family,Private
23215,White,Male,55,0,7th-8th,50,Married-civ-spouse,United-States,Husband,Private
23294,White,Male,63,0,HS-grad,40,Never-married,United-States,Not-in-family,Private
23317,White,Male,33,0,Bachelors,40,Married-civ-spouse,United-States,Husband,Private
23372,White,Male,22,0,HS-grad,40,Never-married,United-States,Own-child,Private
23421,White,Male,64,0,10th,56,Married-civ-spouse,United-States,Husband,?
23440,White,Male,22,0,Some-college,35,Never-married,?,Not-in-family,Private
23444,White,Male,24,0,Bachelors,40,Never-married,United-States,Not-in-family,Private
23582,White,Male,30,0,Assoc-voc,50,Married-civ-spouse,United-States,Husband,Private
2361,White,Male,26,0,Prof-school,60,Married-civ-spouse,United-States,Husband,Private
23842,White,Female,38,0,Assoc-acdm,40,Divorced,United-States,Unmarried,Private
24001,White,Male,23,0,HS-grad,40,Never-married,United-States,Own-child,Private
24138,White,Female,56,0,Some-college,38,Widowed,United-States,Unmarried,Private
24357,White,Female,26,0,11th,20,Separated,United-States,Unmarried,Private
24412,White,Female,60,0,10th,40,Widowed,United-States,Not-in-family,Private
24418,Black,Male,23,0,Some-college,22,Never-married,United-States,Other-relative,Private
24615,Black,Female,47,0,Some-college,40,Divorced,United-States,Unmarried,Private
24625,White,Male,42,0,Bachelors,50,Married-civ-spouse,United-States,Husband,State-gov
24641,White,Male,54,0,Masters,55,Married-civ-spouse,United-States,Husband,Private
24659,White,Male,62,0,Bachelors,40,Married-civ-spouse,United-States,Husband,Private
2476,White,Male,21,0,Assoc-voc,40,Never-married,United-States,Not-in-family,?
24836,White,Male,30,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
24850,White,Male,48,0,Prof-school,50,Married-civ-spouse,United-States,Husband,Private
24924,White,Female,69,0,HS-grad,18,Widowed,United-States,Not-in-family,Private
24936,White,Male,30,1902,Bachelors,40,Married-civ-spouse,United-States,Husband,Private
2497,White,Male,32,0,Some-college,60,Married-civ-spouse,United-States,Husband,Private
25211,White,Male,42,0,Prof-school,60,Divorced,United-States,Unmarried,Self-emp-not-inc
25336,White,Male,54,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Federal-gov
25358,White,Male,32,0,Bachelors,40,Married-civ-spouse,United-States,Husband,Private
25412,White,Female,47,0,HS-grad,40,Divorced,United-States,Not-in-family,Private
25429,White,Male,50,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
25499,White,Male,27,0,HS-grad,60,Married-civ-spouse,United-States,Husband,Local-gov
25502,Black,Female,17,0,9th,40,Never-married,United-States,Own-child,Private
25612,White,Male,59,0,11th,40,Married-civ-spouse,United-States,Husband,Private
2564,Black,Male,19,0,Some-college,30,Never-married,United-States,Own-child,Private
25659,Black,Male,52,0,Some-college,35,Widowed,United-States,Not-in-family,Self-emp-not-inc
25850,Asian-Pac-Islander,Male,45,0,Bachelors,40,Married-civ-spouse,United-States,Husband,Local-gov
26012,White,Female,81,0,Some-college,4,Widowed,United-States,Unmarried,?
26084,White,Male,59,0,HS-grad,40,Never-married,United-States,Unmarried,Private
26115,White,Female,42,0,Masters,40,Divorced,United-States,Unmarried,Local-gov
26162,White,Female,25,0,Some-college,30,Separated,El-Salvador,Other-relative,Private
26268,White,Female,37,2559,Doctorate,60,Never-married,United-States,Not-in-family,Self-emp-not-inc
26405,White,Male,64,0,Prof-school,45,Married-civ-spouse,?,Husband,Federal-gov
26426,White,Male,37,0,Bachelors,50,Married-civ-spouse,United-States,Husband,Private
2649,White,Female,28,0,HS-grad,40,Married-civ-spouse,United-States,Wife,Private
26509,White,Female,45,0,HS-grad,40,Divorced,United-States,Unmarried,Private
26546,White,Female,62,1617,Some-college,33,Separated,United-States,Unmarried,Private
26627,White,Male,30,1887,HS-grad,48,Married-civ-spouse,United-States,Husband,Self-emp-inc
26686,Asian-Pac-Islander,Female,25,0,Some-college,34,Never-married,United-States,Not-in-family,Private
26693,Black,Male,34,0,Some-college,50,Married-civ-spouse,United-States,Husband,Private
2678,White,Female,31,0,Some-college,45,Never-married,United-States,Not-in-family,Private
26812,White,Male,26,0,Bachelors,40,Never-married,United-States,Other-relative,Private
26929,White,Male,41,0,Bachelors,45,Married-civ-spouse,United-States,Husband,Private
27043,Black,Male,45,0,11th,50,Married-civ-spouse,United-States,Husband,Local-gov
27048,White,Female,45,0,HS-grad,40,Married-civ-spouse,United-States,Wife,State-gov
27142,White,Male,34,0,Assoc-voc,40,Married-civ-spouse,United-States,Husband,Private
2730,Black,Female,54,0,HS-grad,20,Married-civ-spouse,United-States,Other-relative,Private
27423,White,Female,27,0,Bachelors,40,Never-married,United-States,Not-in-family,Federal-gov
27537,White,Male,46,0,Bachelors,55,Married-civ-spouse,United-States,Husband,Self-emp-inc
27539,White,Female,25,0,10th,40,Married-civ-spouse,United-States,Wife,Private
27672,White,Male,45,0,Bachelors,40,Never-married,United-States,Not-in-family,Private
27726,White,Male,24,0,HS-grad,48,Married-civ-spouse,United-States,Husband,Private
27942,White,Male,27,0,Bachelors,55,Married-civ-spouse,United-States,Husband,Private
28005,White,Female,54,0,HS-grad,43,Married-spouse-absent,United-States,Not-in-family,Private
28025,Black,Male,26,0,Assoc-voc,65,Never-married,United-States,Other-relative,Private
28143,White,Male,68,2377,Bachelors,35,Married-civ-spouse,United-States,Husband,?
28156,White,Female,21,0,Some-college,40,Never-married,United-States,Own-child,Private
28185,White,Male,32,0,Masters,55,Married-civ-spouse,United-States,Husband,Private
28197,White,Male,40,0,Prof-school,55,Married-civ-spouse,Germany,Husband,Private
28329,White,Male,25,0,Bachelors,40,Married-civ-spouse,United-States,Husband,State-gov
28382,White,Male,20,0,HS-grad,40,Never-married,United-States,Own-child,?
28389,White,Male,31,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Local-gov
28459,White,Female,29,0,Bachelors,50,Never-married,United-States,Unmarried,Private
2847,Black,Female,26,0,HS-grad,40,Never-married,United-States,Unmarried,?
2848,White,Male,36,0,Some-college,60,Married-civ-spouse,United-States,Husband,Private
28550,White,Male,43,1902,Bachelors,40,Married-civ-spouse,United-States,Husband,Private
28553,White,Male,25,0,Bachelors,40,Married-civ-spouse,United-States,Husband,Private
28622,White,Male,57,0,Bachelors,40,Married-civ-spouse,United-States,Husband,Private
28623,White,Male,33,0,11th,65,Never-married,United-States,Not-in-family,Private
28670,Black,Female,32,0,Masters,40,Never-married,United-States,Not-in-family,Private
28681,White,Female,54,0,Masters,40,Divorced,United-States,Not-in-family,Local-gov
2874,White,Female,38,0,Assoc-acdm,33,Married-civ-spouse,United-States,Wife,Federal-gov
28747,White,Male,34,1848,Masters,40,Married-civ-spouse,United-States,Husband,State-gov
28771,Black,Female,32,0,Bachelors,30,Divorced,United-States,Unmarried,Self-emp-not-inc
28868,Black,Male,29,0,Bachelors,55,Married-civ-spouse,United-States,Husband,Private
29024,White,Female,29,0,HS-grad,40,Never-married,United-States,Other-relative,Private
29044,White,Male,46,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
29184,Other,Male,29,0,Some-college,40,Never-married,Ecuador,Not-in-family,Local-gov
29187,White,Female,31,0,HS-grad,99,Divorced,United-States,Unmarried,Private
29359,White,Female,20,0,HS-grad,5,Never-married,United-States,Own-child,?
29376,White,Male,35,0,Bachelors,40,Never-married,United-States,Other-relative,Private
29383,White,Male,46,0,Some-college,55,Divorced,United-States,Own-child,Private
29481,White,Male,18,0,12th,20,Never-married,United-States,Own-child,Private
29529,White,Female,21,0,Some-college,40,Never-married,United-States,Not-in-family,Private
29595,White,Female,41,0,Some-college,40,Divorced,United-States,Not-in-family,Private
29611,White,Male,47,0,10th,40,Married-civ-spouse,United-States,Husband,Private
29613,White,Female,32,0,Bachelors,40,Never-married,United-States,Unmarried,Private
29623,White,Male,51,0,Masters,40,Divorced,United-States,Unmarried,Private
29637,White,Male,27,0,Bachelors,52,Divorced,United-States,Not-in-family,Private
29816,White,Male,19,0,HS-grad,40,Never-married,United-States,Own-child,Self-emp-inc
29867,White,Female,47,0,Masters,2,Married-civ-spouse,United-States,Wife,Private
30010,White,Male,47,0,Some-college,40,Married-civ-spouse,?,Husband,Private
30027,White,Male,43,0,Some-college,49,Married-civ-spouse,United-States,Husband,Private
30131,White,Female,35,0,Some-college,35,Divorced,United-States,Not-in-family,Private
30137,White,Female,26,0,HS-grad,40,Never-married,United-States,Not-in-family,Private
30139,White,Male,43,0,HS-grad,20,Divorced,United-States,Not-in-family,Private
30155,White,Male,37,0,HS-grad,30,Married-civ-spouse,United-States,Husband,Self-emp-not-inc
30204,White,Male,27,0,11th,40,Married-civ-spouse,United-States,Husband,Private
30470,White,Male,35,0,Some-college,50,Married-civ-spouse,United-States,Husband,Self-emp-inc
30634,White,Male,21,0,Some-college,35,Never-married,Italy,Own-child,Private
30649,White,Male,45,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
31059,White,Male,46,0,Some-college,40,Married-civ-spouse,United-States,Husband,Private
31155,White,Male,31,0,Some-college,40,Married-civ-spouse,United-States,Husband,Self-emp-not-inc
31168,White,Female,27,0,HS-grad,50,Married-civ-spouse,United-States,Wife,Private
3122,White,Female,26,0,HS-grad,40,Married-civ-spouse,United-States,Wife,Private
31237,White,Female,18,0,HS-grad,33,Never-married,United-States,Own-child,Private
31264,White,Male,28,0,Some-college,40,Never-married,United-States,Not-in-family,Private
31410,White,Male,24,0,HS-grad,40,Never-married,United-States,Not-in-family,Private
31706,White,Male,29,0,Some-college,48,Married-civ-spouse,United-States,Husband,Private
31884,White,Male,41,0,Masters,50,Married-civ-spouse,United-States,Husband,Self-emp-inc
31900,White,Male,37,0,HS-grad,40,Divorced,United-States,Not-in-family,Private
32003,White,Male,51,0,Bachelors,25,Married-civ-spouse,United-States,Husband,Self-emp-inc
32027,White,Female,46,0,Masters,55,Divorced,United-States,Not-in-family,Local-gov
32185,White,Male,52,0,Bachelors,50,Married-civ-spouse,United-States,Husband,Self-emp-not-inc
32399,White,Male,42,0,Bachelors,40,Married-civ-spouse,United-States,Husband,Private
32502,White,Male,35,0,Bachelors,50,Married-civ-spouse,United-States,Husband,Local-gov
32513,White,Female,46,0,Masters,22,Married-civ-spouse,United-States,Wife,Private
32526,White,Male,32,0,10th,40,Married-civ-spouse,United-States,Husband,Private
32543,White,Female,45,0,Assoc-acdm,48,Divorced,United-States,Unmarried,Local-gov
3263,White,Female,31,0,Some-college,43,Never-married,United-States,Not-in-family,Private
3298,Black,Female,25,0,Some-college,40,Never-married,United-States,Unmarried,Private
3315,White,Female,68,0,12th,30,Widowed,United-States,Not-in-family,Private
3383,White,Male,40,0,Assoc-voc,40,Married-civ-spouse,United-States,Husband,Private
345,White,Male,43,0,Bachelors,42,Never-married,United-States,Not-in-family,Self-emp-not-inc
3580,White,Male,63,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
3594,White,Female,59,0,HS-grad,40,Married-civ-spouse,United-States,Wife,?
3673,White,Male,39,0,Assoc-acdm,60,Married-civ-spouse,Germany,Husband,Private
369,White,Female,39,0,HS-grad,40,Divorced,United-States,Unmarried,Private
3707,Amer-Indian-Eskimo,Male,41,0,Some-college,50,Married-civ-spouse,United-States,Husband,Private
3929,White,Male,46,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
4235,White,Male,26,0,Bachelors,40,Never-married,United-States,Not-in-family,State-gov
4241,White,Male,34,0,Assoc-acdm,40,Never-married,United-States,Not-in-family,Private
4273,White,Female,72,0,HS-grad,16,Widowed,United-States,Unmarried,Private
4413,White,Female,20,0,Some-college,40,Never-married,United-States,Own-child,?
4457,Other,Male,31,0,HS-grad,40,Divorced,United-States,Own-child,State-gov
4579,White,Female,43,0,Some-college,38,Divorced,United-States,Unmarried,Private
4641,White,Male,58,0,HS-grad,60,Married-civ-spouse,United-States,Husband,Self-emp-not-inc
4890,White,Male,51,0,Some-college,75,Married-civ-spouse,United-States,Husband,Self-emp-not-inc
4915,White,Male,18,0,11th,20,Never-married,United-States,Own-child,Private
499,White,Male,72,0,HS-grad,20,Married-civ-spouse,United-States,Husband,?
5018,White,Male,33,0,Some-college,50,Never-married,United-States,Not-in-family,Federal-gov
5038,White,Male,55,0,Assoc-voc,45,Married-civ-spouse,United-States,Husband,Private
5121,White,Male,50,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
5337,White,Female,47,0,Masters,50,Divorced,United-States,Unmarried,Private
5407,White,Female,35,0,Assoc-voc,40,Divorced,United-States,Unmarried,Private
5422,White,Female,39,0,Bachelors,63,Never-married,United-States,Not-in-family,Private
5464,Amer-Indian-Eskimo,Female,47,0,HS-grad,45,Divorced,United-States,Not-in-family,Private
5576,White,Male,45,0,Bachelors,30,Never-married,United-States,Not-in-family,Private
5667,White,Female,30,0,Bachelors,40,Never-married,United-States,Not-in-family,Private
5777,White,Male,26,2051,Some-college,40,Married-civ-spouse,United-States,Husband,Private
5803,White,Male,27,0,Some-college,40,Divorced,United-States,Own-child,?
6039,White,Female,55,0,HS-grad,20,Widowed,United-States,Not-in-family,?
6067,White,Male,22,0,Some-college,40,Married-civ-spouse,Mexico,Husband,Private
6179,White,Male,58,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
6215,White,Male,23,0,HS-grad,40,Never-married,United-States,Own-child,Private
6267,White,Female,18,0,11th,4,Never-married,United-States,Own-child,Self-emp-not-inc
6334,White,Male,36,0,Bachelors,40,Divorced,United-States,Not-in-family,Private
6419,White,Female,40,0,HS-grad,35,Married-civ-spouse,United-States,Wife,Private
6438,White,Male,33,0,Some-college,52,Married-civ-spouse,United-States,Husband,Private
6741,White,Male,31,0,HS-grad,40,Divorced,United-States,Own-child,Private
6914,White,Female,67,0,9th,40,Divorced,United-States,Not-in-family,?
7251,White,Male,18,0,11th,12,Never-married,United-States,Own-child,Private
7449,White,Female,26,0,Some-college,38,Divorced,United-States,Unmarried,Private
7468,White,Female,54,0,HS-grad,35,Married-civ-spouse,United-States,Wife,Private
7542,White,Male,24,0,11th,40,Never-married,United-States,Not-in-family,Private
7827,White,Male,29,0,Some-college,50,Divorced,United-States,Not-in-family,Self-emp-not-inc
8010,White,Male,41,0,HS-grad,40,Married-civ-spouse,United-States,Husband,State-gov
8030,White,Male,34,0,Bachelors,38,Never-married,United-States,Not-in-family,Private
83,White,Male,59,0,HS-grad,48,Married-civ-spouse,United-States,Husband,Private
8372,Black,Male,33,0,Some-college,35,Never-married,United-States,Not-in-family,Private
843,White,Female,62,0,Bachelors,48,Widowed,United-States,Not-in-family,Local-gov
8471,White,Male,38,0,Bachelors,50,Married-civ-spouse,United-States,Husband,Private
8574,White,Male,28,0,Bachelors,40,Never-married,United-States,Not-in-family,Federal-gov
8629,White,Female,53,0,Masters,40,Divorced,United-States,Not-in-family,Private
8943,Other,Female,22,0,HS-grad,40,Never-married,United-States,Not-in-family,Private
8966,White,Male,43,0,Assoc-voc,48,Married-civ-spouse,United-States,Husband,Private
9226,Amer-Indian-Eskimo,Female,42,0,HS-grad,40,Widowed,United-States,Unmarried,Private
9253,White,Female,45,0,HS-grad,40,Divorced,United-States,Not-in-family,Private
9295,White,Male,36,0,Bachelors,70,Never-married,United-States,Not-in-family,Private
9300,Black,Female,42,0,HS-grad,40,Separated,United-States,Unmarried,Private
9507,White,Male,24,0,HS-grad,40,Never-married,United-States,Not-in-family,Private
9712,White,Male,30,0,11th,40,Never-married,United-States,Unmarried,?
