record_id,age,education,marital-status,occupation,race,relationship,sex,capital-gain,hours-per-week,native-country,workclass
15478,24,Bachelors,Married-civ-spouse,Exec-managerial,White,Wife,Female,0,40,United-States,State-gov
15573,39,7th-8th,Married-civ-spouse,Transport-moving,White,Husband,Male,0,40,United-States,Private
15588,60,HS-grad,Divorced,Craft-repair,White,Not-in-family,Male,0,40,United-States,Self-emp-inc
15679,45,Masters,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,50,United-States,Local-gov
15772,21,7th-8th,Never-married,Craft-repair,White,Own-child,Male,0,40,United-States,Private
1580,26,HS-grad,Married-civ-spouse,Sales,White,Husband,Male,0,50,United-States,Private
15959,67,HS-grad,Divorced,Prof-specialty,White,Not-in-family,Female,0,20,United-States,Self-emp-not-inc
15985,39,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,0,48,United-States,Private
16052,51,HS-grad,Married-civ-spouse,Transport-moving,White,Husband,Male,0,50,United-States,Private
16108,74,9th,Widowed,Craft-repair,White,Not-in-family,Male,0,10,?,Private
16363,45,Bachelors,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,15,United-States,Private
16375,41,HS-grad,Married-civ-spouse,Transport-moving,White,Husband,Male,0,40,United-States,Private
16530,25,7th-8th,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,0,40,Mexico,Private
16549,35,HS-grad,Widowed,Other-service,White,Own-child,Female,0,40,United-States,Private
16665,65,Some-college,Married-civ-spouse,Protective-serv,White,Husband,Male,0,40,United-States,Private
16704,19,Assoc-voc,Never-married,Prof-specialty,White,Own-child,Female,0,40,United-States,Private
16752,42,Masters,Married-civ-spouse,Prof-specialty,White,Husband,Male,7688,40,United-States,Private
16915,30,Bachelors,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,80,United-States,Local-gov
1695,51,HS-grad,Married-civ-spouse,Machine-op-inspct,Black,Husband,Male,0,40,United-States,Private
17207,50,Some-college,Married-civ-spouse,Sales,Asian-Pac-Islander,Husband,Male,0,50,United-States,Private
17252,47,Assoc-voc,Never-married,Other-service,White,Not-in-family,Female,0,55,United-States,Private
17527,28,Bachelors,Never-married,Prof-specialty,White,Not-in-family,Female,0,40,United-States,Federal-gov
17624,25,Bachelors,Never-married,Tech-support,White,Not-in-family,Male,0,40,United-States,Private
17711,21,HS-grad,Never-married,Craft-repair,White,Not-in-family,Male,0,42,United-States,Private
17753,22,1st-4th,Never-married,Machine-op-inspct,White,Not-in-family,Male,0,24,Mexico,Private
17839,38,HS-grad,Never-married,Other-service,Black,Own-child,Male,0,40,United-States,Private
17913,26,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,20,United-States,Self-emp-not-inc
17939,20,Some-college,Never-married,Other-service,White,Not-in-family,Male,0,35,United-States,Private
17955,27,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,50,United-States,Self-emp-not-inc
17994,43,HS-grad,Married-civ-spouse,Other-service,Amer-Indian-Eskimo,Husband,Male,0,40,United-States,State-gov
18012,42,Doctorate,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,50,United-States,Private
1822,19,Some-college,Never-married,Sales,White,Own-child,Male,0,36,United-States,Private
18255,30,Bachelors,Married-civ-spouse,Prof-specialty,White,Wife,Female,0,40,United-States,Private
18284,46,Some-college,Married-civ-spouse,Exec-managerial,White,Husband,Male,15024,50,United-States,Private
18351,19,Some-college,Never-married,Adm-clerical,White,Not-in-family,Male,0,40,United-States,Private
18401,42,Masters,Married-civ-spouse,Prof-specialty,White,Wife,Female,0,38,United-States,Local-gov
18499,45,Some-college,Married-civ-spouse,Other-service,White,Husband,Male,0,40,United-States,Private
1860,23,HS-grad,Divorced,Sales,White,Not-in-family,Male,0,40,United-States,Private
18600,33,HS-grad,Never-married,?,White,Not-in-family,Male,0,40,United-States,?
18871,52,Assoc-voc,Married-civ-spouse,Craft-repair,White,Husband,Male,0,40,United-States,Private
19019,28,HS-grad,Never-married,Exec-managerial,White,Own-child,Female,0,40,United-States,Private
19106,19,Some-college,Never-married,Other-service,White,Own-child,Female,0,15,United-States,Private
19138,30,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,50,United-States,Private
19231,40,HS-grad,Divorced,Other-service,Black,Not-in-family,Female,0,48,United-States,State-gov
19615,63,Some-college,Married-civ-spouse,Sales,White,Husband,Male,7298,48,United-States,Private
19724,38,Masters,Never-married,Adm-clerical,White,Unmarried,Female,0,40,United-States,Private
19801,37,Some-college,Divorced,Other-service,White,Unmarried,Female,0,30,United-States,Private
20059,49,HS-grad,Never-married,Craft-repair,White,Not-in-family,Male,0,40,United-States,Private
20219,24,Some-college,Divorced,Other-service,Black,Not-in-family,Male,0,40,United-States,Private
20292,40,Bachelors,Married-civ-spouse,Other-service,Asian-Pac-Islander,Wife,Female,7688,52,Japan,Private
20451,20,Some-college,Never-married,Other-service,White,Own-child,Female,0,10,United-States,Private
20512,44,Bachelors,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,50,United-States,Private
20713,55,Bachelors,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,15,United-States,State-gov
20792,26,Some-college,Never-married,Sales,White,Not-in-family,Male,0,24,United-States,Private
2091,29,Bachelors,Never-married,?,White,Not-in-family,Male,0,40,United-States,?
20937,33,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,50,United-States,Private
20951,57,Bachelors,Divorced,Machine-op-inspct,Black,Not-in-family,Male,0,39,United-States,State-gov
21173,43,HS-grad,Divorced,Farming-fishing,Black,Not-in-family,Male,0,40,United-States,Private
21176,64,Some-college,Widowed,?,White,Unmarried,Female,0,8,United-States,?
21252,32,Bachelors,Divorced,Prof-specialty,White,Other-relative,Male,0,35,United-States,Self-emp-not-inc
21279,47,Bachelors,Married-civ-spouse,Prof-specialty,White,Wife,Female,0,50,United-States,Local-gov
21463,47,Bachelors,Divorced,Adm-clerical,White,Not-in-family,Female,0,40,United-States,Private
2150,28,11th,Never-married,Machine-op-inspct,Black,Not-in-family,Male,0,40,United-States,Private
21603,31,11th,Divorced,Farming-fishing,White,Not-in-family,Male,0,50,United-States,Private
21802,25,Bachelors,Never-married,Prof-specialty,White,Own-child,Female,0,40,United-States,Private
21927,30,Some-college,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Wife,Female,0,5,United-States,Private
2194,32,Bachelors,Married-civ-spouse,Sales,White,Husband,Male,0,40,United-States,Private
22187,59,Some-college,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,12,United-States,Private
22249,19,Some-college,Never-married,Sales,White,Own-child,Female,0,25,United-States,Private
22277,35,HS-grad,Married-civ-spouse,Transport-moving,White,Husband,Male,0,50,United-States,Self-emp-not-inc
22287,20,Some-college,Never-married,Exec-managerial,White,Own-child,Female,0,30,United-States,Private
22328,54,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Wife,Female,0,40,United-States,Private
22382,52,11th,Divorced,Machine-op-inspct,Black,Not-in-family,Female,0,20,United-States,Private
22512,46,1st-4th,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,0,40,Mexico,Private
22600,51,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,55,United-States,Private
22656,44,Bachelors,Never-married,Adm-clerical,White,Not-in-family,Female,0,38,United-States,State-gov
22709,21,Some-college,Never-married,Sales,White,Own-child,Male,0,40,United-States,Private
22919,69,Prof-school,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,34,United-States,State-gov
23032,33,Bachelors,Married-civ-spouse,Exec-managerial,Black,Husband,Male,0,40,?,Private
23185,26,Bachelors,Widowed,Exec-managerial,White,Not-in-family,Female,0,55,United-States,Private
23186,24,HS-grad,Never-married,Craft-repair,White,Own-child,Male,0,40,United-States,Private
23191,30,Bachelors,Never-married,Sales,White,Not-in-family,Male,0,60,United-States,Private
23447,23,Some-college,Never-married,Handlers-cleaners,White,Own-child,Male,0,35,United-States,Private
23485,37,HS-grad,Married-civ-spouse,Transport-moving,White,Husband,Male,0,50,United-States,Private
23595,54,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,40,United-States,Private
236,40,Some-college,Never-married,Adm-clerical,White,Not-in-family,Female,0,38,United-States,State-gov
23758,75,11th,Never-married,Exec-managerial,White,Not-in-family,Male,0,50,United-States,Self-emp-inc
23784,51,Some-college,Married-civ-spouse,Sales,White,Husband,Male,0,40,?,Private
24062,24,Some-college,Married-civ-spouse,Prof-specialty,White,Wife,Female,0,40,United-States,Private
24104,61,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,45,United-States,Private
24264,58,9th,Divorced,Other-service,White,Not-in-family,Female,0,40,United-States,Local-gov
24301,48,HS-grad,Divorced,Adm-clerical,White,Not-in-family,Female,0,40,United-States,Private
24528,38,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,4064,40,United-States,Self-emp-not-inc
24537,50,HS-grad,Divorced,Sales,White,Unmarried,Female,0,65,United-States,Private
24606,47,Assoc-voc,Married-civ-spouse,Craft-repair,White,Husband,Male,0,60,?,Private
24655,23,HS-grad,Never-married,Handlers-cleaners,Black,Own-child,Male,0,40,United-States,Private
24711,40,HS-grad,Married-civ-spouse,Other-service,White,Husband,Male,0,45,United-States,Self-emp-not-inc
24976,25,11th,Married-civ-spouse,Tech-support,White,Husband,Male,0,40,United-States,Private
25034,33,Some-college,Divorced,?,White,Unmarried,Female,0,40,United-States,?
25045,33,Some-college,Separated,Other-service,White,Unmarried,Female,0,38,El-Salvador,Private
25046,28,HS-grad,Never-married,Handlers-cleaners,White,Not-in-family,Male,0,40,?,Private
25235,36,HS-grad,Divorced,Transport-moving,White,Unmarried,Male,0,43,?,Private
25311,29,Prof-school,Never-married,Prof-specialty,White,Unmarried,Male,27828,45,Germany,Private
25340,26,Bachelors,Never-married,Adm-clerical,White,Own-child,Female,0,40,Mexico,Private
25392,57,Masters,Divorced,Other-service,Black,Unmarried,Female,0,40,United-States,Local-gov
25568,73,HS-grad,Married-civ-spouse,?,White,Husband,Male,0,15,United-States,?
25580,48,HS-grad,Separated,Adm-clerical,White,Not-in-family,Female,0,40,United-States,Private
25622,45,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,40,United-States,Private
2621,25,Masters,Never-married,Sales,White,Not-in-family,Male,0,20,United-States,Private
26232,51,Bachelors,Divorced,Prof-specialty,White,Not-in-family,Female,0,50,United-States,Private
26451,41,Some-college,Married-civ-spouse,Craft-repair,Black,Husband,Male,0,40,United-States,Private
26487,46,Some-college,Married-civ-spouse,Craft-repair,White,Husband,Male,0,40,United-States,Private
26631,61,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,50,United-States,Private
26685,33,Some-college,Divorced,Adm-clerical,White,Unmarried,Female,0,45,United-States,State-gov
26744,42,Masters,Never-married,Exec-managerial,White,Not-in-family,Male,0,40,United-States,Private
26938,35,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,40,United-States,Federal-gov
26963,50,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Wife,Female,0,36,United-States,Private
27147,41,HS-grad,Never-married,Other-service,White,Not-in-family,Female,0,40,United-States,State-gov
272,50,Masters,Married-civ-spouse,Farming-fishing,White,Husband,Male,2407,98,United-States,Self-emp-not-inc
27369,28,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,0,25,Mexico,Self-emp-not-inc
27411,43,Some-college,Married-civ-spouse,Sales,White,Husband,Male,7688,40,United-States,Private
27428,55,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,40,United-States,Self-emp-not-inc
27475,67,Some-college,Married-civ-spouse,?,White,Husband,Male,0,8,United-States,?
27521,47,Bachelors,Separated,Prof-specialty,White,Unmarried,Female,0,50,United-States,Private
27542,36,Some-college,Never-married,Craft-repair,White,Not-in-family,Female,0,40,United-States,Private
27552,22,Assoc-voc,Never-married,Adm-clerical,White,Not-in-family,Female,0,40,United-States,Private
2756,43,Masters,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,60,United-States,Local-gov
27737,34,Some-college,Married-civ-spouse,Craft-repair,White,Husband,Male,0,38,United-States,Private
27772,37,Masters,Never-married,Exec-managerial,Black,Not-in-family,Female,0,40,United-States,Private
27775,57,5th-6th,Married-civ-spouse,Transport-moving,Black,Husband,Male,0,50,United-States,Private
27829,36,Bachelors,Divorced,Prof-specialty,White,Unmarried,Female,0,40,United-States,Local-gov
27884,35,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,70,United-States,Private
27896,26,HS-grad,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,52,United-States,Private
28013,19,Some-college,Never-married,Exec-managerial,White,Own-child,Female,0,40,United-States,Private
28070,36,Bachelors,Never-married,Prof-specialty,Black,Own-child,Male,0,35,United-States,Local-gov
28149,43,9th,Divorced,Transport-moving,Black,Not-in-family,Male,0,40,United-States,Private
28292,54,Masters,Married-civ-spouse,Other-service,White,Husband,Male,0,40,United-States,Private
28374,53,HS-grad,Married-civ-spouse,Other-service,Black,Husband,Male,0,40,United-States,Private
28473,31,Some-college,Never-married,Craft-repair,White,Unmarried,Male,0,42,Mexico,Private
2848,36,Some-college,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,60,United-States,Private
28532,52,11th,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,40,United-States,Private
28591,32,Some-college,Married-civ-spouse,Craft-repair,White,Husband,Male,0,40,United-States,Private
28771,32,Bachelors,Divorced,Exec-managerial,Black,Unmarried,Female,0,30,United-States,Self-emp-not-inc
28867,20,Some-college,Never-married,Handlers-cleaners,White,Other-relative,Male,0,20,United-States,Private
28897,31,Bachelors,Never-married,Tech-support,White,Not-in-family,Male,0,40,United-States,Private
28962,50,HS-grad,Never-married,Handlers-cleaners,White,Own-child,Male,0,25,United-States,Private
28976,23,Some-college,Never-married,Craft-repair,White,Own-child,Male,0,15,United-States,Private
2899,22,HS-grad,Divorced,Tech-support,White,Unmarried,Female,0,30,Germany,Private
29065,28,Assoc-voc,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,40,United-States,Private
29187,31,HS-grad,Divorced,Other-service,White,Unmarried,Female,0,99,United-States,Private
29189,40,Masters,Divorced,Prof-specialty,White,Not-in-family,Male,0,20,United-States,Private
29190,26,Some-college,Married-civ-spouse,Sales,White,Husband,Male,0,40,United-States,Private
29201,39,HS-grad,Never-married,Handlers-cleaners,White,Other-relative,Male,0,40,United-States,Private
29253,35,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,40,United-States,Private
2934,23,Bachelors,Never-married,Machine-op-inspct,White,Own-child,Male,0,25,United-States,Private
29470,35,Some-college,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,40,United-States,Private
29605,61,Assoc-acdm,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,42,United-States,Private
29842,35,9th,Married-civ-spouse,?,White,Wife,Female,0,35,United-States,?
29940,17,11th,Never-married,Other-service,White,Not-in-family,Female,0,20,United-States,Private
29964,56,HS-grad,Never-married,Adm-clerical,White,Not-in-family,Female,0,38,United-States,Private
30067,31,Bachelors,Never-married,Craft-repair,White,Not-in-family,Male,8614,40,United-States,Local-gov
301,21,Some-college,Never-married,Other-service,Asian-Pac-Islander,Not-in-family,Female,0,25,United-States,Private
30116,40,HS-grad,Divorced,Adm-clerical,White,Unmarried,Female,0,38,United-States,Private
30176,43,Assoc-voc,Divorced,Exec-managerial,White,Not-in-family,Male,0,25,United-States,Self-emp-not-inc
30365,55,HS-grad,Married-civ-spouse,Farming-fishing,White,Husband,Male,0,53,United-States,Private
30381,36,HS-grad,Divorced,Exec-managerial,White,Not-in-family,Male,0,40,United-States,Private
3040,50,Prof-school,Never-married,Exec-managerial,Black,Not-in-family,Female,0,52,United-States,Local-gov
30471,29,Bachelors,Never-married,Prof-specialty,White,Not-in-family,Male,0,50,United-States,State-gov
30515,49,Masters,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,40,United-States,Private
30627,70,10th,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,0,32,United-States,Private
30905,21,HS-grad,Never-married,Adm-clerical,White,Own-child,Female,0,35,United-States,Private
31180,75,Some-college,Widowed,Sales,White,Not-in-family,Male,0,40,United-States,Self-emp-inc
31363,27,Bachelors,Never-married,Prof-specialty,White,Not-in-family,Female,0,20,United-States,Self-emp-not-inc
31420,44,Masters,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,42,United-States,Private
31437,38,11th,Married-civ-spouse,Craft-repair,White,Husband,Male,0,40,United-States,Private
3159,58,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,40,Germany,Private
31781,36,Prof-school,Never-married,Prof-specialty,White,Not-in-family,Male,0,40,United-States,State-gov
31885,35,Some-college,Never-married,?,Black,Not-in-family,Male,0,30,United-States,?
32010,31,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,40,United-States,Private
32122,49,HS-grad,Divorced,Craft-repair,White,Unmarried,Male,0,40,United-States,Private
32180,19,Some-college,Never-married,Sales,White,Own-child,Female,0,30,United-States,Private
32325,31,Some-college,Never-married,Other-service,White,Own-child,Female,0,37,United-States,State-gov
32415,57,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,50,United-States,Self-emp-not-inc
32504,50,Masters,Divorced,Sales,White,Not-in-family,Female,0,50,United-States,Private
3304,37,HS-grad,Divorced,Adm-clerical,White,Unmarried,Female,0,45,United-States,Private
3515,62,Bachelors,Divorced,Prof-specialty,White,Not-in-family,Female,0,40,United-States,Self-emp-not-inc
3568,38,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,40,United-States,Private
3724,38,Masters,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,60,United-States,Private
3860,43,Bachelors,Married-civ-spouse,Sales,White,Husband,Male,0,40,United-States,Private
3882,51,Some-college,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,40,United-States,Private
3883,63,10th,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,40,United-States,Self-emp-not-inc
4055,50,Prof-school,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Husband,Male,7688,50,Philippines,Self-emp-inc
4259,32,Some-college,Never-married,Other-service,White,Not-in-family,Male,0,50,United-States,Private
4349,53,Masters,Married-civ-spouse,Exec-managerial,White,Husband,Male,15024,65,United-States,Private
4451,19,HS-grad,Never-married,Craft-repair,White,Not-in-family,Female,0,40,United-States,Private
4514,37,Bachelors,Divorced,Exec-managerial,White,Other-relative,Female,0,50,United-States,Federal-gov
4555,41,11th,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,7688,40,United-States,Private
4556,33,HS-grad,Never-married,Adm-clerical,White,Unmarried,Female,0,40,United-States,Private
4579,43,Some-college,Divorced,Prof-specialty,White,Unmarried,Female,0,38,United-States,Private
466,52,HS-grad,Divorced,Transport-moving,White,Unmarried,Male,0,40,United-States,Private
468,49,Masters,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,45,United-States,Private
4726,31,Some-college,Married-civ-spouse,Transport-moving,White,Husband,Male,0,45,El-Salvador,Private
4765,30,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,60,Ireland,Private
4837,34,HS-grad,Never-married,Adm-clerical,White,Not-in-family,Female,0,40,United-States,Private
4991,29,9th,Married-civ-spouse,Transport-moving,White,Husband,Male,0,40,United-States,Private
5264,51,Some-college,Married-civ-spouse,Sales,White,Husband,Male,0,40,United-States,Private
5378,46,7th-8th,Married-civ-spouse,Transport-moving,White,Husband,Male,0,40,United-States,Private
5399,32,HS-grad,Divorced,Other-service,Other,Unmarried,Female,0,28,United-States,Private
5445,32,HS-grad,Divorced,Machine-op-inspct,White,Own-child,Male,0,50,United-States,Private
5597,26,HS-grad,Never-married,Craft-repair,White,Other-relative,Male,2597,40,United-States,Private
5799,20,HS-grad,Never-married,Craft-repair,White,Own-child,Male,0,20,United-States,Private
5822,35,Masters,Married-civ-spouse,Prof-specialty,White,Wife,Female,15024,50,United-States,Private
6030,55,HS-grad,Married-civ-spouse,Sales,White,Husband,Male,0,50,United-States,Self-emp-not-inc
6034,27,Assoc-voc,Never-married,Adm-clerical,White,Own-child,Male,0,43,United-States,Local-gov
6201,28,Bachelors,Never-married,Sales,White,Not-in-family,Male,0,40,United-States,Private
6308,35,Some-college,Never-married,Exec-managerial,White,Not-in-family,Male,0,60,United-States,Private
6333,34,Some-college,Divorced,Adm-clerical,White,Unmarried,Female,0,40,United-States,Private
6441,28,Bachelors,Never-married,Prof-specialty,White,Own-child,Male,0,40,United-States,Private
6769,33,Bachelors,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,45,United-States,Local-gov
686,66,7th-8th,Never-married,?,White,Not-in-family,Male,0,4,United-States,?
6940,21,HS-grad,Never-married,Adm-clerical,White,Not-in-family,Male,0,40,United-States,Private
7155,52,Masters,Divorced,Prof-specialty,White,Unmarried,Male,15020,50,United-States,Private
7158,27,HS-grad,Divorced,Sales,White,Own-child,Female,0,40,United-States,Private
7265,35,Some-college,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,50,United-States,Private
7366,19,7th-8th,Never-married,Transport-moving,White,Unmarried,Male,0,25,Guatemala,Private
7372,26,Some-college,Married-civ-spouse,Protective-serv,White,Husband,Male,0,40,United-States,Private
7480,45,10th,Married-civ-spouse,Sales,White,Husband,Male,0,40,United-States,Private
8004,32,11th,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,45,United-States,Private
8141,19,Some-college,Never-married,Sales,White,Not-in-family,Female,0,35,United-States,Private
8224,29,Prof-school,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,80,United-States,Federal-gov
834,72,11th,Widowed,?,White,Not-in-family,Female,0,24,United-States,?
8357,39,HS-grad,Never-married,Adm-clerical,White,Own-child,Female,0,35,United-States,Local-gov
8482,26,HS-grad,Never-married,Protective-serv,White,Unmarried,Male,0,44,United-States,Private
8785,24,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,50,United-States,Private
8814,34,HS-grad,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,60,United-States,Private
8815,34,Some-college,Never-married,Other-service,White,Not-in-family,Male,0,40,United-States,Private
8848,36,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,40,United-States,Private
9016,56,Bachelors,Married-civ-spouse,Sales,Black,Husband,Male,7688,45,United-States,Private
9284,23,Some-college,Married-civ-spouse,Craft-repair,White,Husband,Male,0,60,United-States,Private
9320,34,HS-grad,Married-civ-spouse,Sales,White,Husband,Male,0,60,United-States,Self-emp-not-inc
9415,26,Prof-school,Never-married,Prof-specialty,White,Own-child,Male,0,20,United-States,Self-emp-not-inc
