record_id,age,marital-status,race,relationship,workclass,capital-gain,capital-loss,education,hours-per-week,native-country,occupation,sex
17765,23,Never-married,White,Not-in-family,Private,0,0,HS-grad,40,United-States,Craft-repair,Male
18009,36,Married-civ-spouse,White,Husband,Federal-gov,0,1848,Bachelors,55,United-States,Adm-clerical,Male
18086,27,Never-married,Asian-Pac-Islander,Own-child,Private,0,0,Some-college,40,United-States,Handlers-cleaners,Male
18129,44,Married-civ-spouse,White,Husband,Private,7298,0,Assoc-voc,51,United-States,Adm-clerical,Male
18172,53,Never-married,White,Unmarried,Federal-gov,0,0,Some-college,40,United-States,Prof-specialty,Female
1838,30,Divorced,White,Unmarried,Private,0,0,Some-college,40,United-States,Adm-clerical,Male
18444,39,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Some-college,60,United-States,Farming-fishing,Male
18496,57,Married-civ-spouse,White,Husband,?,0,0,HS-grad,60,United-States,?,Male
18507,27,Married-civ-spouse,White,Husband,Local-gov,0,0,Some-college,50,United-States,Exec-managerial,Male
18592,25,Never-married,White,Own-child,Private,0,0,11th,40,United-States,Craft-repair,Male
1864,38,Married-civ-spouse,Asian-Pac-Islander,Husband,Local-gov,0,0,HS-grad,54,United-States,Protective-serv,Male
18664,47,Divorced,White,Not-in-family,Private,4650,0,HS-grad,40,United-States,Machine-op-inspct,Male
18849,41,Never-married,White,Not-in-family,Private,0,0,HS-grad,40,United-States,Handlers-cleaners,Male
18971,32,Never-married,White,Not-in-family,Private,13550,0,Bachelors,48,United-States,Exec-managerial,Male
19055,57,Widowed,White,Unmarried,Private,0,0,HS-grad,30,?,Other-service,Female
19361,43,Married-civ-spouse,White,Husband,Private,0,0,Assoc-voc,50,United-States,Craft-repair,Male
19439,22,Never-married,White,Own-child,Private,0,0,Assoc-acdm,60,United-States,Protective-serv,Male
19687,50,Never-married,White,Own-child,Private,0,0,HS-grad,40,United-States,Adm-clerical,Female
19718,33,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Bachelors,50,United-States,Craft-repair,Male
19883,21,Married-civ-spouse,White,Husband,Private,0,0,5th-6th,40,Mexico,Handlers-cleaners,Male
19917,31,Married-civ-spouse,White,Husband,Private,0,0,10th,40,United-States,Transport-moving,Male
19923,28,Married-civ-spouse,White,Husband,Private,7688,0,11th,40,United-States,Handlers-cleaners,Male
20072,65,Married-civ-spouse,White,Husband,?,0,0,HS-grad,1,United-States,?,Male
20312,21,Never-married,White,Not-in-family,Private,0,0,Some-college,40,United-States,Adm-clerical,Female
20346,34,Married-civ-spouse,Black,Husband,Private,0,0,Some-college,40,Jamaica,Prof-specialty,Male
20352,37,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,HS-grad,50,United-States,Farming-fishing,Male
20445,24,Never-married,White,Own-child,Private,0,0,Some-college,40,United-States,Sales,Female
20493,34,Married-civ-spouse,White,Wife,State-gov,0,0,Bachelors,45,United-States,Prof-specialty,Female
20505,49,Married-civ-spouse,White,Husband,Private,0,0,Assoc-voc,45,United-States,Handlers-cleaners,Male
20546,43,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Bachelors,70,United-States,Farming-fishing,Male
20568,73,Married-civ-spouse,White,Husband,Private,0,2246,Bachelors,40,United-States,Prof-specialty,Male
20687,45,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Protective-serv,Male
20722,32,Married-civ-spouse,Black,Husband,Self-emp-inc,0,0,Some-college,35,Haiti,Transport-moving,Male
20960,35,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Transport-moving,Male
21046,27,Never-married,White,Own-child,Private,0,0,Masters,40,United-States,Sales,Female
21055,55,Divorced,White,Unmarried,Private,4650,0,Some-college,20,United-States,Adm-clerical,Female
2119,39,Never-married,White,Own-child,Private,0,0,HS-grad,40,United-States,Craft-repair,Male
21241,40,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,9th,40,United-States,Craft-repair,Male
21478,57,Married-civ-spouse,Black,Husband,Private,0,0,12th,40,United-States,Adm-clerical,Male
21552,23,Never-married,White,Own-child,Private,0,0,Some-college,35,United-States,Sales,Female
21599,53,Married-civ-spouse,White,Husband,Self-emp-inc,0,0,Doctorate,40,United-States,Prof-specialty,Male
2186,47,Divorced,White,Not-in-family,Self-emp-not-inc,0,0,Masters,40,United-States,Prof-specialty,Male
21887,31,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,HS-grad,40,United-States,Exec-managerial,Male
21965,21,Never-married,White,Own-child,Private,0,0,Some-college,10,United-States,Prof-specialty,Male
22028,34,Married-civ-spouse,Asian-Pac-Islander,Husband,State-gov,0,0,Doctorate,20,China,Tech-support,Male
22046,58,Married-civ-spouse,White,Husband,Self-emp-inc,0,0,HS-grad,55,United-States,Sales,Male
22140,37,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Bachelors,40,United-States,Tech-support,Male
22288,54,Married-civ-spouse,White,Husband,Federal-gov,0,0,Some-college,40,United-States,Exec-managerial,Male
22408,34,Divorced,White,Unmarried,Private,0,0,HS-grad,40,Mexico,Prof-specialty,Male
22522,42,Divorced,White,Unmarried,Private,0,0,Some-college,45,United-States,Exec-managerial,Female
22594,30,Married-civ-spouse,White,Husband,Private,0,2002,Assoc-acdm,40,United-States,Prof-specialty,Male
22695,33,Separated,White,Unmarried,Private,1471,0,12th,40,United-States,Adm-clerical,Female
22726,41,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Craft-repair,Male
2282,31,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,Mexico,Other-service,Male
22944,38,Married-civ-spouse,White,Husband,Private,0,0,Assoc-voc,50,United-States,Handlers-cleaners,Male
23283,20,Never-married,Black,Other-relative,Private,0,0,HS-grad,25,United-States,Other-service,Male
23312,44,Married-civ-spouse,White,Husband,Self-emp-inc,15024,0,Bachelors,65,United-States,Farming-fishing,Male
23432,30,Married-civ-spouse,Black,Husband,Private,0,0,10th,40,United-States,Other-service,Male
23722,58,Married-civ-spouse,White,Husband,Private,0,0,5th-6th,40,Italy,Machine-op-inspct,Male
23791,48,Divorced,White,Not-in-family,Private,0,0,HS-grad,40,United-States,Handlers-cleaners,Male
23861,32,Married-civ-spouse,White,Husband,Private,0,0,Some-college,50,United-States,Machine-op-inspct,Male
23862,32,Never-married,White,Unmarried,Private,0,0,HS-grad,10,United-States,Craft-repair,Male
2396,53,Never-married,White,Not-in-family,Private,0,1564,Masters,54,United-States,Prof-specialty,Female
24035,60,Married-civ-spouse,White,Husband,Private,0,0,Some-college,65,United-States,Craft-repair,Male
24164,42,Married-civ-spouse,White,Husband,Self-emp-inc,15024,0,Prof-school,65,United-States,Prof-specialty,Male
24316,56,Married-civ-spouse,White,Husband,Private,0,1902,Some-college,60,United-States,Craft-repair,Male
24381,39,Married-civ-spouse,White,Husband,Private,0,0,Bachelors,50,United-States,Prof-specialty,Male
24514,30,Divorced,White,Not-in-family,Private,10520,0,Prof-school,50,United-States,Prof-specialty,Male
24529,48,Divorced,White,Not-in-family,Private,0,0,9th,40,United-States,Sales,Female
24693,22,Never-married,Asian-Pac-Islander,Own-child,Private,0,0,9th,40,Philippines,Handlers-cleaners,Male
24787,58,Married-civ-spouse,Black,Husband,?,0,0,HS-grad,30,United-States,?,Male
25404,59,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,45,United-States,Transport-moving,Male
25580,48,Separated,White,Not-in-family,Private,0,2001,HS-grad,40,United-States,Adm-clerical,Female
25697,60,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Some-college,50,United-States,Sales,Male
25747,23,Never-married,White,Own-child,Private,0,0,HS-grad,40,United-States,Sales,Male
25944,28,Never-married,White,Not-in-family,Private,0,0,Some-college,40,United-States,Handlers-cleaners,Male
26203,50,Married-civ-spouse,White,Husband,Private,0,0,10th,60,United-States,Transport-moving,Male
26514,27,Married-civ-spouse,White,Husband,Private,0,0,Some-college,40,United-States,Tech-support,Male
26583,49,Separated,Black,Unmarried,Private,0,0,HS-grad,40,United-States,Prof-specialty,Female
26691,51,Married-civ-spouse,White,Husband,Private,0,0,Some-college,50,United-States,Handlers-cleaners,Male
26695,34,Married-civ-spouse,White,Husband,Self-emp-inc,0,2002,HS-grad,40,United-States,Exec-managerial,Male
26697,49,Married-civ-spouse,White,Husband,Private,0,1902,HS-grad,40,United-States,Machine-op-inspct,Male
26826,42,Married-civ-spouse,White,Husband,Private,0,0,Some-college,50,United-States,Sales,Male
27317,70,Married-civ-spouse,White,Husband,?,0,0,Doctorate,20,United-States,?,Male
27330,49,Married-civ-spouse,White,Husband,Private,0,2603,5th-6th,40,Greece,Other-service,Male
27364,32,Divorced,White,Unmarried,Private,0,0,11th,15,United-States,Other-service,Female
27449,54,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Some-college,40,United-States,Sales,Male
27486,22,Never-married,White,Own-child,Private,0,0,HS-grad,19,United-States,Other-service,Female
27540,34,Married-civ-spouse,White,Husband,Self-emp-inc,0,0,Some-college,70,United-States,Craft-repair,Male
27553,34,Married-civ-spouse,White,Husband,Private,0,0,Some-college,55,United-States,Sales,Male
27713,45,Never-married,White,Own-child,Private,0,0,5th-6th,35,United-States,Machine-op-inspct,Female
27768,27,Never-married,White,Not-in-family,Private,0,0,Some-college,45,United-States,Craft-repair,Male
27835,32,Never-married,White,Other-relative,Private,0,0,HS-grad,50,United-States,Craft-repair,Male
2787,20,Never-married,White,Not-in-family,Private,0,0,Some-college,50,United-States,Sales,Female
27953,30,Married-civ-spouse,White,Husband,Private,0,0,Masters,15,United-States,Other-service,Male
281,42,Married-civ-spouse,White,Husband,Local-gov,5178,0,Some-college,40,United-States,Craft-repair,Male
2813,24,Never-married,White,Not-in-family,Private,0,2205,Some-college,24,United-States,Adm-clerical,Male
28159,62,Married-civ-spouse,White,Wife,Local-gov,0,0,Masters,40,United-States,Prof-specialty,Female
28210,55,Widowed,White,Not-in-family,?,0,0,12th,30,United-States,?,Male
2844,37,Married-civ-spouse,White,Husband,Self-emp-inc,7688,0,HS-grad,60,United-States,Sales,Male
28580,23,Never-married,White,Unmarried,Private,0,0,HS-grad,45,United-States,Adm-clerical,Female
28627,61,Married-civ-spouse,White,Husband,Private,0,0,Some-college,6,United-States,Other-service,Male
28662,43,Divorced,White,Not-in-family,Private,0,0,Some-college,30,United-States,Other-service,Male
28699,53,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,HS-grad,50,United-States,Sales,Male
28791,64,Widowed,White,Not-in-family,Local-gov,0,0,HS-grad,40,United-States,Adm-clerical,Female
29011,34,Married-civ-spouse,White,Husband,Local-gov,0,0,Bachelors,45,Mexico,Prof-specialty,Male
29051,20,Never-married,White,Own-child,Private,0,0,Some-college,35,United-States,Sales,Male
29160,75,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,HS-grad,30,United-States,Farming-fishing,Male
29358,35,Divorced,White,Not-in-family,Private,0,0,Some-college,40,United-States,Exec-managerial,Female
29384,55,Married-civ-spouse,White,Husband,Private,0,0,Bachelors,45,United-States,Exec-managerial,Male
29550,30,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Machine-op-inspct,Male
29687,45,Divorced,White,Unmarried,Self-emp-inc,0,0,Assoc-voc,30,United-States,Sales,Female
30145,65,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,HS-grad,55,United-States,Sales,Male
30152,48,Married-civ-spouse,Asian-Pac-Islander,Husband,Private,0,0,Doctorate,40,India,Prof-specialty,Male
30235,44,Married-civ-spouse,White,Husband,Private,0,0,Masters,40,United-States,Prof-specialty,Male
30389,61,Married-civ-spouse,White,Husband,Private,0,0,12th,40,Mexico,Craft-repair,Male
30515,49,Married-civ-spouse,White,Husband,Private,0,0,Masters,40,United-States,Prof-specialty,Male
30546,47,Married-civ-spouse,White,Husband,Private,0,0,Some-college,40,United-States,Exec-managerial,Male
30707,27,Married-civ-spouse,White,Own-child,?,0,0,HS-grad,15,United-States,?,Female
30790,21,Never-married,Asian-Pac-Islander,Own-child,Private,0,0,Some-college,20,United-States,Other-service,Male
30876,53,Separated,White,Not-in-family,Private,0,0,HS-grad,30,United-States,Transport-moving,Male
31132,27,Never-married,Asian-Pac-Islander,Unmarried,Local-gov,0,0,Some-college,40,United-States,Protective-serv,Female
31190,21,Never-married,White,Own-child,Private,0,0,Some-college,35,United-States,Tech-support,Male
31227,51,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,HS-grad,60,United-States,Sales,Male
31462,42,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,50,United-States,Craft-repair,Male
31559,33,Married-civ-spouse,White,Husband,Private,7688,0,HS-grad,48,United-States,Protective-serv,Male
31639,52,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,60,United-States,Sales,Male
31654,54,Married-civ-spouse,White,Husband,Local-gov,0,0,Masters,50,United-States,Prof-specialty,Male
31894,59,Married-civ-spouse,White,Husband,Self-emp-inc,0,0,Some-college,50,United-States,Craft-repair,Male
32132,39,Never-married,White,Not-in-family,Private,0,0,Some-college,50,United-States,Craft-repair,Male
32174,44,Never-married,White,Not-in-family,Self-emp-not-inc,0,0,Bachelors,42,United-States,Sales,Male
3230,47,Married-civ-spouse,Black,Wife,Private,0,0,Bachelors,35,United-States,Exec-managerial,Female
32416,33,Married-civ-spouse,White,Husband,Private,0,1902,Assoc-acdm,50,United-States,Craft-repair,Male
32421,31,Married-civ-spouse,Black,Wife,Private,0,0,HS-grad,35,United-States,Other-service,Female
32502,35,Married-civ-spouse,White,Husband,Local-gov,0,0,Bachelors,50,United-States,Prof-specialty,Male
3257,31,Divorced,White,Own-child,Private,0,1669,HS-grad,50,United-States,Craft-repair,Male
3359,35,Never-married,White,Not-in-family,Private,0,0,Masters,40,United-States,Exec-managerial,Male
3383,40,Married-civ-spouse,White,Husband,Private,0,0,Assoc-voc,40,United-States,Craft-repair,Male
3443,28,Never-married,Amer-Indian-Eskimo,Other-relative,Private,0,0,10th,40,Mexico,Other-service,Male
3654,44,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Transport-moving,Male
3826,21,Married-civ-spouse,White,Husband,Private,0,0,10th,70,United-States,Farming-fishing,Male
3837,49,Divorced,White,Not-in-family,Private,0,0,HS-grad,40,United-States,Exec-managerial,Male
3841,49,Separated,White,Unmarried,Private,0,0,HS-grad,40,United-States,Machine-op-inspct,Female
3889,53,Married-civ-spouse,Black,Husband,Private,0,0,Assoc-voc,40,United-States,Craft-repair,Male
4008,40,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Handlers-cleaners,Male
4143,31,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Exec-managerial,Male
4154,33,Married-civ-spouse,White,Husband,Private,0,0,Doctorate,55,United-States,Prof-specialty,Male
4226,32,Divorced,White,Unmarried,Private,0,0,HS-grad,35,United-States,Other-service,Female
4385,64,Married-civ-spouse,White,Husband,Private,0,0,Some-college,20,United-States,Craft-repair,Male
4575,37,Married-civ-spouse,Black,Wife,Private,15024,0,Bachelors,40,United-States,Prof-specialty,Female
4585,27,Never-married,White,Not-in-family,Private,0,0,Assoc-acdm,40,United-States,Other-service,Male
4695,32,Married-civ-spouse,White,Husband,Local-gov,0,0,HS-grad,40,United-States,Other-service,Male
4787,46,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Machine-op-inspct,Male
4883,26,Never-married,White,Not-in-family,Private,0,0,Some-college,45,United-States,Sales,Male
4899,44,Never-married,White,Not-in-family,Local-gov,0,1876,Masters,42,United-States,Prof-specialty,Male
4911,23,Never-married,White,Own-child,Private,2174,0,Bachelors,40,United-States,Adm-clerical,Female
4988,43,Married-civ-spouse,White,Husband,Self-emp-inc,0,0,Some-college,50,United-States,Exec-managerial,Male
5045,48,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Some-college,35,United-States,Prof-specialty,Male
5162,32,Married-civ-spouse,White,Husband,Local-gov,0,0,HS-grad,41,United-States,Other-service,Male
5202,41,Married-civ-spouse,White,Husband,Local-gov,0,2415,Prof-school,45,United-States,Prof-specialty,Male
5231,52,Divorced,White,Not-in-family,Private,0,0,Bachelors,40,United-States,Exec-managerial,Male
5324,40,Divorced,White,Not-in-family,Private,0,0,HS-grad,40,United-States,Machine-op-inspct,Female
5400,50,Married-civ-spouse,White,Husband,Self-emp-inc,15024,0,Bachelors,60,United-States,Exec-managerial,Male
5538,34,Married-civ-spouse,White,Husband,State-gov,7688,0,Masters,38,United-States,Prof-specialty,Male
5546,35,Never-married,Black,Not-in-family,Self-emp-not-inc,0,0,Bachelors,60,United-States,Other-service,Female
5671,32,Married-civ-spouse,Black,Husband,Private,0,0,Some-college,16,United-States,Protective-serv,Male
5687,71,Married-civ-spouse,White,Husband,?,3432,0,Some-college,30,United-States,?,Male
574,27,Never-married,White,Not-in-family,Private,0,0,Doctorate,70,United-States,Prof-specialty,Female
5872,41,Never-married,Black,Unmarried,Local-gov,0,0,7th-8th,40,United-States,Other-service,Female
5876,36,Never-married,White,Not-in-family,Self-emp-not-inc,10520,0,Masters,45,United-States,Sales,Male
5919,57,Divorced,White,Not-in-family,Private,0,0,HS-grad,40,United-States,Machine-op-inspct,Female
5951,23,Never-married,White,Not-in-family,Private,0,0,Bachelors,50,United-States,Prof-specialty,Male
6120,48,Married-spouse-absent,White,Not-in-family,Federal-gov,10520,0,Masters,50,United-States,Exec-managerial,Female
613,26,Never-married,White,Own-child,Local-gov,1055,0,Bachelors,40,United-States,Prof-specialty,Male
6309,32,Divorced,White,Not-in-family,Private,0,0,Some-college,55,United-States,Sales,Female
6414,37,Married-civ-spouse,White,Husband,Private,0,0,Bachelors,45,United-States,Prof-specialty,Male
6477,36,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,33,United-States,Transport-moving,Male
6482,37,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Bachelors,55,United-States,Prof-specialty,Male
6485,53,Married-civ-spouse,White,Husband,Self-emp-inc,0,0,5th-6th,40,Mexico,Sales,Male
6694,36,Separated,Black,Not-in-family,Private,0,0,HS-grad,36,United-States,Machine-op-inspct,Female
6889,49,Divorced,White,Not-in-family,Private,0,0,HS-grad,35,United-States,Adm-clerical,Female
7105,46,Divorced,White,Unmarried,Private,6497,0,Masters,50,United-States,Prof-specialty,Female
7193,65,Married-civ-spouse,White,Husband,?,0,0,11th,40,Mexico,?,Male
7393,48,Married-civ-spouse,White,Husband,Private,0,1902,Assoc-acdm,40,United-States,Sales,Male
7445,34,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,50,United-States,Craft-repair,Male
7546,54,Divorced,White,Not-in-family,Private,0,0,Some-college,40,Italy,Exec-managerial,Female
7615,46,Divorced,Black,Unmarried,Federal-gov,0,0,HS-grad,40,?,Adm-clerical,Female
7655,37,Married-civ-spouse,White,Wife,Private,0,0,Assoc-acdm,25,United-States,Other-service,Female
7667,27,Never-married,White,Not-in-family,Private,0,0,10th,60,Mexico,Other-service,Male
7806,39,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Other-service,Male
7807,54,Married-civ-spouse,White,Husband,Self-emp-inc,0,0,Some-college,54,United-States,Sales,Male
7826,55,Married-civ-spouse,White,Husband,?,0,0,HS-grad,30,United-States,?,Male
7841,28,Never-married,White,Not-in-family,Private,0,0,HS-grad,50,United-States,Exec-managerial,Female
7893,37,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,HS-grad,60,United-States,Exec-managerial,Male
7981,24,Never-married,White,Own-child,Private,0,0,Some-college,40,United-States,Exec-managerial,Male
8064,31,Married-civ-spouse,White,Husband,Federal-gov,0,0,Bachelors,40,United-States,Exec-managerial,Male
823,30,Widowed,White,Not-in-family,Private,0,0,HS-grad,40,United-States,Adm-clerical,Female
8323,47,Married-civ-spouse,White,Husband,Private,0,0,Some-college,40,United-States,Craft-repair,Male
