record_id,age,education,sex,capital-gain,capital-loss,hours-per-week,race,relationship,workclass
16960,62,Some-college,Male,0,1977,98,White,Husband,Private
16968,46,7th-8th,Male,0,0,40,White,Husband,Private
17201,44,Masters,Female,0,0,16,White,Unmarried,Local-gov
17232,43,Some-college,Male,0,0,40,White,Husband,Private
17266,34,Assoc-voc,Female,1639,0,20,White,Not-in-family,Private
17277,36,Masters,Male,0,0,45,White,Husband,Self-emp-not-inc
17346,70,Some-college,Male,0,2246,40,White,Husband,Self-emp-not-inc
17448,23,HS-grad,Male,0,0,40,White,Not-in-family,Private
17476,62,HS-grad,Male,0,0,40,White,Husband,Private
17568,52,HS-grad,Female,0,0,40,Asian-Pac-Islander,Wife,Private
17719,22,HS-grad,Male,0,0,40,White,Own-child,Private
17779,23,Some-college,Male,0,0,40,Black,Not-in-family,Private
17844,46,Some-college,Female,0,0,45,White,Not-in-family,Private
17903,58,HS-grad,Female,0,0,40,White,Unmarried,State-gov
1792,47,9th,Female,0,0,50,White,Unmarried,Private
17947,41,Some-college,Female,0,0,32,Asian-Pac-Islander,Not-in-family,Private
18334,43,Assoc-voc,Male,0,0,40,White,Not-in-family,Federal-gov
18426,34,HS-grad,Male,0,0,40,White,Unmarried,Private
1853,28,Bachelors,Male,0,0,50,White,Unmarried,Private
18621,58,11th,Female,0,0,40,White,Not-in-family,Private
18740,44,HS-grad,Male,0,0,60,White,Husband,Self-emp-inc
19002,47,Prof-school,Male,15024,0,55,White,Husband,Private
19111,27,Some-college,Female,0,0,40,White,Own-child,Private
19195,62,HS-grad,Female,0,0,15,White,Not-in-family,Self-emp-inc
19217,23,Assoc-acdm,Female,0,0,32,White,Unmarried,Federal-gov
1928,20,HS-grad,Male,0,0,40,White,Own-child,Private
19367,43,Prof-school,Male,15024,0,45,White,Husband,Local-gov
19376,34,HS-grad,Female,0,0,40,White,Not-in-family,Private
19477,41,HS-grad,Female,0,0,40,White,Unmarried,Private
19592,28,HS-grad,Male,0,0,40,White,Husband,Local-gov
20215,52,Some-college,Male,0,0,45,White,Unmarried,Private
20252,39,Bachelors,Male,3103,0,50,White,Husband,Private
20289,40,9th,Male,0,0,49,Black,Other-relative,Private
20321,65,Bachelors,Male,0,0,40,White,Husband,?
20337,18,11th,Female,0,0,10,White,Own-child,Never-worked
20359,41,Some-college,Male,0,0,40,White,Not-in-family,Private
2040,23,Bachelors,Male,0,0,40,White,Unmarried,Private
20462,55,Some-college,Female,0,0,40,Amer-Indian-Eskimo,Not-in-family,Local-gov
20636,23,HS-grad,Male,4650,0,50,White,Not-in-family,Private
20772,71,11th,Female,0,0,75,White,Not-in-family,Private
20893,45,Assoc-voc,Male,0,0,60,White,Husband,Local-gov
20900,29,HS-grad,Male,0,0,65,White,Husband,Self-emp-not-inc
20960,35,HS-grad,Male,0,0,40,White,Husband,Private
21064,42,7th-8th,Male,0,2205,40,Black,Not-in-family,Private
21249,33,Assoc-voc,Male,0,0,84,White,Husband,Private
21402,62,HS-grad,Male,0,0,40,Black,Not-in-family,Self-emp-inc
21412,30,11th,Male,0,0,40,White,Husband,Private
21433,59,HS-grad,Male,0,0,50,White,Husband,Self-emp-not-inc
21481,59,HS-grad,Male,0,0,40,White,Husband,Private
2173,51,9th,Male,0,0,40,White,Husband,Private
2180,36,Assoc-acdm,Female,0,0,50,White,Wife,Private
21962,34,HS-grad,Male,0,0,48,White,Not-in-family,Private
21990,51,Assoc-voc,Female,0,0,40,White,Unmarried,Private
221,64,1st-4th,Male,0,0,40,White,Not-in-family,?
22187,59,Some-college,Male,0,0,12,White,Husband,Private
22211,22,HS-grad,Male,0,0,40,White,Own-child,Private
22282,42,HS-grad,Male,0,0,30,White,Husband,Federal-gov
22308,24,Some-college,Male,0,0,40,White,Own-child,Private
22362,52,Some-college,Male,0,0,40,White,Husband,Local-gov
22444,37,Some-college,Male,0,0,40,White,Husband,Private
22567,47,HS-grad,Female,0,0,4,White,Not-in-family,Private
22666,21,Some-college,Male,0,0,10,White,Own-child,Private
2280,21,Some-college,Female,0,0,20,White,Not-in-family,State-gov
2296,22,HS-grad,Male,0,0,20,White,Other-relative,Self-emp-not-inc
230,35,11th,Male,3674,0,40,Black,Not-in-family,Private
23154,34,HS-grad,Male,0,0,40,White,Husband,Private
23279,50,Masters,Female,0,0,40,White,Not-in-family,Private
23402,23,HS-grad,Female,0,0,40,White,Wife,Private
23406,35,HS-grad,Male,0,0,40,White,Husband,Private
23720,27,Bachelors,Male,0,0,40,White,Not-in-family,Private
23760,51,HS-grad,Male,0,1887,40,White,Husband,Private
23789,48,HS-grad,Female,0,1848,40,White,Wife,Local-gov
23840,26,HS-grad,Male,0,0,50,Asian-Pac-Islander,Other-relative,Self-emp-not-inc
24133,35,Some-college,Female,0,0,40,White,Own-child,?
24186,31,Some-college,Male,0,0,40,White,Husband,Private
24320,49,HS-grad,Male,0,1902,60,White,Husband,Self-emp-inc
24378,44,Some-college,Male,0,0,80,Asian-Pac-Islander,Husband,Self-emp-not-inc
24381,39,Bachelors,Male,0,0,50,White,Husband,Private
24420,43,10th,Male,0,0,40,Black,Not-in-family,Private
24442,54,Bachelors,Male,0,0,40,White,Husband,Private
24483,39,Masters,Male,0,0,99,Asian-Pac-Islander,Not-in-family,Self-emp-inc
24547,32,HS-grad,Male,0,0,60,White,Husband,Private
24729,37,HS-grad,Male,0,0,45,White,Husband,Private
24767,51,HS-grad,Female,0,0,40,White,Not-in-family,Private
24882,39,Some-college,Female,0,0,56,White,Unmarried,Private
2503,52,HS-grad,Female,0,0,50,White,Unmarried,Private
25040,18,12th,Female,0,0,20,White,Own-child,Private
25205,22,HS-grad,Male,0,0,24,Black,Own-child,Private
25284,47,HS-grad,Male,0,0,40,White,Husband,Private
25317,21,5th-6th,Male,0,0,40,White,Not-in-family,Private
25318,31,Some-college,Male,0,0,40,White,Husband,Private
25327,52,HS-grad,Male,0,0,48,White,Husband,Private
25497,26,Assoc-acdm,Female,0,0,32,White,Unmarried,Private
25757,25,Assoc-voc,Male,0,0,40,Amer-Indian-Eskimo,Unmarried,Private
25858,37,Assoc-voc,Male,0,0,40,White,Husband,Private
25869,35,Masters,Female,0,0,32,White,Unmarried,Private
26125,32,HS-grad,Male,0,0,40,White,Not-in-family,Private
26219,42,Masters,Male,0,0,45,White,Not-in-family,State-gov
26280,38,HS-grad,Male,0,0,55,White,Husband,Private
26339,32,Bachelors,Male,0,0,40,White,Husband,Private
26428,34,Some-college,Male,0,0,40,White,Husband,Private
26513,63,Bachelors,Female,0,0,45,Black,Wife,?
26659,20,Some-college,Female,0,0,20,Other,Own-child,Private
26803,53,Masters,Male,0,0,38,White,Husband,Local-gov
26906,46,Bachelors,Male,0,0,40,White,Husband,Private
26971,38,HS-grad,Male,0,0,40,White,Husband,Private
27028,43,Bachelors,Male,0,1887,40,White,Husband,Private
27057,32,10th,Male,0,0,45,White,Husband,Self-emp-not-inc
27130,22,HS-grad,Female,0,0,40,White,Unmarried,Private
27232,44,Assoc-voc,Male,8614,0,40,White,Not-in-family,Private
27236,30,HS-grad,Male,0,0,40,White,Husband,Private
27250,48,Some-college,Male,0,0,40,White,Not-in-family,Self-emp-not-inc
27432,30,Prof-school,Female,0,0,45,White,Wife,Private
27701,38,Masters,Female,0,0,40,White,Other-relative,State-gov
2787,20,Some-college,Female,0,0,50,White,Not-in-family,Private
27930,47,HS-grad,Female,0,0,60,White,Unmarried,Private
28203,33,Some-college,Male,0,0,40,White,Husband,Private
28508,35,Bachelors,Male,0,0,40,White,Not-in-family,Private
28623,33,11th,Male,0,0,65,White,Not-in-family,Private
28636,55,HS-grad,Male,0,0,40,White,Husband,Federal-gov
28724,38,HS-grad,Male,0,0,60,White,Husband,Private
28844,20,HS-grad,Male,0,0,60,White,Husband,Private
28887,37,HS-grad,Male,0,0,45,White,Husband,Self-emp-not-inc
29007,75,Masters,Male,0,0,16,White,Not-in-family,Private
29054,36,HS-grad,Male,0,0,52,White,Husband,Private
29131,58,Doctorate,Male,0,0,50,White,Husband,Private
29252,22,Some-college,Female,0,0,11,White,Own-child,Private
29322,60,1st-4th,Male,0,0,40,White,Husband,Private
29446,55,Some-college,Male,0,0,84,White,Husband,Private
29464,52,Bachelors,Male,0,0,40,White,Husband,Local-gov
29535,46,Assoc-voc,Male,0,0,40,White,Husband,Federal-gov
29537,46,Masters,Male,0,0,40,Amer-Indian-Eskimo,Not-in-family,Local-gov
296,37,Bachelors,Female,0,0,60,White,Not-in-family,Self-emp-inc
29747,41,Assoc-voc,Male,0,0,40,White,Not-in-family,Self-emp-not-inc
29790,37,Bachelors,Male,0,2824,40,White,Not-in-family,Private
30052,58,HS-grad,Female,0,0,40,White,Not-in-family,Private
30089,21,HS-grad,Male,0,0,50,White,Other-relative,Private
30104,55,Bachelors,Male,0,1887,40,White,Husband,Private
30170,40,12th,Male,0,0,40,White,Husband,Private
30289,24,Bachelors,Female,0,0,40,Asian-Pac-Islander,Own-child,Private
30327,21,Some-college,Female,0,0,20,White,Own-child,Private
30337,49,Some-college,Male,0,0,40,White,Husband,Private
30365,55,HS-grad,Male,0,0,53,White,Husband,Private
3046,54,Some-college,Male,0,0,30,White,Not-in-family,Private
30534,33,9th,Male,0,0,50,White,Not-in-family,Private
30582,34,HS-grad,Male,0,0,40,Black,Husband,Private
30931,57,HS-grad,Male,0,0,60,White,Husband,Self-emp-not-inc
31133,30,Some-college,Male,0,0,45,White,Own-child,Private
31144,41,Bachelors,Male,0,0,70,White,Husband,Private
31194,59,Some-college,Male,0,0,40,White,Husband,Self-emp-not-inc
31271,74,Some-college,Male,0,0,20,White,Husband,Private
3140,44,HS-grad,Male,0,0,65,White,Husband,Private
31412,47,Some-college,Female,0,0,50,White,Unmarried,Private
31468,35,Masters,Male,7298,0,40,Black,Husband,Private
3151,24,Bachelors,Male,0,0,15,White,Not-in-family,State-gov
31861,27,Some-college,Male,0,0,30,White,Husband,Private
3203,39,Bachelors,Female,0,0,30,White,Wife,Private
3261,26,HS-grad,Male,0,0,40,White,Not-in-family,Private
3415,61,Some-college,Male,0,0,40,White,Husband,Private
3716,44,Bachelors,Male,0,0,50,Black,Husband,Private
4254,41,Bachelors,Male,0,0,40,White,Not-in-family,Private
4357,22,HS-grad,Male,0,0,40,White,Own-child,Private
4371,29,HS-grad,Male,0,0,40,White,Husband,Private
4412,24,Assoc-acdm,Female,0,0,30,White,Own-child,Private
4449,56,10th,Male,0,0,56,White,Not-in-family,Private
4477,22,Some-college,Male,0,0,25,White,Husband,State-gov
4557,33,Bachelors,Female,0,0,40,White,Not-in-family,Private
4591,25,11th,Male,0,0,40,White,Own-child,Private
4709,38,Bachelors,Male,0,0,50,White,Husband,Private
4728,22,Bachelors,Female,0,0,43,White,Own-child,State-gov
4801,50,Masters,Male,0,0,40,White,Not-in-family,?
4849,47,Bachelors,Male,0,0,60,White,Husband,Self-emp-not-inc
5256,21,Bachelors,Female,0,0,20,White,Own-child,Private
5328,27,Bachelors,Male,0,0,40,White,Own-child,Private
5500,25,Bachelors,Male,0,0,50,White,Husband,Private
5568,47,Some-college,Male,7688,0,40,Black,Husband,Private
5599,29,Bachelors,Male,0,0,50,White,Not-in-family,Private
5795,35,Bachelors,Male,0,0,40,White,Husband,Private
5896,20,Some-college,Female,0,0,15,Asian-Pac-Islander,Own-child,Private
5904,34,HS-grad,Male,0,0,40,White,Husband,Private
5968,64,Doctorate,Male,7688,0,60,White,Husband,Self-emp-inc
6004,52,Assoc-acdm,Male,3103,0,48,White,Husband,Private
6082,43,Bachelors,Female,0,1887,70,White,Wife,Self-emp-not-inc
6156,20,Some-college,Male,0,0,16,White,Own-child,Private
6164,31,HS-grad,Male,0,0,50,White,Husband,Private
6342,70,Some-college,Male,0,0,30,White,Husband,?
6390,44,11th,Male,0,0,88,White,Husband,Self-emp-not-inc
6402,20,Some-college,Male,0,0,35,White,Not-in-family,Private
6452,26,HS-grad,Male,0,0,52,White,Not-in-family,Private
6497,36,HS-grad,Male,0,0,40,White,Husband,Private
6520,34,HS-grad,Male,0,0,40,White,Husband,Private
6549,30,Bachelors,Female,0,0,50,Asian-Pac-Islander,Not-in-family,?
6623,38,Assoc-acdm,Female,0,0,40,White,Unmarried,Private
6678,33,HS-grad,Male,0,0,45,White,Not-in-family,Private
669,24,9th,Male,0,1721,40,White,Not-in-family,Private
6872,52,Assoc-voc,Male,5013,0,40,White,Husband,Private
6880,49,Assoc-acdm,Male,15024,0,60,White,Husband,Private
6921,48,HS-grad,Female,0,0,40,Asian-Pac-Islander,Unmarried,Private
7096,46,Bachelors,Male,0,1590,40,White,Not-in-family,Private
7238,29,Bachelors,Female,0,1590,40,Other,Not-in-family,Private
7310,49,HS-grad,Female,0,0,8,Asian-Pac-Islander,Wife,Private
7351,37,HS-grad,Male,14344,0,40,White,Not-in-family,Private
7367,49,Some-college,Male,0,0,40,White,Husband,Federal-gov
7444,37,HS-grad,Female,0,0,60,White,Not-in-family,Private
7682,31,Some-college,Male,0,0,35,Black,Husband,Private
7723,24,Some-college,Male,0,0,40,Black,Not-in-family,Private
7787,20,Some-college,Female,0,0,25,White,Other-relative,?
7835,42,Bachelors,Female,0,0,50,White,Wife,Local-gov
7841,28,HS-grad,Female,0,0,50,White,Not-in-family,Private
7864,36,HS-grad,Male,3908,0,55,White,Husband,Private
789,21,HS-grad,Female,1055,0,40,White,Not-in-family,?
801,24,HS-grad,Male,0,1721,30,Black,Own-child,Private
8238,62,7th-8th,Male,0,0,40,White,Own-child,Private
8295,35,Some-college,Male,0,0,45,White,Own-child,Private
8375,26,Assoc-voc,Male,0,0,80,White,Husband,Private
8439,37,Assoc-voc,Female,0,0,40,White,Unmarried,Private
8590,27,Some-college,Female,0,0,40,White,Not-in-family,Private
8703,34,Some-college,Female,0,0,40,White,Not-in-family,Private
878,39,HS-grad,Male,0,0,40,White,Husband,Private
8808,47,Bachelors,Male,3137,0,40,White,Husband,Local-gov
8860,56,10th,Male,0,0,45,White,Not-in-family,Private
8973,90,Bachelors,Male,9386,0,15,White,Husband,Private
9051,25,Bachelors,Male,0,0,40,White,Own-child,Private
9182,46,Some-college,Male,0,0,48,White,Husband,Private
9243,22,Some-college,Female,0,0,18,White,Other-relative,Private
9252,41,5th-6th,Male,0,1579,40,Other,Husband,Private
9268,34,Some-college,Male,0,0,40,White,Husband,Local-gov
9344,34,Bachelors,Male,0,0,60,White,Husband,Federal-gov
9423,24,HS-grad,Male,0,0,40,White,Own-child,Private
9493,52,Some-college,Male,0,0,40,White,Husband,Private
9526,49,Assoc-acdm,Male,0,0,45,White,Husband,Private
9553,38,HS-grad,Male,0,0,48,Asian-Pac-Islander,Husband,Private
9679,37,HS-grad,Male,0,0,40,White,Husband,Private
9689,56,10th,Male,0,0,60,White,Husband,Self-emp-not-inc
9858,35,HS-grad,Male,0,1408,40,White,Not-in-family,Private
993,47,HS-grad,Male,0,0,50,White,Husband,Private
9933,25,HS-grad,Female,0,0,40,White,Not-in-family,Private
9936,67,HS-grad,Male,0,0,35,White,Husband,Self-emp-not-inc
