record_id,education,marital-status,occupation,race,sex,workclass,capital-gain,capital-loss,native-country
13034,HS-grad,Married-AF-spouse,Other-service,White,Female,Private,0,0,United-States
1309,HS-grad,Married-civ-spouse,Craft-repair,White,Female,Private,0,0,United-States
13305,Assoc-acdm,Never-married,Handlers-cleaners,White,Male,Private,0,0,?
13399,HS-grad,Divorced,Adm-clerical,White,Female,Local-gov,0,0,United-States
13417,11th,Never-married,Exec-managerial,White,Female,Private,0,0,United-States
13448,HS-grad,Married-civ-spouse,Craft-repair,White,Male,Private,15024,0,United-States
13484,HS-grad,Married-civ-spouse,Other-service,White,Female,Self-emp-not-inc,0,0,United-States
13654,Masters,Married-civ-spouse,Prof-specialty,White,Male,Local-gov,0,0,United-States
13701,HS-grad,Divorced,Machine-op-inspct,White,Female,Private,0,0,United-States
13788,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,State-gov,0,0,United-States
13809,HS-grad,Married-civ-spouse,Craft-repair,White,Male,Self-emp-not-inc,0,0,United-States
1385,Some-college,Never-married,Machine-op-inspct,White,Male,Private,0,0,United-States
13890,HS-grad,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,Private,0,0,Philippines
14037,Bachelors,Never-married,Adm-clerical,White,Male,Private,0,0,United-States
14040,HS-grad,Divorced,Adm-clerical,White,Female,Federal-gov,0,0,United-States
14215,Bachelors,Never-married,Prof-specialty,White,Female,Local-gov,0,0,United-States
14332,Some-college,Married-civ-spouse,Tech-support,White,Male,Private,0,0,United-States
1449,Some-college,Married-civ-spouse,Exec-managerial,White,Male,Self-emp-inc,0,0,United-States
1481,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,United-States
14995,Some-college,Divorced,Adm-clerical,White,Female,Private,0,0,United-States
1508,Some-college,Never-married,Adm-clerical,Black,Female,Private,0,0,United-States
15130,10th,Married-civ-spouse,?,White,Female,?,0,0,Cuba
15135,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,0,United-States
15196,Assoc-voc,Divorced,Transport-moving,White,Male,Private,0,0,United-States
15340,Bachelors,Never-married,Prof-specialty,White,Male,Private,0,0,United-States
15363,5th-6th,Married-civ-spouse,Other-service,White,Male,Private,0,0,United-States
15381,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,Private,0,0,United-States
15470,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Female,Private,7298,0,United-States
15503,HS-grad,Married-civ-spouse,Adm-clerical,Black,Female,Private,0,0,United-States
15632,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,United-States
15815,HS-grad,Married-civ-spouse,Machine-op-inspct,Black,Male,Private,0,0,United-States
15870,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
15881,HS-grad,Never-married,Adm-clerical,White,Female,Private,0,0,United-States
15941,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Male,Private,3908,0,United-States
16119,Some-college,Divorced,Other-service,White,Female,Private,0,0,United-States
16159,HS-grad,Married-civ-spouse,Transport-moving,White,Male,Private,0,0,United-States
16192,Bachelors,Never-married,Prof-specialty,Asian-Pac-Islander,Female,Private,0,0,Philippines
16233,HS-grad,Never-married,Craft-repair,White,Male,Self-emp-not-inc,0,0,United-States
16635,Masters,Widowed,Exec-managerial,White,Female,Self-emp-not-inc,0,0,?
16711,Some-college,Never-married,Sales,White,Female,Private,0,0,United-States
1682,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,Private,99999,0,United-States
16839,Some-college,Divorced,Tech-support,White,Male,Private,0,0,United-States
16844,Bachelors,Never-married,Prof-specialty,White,Female,Private,0,0,United-States
16892,HS-grad,Never-married,Prof-specialty,White,Male,Private,0,0,United-States
16979,Masters,Married-civ-spouse,Sales,White,Male,Private,0,0,United-States
17153,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,Private,0,0,United-States
17168,HS-grad,Married-civ-spouse,?,White,Male,?,0,0,United-States
1720,HS-grad,Divorced,Adm-clerical,White,Female,Private,0,0,United-States
17367,Masters,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
17519,Some-college,Never-married,Other-service,Black,Male,Private,0,0,United-States
17533,HS-grad,Married-civ-spouse,Craft-repair,White,Male,Local-gov,0,0,United-States
17558,Some-college,Married-civ-spouse,Adm-clerical,White,Male,Private,0,0,United-States
17617,HS-grad,Divorced,Other-service,White,Female,Private,0,0,United-States
17884,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,Private,0,0,United-States
17986,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
18001,Bachelors,Never-married,Exec-managerial,White,Male,Private,8614,0,United-States
18316,HS-grad,Never-married,Adm-clerical,White,Male,Private,0,0,United-States
18363,HS-grad,Never-married,Adm-clerical,White,Female,Private,0,0,United-States
18516,11th,Never-married,Other-service,White,Male,Private,0,0,United-States
18517,Some-college,Never-married,Farming-fishing,White,Male,Private,0,0,United-States
18578,HS-grad,Married-civ-spouse,Exec-managerial,White,Female,Private,0,0,United-States
18758,HS-grad,Married-civ-spouse,Craft-repair,White,Male,Self-emp-not-inc,0,0,United-States
18799,Some-college,Never-married,Sales,White,Female,Private,0,0,United-States
18928,Some-college,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,Columbia
18932,7th-8th,Married-civ-spouse,Transport-moving,White,Male,Private,0,0,United-States
19226,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,0,United-States
19339,HS-grad,Divorced,Transport-moving,White,Male,Local-gov,0,0,United-States
19552,Some-college,Divorced,Adm-clerical,White,Female,Private,0,0,United-States
1990,HS-grad,Never-married,Priv-house-serv,White,Female,Private,0,0,?
20219,Some-college,Divorced,Other-service,Black,Male,Private,0,0,United-States
20240,Bachelors,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,United-States
20513,Masters,Married-civ-spouse,Prof-specialty,White,Male,State-gov,0,1977,United-States
20673,12th,Divorced,Machine-op-inspct,White,Female,Private,0,0,United-States
20727,Some-college,Never-married,Sales,Black,Female,Private,0,0,United-States
20924,Prof-school,Widowed,Other-service,White,Male,Private,0,0,United-States
20933,10th,Married-civ-spouse,Handlers-cleaners,White,Male,Private,3942,0,United-States
21090,HS-grad,Married-civ-spouse,Protective-serv,White,Male,Local-gov,0,0,United-States
21216,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,State-gov,0,0,United-States
214,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,Self-emp-inc,0,0,United-States
21445,HS-grad,Married-spouse-absent,Other-service,White,Male,Private,0,0,Mexico
21731,Bachelors,Never-married,Exec-managerial,White,Female,Self-emp-not-inc,0,0,United-States
21968,HS-grad,Divorced,Machine-op-inspct,White,Female,Private,2174,0,United-States
22064,Some-college,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
22083,HS-grad,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,United-States
22152,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
22157,Assoc-acdm,Divorced,Exec-managerial,White,Female,Private,0,0,United-States
22246,Some-college,Married-civ-spouse,Adm-clerical,White,Female,Private,7298,0,United-States
22273,Masters,Widowed,Prof-specialty,White,Female,Federal-gov,0,0,United-States
22393,Some-college,Divorced,Machine-op-inspct,Other,Male,Private,0,0,Mexico
22481,Some-college,Widowed,Sales,White,Male,Self-emp-inc,0,0,United-States
22623,11th,Married-civ-spouse,Farming-fishing,White,Male,Self-emp-not-inc,0,0,United-States
22642,Some-college,Never-married,Exec-managerial,White,Male,Private,0,0,United-States
2273,Some-college,Married-civ-spouse,Sales,White,Male,Private,0,0,United-States
22748,Masters,Married-civ-spouse,Sales,White,Female,Self-emp-not-inc,0,1902,United-States
22812,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,Private,0,0,United-States
22813,Assoc-acdm,Never-married,Adm-clerical,White,Male,Federal-gov,0,0,United-States
22856,Some-college,Divorced,Craft-repair,White,Male,Private,0,0,United-States
22873,11th,Never-married,Transport-moving,White,Male,Private,0,0,United-States
22949,HS-grad,Divorced,Prof-specialty,White,Male,Private,0,0,United-States
23179,HS-grad,Never-married,Farming-fishing,White,Male,Private,2907,0,United-States
23191,Bachelors,Never-married,Sales,White,Male,Private,0,0,United-States
2332,11th,Married-civ-spouse,Transport-moving,White,Male,Self-emp-not-inc,7688,0,United-States
23323,Bachelors,Divorced,Prof-specialty,White,Male,Local-gov,0,0,United-States
23402,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Female,Private,0,0,United-States
23497,Some-college,Married-civ-spouse,Protective-serv,White,Male,State-gov,0,0,United-States
23561,HS-grad,Separated,Adm-clerical,White,Female,Private,0,0,United-States
23655,Bachelors,Divorced,Prof-specialty,White,Female,Local-gov,0,0,United-States
23842,Assoc-acdm,Divorced,Adm-clerical,White,Female,Private,0,0,United-States
23878,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,Local-gov,0,0,United-States
24016,HS-grad,Never-married,Handlers-cleaners,White,Male,Private,0,0,United-States
2402,7th-8th,Married-civ-spouse,Other-service,White,Male,Private,0,0,United-States
24119,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
24526,Some-college,Married-civ-spouse,Sales,White,Male,Private,0,0,United-States
24646,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,0,United-States
24697,HS-grad,Never-married,Sales,White,Female,Private,0,0,United-States
24798,HS-grad,Never-married,Other-service,White,Male,Private,0,0,United-States
24853,11th,Never-married,Other-service,White,Male,Private,0,0,Peru
24886,Bachelors,Divorced,Exec-managerial,White,Male,Self-emp-not-inc,0,0,United-States
24984,Some-college,Married-civ-spouse,Adm-clerical,White,Female,Private,0,1579,United-States
25010,Some-college,Never-married,Machine-op-inspct,Asian-Pac-Islander,Male,Private,0,0,Philippines
25072,HS-grad,Married-civ-spouse,Tech-support,White,Male,Federal-gov,0,0,France
25271,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,Private,0,0,Germany
25614,Some-college,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,United-States
25686,HS-grad,Never-married,Machine-op-inspct,White,Female,Private,0,0,United-States
25699,Some-college,Married-civ-spouse,Transport-moving,White,Male,Private,7298,0,United-States
25854,7th-8th,Married-civ-spouse,Sales,White,Male,Self-emp-not-inc,0,0,United-States
25866,Some-college,Married-civ-spouse,Sales,White,Male,Self-emp-inc,0,0,United-States
25960,HS-grad,Never-married,Exec-managerial,Black,Female,Private,0,0,United-States
25993,Assoc-acdm,Divorced,Adm-clerical,White,Female,Private,0,0,United-States
26114,Some-college,Divorced,Exec-managerial,White,Female,Private,0,0,United-States
26157,HS-grad,Never-married,Farming-fishing,White,Male,Private,0,0,United-States
26252,Some-college,Never-married,Sales,Black,Male,Private,0,0,United-States
26392,HS-grad,Divorced,Exec-managerial,White,Female,Private,0,0,United-States
26404,HS-grad,Married-civ-spouse,Sales,Black,Female,Private,0,0,United-States
26776,Some-college,Never-married,?,White,Male,?,0,0,United-States
26870,Assoc-acdm,Divorced,Craft-repair,White,Male,Private,0,0,United-States
27108,Masters,Never-married,Prof-specialty,White,Male,Private,0,0,United-States
27153,HS-grad,Divorced,Adm-clerical,White,Female,Private,0,0,United-States
27228,HS-grad,Married-AF-spouse,Other-service,White,Female,Private,0,0,United-States
27308,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,Self-emp-not-inc,0,0,United-States
27356,HS-grad,Married-civ-spouse,Transport-moving,White,Male,Private,0,0,United-States
27382,Some-college,Never-married,?,White,Female,?,0,0,United-States
27398,HS-grad,Married-civ-spouse,Protective-serv,White,Male,State-gov,0,0,United-States
27420,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,0,United-States
2768,HS-grad,Divorced,Sales,White,Female,Private,0,0,United-States
27742,HS-grad,Never-married,Adm-clerical,White,Female,Private,0,0,Mexico
27753,Bachelors,Married-civ-spouse,Sales,White,Male,Private,3103,0,United-States
27858,HS-grad,Divorced,Machine-op-inspct,White,Female,Private,0,0,United-States
27870,Some-college,Never-married,Farming-fishing,White,Male,Private,0,0,United-States
28041,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Female,Private,0,0,United-States
28084,HS-grad,Never-married,Adm-clerical,Black,Female,Private,2977,0,United-States
28147,HS-grad,Divorced,Craft-repair,White,Male,Private,0,0,United-States
28535,Bachelors,Never-married,Prof-specialty,White,Male,State-gov,0,0,United-States
28580,HS-grad,Never-married,Adm-clerical,White,Female,Private,0,0,United-States
28598,HS-grad,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,United-States
28621,Bachelors,Never-married,Other-service,White,Female,Private,0,0,United-States
28645,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Male,Private,15024,0,United-States
28692,Assoc-voc,Divorced,Exec-managerial,White,Male,Local-gov,0,0,United-States
28702,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,Federal-gov,0,0,United-States
28888,HS-grad,Never-married,Machine-op-inspct,White,Female,Private,0,0,United-States
29001,11th,Never-married,Craft-repair,White,Male,Private,0,0,United-States
29074,HS-grad,Never-married,Other-service,Black,Male,Private,0,0,United-States
29091,HS-grad,Never-married,Craft-repair,White,Male,Private,0,1974,United-States
29179,Some-college,Never-married,Other-service,White,Female,Private,0,0,United-States
29216,Some-college,Never-married,Handlers-cleaners,White,Male,Private,0,0,United-States
29244,HS-grad,Never-married,Craft-repair,White,Male,Private,0,0,United-States
29257,12th,Widowed,Exec-managerial,White,Female,Self-emp-inc,0,0,United-States
29274,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
29279,10th,Never-married,Other-service,White,Female,Local-gov,0,0,United-States
29313,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
29339,5th-6th,Married-civ-spouse,Machine-op-inspct,Black,Male,Private,0,0,United-States
29931,Some-college,Widowed,Adm-clerical,White,Female,Private,0,0,United-States
29984,Masters,Never-married,Tech-support,White,Male,State-gov,0,0,United-States
30287,HS-grad,Married-civ-spouse,Craft-repair,Black,Male,Private,0,0,United-States
30309,Some-college,Divorced,Machine-op-inspct,White,Male,Private,0,0,United-States
3032,Some-college,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,United-States
3034,HS-grad,Married-AF-spouse,Adm-clerical,White,Male,Private,0,0,United-States
3037,HS-grad,Divorced,Adm-clerical,White,Female,Private,0,0,United-States
30404,Bachelors,Divorced,Exec-managerial,White,Female,Private,0,0,United-States
30567,Assoc-acdm,Divorced,Prof-specialty,White,Male,Private,0,0,United-States
3057,10th,Married-civ-spouse,Exec-managerial,White,Male,Local-gov,0,0,United-States
3059,HS-grad,Married-civ-spouse,Transport-moving,White,Male,Private,0,0,United-States
30631,HS-grad,Married-civ-spouse,Transport-moving,White,Male,Local-gov,0,0,United-States
30789,HS-grad,Never-married,Protective-serv,White,Male,Private,0,0,United-States
30948,Assoc-voc,Married-civ-spouse,Sales,White,Male,Private,4386,0,United-States
3105,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,Private,99999,0,United-States
31202,HS-grad,Married-civ-spouse,Other-service,White,Male,Private,0,0,Poland
3123,Assoc-voc,Divorced,Adm-clerical,White,Female,Private,0,0,United-States
31246,HS-grad,Married-spouse-absent,Transport-moving,Black,Male,Private,0,0,United-States
31340,Some-college,Married-civ-spouse,Sales,White,Male,Private,0,0,United-States
31437,11th,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,United-States
31439,11th,Never-married,Handlers-cleaners,White,Male,Private,0,0,United-States
3144,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
31480,HS-grad,Married-civ-spouse,Other-service,White,Male,State-gov,0,0,United-States
31493,10th,Never-married,Transport-moving,White,Male,Private,0,0,United-States
31503,Some-college,Married-civ-spouse,Prof-specialty,White,Male,Private,0,0,United-States
31650,Bachelors,Never-married,Adm-clerical,White,Female,Private,0,0,United-States
31705,HS-grad,Married-civ-spouse,Transport-moving,White,Male,Self-emp-not-inc,0,0,United-States
31729,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
31836,Assoc-acdm,Married-civ-spouse,?,White,Male,?,0,0,United-States
32213,Bachelors,Never-married,Adm-clerical,White,Female,Private,0,0,?
32411,HS-grad,Never-married,Craft-repair,White,Male,Private,0,0,United-States
32556,Assoc-acdm,Married-civ-spouse,Tech-support,White,Female,Private,0,0,United-States
3391,Some-college,Never-married,Other-service,White,Female,Private,0,0,United-States
3439,Bachelors,Divorced,?,White,Female,?,0,0,United-States
3441,HS-grad,Never-married,Handlers-cleaners,White,Male,Private,0,0,United-States
3646,HS-grad,Married-civ-spouse,Sales,White,Female,Private,0,0,United-States
3862,Assoc-voc,Married-civ-spouse,Tech-support,White,Male,Private,0,1848,United-States
3896,Some-college,Divorced,Prof-specialty,White,Female,State-gov,0,0,United-States
422,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,State-gov,0,0,United-States
4339,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,Federal-gov,0,0,United-States
4372,Some-college,Never-married,Exec-managerial,White,Female,Private,0,0,United-States
443,Some-college,Married-civ-spouse,Prof-specialty,White,Male,Private,0,0,United-States
4443,HS-grad,Married-civ-spouse,Sales,White,Male,Private,0,0,United-States
4456,Masters,Married-civ-spouse,Prof-specialty,White,Male,State-gov,0,0,Canada
4515,HS-grad,Never-married,Adm-clerical,White,Male,Federal-gov,0,0,United-States
4516,HS-grad,Never-married,Adm-clerical,White,Female,Private,0,0,United-States
4624,HS-grad,Never-married,Sales,White,Female,Private,0,0,United-States
4631,Some-college,Never-married,Adm-clerical,White,Male,Private,0,0,United-States
4649,Some-college,Separated,Sales,Black,Female,Private,0,0,United-States
4651,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
473,HS-grad,Never-married,Transport-moving,White,Male,Private,0,0,United-States
4798,HS-grad,Never-married,Transport-moving,Asian-Pac-Islander,Male,Local-gov,0,0,United-States
4897,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,Private,0,1485,United-States
4956,Bachelors,Widowed,Exec-managerial,White,Male,Private,0,0,United-States
5107,Assoc-acdm,Never-married,Craft-repair,White,Male,Private,0,0,United-States
5241,Some-college,Married-spouse-absent,Other-service,White,Female,Private,0,0,Cuba
5275,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,Private,0,0,United-States
5515,Some-college,Never-married,Adm-clerical,White,Female,State-gov,0,0,United-States
5570,Some-college,Married-civ-spouse,Craft-repair,White,Male,Private,7298,0,United-States
5628,Some-college,Married-civ-spouse,Farming-fishing,White,Male,Private,0,0,United-States
5672,Some-college,Never-married,Sales,White,Male,Private,0,0,United-States
5682,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
5777,Some-college,Married-civ-spouse,Adm-clerical,White,Male,Private,0,2051,United-States
5798,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Male,Self-emp-inc,0,0,United-States
5880,Some-college,Married-civ-spouse,Transport-moving,White,Male,Private,0,0,United-States
6004,Assoc-acdm,Married-civ-spouse,Sales,White,Male,Private,3103,0,United-States
6548,Masters,Married-civ-spouse,Exec-managerial,White,Male,State-gov,0,0,United-States
6824,HS-grad,Married-civ-spouse,Other-service,White,Male,Private,0,0,United-States
7063,HS-grad,Divorced,Other-service,White,Female,Private,0,0,United-States
7139,HS-grad,Married-civ-spouse,Craft-repair,White,Male,Local-gov,0,0,United-States
7159,Some-college,Married-civ-spouse,Sales,White,Male,Private,0,0,United-States
7187,Some-college,Married-civ-spouse,Farming-fishing,White,Male,Self-emp-not-inc,0,0,United-States
7217,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,Private,0,0,United-States
7227,HS-grad,Widowed,Machine-op-inspct,Black,Female,Private,0,0,United-States
7256,HS-grad,Never-married,Adm-clerical,White,Female,Private,0,0,United-States
7412,Some-college,Never-married,Other-service,White,Male,Private,0,0,United-States
7502,Some-college,Separated,Other-service,White,Female,Private,0,0,United-States
7554,HS-grad,Married-civ-spouse,?,White,Male,?,0,0,United-States
7646,11th,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,United-States
7680,Assoc-voc,Separated,Exec-managerial,White,Female,Private,0,0,United-States
776,Some-college,Divorced,Adm-clerical,White,Female,Private,0,0,United-States
7836,10th,Never-married,Adm-clerical,White,Female,Private,2907,0,United-States
7878,Some-college,Married-civ-spouse,Tech-support,White,Female,Local-gov,7298,0,United-States
7934,Some-college,Married-civ-spouse,Other-service,White,Male,Private,0,0,United-States
8321,Some-college,Married-civ-spouse,Transport-moving,White,Male,Private,0,2603,United-States
8336,HS-grad,Divorced,Other-service,White,Female,Private,0,0,United-States
8342,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
8541,Bachelors,Married-civ-spouse,Protective-serv,White,Male,Local-gov,0,1902,United-States
8717,9th,Married-civ-spouse,Craft-repair,White,Male,State-gov,0,0,United-States
8735,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,White,Male,Private,2829,0,United-States
8772,HS-grad,Divorced,Other-service,Black,Female,Private,5455,0,United-States
8773,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,State-gov,0,0,United-States
8984,Some-college,Never-married,Tech-support,White,Female,Private,4101,0,United-States
8999,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,Private,0,0,United-States
9265,HS-grad,Married-civ-spouse,Sales,White,Male,Self-emp-not-inc,0,0,England
9311,Some-college,Married-civ-spouse,Exec-managerial,White,Male,Private,0,0,United-States
9424,Some-college,Divorced,Adm-clerical,Black,Female,Local-gov,0,0,United-States
9447,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Female,Self-emp-not-inc,0,0,United-States
9692,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Female,Private,0,0,United-States
97,Some-college,Married-civ-spouse,Sales,White,Male,Private,0,0,United-States
980,HS-grad,Never-married,Adm-clerical,White,Female,Private,0,0,United-States
