record_id,marital-status,relationship,sex,age,capital-loss,education,occupation,race,workclass
14937,Married-civ-spouse,Wife,Female,40,0,HS-grad,Other-service,Black,Private
15131,Divorced,Not-in-family,Male,53,0,Bachelors,Tech-support,Amer-Indian-Eskimo,Federal-gov
15245,Divorced,Not-in-family,Male,44,0,Some-college,Other-service,White,Self-emp-not-inc
15282,Divorced,Not-in-family,Male,36,0,11th,Transport-moving,White,Private
15313,Married-civ-spouse,Husband,Male,57,0,HS-grad,Craft-repair,White,Private
15603,Divorced,Own-child,Male,40,0,Bachelors,Sales,White,Private
15647,Divorced,Unmarried,Male,40,0,Assoc-voc,Craft-repair,White,Private
15683,Divorced,Unmarried,Female,44,0,Some-college,Adm-clerical,White,Local-gov
15771,Never-married,Own-child,Male,27,0,9th,Other-service,White,Private
15860,Married-civ-spouse,Husband,Male,62,0,7th-8th,?,White,?
15983,Married-civ-spouse,Wife,Female,26,0,Some-college,Machine-op-inspct,White,Private
16038,Never-married,Not-in-family,Female,24,0,11th,Adm-clerical,White,Private
16107,Married-civ-spouse,Husband,Male,41,0,Bachelors,Handlers-cleaners,White,Private
16112,Married-civ-spouse,Wife,Female,58,0,Some-college,Adm-clerical,White,Private
16132,Divorced,Not-in-family,Male,47,0,Assoc-acdm,Transport-moving,Black,Private
16150,Never-married,Own-child,Male,23,0,Some-college,Machine-op-inspct,Asian-Pac-Islander,Private
16255,Widowed,Unmarried,Female,64,0,11th,Tech-support,White,Private
16287,Married-civ-spouse,Husband,Male,50,0,Some-college,Craft-repair,White,Private
16370,Married-civ-spouse,Husband,Male,34,0,Masters,Prof-specialty,Black,Local-gov
16653,Never-married,Not-in-family,Female,30,0,Masters,Adm-clerical,Black,State-gov
16693,Married-civ-spouse,Husband,Male,21,0,HS-grad,Adm-clerical,White,Private
16753,Never-married,Own-child,Male,29,0,HS-grad,Transport-moving,White,Private
16820,Divorced,Unmarried,Female,27,0,Some-college,Adm-clerical,White,Private
16863,Married-civ-spouse,Husband,Male,35,0,Bachelors,Sales,White,Private
1696,Married-civ-spouse,Wife,Female,49,0,HS-grad,Exec-managerial,White,Private
17027,Widowed,Not-in-family,Male,78,0,HS-grad,Sales,White,Self-emp-inc
17035,Separated,Not-in-family,Female,51,0,Assoc-acdm,Other-service,Black,Private
17058,Never-married,Not-in-family,Male,28,0,Assoc-acdm,Exec-managerial,White,Private
17243,Divorced,Unmarried,Male,39,0,HS-grad,Craft-repair,White,Self-emp-inc
17314,Widowed,Unmarried,Female,76,0,Some-college,?,White,?
17355,Never-married,Not-in-family,Male,27,0,Assoc-voc,Craft-repair,White,Private
17454,Married-civ-spouse,Wife,Female,51,0,HS-grad,Adm-clerical,White,Private
17530,Divorced,Not-in-family,Female,38,0,HS-grad,Other-service,White,Private
17673,Never-married,Not-in-family,Male,19,0,HS-grad,Farming-fishing,White,Private
17683,Divorced,Unmarried,Female,36,0,HS-grad,Adm-clerical,Black,Private
17776,Never-married,Own-child,Male,21,0,Some-college,Handlers-cleaners,White,Private
17791,Never-married,Own-child,Female,18,0,HS-grad,Adm-clerical,White,Private
17973,Married-civ-spouse,Husband,Male,25,0,HS-grad,Tech-support,White,Private
18058,Never-married,Unmarried,Male,36,0,7th-8th,Craft-repair,Black,Self-emp-inc
18297,Married-civ-spouse,Husband,Male,43,0,HS-grad,Craft-repair,White,Private
18316,Never-married,Other-relative,Male,24,0,HS-grad,Adm-clerical,White,Private
18399,Married-civ-spouse,Husband,Male,39,0,Bachelors,Sales,White,Self-emp-inc
18542,Married-civ-spouse,Wife,Female,67,0,HS-grad,Prof-specialty,White,Self-emp-inc
18642,Married-civ-spouse,Husband,Male,42,0,Bachelors,Exec-managerial,White,Private
18717,Never-married,Not-in-family,Male,26,0,Some-college,Machine-op-inspct,Asian-Pac-Islander,Private
18976,Separated,Not-in-family,Female,24,0,Bachelors,Exec-managerial,White,Private
19014,Married-civ-spouse,Husband,Male,25,0,Bachelors,Prof-specialty,White,Private
19020,Married-civ-spouse,Husband,Male,29,0,HS-grad,Craft-repair,White,Private
19087,Never-married,Not-in-family,Male,31,0,Bachelors,Craft-repair,White,Self-emp-not-inc
1937,Married-spouse-absent,Unmarried,Female,35,0,Bachelors,Exec-managerial,White,Private
19414,Married-civ-spouse,Husband,Male,34,0,Bachelors,Exec-managerial,White,Private
19480,Married-civ-spouse,Husband,Male,46,0,Assoc-acdm,Exec-managerial,White,Local-gov
19539,Never-married,Unmarried,Female,21,0,12th,Handlers-cleaners,Black,Local-gov
19645,Married-civ-spouse,Husband,Male,43,0,Bachelors,Craft-repair,White,Private
1973,Married-civ-spouse,Husband,Male,30,0,HS-grad,Other-service,White,Private
19785,Never-married,Not-in-family,Male,30,0,Bachelors,Machine-op-inspct,White,Private
19922,Married-civ-spouse,Husband,Male,33,0,HS-grad,Transport-moving,White,Private
20016,Never-married,Own-child,Female,25,0,Some-college,Sales,White,Self-emp-inc
20067,Married-civ-spouse,Husband,Male,62,0,HS-grad,Transport-moving,White,Self-emp-not-inc
20257,Married-civ-spouse,Husband,Male,28,0,HS-grad,Exec-managerial,White,Self-emp-inc
20315,Divorced,Unmarried,Female,40,0,10th,Machine-op-inspct,White,Private
20336,Never-married,Unmarried,Female,24,0,Bachelors,Prof-specialty,White,Private
20347,Divorced,Not-in-family,Male,54,0,Some-college,Craft-repair,White,Private
20585,Divorced,Not-in-family,Female,47,0,HS-grad,Other-service,Black,Private
20937,Married-civ-spouse,Husband,Male,33,0,Bachelors,Exec-managerial,White,Private
20975,Married-civ-spouse,Husband,Male,63,0,Some-college,Protective-serv,White,State-gov
21044,Married-civ-spouse,Husband,Male,60,0,Some-college,Exec-managerial,White,Self-emp-inc
21047,Married-civ-spouse,Husband,Male,57,0,Some-college,Other-service,White,Self-emp-not-inc
2110,Married-civ-spouse,Husband,Male,30,0,HS-grad,Protective-serv,White,Private
21219,Married-civ-spouse,Husband,Male,50,0,HS-grad,Exec-managerial,White,Private
21287,Never-married,Own-child,Female,17,0,11th,Adm-clerical,White,Private
21339,Never-married,Other-relative,Male,30,0,HS-grad,Sales,White,Private
21350,Never-married,Other-relative,Male,18,0,11th,Prof-specialty,White,Private
21517,Married-civ-spouse,Husband,Male,31,0,Bachelors,Tech-support,White,Private
21576,Married-civ-spouse,Husband,Male,35,0,HS-grad,Exec-managerial,White,Private
21667,Divorced,Own-child,Male,41,0,HS-grad,Exec-managerial,White,Local-gov
21671,Married-civ-spouse,Husband,Male,51,0,HS-grad,Farming-fishing,White,Self-emp-not-inc
21989,Divorced,Own-child,Male,37,0,9th,Craft-repair,White,Private
22011,Married-civ-spouse,Husband,Male,53,0,Doctorate,Prof-specialty,White,State-gov
22041,Married-civ-spouse,Husband,Male,47,1887,Bachelors,Sales,White,Self-emp-not-inc
22226,Married-civ-spouse,Husband,Male,37,0,HS-grad,Farming-fishing,White,Private
22293,Married-civ-spouse,Husband,Male,45,1485,Bachelors,Farming-fishing,White,Self-emp-not-inc
22458,Married-civ-spouse,Wife,Female,39,0,Some-college,Other-service,White,Self-emp-not-inc
2246,Divorced,Not-in-family,Male,58,0,Masters,Sales,White,Self-emp-not-inc
22649,Married-civ-spouse,Husband,Male,40,0,Some-college,Machine-op-inspct,White,Private
22657,Married-civ-spouse,Husband,Male,51,0,HS-grad,Tech-support,White,Private
22789,Never-married,Own-child,Male,35,0,Some-college,Transport-moving,White,Private
22800,Married-civ-spouse,Husband,Male,32,0,Assoc-voc,Transport-moving,White,Private
23019,Married-civ-spouse,Husband,Male,70,0,Bachelors,?,Asian-Pac-Islander,?
23098,Married-civ-spouse,Husband,Male,40,0,10th,Craft-repair,White,Private
23188,Never-married,Other-relative,Female,30,0,Some-college,Adm-clerical,White,Private
23224,Divorced,Unmarried,Male,42,0,Bachelors,Adm-clerical,White,Private
23333,Never-married,Own-child,Female,17,0,11th,?,Black,?
23505,Married-civ-spouse,Husband,Male,42,0,Bachelors,Exec-managerial,White,Private
23545,Married-civ-spouse,Husband,Male,50,0,HS-grad,Exec-managerial,White,Self-emp-not-inc
23678,Married-civ-spouse,Husband,Male,69,0,Prof-school,Prof-specialty,White,Self-emp-not-inc
23680,Never-married,Own-child,Male,25,0,Bachelors,Craft-repair,White,Local-gov
23783,Married-civ-spouse,Husband,Male,60,0,Some-college,Sales,White,Private
23815,Married-civ-spouse,Husband,Male,71,2392,Bachelors,Exec-managerial,White,Self-emp-inc
23878,Married-civ-spouse,Husband,Male,51,0,Bachelors,Adm-clerical,White,Local-gov
23885,Divorced,Unmarried,Female,40,0,HS-grad,Exec-managerial,White,Private
23950,Married-civ-spouse,Husband,Male,37,0,Some-college,Transport-moving,White,Local-gov
24071,Married-civ-spouse,Husband,Male,39,0,HS-grad,Machine-op-inspct,White,Local-gov
2425,Married-civ-spouse,Husband,Male,34,0,HS-grad,Machine-op-inspct,White,Private
24351,Never-married,Not-in-family,Female,32,0,HS-grad,Exec-managerial,Black,Federal-gov
24407,Married-civ-spouse,Husband,Male,52,0,Some-college,Craft-repair,White,Private
24473,Widowed,Not-in-family,Male,61,0,7th-8th,Farming-fishing,Black,Private
24544,Never-married,Not-in-family,Male,26,0,Bachelors,Prof-specialty,White,Private
24653,Never-married,Unmarried,Female,36,0,Some-college,Other-service,White,Self-emp-not-inc
24767,Divorced,Not-in-family,Female,51,0,HS-grad,Other-service,White,Private
24781,Never-married,Own-child,Female,20,0,Some-college,?,White,?
24832,Never-married,Not-in-family,Male,26,0,Bachelors,Exec-managerial,White,Private
24863,Married-spouse-absent,Not-in-family,Male,61,0,12th,Prof-specialty,White,Private
25082,Married-civ-spouse,Husband,Male,41,0,Some-college,Sales,White,Private
25186,Married-civ-spouse,Husband,Male,63,0,HS-grad,?,White,?
25327,Married-civ-spouse,Husband,Male,52,0,HS-grad,Machine-op-inspct,White,Private
2556,Married-civ-spouse,Husband,Male,55,0,Bachelors,Sales,White,Private
25594,Never-married,Unmarried,Female,28,0,11th,Machine-op-inspct,White,Private
25726,Never-married,Other-relative,Female,43,0,HS-grad,?,White,?
25760,Divorced,Own-child,Male,48,0,HS-grad,Craft-repair,White,State-gov
25791,Never-married,Not-in-family,Male,27,0,Some-college,Craft-repair,Black,Private
26103,Married-civ-spouse,Husband,Male,33,0,HS-grad,Craft-repair,White,Private
26327,Married-civ-spouse,Husband,Male,56,0,Bachelors,Prof-specialty,White,Local-gov
2658,Married-civ-spouse,Husband,Male,49,0,HS-grad,Transport-moving,White,Private
26693,Married-civ-spouse,Husband,Male,34,0,Some-college,Prof-specialty,Black,Private
26747,Never-married,Own-child,Female,23,0,Some-college,Other-service,White,Private
26823,Married-civ-spouse,Wife,Female,36,0,Some-college,Other-service,White,Self-emp-not-inc
26955,Never-married,Not-in-family,Male,33,0,Some-college,Craft-repair,Black,Private
26968,Married-civ-spouse,Husband,Male,26,0,HS-grad,Other-service,White,Private
26969,Never-married,Own-child,Male,19,0,Some-college,Prof-specialty,White,State-gov
2699,Divorced,Not-in-family,Female,40,0,Masters,Prof-specialty,White,State-gov
27058,Married-civ-spouse,Wife,Female,30,0,12th,Adm-clerical,White,Local-gov
27077,Divorced,Unmarried,Female,55,0,9th,Craft-repair,White,Private
27108,Never-married,Not-in-family,Male,39,0,Masters,Prof-specialty,White,Private
27429,Never-married,Own-child,Female,17,1602,10th,Other-service,White,Private
27529,Never-married,Other-relative,Male,31,0,HS-grad,Craft-repair,White,Private
27545,Married-spouse-absent,Other-relative,Male,36,0,5th-6th,Craft-repair,White,Private
27628,Divorced,Unmarried,Female,44,0,HS-grad,Adm-clerical,Black,Private
27707,Never-married,Own-child,Male,17,0,10th,?,Black,?
27756,Never-married,Not-in-family,Female,24,0,Bachelors,Sales,White,Private
27797,Widowed,Unmarried,Female,61,0,HS-grad,Adm-clerical,White,Self-emp-not-inc
27870,Never-married,Own-child,Male,19,0,Some-college,Farming-fishing,White,Private
27889,Never-married,Own-child,Female,17,0,11th,Sales,White,Private
27898,Divorced,Not-in-family,Female,39,0,Some-college,?,White,?
27926,Married-civ-spouse,Husband,Male,55,1887,HS-grad,Tech-support,White,Federal-gov
27935,Divorced,Not-in-family,Male,57,0,9th,?,White,?
27940,Never-married,Own-child,Female,35,0,Bachelors,Sales,Black,Private
28048,Divorced,Unmarried,Female,27,0,Some-college,Machine-op-inspct,White,Private
28280,Never-married,Own-child,Female,17,0,11th,Sales,White,Private
28305,Divorced,Not-in-family,Male,38,0,HS-grad,Machine-op-inspct,White,Private
28316,Never-married,Not-in-family,Female,26,0,Some-college,Sales,White,Private
28431,Divorced,Unmarried,Female,43,0,Some-college,Exec-managerial,Black,State-gov
28602,Never-married,Other-relative,Female,40,0,Bachelors,Prof-specialty,White,Private
2863,Married-civ-spouse,Husband,Male,35,0,Bachelors,Prof-specialty,White,Private
28681,Divorced,Not-in-family,Female,54,0,Masters,Prof-specialty,White,Local-gov
28726,Widowed,Unmarried,Female,49,0,HS-grad,Adm-clerical,White,Private
28772,Widowed,Not-in-family,Female,67,0,11th,Other-service,White,Private
28822,Married-civ-spouse,Husband,Male,32,0,Some-college,Sales,White,Private
2899,Divorced,Unmarried,Female,22,0,HS-grad,Tech-support,White,Private
28993,Never-married,Not-in-family,Male,20,0,HS-grad,Craft-repair,White,Private
29112,Married-civ-spouse,Husband,Male,33,0,Bachelors,Prof-specialty,White,Local-gov
29142,Never-married,Not-in-family,Female,33,0,HS-grad,Adm-clerical,White,Private
29225,Never-married,Not-in-family,Male,27,0,Bachelors,Prof-specialty,White,Private
29240,Divorced,Other-relative,Male,31,0,HS-grad,Machine-op-inspct,White,Private
2926,Married-spouse-absent,Not-in-family,Male,35,0,HS-grad,Craft-repair,Asian-Pac-Islander,Private
29437,Married-civ-spouse,Husband,Male,43,0,10th,Transport-moving,White,Private
29476,Married-civ-spouse,Husband,Male,26,0,Some-college,Craft-repair,White,Private
29496,Never-married,Not-in-family,Female,20,0,HS-grad,Sales,Asian-Pac-Islander,Private
29534,Never-married,Not-in-family,Female,43,0,Doctorate,Prof-specialty,White,State-gov
29594,Widowed,Other-relative,Male,81,0,1st-4th,Sales,White,Self-emp-not-inc
2997,Divorced,Other-relative,Female,37,0,HS-grad,Machine-op-inspct,White,Private
30006,Married-civ-spouse,Husband,Male,43,1887,Masters,Prof-specialty,White,State-gov
30071,Divorced,Unmarried,Female,36,0,Assoc-voc,Adm-clerical,Black,Private
30073,Never-married,Own-child,Male,17,1719,11th,Handlers-cleaners,White,Private
30153,Married-civ-spouse,Wife,Female,30,0,HS-grad,Other-service,White,Private
30314,Married-civ-spouse,Husband,Male,59,0,Assoc-acdm,Craft-repair,White,Self-emp-inc
30489,Never-married,Not-in-family,Male,36,0,HS-grad,Transport-moving,White,Private
30506,Married-civ-spouse,Husband,Male,57,0,Some-college,Handlers-cleaners,Black,Local-gov
30529,Married-civ-spouse,Wife,Female,37,0,Some-college,Adm-clerical,White,Self-emp-not-inc
30630,Married-civ-spouse,Husband,Male,53,0,HS-grad,Other-service,Black,Private
30642,Married-civ-spouse,Husband,Male,38,0,Bachelors,Farming-fishing,White,Self-emp-not-inc
30698,Never-married,Not-in-family,Male,22,0,Some-college,?,White,?
30719,Divorced,Not-in-family,Male,38,0,10th,Craft-repair,White,Private
30886,Married-civ-spouse,Husband,Male,37,0,HS-grad,Craft-repair,White,Private
30902,Never-married,Own-child,Male,18,0,9th,Other-service,White,Private
31008,Married-civ-spouse,Husband,Male,47,0,Bachelors,Exec-managerial,White,State-gov
31127,Never-married,Own-child,Female,19,0,Some-college,Other-service,White,Private
31180,Widowed,Not-in-family,Male,75,0,Some-college,Sales,White,Self-emp-inc
31182,Married-civ-spouse,Husband,Male,47,0,Some-college,Craft-repair,White,Private
31222,Divorced,Unmarried,Female,30,0,Some-college,Adm-clerical,Black,Private
31260,Widowed,Unmarried,Female,49,0,Bachelors,Sales,White,Self-emp-not-inc
31412,Separated,Unmarried,Female,47,0,Some-college,Adm-clerical,White,Private
31431,Married-civ-spouse,Husband,Male,59,0,Some-college,Craft-repair,White,Self-emp-not-inc
31441,Never-married,Own-child,Male,23,0,Some-college,Handlers-cleaners,White,Private
31529,Never-married,Not-in-family,Female,23,0,Some-college,Adm-clerical,White,Private
31791,Married-civ-spouse,Husband,Male,46,0,Some-college,Exec-managerial,White,Self-emp-not-inc
31951,Married-civ-spouse,Husband,Male,37,0,11th,Transport-moving,White,Self-emp-not-inc
32075,Never-married,Not-in-family,Female,27,0,Masters,?,Other,?
3212,Married-civ-spouse,Husband,Male,49,2415,Bachelors,Sales,White,Private
32457,Married-civ-spouse,Husband,Male,33,0,Masters,Tech-support,Asian-Pac-Islander,Private
3451,Married-civ-spouse,Wife,Female,38,0,Bachelors,Prof-specialty,White,Private
346,Married-civ-spouse,Husband,Male,67,0,11th,?,White,?
3493,Married-civ-spouse,Wife,Female,35,0,HS-grad,Other-service,White,Private
3618,Never-married,Own-child,Male,17,0,HS-grad,Other-service,White,Private
370,Never-married,Unmarried,Female,26,0,Some-college,Adm-clerical,White,Federal-gov
3853,Never-married,Not-in-family,Male,20,0,12th,Other-service,White,Private
3923,Married-civ-spouse,Husband,Male,57,0,HS-grad,Other-service,Black,Private
4087,Married-civ-spouse,Husband,Male,36,0,Bachelors,Exec-managerial,White,Private
4228,Divorced,Unmarried,Female,38,0,Assoc-voc,Adm-clerical,Black,Private
4236,Married-civ-spouse,Husband,Male,75,0,Doctorate,Prof-specialty,White,Self-emp-not-inc
4323,Never-married,Not-in-family,Male,22,0,Some-college,Craft-repair,White,Self-emp-not-inc
4504,Divorced,Unmarried,Female,43,625,Bachelors,Prof-specialty,White,Local-gov
4569,Divorced,Unmarried,Female,36,0,HS-grad,Adm-clerical,White,Private
4670,Married-civ-spouse,Husband,Male,33,0,Some-college,Craft-repair,White,Private
4747,Married-civ-spouse,Husband,Male,42,0,Masters,Prof-specialty,White,Private
4883,Never-married,Not-in-family,Male,26,0,Some-college,Sales,White,Private
4909,Widowed,Unmarried,Female,55,0,Masters,Prof-specialty,White,Local-gov
5070,Never-married,Own-child,Male,20,0,Some-college,Prof-specialty,White,Private
5129,Married-civ-spouse,Husband,Male,60,0,Masters,Exec-managerial,White,Self-emp-not-inc
5135,Widowed,Unmarried,Male,42,0,7th-8th,Craft-repair,White,Private
5199,Divorced,Unmarried,Female,42,0,Assoc-acdm,Adm-clerical,White,Private
5341,Never-married,Own-child,Male,19,0,HS-grad,Machine-op-inspct,White,Private
5471,Widowed,Not-in-family,Male,60,0,HS-grad,?,White,?
5636,Married-spouse-absent,Not-in-family,Male,42,0,5th-6th,Craft-repair,White,Private
5662,Married-civ-spouse,Wife,Female,31,0,9th,Exec-managerial,White,Private
5720,Never-married,Own-child,Female,28,0,Bachelors,?,Black,?
5742,Separated,Unmarried,Female,42,0,HS-grad,Adm-clerical,White,Private
576,Never-married,Own-child,Male,18,0,12th,?,White,?
6149,Married-civ-spouse,Husband,Male,39,0,Assoc-acdm,Exec-managerial,White,Self-emp-inc
6157,Divorced,Not-in-family,Male,55,0,HS-grad,Craft-repair,White,Private
6226,Never-married,Not-in-family,Male,25,0,HS-grad,Prof-specialty,White,Self-emp-not-inc
6373,Married-civ-spouse,Husband,Male,47,0,HS-grad,Farming-fishing,White,Self-emp-not-inc
6429,Married-civ-spouse,Husband,Male,41,0,Masters,Exec-managerial,White,Private
6522,Never-married,Own-child,Male,20,0,Some-college,Sales,White,Private
6567,Never-married,Not-in-family,Female,19,0,11th,Adm-clerical,White,Self-emp-not-inc
6767,Divorced,Not-in-family,Female,57,0,HS-grad,Adm-clerical,White,Private
6798,Married-civ-spouse,Husband,Male,64,0,Some-college,?,White,?
6898,Married-spouse-absent,Not-in-family,Male,53,0,10th,Transport-moving,White,Self-emp-not-inc
6908,Never-married,Own-child,Female,35,2205,Some-college,Adm-clerical,White,Private
6992,Married-civ-spouse,Husband,Male,31,0,Assoc-acdm,Sales,White,Private
7087,Divorced,Not-in-family,Female,45,0,Masters,Exec-managerial,White,Private
7155,Divorced,Unmarried,Male,52,0,Masters,Prof-specialty,White,Private
7276,Never-married,Not-in-family,Male,30,0,HS-grad,Exec-managerial,White,Private
7326,Divorced,Not-in-family,Male,37,0,Assoc-acdm,Protective-serv,Black,State-gov
7366,Never-married,Unmarried,Male,19,0,7th-8th,Transport-moving,White,Private
7438,Married-civ-spouse,Husband,Male,36,0,5th-6th,Machine-op-inspct,White,Private
7492,Divorced,Not-in-family,Male,53,0,HS-grad,Transport-moving,White,Private
7565,Never-married,Unmarried,Male,34,0,HS-grad,Transport-moving,Black,Private
8027,Separated,Not-in-family,Female,45,0,Bachelors,Exec-managerial,White,Private
8136,Never-married,Own-child,Male,19,0,HS-grad,Transport-moving,White,Private
8266,Married-civ-spouse,Husband,Male,46,0,Bachelors,Exec-managerial,White,Private
8280,Never-married,Not-in-family,Female,55,0,Doctorate,Prof-specialty,White,Local-gov
84,Divorced,Not-in-family,Female,44,0,HS-grad,Craft-repair,White,Private
8756,Never-married,Not-in-family,Female,27,0,Bachelors,Prof-specialty,White,Private
8822,Widowed,Not-in-family,Female,69,0,HS-grad,?,White,?
8949,Widowed,Not-in-family,Female,60,0,Assoc-voc,?,White,?
9023,Married-civ-spouse,Husband,Male,30,0,Some-college,Machine-op-inspct,White,Private
9108,Married-civ-spouse,Husband,Male,54,0,Masters,Sales,White,Self-emp-not-inc
9155,Never-married,Not-in-family,Male,19,0,HS-grad,?,Other,?
9163,Never-married,Not-in-family,Female,41,0,Masters,Prof-specialty,White,Local-gov
9181,Widowed,Not-in-family,Female,34,0,Masters,Prof-specialty,White,Local-gov
9190,Married-civ-spouse,Husband,Male,44,0,Some-college,Other-service,White,Self-emp-not-inc
9261,Divorced,Not-in-family,Female,39,0,10th,Other-service,White,Private
9279,Married-civ-spouse,Wife,Female,31,0,HS-grad,Machine-op-inspct,White,Private
9281,Divorced,Unmarried,Female,38,0,7th-8th,Sales,White,Private
9363,Married-civ-spouse,Husband,Male,38,0,HS-grad,Other-service,White,Private
9615,Married-civ-spouse,Husband,Male,53,0,HS-grad,Craft-repair,White,Private
9731,Married-civ-spouse,Wife,Female,62,0,Some-college,Adm-clerical,White,Private
9851,Never-married,Own-child,Female,17,0,11th,Adm-clerical,White,Private
9878,Married-civ-spouse,Husband,Male,28,0,Some-college,Protective-serv,White,Local-gov
9960,Never-married,Other-relative,Male,19,0,HS-grad,Machine-op-inspct,White,Private
9978,Divorced,Own-child,Male,47,1876,HS-grad,Sales,White,Private
