record_id,education,native-country,occupation,race,relationship,workclass,age
30519,Bachelors,United-States,Prof-specialty,White,Wife,Local-gov,34
30554,Some-college,United-States,Adm-clerical,White,Not-in-family,Private,22
30605,Bachelors,United-States,Prof-specialty,White,Husband,Private,28
30630,HS-grad,United-States,Other-service,Black,Husband,Private,53
30637,HS-grad,United-States,Craft-repair,White,Husband,Private,32
30669,Bachelors,United-States,Exec-managerial,White,Husband,Self-emp-inc,41
30675,Assoc-acdm,United-States,Prof-specialty,Black,Unmarried,Private,44
30816,11th,United-States,Craft-repair,White,Not-in-family,Private,22
30924,7th-8th,Mexico,Other-service,White,Own-child,Private,39
30998,Bachelors,Mexico,Adm-clerical,White,Wife,Private,30
310,Bachelors,United-States,Sales,White,Not-in-family,Private,26
31178,HS-grad,United-States,?,White,Husband,?,64
31211,Some-college,United-States,Craft-repair,White,Husband,Private,36
31422,Some-college,United-States,Transport-moving,White,Own-child,Private,20
31516,Some-college,United-States,Protective-serv,White,Husband,Local-gov,42
31634,HS-grad,Philippines,Other-service,Asian-Pac-Islander,Own-child,Private,29
31730,Some-college,United-States,Sales,White,Husband,Private,50
31836,Assoc-acdm,United-States,?,White,Husband,?,80
3192,Some-college,United-States,Other-service,White,Not-in-family,Private,71
31940,HS-grad,United-States,Craft-repair,White,Husband,Self-emp-not-inc,68
3206,Bachelors,United-States,Exec-managerial,White,Husband,Local-gov,45
3216,Bachelors,United-States,Farming-fishing,White,Husband,Private,34
32210,Bachelors,United-States,Sales,White,Husband,Private,31
32220,11th,United-States,Sales,Black,Own-child,Private,19
3246,Assoc-voc,United-States,Sales,White,Not-in-family,Private,26
3265,Bachelors,United-States,Exec-managerial,White,Husband,Private,31
3332,HS-grad,United-States,Adm-clerical,White,Unmarried,Private,34
3345,11th,United-States,Machine-op-inspct,Black,Not-in-family,Private,45
3359,Masters,United-States,Exec-managerial,White,Not-in-family,Private,35
3541,Assoc-voc,United-States,Farming-fishing,White,Husband,Self-emp-not-inc,39
3557,Bachelors,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Private,41
3564,Some-college,United-States,Exec-managerial,White,Husband,Self-emp-not-inc,57
3694,Some-college,United-States,Other-service,White,Husband,Local-gov,37
3709,Bachelors,United-States,Prof-specialty,White,Wife,Local-gov,41
3715,Some-college,United-States,Adm-clerical,Asian-Pac-Islander,Own-child,Private,21
3810,Bachelors,United-States,Prof-specialty,Black,Not-in-family,Local-gov,46
4028,HS-grad,United-States,Other-service,White,Not-in-family,Private,26
4036,Bachelors,United-States,Exec-managerial,White,Own-child,Private,24
4045,Assoc-voc,United-States,Machine-op-inspct,White,Husband,Private,29
4117,HS-grad,United-States,Tech-support,White,Own-child,Private,50
4131,Some-college,United-States,Exec-managerial,White,Husband,Private,41
4208,Masters,United-States,Prof-specialty,White,Not-in-family,Local-gov,47
4274,Bachelors,United-States,Prof-specialty,White,Not-in-family,Local-gov,30
4607,Some-college,United-States,?,White,Unmarried,?,20
4619,Some-college,United-States,Protective-serv,White,Other-relative,State-gov,25
470,Some-college,United-States,Prof-specialty,White,Unmarried,Private,60
4709,Bachelors,United-States,Prof-specialty,White,Husband,Private,38
472,HS-grad,United-States,Craft-repair,White,Not-in-family,Private,35
5034,HS-grad,United-States,Farming-fishing,White,Husband,Self-emp-not-inc,50
5187,Assoc-voc,United-States,Prof-specialty,White,Not-in-family,Private,66
5236,Some-college,United-States,Tech-support,White,Husband,Private,38
5243,Assoc-voc,United-States,Prof-specialty,White,Unmarried,Private,50
5514,Bachelors,United-States,Prof-specialty,White,Not-in-family,Local-gov,33
5539,Some-college,United-States,Exec-managerial,White,Not-in-family,Self-emp-inc,21
5598,HS-grad,United-States,Handlers-cleaners,White,Own-child,Private,24
5640,12th,United-States,Other-service,Black,Husband,Private,35
5710,Some-college,United-States,Adm-clerical,White,Husband,Private,41
5894,Assoc-acdm,United-States,Protective-serv,White,Husband,Local-gov,30
5912,HS-grad,United-States,Exec-managerial,White,Not-in-family,Private,25
5962,Some-college,United-States,Exec-managerial,White,Own-child,State-gov,38
5985,HS-grad,United-States,Exec-managerial,White,Husband,Private,58
6118,HS-grad,United-States,Transport-moving,White,Not-in-family,Private,22
6269,Bachelors,Philippines,Prof-specialty,Asian-Pac-Islander,Other-relative,Private,24
635,HS-grad,United-States,Other-service,White,Own-child,Private,19
6484,HS-grad,United-States,Prof-specialty,White,Husband,Federal-gov,54
6552,HS-grad,United-States,Transport-moving,White,Husband,Private,37
6710,Bachelors,United-States,Prof-specialty,White,Not-in-family,State-gov,25
6769,Bachelors,United-States,Adm-clerical,White,Husband,Local-gov,33
6806,Some-college,United-States,Sales,White,Own-child,Private,18
684,11th,United-States,Adm-clerical,White,Own-child,State-gov,18
6992,Assoc-acdm,United-States,Sales,White,Husband,Private,31
7029,Some-college,Canada,Transport-moving,White,Husband,Private,52
7104,Bachelors,United-States,Prof-specialty,White,Husband,Private,43
7132,Some-college,United-States,Adm-clerical,White,Own-child,Private,20
7229,Bachelors,United-States,Sales,White,Unmarried,Private,41
7365,11th,United-States,Sales,White,Own-child,Self-emp-not-inc,28
7457,HS-grad,United-States,?,White,Own-child,?,22
7566,Assoc-voc,United-States,Sales,White,Husband,Private,27
7979,Masters,United-States,Prof-specialty,White,Husband,Private,48
804,11th,United-States,Sales,White,Own-child,Private,17
8117,Prof-school,United-States,Prof-specialty,White,Husband,Self-emp-not-inc,35
818,HS-grad,United-States,Transport-moving,White,Husband,Private,64
8306,Some-college,United-States,Sales,White,Own-child,Private,25
8319,9th,United-States,Transport-moving,White,Not-in-family,Private,50
833,HS-grad,United-States,Exec-managerial,White,Husband,Self-emp-not-inc,73
8506,Some-college,United-States,Sales,White,Husband,Private,27
8661,Some-college,United-States,Exec-managerial,White,Unmarried,Private,37
8727,Assoc-voc,United-States,Adm-clerical,White,Not-in-family,Private,23
8823,HS-grad,United-States,Protective-serv,White,Husband,Private,32
8879,Bachelors,United-States,Prof-specialty,White,Husband,Private,34
9055,Bachelors,United-States,Other-service,White,Not-in-family,Private,74
9312,HS-grad,United-States,Craft-repair,White,Not-in-family,Private,50
9456,Assoc-voc,United-States,Protective-serv,Black,Own-child,Private,31
