record_id,age,education,occupation,workclass,capital-loss,marital-status,native-country,race,relationship
15832,60,Doctorate,Prof-specialty,State-gov,1902,Married-civ-spouse,United-States,White,Husband
16007,26,Masters,Prof-specialty,State-gov,0,Never-married,United-States,White,Not-in-family
16017,41,Assoc-acdm,Exec-managerial,Private,0,Married-civ-spouse,India,Black,Husband
16152,39,Masters,Sales,Private,0,Never-married,United-States,White,Not-in-family
16159,55,HS-grad,Transport-moving,Private,0,Married-civ-spouse,United-States,White,Husband
16265,56,Masters,Prof-specialty,Local-gov,0,Widowed,United-States,White,Not-in-family
16306,27,HS-grad,Adm-clerical,Private,1887,Married-civ-spouse,United-States,Black,Wife
16327,51,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
16383,45,Some-college,Adm-clerical,Private,0,Divorced,United-States,White,Not-in-family
16459,22,HS-grad,Sales,Private,0,Married-civ-spouse,United-States,White,Wife
1646,33,Some-college,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,Black,Husband
16595,28,Masters,?,?,0,Never-married,United-States,Black,Not-in-family
16602,68,HS-grad,?,?,0,Married-civ-spouse,United-States,White,Husband
16778,43,Masters,Exec-managerial,Private,0,Married-civ-spouse,India,Asian-Pac-Islander,Husband
16799,29,HS-grad,Exec-managerial,Private,0,Never-married,United-States,White,Not-in-family
16843,36,Assoc-voc,Tech-support,State-gov,0,Married-civ-spouse,Hong,Asian-Pac-Islander,Husband
17033,49,Some-college,Sales,Private,0,Married-civ-spouse,United-States,White,Husband
17047,57,11th,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
17306,30,Bachelors,Exec-managerial,Private,0,Never-married,Germany,White,Not-in-family
17418,35,Bachelors,Sales,Private,0,Married-civ-spouse,United-States,White,Husband
17462,63,HS-grad,?,?,0,Married-civ-spouse,United-States,White,Husband
17579,37,HS-grad,Craft-repair,Self-emp-inc,0,Married-civ-spouse,United-States,White,Husband
17599,55,Bachelors,Sales,Self-emp-inc,0,Divorced,Germany,White,Not-in-family
17877,55,9th,Machine-op-inspct,Private,0,Married-civ-spouse,Philippines,Asian-Pac-Islander,Other-relative
18024,22,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
18027,64,Bachelors,Prof-specialty,Private,0,Widowed,United-States,White,Not-in-family
18120,20,Some-college,Handlers-cleaners,Private,0,Never-married,United-States,White,Own-child
18124,32,9th,Other-service,Private,0,Separated,Mexico,Other,Unmarried
18148,36,Assoc-acdm,Exec-managerial,Private,0,Divorced,United-States,White,Not-in-family
18247,41,Bachelors,Exec-managerial,Private,0,Married-civ-spouse,Yugoslavia,White,Husband
18313,58,HS-grad,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
18352,47,Bachelors,Adm-clerical,Private,0,Married-civ-spouse,United-States,White,Husband
18502,25,10th,Machine-op-inspct,Private,0,Married-civ-spouse,Guatemala,White,Husband
18522,52,Masters,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Husband
18923,48,Some-college,?,?,0,Never-married,United-States,White,Not-in-family
19039,44,Bachelors,Sales,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
19071,62,Some-college,Adm-clerical,Private,0,Never-married,United-States,White,Not-in-family
19082,51,HS-grad,Handlers-cleaners,Private,0,Married-civ-spouse,United-States,White,Husband
19088,43,Bachelors,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Husband
19188,27,11th,Craft-repair,Private,0,Never-married,United-States,White,Not-in-family
19264,60,Masters,Exec-managerial,Local-gov,0,Married-civ-spouse,United-States,White,Husband
19318,24,Bachelors,?,?,0,Never-married,United-States,White,Not-in-family
19324,68,Assoc-acdm,Exec-managerial,Private,0,Divorced,United-States,White,Not-in-family
19417,44,Masters,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Wife
19499,45,Bachelors,Adm-clerical,Private,0,Married-civ-spouse,United-States,White,Husband
19558,43,11th,Transport-moving,Private,0,Never-married,United-States,White,Not-in-family
19608,33,Bachelors,Prof-specialty,Private,1408,Never-married,United-States,White,Not-in-family
1982,31,Bachelors,Exec-managerial,Private,0,Never-married,United-States,Black,Not-in-family
20395,36,Assoc-acdm,Craft-repair,Private,0,Never-married,United-States,White,Not-in-family
20459,32,Bachelors,Adm-clerical,Local-gov,0,Married-civ-spouse,United-States,White,Wife
20796,30,HS-grad,Machine-op-inspct,Private,0,Never-married,United-States,White,Not-in-family
20860,45,Some-college,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
20917,52,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
21011,21,9th,Handlers-cleaners,Private,0,Never-married,Mexico,White,Other-relative
21152,44,Some-college,?,?,0,Divorced,Poland,White,Unmarried
21247,30,HS-grad,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Husband
21564,41,Some-college,Sales,Private,0,Married-civ-spouse,United-States,White,Husband
21602,45,Masters,Exec-managerial,Private,0,Married-civ-spouse,United-States,Black,Husband
21938,36,Some-college,Exec-managerial,Self-emp-inc,0,Married-civ-spouse,United-States,White,Husband
22033,42,HS-grad,?,?,0,Married-civ-spouse,Dominican-Republic,White,Husband
22174,41,Bachelors,Exec-managerial,Private,0,Married-civ-spouse,Japan,Asian-Pac-Islander,Husband
22327,30,Assoc-acdm,Machine-op-inspct,Private,0,Never-married,United-States,Black,Unmarried
22576,33,7th-8th,Handlers-cleaners,Private,0,Separated,Haiti,Black,Not-in-family
22691,49,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
22782,34,HS-grad,Craft-repair,Private,0,Married-civ-spouse,Germany,White,Husband
23063,36,Assoc-acdm,Tech-support,Private,0,Never-married,United-States,White,Unmarried
23175,46,9th,Craft-repair,Private,0,Separated,United-States,White,Unmarried
23359,24,Bachelors,Prof-specialty,Private,0,Married-civ-spouse,United-States,White,Husband
23539,29,HS-grad,Other-service,Private,0,Separated,United-States,White,Not-in-family
23562,55,Bachelors,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Husband
23608,23,HS-grad,Adm-clerical,Private,0,Never-married,United-States,White,Unmarried
23740,62,HS-grad,Other-service,Local-gov,0,Divorced,United-States,White,Not-in-family
2407,42,11th,Other-service,Private,0,Married-civ-spouse,United-States,White,Wife
24233,28,HS-grad,Adm-clerical,Private,0,Married-civ-spouse,United-States,White,Husband
24403,24,Some-college,Sales,Private,0,Never-married,United-States,White,Own-child
24490,42,HS-grad,Craft-repair,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
24512,28,11th,Adm-clerical,Private,0,Married-civ-spouse,Mexico,White,Wife
24611,46,Assoc-voc,Exec-managerial,Private,0,Never-married,United-States,White,Own-child
24682,42,HS-grad,Craft-repair,Private,0,Divorced,United-States,White,Unmarried
24798,36,HS-grad,Other-service,Private,0,Never-married,United-States,White,Not-in-family
24911,64,HS-grad,Prof-specialty,Private,0,Widowed,United-States,White,Not-in-family
24915,46,Assoc-acdm,Craft-repair,Private,1485,Married-civ-spouse,United-States,White,Husband
24942,25,Bachelors,Adm-clerical,Private,0,Never-married,United-States,White,Own-child
25020,34,HS-grad,Handlers-cleaners,Private,0,Married-civ-spouse,United-States,White,Wife
25032,30,Some-college,Farming-fishing,Private,0,Never-married,United-States,Black,Other-relative
25097,57,Bachelors,Exec-managerial,Local-gov,0,Divorced,United-States,White,Not-in-family
25149,33,7th-8th,Farming-fishing,Private,0,Never-married,Mexico,White,Not-in-family
25260,46,Bachelors,Sales,Private,0,Divorced,United-States,White,Not-in-family
25329,28,HS-grad,Transport-moving,Private,0,Married-civ-spouse,United-States,White,Husband
25399,40,Bachelors,Exec-managerial,Private,1902,Married-civ-spouse,United-States,White,Husband
25501,38,Doctorate,Prof-specialty,State-gov,0,Married-civ-spouse,United-States,White,Husband
25549,67,Doctorate,Prof-specialty,State-gov,0,Married-civ-spouse,?,Black,Husband
25597,61,11th,Exec-managerial,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
25667,31,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
25670,29,HS-grad,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
25676,53,HS-grad,Exec-managerial,Private,0,Divorced,United-States,Black,Not-in-family
25749,49,Some-college,Adm-clerical,Private,0,Married-civ-spouse,United-States,White,Husband
26010,68,HS-grad,Exec-managerial,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
26036,38,HS-grad,Farming-fishing,Self-emp-not-inc,0,Divorced,United-States,White,Own-child
26138,51,Prof-school,Prof-specialty,Local-gov,0,Widowed,United-States,White,Not-in-family
26424,29,HS-grad,Craft-repair,Private,0,Never-married,United-States,White,Not-in-family
26510,34,Assoc-acdm,Adm-clerical,Private,0,Divorced,United-States,White,Own-child
26634,53,HS-grad,Priv-house-serv,Private,0,Divorced,United-States,White,Not-in-family
26690,48,HS-grad,Transport-moving,Private,0,Married-civ-spouse,United-States,White,Husband
26747,23,Some-college,Other-service,Private,0,Never-married,United-States,White,Own-child
26752,38,Bachelors,Tech-support,Private,1977,Married-civ-spouse,United-States,White,Husband
26946,50,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
27091,37,Some-college,Exec-managerial,State-gov,0,Married-civ-spouse,United-States,White,Husband
27125,72,Masters,Prof-specialty,Private,0,Never-married,United-States,White,Not-in-family
27281,39,HS-grad,Exec-managerial,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
27308,50,Doctorate,Prof-specialty,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
27475,67,Some-college,?,?,0,Married-civ-spouse,United-States,White,Husband
27652,61,HS-grad,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Husband
278,25,Some-college,Tech-support,Private,0,Never-married,United-States,White,Own-child
2788,27,Masters,Prof-specialty,State-gov,0,Never-married,Germany,White,Not-in-family
27883,60,7th-8th,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Wife
27955,34,HS-grad,Craft-repair,Private,0,Married-civ-spouse,Germany,White,Husband
27983,46,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
28110,34,HS-grad,Adm-clerical,Self-emp-inc,0,Married-civ-spouse,United-States,White,Husband
28144,21,Some-college,?,?,0,Never-married,United-States,White,Own-child
28158,23,HS-grad,Machine-op-inspct,Private,0,Never-married,United-States,White,Own-child
28402,53,Some-college,Handlers-cleaners,Federal-gov,0,Divorced,United-States,White,Not-in-family
28548,68,HS-grad,?,?,0,Married-civ-spouse,United-States,White,Wife
2872,46,Bachelors,Craft-repair,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
28729,70,Prof-school,Prof-specialty,Self-emp-inc,0,Married-civ-spouse,United-States,White,Husband
28839,29,HS-grad,Craft-repair,Private,0,Never-married,United-States,White,Not-in-family
28905,32,Some-college,Machine-op-inspct,Private,0,Divorced,United-States,White,Unmarried
28980,45,Doctorate,Prof-specialty,Self-emp-inc,0,Married-civ-spouse,United-States,White,Husband
29025,56,9th,Exec-managerial,Self-emp-not-inc,0,Married-civ-spouse,Columbia,White,Other-relative
29112,33,Bachelors,Prof-specialty,Local-gov,0,Married-civ-spouse,United-States,White,Husband
2927,52,HS-grad,Machine-op-inspct,Private,0,Divorced,United-States,Black,Own-child
29323,46,Bachelors,Transport-moving,Private,0,Married-civ-spouse,?,White,Husband
29324,67,Masters,?,?,0,Widowed,United-States,White,Not-in-family
29618,44,HS-grad,Adm-clerical,Private,0,Divorced,United-States,White,Unmarried
29930,28,HS-grad,Craft-repair,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
29996,48,Assoc-voc,Other-service,Private,0,Married-civ-spouse,Philippines,Asian-Pac-Islander,Husband
30146,41,HS-grad,Craft-repair,Private,0,Never-married,United-States,White,Not-in-family
30426,56,Prof-school,Prof-specialty,Self-emp-inc,0,Married-civ-spouse,United-States,White,Husband
30596,34,Bachelors,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Wife
30624,35,Some-college,?,?,0,Never-married,United-States,White,Unmarried
30715,31,Bachelors,Sales,Private,0,Married-civ-spouse,United-States,White,Husband
30726,47,HS-grad,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
30796,40,Bachelors,Prof-specialty,Local-gov,0,Never-married,United-States,White,Unmarried
31086,53,HS-grad,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Husband
31117,30,HS-grad,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
3120,54,Some-college,Adm-clerical,Private,0,Divorced,United-States,White,Unmarried
31201,21,Some-college,?,?,0,Never-married,Germany,White,Own-child
31328,31,HS-grad,Other-service,Private,0,Married-civ-spouse,United-States,White,Husband
31553,42,Some-college,Adm-clerical,State-gov,0,Divorced,United-States,Black,Unmarried
31725,30,Some-college,Adm-clerical,Private,0,Divorced,United-States,Black,Unmarried
31742,44,Bachelors,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Husband
31797,36,Some-college,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
31822,32,HS-grad,Adm-clerical,Private,0,Separated,United-States,White,Unmarried
31840,55,HS-grad,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
31874,30,HS-grad,Machine-op-inspct,Private,0,Never-married,United-States,White,Not-in-family
31896,22,Some-college,Transport-moving,Private,0,Never-married,United-States,White,Own-child
31945,32,9th,Farming-fishing,Private,0,Married-civ-spouse,United-States,Black,Husband
32143,33,HS-grad,Tech-support,Private,0,Never-married,United-States,White,Not-in-family
32261,30,HS-grad,Sales,Private,0,Never-married,United-States,White,Own-child
32273,24,Assoc-acdm,Prof-specialty,Private,0,Never-married,United-States,Black,Own-child
32289,24,Assoc-voc,Transport-moving,Private,0,Never-married,United-States,White,Not-in-family
3246,26,Assoc-voc,Sales,Private,0,Never-married,United-States,White,Not-in-family
32509,32,HS-grad,Sales,Private,0,Separated,United-States,White,Not-in-family
3281,31,Doctorate,Prof-specialty,Local-gov,0,Never-married,Mexico,White,Not-in-family
3339,31,HS-grad,Craft-repair,Private,0,Widowed,United-States,White,Unmarried
3358,41,HS-grad,Adm-clerical,Private,0,Married-civ-spouse,United-States,White,Husband
3493,35,HS-grad,Other-service,Private,0,Married-civ-spouse,United-States,White,Wife
3716,44,Bachelors,Exec-managerial,Private,0,Married-civ-spouse,United-States,Black,Husband
3867,68,HS-grad,Handlers-cleaners,Private,0,Married-civ-spouse,United-States,White,Husband
3949,45,HS-grad,?,?,0,Separated,United-States,White,Unmarried
4153,47,Bachelors,Sales,Self-emp-inc,0,Never-married,United-States,White,Not-in-family
4307,54,Some-college,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
4428,58,Bachelors,Adm-clerical,Private,0,Married-civ-spouse,Mexico,White,Husband
4514,37,Bachelors,Exec-managerial,Federal-gov,0,Divorced,United-States,White,Other-relative
4610,30,HS-grad,Craft-repair,Private,0,Married-civ-spouse,Laos,Asian-Pac-Islander,Husband
4649,48,Some-college,Sales,Private,0,Separated,United-States,Black,Unmarried
471,22,Some-college,?,?,0,Never-married,United-States,White,Own-child
4888,43,Bachelors,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Husband
4996,31,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
5094,33,HS-grad,Machine-op-inspct,Private,0,Divorced,United-States,White,Not-in-family
5101,47,Masters,Exec-managerial,State-gov,0,Married-civ-spouse,United-States,White,Husband
5205,30,Bachelors,Prof-specialty,Private,0,Never-married,Iran,White,Not-in-family
5309,41,Some-college,Craft-repair,Private,3004,Never-married,?,White,Unmarried
5463,53,10th,Machine-op-inspct,Private,0,Married-spouse-absent,Columbia,White,Not-in-family
5549,51,Masters,Prof-specialty,Local-gov,0,Married-civ-spouse,United-States,White,Husband
571,51,HS-grad,Prof-specialty,Private,0,Married-civ-spouse,United-States,White,Husband
5732,22,Some-college,Prof-specialty,Private,0,Never-married,United-States,White,Own-child
5734,49,1st-4th,Craft-repair,Private,0,Married-civ-spouse,Portugal,White,Husband
5880,28,Some-college,Transport-moving,Private,0,Married-civ-spouse,United-States,White,Husband
5912,25,HS-grad,Exec-managerial,Private,0,Never-married,United-States,White,Not-in-family
6047,42,Bachelors,Sales,Private,0,Never-married,United-States,White,Unmarried
6230,31,HS-grad,Handlers-cleaners,Private,0,Married-civ-spouse,United-States,White,Husband
6310,41,Bachelors,Tech-support,Private,0,Married-civ-spouse,United-States,White,Wife
6414,37,Bachelors,Prof-specialty,Private,0,Married-civ-spouse,United-States,White,Husband
6426,42,Some-college,Sales,Private,0,Married-civ-spouse,United-States,White,Husband
6434,54,Some-college,Craft-repair,Private,0,Divorced,United-States,White,Unmarried
6489,21,HS-grad,Sales,Private,0,Never-married,United-States,White,Own-child
6562,44,Some-college,Transport-moving,Private,0,Married-civ-spouse,United-States,White,Husband
6625,72,Some-college,Exec-managerial,Self-emp-inc,0,Married-civ-spouse,United-States,White,Husband
6848,63,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
6857,45,Bachelors,Sales,Private,0,Divorced,United-States,White,Not-in-family
693,20,Some-college,Prof-specialty,Private,0,Never-married,United-States,White,Own-child
6956,46,Some-college,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
715,31,HS-grad,Other-service,Private,0,Separated,United-States,Black,Unmarried
7158,27,HS-grad,Sales,Private,0,Divorced,United-States,White,Own-child
7177,38,Some-college,Machine-op-inspct,Private,2258,Separated,United-States,White,Not-in-family
7314,21,HS-grad,Craft-repair,Private,0,Never-married,United-States,White,Not-in-family
7490,41,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
7551,46,Some-college,Exec-managerial,State-gov,0,Never-married,United-States,White,Not-in-family
7597,48,Some-college,Prof-specialty,State-gov,0,Never-married,United-States,Black,Not-in-family
7787,20,Some-college,?,?,0,Never-married,United-States,White,Other-relative
7841,28,HS-grad,Exec-managerial,Private,0,Never-married,United-States,White,Not-in-family
811,22,Some-college,?,?,0,Never-married,United-States,Black,Own-child
8116,41,Bachelors,Craft-repair,Self-emp-not-inc,0,Separated,United-States,White,Not-in-family
817,56,Some-college,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
8193,34,Assoc-voc,?,?,0,Married-civ-spouse,United-States,White,Husband
8223,48,Bachelors,Sales,Private,0,Married-civ-spouse,United-States,White,Husband
8330,53,Some-college,Exec-managerial,Private,0,Separated,United-States,Amer-Indian-Eskimo,Unmarried
8475,47,HS-grad,Exec-managerial,Private,0,Divorced,United-States,White,Unmarried
8541,42,Bachelors,Protective-serv,Local-gov,1902,Married-civ-spouse,United-States,White,Husband
8766,42,Masters,Prof-specialty,Local-gov,0,Divorced,United-States,White,Not-in-family
8797,28,HS-grad,Craft-repair,Private,0,Never-married,United-States,White,Own-child
8852,45,HS-grad,Exec-managerial,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
8857,46,Bachelors,Exec-managerial,Private,0,Never-married,United-States,White,Not-in-family
8875,36,Some-college,Sales,Private,0,Divorced,United-States,White,Unmarried
9096,26,11th,Transport-moving,Private,0,Married-civ-spouse,United-States,White,Husband
9145,44,Prof-school,Prof-specialty,Local-gov,0,Never-married,United-States,White,Not-in-family
9148,21,HS-grad,?,?,0,Never-married,United-States,White,Not-in-family
9203,21,Assoc-acdm,Prof-specialty,Private,0,Never-married,United-States,White,Not-in-family
9223,47,HS-grad,Tech-support,Private,0,Never-married,United-States,White,Other-relative
9323,49,Bachelors,Farming-fishing,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
9327,22,Assoc-voc,Craft-repair,Private,0,Never-married,United-States,White,Not-in-family
9396,54,HS-grad,Sales,Private,0,Married-civ-spouse,United-States,White,Husband
9560,42,Some-college,Craft-repair,Local-gov,0,Divorced,United-States,White,Not-in-family
9619,34,HS-grad,Sales,Private,0,Married-civ-spouse,United-States,White,Husband
9685,20,Some-college,Sales,Private,0,Never-married,United-States,White,Not-in-family
9852,53,HS-grad,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
9881,53,Some-college,Adm-clerical,Private,0,Divorced,United-States,White,Unmarried
9989,35,9th,Handlers-cleaners,Private,0,Married-civ-spouse,United-States,White,Husband
