record_id,education,native-country,workclass,age,capital-gain,capital-loss,hours-per-week,occupation,relationship
12925,11th,United-States,Private,22,0,0,40,Adm-clerical,Not-in-family
12982,Bachelors,United-States,Federal-gov,49,0,0,40,Exec-managerial,Husband
13012,Assoc-voc,United-States,Private,39,0,0,49,Handlers-cleaners,Husband
13030,HS-grad,United-States,Private,54,0,0,40,Other-service,Unmarried
13032,Some-college,United-States,Private,32,0,0,40,Adm-clerical,Own-child
13176,HS-grad,United-States,Private,43,0,0,42,Craft-repair,Husband
13370,Masters,United-States,?,38,15024,0,2,?,Wife
13446,Bachelors,United-States,Private,35,0,0,40,Adm-clerical,Not-in-family
13564,Some-college,United-States,Private,21,0,0,40,Machine-op-inspct,Unmarried
13686,HS-grad,United-States,Private,50,0,0,40,Handlers-cleaners,Husband
13807,11th,United-States,Private,17,0,0,15,Sales,Own-child
14040,HS-grad,United-States,Federal-gov,40,0,0,22,Adm-clerical,Unmarried
14150,HS-grad,United-States,Self-emp-not-inc,69,0,0,33,Sales,Husband
14190,7th-8th,United-States,Private,69,0,0,20,Other-service,Husband
14198,HS-grad,United-States,Private,61,0,0,40,Craft-repair,Husband
14252,Bachelors,United-States,Private,24,0,0,35,Prof-specialty,Own-child
14269,HS-grad,United-States,Self-emp-not-inc,34,0,0,60,Exec-managerial,Not-in-family
14284,10th,United-States,Self-emp-inc,17,0,0,35,Other-service,Own-child
14339,Some-college,United-States,Federal-gov,43,0,0,40,Handlers-cleaners,Not-in-family
14482,HS-grad,United-States,Private,67,0,0,40,Machine-op-inspct,Other-relative
14593,Bachelors,United-States,Private,27,0,0,99,Exec-managerial,Own-child
14624,Bachelors,United-States,Private,44,10520,0,40,Prof-specialty,Own-child
14692,HS-grad,United-States,?,20,0,0,25,?,Own-child
14915,Assoc-voc,United-States,Self-emp-not-inc,43,0,0,40,Craft-repair,Husband
15032,Some-college,United-States,Private,35,0,0,40,Adm-clerical,Not-in-family
15109,11th,United-States,Private,53,0,0,40,Machine-op-inspct,Husband
15317,Some-college,United-States,Private,53,0,0,22,Adm-clerical,Other-relative
15347,Masters,United-States,Private,32,0,0,40,Exec-managerial,Husband
15366,HS-grad,United-States,Private,31,0,0,65,Craft-repair,Husband
15386,Some-college,United-States,Private,45,0,0,40,Exec-managerial,Unmarried
15488,Some-college,United-States,Private,43,0,0,40,Craft-repair,Husband
15496,HS-grad,Germany,Private,67,15831,0,16,Adm-clerical,Not-in-family
15597,Assoc-acdm,United-States,Private,32,0,0,50,Machine-op-inspct,Not-in-family
15610,Assoc-acdm,United-States,Private,32,0,880,36,Prof-specialty,Unmarried
15626,Prof-school,United-States,Private,59,0,0,50,Prof-specialty,Not-in-family
15873,HS-grad,United-States,Private,58,0,0,40,Craft-repair,Husband
16329,Some-college,United-States,Private,20,0,0,40,Craft-repair,Own-child
16469,11th,United-States,Private,18,0,0,20,Sales,Own-child
16482,Doctorate,United-States,Self-emp-inc,42,0,0,45,Prof-specialty,Husband
16529,12th,United-States,Private,23,0,0,38,Other-service,Not-in-family
16571,11th,United-States,Private,59,0,0,40,Craft-repair,Husband
16682,Bachelors,United-States,Self-emp-inc,78,9386,0,45,Exec-managerial,Husband
16696,Masters,United-States,State-gov,44,0,0,40,Exec-managerial,Husband
1684,HS-grad,United-States,Self-emp-not-inc,20,0,0,80,Transport-moving,Own-child
1709,Masters,United-States,Private,43,0,1902,40,Exec-managerial,Husband
17276,10th,United-States,Private,21,0,0,40,Craft-repair,Husband
17300,Assoc-acdm,United-States,State-gov,41,0,0,36,Prof-specialty,Unmarried
17323,Assoc-voc,United-States,Federal-gov,39,0,0,50,Prof-specialty,Husband
17412,Bachelors,China,?,33,0,0,40,?,Wife
17416,HS-grad,United-States,Private,59,0,0,40,Adm-clerical,Not-in-family
17558,Some-college,United-States,Private,32,0,0,50,Adm-clerical,Husband
17675,Some-college,United-States,Self-emp-not-inc,68,20051,0,40,Sales,Husband
17741,Bachelors,United-States,Private,44,15024,0,55,Transport-moving,Husband
17761,Bachelors,United-States,Private,66,0,0,40,Other-service,Husband
18060,Masters,United-States,Local-gov,55,0,0,50,Exec-managerial,Husband
18176,HS-grad,United-States,Private,24,0,0,40,Craft-repair,Husband
18597,HS-grad,United-States,Federal-gov,59,0,0,40,Craft-repair,Husband
18736,HS-grad,United-States,Self-emp-not-inc,58,0,0,40,Exec-managerial,Husband
18798,HS-grad,United-States,Private,21,0,0,37,Other-service,Own-child
18838,HS-grad,United-States,Private,29,0,0,40,Craft-repair,Husband
18885,Some-college,United-States,Federal-gov,46,0,0,40,Adm-clerical,Not-in-family
18886,HS-grad,United-States,Private,54,0,0,44,Sales,Husband
18915,Masters,United-States,Self-emp-not-inc,31,0,0,25,Tech-support,Not-in-family
1893,Masters,United-States,Private,34,0,0,55,Prof-specialty,Husband
19056,Some-college,United-States,State-gov,42,0,0,38,Adm-clerical,Own-child
19152,HS-grad,United-States,Private,58,0,0,40,Exec-managerial,Husband
19259,Assoc-acdm,United-States,Self-emp-not-inc,25,0,0,50,Sales,Not-in-family
19367,Prof-school,United-States,Local-gov,43,15024,0,45,Prof-specialty,Husband
19414,Bachelors,?,Private,34,0,0,50,Exec-managerial,Husband
19488,Assoc-voc,United-States,Private,32,0,0,40,Exec-managerial,Unmarried
19592,HS-grad,United-States,Local-gov,28,0,0,40,Craft-repair,Husband
19620,HS-grad,United-States,?,64,0,0,10,?,Husband
19631,Bachelors,United-States,Private,34,0,0,40,Prof-specialty,Husband
1995,Some-college,United-States,Private,44,0,0,50,Machine-op-inspct,Not-in-family
19993,HS-grad,United-States,Private,21,0,0,40,Adm-clerical,Own-child
20078,HS-grad,United-States,Private,48,0,0,48,Handlers-cleaners,Other-relative
20204,HS-grad,United-States,Private,18,0,0,20,Sales,Own-child
20293,11th,United-States,Private,47,0,0,8,Craft-repair,Own-child
2042,Some-college,United-States,Private,41,0,0,16,Farming-fishing,Husband
20447,Some-college,United-States,Private,37,0,0,65,Craft-repair,Husband
20510,Assoc-voc,United-States,Local-gov,36,0,0,53,Protective-serv,Husband
20655,10th,United-States,Private,55,0,0,60,Transport-moving,Not-in-family
20704,Assoc-acdm,United-States,Private,60,0,0,40,Adm-clerical,Husband
20706,Bachelors,United-States,Private,41,0,0,45,Prof-specialty,Not-in-family
20735,Prof-school,United-States,State-gov,37,0,0,39,Prof-specialty,Wife
21070,Some-college,United-States,Private,20,0,0,14,Adm-clerical,Own-child
21100,Bachelors,United-States,Private,24,0,0,20,Prof-specialty,Own-child
21270,Some-college,United-States,Private,37,0,0,45,Sales,Husband
21696,HS-grad,United-States,Federal-gov,37,0,0,40,Adm-clerical,Husband
218,Bachelors,United-States,Private,45,0,0,55,Prof-specialty,Husband
21810,Assoc-voc,United-States,Private,21,0,0,40,Protective-serv,Not-in-family
21964,Bachelors,United-States,Private,37,0,0,40,Other-service,Not-in-family
22010,Some-college,United-States,Private,33,7298,0,21,Prof-specialty,Wife
22019,HS-grad,United-States,Private,20,0,0,40,Craft-repair,Own-child
22037,Bachelors,United-States,Private,25,3325,0,48,Sales,Not-in-family
2221,HS-grad,United-States,State-gov,57,0,0,35,Other-service,Not-in-family
22269,Bachelors,United-States,Private,42,0,0,55,Prof-specialty,Wife
22304,Assoc-acdm,United-States,Private,32,0,0,45,Adm-clerical,Not-in-family
22382,11th,United-States,Private,52,0,0,20,Machine-op-inspct,Not-in-family
22468,HS-grad,United-States,Self-emp-not-inc,42,0,0,60,Sales,Husband
2250,Bachelors,United-States,Private,39,0,0,48,Exec-managerial,Unmarried
22588,HS-grad,United-States,Private,36,0,0,50,Craft-repair,Husband
22636,HS-grad,United-States,Private,21,0,0,40,Other-service,Not-in-family
22678,Some-college,United-States,Private,31,0,0,40,Exec-managerial,Own-child
22796,HS-grad,United-States,Self-emp-not-inc,57,0,0,60,Other-service,Husband
22897,HS-grad,United-States,Private,24,0,0,50,Exec-managerial,Not-in-family
2309,HS-grad,United-States,State-gov,64,0,0,38,Adm-clerical,Not-in-family
23134,7th-8th,United-States,Self-emp-inc,60,0,0,60,Sales,Husband
23260,Bachelors,United-States,Private,37,7688,0,45,Exec-managerial,Wife
23308,Bachelors,United-States,Private,39,0,1902,50,Prof-specialty,Husband
23434,Assoc-acdm,?,Private,32,0,0,40,Prof-specialty,Not-in-family
23435,Bachelors,United-States,Federal-gov,29,0,0,40,Prof-specialty,Not-in-family
23525,Some-college,United-States,Private,41,0,0,43,Transport-moving,Not-in-family
2365,Some-college,United-States,Private,47,0,0,35,Other-service,Not-in-family
23655,Bachelors,United-States,Local-gov,27,0,0,40,Prof-specialty,Other-relative
23788,5th-6th,Mexico,Private,21,0,0,40,Other-service,Husband
23846,HS-grad,United-States,Private,42,0,0,40,Machine-op-inspct,Not-in-family
23947,Some-college,Philippines,Private,19,0,0,18,Sales,Own-child
23993,Bachelors,United-States,Local-gov,28,0,0,60,Prof-specialty,Not-in-family
2408,HS-grad,United-States,Private,45,3325,0,40,Adm-clerical,Not-in-family
24198,HS-grad,United-States,Private,36,0,0,40,Exec-managerial,Not-in-family
2427,Some-college,United-States,?,20,0,0,36,?,Own-child
24312,HS-grad,United-States,State-gov,20,0,0,40,Other-service,Other-relative
24639,HS-grad,United-States,Private,18,0,0,25,Other-service,Not-in-family
24667,12th,United-States,Private,17,0,0,20,Sales,Own-child
24915,Assoc-acdm,United-States,Private,46,0,1485,55,Craft-repair,Husband
25037,Prof-school,United-States,Private,35,0,0,55,Prof-specialty,Husband
25264,Bachelors,United-States,Private,53,0,0,40,Adm-clerical,Unmarried
25803,Bachelors,United-States,Private,62,0,0,20,Sales,Husband
25875,HS-grad,United-States,Private,62,0,0,40,Handlers-cleaners,Other-relative
25888,HS-grad,United-States,Private,40,0,0,40,Exec-managerial,Husband
26040,HS-grad,United-States,?,29,0,0,40,?,Not-in-family
26073,HS-grad,United-States,Self-emp-not-inc,51,0,0,40,Sales,Husband
26136,Bachelors,United-States,Private,44,0,0,32,Prof-specialty,Unmarried
26164,Some-college,United-States,Private,29,0,0,45,Prof-specialty,Not-in-family
26232,Bachelors,United-States,Private,51,0,0,50,Prof-specialty,Not-in-family
26311,Some-college,United-States,State-gov,35,0,0,40,Farming-fishing,Own-child
26416,10th,United-States,?,17,0,0,40,?,Own-child
26497,Bachelors,United-States,Private,25,0,0,35,Tech-support,Husband
26516,HS-grad,Nicaragua,Private,43,0,0,60,Other-service,Husband
26721,HS-grad,United-States,Self-emp-not-inc,41,0,0,60,Farming-fishing,Husband
26875,Some-college,United-States,Private,20,0,0,40,Machine-op-inspct,Own-child
26954,HS-grad,United-States,Private,46,0,0,43,Adm-clerical,Unmarried
26955,Some-college,United-States,Private,33,0,0,40,Craft-repair,Not-in-family
27022,HS-grad,United-States,?,63,0,1485,40,?,Husband
27118,Bachelors,United-States,Private,60,15024,0,45,Exec-managerial,Husband
2729,HS-grad,United-States,Private,21,0,0,35,Other-service,Own-child
27358,Masters,United-States,Self-emp-not-inc,40,99999,0,50,Exec-managerial,Husband
27468,Prof-school,United-States,Private,48,0,0,13,Sales,Not-in-family
27496,Some-college,United-States,Private,19,0,1721,25,Sales,Own-child
27641,Masters,United-States,State-gov,41,0,0,75,Prof-specialty,Husband
27924,Assoc-voc,United-States,Private,42,0,0,40,Machine-op-inspct,Husband
27943,Some-college,United-States,Private,34,0,0,35,Sales,Other-relative
27983,HS-grad,United-States,Private,46,0,0,50,Craft-repair,Husband
28081,HS-grad,United-States,Private,31,0,0,50,Transport-moving,Husband
28193,Some-college,United-States,Private,21,0,2377,48,Exec-managerial,Husband
28265,HS-grad,United-States,Private,19,0,0,35,Craft-repair,Other-relative
28287,Bachelors,United-States,Self-emp-not-inc,43,0,0,50,Prof-specialty,Unmarried
28300,Assoc-acdm,United-States,Private,40,0,0,42,Tech-support,Husband
2831,Some-college,United-States,Private,39,0,0,48,Exec-managerial,Husband
28435,HS-grad,United-States,Private,20,0,0,40,Adm-clerical,Own-child
28440,Some-college,United-States,Private,20,0,0,30,Exec-managerial,Own-child
28579,HS-grad,Haiti,Private,43,0,0,40,Other-service,Not-in-family
28585,Bachelors,United-States,Private,38,4508,0,40,Transport-moving,Husband
28768,HS-grad,United-States,Private,28,4064,0,45,Transport-moving,Husband
28857,HS-grad,United-States,Private,48,0,0,45,Craft-repair,Unmarried
2890,HS-grad,United-States,Private,40,0,0,40,Other-service,Own-child
28968,7th-8th,United-States,Private,29,0,0,55,Craft-repair,Unmarried
29143,Bachelors,United-States,Private,43,0,0,40,Other-service,Husband
29185,Some-college,United-States,Private,48,0,0,38,Craft-repair,Unmarried
29221,HS-grad,United-States,Private,20,0,0,40,Sales,Unmarried
29258,HS-grad,United-States,Self-emp-not-inc,36,0,0,40,Craft-repair,Not-in-family
29365,Bachelors,United-States,Private,25,0,0,40,Adm-clerical,Own-child
29378,HS-grad,Mexico,Private,22,0,0,40,Machine-op-inspct,Own-child
29549,Some-college,United-States,Self-emp-not-inc,48,0,0,65,Sales,Unmarried
2964,HS-grad,United-States,Private,27,0,0,45,Craft-repair,Own-child
29657,Assoc-voc,United-States,Private,55,5178,0,50,Transport-moving,Husband
29777,Assoc-acdm,?,Private,26,0,0,40,Craft-repair,Other-relative
2990,Some-college,United-States,Private,20,0,0,25,Prof-specialty,Own-child
30026,11th,United-States,Private,17,0,0,22,Other-service,Other-relative
3003,Some-college,United-States,Private,33,0,0,25,Sales,Not-in-family
3017,Bachelors,United-States,Federal-gov,55,0,0,40,Prof-specialty,Husband
30259,HS-grad,United-States,Federal-gov,39,7688,0,52,Adm-clerical,Husband
30328,10th,United-States,Private,17,0,0,26,Handlers-cleaners,Own-child
30520,HS-grad,Peru,Private,21,0,0,40,Machine-op-inspct,Own-child
30687,10th,United-States,?,63,0,0,40,?,Husband
30704,Assoc-voc,United-States,Private,37,0,0,40,Other-service,Not-in-family
3075,Some-college,United-States,Private,18,0,0,15,Sales,Own-child
3078,Some-college,United-States,State-gov,23,0,0,40,Other-service,Own-child
3084,Some-college,United-States,Private,23,0,0,30,Handlers-cleaners,Own-child
3118,5th-6th,Mexico,Private,19,0,0,36,Farming-fishing,Not-in-family
31237,HS-grad,United-States,Private,18,0,0,33,Sales,Own-child
31398,Bachelors,United-States,Private,31,0,0,55,Exec-managerial,Husband
3140,HS-grad,United-States,Private,44,0,0,65,Craft-repair,Husband
31445,HS-grad,United-States,Self-emp-not-inc,54,0,0,35,Craft-repair,Husband
31520,HS-grad,United-States,Private,38,0,0,55,Craft-repair,Husband
3172,Some-college,United-States,State-gov,41,0,0,40,Prof-specialty,Not-in-family
3186,Bachelors,United-States,Private,35,0,0,50,Sales,Husband
31936,Some-college,United-States,Self-emp-inc,50,0,1485,40,Sales,Husband
32010,HS-grad,United-States,Private,31,0,0,40,Machine-op-inspct,Husband
32114,Masters,United-States,Private,40,0,0,40,Exec-managerial,Husband
3224,Prof-school,United-States,Self-emp-not-inc,57,15024,0,35,Sales,Wife
32320,HS-grad,Mexico,Private,37,0,0,72,Craft-repair,Husband
32323,HS-grad,United-States,Private,32,0,0,40,Craft-repair,Husband
32416,Assoc-acdm,United-States,Private,33,0,1902,50,Craft-repair,Husband
32458,Bachelors,United-States,Private,36,0,1977,45,Prof-specialty,Husband
32491,HS-grad,United-States,Private,33,0,0,40,Adm-clerical,Unmarried
3353,HS-grad,United-States,Private,49,7688,0,45,Craft-repair,Husband
3616,Bachelors,United-States,Private,26,0,0,40,Exec-managerial,Not-in-family
363,Bachelors,United-States,Private,43,0,1564,45,Exec-managerial,Not-in-family
3673,Assoc-acdm,Germany,Private,39,7688,0,60,Craft-repair,Husband
3741,HS-grad,United-States,Private,37,0,0,40,Adm-clerical,Husband
3858,Bachelors,?,Private,31,0,0,40,Prof-specialty,Unmarried
3861,HS-grad,United-States,Local-gov,51,0,0,40,Transport-moving,Unmarried
3982,Bachelors,Ireland,Private,50,0,0,36,Prof-specialty,Unmarried
3986,HS-grad,United-States,Private,30,0,0,40,Adm-clerical,Not-in-family
4085,HS-grad,Peru,Private,37,0,0,50,Other-service,Other-relative
4106,Bachelors,United-States,Private,40,0,0,45,Sales,Not-in-family
4359,Bachelors,United-States,Private,22,8614,0,40,Prof-specialty,Not-in-family
4386,Some-college,United-States,Federal-gov,53,0,0,40,Craft-repair,Not-in-family
4406,Some-college,United-States,Private,19,0,0,25,Adm-clerical,Own-child
4452,Bachelors,United-States,Self-emp-inc,25,0,0,40,Adm-clerical,Own-child
4568,HS-grad,United-States,Private,18,34095,0,3,Protective-serv,Own-child
4661,Bachelors,United-States,Private,45,0,0,52,Sales,Husband
4708,Some-college,United-States,Private,19,0,0,20,Other-service,Own-child
4709,Bachelors,United-States,Private,38,0,0,50,Prof-specialty,Husband
480,Assoc-acdm,Portugal,Private,33,0,0,45,Craft-repair,Husband
4835,10th,United-States,?,28,0,0,40,?,Unmarried
4866,HS-grad,El-Salvador,Private,33,0,0,40,Craft-repair,Own-child
5099,Some-college,United-States,Local-gov,46,0,0,40,Protective-serv,Husband
516,Some-college,United-States,Private,25,0,0,20,Adm-clerical,Not-in-family
5178,HS-grad,United-States,Local-gov,41,0,0,38,Transport-moving,Not-in-family
5190,HS-grad,United-States,Self-emp-inc,27,0,1740,40,Craft-repair,Husband
5375,Bachelors,United-States,Federal-gov,31,0,0,40,Exec-managerial,Not-in-family
5428,HS-grad,United-States,Private,22,0,0,40,Machine-op-inspct,Husband
5555,Some-college,United-States,Self-emp-inc,57,0,0,40,Exec-managerial,Husband
5722,Assoc-acdm,United-States,Private,27,0,0,40,Sales,Own-child
5752,9th,United-States,Private,33,0,0,50,Machine-op-inspct,Husband
5781,Assoc-acdm,United-States,Private,21,0,0,20,Adm-clerical,Own-child
5848,Bachelors,United-States,Self-emp-not-inc,67,0,0,8,Exec-managerial,Husband
6028,Some-college,United-States,Private,21,0,0,40,Other-service,Not-in-family
6094,HS-grad,United-States,Private,30,0,0,40,Other-service,Unmarried
6245,HS-grad,United-States,Self-emp-inc,44,0,0,60,Craft-repair,Husband
6258,Bachelors,United-States,Private,27,0,0,50,Prof-specialty,Not-in-family
6317,Bachelors,United-States,Private,40,0,0,20,Adm-clerical,Unmarried
6358,HS-grad,United-States,Local-gov,45,0,0,40,Adm-clerical,Not-in-family
6446,HS-grad,United-States,Private,42,0,0,24,Other-service,Not-in-family
6511,HS-grad,United-States,Private,32,0,0,13,Other-service,Unmarried
6536,HS-grad,United-States,?,34,0,0,40,?,Husband
6621,Masters,United-States,Self-emp-inc,56,27828,0,60,Exec-managerial,Not-in-family
6650,Assoc-voc,United-States,Private,28,0,0,40,Handlers-cleaners,Own-child
6744,HS-grad,United-States,Self-emp-not-inc,34,0,0,80,Farming-fishing,Husband
6773,11th,United-States,Private,54,0,0,10,Priv-house-serv,Unmarried
7102,Some-college,United-States,?,18,0,0,40,?,Own-child
7174,Bachelors,United-States,Private,28,0,0,35,Prof-specialty,Not-in-family
7201,Bachelors,United-States,Self-emp-not-inc,28,0,0,45,Tech-support,Not-in-family
7211,Some-college,United-States,Local-gov,27,0,0,60,Protective-serv,Husband
7436,Some-college,United-States,Private,21,0,0,20,Adm-clerical,Own-child
765,10th,United-States,Private,32,0,0,42,Other-service,Unmarried
7654,Bachelors,United-States,Federal-gov,38,4064,0,40,Prof-specialty,Husband
7766,HS-grad,United-States,Private,43,0,0,40,Adm-clerical,Other-relative
7977,Prof-school,United-States,?,67,6418,0,10,?,Husband
8220,Some-college,United-States,Private,48,0,0,37,Adm-clerical,Wife
8242,Bachelors,United-States,Private,29,0,0,40,Adm-clerical,Own-child
8243,12th,United-States,Private,29,0,0,40,Transport-moving,Husband
8375,Assoc-voc,United-States,Private,26,0,0,80,Handlers-cleaners,Husband
8577,HS-grad,United-States,Self-emp-not-inc,59,0,0,40,Farming-fishing,Husband
8610,7th-8th,United-States,Self-emp-not-inc,24,0,1902,40,Transport-moving,Husband
8811,10th,United-States,Private,25,0,0,50,Protective-serv,Wife
8854,HS-grad,United-States,Private,37,15024,0,60,Sales,Husband
9211,Assoc-voc,United-States,?,33,7688,0,50,?,Own-child
9245,Some-college,United-States,?,72,9386,0,30,?,Husband
9330,Some-college,United-States,Private,26,0,0,40,Adm-clerical,Not-in-family
9406,Some-college,United-States,Private,21,0,1602,16,Tech-support,Own-child
9435,Some-college,United-States,Private,45,0,0,55,Transport-moving,Husband
9440,Bachelors,United-States,Self-emp-inc,39,0,0,45,Exec-managerial,Husband
9553,HS-grad,Trinadad&Tobago,Private,38,0,0,48,Adm-clerical,Husband
9683,Bachelors,United-States,State-gov,58,0,0,35,Adm-clerical,Husband
972,Bachelors,United-States,Private,67,0,2392,40,Exec-managerial,Not-in-family
9874,HS-grad,United-States,Self-emp-inc,55,0,0,50,Sales,Unmarried
9879,7th-8th,United-States,Private,52,0,0,64,Machine-op-inspct,Not-in-family
9887,HS-grad,United-States,Private,26,0,0,40,Machine-op-inspct,Not-in-family
9899,Some-college,United-States,Private,65,0,0,24,Other-service,Unmarried
9906,Bachelors,United-States,Private,44,0,0,40,Exec-managerial,Husband
