record_id,age,race,relationship,sex,workclass,capital-gain,hours-per-week,native-country
15302,24,White,Own-child,Male,Private,0,40,United-States
1531,40,White,Husband,Male,Private,0,40,United-States
15483,39,Black,Unmarried,Female,Private,0,16,United-States
15581,28,White,Wife,Female,Private,0,40,United-States
15603,40,White,Own-child,Male,Private,0,80,United-States
15663,33,White,Not-in-family,Female,Federal-gov,0,10,United-States
15683,44,White,Unmarried,Female,Local-gov,0,40,United-States
15701,34,White,Husband,Male,Private,0,55,United-States
15863,34,White,Not-in-family,Male,Private,0,50,?
1590,65,White,Husband,Male,Private,0,16,United-States
16095,35,White,Own-child,Male,Private,0,40,United-States
16150,23,Asian-Pac-Islander,Own-child,Male,Private,0,30,United-States
16300,38,White,Husband,Male,Private,0,50,United-States
16437,53,White,Unmarried,Female,Private,0,40,United-States
16774,38,White,Unmarried,Female,Private,0,40,United-States
16789,30,White,Husband,Male,Local-gov,0,45,United-States
16810,31,White,Wife,Female,?,0,20,United-States
16895,58,White,Husband,Male,State-gov,0,40,United-States
17004,52,White,Husband,Male,Private,0,40,United-States
17135,34,Asian-Pac-Islander,Wife,Female,Private,7688,50,Philippines
17147,44,White,Wife,Female,Private,0,20,United-States
17185,22,White,Husband,Male,Private,0,44,United-States
17458,54,White,Husband,Male,Self-emp-not-inc,0,50,United-States
17672,59,White,Husband,Male,Self-emp-inc,0,40,United-States
17786,37,White,Husband,Male,Private,4386,44,United-States
17991,43,White,Husband,Male,Private,0,50,United-States
18038,31,White,Not-in-family,Female,Private,0,32,United-States
18086,27,Asian-Pac-Islander,Own-child,Male,Private,0,40,United-States
18114,44,Black,Husband,Male,Private,0,60,United-States
18151,41,White,Not-in-family,Female,State-gov,14344,40,United-States
18527,48,White,Husband,Male,State-gov,0,40,United-States
18539,36,White,Not-in-family,Female,Private,0,40,United-States
18545,37,White,Husband,Male,Private,0,40,United-States
1863,25,White,Other-relative,Male,Private,0,40,United-States
18631,46,White,Own-child,Female,Private,0,40,United-States
18674,33,White,Wife,Female,Local-gov,0,40,United-States
18676,25,White,Not-in-family,Male,Private,0,42,United-States
18763,48,White,Husband,Male,Federal-gov,0,40,United-States
18854,36,White,Other-relative,Female,Private,0,20,Mexico
18965,45,White,Not-in-family,Female,Private,0,45,United-States
19042,31,White,Not-in-family,Male,Private,0,40,United-States
19420,48,White,Not-in-family,Male,Self-emp-not-inc,0,15,United-States
19458,52,White,Husband,Male,Private,0,40,United-States
19520,63,White,Husband,Male,Private,0,40,United-States
19541,37,Black,Not-in-family,Male,Private,0,48,United-States
19616,40,White,Husband,Male,?,0,8,United-States
19686,27,Black,Not-in-family,Male,Self-emp-not-inc,0,40,United-States
19793,42,Black,Husband,Male,Private,7688,45,United-States
19894,23,White,Not-in-family,Male,Local-gov,0,30,United-States
19937,61,White,Husband,Male,Private,0,40,United-States
1998,37,White,Husband,Male,Private,0,55,United-States
20028,35,White,Husband,Male,Private,5178,40,United-States
20146,23,White,Unmarried,Female,Private,0,25,United-States
20212,41,White,Husband,Male,Self-emp-not-inc,0,75,United-States
20247,39,White,Unmarried,Female,Local-gov,0,40,United-States
20340,60,White,Husband,Male,Private,0,40,United-States
20636,23,White,Not-in-family,Male,Private,4650,50,Ireland
20644,71,White,Not-in-family,Female,Private,0,40,United-States
20922,30,White,Not-in-family,Male,Private,0,65,United-States
21089,24,White,Husband,Male,Private,0,40,United-States
21233,47,White,Not-in-family,Male,Self-emp-not-inc,0,35,United-States
21326,20,White,Own-child,Female,Private,0,20,United-States
21331,42,White,Husband,Male,Private,0,32,United-States
21335,43,White,Own-child,Male,Self-emp-not-inc,0,35,United-States
21354,46,White,Husband,Male,Private,0,40,United-States
21725,68,White,Wife,Female,?,0,40,United-States
21969,40,White,Husband,Male,Federal-gov,0,40,United-States
21976,34,White,Husband,Male,Self-emp-not-inc,0,35,United-States
22102,33,White,Husband,Male,State-gov,0,40,United-States
22211,22,White,Own-child,Male,Private,0,40,United-States
22741,22,White,Own-child,Female,Private,0,40,United-States
22943,30,White,Husband,Male,Self-emp-not-inc,0,15,United-States
23006,40,White,Husband,Male,Private,0,40,United-States
23013,29,White,Husband,Male,Private,0,40,Mexico
23072,35,White,Unmarried,Male,Private,0,36,United-States
23131,37,White,Husband,Male,Self-emp-not-inc,0,20,Canada
23143,26,White,Not-in-family,Male,Private,0,40,Mexico
23152,37,White,Unmarried,Male,Private,0,40,United-States
23181,27,White,Husband,Male,Private,7298,40,United-States
2343,21,Black,Unmarried,Female,Private,0,40,United-States
23545,50,White,Husband,Male,Self-emp-not-inc,0,45,United-States
23649,45,Black,Husband,Male,Private,15024,99,United-States
23732,32,White,Husband,Male,Private,0,40,United-States
23753,41,White,Husband,Male,Private,0,40,Mexico
238,38,White,Husband,Male,Local-gov,0,70,United-States
23864,51,White,Not-in-family,Female,Federal-gov,0,40,United-States
23917,37,Asian-Pac-Islander,Husband,Male,Private,0,40,Hong
23985,22,White,Own-child,Female,Private,0,16,United-States
24114,31,White,Husband,Male,Private,0,43,United-States
24143,40,Amer-Indian-Eskimo,Not-in-family,Male,Private,6849,43,United-States
24717,28,White,Unmarried,Female,Private,0,50,United-States
24755,26,White,Not-in-family,Male,Private,0,40,Mexico
24790,50,White,Husband,Male,Self-emp-inc,0,60,United-States
24918,31,White,Unmarried,Female,Federal-gov,0,40,United-States
24976,25,White,Husband,Male,Private,0,40,United-States
25070,59,Amer-Indian-Eskimo,Unmarried,Female,Private,0,40,United-States
25233,37,White,Own-child,Male,Private,0,45,United-States
25282,61,White,Husband,Male,Private,3411,45,United-States
25491,68,White,Husband,Male,State-gov,0,42,?
25520,48,White,Not-in-family,Male,State-gov,0,72,United-States
25556,25,White,Not-in-family,Female,State-gov,2597,50,United-States
25561,24,Asian-Pac-Islander,Own-child,Male,Private,0,40,South
25825,54,White,Husband,Male,Private,7688,60,United-States
26125,32,White,Not-in-family,Male,Private,0,40,United-States
26247,45,White,Husband,Male,Private,7298,50,United-States
26493,51,White,Husband,Male,Private,7298,40,United-States
26499,49,White,Own-child,Female,Private,0,40,United-States
26511,20,White,Own-child,Female,Private,0,16,United-States
26984,42,Other,Husband,Male,Private,0,40,United-States
27029,60,Black,Not-in-family,Male,Self-emp-not-inc,2597,55,United-States
27185,28,Black,Not-in-family,Male,Self-emp-not-inc,0,40,United-States
27246,30,Asian-Pac-Islander,Not-in-family,Female,Private,0,40,China
27283,46,Black,Husband,Male,Federal-gov,0,40,United-States
27288,24,Black,Own-child,Male,Private,0,40,United-States
27359,38,Black,Unmarried,Female,Private,0,20,United-States
27428,55,White,Husband,Male,Self-emp-not-inc,0,40,United-States
27457,34,White,Husband,Male,Private,0,40,United-States
276,44,White,Husband,Male,Private,7298,40,United-States
27664,23,White,Own-child,Female,Private,0,30,England
27689,49,Black,Husband,Male,Private,0,40,United-States
27733,30,White,Not-in-family,Male,Private,0,40,United-States
28288,36,White,Husband,Male,Private,7688,50,United-States
28364,54,White,Husband,Male,Private,0,40,United-States
2853,28,White,Other-relative,Female,Private,0,40,United-States
28618,34,Black,Unmarried,Female,Private,0,40,?
28878,20,White,Own-child,Male,Private,0,20,United-States
29104,25,Asian-Pac-Islander,Other-relative,Female,Private,0,40,?
29120,38,White,Husband,Male,Local-gov,0,40,United-States
29153,25,White,Own-child,Male,Private,0,35,United-States
29329,20,White,Not-in-family,Female,Self-emp-not-inc,0,35,United-States
29528,20,Black,Own-child,Male,Private,0,40,United-States
29601,65,White,Husband,Male,?,0,20,United-States
2965,38,White,Husband,Male,Private,0,44,United-States
29659,66,White,Husband,Male,Private,0,24,United-States
29698,55,White,Not-in-family,Female,?,0,5,United-States
29769,42,White,Husband,Male,Private,0,40,United-States
29831,32,White,Husband,Male,Local-gov,0,40,United-States
29904,20,White,Own-child,Male,Private,0,40,Mexico
29983,50,White,Husband,Male,Private,0,40,United-States
29994,41,White,Unmarried,Female,Private,0,40,United-States
29997,61,White,Husband,Male,Local-gov,0,35,United-States
3016,40,White,Husband,Male,State-gov,0,40,United-States
30341,50,White,Own-child,Female,State-gov,0,40,United-States
30381,36,White,Not-in-family,Male,Private,0,40,United-States
305,43,White,Not-in-family,Female,Private,0,40,United-States
30610,51,White,Husband,Male,Self-emp-not-inc,0,99,United-States
30773,38,White,Husband,Male,Federal-gov,0,40,?
30915,28,White,Own-child,Male,Private,0,20,United-States
31136,40,White,Wife,Female,Local-gov,0,40,United-States
3114,20,White,Own-child,Male,Private,0,30,United-States
31157,25,White,Not-in-family,Female,Private,0,20,United-States
3116,52,White,Husband,Male,Self-emp-inc,0,60,United-States
31196,50,White,Unmarried,Male,Local-gov,0,40,United-States
31234,22,White,Own-child,Male,Local-gov,0,35,United-States
31253,43,White,Husband,Male,?,0,35,United-States
31281,46,White,Husband,Male,Self-emp-not-inc,0,40,United-States
31393,26,White,Unmarried,Female,Private,0,35,United-States
31492,40,Black,Not-in-family,Female,Federal-gov,0,40,United-States
31637,31,White,Other-relative,Male,Local-gov,0,40,?
31644,29,White,Other-relative,Male,Private,0,40,Mexico
31657,67,White,Husband,Male,State-gov,0,35,United-States
31702,36,White,Husband,Male,Private,5013,40,Italy
31714,43,Black,Unmarried,Female,Private,0,35,United-States
31850,54,White,Not-in-family,Female,Private,0,40,United-States
31863,40,White,Husband,Male,Self-emp-not-inc,0,45,United-States
31912,62,White,Husband,Male,?,0,18,United-States
32254,31,Asian-Pac-Islander,Husband,Male,Private,0,55,?
3237,30,White,Own-child,Male,Private,0,40,Mexico
3247,64,White,Wife,Female,Self-emp-inc,20051,40,?
3280,27,White,Not-in-family,Male,Private,0,48,United-States
3315,68,White,Not-in-family,Female,Private,0,30,United-States
3505,32,White,Husband,Male,Self-emp-not-inc,0,40,United-States
3545,29,White,Not-in-family,Female,Private,0,40,United-States
3620,52,White,Other-relative,Female,Private,0,40,United-States
3683,48,White,Not-in-family,Female,Private,0,35,United-States
3716,44,Black,Husband,Male,Private,0,50,United-States
3798,30,White,Other-relative,Male,Private,0,18,Guatemala
3825,21,Black,Own-child,Male,Private,0,40,United-States
3992,52,White,Other-relative,Male,Private,0,55,United-States
4036,24,White,Own-child,Female,Private,0,15,United-States
4041,44,Black,Unmarried,Female,Federal-gov,0,40,United-States
4099,47,White,Husband,Male,Private,0,50,United-States
4128,23,White,Own-child,Female,Private,0,40,United-States
4147,66,White,Husband,Male,?,0,40,United-States
4489,28,White,Not-in-family,Male,Private,0,40,United-States
4614,42,White,Husband,Male,Self-emp-not-inc,0,50,United-States
4675,32,White,Husband,Male,Private,0,60,United-States
472,35,White,Not-in-family,Male,Private,0,40,United-States
4851,75,White,Husband,Male,Private,0,24,United-States
4886,34,White,Unmarried,Female,Private,0,30,United-States
5066,45,White,Husband,Male,Private,0,50,United-States
5144,28,White,Husband,Male,Private,0,60,United-States
5215,25,White,Husband,Male,Private,0,75,United-States
5434,27,Black,Own-child,Female,Private,0,40,United-States
5438,37,White,Husband,Male,Private,0,45,United-States
553,35,Black,Wife,Female,Private,0,40,United-States
564,52,White,Husband,Male,Self-emp-not-inc,0,60,United-States
6271,20,Black,Unmarried,Female,Private,114,20,United-States
6287,25,White,Not-in-family,Female,Private,0,38,United-States
6308,35,White,Not-in-family,Male,Private,0,60,United-States
6454,40,White,Husband,Male,Private,0,40,United-States
6499,37,White,Husband,Male,Private,0,45,United-States
6684,30,White,Unmarried,Male,Self-emp-not-inc,0,66,United-States
6742,21,White,Not-in-family,Female,Private,0,25,Germany
6784,22,White,Not-in-family,Male,Private,0,20,United-States
6994,58,White,Husband,Male,Local-gov,7298,40,United-States
7015,49,White,Husband,Male,Private,0,45,United-States
7064,56,White,Husband,Male,Self-emp-not-inc,0,50,United-States
7207,45,White,Husband,Male,Self-emp-inc,0,38,United-States
7350,36,White,Unmarried,Male,Local-gov,0,55,United-States
7389,29,White,Husband,Male,Private,3411,45,United-States
7514,25,White,Not-in-family,Male,Private,0,40,United-States
7691,29,White,Husband,Male,Private,0,50,United-States
7696,40,White,Unmarried,Male,Private,4934,47,United-States
7782,24,White,Not-in-family,Female,Private,0,50,United-States
7896,73,White,Husband,Male,Local-gov,0,10,Poland
8023,42,Black,Husband,Male,Private,0,40,United-States
8105,32,White,Husband,Male,Self-emp-inc,0,40,United-States
8146,23,White,Own-child,Female,Private,2105,40,United-States
8250,41,White,Not-in-family,Male,Private,0,40,United-States
8325,50,White,Husband,Male,State-gov,0,52,United-States
8335,56,White,Not-in-family,Female,State-gov,0,35,United-States
838,24,White,Not-in-family,Male,Private,0,50,United-States
8474,52,White,Husband,Male,Self-emp-not-inc,0,70,United-States
8787,20,White,Own-child,Male,Private,0,60,United-States
8798,31,White,Own-child,Male,Private,0,16,United-States
8911,26,White,Not-in-family,Male,Private,0,45,United-States
8919,44,Black,Husband,Male,Private,0,35,United-States
8946,51,White,Husband,Male,Private,0,50,United-States
8965,39,White,Not-in-family,Female,Private,0,40,United-States
8988,32,White,Husband,Male,Private,0,60,United-States
9084,56,White,Not-in-family,Male,Private,0,45,United-States
9164,72,White,Husband,Male,Private,1455,6,United-States
9195,24,White,Not-in-family,Male,Private,0,39,United-States
9308,51,White,Not-in-family,Male,Private,0,40,United-States
9355,51,Black,Own-child,Male,Private,0,40,United-States
9535,27,White,Not-in-family,Female,State-gov,0,30,United-States
9553,38,Asian-Pac-Islander,Husband,Male,Private,0,48,Trinadad&Tobago
9802,40,Black,Unmarried,Female,Private,0,30,United-States
