record_id,education,occupation,relationship,sex,workclass,age,capital-loss,marital-status,native-country,race
12978,Bachelors,Other-service,Husband,Male,Private,29,0,Married-civ-spouse,United-States,White
13088,Assoc-voc,Adm-clerical,Not-in-family,Male,Private,25,0,Never-married,?,White
13333,Bachelors,Prof-specialty,Own-child,Female,Private,23,0,Never-married,United-States,White
13358,Some-college,Prof-specialty,Own-child,Female,Private,38,0,Married-spouse-absent,United-States,Black
13421,Some-college,Machine-op-inspct,Not-in-family,Female,Private,50,0,Divorced,United-States,Black
13494,Some-college,Other-service,Unmarried,Female,Federal-gov,35,0,Never-married,United-States,Black
13791,HS-grad,Other-service,Other-relative,Female,Self-emp-not-inc,52,0,Widowed,United-States,Black
13807,11th,Sales,Own-child,Female,Private,17,0,Never-married,United-States,White
13883,Masters,Prof-specialty,Unmarried,Female,Private,42,0,Divorced,United-States,White
13899,HS-grad,Adm-clerical,Wife,Female,Private,43,0,Married-civ-spouse,Canada,White
1408,HS-grad,Transport-moving,Not-in-family,Male,Private,37,0,Divorced,United-States,White
14218,HS-grad,Other-service,Husband,Male,Private,47,0,Married-civ-spouse,Mexico,White
14363,Assoc-voc,?,Not-in-family,Female,?,23,0,Never-married,United-States,Amer-Indian-Eskimo
14631,Assoc-voc,Other-service,Own-child,Female,Private,22,0,Never-married,United-States,Black
14644,Some-college,Exec-managerial,Wife,Female,Private,44,0,Married-civ-spouse,United-States,White
14707,Doctorate,Exec-managerial,Husband,Male,Private,45,0,Married-civ-spouse,United-States,White
14769,11th,Craft-repair,Not-in-family,Male,Private,22,0,Never-married,United-States,White
14871,HS-grad,Craft-repair,Husband,Male,Self-emp-not-inc,40,0,Married-civ-spouse,United-States,White
14911,7th-8th,?,Husband,Male,?,67,0,Married-civ-spouse,United-States,White
14912,HS-grad,Other-service,Unmarried,Female,Private,45,0,Divorced,United-States,White
15241,12th,Craft-repair,Not-in-family,Male,Private,40,0,Divorced,United-States,White
15248,Bachelors,Prof-specialty,Husband,Male,Private,39,0,Married-civ-spouse,United-States,White
15258,Some-college,Craft-repair,Husband,Male,Private,47,1485,Married-civ-spouse,United-States,White
15280,Assoc-acdm,Sales,Husband,Male,Private,30,0,Married-civ-spouse,United-States,White
15334,Prof-school,Prof-specialty,Husband,Male,Self-emp-not-inc,35,0,Married-civ-spouse,United-States,White
15450,Bachelors,Exec-managerial,Wife,Female,Self-emp-not-inc,31,1902,Married-civ-spouse,United-States,White
15609,HS-grad,Sales,Husband,Male,Private,63,0,Married-civ-spouse,?,White
15642,HS-grad,Machine-op-inspct,Husband,Male,Private,36,0,Married-civ-spouse,United-States,White
15812,Bachelors,Prof-specialty,Wife,Female,Private,38,0,Married-civ-spouse,United-States,White
15926,Bachelors,Craft-repair,Not-in-family,Male,Private,37,0,Never-married,United-States,White
15992,HS-grad,Handlers-cleaners,Not-in-family,Male,Private,28,0,Separated,United-States,Other
16043,Assoc-acdm,Prof-specialty,Own-child,Female,Private,25,0,Never-married,United-States,White
1606,HS-grad,?,Unmarried,Female,?,35,0,Never-married,United-States,Black
16223,11th,Farming-fishing,Own-child,Male,Self-emp-not-inc,30,0,Never-married,United-States,Black
1645,HS-grad,Adm-clerical,Wife,Female,Self-emp-inc,71,0,Married-civ-spouse,United-States,White
16459,HS-grad,Sales,Wife,Female,Private,22,0,Married-civ-spouse,United-States,White
16597,Bachelors,Prof-specialty,Husband,Male,State-gov,33,0,Married-civ-spouse,United-States,White
1680,HS-grad,Other-service,Unmarried,Female,Private,37,0,Divorced,United-States,White
16846,HS-grad,Other-service,Not-in-family,Female,Private,35,0,Divorced,United-States,White
16870,Bachelors,Exec-managerial,Husband,Male,Private,53,0,Married-civ-spouse,United-States,White
16892,HS-grad,Prof-specialty,Own-child,Male,Private,25,0,Never-married,United-States,White
16988,HS-grad,Exec-managerial,Own-child,Female,Private,21,0,Never-married,United-States,White
17002,Bachelors,Adm-clerical,Husband,Male,Private,42,0,Married-civ-spouse,United-States,White
17022,Prof-school,Exec-managerial,Husband,Male,Private,42,0,Married-civ-spouse,United-States,White
17217,Some-college,Transport-moving,Husband,Male,Private,24,0,Married-civ-spouse,United-States,White
17265,Assoc-acdm,Farming-fishing,Husband,Male,Private,44,0,Married-civ-spouse,United-States,White
17290,HS-grad,Other-service,Own-child,Male,Private,31,0,Never-married,United-States,White
17354,Some-college,Adm-clerical,Own-child,Female,Private,19,0,Never-married,United-States,White
17559,HS-grad,Other-service,Unmarried,Female,Private,37,0,Separated,United-States,Black
17641,HS-grad,Exec-managerial,Not-in-family,Female,Federal-gov,63,0,Widowed,United-States,White
17878,HS-grad,Other-service,Not-in-family,Male,Private,19,0,Never-married,United-States,White
17908,HS-grad,Craft-repair,Unmarried,Male,Private,58,0,Widowed,Mexico,White
17910,Some-college,Exec-managerial,Not-in-family,Male,Private,31,0,Never-married,United-States,White
17924,Masters,Prof-specialty,Husband,Male,Private,45,0,Married-civ-spouse,United-States,White
17951,Some-college,Prof-specialty,Own-child,Female,State-gov,21,0,Never-married,United-States,White
17996,Bachelors,Sales,Own-child,Male,Private,30,0,Never-married,United-States,White
18046,HS-grad,Craft-repair,Own-child,Male,Self-emp-not-inc,31,0,Never-married,United-States,White
18222,Bachelors,Sales,Husband,Male,Self-emp-not-inc,42,0,Married-civ-spouse,United-States,White
18262,Bachelors,Prof-specialty,Husband,Male,Private,31,0,Married-civ-spouse,United-States,White
18324,Bachelors,Adm-clerical,Own-child,Female,Private,26,0,Never-married,United-States,White
18432,HS-grad,Machine-op-inspct,Not-in-family,Male,Private,37,0,Never-married,Puerto-Rico,White
18456,HS-grad,Other-service,Not-in-family,Male,Private,28,0,Never-married,United-States,White
18466,HS-grad,?,Unmarried,Female,?,64,0,Divorced,United-States,White
18471,Some-college,Transport-moving,Husband,Male,Private,43,0,Married-civ-spouse,United-States,White
18511,Prof-school,Exec-managerial,Wife,Female,Private,33,0,Married-civ-spouse,United-States,White
18735,HS-grad,Exec-managerial,Husband,Male,Local-gov,69,0,Married-civ-spouse,United-States,White
18751,Some-college,Other-service,Unmarried,Female,Private,35,0,Divorced,United-States,White
18974,Some-college,Sales,Own-child,Female,Private,18,0,Never-married,United-States,White
19072,Some-college,Sales,Husband,Male,Private,43,0,Married-civ-spouse,United-States,White
19115,Some-college,Other-service,Husband,Male,Private,45,0,Married-civ-spouse,United-States,White
19166,HS-grad,Sales,Husband,Male,Private,41,1848,Married-civ-spouse,United-States,White
19304,Bachelors,Adm-clerical,Not-in-family,Female,Federal-gov,64,0,Divorced,United-States,Black
19332,9th,Craft-repair,Husband,Male,Private,26,0,Married-civ-spouse,United-States,White
1938,Bachelors,Exec-managerial,Husband,Male,State-gov,50,0,Married-civ-spouse,Canada,White
19510,Some-college,Craft-repair,Husband,Male,Private,55,0,Married-civ-spouse,United-States,White
19568,Bachelors,Sales,Husband,Male,Private,47,0,Married-civ-spouse,United-States,White
19700,HS-grad,Transport-moving,Not-in-family,Male,Private,54,0,Divorced,United-States,Black
19819,11th,?,Husband,Male,?,64,0,Married-civ-spouse,United-States,White
19850,HS-grad,Transport-moving,Husband,Male,Private,39,0,Married-civ-spouse,United-States,White
19896,Masters,?,Wife,Female,?,42,1887,Married-civ-spouse,United-States,White
20027,Bachelors,Prof-specialty,Not-in-family,Female,Private,40,0,Divorced,United-States,White
20146,Some-college,Exec-managerial,Unmarried,Female,Private,23,0,Divorced,United-States,White
20251,11th,Craft-repair,Husband,Male,Private,52,0,Married-civ-spouse,United-States,White
20256,HS-grad,Exec-managerial,Husband,Male,Private,33,0,Married-civ-spouse,United-States,White
20312,Some-college,Adm-clerical,Not-in-family,Female,Private,21,0,Never-married,United-States,White
20321,Bachelors,?,Husband,Male,?,65,0,Married-civ-spouse,Italy,White
20352,HS-grad,Farming-fishing,Husband,Male,Self-emp-not-inc,37,0,Married-civ-spouse,United-States,White
20355,HS-grad,Adm-clerical,Husband,Male,Federal-gov,37,0,Married-civ-spouse,England,White
20608,HS-grad,?,Wife,Female,?,72,0,Married-civ-spouse,United-States,White
20645,Bachelors,Sales,Husband,Male,Private,44,0,Married-civ-spouse,United-States,White
20662,Bachelors,Prof-specialty,Husband,Male,Private,62,0,Married-civ-spouse,United-States,White
20738,Some-college,Handlers-cleaners,Not-in-family,Male,Private,20,0,Never-married,United-States,White
20741,HS-grad,Craft-repair,Not-in-family,Male,Private,37,0,Divorced,United-States,White
20762,Some-college,Craft-repair,Not-in-family,Male,State-gov,31,0,Never-married,United-States,White
21044,Some-college,Exec-managerial,Husband,Male,Self-emp-inc,60,0,Married-civ-spouse,United-States,White
21122,Some-college,Other-service,Unmarried,Female,Private,28,0,Separated,United-States,White
21236,9th,Handlers-cleaners,Husband,Male,Private,39,0,Married-civ-spouse,Mexico,White
21288,Some-college,Craft-repair,Husband,Male,Private,33,1740,Married-civ-spouse,United-States,White
21311,HS-grad,Protective-serv,Husband,Male,State-gov,36,0,Married-civ-spouse,United-States,White
2144,HS-grad,Transport-moving,Husband,Male,Private,34,0,Married-civ-spouse,Puerto-Rico,White
21483,HS-grad,?,Unmarried,Female,?,28,0,Never-married,United-States,Black
21539,HS-grad,Craft-repair,Unmarried,Male,Private,37,0,Never-married,United-States,White
216,Assoc-acdm,Sales,Not-in-family,Female,Private,50,0,Divorced,United-States,White
21652,HS-grad,Other-service,Wife,Female,Self-emp-not-inc,31,2415,Married-civ-spouse,United-States,White
21672,HS-grad,Other-service,Other-relative,Male,Private,55,0,Married-civ-spouse,Philippines,Asian-Pac-Islander
21769,HS-grad,Craft-repair,Not-in-family,Male,Private,31,0,Never-married,United-States,White
21884,Masters,Exec-managerial,Husband,Male,Private,57,1977,Married-civ-spouse,United-States,Black
22070,HS-grad,Exec-managerial,Unmarried,Female,Local-gov,41,0,Divorced,United-States,White
22183,9th,Machine-op-inspct,Husband,Male,Private,59,0,Married-civ-spouse,United-States,White
22203,10th,Protective-serv,Own-child,Female,Local-gov,18,0,Never-married,United-States,White
22218,HS-grad,Adm-clerical,Unmarried,Female,Private,46,1590,Divorced,United-States,White
22272,Bachelors,Adm-clerical,Husband,Male,Private,33,1902,Married-civ-spouse,United-States,White
22488,HS-grad,Craft-repair,Husband,Male,Self-emp-not-inc,36,0,Married-civ-spouse,United-States,White
22605,Some-college,Protective-serv,Husband,Male,State-gov,42,0,Married-civ-spouse,United-States,Black
22843,HS-grad,Adm-clerical,Wife,Female,Private,59,0,Married-civ-spouse,United-States,White
22868,HS-grad,Craft-repair,Husband,Male,Private,54,0,Married-civ-spouse,United-States,White
22943,HS-grad,Prof-specialty,Husband,Male,Self-emp-not-inc,30,1977,Married-civ-spouse,United-States,White
23051,10th,Other-service,Husband,Male,Private,64,0,Married-civ-spouse,United-States,Black
23106,HS-grad,Exec-managerial,Husband,Male,Self-emp-inc,54,0,Married-civ-spouse,United-States,White
2325,Bachelors,Exec-managerial,Husband,Male,Private,39,1887,Married-civ-spouse,United-States,White
23426,10th,Sales,Husband,Male,Self-emp-not-inc,55,0,Married-civ-spouse,United-States,White
23613,Bachelors,Exec-managerial,Husband,Male,Private,44,0,Married-civ-spouse,United-States,White
23697,HS-grad,Adm-clerical,Unmarried,Female,Private,25,0,Never-married,United-States,White
23738,HS-grad,Other-service,Wife,Female,Self-emp-not-inc,26,1579,Married-civ-spouse,United-States,White
23863,Some-college,Craft-repair,Husband,Male,Private,24,0,Married-civ-spouse,United-States,White
24471,HS-grad,Adm-clerical,Husband,Male,Federal-gov,51,0,Married-civ-spouse,United-States,White
24756,Some-college,Craft-repair,Husband,Male,Federal-gov,54,0,Married-civ-spouse,United-States,White
24767,HS-grad,Other-service,Not-in-family,Female,Private,51,0,Divorced,United-States,White
25058,Bachelors,Prof-specialty,Own-child,Female,Private,27,0,Never-married,United-States,White
25224,Assoc-acdm,Exec-managerial,Not-in-family,Female,Local-gov,32,0,Divorced,United-States,Black
25309,Some-college,Exec-managerial,Not-in-family,Female,Private,42,1741,Divorced,United-States,White
25511,Some-college,Adm-clerical,Unmarried,Female,Private,30,0,Divorced,United-States,White
25610,Some-college,Transport-moving,Husband,Male,Self-emp-not-inc,57,0,Married-civ-spouse,United-States,White
25660,Bachelors,Sales,Husband,Male,Self-emp-inc,43,0,Married-civ-spouse,United-States,White
25705,Some-college,Exec-managerial,Husband,Male,Private,22,0,Married-civ-spouse,United-States,White
25726,HS-grad,?,Other-relative,Female,?,43,0,Never-married,United-States,White
25819,Bachelors,?,Husband,Male,?,63,2179,Married-civ-spouse,United-States,White
25957,HS-grad,Other-service,Not-in-family,Female,Private,30,0,Divorced,United-States,White
26299,12th,Other-service,Own-child,Male,Private,18,0,Never-married,United-States,White
26322,HS-grad,Adm-clerical,Own-child,Male,Private,41,0,Never-married,United-States,White
26427,Doctorate,Prof-specialty,Husband,Male,Self-emp-not-inc,38,0,Married-civ-spouse,United-States,White
26464,12th,Transport-moving,Other-relative,Male,Private,59,0,Divorced,United-States,Black
26666,Some-college,Other-service,Own-child,Female,Private,19,0,Never-married,United-States,White
26731,HS-grad,Prof-specialty,Not-in-family,Female,Private,84,0,Widowed,United-States,White
26802,7th-8th,Craft-repair,Husband,Male,Private,40,0,Married-civ-spouse,El-Salvador,White
26914,11th,Machine-op-inspct,Husband,Male,Private,51,0,Married-civ-spouse,United-States,White
26928,HS-grad,?,Husband,Male,?,67,0,Married-civ-spouse,United-States,Black
27045,Some-college,Adm-clerical,Unmarried,Female,Private,63,0,Widowed,United-States,White
27258,HS-grad,Handlers-cleaners,Husband,Male,Private,26,0,Married-civ-spouse,United-States,White
27275,HS-grad,Other-service,Own-child,Female,Private,25,0,Never-married,United-States,White
2728,Some-college,Other-service,Own-child,Female,Private,19,0,Never-married,United-States,White
27288,Bachelors,Sales,Own-child,Male,Private,24,0,Never-married,United-States,Black
27326,HS-grad,Machine-op-inspct,Own-child,Male,Private,21,0,Never-married,United-States,White
27377,HS-grad,Craft-repair,Husband,Male,Self-emp-not-inc,40,1672,Married-civ-spouse,United-States,White
27410,HS-grad,Craft-repair,Not-in-family,Male,Private,51,0,Never-married,United-States,Black
27548,12th,Handlers-cleaners,Not-in-family,Male,Private,19,0,Never-married,United-States,White
276,Some-college,Craft-repair,Husband,Male,Private,44,0,Married-civ-spouse,United-States,White
27620,HS-grad,Machine-op-inspct,Own-child,Male,Private,23,0,Never-married,United-States,White
27797,HS-grad,Adm-clerical,Unmarried,Female,Self-emp-not-inc,61,0,Widowed,United-States,White
27898,Some-college,?,Not-in-family,Female,?,39,0,Divorced,United-States,White
27974,Bachelors,Adm-clerical,Other-relative,Male,Private,33,0,Married-civ-spouse,India,Asian-Pac-Islander
28088,Bachelors,Tech-support,Husband,Male,Private,48,0,Married-civ-spouse,Philippines,Asian-Pac-Islander
28098,Some-college,Prof-specialty,Husband,Male,Private,61,0,Married-civ-spouse,United-States,White
28103,12th,Exec-managerial,Husband,Male,Self-emp-not-inc,52,0,Married-civ-spouse,United-States,White
28109,Some-college,Machine-op-inspct,Own-child,Female,Private,25,0,Never-married,United-States,White
28135,HS-grad,Adm-clerical,Unmarried,Female,Private,26,0,Divorced,United-States,White
28203,Some-college,Craft-repair,Husband,Male,Private,33,0,Married-civ-spouse,United-States,White
283,Bachelors,Prof-specialty,Not-in-family,Female,Private,60,0,Divorced,United-States,White
28502,Some-college,Adm-clerical,Own-child,Female,Private,19,0,Never-married,United-States,White
28612,Some-college,Adm-clerical,Not-in-family,Female,Private,37,0,Divorced,United-States,Black
28640,Some-college,Transport-moving,Husband,Male,Private,51,0,Married-civ-spouse,United-States,White
28657,11th,Transport-moving,Own-child,Male,Private,46,0,Never-married,United-States,White
28710,HS-grad,Other-service,Own-child,Male,Private,22,0,Never-married,United-States,Black
28765,10th,Other-service,Husband,Male,Private,72,0,Married-civ-spouse,United-States,White
28874,HS-grad,Protective-serv,Not-in-family,Male,Local-gov,68,1668,Widowed,United-States,White
28880,HS-grad,Sales,Husband,Male,Private,53,0,Married-civ-spouse,United-States,White
28901,HS-grad,Adm-clerical,Not-in-family,Male,Private,59,0,Never-married,Guatemala,White
28905,Some-college,Machine-op-inspct,Unmarried,Female,Private,32,0,Divorced,United-States,White
28994,HS-grad,Transport-moving,Not-in-family,Male,Private,42,0,Divorced,United-States,White
2908,12th,Other-service,Own-child,Female,Private,17,0,Never-married,United-States,White
29271,Some-college,Machine-op-inspct,Husband,Male,Private,35,0,Married-civ-spouse,United-States,White
29503,Some-college,Sales,Own-child,Female,Private,23,0,Never-married,United-States,White
29554,Some-college,Exec-managerial,Husband,Male,Self-emp-not-inc,48,0,Married-civ-spouse,United-States,Asian-Pac-Islander
29577,HS-grad,Craft-repair,Not-in-family,Male,Self-emp-not-inc,42,0,Divorced,United-States,White
30324,11th,Craft-repair,Own-child,Male,Private,22,0,Never-married,United-States,White
30347,Bachelors,Exec-managerial,Husband,Male,Self-emp-not-inc,39,0,Married-civ-spouse,South,Asian-Pac-Islander
30388,Assoc-acdm,Protective-serv,Unmarried,Male,Local-gov,31,0,Never-married,United-States,White
30426,Prof-school,Prof-specialty,Husband,Male,Self-emp-inc,56,0,Married-civ-spouse,United-States,White
3043,Some-college,Adm-clerical,Other-relative,Female,Private,21,0,Never-married,Mexico,White
30501,11th,Other-service,Own-child,Male,Private,21,0,Never-married,El-Salvador,White
30613,11th,Sales,Own-child,Female,Private,18,0,Never-married,United-States,White
30629,HS-grad,Machine-op-inspct,Not-in-family,Female,Private,36,0,Never-married,United-States,White
30658,HS-grad,Handlers-cleaners,Unmarried,Male,Private,42,0,Divorced,United-States,White
30691,Some-college,Farming-fishing,Own-child,Male,Private,20,0,Never-married,United-States,White
30712,Bachelors,Prof-specialty,Not-in-family,Female,Local-gov,27,0,Never-married,United-States,White
30719,10th,Craft-repair,Not-in-family,Male,Private,38,0,Divorced,United-States,White
30799,Assoc-acdm,Craft-repair,Not-in-family,Male,Private,43,2444,Divorced,United-States,White
30883,Assoc-voc,Tech-support,Unmarried,Female,Private,51,0,Divorced,United-States,Black
3092,9th,Farming-fishing,Husband,Male,Self-emp-not-inc,60,1672,Married-civ-spouse,United-States,White
3143,Masters,Exec-managerial,Husband,Male,Private,32,1977,Married-civ-spouse,United-States,Black
31738,Some-college,Handlers-cleaners,Not-in-family,Male,Private,30,0,Never-married,United-States,White
31768,Bachelors,Tech-support,Own-child,Male,Private,45,0,Never-married,United-States,White
31779,Assoc-acdm,Adm-clerical,Not-in-family,Female,Private,47,0,Never-married,United-States,White
3180,HS-grad,Protective-serv,Husband,Male,Local-gov,30,0,Married-civ-spouse,United-States,White
31841,HS-grad,Craft-repair,Not-in-family,Female,Private,36,0,Divorced,United-States,White
31904,10th,Other-service,Not-in-family,Male,Private,55,0,Never-married,United-States,White
31917,9th,Sales,Not-in-family,Male,Private,46,0,Divorced,United-States,White
3194,HS-grad,Other-service,Own-child,Male,Private,28,0,Divorced,United-States,Black
32034,7th-8th,Sales,Husband,Male,Private,57,0,Married-civ-spouse,United-States,White
32039,HS-grad,?,Own-child,Male,?,24,0,Never-married,United-States,White
3213,HS-grad,Other-service,Not-in-family,Male,Federal-gov,74,0,Widowed,United-States,White
32189,HS-grad,?,Wife,Female,?,19,0,Married-civ-spouse,United-States,White
32306,1st-4th,Handlers-cleaners,Other-relative,Male,Private,24,0,Married-civ-spouse,Mexico,White
32452,Some-college,Sales,Husband,Male,Private,32,0,Married-civ-spouse,United-States,White
32502,Bachelors,Prof-specialty,Husband,Male,Local-gov,35,0,Married-civ-spouse,United-States,White
32517,7th-8th,Craft-repair,Husband,Male,Private,36,0,Married-civ-spouse,United-States,White
3338,HS-grad,?,Not-in-family,Female,?,79,0,Widowed,United-States,Black
3386,HS-grad,Sales,Husband,Male,Private,38,0,Married-civ-spouse,Columbia,White
3563,HS-grad,Craft-repair,Not-in-family,Male,Private,51,0,Divorced,United-States,White
3571,HS-grad,Craft-repair,Husband,Male,Private,58,0,Married-civ-spouse,United-States,White
3660,HS-grad,Transport-moving,Husband,Male,Private,55,0,Married-civ-spouse,United-States,White
3919,Bachelors,Transport-moving,Own-child,Male,Private,25,0,Never-married,United-States,White
4061,11th,Sales,Own-child,Male,Private,28,0,Divorced,United-States,White
4129,Some-college,Other-service,Not-in-family,Female,Private,20,0,Never-married,United-States,White
4138,Some-college,Adm-clerical,Own-child,Female,Self-emp-not-inc,20,0,Never-married,Germany,White
4249,Bachelors,Sales,Husband,Male,Private,68,0,Married-civ-spouse,United-States,White
4262,Some-college,Adm-clerical,Own-child,Female,Private,20,0,Never-married,Vietnam,Asian-Pac-Islander
4362,Some-college,Craft-repair,Not-in-family,Female,Private,20,0,Never-married,United-States,White
4428,Bachelors,Adm-clerical,Husband,Male,Private,58,0,Married-civ-spouse,Mexico,White
444,9th,Craft-repair,Other-relative,Male,Private,27,0,Never-married,Mexico,White
449,11th,?,Own-child,Female,?,17,0,Never-married,United-States,White
4497,7th-8th,Craft-repair,Husband,Male,Private,46,0,Married-civ-spouse,United-States,White
4656,Assoc-acdm,Prof-specialty,Wife,Female,Local-gov,37,0,Married-civ-spouse,?,Black
480,Assoc-acdm,Craft-repair,Husband,Male,Private,33,0,Married-civ-spouse,Portugal,White
4837,HS-grad,Adm-clerical,Not-in-family,Female,Private,34,0,Never-married,United-States,White
4958,Some-college,?,Own-child,Female,?,20,0,Never-married,United-States,White
5211,10th,Machine-op-inspct,Husband,Male,Private,47,0,Married-civ-spouse,United-States,White
5307,Assoc-voc,?,Unmarried,Female,?,38,0,Separated,United-States,White
5678,Masters,Adm-clerical,Unmarried,Female,Private,49,0,Married-spouse-absent,United-States,White
5752,9th,Machine-op-inspct,Husband,Male,Private,33,0,Married-civ-spouse,United-States,White
5814,Some-college,Craft-repair,Not-in-family,Male,Private,34,0,Separated,United-States,White
5976,Bachelors,Exec-managerial,Husband,Male,Private,28,0,Married-civ-spouse,United-States,White
6112,HS-grad,Craft-repair,Husband,Male,Private,41,0,Married-civ-spouse,United-States,White
6344,HS-grad,Adm-clerical,Husband,Male,Federal-gov,46,0,Married-civ-spouse,Germany,White
6580,Masters,Exec-managerial,Husband,Male,Private,33,1902,Married-civ-spouse,Germany,White
6586,Some-college,Exec-managerial,Husband,Male,Self-emp-inc,33,0,Married-civ-spouse,United-States,White
6648,Masters,Adm-clerical,Not-in-family,Male,State-gov,52,0,Never-married,United-States,White
6685,Some-college,Adm-clerical,Own-child,Male,Private,19,0,Never-married,United-States,White
6688,Some-college,Other-service,Own-child,Female,State-gov,21,0,Never-married,United-States,White
6758,Bachelors,Sales,Husband,Male,Self-emp-not-inc,47,0,Married-civ-spouse,United-States,White
6767,HS-grad,Adm-clerical,Not-in-family,Female,Private,57,0,Divorced,United-States,White
6957,Assoc-acdm,Adm-clerical,Husband,Male,Federal-gov,47,0,Married-civ-spouse,United-States,Black
7036,Some-college,Sales,Unmarried,Female,Private,49,0,Divorced,England,White
7099,Prof-school,Prof-specialty,Husband,Male,Private,30,0,Married-civ-spouse,United-States,White
7157,10th,Machine-op-inspct,Own-child,Male,Private,18,0,Never-married,United-States,White
7168,HS-grad,Machine-op-inspct,Unmarried,Female,Private,35,0,Never-married,United-States,Black
7221,HS-grad,Tech-support,Not-in-family,Female,Private,22,0,Never-married,United-States,White
7235,Bachelors,Protective-serv,Not-in-family,Female,State-gov,45,0,Divorced,United-States,White
7294,HS-grad,Transport-moving,Husband,Male,Private,53,0,Married-civ-spouse,United-States,White
7454,11th,Machine-op-inspct,Husband,Male,Private,34,0,Married-civ-spouse,United-States,White
7475,HS-grad,Other-service,Unmarried,Male,Private,38,1408,Never-married,?,White
7621,Masters,Exec-managerial,Husband,Male,Private,44,0,Married-civ-spouse,United-States,White
7719,Some-college,Adm-clerical,Not-in-family,Female,Private,69,0,Widowed,United-States,White
7798,HS-grad,Machine-op-inspct,Husband,Male,Private,32,0,Married-civ-spouse,United-States,White
781,Assoc-voc,Machine-op-inspct,Not-in-family,Female,Private,28,1669,Never-married,United-States,White
784,Bachelors,Sales,Not-in-family,Female,Private,40,0,Never-married,United-States,Other
8119,HS-grad,Transport-moving,Husband,Male,Self-emp-not-inc,34,0,Married-civ-spouse,Mexico,White
8188,Some-college,Adm-clerical,Husband,Male,Private,43,0,Married-civ-spouse,United-States,White
8291,11th,Handlers-cleaners,Own-child,Male,Private,17,0,Never-married,United-States,White
8583,HS-grad,Other-service,Unmarried,Female,Private,49,0,Divorced,United-States,White
8657,10th,Other-service,Own-child,Male,Private,17,0,Never-married,United-States,White
8778,Masters,Prof-specialty,Husband,Male,Private,33,0,Married-civ-spouse,United-States,White
9113,Some-college,Adm-clerical,Husband,Male,Federal-gov,47,0,Married-civ-spouse,United-States,Black
9162,Bachelors,Prof-specialty,Not-in-family,Female,Local-gov,34,0,Never-married,United-States,White
9197,Bachelors,?,Husband,Male,?,47,0,Married-civ-spouse,United-States,White
9622,Bachelors,Adm-clerical,Not-in-family,Female,State-gov,24,0,Never-married,United-States,Black
9688,12th,Exec-managerial,Not-in-family,Male,State-gov,22,0,Never-married,United-States,White
9817,Prof-school,Prof-specialty,Husband,Male,Self-emp-not-inc,40,0,Married-civ-spouse,United-States,White
9865,Some-college,Sales,Husband,Male,Private,44,1902,Married-civ-spouse,United-States,Asian-Pac-Islander
