record_id,age,education,native-country,race,relationship,sex,workclass,marital-status,occupation
23376,25,Some-college,United-States,Black,Unmarried,Female,Local-gov,Never-married,Adm-clerical
23389,39,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Machine-op-inspct
23527,60,Assoc-voc,United-States,White,Husband,Male,Private,Married-civ-spouse,Tech-support
2354,22,Some-college,United-States,White,Own-child,Female,?,Never-married,?
23800,56,Masters,United-States,White,Not-in-family,Male,Self-emp-not-inc,Never-married,Sales
23815,71,Bachelors,United-States,White,Husband,Male,Self-emp-inc,Married-civ-spouse,Exec-managerial
23892,41,Bachelors,?,White,Husband,Male,Self-emp-inc,Married-civ-spouse,Exec-managerial
24092,28,Bachelors,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
24110,19,11th,United-States,White,Other-relative,Male,Private,Never-married,Transport-moving
24117,28,HS-grad,United-States,White,Not-in-family,Male,Private,Never-married,Transport-moving
24141,41,Assoc-acdm,United-States,White,Husband,Male,State-gov,Married-civ-spouse,Protective-serv
24189,18,11th,United-States,White,Own-child,Male,Private,Never-married,Handlers-cleaners
24269,28,10th,United-States,White,Unmarried,Male,Private,Never-married,Transport-moving
24283,19,Some-college,United-States,White,Own-child,Female,Private,Divorced,Other-service
24435,52,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
24443,46,Masters,United-States,White,Husband,Male,Private,Married-civ-spouse,Adm-clerical
24444,28,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
25007,53,9th,United-States,White,Husband,Male,Private,Married-civ-spouse,Transport-moving
25102,51,12th,United-States,White,Husband,Male,Private,Married-civ-spouse,Transport-moving
25454,54,10th,United-States,White,Husband,Male,Local-gov,Married-civ-spouse,Adm-clerical
25471,43,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
25505,28,Assoc-acdm,United-States,White,Wife,Female,Private,Married-civ-spouse,Exec-managerial
25508,34,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
25529,45,Some-college,United-States,White,Not-in-family,Male,Private,Separated,Craft-repair
25595,50,Bachelors,United-States,White,Husband,Male,Self-emp-inc,Married-civ-spouse,Sales
25895,43,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Machine-op-inspct
26036,38,HS-grad,United-States,White,Own-child,Male,Self-emp-not-inc,Divorced,Farming-fishing
26285,48,Bachelors,United-States,White,Unmarried,Female,Private,Widowed,Other-service
26438,47,HS-grad,England,White,Not-in-family,Female,Private,Widowed,Adm-clerical
26467,54,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
26701,48,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
26825,49,Doctorate,United-States,White,Not-in-family,Male,Self-emp-not-inc,Never-married,Prof-specialty
26837,37,Some-college,United-States,White,Own-child,Male,Federal-gov,Never-married,Adm-clerical
26930,29,Masters,United-States,White,Husband,Male,Federal-gov,Married-civ-spouse,Prof-specialty
27101,35,HS-grad,United-States,White,Husband,Male,Federal-gov,Married-civ-spouse,Adm-clerical
27116,43,Bachelors,United-States,White,Husband,Male,Private,Married-civ-spouse,Tech-support
27271,31,Some-college,Honduras,White,Not-in-family,Male,Private,Never-married,Exec-managerial
27283,46,Some-college,United-States,Black,Husband,Male,Federal-gov,Married-civ-spouse,Exec-managerial
27348,23,HS-grad,United-States,White,Unmarried,Female,Private,Separated,Machine-op-inspct
27377,40,HS-grad,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Craft-repair
2741,47,HS-grad,United-States,White,Husband,Male,State-gov,Married-civ-spouse,Other-service
27462,61,Some-college,United-States,White,Own-child,Male,Private,Never-married,Tech-support
27663,44,Bachelors,United-States,White,Husband,Male,Local-gov,Married-civ-spouse,Prof-specialty
27693,17,10th,United-States,White,Own-child,Male,Private,Never-married,Other-service
27724,57,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Transport-moving
27759,17,10th,United-States,Black,Own-child,Female,Private,Never-married,Sales
27907,52,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Adm-clerical
27958,31,Bachelors,United-States,White,Not-in-family,Male,Private,Never-married,Sales
281,42,Some-college,United-States,White,Husband,Male,Local-gov,Married-civ-spouse,Craft-repair
28193,21,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
2832,57,Some-college,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Sales
28345,46,HS-grad,United-States,White,Not-in-family,Female,Private,Divorced,Adm-clerical
28495,55,HS-grad,United-States,Black,Unmarried,Female,Private,Divorced,Sales
28557,34,Masters,India,Asian-Pac-Islander,Husband,Male,Private,Married-civ-spouse,Prof-specialty
28643,42,HS-grad,United-States,White,Not-in-family,Male,Private,Divorced,Sales
28768,28,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Transport-moving
28778,50,Bachelors,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Craft-repair
28818,35,HS-grad,United-States,White,Own-child,Female,Private,Divorced,Other-service
2894,48,Bachelors,United-States,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
29096,34,HS-grad,United-States,White,Unmarried,Female,Private,Divorced,Exec-managerial
29323,46,Bachelors,?,White,Husband,Male,Private,Married-civ-spouse,Transport-moving
29463,34,Bachelors,United-States,White,Not-in-family,Male,Private,Never-married,Sales
29590,36,HS-grad,United-States,White,Not-in-family,Male,Private,Never-married,Machine-op-inspct
29653,34,Some-college,United-States,White,Not-in-family,Female,Private,Never-married,Prof-specialty
29686,27,Bachelors,United-States,White,Own-child,Female,Private,Never-married,Exec-managerial
29975,45,Bachelors,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Farming-fishing
30003,20,Some-college,United-States,White,Own-child,Female,Private,Never-married,Prof-specialty
30150,22,Bachelors,United-States,White,Own-child,Female,Private,Never-married,Adm-clerical
30317,33,Bachelors,United-States,White,Not-in-family,Female,Private,Never-married,Prof-specialty
30380,27,HS-grad,United-States,White,Not-in-family,Male,Private,Separated,Machine-op-inspct
30542,27,Assoc-voc,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
30546,47,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
30664,54,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
30674,49,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
30838,31,Masters,United-States,White,Not-in-family,Male,Local-gov,Never-married,Exec-managerial
30875,31,HS-grad,United-States,Black,Unmarried,Male,Private,Divorced,Sales
31060,30,Bachelors,Philippines,Asian-Pac-Islander,Wife,Female,Private,Married-civ-spouse,Adm-clerical
31155,31,Some-college,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Craft-repair
31234,22,11th,United-States,White,Own-child,Male,Local-gov,Never-married,Handlers-cleaners
31438,21,Assoc-voc,United-States,Black,Unmarried,Female,Private,Never-married,Adm-clerical
31699,43,Some-college,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Farming-fishing
31809,54,HS-grad,United-States,White,Husband,Male,Federal-gov,Married-civ-spouse,Exec-managerial
31853,28,HS-grad,United-States,White,Own-child,Male,Private,Never-married,Craft-repair
31903,35,Masters,United-States,White,Husband,Male,Local-gov,Married-civ-spouse,Prof-specialty
31936,50,Some-college,United-States,White,Husband,Male,Self-emp-inc,Married-civ-spouse,Sales
31996,40,Assoc-acdm,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Farming-fishing
3212,49,Bachelors,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
32167,35,Masters,United-States,White,Not-in-family,Female,Private,Never-married,Sales
32227,21,Some-college,United-States,White,Own-child,Female,Private,Never-married,Tech-support
32417,20,Some-college,United-States,White,Not-in-family,Female,Private,Never-married,Sales
32450,38,9th,United-States,Black,Husband,Male,Private,Married-civ-spouse,Transport-moving
32518,57,HS-grad,United-States,White,Husband,Male,Local-gov,Married-civ-spouse,Craft-repair
3318,26,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
3373,40,HS-grad,United-States,White,Unmarried,Female,Private,Divorced,Tech-support
3500,46,Bachelors,United-States,White,Husband,Male,Private,Married-civ-spouse,Tech-support
3603,61,7th-8th,United-States,White,Husband,Male,Private,Married-civ-spouse,Transport-moving
4493,25,11th,United-States,White,Own-child,Female,Private,Divorced,Sales
4701,36,10th,United-States,White,Not-in-family,Male,Private,Never-married,Handlers-cleaners
4857,57,Bachelors,United-States,White,Husband,Male,Self-emp-inc,Married-civ-spouse,Exec-managerial
4904,17,10th,United-States,White,Own-child,Male,Private,Never-married,Other-service
5211,47,10th,United-States,White,Husband,Male,Private,Married-civ-spouse,Machine-op-inspct
5369,30,Some-college,United-States,Black,Husband,Male,Private,Married-civ-spouse,Transport-moving
5533,26,HS-grad,United-States,White,Unmarried,Female,Private,Divorced,Sales
5653,50,Assoc-voc,United-States,White,Husband,Male,Private,Married-civ-spouse,Other-service
6063,26,Bachelors,United-States,White,Own-child,Male,State-gov,Never-married,Prof-specialty
6101,25,Bachelors,United-States,White,Husband,Male,Local-gov,Married-civ-spouse,Prof-specialty
6103,41,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
616,30,HS-grad,United-States,Black,Husband,Male,Private,Married-civ-spouse,Transport-moving
6161,39,Bachelors,United-States,White,Not-in-family,Male,Self-emp-inc,Married-spouse-absent,Sales
6308,35,Some-college,United-States,White,Not-in-family,Male,Private,Never-married,Exec-managerial
6400,22,Bachelors,United-States,White,Own-child,Male,Federal-gov,Never-married,Tech-support
6434,54,Some-college,United-States,White,Unmarried,Female,Private,Divorced,Craft-repair
6759,31,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
6850,43,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
6978,24,7th-8th,United-States,White,Own-child,Male,Self-emp-not-inc,Never-married,Farming-fishing
7137,39,HS-grad,United-States,Black,Other-relative,Female,Private,Married-civ-spouse,Other-service
7144,29,11th,United-States,White,Unmarried,Female,Private,Divorced,Machine-op-inspct
7394,20,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
7395,50,10th,United-States,White,Not-in-family,Male,Self-emp-not-inc,Divorced,Craft-repair
7405,55,Assoc-acdm,United-States,White,Unmarried,Female,Private,Divorced,Adm-clerical
7490,41,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
7602,61,HS-grad,United-States,White,Not-in-family,Male,Self-emp-inc,Divorced,Sales
7712,41,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
7784,24,Bachelors,United-States,White,Not-in-family,Female,?,Never-married,?
7855,53,Some-college,United-States,White,Husband,Male,State-gov,Married-civ-spouse,Farming-fishing
7856,28,Assoc-acdm,United-States,White,Unmarried,Male,Local-gov,Widowed,Prof-specialty
7985,33,Bachelors,United-States,White,Not-in-family,Male,Private,Never-married,Handlers-cleaners
8171,29,Bachelors,United-States,White,Not-in-family,Male,State-gov,Never-married,Craft-repair
8213,37,Masters,United-States,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
8232,26,Bachelors,United-States,White,Not-in-family,Female,Local-gov,Never-married,Prof-specialty
8323,47,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
8357,39,HS-grad,United-States,White,Own-child,Female,Local-gov,Never-married,Adm-clerical
852,46,HS-grad,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Sales
8520,32,HS-grad,United-States,White,Not-in-family,Male,Private,Never-married,Handlers-cleaners
8543,62,HS-grad,United-States,White,Husband,Male,?,Married-civ-spouse,?
8595,38,HS-grad,United-States,White,Unmarried,Female,Self-emp-not-inc,Separated,Other-service
8659,32,HS-grad,United-States,White,Own-child,Male,Private,Never-married,Craft-repair
8733,25,Masters,United-States,White,Own-child,Female,Private,Never-married,Prof-specialty
8870,22,HS-grad,United-States,White,Own-child,Male,Private,Never-married,Machine-op-inspct
9166,51,Bachelors,United-States,White,Husband,Male,Local-gov,Married-civ-spouse,Prof-specialty
9196,46,HS-grad,United-States,Amer-Indian-Eskimo,Not-in-family,Male,Private,Never-married,Transport-moving
9284,23,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
9503,46,Bachelors,?,White,Husband,Male,Self-emp-inc,Married-civ-spouse,Sales
9569,34,11th,United-States,White,Husband,Male,Private,Married-civ-spouse,Handlers-cleaners
9632,42,Bachelors,United-States,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
9688,22,12th,United-States,White,Not-in-family,Male,State-gov,Never-married,Exec-managerial
9750,31,Bachelors,United-States,White,Not-in-family,Male,Private,Never-married,Tech-support
981,22,Assoc-acdm,United-States,White,Not-in-family,Female,Private,Never-married,Adm-clerical
