record_id,age,native-country,occupation,race,relationship,sex
2968,49,United-States,Sales,White,Husband,Male
29769,42,United-States,Sales,White,Husband,Male
29931,51,United-States,Adm-clerical,White,Not-in-family,Female
29986,44,United-States,Adm-clerical,White,Husband,Male
30008,36,United-States,Adm-clerical,White,Unmarried,Female
30091,26,United-States,Craft-repair,White,Husband,Male
30243,47,United-States,Sales,White,Not-in-family,Male
30475,38,United-States,Craft-repair,White,Husband,Male
30538,36,United-States,Craft-repair,White,Unmarried,Male
30570,25,United-States,Adm-clerical,White,Own-child,Female
30602,23,United-States,Handlers-cleaners,White,Own-child,Male
30606,33,United-States,Sales,White,Husband,Male
30825,21,United-States,Craft-repair,White,Own-child,Male
30945,49,United-States,Exec-managerial,White,Husband,Male
31166,47,United-States,Craft-repair,White,Husband,Male
31261,24,United-States,Craft-repair,White,Unmarried,Male
31319,36,United-States,Exec-managerial,White,Unmarried,Female
31419,36,United-States,Exec-managerial,White,Not-in-family,Female
31496,49,United-States,Sales,White,Husband,Male
31832,30,United-States,Prof-specialty,White,Husband,Male
31833,39,United-States,Adm-clerical,White,Wife,Female
3193,33,United-States,Machine-op-inspct,Black,Unmarried,Female
31940,68,United-States,Craft-repair,White,Husband,Male
31944,44,?,Adm-clerical,White,Not-in-family,Male
32082,49,United-States,Adm-clerical,White,Husband,Male
32095,27,United-States,Exec-managerial,White,Not-in-family,Female
3211,82,United-States,?,White,Not-in-family,Male
3213,74,United-States,Other-service,White,Not-in-family,Male
32183,44,United-States,Exec-managerial,White,Husband,Male
32191,23,United-States,Protective-serv,Black,Husband,Male
32363,41,United-States,Sales,White,Husband,Male
32405,33,United-States,Other-service,White,Husband,Male
32406,20,United-States,Adm-clerical,White,Own-child,Female
32414,29,United-States,Other-service,White,Unmarried,Female
3304,37,United-States,Adm-clerical,White,Unmarried,Female
3354,26,United-States,Handlers-cleaners,White,Unmarried,Male
3376,35,United-States,Transport-moving,Black,Husband,Male
3583,43,United-States,Protective-serv,White,Husband,Male
3628,22,United-States,Exec-managerial,White,Other-relative,Female
4162,49,United-States,Craft-repair,White,Husband,Male
4661,45,United-States,Sales,White,Husband,Male
479,23,United-States,Other-service,White,Unmarried,Female
4873,35,United-States,Sales,White,Husband,Male
4912,38,United-States,Adm-clerical,Black,Own-child,Female
4916,47,United-States,Other-service,White,Husband,Male
4962,31,United-States,Craft-repair,Other,Own-child,Male
5031,63,United-States,Sales,White,Husband,Male
5085,52,United-States,Farming-fishing,White,Husband,Male
5096,65,United-States,Other-service,Black,Unmarried,Female
5167,49,United-States,Handlers-cleaners,White,Husband,Male
5281,19,United-States,Handlers-cleaners,White,Not-in-family,Male
5328,27,United-States,Exec-managerial,White,Own-child,Male
5531,31,United-States,Machine-op-inspct,White,Husband,Male
5553,18,United-States,Sales,White,Own-child,Male
5793,43,United-States,Exec-managerial,White,Husband,Male
5798,49,United-States,Exec-managerial,White,Husband,Male
582,59,United-States,Craft-repair,White,Husband,Male
5938,52,United-States,Craft-repair,White,Own-child,Male
618,52,United-States,Sales,White,Husband,Male
6180,71,United-States,Farming-fishing,White,Husband,Male
6480,26,United-States,Sales,White,Own-child,Male
649,30,United-States,Tech-support,White,Husband,Male
6519,51,United-States,Exec-managerial,White,Unmarried,Male
6559,32,Italy,Farming-fishing,White,Husband,Male
6838,36,United-States,Adm-clerical,White,Other-relative,Female
6934,56,United-States,Exec-managerial,White,Husband,Male
6962,36,United-States,Sales,White,Husband,Male
7275,42,Italy,Exec-managerial,White,Not-in-family,Female
7359,42,United-States,Prof-specialty,White,Husband,Male
7497,47,United-States,Sales,White,Husband,Male
7574,20,United-States,Adm-clerical,White,Own-child,Female
7621,44,United-States,Exec-managerial,White,Husband,Male
8209,35,United-States,Exec-managerial,White,Husband,Male
8382,41,United-States,Adm-clerical,White,Not-in-family,Female
8492,29,United-States,Tech-support,White,Not-in-family,Male
8605,21,United-States,Transport-moving,White,Own-child,Male
8615,33,United-States,Machine-op-inspct,White,Not-in-family,Female
8792,57,United-States,Craft-repair,White,Husband,Male
8836,37,United-States,Protective-serv,White,Husband,Male
9123,52,United-States,Prof-specialty,Black,Husband,Male
9184,32,United-States,Prof-specialty,White,Husband,Male
919,21,United-States,Other-service,White,Own-child,Male
9199,35,United-States,Prof-specialty,White,Husband,Male
9266,53,United-States,Exec-managerial,Amer-Indian-Eskimo,Husband,Male
9268,34,United-States,Exec-managerial,White,Husband,Male
9477,19,United-States,?,White,Own-child,Female
9494,63,United-States,Exec-managerial,White,Husband,Male
9934,27,United-States,Other-service,White,Not-in-family,Male
