record_id,age,native-country,sex,capital-loss,education,hours-per-week,marital-status,occupation,race,relationship
2320,40,United-States,Male,0,Some-college,40,Never-married,Craft-repair,White,Not-in-family
23218,23,United-States,Male,0,Assoc-acdm,12,Never-married,Adm-clerical,White,Not-in-family
23270,27,United-States,Male,0,HS-grad,45,Married-civ-spouse,Sales,White,Husband
23313,56,United-States,Male,0,Assoc-voc,40,Married-civ-spouse,Craft-repair,Black,Husband
23429,36,United-States,Female,0,Assoc-voc,40,Married-civ-spouse,Prof-specialty,White,Wife
23595,54,United-States,Male,0,HS-grad,40,Married-civ-spouse,Craft-repair,White,Husband
23671,56,United-States,Male,0,HS-grad,40,Married-civ-spouse,Transport-moving,White,Husband
23674,21,United-States,Male,0,Some-college,40,Never-married,Handlers-cleaners,White,Own-child
23856,32,United-States,Male,0,HS-grad,40,Never-married,Craft-repair,White,Own-child
23945,21,United-States,Female,0,Some-college,35,Never-married,Other-service,White,Own-child
23994,43,United-States,Male,1887,10th,40,Married-civ-spouse,Machine-op-inspct,Black,Husband
24022,24,United-States,Female,0,Bachelors,40,Never-married,Sales,White,Not-in-family
24122,43,United-States,Male,0,Bachelors,40,Married-civ-spouse,Exec-managerial,White,Husband
24183,49,United-States,Female,0,Bachelors,40,Divorced,?,White,Own-child
24274,67,United-States,Male,0,HS-grad,58,Married-civ-spouse,Transport-moving,White,Husband
24324,41,United-States,Male,0,Some-college,20,Divorced,Protective-serv,White,Not-in-family
24464,39,United-States,Female,0,HS-grad,40,Never-married,Sales,Black,Unmarried
24493,52,United-States,Male,0,Assoc-voc,40,Married-civ-spouse,Exec-managerial,White,Husband
24645,28,United-States,Male,0,HS-grad,40,Never-married,Craft-repair,White,Own-child
24675,47,United-States,Female,0,Assoc-acdm,67,Widowed,Exec-managerial,White,Not-in-family
24802,17,United-States,Male,0,10th,20,Never-married,Handlers-cleaners,White,Own-child
25154,35,United-States,Male,0,Assoc-voc,50,Married-civ-spouse,Craft-repair,White,Husband
25173,59,United-States,Female,0,Some-college,32,Divorced,Other-service,White,Unmarried
25218,21,United-States,Male,0,HS-grad,40,Never-married,Transport-moving,White,Own-child
2543,54,United-States,Male,0,HS-grad,40,Widowed,Machine-op-inspct,White,Unmarried
25475,40,United-States,Male,0,HS-grad,40,Separated,Machine-op-inspct,White,Unmarried
25483,32,United-States,Male,0,HS-grad,40,Divorced,Craft-repair,White,Unmarried
25565,34,Philippines,Female,0,Some-college,38,Married-spouse-absent,Adm-clerical,Asian-Pac-Islander,Unmarried
25724,53,United-States,Female,1876,Bachelors,54,Divorced,Prof-specialty,White,Not-in-family
25802,67,Canada,Male,0,Doctorate,20,Married-civ-spouse,?,White,Husband
25840,46,United-States,Male,0,Some-college,45,Married-civ-spouse,Transport-moving,White,Husband
26060,52,United-States,Female,0,Doctorate,40,Married-civ-spouse,Prof-specialty,White,Wife
2610,18,United-States,Female,0,11th,25,Never-married,Sales,Amer-Indian-Eskimo,Other-relative
26121,39,United-States,Male,0,Some-college,40,Married-spouse-absent,Craft-repair,White,Unmarried
26168,29,United-States,Male,0,HS-grad,40,Married-civ-spouse,Craft-repair,White,Husband
26181,46,United-States,Male,0,10th,40,Divorced,Machine-op-inspct,Black,Unmarried
26228,21,United-States,Female,0,Some-college,30,Never-married,Other-service,White,Not-in-family
26415,36,Japan,Male,1977,Masters,40,Married-civ-spouse,Adm-clerical,White,Husband
26622,41,United-States,Female,0,HS-grad,50,Never-married,Sales,White,Not-in-family
2671,43,United-States,Male,0,1st-4th,40,Never-married,Sales,White,Own-child
26714,27,United-States,Male,0,Bachelors,35,Never-married,Transport-moving,White,Other-relative
27055,45,United-States,Male,0,HS-grad,40,Never-married,Handlers-cleaners,White,Other-relative
27238,46,United-States,Female,0,Some-college,40,Divorced,Exec-managerial,White,Not-in-family
27239,34,United-States,Female,0,Preschool,25,Never-married,Adm-clerical,Black,Own-child
27250,48,United-States,Male,0,Some-college,40,Never-married,Other-service,White,Not-in-family
27330,49,Greece,Male,2603,5th-6th,40,Married-civ-spouse,Other-service,White,Husband
27546,29,United-States,Female,0,Bachelors,45,Never-married,Prof-specialty,White,Not-in-family
27630,33,United-States,Male,0,HS-grad,50,Married-civ-spouse,Craft-repair,White,Husband
28041,48,United-States,Female,0,HS-grad,50,Married-civ-spouse,Machine-op-inspct,White,Wife
28082,33,United-States,Male,0,Doctorate,50,Married-civ-spouse,Prof-specialty,White,Husband
28092,17,United-States,Female,0,10th,10,Never-married,Sales,White,Own-child
28422,39,Dominican-Republic,Female,0,HS-grad,40,Divorced,Other-service,Other,Not-in-family
28448,30,United-States,Male,0,Some-college,40,Married-civ-spouse,Craft-repair,White,Husband
28483,32,El-Salvador,Male,0,5th-6th,40,Married-spouse-absent,Craft-repair,White,Other-relative
28651,45,India,Male,0,Prof-school,50,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Husband
28792,39,United-States,Male,0,Doctorate,45,Never-married,Prof-specialty,White,Not-in-family
28821,50,United-States,Male,0,Some-college,22,Divorced,Craft-repair,White,Not-in-family
28869,51,United-States,Female,0,Bachelors,40,Widowed,Prof-specialty,Black,Not-in-family
28884,23,Philippines,Male,0,Some-college,25,Never-married,Sales,Asian-Pac-Islander,Other-relative
29042,20,United-States,Male,0,HS-grad,40,Never-married,Sales,White,Not-in-family
29051,20,United-States,Male,0,Some-college,35,Never-married,Sales,White,Own-child
29079,39,United-States,Male,0,Some-college,38,Divorced,Exec-managerial,White,Not-in-family
29114,33,United-States,Male,0,Assoc-voc,56,Never-married,Protective-serv,White,Not-in-family
29148,78,United-States,Female,0,HS-grad,12,Widowed,Sales,White,Unmarried
29153,25,United-States,Male,0,Masters,35,Never-married,Prof-specialty,White,Own-child
29223,43,United-States,Male,0,10th,25,Divorced,Farming-fishing,White,Unmarried
29265,36,United-States,Male,0,HS-grad,55,Married-civ-spouse,Craft-repair,White,Husband
29317,33,United-States,Male,0,12th,40,Married-civ-spouse,Protective-serv,White,Husband
29326,23,United-States,Male,0,Bachelors,55,Never-married,Sales,White,Own-child
2937,19,United-States,Male,0,HS-grad,40,Never-married,Other-service,White,Own-child
29483,27,United-States,Female,0,HS-grad,40,Divorced,Adm-clerical,White,Not-in-family
2952,22,United-States,Female,0,HS-grad,22,Married-civ-spouse,?,White,Wife
29579,26,United-States,Male,0,10th,20,Never-married,Adm-clerical,Black,Not-in-family
29586,35,United-States,Female,0,HS-grad,40,Married-civ-spouse,?,Black,Wife
29599,42,United-States,Female,0,HS-grad,40,Never-married,Adm-clerical,White,Unmarried
29782,56,United-States,Female,0,HS-grad,45,Never-married,Prof-specialty,White,Not-in-family
29807,19,United-States,Female,0,Some-college,40,Never-married,?,White,Own-child
29814,55,United-States,Female,0,7th-8th,40,Divorced,?,White,Unmarried
29863,33,United-States,Male,0,Masters,40,Never-married,Exec-managerial,White,Unmarried
3003,33,United-States,Female,0,Some-college,25,Divorced,Sales,White,Not-in-family
30134,43,United-States,Male,0,HS-grad,60,Never-married,Farming-fishing,White,Not-in-family
30276,28,?,Female,0,Some-college,40,Never-married,Exec-managerial,White,Own-child
30393,39,United-States,Male,0,HS-grad,40,Married-civ-spouse,Machine-op-inspct,White,Husband
30430,29,United-States,Male,0,Assoc-voc,40,Married-civ-spouse,Protective-serv,White,Husband
30481,50,United-States,Male,1902,HS-grad,60,Married-civ-spouse,Sales,White,Husband
30513,17,United-States,Female,0,11th,10,Never-married,?,White,Own-child
30540,30,United-States,Male,0,Assoc-acdm,40,Never-married,Craft-repair,White,Own-child
31091,29,United-States,Male,0,HS-grad,25,Separated,Prof-specialty,White,Other-relative
31251,22,United-States,Female,0,Assoc-acdm,15,Never-married,Prof-specialty,White,Not-in-family
31298,29,United-States,Male,0,HS-grad,45,Divorced,Adm-clerical,Other,Not-in-family
31410,24,United-States,Male,0,HS-grad,40,Never-married,Machine-op-inspct,White,Not-in-family
31416,42,United-States,Female,0,Assoc-acdm,40,Separated,Adm-clerical,Black,Unmarried
31423,29,United-States,Male,0,10th,40,Never-married,Prof-specialty,White,Not-in-family
31425,30,United-States,Male,0,Masters,40,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Husband
31443,30,United-States,Male,0,11th,40,Married-civ-spouse,Transport-moving,White,Husband
31608,50,United-States,Female,2415,Bachelors,20,Married-civ-spouse,Exec-managerial,White,Wife
3184,54,United-States,Female,0,Bachelors,40,Never-married,Prof-specialty,Asian-Pac-Islander,Unmarried
31903,35,United-States,Male,1887,Masters,40,Married-civ-spouse,Prof-specialty,White,Husband
32122,49,United-States,Male,0,HS-grad,40,Divorced,Craft-repair,White,Unmarried
3223,44,United-States,Male,0,Bachelors,65,Divorced,Adm-clerical,Black,Not-in-family
32239,36,United-States,Female,0,HS-grad,38,Separated,Adm-clerical,White,Not-in-family
32278,55,Italy,Female,0,12th,40,Divorced,Machine-op-inspct,White,Not-in-family
3274,52,United-States,Male,0,Bachelors,40,Married-civ-spouse,Prof-specialty,White,Husband
3313,23,United-States,Female,0,Bachelors,38,Never-married,Prof-specialty,White,Own-child
3323,43,United-States,Male,0,Some-college,42,Married-civ-spouse,Transport-moving,White,Husband
3455,39,United-States,Male,0,Some-college,40,Never-married,Machine-op-inspct,White,Own-child
3471,31,United-States,Male,0,HS-grad,50,Married-civ-spouse,Transport-moving,White,Husband
358,42,United-States,Female,0,HS-grad,35,Married-civ-spouse,Adm-clerical,White,Wife
4251,43,United-States,Female,0,HS-grad,40,Divorced,Tech-support,White,Not-in-family
4317,40,United-States,Male,0,Bachelors,35,Separated,Adm-clerical,Black,Unmarried
4326,64,?,Male,0,1st-4th,53,Married-civ-spouse,Transport-moving,White,Husband
4336,22,United-States,Female,0,Some-college,30,Never-married,Other-service,Black,Unmarried
4509,20,United-States,Female,0,HS-grad,30,Never-married,Machine-op-inspct,White,Own-child
4564,33,United-States,Female,0,Some-college,40,Divorced,Adm-clerical,White,Not-in-family
4707,27,United-States,Male,0,10th,48,Married-civ-spouse,Craft-repair,White,Husband
4816,30,United-States,Male,0,Bachelors,50,Married-civ-spouse,Exec-managerial,White,Husband
4859,18,United-States,Male,0,HS-grad,40,Never-married,Farming-fishing,White,Other-relative
4932,32,United-States,Male,0,Some-college,40,Divorced,Craft-repair,White,Own-child
5038,55,United-States,Male,0,Assoc-voc,45,Married-civ-spouse,Machine-op-inspct,White,Husband
5104,90,United-States,Male,0,Some-college,35,Never-married,Other-service,Asian-Pac-Islander,Not-in-family
5141,58,Canada,Male,0,HS-grad,40,Never-married,Transport-moving,White,Own-child
515,57,United-States,Female,0,Assoc-voc,38,Widowed,?,White,Unmarried
5346,20,Germany,Male,0,Some-college,40,Never-married,?,White,Own-child
5351,30,United-States,Male,0,Masters,45,Never-married,Prof-specialty,White,Not-in-family
5357,36,United-States,Male,0,HS-grad,20,Married-civ-spouse,Handlers-cleaners,Black,Husband
5414,37,United-States,Male,0,Some-college,45,Married-civ-spouse,Sales,White,Husband
5638,25,United-States,Male,0,Bachelors,40,Never-married,Craft-repair,White,Own-child
5709,37,?,Male,0,Doctorate,72,Married-civ-spouse,Prof-specialty,White,Husband
5722,27,United-States,Female,0,Assoc-acdm,40,Never-married,Sales,White,Own-child
5883,58,Greece,Male,0,10th,40,Never-married,Craft-repair,White,Not-in-family
6260,42,United-States,Female,0,HS-grad,40,Divorced,Craft-repair,White,Other-relative
6362,51,United-States,Male,0,Bachelors,25,Married-civ-spouse,Machine-op-inspct,White,Husband
640,26,United-States,Male,0,HS-grad,55,Divorced,Craft-repair,White,Not-in-family
6532,49,Canada,Male,0,Some-college,50,Married-civ-spouse,Craft-repair,White,Husband
6577,41,United-States,Male,0,HS-grad,40,Married-civ-spouse,Other-service,White,Husband
6610,29,United-States,Male,0,HS-grad,40,Married-civ-spouse,Protective-serv,White,Husband
6686,47,United-States,Female,0,HS-grad,40,Married-civ-spouse,Exec-managerial,White,Wife
6711,22,United-States,Male,0,HS-grad,50,Never-married,Handlers-cleaners,White,Other-relative
6793,23,United-States,Female,0,Bachelors,5,Never-married,Adm-clerical,White,Not-in-family
6891,34,United-States,Female,0,Some-college,50,Divorced,Adm-clerical,White,Unmarried
6992,31,United-States,Male,0,Assoc-acdm,45,Married-civ-spouse,Sales,White,Husband
7026,38,United-States,Female,0,HS-grad,40,Divorced,Adm-clerical,White,Unmarried
7034,58,United-States,Male,0,Bachelors,40,Married-civ-spouse,Sales,White,Husband
7056,38,United-States,Male,0,Bachelors,40,Never-married,Adm-clerical,Black,Not-in-family
7221,22,United-States,Female,0,HS-grad,40,Never-married,Tech-support,White,Not-in-family
7557,28,United-States,Male,0,HS-grad,50,Married-civ-spouse,Sales,White,Husband
7614,43,Mexico,Male,0,HS-grad,40,Separated,Transport-moving,White,Unmarried
7657,57,United-States,Male,0,HS-grad,60,Married-civ-spouse,Prof-specialty,Black,Husband
7665,45,United-States,Female,0,Assoc-voc,40,Divorced,Adm-clerical,Black,Unmarried
7931,45,United-States,Male,0,Bachelors,50,Married-civ-spouse,Exec-managerial,White,Husband
8129,17,United-States,Female,0,11th,20,Never-married,Sales,White,Own-child
8195,38,United-States,Male,0,Bachelors,50,Married-civ-spouse,Prof-specialty,White,Husband
8509,24,United-States,Male,0,Some-college,40,Never-married,Transport-moving,White,Own-child
86,49,United-States,Male,0,HS-grad,40,Married-civ-spouse,Protective-serv,White,Husband
8712,40,United-States,Male,1672,HS-grad,45,Married-civ-spouse,Exec-managerial,White,Husband
8764,53,United-States,Male,0,7th-8th,35,Married-civ-spouse,?,White,Husband
8940,27,United-States,Male,0,Some-college,30,Divorced,?,White,Not-in-family
9037,22,United-States,Male,0,Some-college,35,Never-married,Handlers-cleaners,White,Own-child
9056,22,United-States,Male,0,9th,40,Never-married,Sales,White,Not-in-family
9076,25,United-States,Female,0,Assoc-voc,60,Never-married,Adm-clerical,White,Own-child
9113,47,United-States,Male,0,Some-college,40,Married-civ-spouse,Adm-clerical,Black,Husband
9215,38,Philippines,Male,0,Bachelors,40,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Husband
9218,50,United-States,Male,1902,Bachelors,40,Married-civ-spouse,Exec-managerial,White,Husband
9221,47,United-States,Male,0,11th,40,Divorced,Handlers-cleaners,White,Not-in-family
9288,33,United-States,Male,0,HS-grad,40,Married-civ-spouse,Craft-repair,White,Husband
951,43,United-States,Male,0,Masters,43,Married-civ-spouse,Exec-managerial,White,Husband
9525,33,China,Female,0,HS-grad,48,Separated,Other-service,Asian-Pac-Islander,Unmarried
9561,56,United-States,Female,0,Bachelors,45,Never-married,Exec-managerial,White,Not-in-family
9789,23,United-States,Male,0,HS-grad,65,Never-married,Craft-repair,White,Not-in-family
9857,61,England,Male,0,Prof-school,50,Married-civ-spouse,Prof-specialty,White,Husband
