record_id,education,occupation,relationship
17657,Assoc-voc,Other-service,Not-in-family
17680,HS-grad,Other-service,Own-child
17967,Some-college,Prof-specialty,Unmarried
18002,HS-grad,Craft-repair,Own-child
18047,Masters,Sales,Husband
18085,Bachelors,Prof-specialty,Husband
18107,HS-grad,Machine-op-inspct,Husband
18219,Bachelors,Sales,Husband
1828,Some-college,Sales,Own-child
18527,Some-college,Protective-serv,Husband
18586,Masters,Exec-managerial,Wife
18595,Assoc-voc,Tech-support,Husband
18775,9th,Other-service,Unmarried
18923,Some-college,?,Not-in-family
18938,Some-college,Exec-managerial,Unmarried
19273,11th,Adm-clerical,Other-relative
19341,Some-college,Adm-clerical,Wife
19557,Assoc-voc,Prof-specialty,Not-in-family
19622,HS-grad,Machine-op-inspct,Unmarried
19754,Assoc-voc,Exec-managerial,Husband
19800,HS-grad,Craft-repair,Not-in-family
19895,Masters,Exec-managerial,Husband
19958,HS-grad,Craft-repair,Own-child
19988,Bachelors,Sales,Husband
20196,Assoc-acdm,Sales,Unmarried
20345,Some-college,Other-service,Not-in-family
20365,HS-grad,Adm-clerical,Not-in-family
20397,HS-grad,Other-service,Unmarried
20790,Bachelors,Machine-op-inspct,Not-in-family
20976,Bachelors,Tech-support,Not-in-family
21003,Some-college,Exec-managerial,Husband
21028,10th,Other-service,Not-in-family
21049,Some-college,Craft-repair,Unmarried
21059,11th,Transport-moving,Not-in-family
21382,Masters,Prof-specialty,Not-in-family
21462,Bachelors,Adm-clerical,Own-child
21518,Some-college,Other-service,Not-in-family
21643,Some-college,Sales,Wife
21659,Assoc-voc,Craft-repair,Unmarried
21887,HS-grad,Exec-managerial,Husband
21939,HS-grad,Adm-clerical,Own-child
21991,HS-grad,Handlers-cleaners,Husband
22050,Masters,Prof-specialty,Husband
22308,Some-college,Handlers-cleaners,Own-child
22432,HS-grad,Exec-managerial,Husband
22442,HS-grad,Craft-repair,Not-in-family
22502,10th,?,Not-in-family
22553,Assoc-voc,Prof-specialty,Husband
2259,Bachelors,Exec-managerial,Unmarried
22708,Masters,Prof-specialty,Wife
22739,Bachelors,Exec-managerial,Husband
22786,HS-grad,?,Not-in-family
22875,HS-grad,Adm-clerical,Not-in-family
22996,Masters,Exec-managerial,Not-in-family
23035,Some-college,Transport-moving,Not-in-family
23093,Some-college,Sales,Husband
23223,Assoc-voc,Sales,Husband
23430,HS-grad,Craft-repair,Husband
23635,HS-grad,Craft-repair,Own-child
23668,HS-grad,Protective-serv,Husband
23721,Bachelors,Prof-specialty,Not-in-family
23909,11th,Other-service,Own-child
24067,Prof-school,Prof-specialty,Husband
24216,Masters,Transport-moving,Own-child
2437,HS-grad,Other-service,Not-in-family
24370,Some-college,Transport-moving,Husband
24409,Bachelors,Sales,Husband
24430,Some-college,Exec-managerial,Own-child
24511,Some-college,Sales,Husband
24535,11th,Sales,Own-child
24571,Masters,Prof-specialty,Wife
24574,Some-college,Exec-managerial,Husband
24831,Assoc-acdm,Machine-op-inspct,Own-child
24839,Bachelors,Exec-managerial,Husband
24861,10th,Other-service,Own-child
24889,Bachelors,Prof-specialty,Own-child
24994,HS-grad,Craft-repair,Husband
25008,Assoc-voc,Machine-op-inspct,Unmarried
25070,HS-grad,Craft-repair,Unmarried
25139,Assoc-voc,Tech-support,Husband
25188,7th-8th,Transport-moving,Husband
25193,Some-college,Craft-repair,Not-in-family
25235,HS-grad,Transport-moving,Unmarried
25293,Some-college,Exec-managerial,Not-in-family
25355,Bachelors,Prof-specialty,Not-in-family
25481,Some-college,Exec-managerial,Husband
25526,Some-college,Prof-specialty,Husband
25551,Assoc-acdm,Craft-repair,Husband
25610,Some-college,Transport-moving,Husband
25656,12th,Machine-op-inspct,Not-in-family
25691,HS-grad,Craft-repair,Husband
25924,HS-grad,Farming-fishing,Not-in-family
25946,Some-college,Sales,Not-in-family
25954,HS-grad,Transport-moving,Husband
2596,10th,Craft-repair,Own-child
25972,Bachelors,Exec-managerial,Wife
26071,Bachelors,Adm-clerical,Not-in-family
26228,Some-college,Other-service,Not-in-family
26422,Assoc-voc,Exec-managerial,Not-in-family
26563,Assoc-voc,Exec-managerial,Unmarried
26576,HS-grad,Machine-op-inspct,Husband
26580,Bachelors,Prof-specialty,Own-child
26608,HS-grad,Adm-clerical,Wife
26724,10th,Farming-fishing,Husband
26735,10th,Other-service,Not-in-family
26787,HS-grad,Craft-repair,Husband
26895,Some-college,Adm-clerical,Not-in-family
26916,Some-college,Tech-support,Own-child
27156,HS-grad,Craft-repair,Husband
27171,HS-grad,Sales,Husband
27294,HS-grad,Handlers-cleaners,Husband
27315,Bachelors,Adm-clerical,Own-child
27349,HS-grad,Sales,Husband
27456,Bachelors,Prof-specialty,Husband
27482,HS-grad,Machine-op-inspct,Not-in-family
27554,Some-college,Craft-repair,Husband
27715,Some-college,Other-service,Not-in-family
27742,HS-grad,Adm-clerical,Own-child
28080,Some-college,Other-service,Own-child
28084,HS-grad,Adm-clerical,Unmarried
28152,Some-college,Adm-clerical,Own-child
2817,1st-4th,Machine-op-inspct,Husband
28276,Some-college,?,Own-child
28308,Some-college,Craft-repair,Husband
28698,Masters,Prof-specialty,Husband
28724,HS-grad,Adm-clerical,Husband
28807,Bachelors,Prof-specialty,Husband
28836,HS-grad,Craft-repair,Other-relative
28870,Assoc-voc,Craft-repair,Husband
28932,Some-college,Adm-clerical,Not-in-family
28935,HS-grad,Handlers-cleaners,Wife
29017,HS-grad,Exec-managerial,Husband
29121,Some-college,Prof-specialty,Wife
29126,Some-college,Exec-managerial,Own-child
29169,HS-grad,Craft-repair,Husband
29193,HS-grad,Prof-specialty,Husband
29303,Some-college,Exec-managerial,Husband
29315,Bachelors,Sales,Own-child
29370,Some-college,Protective-serv,Not-in-family
29422,HS-grad,Handlers-cleaners,Own-child
29482,Assoc-voc,Tech-support,Unmarried
29494,Assoc-voc,Exec-managerial,Unmarried
29593,Bachelors,Exec-managerial,Husband
29746,1st-4th,Craft-repair,Other-relative
29790,Bachelors,Exec-managerial,Not-in-family
3000,7th-8th,Machine-op-inspct,Husband
30013,Bachelors,Protective-serv,Husband
30152,Doctorate,Prof-specialty,Husband
30178,HS-grad,Craft-repair,Husband
30520,HS-grad,Machine-op-inspct,Own-child
30585,Assoc-voc,Craft-repair,Husband
30713,Some-college,?,Not-in-family
30851,HS-grad,Machine-op-inspct,Husband
31078,Some-college,Tech-support,Own-child
31086,HS-grad,Exec-managerial,Husband
31139,Bachelors,Sales,Husband
31369,5th-6th,Handlers-cleaners,Husband
3138,HS-grad,Adm-clerical,Unmarried
31415,Some-college,Adm-clerical,Husband
31476,12th,Other-service,Own-child
31553,Some-college,Adm-clerical,Unmarried
31586,HS-grad,Adm-clerical,Not-in-family
31678,HS-grad,Adm-clerical,Own-child
31710,Some-college,?,Not-in-family
31714,Bachelors,Sales,Unmarried
31723,Some-college,?,Wife
3178,HS-grad,Other-service,Unmarried
31864,12th,Adm-clerical,Own-child
31941,7th-8th,Farming-fishing,Other-relative
3195,HS-grad,Sales,Unmarried
3203,Bachelors,Sales,Wife
32104,HS-grad,Exec-managerial,Husband
32267,Masters,Prof-specialty,Husband
32360,HS-grad,Craft-repair,Husband
3392,Bachelors,Prof-specialty,Husband
3459,HS-grad,?,Unmarried
351,HS-grad,Other-service,Husband
3519,HS-grad,Other-service,Unmarried
3788,HS-grad,Exec-managerial,Husband
3862,Assoc-voc,Tech-support,Husband
4022,Assoc-voc,Sales,Own-child
4030,HS-grad,Protective-serv,Not-in-family
4180,HS-grad,Transport-moving,Own-child
4439,HS-grad,Sales,Not-in-family
4514,Bachelors,Exec-managerial,Other-relative
4743,Bachelors,Sales,Husband
4745,HS-grad,?,Unmarried
4955,HS-grad,Other-service,Husband
5099,Some-college,Protective-serv,Husband
511,5th-6th,?,Unmarried
5127,Assoc-voc,Exec-managerial,Not-in-family
5178,HS-grad,Transport-moving,Not-in-family
5180,Bachelors,Prof-specialty,Unmarried
5191,12th,Other-service,Own-child
5296,HS-grad,?,Husband
5810,9th,Machine-op-inspct,Husband
5924,Bachelors,Prof-specialty,Unmarried
5980,Bachelors,Exec-managerial,Husband
6111,Masters,Exec-managerial,Husband
6131,5th-6th,?,Wife
6213,HS-grad,Farming-fishing,Husband
6320,Assoc-voc,Exec-managerial,Husband
639,Doctorate,Prof-specialty,Husband
6477,HS-grad,Transport-moving,Husband
6831,Masters,Prof-specialty,Unmarried
7020,HS-grad,Protective-serv,Husband
7047,10th,Exec-managerial,Unmarried
7096,Bachelors,Machine-op-inspct,Not-in-family
7367,Some-college,Tech-support,Husband
7487,Assoc-voc,Machine-op-inspct,Husband
7546,Some-college,Exec-managerial,Not-in-family
7575,Assoc-voc,Prof-specialty,Husband
7597,Some-college,Prof-specialty,Not-in-family
7609,Some-college,Machine-op-inspct,Own-child
7653,HS-grad,Craft-repair,Unmarried
7669,HS-grad,Farming-fishing,Husband
7713,HS-grad,Adm-clerical,Not-in-family
7731,HS-grad,Handlers-cleaners,Husband
7834,HS-grad,Craft-repair,Not-in-family
7905,7th-8th,?,Not-in-family
7968,Some-college,Exec-managerial,Husband
8063,7th-8th,Other-service,Own-child
83,HS-grad,Sales,Husband
8371,Some-college,Other-service,Not-in-family
8542,HS-grad,Machine-op-inspct,Own-child
8677,HS-grad,Transport-moving,Husband
8778,Masters,Prof-specialty,Husband
8854,HS-grad,Sales,Husband
8913,HS-grad,Handlers-cleaners,Not-in-family
8934,Some-college,Transport-moving,Not-in-family
9069,12th,Adm-clerical,Not-in-family
9114,Some-college,Sales,Other-relative
918,HS-grad,Exec-managerial,Husband
9197,Bachelors,?,Husband
9246,HS-grad,Craft-repair,Husband
9255,Bachelors,Sales,Not-in-family
9353,12th,?,Own-child
9532,Some-college,Adm-clerical,Wife
9580,Bachelors,Tech-support,Not-in-family
9719,HS-grad,Transport-moving,Husband
9808,HS-grad,Adm-clerical,Husband
9945,Bachelors,Sales,Husband
9987,7th-8th,?,Husband
