record_id,marital-status,native-country,occupation,relationship,sex,age,capital-loss,education,hours-per-week,workclass
13126,Married-civ-spouse,United-States,Other-service,Wife,Female,37,0,10th,40,Self-emp-not-inc
1321,Never-married,United-States,Adm-clerical,Own-child,Male,20,0,Some-college,30,Private
13362,Divorced,United-States,Adm-clerical,Unmarried,Male,40,0,HS-grad,40,Private
13413,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,25,0,Masters,40,Private
13471,Never-married,United-States,Other-service,Not-in-family,Female,22,0,Some-college,50,Private
13604,Married-civ-spouse,United-States,Transport-moving,Husband,Male,39,0,HS-grad,56,Private
13828,Divorced,United-States,Sales,Not-in-family,Female,31,0,Assoc-voc,40,Private
13864,Married-civ-spouse,United-States,Transport-moving,Husband,Male,44,0,Assoc-voc,40,Local-gov
13908,Married-civ-spouse,United-States,Transport-moving,Husband,Male,30,0,HS-grad,40,Private
13922,Married-civ-spouse,United-States,Tech-support,Husband,Male,54,0,Assoc-voc,40,Private
13959,Married-spouse-absent,United-States,Adm-clerical,Not-in-family,Female,30,0,HS-grad,30,Private
14000,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,54,0,HS-grad,60,Self-emp-inc
14056,Never-married,United-States,Adm-clerical,Own-child,Female,46,0,Some-college,36,Private
14059,Never-married,United-States,Craft-repair,Not-in-family,Male,20,0,HS-grad,40,Private
14154,Married-civ-spouse,United-States,Transport-moving,Husband,Male,47,0,HS-grad,45,Self-emp-not-inc
14365,Never-married,United-States,Sales,Own-child,Female,19,0,Some-college,20,Private
14483,Separated,United-States,Craft-repair,Not-in-family,Male,38,0,Bachelors,40,Private
14532,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,27,0,10th,40,Private
14751,Never-married,United-States,Sales,Unmarried,Male,24,0,Assoc-voc,5,Private
15048,Never-married,United-States,Sales,Own-child,Female,20,0,Some-college,40,Private
15073,Never-married,United-States,Other-service,Not-in-family,Male,22,0,Bachelors,30,Private
15182,Never-married,United-States,Craft-repair,Own-child,Male,20,0,Some-college,40,Private
15265,Divorced,United-States,Other-service,Unmarried,Female,58,0,HS-grad,20,Private
15306,Never-married,United-States,Sales,Not-in-family,Female,23,0,Masters,20,Private
15477,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,61,0,Some-college,50,Private
15507,Married-civ-spouse,United-States,Sales,Husband,Male,47,0,HS-grad,45,Private
15710,Never-married,United-States,Craft-repair,Not-in-family,Male,30,0,11th,45,Self-emp-not-inc
16117,Married-civ-spouse,United-States,?,Husband,Male,62,0,Some-college,35,?
1613,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,54,0,HS-grad,40,Private
16138,Widowed,United-States,Sales,Other-relative,Female,57,1602,7th-8th,3,Private
16144,Never-married,United-States,Other-service,Not-in-family,Male,28,0,HS-grad,32,Private
16225,Married-civ-spouse,United-States,Craft-repair,Husband,Male,57,0,9th,40,Private
1633,Never-married,Mexico,Farming-fishing,Not-in-family,Male,27,0,5th-6th,35,Private
16388,Divorced,United-States,Sales,Not-in-family,Female,35,0,HS-grad,30,Private
16401,Never-married,United-States,Other-service,Own-child,Female,19,0,HS-grad,15,Private
16446,Married-civ-spouse,United-States,Sales,Husband,Male,50,0,Bachelors,50,Self-emp-not-inc
16587,Divorced,United-States,Craft-repair,Not-in-family,Male,40,0,Bachelors,40,State-gov
16601,Married-civ-spouse,United-States,Protective-serv,Husband,Male,40,0,Bachelors,40,Local-gov
16652,Divorced,United-States,Other-service,Not-in-family,Female,31,0,HS-grad,25,Private
16662,Married-civ-spouse,United-States,Craft-repair,Husband,Male,41,0,Some-college,40,Private
16686,Never-married,United-States,Handlers-cleaners,Not-in-family,Male,23,0,HS-grad,40,Private
1695,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,51,1902,HS-grad,40,Private
17277,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,36,0,Masters,45,Self-emp-not-inc
17492,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,26,0,Some-college,40,Private
17519,Never-married,United-States,Other-service,Not-in-family,Male,41,0,Some-college,20,Private
17534,Divorced,United-States,Transport-moving,Not-in-family,Male,43,0,HS-grad,60,Private
17580,Married-civ-spouse,United-States,Transport-moving,Husband,Male,40,0,11th,55,Private
17666,Divorced,United-States,Other-service,Not-in-family,Female,59,0,HS-grad,38,Private
17683,Divorced,United-States,Adm-clerical,Unmarried,Female,36,0,HS-grad,40,Private
17937,Divorced,United-States,Farming-fishing,Unmarried,Male,52,0,5th-6th,40,Private
17959,Never-married,United-States,Other-service,Own-child,Female,19,0,Some-college,18,Private
17986,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,55,0,HS-grad,50,Private
18030,Married-civ-spouse,United-States,Transport-moving,Husband,Male,31,0,HS-grad,50,Private
18144,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,23,1573,HS-grad,30,Private
18214,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,37,0,Bachelors,50,Private
18310,Never-married,United-States,Farming-fishing,Own-child,Male,18,0,10th,40,Self-emp-not-inc
18505,Never-married,United-States,Handlers-cleaners,Not-in-family,Male,25,0,HS-grad,40,Federal-gov
18585,Never-married,?,Farming-fishing,Not-in-family,Male,29,0,HS-grad,50,Private
18654,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,39,0,Doctorate,55,Private
18756,Married-civ-spouse,United-States,Sales,Own-child,Female,23,0,Some-college,16,Private
18853,Married-civ-spouse,United-States,Sales,Wife,Female,36,0,Bachelors,35,Private
19020,Married-civ-spouse,United-States,Craft-repair,Husband,Male,29,0,HS-grad,40,Private
19044,Never-married,United-States,Prof-specialty,Own-child,Female,23,0,Some-college,25,Private
19062,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,37,0,HS-grad,46,Private
1909,Married-civ-spouse,United-States,Transport-moving,Husband,Male,36,0,9th,50,Private
19212,Divorced,United-States,Sales,Unmarried,Female,90,0,Some-college,37,Private
19411,Never-married,United-States,Adm-clerical,Unmarried,Female,30,0,Some-college,30,Private
19434,Married-spouse-absent,United-States,Exec-managerial,Not-in-family,Male,67,0,Masters,55,Private
19450,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,44,2415,Masters,55,Self-emp-inc
19476,Married-civ-spouse,United-States,Tech-support,Husband,Male,41,0,Bachelors,45,Private
19512,Widowed,United-States,Other-service,Unmarried,Female,45,0,Some-college,40,Private
19666,Never-married,United-States,Other-service,Own-child,Male,23,0,HS-grad,32,Local-gov
19708,Married-civ-spouse,United-States,?,Husband,Male,70,0,HS-grad,40,?
1972,Never-married,United-States,Prof-specialty,Not-in-family,Male,26,0,Masters,40,Private
19907,Never-married,United-States,Protective-serv,Own-child,Male,23,0,HS-grad,40,State-gov
19980,Married-civ-spouse,Mexico,Craft-repair,Husband,Male,22,0,5th-6th,48,Private
20110,Separated,United-States,Adm-clerical,Unmarried,Female,47,0,HS-grad,40,Federal-gov
2026,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,47,0,Assoc-voc,40,Private
20289,Never-married,United-States,Craft-repair,Other-relative,Male,40,0,9th,49,Private
20392,Never-married,United-States,Sales,Not-in-family,Female,33,0,11th,40,Private
20455,Never-married,Mexico,Farming-fishing,Other-relative,Male,25,0,9th,45,Private
20563,Married-civ-spouse,United-States,?,Husband,Male,62,0,Masters,2,?
20724,Married-civ-spouse,United-States,?,Husband,Male,62,0,HS-grad,30,?
20902,Married-civ-spouse,United-States,Tech-support,Husband,Male,34,2042,Assoc-acdm,10,Private
21053,Divorced,United-States,Tech-support,Unmarried,Female,31,0,Assoc-voc,40,Private
2125,Never-married,United-States,Sales,Own-child,Male,24,0,HS-grad,45,Private
21315,Married-civ-spouse,United-States,Tech-support,Wife,Female,27,0,Bachelors,40,Private
21331,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,42,0,Assoc-voc,32,Private
21407,Never-married,United-States,Priv-house-serv,Not-in-family,Female,22,0,Assoc-voc,30,Private
21484,Never-married,United-States,Other-service,Own-child,Female,19,0,Some-college,20,Private
21564,Married-civ-spouse,United-States,Sales,Husband,Male,41,0,Some-college,65,Private
21634,Married-civ-spouse,Scotland,Protective-serv,Husband,Male,38,0,HS-grad,40,Private
21695,Married-civ-spouse,United-States,Sales,Husband,Male,42,0,HS-grad,40,Private
21875,Married-civ-spouse,United-States,Craft-repair,Husband,Male,49,0,7th-8th,40,Private
21968,Divorced,United-States,Machine-op-inspct,Not-in-family,Female,62,0,HS-grad,40,Private
22036,Separated,Canada,Exec-managerial,Not-in-family,Male,42,0,Some-college,60,Private
22043,Never-married,United-States,Other-service,Own-child,Female,18,0,HS-grad,20,Private
22084,Divorced,United-States,Machine-op-inspct,Not-in-family,Female,26,0,HS-grad,40,Private
22254,Married-civ-spouse,United-States,?,Wife,Female,59,0,HS-grad,40,?
22375,Married-civ-spouse,United-States,Protective-serv,Husband,Male,46,0,Some-college,70,Local-gov
22488,Married-civ-spouse,United-States,Craft-repair,Husband,Male,36,0,HS-grad,40,Self-emp-not-inc
22605,Married-civ-spouse,United-States,Protective-serv,Husband,Male,42,0,Some-college,48,State-gov
22628,Never-married,United-States,Exec-managerial,Not-in-family,Male,38,0,Bachelors,45,Private
22694,Married-civ-spouse,United-States,Protective-serv,Husband,Male,36,0,Some-college,40,State-gov
22706,Never-married,United-States,Sales,Own-child,Male,24,0,Bachelors,40,Private
2274,Married-civ-spouse,United-States,Craft-repair,Husband,Male,48,0,HS-grad,40,Private
22782,Married-civ-spouse,Germany,Craft-repair,Husband,Male,34,0,HS-grad,40,Private
22894,Divorced,United-States,Tech-support,Unmarried,Female,45,0,HS-grad,40,State-gov
23010,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,34,0,HS-grad,50,Private
23141,Married-civ-spouse,United-States,Sales,Husband,Male,36,0,HS-grad,40,Private
23251,Separated,United-States,Tech-support,Unmarried,Female,38,0,Assoc-voc,20,Private
23298,Married-civ-spouse,United-States,Craft-repair,Husband,Male,21,0,12th,40,Private
23423,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,30,0,Some-college,40,Private
23733,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,35,0,Bachelors,45,Private
23837,Married-civ-spouse,Mexico,Craft-repair,Husband,Male,43,0,HS-grad,40,Private
23923,Never-married,United-States,Prof-specialty,Not-in-family,Male,29,0,Some-college,35,State-gov
24081,Widowed,United-States,Other-service,Not-in-family,Female,67,0,HS-grad,30,Self-emp-not-inc
24360,Married-civ-spouse,Mexico,Craft-repair,Husband,Male,31,0,HS-grad,40,Private
24558,Married-civ-spouse,Nicaragua,Craft-repair,Husband,Male,42,0,Preschool,40,Private
24726,Never-married,United-States,Adm-clerical,Own-child,Female,24,0,HS-grad,40,Private
24791,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,74,1648,Some-college,35,Self-emp-not-inc
24819,Never-married,United-States,Other-service,Own-child,Female,20,0,Some-college,16,Private
24917,Separated,United-States,Other-service,Unmarried,Female,31,0,Some-college,40,Private
25105,Married-civ-spouse,?,Prof-specialty,Husband,Male,38,0,Masters,40,Private
25110,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,40,1902,HS-grad,40,Private
25142,Married-civ-spouse,United-States,Other-service,Husband,Male,35,0,HS-grad,40,Private
25167,Never-married,United-States,Sales,Own-child,Female,19,0,Some-college,20,Private
25346,Never-married,United-States,Handlers-cleaners,Not-in-family,Male,37,0,10th,40,Private
25396,Married-civ-spouse,United-States,Craft-repair,Husband,Male,34,0,Some-college,40,Local-gov
25793,Separated,United-States,Sales,Not-in-family,Female,29,2754,11th,42,Private
26065,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,39,0,Bachelors,50,Private
26149,Married-civ-spouse,United-States,Craft-repair,Husband,Male,40,0,HS-grad,40,Private
26241,Married-civ-spouse,United-States,Other-service,Husband,Male,42,0,Assoc-voc,30,Private
2635,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,52,0,Masters,40,State-gov
26658,Separated,United-States,Other-service,Not-in-family,Male,35,0,HS-grad,40,Private
26701,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,48,0,HS-grad,50,Private
26794,Divorced,United-States,Adm-clerical,Not-in-family,Female,58,0,Some-college,55,Private
26834,Married-civ-spouse,Mexico,Machine-op-inspct,Husband,Male,38,0,5th-6th,40,Private
26865,Married-civ-spouse,United-States,Craft-repair,Husband,Male,50,0,Assoc-voc,40,Private
26867,Never-married,United-States,Adm-clerical,Not-in-family,Female,17,1602,11th,40,Federal-gov
27267,Married-civ-spouse,United-States,?,Husband,Male,62,0,Bachelors,40,?
27359,Divorced,United-States,Adm-clerical,Unmarried,Female,38,0,Some-college,20,Private
274,Divorced,United-States,Prof-specialty,Own-child,Female,30,0,HS-grad,40,Private
27551,Married-civ-spouse,United-States,Craft-repair,Husband,Male,20,0,HS-grad,40,Private
27658,Divorced,United-States,Other-service,Not-in-family,Female,19,0,HS-grad,40,Private
27893,Never-married,United-States,Adm-clerical,Own-child,Female,18,0,HS-grad,35,Private
27894,Never-married,United-States,Transport-moving,Own-child,Male,26,0,HS-grad,40,Private
28383,Married-civ-spouse,El-Salvador,Other-service,Husband,Male,50,0,10th,8,Private
28472,Married-civ-spouse,Mexico,Farming-fishing,Husband,Male,51,0,9th,40,Private
28640,Married-civ-spouse,United-States,Transport-moving,Husband,Male,51,0,Some-college,40,Private
29080,Divorced,United-States,Exec-managerial,Not-in-family,Male,45,0,Bachelors,45,Private
29217,Never-married,United-States,Handlers-cleaners,Not-in-family,Male,22,0,HS-grad,40,Private
2923,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,42,0,Assoc-voc,60,Self-emp-not-inc
29258,Never-married,United-States,Craft-repair,Not-in-family,Male,36,0,HS-grad,40,Self-emp-not-inc
29265,Married-civ-spouse,United-States,Craft-repair,Husband,Male,36,0,HS-grad,55,Private
29662,Married-civ-spouse,United-States,?,Husband,Male,63,0,Prof-school,40,?
2971,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,36,0,Bachelors,45,Private
29727,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,58,0,HS-grad,72,Self-emp-not-inc
29758,Married-civ-spouse,United-States,Sales,Husband,Male,39,0,HS-grad,70,Self-emp-not-inc
29798,Divorced,United-States,?,Not-in-family,Male,32,0,Bachelors,50,?
29945,Married-civ-spouse,United-States,Craft-repair,Husband,Male,37,0,HS-grad,40,Federal-gov
3022,Married-civ-spouse,United-States,Craft-repair,Husband,Male,51,0,Bachelors,40,Private
30360,Never-married,United-States,Protective-serv,Own-child,Male,21,0,HS-grad,40,Private
30475,Married-civ-spouse,United-States,Craft-repair,Husband,Male,38,0,HS-grad,25,Self-emp-not-inc
30590,Never-married,United-States,Prof-specialty,Not-in-family,Male,40,0,Assoc-acdm,40,Local-gov
30592,Divorced,United-States,Protective-serv,Unmarried,Male,51,0,HS-grad,52,Local-gov
3066,Never-married,United-States,Transport-moving,Own-child,Male,20,0,Some-college,30,Private
30666,Never-married,United-States,Other-service,Own-child,Male,17,0,9th,40,Private
30696,Never-married,United-States,Craft-repair,Not-in-family,Male,35,0,9th,40,Private
30739,Divorced,United-States,Prof-specialty,Not-in-family,Female,36,0,Bachelors,50,Private
30781,Widowed,United-States,?,Unmarried,Female,66,4356,Some-college,40,?
31033,Married-civ-spouse,Jamaica,Transport-moving,Husband,Male,55,0,HS-grad,40,Private
31130,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,51,0,Masters,40,State-gov
3156,Never-married,United-States,Prof-specialty,Own-child,Male,33,0,Prof-school,42,Private
31581,Married-civ-spouse,United-States,Craft-repair,Husband,Male,27,0,HS-grad,45,Private
31668,Widowed,United-States,?,Not-in-family,Female,64,0,7th-8th,4,?
3175,Divorced,United-States,Prof-specialty,Not-in-family,Male,36,0,Prof-school,45,Private
31811,Never-married,United-States,Handlers-cleaners,Own-child,Male,26,0,HS-grad,48,Private
31860,Never-married,United-States,Sales,Own-child,Female,21,0,Some-college,40,Private
31870,Married-civ-spouse,United-States,Craft-repair,Husband,Male,44,0,HS-grad,40,Private
31946,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,49,0,Masters,43,Private
31974,Married-civ-spouse,United-States,Sales,Husband,Male,50,0,Bachelors,35,Private
31993,Never-married,United-States,Other-service,Own-child,Male,19,0,Some-college,14,Private
3208,Widowed,United-States,Machine-op-inspct,Not-in-family,Male,47,0,10th,40,Private
32128,Married-civ-spouse,United-States,Adm-clerical,Other-relative,Female,44,0,Assoc-voc,20,Private
32228,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,40,0,Assoc-voc,44,Private
32416,Married-civ-spouse,United-States,Craft-repair,Husband,Male,33,1902,Assoc-acdm,50,Private
3432,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,36,0,HS-grad,40,Private
3618,Never-married,United-States,Other-service,Own-child,Male,17,0,HS-grad,40,Private
3637,Divorced,United-States,Adm-clerical,Unmarried,Female,32,0,Some-college,40,Private
3639,Married-civ-spouse,United-States,Sales,Husband,Male,39,1848,Bachelors,40,Private
3928,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,36,0,HS-grad,48,Private
3967,Married-civ-spouse,United-States,Craft-repair,Husband,Male,25,0,11th,40,Private
3976,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,67,0,HS-grad,60,Self-emp-not-inc
4094,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,21,0,10th,36,Private
4153,Never-married,United-States,Sales,Not-in-family,Male,47,0,Bachelors,60,Self-emp-inc
4232,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,54,0,9th,45,Private
4363,Married-civ-spouse,United-States,Transport-moving,Husband,Male,43,0,HS-grad,40,Federal-gov
4496,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,41,0,Some-college,70,Self-emp-not-inc
4511,Never-married,United-States,Exec-managerial,Not-in-family,Male,24,0,Bachelors,40,Private
4575,Married-civ-spouse,United-States,Prof-specialty,Wife,Female,37,0,Bachelors,40,Private
4582,Never-married,United-States,Adm-clerical,Not-in-family,Female,37,0,Assoc-acdm,40,Private
4603,Married-civ-spouse,United-States,Craft-repair,Husband,Male,48,0,Some-college,40,Private
468,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,49,1977,Masters,45,Private
4704,Married-civ-spouse,Germany,Transport-moving,Wife,Female,60,0,Assoc-voc,15,Self-emp-not-inc
4836,Divorced,United-States,Prof-specialty,Not-in-family,Male,57,0,Some-college,48,Federal-gov
4905,Married-civ-spouse,Portugal,Exec-managerial,Wife,Female,43,0,HS-grad,36,Private
4923,Married-civ-spouse,United-States,Sales,Husband,Male,42,0,Some-college,40,Private
4991,Married-civ-spouse,United-States,Transport-moving,Husband,Male,29,0,9th,40,Private
5335,Divorced,United-States,Exec-managerial,Not-in-family,Female,49,0,Assoc-acdm,40,Private
5377,Separated,United-States,Prof-specialty,Not-in-family,Female,63,0,Masters,40,Private
5447,Never-married,United-States,Other-service,Own-child,Female,20,0,Some-college,32,Private
5553,Never-married,United-States,Sales,Own-child,Male,18,0,11th,20,Private
5601,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,34,0,Bachelors,55,Local-gov
5654,Never-married,United-States,Tech-support,Not-in-family,Male,25,0,Bachelors,40,Private
574,Never-married,United-States,Prof-specialty,Not-in-family,Female,27,0,Doctorate,70,Private
5781,Never-married,United-States,Adm-clerical,Own-child,Female,21,0,Assoc-acdm,20,Private
5975,Married-civ-spouse,Mexico,Farming-fishing,Husband,Male,62,0,5th-6th,24,Private
5988,Divorced,United-States,Machine-op-inspct,Not-in-family,Male,43,0,Some-college,40,Private
6115,Married-civ-spouse,United-States,Protective-serv,Husband,Male,33,0,Some-college,40,Local-gov
6118,Never-married,United-States,Transport-moving,Not-in-family,Male,22,0,HS-grad,70,Private
6128,Never-married,United-States,Exec-managerial,Own-child,Male,23,0,Some-college,50,Private
6139,Married-civ-spouse,United-States,Craft-repair,Husband,Male,30,0,Some-college,40,Private
6168,Never-married,United-States,Adm-clerical,Own-child,Male,23,0,Some-college,40,Private
6178,Married-civ-spouse,United-States,?,Husband,Male,60,0,HS-grad,5,?
6215,Never-married,United-States,Sales,Own-child,Male,23,0,HS-grad,40,Private
6308,Never-married,United-States,Exec-managerial,Not-in-family,Male,35,0,Some-college,60,Private
6369,Married-civ-spouse,United-States,Transport-moving,Husband,Male,56,0,Some-college,40,Private
6373,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,47,0,HS-grad,50,Self-emp-not-inc
6432,Married-civ-spouse,United-States,?,Husband,Male,38,0,Some-college,15,?
6574,Married-civ-spouse,United-States,Tech-support,Husband,Male,41,0,Some-college,40,Private
6589,Divorced,United-States,Machine-op-inspct,Own-child,Female,25,0,Some-college,40,Private
6690,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,60,0,10th,40,Private
6744,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,34,0,HS-grad,80,Self-emp-not-inc
6889,Divorced,United-States,Adm-clerical,Not-in-family,Female,49,0,HS-grad,35,Private
6925,Never-married,United-States,Prof-specialty,Not-in-family,Male,45,0,Prof-school,40,Private
7134,Married-civ-spouse,United-States,Tech-support,Husband,Male,37,0,Bachelors,40,Private
7165,Never-married,United-States,Adm-clerical,Own-child,Female,20,0,Some-college,10,State-gov
7329,Never-married,United-States,Adm-clerical,Not-in-family,Female,33,0,HS-grad,50,Private
7379,Married-civ-spouse,United-States,Tech-support,Husband,Male,31,0,HS-grad,40,Federal-gov
7395,Divorced,United-States,Craft-repair,Not-in-family,Male,50,0,10th,45,Self-emp-not-inc
7422,Never-married,United-States,Adm-clerical,Own-child,Male,18,0,HS-grad,20,Private
7486,Never-married,United-States,Prof-specialty,Not-in-family,Female,24,0,Bachelors,40,Local-gov
7547,Married-civ-spouse,United-States,Sales,Other-relative,Female,20,0,11th,50,Private
7697,Married-civ-spouse,Vietnam,Craft-repair,Husband,Male,53,0,7th-8th,40,Private
7822,Married-civ-spouse,United-States,Protective-serv,Husband,Male,61,0,HS-grad,40,Private
821,Never-married,United-States,Prof-specialty,Not-in-family,Female,31,0,Masters,46,Private
826,Widowed,United-States,Other-service,Not-in-family,Female,62,0,HS-grad,40,Private
8328,Never-married,United-States,Prof-specialty,Not-in-family,Female,46,0,Bachelors,40,Private
850,Widowed,United-States,Prof-specialty,Not-in-family,Female,61,0,Masters,40,Private
8864,Married-civ-spouse,United-States,Craft-repair,Husband,Male,33,0,Bachelors,40,Self-emp-not-inc
8931,Never-married,United-States,Adm-clerical,Own-child,Female,20,0,Some-college,15,Private
9248,Divorced,United-States,Exec-managerial,Unmarried,Female,38,0,Some-college,45,Local-gov
9266,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,53,0,HS-grad,48,Local-gov
9278,Divorced,United-States,Tech-support,Not-in-family,Female,36,0,Bachelors,40,Private
9303,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,51,0,Bachelors,8,Self-emp-not-inc
9378,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,53,1977,Some-college,40,Private
9422,Married-civ-spouse,United-States,Adm-clerical,Wife,Female,62,0,Bachelors,30,Private
9553,Married-civ-spouse,Trinadad&Tobago,Adm-clerical,Husband,Male,38,0,HS-grad,48,Private
9574,Never-married,United-States,Craft-repair,Not-in-family,Male,19,0,11th,56,Private
9720,Divorced,United-States,Prof-specialty,Unmarried,Female,47,0,Masters,45,Local-gov
9791,Married-civ-spouse,United-States,Transport-moving,Husband,Male,55,0,HS-grad,60,Private
9990,Never-married,United-States,Other-service,Own-child,Female,18,0,12th,25,Private
