record_id,occupation,relationship,workclass
5528,Prof-specialty,Own-child,Local-gov
5898,Adm-clerical,Husband,Federal-gov
5944,Prof-specialty,Not-in-family,Private
6010,Sales,Wife,Private
6441,Prof-specialty,Own-child,Private
6653,Farming-fishing,Husband,Private
6833,Prof-specialty,Husband,Private
6835,Prof-specialty,Unmarried,Local-gov
6857,Sales,Not-in-family,Private
6906,Protective-serv,Husband,Private
7126,Adm-clerical,Not-in-family,Private
7232,Tech-support,Unmarried,Private
7285,Prof-specialty,Husband,State-gov
7332,Exec-managerial,Husband,Self-emp-not-inc
7377,Other-service,Not-in-family,Private
7572,Craft-repair,Husband,Private
7613,Other-service,Husband,Local-gov
7670,Tech-support,Unmarried,Private
7793,Tech-support,Own-child,State-gov
7967,Craft-repair,Not-in-family,Self-emp-not-inc
7980,Exec-managerial,Unmarried,Federal-gov
8036,Exec-managerial,Husband,Private
808,Prof-specialty,Husband,Private
8149,Transport-moving,Not-in-family,Private
8160,Handlers-cleaners,Husband,Private
8230,Farming-fishing,Husband,Self-emp-not-inc
8276,Craft-repair,Own-child,Private
8532,?,Own-child,?
8706,Other-service,Unmarried,Private
872,Sales,Husband,Self-emp-not-inc
8995,Handlers-cleaners,Not-in-family,Private
9032,Exec-managerial,Husband,Local-gov
9370,Handlers-cleaners,Not-in-family,Private
9385,Other-service,Own-child,Private
9590,Adm-clerical,Not-in-family,Private
9817,Prof-specialty,Husband,Self-emp-not-inc
982,?,Unmarried,?
9831,Prof-specialty,Not-in-family,Private
