record_id,age,marital-status,native-country,occupation,race,sex,workclass,capital-loss
18334,43,Divorced,United-States,Craft-repair,White,Male,Federal-gov,0
18423,43,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,0
18890,59,Married-civ-spouse,United-States,Prof-specialty,White,Male,Self-emp-inc,0
18975,62,Married-civ-spouse,United-States,Farming-fishing,White,Male,Self-emp-not-inc,0
19077,57,Widowed,United-States,Other-service,White,Female,Local-gov,0
19312,23,Never-married,United-States,Sales,White,Male,Private,0
19388,62,Never-married,United-States,Priv-house-serv,Black,Female,Private,0
19492,76,Married-civ-spouse,United-States,?,White,Male,?,0
19509,27,Never-married,Taiwan,?,Asian-Pac-Islander,Male,?,0
19564,43,Divorced,United-States,Exec-managerial,Amer-Indian-Eskimo,Female,Local-gov,0
19614,46,Never-married,United-States,Tech-support,White,Male,Private,0
19620,64,Married-civ-spouse,United-States,?,White,Male,?,0
19647,32,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
19769,49,Divorced,United-States,Other-service,White,Female,Private,0
20104,36,Never-married,United-States,Exec-managerial,Asian-Pac-Islander,Female,Private,0
20138,25,Never-married,United-States,Transport-moving,White,Male,Private,0
20419,65,Married-civ-spouse,United-States,Handlers-cleaners,White,Male,Private,0
20564,30,Never-married,United-States,Adm-clerical,Black,Female,State-gov,0
20783,17,Never-married,United-States,Other-service,White,Female,Private,0
20821,42,Never-married,United-States,Transport-moving,Black,Female,Private,0
20881,44,Never-married,United-States,Craft-repair,White,Male,Private,0
20921,23,Never-married,United-States,Other-service,White,Female,Local-gov,0
20984,47,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,1887
20986,32,Married-civ-spouse,United-States,Tech-support,White,Female,Federal-gov,0
21013,35,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,1887
21028,31,Never-married,United-States,Other-service,White,Female,Private,0
21050,29,Married-civ-spouse,United-States,Protective-serv,White,Male,Private,0
21059,35,Divorced,United-States,Transport-moving,White,Male,Private,0
21115,22,Never-married,United-States,Exec-managerial,White,Male,Private,0
21146,48,Married-civ-spouse,United-States,?,White,Male,?,0
21231,64,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-not-inc,0
21288,33,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,1740
21409,31,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
21649,34,Married-civ-spouse,United-States,Exec-managerial,White,Female,Private,0
21726,41,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,1485
21731,45,Never-married,United-States,Exec-managerial,White,Female,Self-emp-not-inc,0
21984,42,Divorced,United-States,Machine-op-inspct,White,Male,Private,0
21992,59,Married-civ-spouse,United-States,Prof-specialty,White,Male,Self-emp-not-inc,0
22063,54,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,0
22083,38,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
22127,45,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
22277,35,Married-civ-spouse,United-States,Transport-moving,White,Male,Self-emp-not-inc,0
22306,53,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
22335,39,Married-civ-spouse,United-States,Prof-specialty,White,Female,Private,0
22539,31,Married-civ-spouse,United-States,Sales,White,Male,Private,0
22615,26,Never-married,United-States,Sales,White,Female,Private,0
22713,61,Married-civ-spouse,United-States,Sales,White,Male,Private,0
22780,26,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
22782,34,Married-civ-spouse,Germany,Craft-repair,White,Male,Private,0
22823,35,Divorced,United-States,Protective-serv,White,Female,State-gov,0
22834,22,Never-married,United-States,Sales,White,Female,Private,0
22955,56,Married-civ-spouse,United-States,Transport-moving,White,Male,Self-emp-not-inc,0
22993,30,Married-civ-spouse,Nicaragua,Machine-op-inspct,White,Male,Private,0
2319,65,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-inc,0
23327,56,Married-civ-spouse,United-States,Adm-clerical,White,Male,State-gov,0
23330,21,Never-married,United-States,?,White,Male,?,0
23359,24,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0
23469,29,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0
23823,41,Never-married,United-States,Adm-clerical,White,Female,Private,0
23843,26,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
23885,40,Divorced,United-States,Exec-managerial,White,Female,Private,0
2398,19,Never-married,United-States,Sales,White,Female,Private,0
242,24,Married-civ-spouse,United-States,Protective-serv,White,Male,State-gov,0
24234,23,Never-married,United-States,Other-service,White,Female,Private,0
24242,25,Never-married,United-States,Other-service,White,Male,Private,0
24497,47,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0
24505,70,Married-civ-spouse,United-States,Exec-managerial,Black,Male,Self-emp-not-inc,0
25112,47,Married-civ-spouse,?,Craft-repair,White,Male,Self-emp-inc,0
25113,23,Never-married,United-States,Other-service,White,Female,Private,0
25120,39,Married-civ-spouse,United-States,Sales,White,Male,Private,0
25362,26,Never-married,United-States,Craft-repair,White,Male,Private,0
25383,36,Never-married,United-States,Protective-serv,Black,Female,Local-gov,0
25421,59,Never-married,United-States,Craft-repair,Asian-Pac-Islander,Male,Private,0
25634,36,Never-married,United-States,Exec-managerial,White,Male,Private,0
25762,60,Married-civ-spouse,United-States,Exec-managerial,White,Male,Self-emp-not-inc,0
25768,19,Never-married,United-States,Exec-managerial,White,Female,Private,0
25814,53,Widowed,United-States,Other-service,White,Female,Private,0
25980,50,Married-civ-spouse,United-States,?,White,Male,?,0
2606,21,Never-married,United-States,?,White,Male,?,0
26129,46,Married-civ-spouse,United-States,Protective-serv,White,Male,Local-gov,0
26249,66,Married-civ-spouse,United-States,Sales,White,Male,Private,0
26390,23,Never-married,United-States,Tech-support,White,Female,Private,0
26550,31,Divorced,United-States,Machine-op-inspct,White,Female,Private,0
26639,35,Married-civ-spouse,United-States,Prof-specialty,White,Male,Federal-gov,0
26667,59,Married-civ-spouse,United-States,Exec-managerial,White,Female,Self-emp-not-inc,0
26711,26,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
26831,30,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
26834,38,Married-civ-spouse,Mexico,Machine-op-inspct,White,Male,Private,0
26936,46,Married-civ-spouse,United-States,Prof-specialty,White,Male,Self-emp-inc,0
27278,17,Never-married,United-States,Other-service,White,Male,Private,0
27320,24,Never-married,United-States,Other-service,White,Female,Private,0
27349,52,Married-civ-spouse,United-States,Sales,Black,Male,Private,2377
27449,54,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,0
27488,27,Never-married,Mexico,Other-service,White,Male,Private,0
27555,19,Never-married,United-States,Other-service,Black,Male,Private,0
27566,56,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0
27660,40,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-inc,2377
278,25,Never-married,United-States,Tech-support,White,Female,Private,0
27920,23,Never-married,United-States,Adm-clerical,White,Female,Private,0
28108,21,Never-married,United-States,Adm-clerical,White,Female,Private,0
28110,34,Married-civ-spouse,United-States,Adm-clerical,White,Male,Self-emp-inc,0
28311,22,Never-married,United-States,Adm-clerical,White,Female,Private,0
28441,52,Married-civ-spouse,El-Salvador,Sales,White,Female,Private,0
2853,28,Separated,United-States,Sales,White,Female,Private,0
28743,30,Married-civ-spouse,United-States,Tech-support,White,Female,Private,0
28825,47,Divorced,United-States,Prof-specialty,White,Male,Federal-gov,0
28913,46,Married-civ-spouse,United-States,Farming-fishing,White,Male,Self-emp-not-inc,0
28917,46,Never-married,United-States,Transport-moving,White,Male,Private,1590
28978,31,Married-civ-spouse,United-States,Prof-specialty,White,Female,Private,0
29006,67,Married-civ-spouse,United-States,Exec-managerial,White,Female,Self-emp-not-inc,0
29185,48,Never-married,United-States,Craft-repair,White,Female,Private,0
29271,35,Married-civ-spouse,United-States,Machine-op-inspct,White,Male,Private,0
2965,38,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0
29659,66,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0
29735,42,Divorced,United-States,Machine-op-inspct,White,Male,Private,0
2978,29,Divorced,United-States,Machine-op-inspct,White,Male,Private,0
29841,45,Married-civ-spouse,United-States,Sales,White,Male,Private,0
30153,30,Married-civ-spouse,United-States,Other-service,White,Female,Private,0
3016,40,Married-civ-spouse,United-States,Adm-clerical,White,Male,State-gov,0
30188,51,Married-civ-spouse,United-States,Exec-managerial,White,Male,State-gov,0
30232,34,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,1485
30332,39,Separated,United-States,Machine-op-inspct,Black,Male,Private,0
30336,54,Never-married,United-States,Handlers-cleaners,White,Male,Private,0
30408,33,Never-married,United-States,Other-service,White,Female,Private,0
30427,42,Divorced,United-States,Exec-managerial,White,Female,Private,0
30547,18,Never-married,United-States,Other-service,White,Female,Private,0
30748,28,Married-civ-spouse,United-States,Exec-managerial,White,Female,Private,0
30792,42,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0
309,41,Married-civ-spouse,United-States,Farming-fishing,White,Male,Self-emp-inc,0
30955,33,Never-married,United-States,Prof-specialty,White,Female,Private,0
3103,20,Never-married,United-States,Other-service,White,Female,Private,0
31142,53,Married-civ-spouse,United-States,Other-service,White,Male,Private,0
31164,49,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,1887
31264,28,Never-married,United-States,Other-service,White,Male,Private,0
31383,51,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
31514,46,Divorced,United-States,Tech-support,White,Female,State-gov,0
31638,50,Divorced,United-States,Machine-op-inspct,White,Female,Private,0
31862,29,Never-married,United-States,?,White,Female,?,0
32081,49,Divorced,United-States,Prof-specialty,White,Female,Local-gov,0
32141,34,Never-married,Germany,Adm-clerical,White,Female,Private,0
3217,59,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
3224,57,Married-civ-spouse,United-States,Sales,White,Female,Self-emp-not-inc,0
32266,47,Married-civ-spouse,United-States,Prof-specialty,White,Male,Local-gov,1887
3234,34,Never-married,United-States,Other-service,Black,Female,Private,0
32355,45,Married-civ-spouse,United-States,Prof-specialty,White,Male,Self-emp-not-inc,0
32357,35,Divorced,United-States,Adm-clerical,White,Female,Private,0
32426,20,Never-married,United-States,?,White,Male,?,0
32496,18,Never-married,United-States,Prof-specialty,White,Male,Private,0
3261,26,Never-married,United-States,Craft-repair,White,Male,Private,0
3314,47,Never-married,United-States,Transport-moving,Black,Male,Private,0
3334,26,Never-married,United-States,Handlers-cleaners,Black,Male,Private,0
3389,51,Married-civ-spouse,Iran,Prof-specialty,White,Male,Private,0
3411,35,Never-married,United-States,Machine-op-inspct,Black,Female,Private,0
3595,27,Married-civ-spouse,United-States,Other-service,White,Female,Self-emp-inc,0
3629,32,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,1485
3710,27,Never-married,United-States,Adm-clerical,White,Male,Private,0
3712,27,Never-married,United-States,Adm-clerical,White,Female,Private,0
3745,25,Married-civ-spouse,United-States,Farming-fishing,White,Male,Self-emp-not-inc,0
3995,27,Never-married,United-States,Adm-clerical,White,Female,Private,0
3997,37,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,1628
4046,23,Never-married,United-States,Machine-op-inspct,Black,Male,Private,0
4049,28,Divorced,United-States,Craft-repair,Amer-Indian-Eskimo,Male,Private,0
4163,22,Married-spouse-absent,United-States,Tech-support,White,Male,State-gov,0
4183,23,Never-married,United-States,Craft-repair,White,Male,Private,0
4264,49,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0
4657,53,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0
469,30,Married-civ-spouse,United-States,Tech-support,White,Female,Private,0
4876,25,Never-married,United-States,Prof-specialty,White,Male,Local-gov,0
4990,33,Divorced,United-States,Sales,White,Male,Self-emp-not-inc,0
5039,44,Married-civ-spouse,United-States,Craft-repair,White,Male,Federal-gov,0
5153,41,Divorced,United-States,Adm-clerical,White,Female,Private,0
5367,17,Never-married,United-States,Sales,White,Male,Private,0
5455,44,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
5483,22,Never-married,United-States,Other-service,White,Female,Private,0
5519,19,Never-married,United-States,Sales,Asian-Pac-Islander,Female,Private,0
556,35,Married-civ-spouse,United-States,Machine-op-inspct,White,Male,Private,0
5603,23,Never-married,United-States,Exec-managerial,Asian-Pac-Islander,Male,Private,0
569,47,Divorced,United-States,Exec-managerial,White,Male,Private,0
5805,20,Never-married,United-States,Tech-support,White,Female,Private,0
5814,34,Separated,United-States,Craft-repair,White,Male,Private,0
6038,43,Married-civ-spouse,Japan,Other-service,Asian-Pac-Islander,Male,Private,0
6164,31,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
6178,60,Married-civ-spouse,United-States,?,White,Male,?,0
6349,50,Married-civ-spouse,United-States,Prof-specialty,White,Male,Local-gov,0
6350,37,Divorced,United-States,Adm-clerical,White,Female,Private,0
639,52,Married-civ-spouse,United-States,Prof-specialty,White,Male,Self-emp-not-inc,0
6425,44,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
6653,39,Married-civ-spouse,United-States,Farming-fishing,White,Male,Private,0
6744,34,Married-civ-spouse,United-States,Farming-fishing,White,Male,Self-emp-not-inc,0
6777,29,Never-married,United-States,Other-service,White,Female,State-gov,0
686,66,Never-married,United-States,?,White,Male,?,0
6980,29,Married-civ-spouse,United-States,Prof-specialty,White,Male,Local-gov,0
7005,26,Never-married,United-States,Prof-specialty,White,Male,State-gov,0
7030,24,Never-married,United-States,Sales,White,Male,Private,0
709,18,Never-married,United-States,Other-service,White,Male,Private,0
7125,54,Married-civ-spouse,United-States,Tech-support,White,Female,Self-emp-not-inc,0
7207,45,Married-civ-spouse,United-States,Exec-managerial,White,Male,Self-emp-inc,0
7242,27,Never-married,United-States,Tech-support,White,Male,Private,0
7373,35,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0
7554,34,Married-civ-spouse,United-States,?,White,Male,?,0
7653,47,Divorced,United-States,Craft-repair,White,Female,Private,0
7746,54,Divorced,United-States,?,White,Male,?,0
7992,40,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
809,20,Never-married,United-States,Transport-moving,White,Male,Private,0
8114,34,Never-married,United-States,Handlers-cleaners,Black,Male,Private,0
817,56,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
8176,79,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,0
8179,60,Divorced,United-States,Other-service,White,Male,Private,0
8200,24,Never-married,United-States,Handlers-cleaners,White,Male,Private,0
8353,26,Never-married,United-States,Craft-repair,White,Male,Private,0
8456,26,Separated,United-States,Tech-support,White,Female,Private,0
8490,38,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-inc,0
8641,23,Married-civ-spouse,United-States,Tech-support,White,Male,State-gov,0
8877,27,Never-married,United-States,Adm-clerical,White,Female,Private,0
8944,19,Married-civ-spouse,United-States,Handlers-cleaners,White,Male,Private,0
8958,32,Married-civ-spouse,United-States,Farming-fishing,White,Male,Self-emp-not-inc,0
9055,74,Widowed,United-States,Other-service,White,Female,Private,0
9059,41,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0
9102,68,Divorced,United-States,Adm-clerical,White,Female,Private,0
9439,58,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,1887
9723,52,Married-civ-spouse,United-States,Tech-support,White,Male,Private,0
9768,36,Divorced,United-States,Craft-repair,White,Female,Private,0
9825,38,Never-married,United-States,Adm-clerical,Amer-Indian-Eskimo,Female,Local-gov,0
