record_id,education,marital-status,native-country,occupation,race,relationship,workclass,age,capital-gain,capital-loss,hours-per-week
1422,Assoc-acdm,Never-married,United-States,Adm-clerical,White,Own-child,Private,40,0,0,45
14307,Assoc-acdm,Divorced,United-States,Adm-clerical,White,Unmarried,Private,41,0,0,38
14347,Bachelors,Never-married,United-States,Prof-specialty,White,Not-in-family,Local-gov,41,0,0,70
14586,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Black,Husband,Local-gov,46,0,0,40
14661,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Local-gov,47,0,0,60
14690,HS-grad,Never-married,United-States,Adm-clerical,White,Not-in-family,Private,19,0,0,40
14957,Some-college,Never-married,United-States,Other-service,White,Own-child,Private,23,0,0,40
15038,Some-college,Never-married,United-States,Adm-clerical,White,Own-child,Private,19,0,0,16
15166,HS-grad,Married-civ-spouse,United-States,Other-service,White,Husband,Private,47,0,0,34
15397,Assoc-voc,Married-civ-spouse,United-States,Sales,White,Husband,Private,40,0,0,50
15554,Some-college,Never-married,United-States,Sales,White,Own-child,Private,22,0,0,40
15623,Some-college,Divorced,United-States,Exec-managerial,White,Not-in-family,Private,36,0,0,4
15779,HS-grad,Divorced,United-States,Exec-managerial,White,Not-in-family,State-gov,53,0,1092,40
15865,Some-college,Never-married,United-States,Adm-clerical,White,Own-child,Private,25,0,0,40
15933,10th,Widowed,United-States,Sales,White,Not-in-family,Private,65,0,0,20
16081,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Wife,State-gov,41,3103,0,40
16106,Assoc-acdm,Married-civ-spouse,United-States,Transport-moving,White,Husband,Private,48,0,0,44
16162,9th,Married-civ-spouse,United-States,Craft-repair,White,Husband,Self-emp-not-inc,35,0,0,40
1634,1st-4th,Married-civ-spouse,Mexico,Machine-op-inspct,White,Husband,Private,37,0,0,40
16483,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,31,0,0,45
16558,Assoc-acdm,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,36,0,0,45
16613,Bachelors,Divorced,United-States,Exec-managerial,White,Unmarried,Private,53,0,0,40
16639,Some-college,Never-married,United-States,Machine-op-inspct,White,Not-in-family,Private,39,0,0,40
16772,Some-college,Never-married,United-States,Craft-repair,White,Unmarried,Private,39,0,0,40
16877,Prof-school,Divorced,United-States,Exec-managerial,White,Not-in-family,State-gov,49,0,0,40
16984,HS-grad,Married-AF-spouse,United-States,?,White,Wife,?,75,2653,0,14
17066,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Private,23,0,0,50
17361,Bachelors,Never-married,United-States,Tech-support,White,Not-in-family,Private,29,0,0,40
17383,9th,Never-married,United-States,Other-service,Black,Own-child,Private,17,0,0,35
17388,Masters,Never-married,United-States,Sales,White,Not-in-family,Private,39,0,2444,45
17409,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Wife,Private,36,0,0,4
17467,11th,Never-married,United-States,Craft-repair,White,Unmarried,Local-gov,50,0,0,40
17626,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,30,0,0,45
17667,Some-college,Never-married,United-States,Other-service,White,Own-child,Private,18,0,0,26
17719,HS-grad,Never-married,United-States,Craft-repair,White,Own-child,Private,22,0,0,40
17751,HS-grad,Never-married,United-States,Handlers-cleaners,White,Own-child,Private,22,0,0,40
17872,HS-grad,Divorced,United-States,Exec-managerial,White,Not-in-family,Private,41,0,0,50
17908,HS-grad,Widowed,Mexico,Craft-repair,White,Unmarried,Private,58,8614,0,52
17969,Bachelors,Married-civ-spouse,United-States,Sales,White,Husband,Private,60,0,0,46
18052,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,54,0,0,40
18130,HS-grad,Divorced,England,Adm-clerical,White,Unmarried,Private,40,0,0,45
18229,Bachelors,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Self-emp-not-inc,42,0,0,65
18247,Bachelors,Married-civ-spouse,Yugoslavia,Exec-managerial,White,Husband,Private,41,0,0,40
18316,HS-grad,Never-married,United-States,Adm-clerical,White,Other-relative,Private,24,0,0,40
18345,HS-grad,Never-married,United-States,Transport-moving,White,Own-child,Private,23,0,0,40
1838,Some-college,Divorced,United-States,Adm-clerical,White,Unmarried,Private,30,0,0,40
1856,Masters,Never-married,United-States,Prof-specialty,White,Not-in-family,State-gov,44,0,0,60
18614,Some-college,Never-married,United-States,Other-service,White,Not-in-family,Private,20,0,0,32
18716,Some-college,Married-civ-spouse,United-States,Other-service,White,Husband,Local-gov,25,0,0,40
18875,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Self-emp-not-inc,37,0,0,40
18995,Assoc-acdm,Divorced,United-States,Sales,White,Unmarried,Private,46,0,0,38
19023,Some-college,Never-married,United-States,Prof-specialty,White,Not-in-family,Private,52,0,0,37
1908,10th,Married-civ-spouse,United-States,Transport-moving,White,Husband,Private,26,0,0,35
19085,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Private,76,0,0,40
19209,Some-college,Never-married,United-States,Prof-specialty,White,Own-child,Private,21,1055,0,32
19214,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,41,0,0,40
19329,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Private,33,0,0,40
19405,HS-grad,Never-married,United-States,Adm-clerical,White,Not-in-family,Private,47,0,0,33
19446,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Self-emp-not-inc,35,0,0,90
19665,HS-grad,Divorced,United-States,Other-service,White,Other-relative,Private,52,0,0,30
19738,Some-college,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Private,27,0,0,40
19773,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Self-emp-not-inc,49,0,0,40
19887,Some-college,Married-civ-spouse,United-States,Transport-moving,White,Husband,Private,60,0,0,40
19915,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Husband,Private,28,0,0,50
19952,10th,Married-civ-spouse,United-States,Sales,White,Husband,Private,47,0,2179,52
19975,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,37,0,0,40
20051,Masters,Divorced,United-States,Exec-managerial,White,Not-in-family,Private,54,0,0,50
20157,Some-college,Never-married,United-States,Other-service,White,Own-child,Private,18,0,0,24
20458,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Self-emp-inc,64,2635,0,10
20490,Masters,Divorced,United-States,Exec-managerial,White,Not-in-family,Local-gov,52,4787,0,60
20556,Some-college,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,38,0,0,40
20641,Bachelors,Married-civ-spouse,United-States,Sales,White,Husband,Self-emp-inc,49,0,0,50
20724,HS-grad,Married-civ-spouse,United-States,?,White,Husband,?,62,2961,0,30
20808,Some-college,Never-married,United-States,Sales,White,Own-child,Private,21,0,0,12
20828,5th-6th,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,57,0,0,40
20959,HS-grad,Separated,United-States,Transport-moving,White,Unmarried,Private,43,0,0,44
2111,Some-college,Separated,United-States,Adm-clerical,White,Unmarried,Private,46,0,0,40
21185,Some-college,Married-civ-spouse,United-States,Craft-repair,Black,Husband,Private,37,0,0,40
2120,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Wife,Private,42,0,0,53
21227,HS-grad,Widowed,United-States,Machine-op-inspct,White,Not-in-family,Private,59,0,0,40
2142,Some-college,Widowed,United-States,Adm-clerical,White,Unmarried,Local-gov,56,0,0,40
21540,Some-college,Divorced,United-States,Adm-clerical,White,Unmarried,Private,37,25236,0,25
21745,Some-college,Married-civ-spouse,United-States,Sales,White,Husband,Private,66,0,0,28
21861,Masters,Married-civ-spouse,United-States,?,White,Husband,?,45,0,0,40
21958,Masters,Never-married,United-States,Adm-clerical,White,Not-in-family,Private,43,0,0,40
21971,Masters,Never-married,United-States,Prof-specialty,White,Not-in-family,Private,32,0,1590,40
22170,HS-grad,Married-civ-spouse,United-States,Protective-serv,Black,Husband,State-gov,35,0,0,40
22326,5th-6th,Married-civ-spouse,Mexico,Handlers-cleaners,White,Husband,Private,47,0,0,40
22327,Assoc-acdm,Never-married,United-States,Machine-op-inspct,Black,Unmarried,Private,30,0,0,40
22585,HS-grad,Divorced,United-States,Craft-repair,Black,Not-in-family,Federal-gov,53,0,0,40
22636,HS-grad,Never-married,United-States,Other-service,White,Not-in-family,Private,21,0,0,40
22654,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,Private,32,0,0,40
22706,Bachelors,Never-married,United-States,Sales,White,Own-child,Private,24,0,0,40
22727,Bachelors,Never-married,United-States,Sales,White,Not-in-family,Private,26,0,0,40
2274,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,48,0,0,40
22775,HS-grad,Married-civ-spouse,Mexico,Craft-repair,White,Husband,Private,53,0,0,40
22817,Assoc-voc,Married-civ-spouse,Puerto-Rico,Exec-managerial,White,Wife,Private,34,0,0,40
22989,Bachelors,Separated,United-States,Adm-clerical,Black,Unmarried,Federal-gov,52,0,0,40
22995,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Husband,Private,59,0,0,40
23006,Assoc-voc,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,40,0,0,40
23180,7th-8th,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Private,33,0,0,45
23219,HS-grad,Never-married,United-States,Prof-specialty,White,Not-in-family,Private,43,4650,0,40
23229,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Private,45,0,0,40
23244,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Private,58,0,0,53
23273,Some-college,Never-married,United-States,Other-service,White,Own-child,Private,22,0,0,32
23489,10th,Married-civ-spouse,United-States,Transport-moving,White,Husband,Private,48,0,0,40
23555,Some-college,Never-married,United-States,Transport-moving,White,Own-child,Private,21,0,0,30
23816,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Private,42,0,0,45
23864,HS-grad,Divorced,United-States,Exec-managerial,White,Not-in-family,Federal-gov,51,0,0,40
24050,Assoc-acdm,Married-civ-spouse,United-States,Adm-clerical,White,Wife,Private,24,0,0,40
24304,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Private,31,0,1573,40
2438,Some-college,Never-married,United-States,Tech-support,White,Own-child,Private,20,0,0,24
24467,Assoc-voc,Never-married,United-States,Exec-managerial,White,Own-child,Private,27,0,0,40
24610,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Wife,Private,32,0,0,50
24794,HS-grad,Never-married,United-States,Machine-op-inspct,White,Own-child,Private,19,0,0,40
24908,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Local-gov,40,0,0,35
24932,HS-grad,Never-married,United-States,Machine-op-inspct,White,Not-in-family,Private,29,0,0,40
25254,HS-grad,Married-spouse-absent,United-States,Handlers-cleaners,White,Unmarried,Private,50,0,0,40
25374,HS-grad,Never-married,United-States,Transport-moving,White,Not-in-family,Private,29,0,0,45
25469,Bachelors,Married-civ-spouse,United-States,Sales,White,Other-relative,Self-emp-not-inc,32,0,0,45
25530,HS-grad,Married-civ-spouse,United-States,Other-service,White,Husband,Self-emp-inc,29,0,0,40
25632,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,46,3103,0,40
25725,Bachelors,Divorced,United-States,Craft-repair,White,Not-in-family,Private,32,0,0,50
25731,7th-8th,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Self-emp-not-inc,73,0,0,40
25764,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Private,52,0,0,45
25841,Bachelors,Married-civ-spouse,?,Exec-managerial,Asian-Pac-Islander,Wife,Self-emp-inc,45,99999,0,25
26021,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Wife,Private,39,0,0,60
26253,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Self-emp-not-inc,39,0,0,45
26297,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Private,46,0,0,40
26361,HS-grad,Divorced,United-States,Craft-repair,White,Not-in-family,Private,31,0,0,45
26455,7th-8th,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Private,29,0,2042,40
2649,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Wife,Private,28,0,0,40
26555,HS-grad,Never-married,United-States,Other-service,White,Own-child,Private,22,0,0,36
26716,Bachelors,Married-civ-spouse,United-States,Sales,White,Husband,Private,43,0,1902,55
26718,7th-8th,Never-married,Mexico,Other-service,White,Unmarried,Private,22,0,0,40
26719,HS-grad,Never-married,United-States,Craft-repair,Black,Unmarried,Private,26,0,0,40
26936,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Self-emp-inc,46,0,0,60
26964,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Wife,Private,61,15024,0,34
27001,Assoc-voc,Divorced,United-States,Adm-clerical,White,Not-in-family,Private,45,0,0,40
27384,11th,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Private,32,0,0,40
27443,Some-college,Never-married,United-States,Other-service,White,Own-child,Private,19,0,0,20
27498,Bachelors,Married-civ-spouse,United-States,?,White,Wife,?,25,0,0,25
27620,HS-grad,Never-married,United-States,Machine-op-inspct,White,Own-child,Private,23,0,0,40
277,Some-college,Never-married,United-States,Exec-managerial,White,Not-in-family,Private,35,0,0,40
27703,Bachelors,Never-married,United-States,Sales,White,Own-child,Private,25,0,0,50
27743,Bachelors,Never-married,United-States,Exec-managerial,White,Not-in-family,Private,42,0,0,35
2775,Doctorate,Married-civ-spouse,?,Prof-specialty,Black,Husband,State-gov,49,0,1902,60
27788,Some-college,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Self-emp-not-inc,53,0,0,30
27920,Bachelors,Never-married,United-States,Adm-clerical,White,Own-child,Private,23,0,0,40
27948,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Private,42,15024,0,50
27951,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Private,34,0,0,65
28174,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,34,0,0,48
28479,HS-grad,Never-married,United-States,Handlers-cleaners,White,Own-child,Private,25,0,0,95
28650,Some-college,Married-civ-spouse,United-States,Transport-moving,White,Husband,Private,38,7298,0,43
28674,Assoc-voc,Married-civ-spouse,Guatemala,Craft-repair,White,Husband,Private,24,0,0,40
28824,Some-college,Married-civ-spouse,United-States,Sales,White,Husband,Private,41,0,0,50
28878,Some-college,Never-married,United-States,Handlers-cleaners,White,Own-child,Private,20,0,0,20
28910,Masters,Divorced,United-States,Prof-specialty,White,Unmarried,Local-gov,59,8614,0,60
29029,Some-college,Married-civ-spouse,?,Exec-managerial,Asian-Pac-Islander,Husband,Self-emp-not-inc,45,0,0,72
29061,Assoc-voc,Married-civ-spouse,United-States,?,White,Husband,?,37,0,0,54
29156,Masters,Divorced,United-States,Prof-specialty,White,Not-in-family,Federal-gov,37,0,0,40
29283,HS-grad,Never-married,United-States,Handlers-cleaners,White,Not-in-family,Private,26,0,0,45
29402,Assoc-voc,Widowed,United-States,Sales,White,Not-in-family,Private,69,0,0,25
29428,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,47,0,0,50
29751,12th,Married-civ-spouse,United-States,Other-service,White,Husband,Self-emp-not-inc,51,0,0,99
29826,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Wife,Private,36,0,0,32
30165,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Private,33,0,0,50
30349,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Black,Husband,Private,46,0,0,40
30360,HS-grad,Never-married,United-States,Protective-serv,Black,Own-child,Private,21,0,0,40
30451,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Private,47,5178,0,40
30638,HS-grad,Married-civ-spouse,?,Sales,White,Husband,Self-emp-inc,25,0,0,60
30671,HS-grad,Divorced,United-States,Transport-moving,White,Not-in-family,Private,57,0,0,45
30857,1st-4th,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Private,59,0,0,40
30929,Assoc-voc,Married-civ-spouse,United-States,Machine-op-inspct,White,Own-child,Private,23,0,0,30
30945,Masters,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Private,49,0,0,65
31026,Some-college,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,Private,29,0,0,60
3104,Some-college,Married-civ-spouse,United-States,Sales,White,Husband,Private,28,0,0,40
31095,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,55,0,0,40
31116,9th,Divorced,United-States,Exec-managerial,White,Unmarried,Private,46,0,0,40
31151,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,40,7298,0,50
31259,HS-grad,Never-married,United-States,Other-service,White,Not-in-family,Private,42,0,0,65
31529,Some-college,Never-married,United-States,Adm-clerical,White,Not-in-family,Private,23,0,0,30
31680,HS-grad,Married-civ-spouse,United-States,Sales,White,Husband,Private,34,0,0,65
31734,7th-8th,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Self-emp-not-inc,71,0,0,10
31811,HS-grad,Never-married,United-States,Handlers-cleaners,Black,Own-child,Private,26,0,0,48
31862,Assoc-voc,Never-married,United-States,?,White,Unmarried,?,29,0,0,40
31889,Assoc-acdm,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,38,0,0,45
31891,Some-college,Married-civ-spouse,United-States,Sales,White,Husband,Private,59,0,0,50
32391,HS-grad,Separated,United-States,Protective-serv,White,Not-in-family,Private,55,0,0,81
32405,11th,Married-civ-spouse,United-States,Other-service,White,Husband,Private,33,0,0,40
32458,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,36,0,1977,45
32549,Some-college,Divorced,United-States,Adm-clerical,White,Other-relative,State-gov,43,0,0,40
3292,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,62,0,0,50
3434,HS-grad,Divorced,United-States,Other-service,White,Not-in-family,Private,53,0,0,38
3637,Some-college,Divorced,United-States,Adm-clerical,White,Unmarried,Private,32,0,0,40
3661,Some-college,Never-married,United-States,Adm-clerical,White,Not-in-family,Private,57,0,0,40
3863,Assoc-voc,Married-civ-spouse,United-States,?,White,Husband,?,62,3411,0,40
3962,Assoc-voc,Married-civ-spouse,England,Craft-repair,White,Husband,Private,30,0,0,40
4105,Some-college,Divorced,United-States,Handlers-cleaners,White,Not-in-family,Private,46,0,0,45
4239,Some-college,Separated,United-States,Sales,White,Unmarried,Private,24,0,0,45
4574,HS-grad,Never-married,United-States,Farming-fishing,White,Not-in-family,Self-emp-inc,36,0,0,50
4616,Bachelors,Divorced,United-States,Adm-clerical,White,Not-in-family,Private,36,3674,0,40
4628,HS-grad,Never-married,United-States,Craft-repair,White,Not-in-family,Private,29,0,0,40
4651,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Private,36,0,0,45
472,HS-grad,Never-married,United-States,Craft-repair,White,Not-in-family,Private,35,0,0,40
4759,10th,Widowed,United-States,Sales,Black,Unmarried,Private,76,0,0,12
4826,Some-college,Never-married,Vietnam,Adm-clerical,Asian-Pac-Islander,Unmarried,Private,20,0,0,40
4915,11th,Never-married,United-States,Exec-managerial,White,Own-child,Private,18,0,0,20
5159,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,27,0,0,49
5179,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Wife,Local-gov,49,0,0,50
5189,HS-grad,Married-civ-spouse,United-States,Adm-clerical,Black,Wife,Private,51,3411,0,38
5194,HS-grad,Married-civ-spouse,Cuba,Machine-op-inspct,White,Husband,Private,38,0,0,40
5303,Some-college,Never-married,United-States,Other-service,White,Own-child,Private,19,0,0,40
5317,5th-6th,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,37,0,0,40
5353,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Husband,Local-gov,34,0,0,45
5451,11th,Separated,United-States,Machine-op-inspct,White,Not-in-family,Private,56,0,0,40
5531,Some-college,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Self-emp-not-inc,31,0,0,48
5544,Assoc-acdm,Divorced,United-States,Protective-serv,White,Not-in-family,Local-gov,33,0,0,56
5669,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,30,0,1848,50
570,HS-grad,Never-married,United-States,Craft-repair,White,Own-child,Private,24,0,0,40
5710,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Private,41,0,0,46
5748,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Private,41,0,0,60
5777,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Private,26,0,2051,40
5825,10th,Divorced,United-States,Farming-fishing,White,Unmarried,Self-emp-not-inc,49,0,0,70
5979,10th,Never-married,United-States,Transport-moving,White,Not-in-family,Self-emp-inc,37,0,2559,50
6843,Bachelors,Married-civ-spouse,United-States,Sales,White,Wife,Private,45,0,0,42
692,Some-college,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,42,0,0,50
7022,Bachelors,Divorced,United-States,Prof-specialty,White,Not-in-family,Federal-gov,41,0,0,40
7047,10th,Widowed,United-States,Exec-managerial,White,Unmarried,Self-emp-inc,59,0,2559,50
7252,Bachelors,Never-married,United-States,Sales,White,Not-in-family,Private,26,0,0,48
7343,10th,Married-civ-spouse,United-States,Transport-moving,White,Husband,Private,52,0,0,30
7357,10th,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,32,0,0,40
7508,HS-grad,Separated,United-States,Adm-clerical,White,Not-in-family,Private,42,0,0,40
7782,Bachelors,Never-married,United-States,Sales,White,Not-in-family,Private,24,0,0,50
7914,Masters,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Federal-gov,49,0,0,40
8001,Some-college,Divorced,United-States,Adm-clerical,White,Not-in-family,Private,45,0,0,40
8031,Bachelors,Divorced,United-States,Prof-specialty,White,Unmarried,Private,34,0,0,40
8278,Bachelors,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,26,0,0,40
8611,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,49,0,0,40
8623,Bachelors,Never-married,United-States,Prof-specialty,White,Own-child,Private,23,0,0,21
8712,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Private,40,0,1672,45
8816,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Private,35,7688,0,50
8827,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Self-emp-inc,35,0,0,50
8972,HS-grad,Divorced,United-States,Adm-clerical,White,Not-in-family,Local-gov,55,0,0,40
9099,10th,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Private,21,0,0,50
9107,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,37,0,0,40
9158,11th,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Private,23,0,0,55
9237,Bachelors,Married-civ-spouse,?,Adm-clerical,White,Husband,Private,50,0,1902,50
9415,Prof-school,Never-married,United-States,Prof-specialty,White,Own-child,Self-emp-not-inc,26,0,0,20
9432,7th-8th,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,64,0,0,40
9692,Assoc-voc,Married-civ-spouse,United-States,Prof-specialty,White,Wife,Private,37,0,0,30
9764,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Self-emp-not-inc,44,0,0,40
9775,Some-college,Never-married,United-States,Sales,White,Unmarried,Private,22,0,0,32
9859,Bachelors,Married-civ-spouse,Philippines,Exec-managerial,Asian-Pac-Islander,Husband,Self-emp-not-inc,43,0,0,50
9985,Bachelors,Never-married,?,Prof-specialty,White,Not-in-family,Private,26,0,0,45
