record_id,marital-status,occupation,native-country
19980,Married-civ-spouse,Craft-repair,Mexico
20027,Divorced,Prof-specialty,United-States
2014,Married-civ-spouse,Prof-specialty,United-States
20251,Married-civ-spouse,Craft-repair,United-States
20424,Never-married,Adm-clerical,United-States
2047,Never-married,Craft-repair,United-States
20602,Married-civ-spouse,Adm-clerical,United-States
20613,Never-married,Craft-repair,United-States
20698,Never-married,Other-service,Thailand
20901,Never-married,Adm-clerical,United-States
20947,Married-civ-spouse,Tech-support,United-States
21051,Married-civ-spouse,Exec-managerial,United-States
21094,Never-married,Machine-op-inspct,United-States
21312,Divorced,Other-service,United-States
21337,Divorced,Prof-specialty,United-States
21408,Married-civ-spouse,Transport-moving,United-States
21544,Married-civ-spouse,Other-service,United-States
216,Divorced,Sales,United-States
21652,Married-civ-spouse,Other-service,United-States
21754,Married-civ-spouse,Exec-managerial,United-States
21813,Never-married,Sales,United-States
21820,Never-married,Sales,United-States
2185,Divorced,Craft-repair,United-States
21970,Never-married,Machine-op-inspct,United-States
21971,Never-married,Prof-specialty,United-States
22011,Married-civ-spouse,Prof-specialty,United-States
22082,Married-civ-spouse,Craft-repair,United-States
22188,Married-spouse-absent,Adm-clerical,United-States
22247,Divorced,Adm-clerical,United-States
22488,Married-civ-spouse,Craft-repair,United-States
22599,Married-civ-spouse,Adm-clerical,United-States
22611,Never-married,Prof-specialty,United-States
22687,Never-married,Transport-moving,United-States
22760,Married-civ-spouse,Machine-op-inspct,United-States
22795,Married-spouse-absent,?,United-States
23007,Married-civ-spouse,Craft-repair,Mexico
23022,Married-civ-spouse,Sales,India
23041,Married-civ-spouse,Tech-support,United-States
23106,Married-civ-spouse,Exec-managerial,United-States
23251,Separated,Tech-support,United-States
23459,Married-civ-spouse,Farming-fishing,United-States
23617,Never-married,Adm-clerical,United-States
23622,Separated,Sales,United-States
23780,Never-married,Handlers-cleaners,United-States
23883,Married-civ-spouse,Craft-repair,United-States
24069,Never-married,Craft-repair,United-States
24188,Married-civ-spouse,Sales,United-States
2424,Married-civ-spouse,Machine-op-inspct,United-States
24344,Divorced,Adm-clerical,United-States
24840,Married-civ-spouse,Sales,United-States
25013,Married-civ-spouse,Handlers-cleaners,United-States
25033,Married-civ-spouse,Transport-moving,United-States
2516,Married-civ-spouse,Other-service,United-States
25177,Never-married,Sales,United-States
25193,Never-married,Craft-repair,United-States
25707,Married-civ-spouse,Transport-moving,United-States
25736,Divorced,Adm-clerical,United-States
25858,Married-civ-spouse,Craft-repair,United-States
25872,Never-married,Handlers-cleaners,Mexico
26089,Married-civ-spouse,Prof-specialty,United-States
26169,Never-married,Adm-clerical,United-States
26235,Divorced,Machine-op-inspct,United-States
26280,Married-civ-spouse,Sales,United-States
26467,Married-civ-spouse,Sales,United-States
26506,Widowed,Protective-serv,United-States
26552,Never-married,Other-service,United-States
26609,Never-married,Farming-fishing,United-States
26645,Divorced,Prof-specialty,United-States
26699,Never-married,Sales,United-States
26859,Never-married,Machine-op-inspct,United-States
26975,Married-civ-spouse,Prof-specialty,United-States
27004,Never-married,Adm-clerical,United-States
27021,Married-civ-spouse,Farming-fishing,United-States
27024,Divorced,Machine-op-inspct,United-States
27057,Married-civ-spouse,Exec-managerial,United-States
27186,Never-married,Other-service,Mexico
27247,Married-civ-spouse,Exec-managerial,United-States
27605,Married-civ-spouse,Sales,United-States
28010,Never-married,Other-service,United-States
28501,Widowed,Other-service,United-States
28683,Married-spouse-absent,Sales,Dominican-Republic
28694,Married-civ-spouse,Exec-managerial,United-States
29059,Married-civ-spouse,Transport-moving,United-States
29117,Married-civ-spouse,Exec-managerial,United-States
29157,Married-civ-spouse,Machine-op-inspct,United-States
29355,Separated,Exec-managerial,United-States
29483,Divorced,Adm-clerical,United-States
29716,Married-civ-spouse,Craft-repair,United-States
29749,Never-married,Other-service,United-States
29931,Widowed,Adm-clerical,United-States
29949,Married-civ-spouse,Exec-managerial,United-States
29953,Never-married,Adm-clerical,United-States
29990,Divorced,Machine-op-inspct,United-States
30057,Married-civ-spouse,Farming-fishing,United-States
30156,Married-civ-spouse,?,United-States
30161,Separated,Machine-op-inspct,Dominican-Republic
3022,Married-civ-spouse,Craft-repair,United-States
30259,Married-civ-spouse,Adm-clerical,United-States
30330,Married-civ-spouse,Protective-serv,United-States
3036,Widowed,Prof-specialty,United-States
30361,Married-civ-spouse,Other-service,Mexico
30400,Married-civ-spouse,Machine-op-inspct,Germany
30502,Married-civ-spouse,Prof-specialty,United-States
30518,Married-civ-spouse,Prof-specialty,United-States
30531,Never-married,Other-service,United-States
30585,Married-civ-spouse,Craft-repair,United-States
3070,Never-married,Exec-managerial,United-States
30702,Divorced,Exec-managerial,United-States
3073,Never-married,Craft-repair,United-States
3076,Married-civ-spouse,Sales,United-States
30761,Divorced,Adm-clerical,United-States
31037,Never-married,Adm-clerical,United-States
31184,Never-married,Other-service,United-States
3138,Divorced,Adm-clerical,United-States
31434,Married-civ-spouse,Prof-specialty,United-States
31582,Never-married,Adm-clerical,United-States
31660,Married-civ-spouse,Handlers-cleaners,United-States
31794,Married-civ-spouse,Exec-managerial,United-States
31881,Married-civ-spouse,Exec-managerial,United-States
31915,Never-married,Craft-repair,United-States
32033,Married-civ-spouse,Sales,United-States
3207,Never-married,?,United-States
32161,Married-civ-spouse,Exec-managerial,United-States
32163,Married-civ-spouse,Sales,United-States
32238,Married-civ-spouse,Exec-managerial,United-States
3232,Separated,Exec-managerial,?
32415,Married-civ-spouse,Craft-repair,United-States
3272,Never-married,Craft-repair,United-States
3287,Married-civ-spouse,Farming-fishing,United-States
3339,Widowed,Craft-repair,United-States
3412,Married-civ-spouse,Machine-op-inspct,United-States
3620,Separated,Adm-clerical,United-States
369,Divorced,Sales,United-States
3725,Never-married,?,United-States
3889,Married-civ-spouse,Craft-repair,United-States
3907,Never-married,Adm-clerical,United-States
3981,Never-married,Machine-op-inspct,Ecuador
408,Married-civ-spouse,?,United-States
4179,Never-married,Prof-specialty,United-States
4204,Never-married,Farming-fishing,United-States
4207,Divorced,Sales,United-States
4264,Married-civ-spouse,Exec-managerial,United-States
4266,Married-civ-spouse,Prof-specialty,United-States
4283,Married-civ-spouse,Other-service,United-States
4322,Divorced,Exec-managerial,United-States
4442,Never-married,Exec-managerial,United-States
4485,Married-spouse-absent,Adm-clerical,Jamaica
4746,Never-married,Sales,United-States
4777,Never-married,Sales,United-States
4886,Separated,Exec-managerial,United-States
4933,Separated,Other-service,United-States
5022,Married-civ-spouse,Transport-moving,United-States
5023,Never-married,Adm-clerical,United-States
5518,Married-civ-spouse,Prof-specialty,United-States
5604,Never-married,Other-service,Philippines
5711,Married-civ-spouse,Adm-clerical,United-States
5728,Married-civ-spouse,Protective-serv,United-States
5777,Married-civ-spouse,Adm-clerical,United-States
5812,Divorced,Transport-moving,Haiti
5856,Married-civ-spouse,Craft-repair,United-States
6009,Never-married,Machine-op-inspct,United-States
6030,Married-civ-spouse,Sales,United-States
6035,Never-married,Exec-managerial,United-States
6065,Married-civ-spouse,Exec-managerial,China
6069,Never-married,Transport-moving,United-States
6127,Divorced,Adm-clerical,United-States
6696,Never-married,Adm-clerical,United-States
6753,Divorced,?,United-States
6927,Divorced,Adm-clerical,United-States
6931,Married-civ-spouse,Craft-repair,United-States
6961,Married-civ-spouse,Transport-moving,United-States
6977,Married-civ-spouse,Transport-moving,United-States
7013,Married-civ-spouse,Machine-op-inspct,United-States
7016,Never-married,Craft-repair,United-States
7059,Widowed,Other-service,South
7095,Married-civ-spouse,Tech-support,United-States
7156,Never-married,Sales,United-States
7202,Married-civ-spouse,Prof-specialty,China
7297,Married-civ-spouse,Prof-specialty,United-States
7396,Never-married,Craft-repair,United-States
7433,Married-spouse-absent,Adm-clerical,Guatemala
7737,Widowed,Craft-repair,United-States
7855,Married-civ-spouse,Farming-fishing,United-States
7914,Married-civ-spouse,Adm-clerical,United-States
7961,Divorced,Adm-clerical,United-States
8075,Never-married,Prof-specialty,China
8164,Never-married,Machine-op-inspct,United-States
8217,Never-married,Other-service,United-States
8248,Married-civ-spouse,Other-service,United-States
8335,Divorced,Adm-clerical,United-States
8347,Divorced,Adm-clerical,United-States
8390,Divorced,Prof-specialty,United-States
8498,Married-civ-spouse,Handlers-cleaners,Mexico
8921,Never-married,Adm-clerical,United-States
9103,Never-married,Sales,United-States
9192,Married-civ-spouse,Exec-managerial,United-States
9500,Married-civ-spouse,?,United-States
9509,Married-civ-spouse,Other-service,United-States
9593,Separated,Machine-op-inspct,United-States
9625,Married-spouse-absent,Prof-specialty,United-States
9690,Married-civ-spouse,Sales,United-States
9752,Never-married,Exec-managerial,United-States
9840,Never-married,Adm-clerical,United-States
9851,Never-married,Adm-clerical,United-States
9925,Married-civ-spouse,Craft-repair,United-States
9970,Never-married,Adm-clerical,United-States
9983,Never-married,Transport-moving,United-States
