record_id,education,marital-status,native-country,occupation,relationship,workclass,age,capital-gain,capital-loss,hours-per-week,race,sex
16175,Assoc-voc,Divorced,United-States,Tech-support,Not-in-family,Private,40,3325,0,40,White,Male
16205,Some-college,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Private,36,0,1887,40,White,Male
16230,HS-grad,Separated,United-States,Machine-op-inspct,Unmarried,Private,27,0,0,40,White,Female
16243,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Self-emp-not-inc,58,0,0,50,White,Male
16253,HS-grad,Divorced,United-States,Handlers-cleaners,Unmarried,Private,33,0,0,30,White,Male
16269,Prof-school,Married-civ-spouse,United-States,Prof-specialty,Husband,Self-emp-not-inc,50,0,0,50,White,Male
16355,Bachelors,Never-married,United-States,Prof-specialty,Own-child,Private,30,0,0,37,White,Female
1637,HS-grad,Never-married,United-States,Sales,Not-in-family,Private,28,2202,0,48,White,Female
16384,HS-grad,Never-married,United-States,Other-service,Own-child,Private,21,0,0,40,White,Male
16592,HS-grad,Separated,United-States,Transport-moving,Unmarried,Private,40,0,0,40,Black,Male
16630,Bachelors,Never-married,United-States,Prof-specialty,Not-in-family,State-gov,44,0,0,38,Asian-Pac-Islander,Female
1671,Some-college,Never-married,United-States,Exec-managerial,Unmarried,Private,43,0,0,50,White,Male
16758,10th,Married-civ-spouse,United-States,Craft-repair,Husband,Private,38,3103,0,40,White,Male
16864,Bachelors,Never-married,United-States,Sales,Not-in-family,Private,42,10520,0,50,White,Male
16893,9th,Married-civ-spouse,United-States,Other-service,Husband,Local-gov,54,0,0,40,White,Male
16956,Assoc-acdm,Divorced,United-States,Adm-clerical,Not-in-family,Private,25,0,0,45,Black,Female
16991,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Wife,Local-gov,37,0,0,50,White,Female
17006,Some-college,Married-civ-spouse,United-States,Sales,Husband,Self-emp-inc,77,0,0,8,White,Male
17193,Some-college,Married-civ-spouse,?,Other-service,Wife,Private,34,0,1628,12,White,Female
17243,HS-grad,Divorced,United-States,Craft-repair,Unmarried,Self-emp-inc,39,0,0,60,White,Male
17278,Some-college,Never-married,United-States,Prof-specialty,Not-in-family,Private,26,0,0,50,Other,Male
17336,Assoc-voc,Married-civ-spouse,United-States,Craft-repair,Husband,Private,55,0,0,40,White,Male
17388,Masters,Never-married,United-States,Sales,Not-in-family,Private,39,0,2444,45,White,Male
17434,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Private,51,0,0,40,White,Male
17562,Bachelors,Divorced,United-States,Prof-specialty,Unmarried,Private,46,0,0,40,White,Female
17605,HS-grad,Never-married,United-States,Tech-support,Not-in-family,Private,29,0,0,42,White,Male
17770,Some-college,Married-civ-spouse,United-States,Other-service,Husband,Self-emp-not-inc,39,0,0,40,Black,Male
17906,Some-college,Divorced,United-States,Machine-op-inspct,Not-in-family,Private,41,0,0,40,White,Male
17973,HS-grad,Married-civ-spouse,United-States,Tech-support,Husband,Private,25,0,0,40,White,Male
18018,Bachelors,Never-married,United-States,Adm-clerical,Not-in-family,Private,24,0,0,30,White,Female
18080,Prof-school,Married-civ-spouse,United-States,Prof-specialty,Husband,Private,47,99999,0,48,White,Male
1810,HS-grad,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,57,0,0,60,White,Male
18186,HS-grad,Divorced,United-States,Craft-repair,Not-in-family,Private,51,0,0,40,White,Male
18281,10th,Divorced,United-States,Craft-repair,Not-in-family,Private,37,0,0,40,White,Male
18409,Bachelors,Married-civ-spouse,United-States,?,Husband,?,69,10605,0,10,White,Male
18467,11th,Separated,United-States,Other-service,Unmarried,Private,44,0,0,30,Black,Female
18921,10th,Never-married,Mexico,Other-service,Unmarried,Private,39,0,0,25,White,Female
18922,Some-college,Never-married,United-States,Adm-clerical,Unmarried,Local-gov,34,0,0,18,White,Female
19573,Some-college,Never-married,United-States,Adm-clerical,Own-child,Private,22,0,0,25,Black,Female
19635,Prof-school,Married-civ-spouse,United-States,Prof-specialty,Husband,Private,37,0,0,60,White,Male
19765,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Husband,Private,52,0,0,40,White,Male
19794,Some-college,Married-civ-spouse,United-States,Craft-repair,Husband,Self-emp-not-inc,32,0,0,55,White,Male
1991,HS-grad,Never-married,United-States,Handlers-cleaners,Not-in-family,Private,26,0,0,40,White,Male
19928,HS-grad,Separated,United-States,Transport-moving,Unmarried,Private,53,0,0,45,White,Male
19950,Some-college,Married-civ-spouse,United-States,Prof-specialty,Husband,Federal-gov,41,0,0,44,White,Male
19975,Some-college,Married-civ-spouse,United-States,Craft-repair,Husband,Private,37,0,0,40,White,Male
20126,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,37,0,0,50,White,Male
20308,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Private,24,0,0,40,White,Male
20319,7th-8th,Divorced,United-States,Other-service,Other-relative,Private,50,0,0,40,White,Female
20443,Some-college,Never-married,United-States,Prof-specialty,Own-child,Private,23,0,0,20,White,Male
20478,HS-grad,Never-married,United-States,Other-service,Not-in-family,Private,22,0,0,40,White,Female
20733,Assoc-acdm,Married-civ-spouse,United-States,Adm-clerical,Wife,Private,24,0,0,40,White,Female
2090,Assoc-acdm,Married-civ-spouse,United-States,Sales,Husband,Private,42,0,0,45,White,Male
21111,HS-grad,Never-married,United-States,Machine-op-inspct,Not-in-family,Private,39,0,0,52,Black,Female
21256,Assoc-voc,Never-married,United-States,Sales,Not-in-family,Private,29,0,0,45,Black,Male
21294,Bachelors,Never-married,United-States,Adm-clerical,Not-in-family,Private,27,0,0,43,White,Female
21400,HS-grad,Never-married,United-States,Tech-support,Not-in-family,Private,34,0,0,40,White,Male
21414,Prof-school,Married-civ-spouse,United-States,Prof-specialty,Husband,Self-emp-inc,40,15024,0,40,White,Male
21477,Assoc-acdm,Never-married,United-States,Machine-op-inspct,Own-child,Private,25,0,0,48,Black,Male
21792,HS-grad,Married-civ-spouse,United-States,Sales,Husband,Private,33,0,0,60,White,Male
22377,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Private,37,0,0,40,White,Male
22411,HS-grad,Widowed,United-States,Machine-op-inspct,Not-in-family,Private,68,0,0,32,White,Female
22424,HS-grad,Married-civ-spouse,United-States,Adm-clerical,Wife,Private,37,0,0,40,White,Female
22520,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Private,44,0,0,41,White,Male
22523,HS-grad,Never-married,United-States,Craft-repair,Not-in-family,Private,34,0,0,40,White,Male
22623,11th,Married-civ-spouse,United-States,Farming-fishing,Husband,Self-emp-not-inc,60,0,0,35,White,Male
22712,Some-college,Never-married,United-States,Adm-clerical,Not-in-family,Private,28,0,0,40,White,Female
22913,Prof-school,Married-civ-spouse,United-States,Prof-specialty,Husband,Self-emp-not-inc,41,0,0,50,White,Male
23013,9th,Married-civ-spouse,Mexico,Machine-op-inspct,Husband,Private,29,0,0,40,White,Male
23084,HS-grad,Married-civ-spouse,United-States,Sales,Husband,Private,48,0,0,40,White,Male
23137,10th,Divorced,United-States,Adm-clerical,Own-child,Private,46,0,0,40,Black,Male
23188,Some-college,Never-married,United-States,Adm-clerical,Other-relative,Private,30,0,0,20,White,Female
23208,HS-grad,Never-married,United-States,Adm-clerical,Not-in-family,Private,24,0,0,50,White,Male
23238,HS-grad,Divorced,United-States,Other-service,Unmarried,Private,39,6849,0,40,Amer-Indian-Eskimo,Female
23261,9th,Married-civ-spouse,United-States,Sales,Husband,Private,51,0,0,40,White,Male
23280,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Self-emp-inc,49,0,0,50,White,Male
23291,HS-grad,Divorced,United-States,Craft-repair,Unmarried,Self-emp-not-inc,43,0,0,30,Amer-Indian-Eskimo,Male
23332,HS-grad,Never-married,United-States,Handlers-cleaners,Own-child,Private,20,0,0,38,White,Male
23502,HS-grad,Widowed,United-States,?,Unmarried,?,31,0,0,36,White,Female
23518,Some-college,Married-civ-spouse,United-States,Tech-support,Wife,Private,41,0,0,40,White,Female
23660,10th,Never-married,United-States,Craft-repair,Not-in-family,Private,17,594,0,30,White,Male
237,Bachelors,Married-civ-spouse,Iran,Exec-managerial,Husband,Private,41,0,0,50,White,Male
23726,Assoc-voc,Married-civ-spouse,United-States,Craft-repair,Husband,Private,55,0,0,40,White,Male
23750,Some-college,Married-civ-spouse,United-States,Exec-managerial,Wife,Private,65,0,0,45,White,Female
24077,Some-college,Never-married,United-States,Other-service,Own-child,Private,23,0,0,30,White,Female
24153,HS-grad,Separated,United-States,Craft-repair,Not-in-family,Private,35,0,0,50,White,Male
24206,HS-grad,Married-civ-spouse,United-States,Other-service,Wife,Private,43,0,0,35,White,Female
2423,Bachelors,Never-married,United-States,Sales,Not-in-family,Self-emp-not-inc,24,0,0,40,White,Male
24329,Prof-school,Married-civ-spouse,United-States,Prof-specialty,Husband,State-gov,61,0,1902,40,White,Male
24439,HS-grad,Never-married,United-States,Adm-clerical,Unmarried,Private,58,0,0,40,White,Female
24476,Masters,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,31,0,0,40,White,Male
24602,Some-college,Married-civ-spouse,United-States,Sales,Husband,Private,52,7298,0,45,White,Male
24723,Some-college,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,34,0,0,45,White,Male
24927,HS-grad,Divorced,United-States,Other-service,Unmarried,Private,39,0,0,40,White,Female
25024,11th,Never-married,United-States,Other-service,Not-in-family,Private,17,0,0,20,White,Male
25065,Assoc-voc,Married-civ-spouse,United-States,Prof-specialty,Husband,Private,37,0,0,48,White,Male
25206,HS-grad,Divorced,United-States,Adm-clerical,Unmarried,State-gov,47,1831,0,38,White,Female
25274,Masters,Married-civ-spouse,United-States,Prof-specialty,Husband,Local-gov,49,7298,0,40,White,Male
25326,HS-grad,Separated,United-States,Other-service,Not-in-family,Private,43,0,0,40,Black,Female
2555,Some-college,Never-married,United-States,Farming-fishing,Own-child,Private,25,0,0,60,White,Male
25688,HS-grad,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,50,0,0,40,White,Male
25724,Bachelors,Divorced,United-States,Prof-specialty,Not-in-family,Local-gov,53,0,1876,54,White,Female
25898,HS-grad,Married-civ-spouse,United-States,Transport-moving,Husband,Private,26,0,0,40,Other,Male
25908,Masters,Married-civ-spouse,United-States,Exec-managerial,Husband,Self-emp-not-inc,41,7298,0,70,White,Male
25984,HS-grad,Married-civ-spouse,United-States,Transport-moving,Husband,Local-gov,41,0,0,40,Black,Male
26072,Bachelors,Married-civ-spouse,United-States,Sales,Husband,Private,24,0,0,30,Black,Male
2622,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Private,42,0,0,60,Amer-Indian-Eskimo,Male
26258,Bachelors,Divorced,United-States,Exec-managerial,Not-in-family,Self-emp-not-inc,44,3325,0,40,White,Female
26542,HS-grad,Married-civ-spouse,United-States,Prof-specialty,Husband,Private,39,0,0,45,White,Male
26553,Some-college,Never-married,United-States,Machine-op-inspct,Not-in-family,Private,20,0,0,70,White,Male
26594,Some-college,Divorced,United-States,Craft-repair,Unmarried,Private,38,0,0,40,White,Male
26700,HS-grad,Never-married,United-States,Craft-repair,Own-child,Self-emp-not-inc,26,0,0,50,White,Male
26734,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Private,30,0,0,45,White,Male
26890,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Self-emp-not-inc,53,0,2415,40,White,Male
26906,Bachelors,Married-civ-spouse,United-States,Craft-repair,Husband,Private,46,0,0,40,White,Male
26959,Masters,Never-married,United-States,Prof-specialty,Not-in-family,State-gov,32,0,0,10,White,Male
27016,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,47,0,0,57,White,Male
27061,Some-college,Divorced,United-States,Handlers-cleaners,Not-in-family,Private,45,0,0,30,White,Male
2721,Some-college,Married-civ-spouse,United-States,Sales,Husband,Private,34,0,0,55,White,Male
27264,Bachelors,Never-married,United-States,Prof-specialty,Not-in-family,Private,26,0,0,40,White,Female
273,Masters,Never-married,United-States,Prof-specialty,Own-child,Local-gov,27,0,0,35,White,Male
27361,Some-college,Never-married,United-States,Other-service,Own-child,Private,20,0,0,35,White,Male
27371,Prof-school,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,47,0,0,45,White,Male
27392,Bachelors,Divorced,United-States,Sales,Not-in-family,Private,43,0,0,50,White,Female
27484,Some-college,Married-civ-spouse,United-States,Craft-repair,Husband,Private,50,0,0,40,White,Male
27560,HS-grad,Never-married,United-States,Other-service,Unmarried,Self-emp-not-inc,25,0,0,30,White,Female
2769,Some-college,Never-married,United-States,Protective-serv,Own-child,Local-gov,22,0,0,40,White,Male
27848,Bachelors,Never-married,United-States,Exec-managerial,Not-in-family,Federal-gov,45,0,0,40,White,Female
27911,9th,Never-married,United-States,Other-service,Own-child,Private,21,0,0,40,Amer-Indian-Eskimo,Male
27964,HS-grad,Never-married,United-States,Other-service,Unmarried,Private,30,0,0,40,White,Female
27975,Some-college,Never-married,United-States,Transport-moving,Other-relative,Private,27,0,0,40,White,Male
28041,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Wife,Private,48,0,0,50,White,Female
28400,HS-grad,Married-civ-spouse,United-States,Exec-managerial,Husband,Self-emp-inc,25,0,0,40,White,Male
28488,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Private,30,0,0,40,White,Male
28726,HS-grad,Widowed,United-States,Adm-clerical,Unmarried,Private,49,0,0,40,White,Female
28728,Some-college,Married-civ-spouse,United-States,Sales,Husband,Private,36,7688,0,50,Black,Male
28741,5th-6th,Married-civ-spouse,Mexico,Other-service,Wife,Self-emp-not-inc,35,0,0,15,White,Female
28832,Doctorate,Married-civ-spouse,Poland,Prof-specialty,Husband,Private,45,0,0,40,White,Male
28895,Some-college,Married-civ-spouse,Peru,Prof-specialty,Husband,Private,33,0,0,40,White,Male
28897,Bachelors,Never-married,United-States,Tech-support,Not-in-family,Private,31,0,0,40,White,Male
2901,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Self-emp-inc,67,0,2392,75,White,Male
29013,HS-grad,Widowed,United-States,Adm-clerical,Not-in-family,Private,52,0,0,40,White,Female
29095,Bachelors,Divorced,United-States,Prof-specialty,Unmarried,Local-gov,41,0,0,40,White,Female
29126,Some-college,Never-married,United-States,Exec-managerial,Own-child,State-gov,21,0,0,20,White,Female
29365,Bachelors,Never-married,United-States,Adm-clerical,Own-child,Private,25,0,0,40,White,Male
29397,Bachelors,Married-civ-spouse,United-States,?,Husband,?,50,0,1902,60,Black,Male
29475,HS-grad,Never-married,United-States,Other-service,Own-child,Private,31,0,0,40,Black,Male
29591,Doctorate,Divorced,United-States,Prof-specialty,Not-in-family,Private,29,0,0,60,White,Female
29600,HS-grad,Divorced,United-States,Transport-moving,Own-child,Private,30,0,0,40,Black,Male
29659,Some-college,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,66,0,0,24,White,Male
2976,HS-grad,Divorced,United-States,Craft-repair,Not-in-family,Private,34,3325,0,35,White,Male
29809,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Wife,Local-gov,39,0,0,42,White,Female
29834,Some-college,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,53,0,0,55,White,Male
29843,HS-grad,Divorced,United-States,Prof-specialty,Own-child,Private,36,0,0,40,White,Female
2990,Some-college,Never-married,United-States,Prof-specialty,Own-child,Private,20,0,0,25,White,Male
3001,7th-8th,Married-civ-spouse,United-States,Craft-repair,Husband,Private,55,0,0,60,White,Male
302,HS-grad,Married-civ-spouse,United-States,Transport-moving,Husband,Private,31,0,0,45,White,Male
30255,12th,Divorced,United-States,Other-service,Unmarried,State-gov,57,0,0,40,White,Female
30293,Some-college,Divorced,United-States,Adm-clerical,Not-in-family,State-gov,51,0,0,40,White,Female
30382,HS-grad,Married-civ-spouse,United-States,Transport-moving,Husband,Private,34,0,0,52,Amer-Indian-Eskimo,Male
30460,12th,Never-married,United-States,Adm-clerical,Unmarried,State-gov,32,0,0,40,White,Female
30525,Some-college,Married-civ-spouse,United-States,Prof-specialty,Wife,Self-emp-inc,49,0,0,65,White,Female
30560,Some-college,Married-civ-spouse,United-States,Exec-managerial,Husband,Local-gov,59,0,0,60,White,Male
30588,Some-college,Divorced,United-States,Exec-managerial,Not-in-family,State-gov,66,0,0,55,White,Female
30617,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Federal-gov,52,0,0,45,White,Male
30652,Bachelors,Never-married,United-States,Exec-managerial,Not-in-family,Private,30,0,0,42,White,Male
30774,Assoc-voc,Never-married,United-States,Transport-moving,Unmarried,Self-emp-inc,25,0,0,55,White,Male
30969,Assoc-voc,Married-civ-spouse,Canada,Craft-repair,Husband,Private,51,0,0,40,White,Male
31043,HS-grad,Married-civ-spouse,United-States,?,Husband,?,72,0,0,8,White,Male
31140,10th,Never-married,United-States,Transport-moving,Not-in-family,Private,25,2597,0,50,White,Male
31142,Bachelors,Married-civ-spouse,United-States,Other-service,Husband,Private,53,0,0,35,White,Male
3121,Some-college,Never-married,United-States,Craft-repair,Own-child,Private,21,0,0,40,White,Male
31262,HS-grad,Never-married,United-States,Sales,Unmarried,Private,22,0,0,20,White,Male
3129,Assoc-acdm,Separated,United-States,Prof-specialty,Not-in-family,Federal-gov,64,0,0,40,White,Female
31445,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Self-emp-not-inc,54,0,0,35,White,Male
31747,Bachelors,Divorced,United-States,Exec-managerial,Not-in-family,Private,42,0,0,55,White,Female
31833,Assoc-voc,Married-civ-spouse,United-States,Adm-clerical,Wife,Local-gov,39,0,0,37,White,Female
3186,Bachelors,Married-civ-spouse,United-States,Sales,Husband,Private,35,0,0,50,White,Male
31914,Bachelors,Separated,United-States,Sales,Not-in-family,Private,50,0,0,40,White,Male
31946,Masters,Married-civ-spouse,United-States,Prof-specialty,Husband,Private,49,0,0,43,White,Male
3220,Bachelors,Divorced,United-States,Exec-managerial,Not-in-family,Self-emp-inc,47,0,0,70,White,Male
32377,HS-grad,Married-civ-spouse,United-States,Transport-moving,Husband,Private,28,0,0,70,White,Male
32436,Prof-school,Married-civ-spouse,United-States,Prof-specialty,Husband,Private,37,0,0,50,White,Male
32528,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Wife,Private,31,0,0,40,White,Female
3297,HS-grad,Married-civ-spouse,Canada,?,Husband,?,76,0,0,40,White,Male
3348,HS-grad,Married-civ-spouse,Germany,Craft-repair,Husband,Private,30,0,0,40,White,Male
3496,11th,Never-married,United-States,Other-service,Other-relative,Private,18,0,0,15,Black,Male
3818,Some-college,Married-civ-spouse,United-States,Craft-repair,Husband,Private,40,0,0,52,White,Male
4039,HS-grad,Divorced,United-States,Craft-repair,Not-in-family,Private,35,0,0,40,White,Male
4160,HS-grad,Married-civ-spouse,United-States,Craft-repair,Own-child,Private,37,3137,0,40,White,Male
4177,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,41,0,1902,60,White,Male
4222,Some-college,Divorced,United-States,Craft-repair,Not-in-family,Private,41,0,0,40,White,Male
4627,7th-8th,Married-civ-spouse,United-States,?,Husband,?,58,0,0,24,White,Male
468,Masters,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,49,0,1977,45,White,Male
4741,Doctorate,Never-married,United-States,Prof-specialty,Not-in-family,Private,31,0,0,28,White,Female
4868,Some-college,Never-married,United-States,Sales,Other-relative,Private,22,0,0,65,White,Male
4925,Bachelors,Never-married,United-States,?,Not-in-family,?,28,0,0,18,White,Male
4964,Some-college,Married-civ-spouse,United-States,Transport-moving,Husband,Self-emp-not-inc,45,0,0,45,White,Male
5348,Bachelors,Never-married,United-States,Other-service,Own-child,Private,23,0,0,40,White,Male
5499,HS-grad,Divorced,United-States,Craft-repair,Unmarried,Private,56,0,0,35,White,Male
550,Some-college,Divorced,United-States,Exec-managerial,Not-in-family,Self-emp-not-inc,46,0,0,50,White,Male
5567,HS-grad,Separated,United-States,Transport-moving,Not-in-family,Private,30,0,0,44,White,Male
5939,HS-grad,Married-civ-spouse,United-States,Sales,Husband,Private,36,0,0,40,White,Male
5995,Some-college,Never-married,United-States,Tech-support,Own-child,Private,26,0,0,40,White,Female
6159,HS-grad,Never-married,United-States,Other-service,Not-in-family,Private,41,0,0,40,White,Female
6200,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Husband,Self-emp-not-inc,37,0,0,40,White,Male
6391,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Wife,State-gov,41,0,0,48,Amer-Indian-Eskimo,Female
6746,Bachelors,Widowed,United-States,Prof-specialty,Unmarried,Self-emp-not-inc,75,0,0,48,White,Male
6800,Some-college,Divorced,United-States,Exec-managerial,Not-in-family,Federal-gov,52,0,0,40,White,Female
6843,Bachelors,Married-civ-spouse,United-States,Sales,Wife,Private,45,0,0,42,White,Female
7080,11th,Never-married,?,Sales,Own-child,Private,18,0,0,20,Other,Female
7095,HS-grad,Married-civ-spouse,United-States,Tech-support,Husband,Self-emp-not-inc,37,0,0,30,White,Male
7117,HS-grad,Married-civ-spouse,United-States,Sales,Husband,Private,47,7298,0,45,White,Male
7175,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Self-emp-not-inc,36,0,0,47,White,Male
7360,11th,Never-married,United-States,Handlers-cleaners,Own-child,Private,17,0,0,12,White,Male
7394,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Private,20,3781,0,35,White,Male
7459,HS-grad,Never-married,United-States,Adm-clerical,Unmarried,Private,40,0,0,35,Black,Female
7536,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Private,43,0,0,40,White,Male
7546,Some-college,Divorced,Italy,Exec-managerial,Not-in-family,Private,54,0,0,40,White,Female
7831,Some-college,Married-civ-spouse,United-States,Exec-managerial,Husband,Private,37,0,0,42,White,Male
