record_id,age,education,native-country,occupation,race,relationship,sex,workclass
21762,67,HS-grad,United-States,?,White,Not-in-family,Female,?
21766,37,Some-college,United-States,Adm-clerical,White,Not-in-family,Female,Private
2189,74,Some-college,United-States,Transport-moving,White,Not-in-family,Female,Federal-gov
21976,34,Prof-school,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc
22196,53,HS-grad,United-States,Sales,White,Wife,Female,Private
22221,33,HS-grad,United-States,Sales,Black,Own-child,Female,Private
22536,60,Masters,United-States,Exec-managerial,White,Husband,Male,Local-gov
22611,38,Prof-school,United-States,Prof-specialty,White,Not-in-family,Female,Private
22649,40,Some-college,United-States,Machine-op-inspct,White,Husband,Male,Private
22807,53,Some-college,United-States,Sales,White,Husband,Male,Private
2284,29,Doctorate,Canada,Prof-specialty,White,Not-in-family,Male,Private
23015,42,Bachelors,United-States,Sales,White,Husband,Male,Private
23189,52,11th,United-States,Transport-moving,White,Husband,Male,State-gov
23250,36,HS-grad,United-States,Exec-managerial,White,Own-child,Female,Private
23322,23,Some-college,United-States,Other-service,Black,Not-in-family,Male,Private
23627,32,Bachelors,United-States,Prof-specialty,White,Not-in-family,Male,Private
23721,27,Bachelors,United-States,Prof-specialty,Asian-Pac-Islander,Not-in-family,Male,Private
23743,19,HS-grad,United-States,Sales,Black,Unmarried,Female,Private
23751,32,HS-grad,United-States,Machine-op-inspct,White,Not-in-family,Female,Private
2390,30,HS-grad,Canada,Exec-managerial,White,Husband,Male,Self-emp-inc
24363,28,Bachelors,United-States,Craft-repair,White,Own-child,Male,Private
24711,40,HS-grad,United-States,Other-service,White,Husband,Male,Self-emp-not-inc
24728,32,HS-grad,United-States,Adm-clerical,White,Other-relative,Female,Private
24840,46,Some-college,United-States,Sales,White,Husband,Male,Self-emp-inc
25064,37,Some-college,United-States,Transport-moving,White,Husband,Male,Local-gov
25084,29,10th,United-States,Craft-repair,White,Husband,Male,Self-emp-not-inc
25459,37,9th,United-States,Handlers-cleaners,White,Husband,Male,Private
25503,48,Masters,United-States,Tech-support,White,Husband,Male,Private
25520,48,Masters,United-States,Protective-serv,White,Not-in-family,Male,State-gov
25583,24,Bachelors,United-States,Exec-managerial,Black,Own-child,Female,Private
25809,52,Bachelors,United-States,Machine-op-inspct,White,Husband,Male,Private
25819,63,Bachelors,United-States,?,White,Husband,Male,?
25863,29,HS-grad,United-States,Other-service,White,Unmarried,Female,Private
25935,30,Some-college,United-States,Adm-clerical,White,Not-in-family,Female,Self-emp-not-inc
25941,32,Bachelors,United-States,Prof-specialty,White,Not-in-family,Female,Private
26137,20,Some-college,United-States,?,White,Own-child,Female,?
26174,64,Some-college,United-States,Prof-specialty,White,Not-in-family,Female,Self-emp-not-inc
26241,42,Assoc-voc,United-States,Other-service,White,Husband,Male,Private
26371,31,HS-grad,United-States,Other-service,White,Not-in-family,Male,Private
26478,59,HS-grad,United-States,Farming-fishing,White,Husband,Male,Self-emp-not-inc
26529,24,HS-grad,United-States,Handlers-cleaners,Black,Own-child,Male,Private
26689,40,Assoc-acdm,United-States,Protective-serv,White,Husband,Male,Local-gov
27029,60,HS-grad,United-States,Sales,Black,Not-in-family,Male,Self-emp-not-inc
27058,30,12th,United-States,Adm-clerical,White,Wife,Female,Local-gov
27317,70,Doctorate,United-States,?,White,Husband,Male,?
27351,46,Assoc-voc,United-States,Tech-support,Black,Unmarried,Female,Private
27430,34,Some-college,United-States,Craft-repair,White,Not-in-family,Male,Self-emp-not-inc
27473,25,Assoc-voc,United-States,Adm-clerical,White,Not-in-family,Female,Private
27531,19,1st-4th,Mexico,Handlers-cleaners,White,Other-relative,Male,Private
27545,36,5th-6th,Mexico,Craft-repair,White,Other-relative,Male,Private
27580,26,Bachelors,United-States,Sales,White,Not-in-family,Male,Private
27596,53,HS-grad,United-States,Transport-moving,White,Husband,Male,Private
2778,35,HS-grad,United-States,Adm-clerical,White,Not-in-family,Female,Private
27834,20,Some-college,United-States,Craft-repair,White,Own-child,Male,State-gov
279,24,Some-college,United-States,Machine-op-inspct,White,Wife,Female,Private
27932,39,Some-college,United-States,Craft-repair,White,Not-in-family,Male,Private
27984,23,Bachelors,United-States,Exec-managerial,White,Not-in-family,Female,Private
28022,30,HS-grad,United-States,Handlers-cleaners,White,Husband,Male,Private
2805,18,10th,United-States,Sales,White,Own-child,Male,Private
28185,32,Masters,United-States,Exec-managerial,White,Husband,Male,Private
2835,17,11th,United-States,Sales,White,Own-child,Female,Private
28355,21,Some-college,United-States,Sales,White,Other-relative,Male,Private
28392,33,Assoc-voc,United-States,Adm-clerical,White,Own-child,Male,Local-gov
28403,18,11th,United-States,Other-service,White,Own-child,Male,Private
28513,55,Bachelors,United-States,Sales,White,Unmarried,Female,Self-emp-not-inc
28785,50,HS-grad,United-States,Machine-op-inspct,Amer-Indian-Eskimo,Not-in-family,Female,Private
29014,27,HS-grad,United-States,Protective-serv,White,Own-child,Male,State-gov
29080,45,Bachelors,United-States,Exec-managerial,White,Not-in-family,Male,Private
29128,18,11th,United-States,?,White,Own-child,Male,?
29159,35,HS-grad,United-States,Transport-moving,White,Husband,Male,Private
29165,32,Some-college,United-States,Tech-support,White,Wife,Female,Private
29315,23,Bachelors,United-States,Sales,White,Own-child,Female,Private
29337,21,Some-college,United-States,Tech-support,Black,Own-child,Male,Federal-gov
29568,27,HS-grad,United-States,Sales,White,Not-in-family,Male,Self-emp-inc
29696,32,Bachelors,United-States,Handlers-cleaners,White,Husband,Male,Private
29751,51,12th,United-States,Other-service,White,Husband,Male,Self-emp-not-inc
30117,42,HS-grad,Mexico,Machine-op-inspct,White,Husband,Male,Private
30145,65,HS-grad,United-States,Sales,White,Husband,Male,Self-emp-not-inc
30147,31,9th,United-States,Other-service,White,Unmarried,Female,Private
30287,58,HS-grad,United-States,Craft-repair,Black,Husband,Male,Private
30388,31,Assoc-acdm,United-States,Protective-serv,White,Unmarried,Male,Local-gov
30557,20,Assoc-acdm,United-States,Prof-specialty,White,Not-in-family,Male,State-gov
30560,59,Some-college,United-States,Exec-managerial,White,Husband,Male,Local-gov
30648,29,HS-grad,United-States,Protective-serv,White,Husband,Male,State-gov
30855,24,HS-grad,United-States,Handlers-cleaners,White,Husband,Male,Private
30860,53,HS-grad,United-States,Machine-op-inspct,White,Husband,Male,Private
31177,50,HS-grad,United-States,Other-service,White,Unmarried,Female,Private
31207,48,Bachelors,Italy,Prof-specialty,White,Husband,Male,Private
31213,23,Some-college,United-States,Other-service,White,Not-in-family,Male,Private
31401,26,Bachelors,United-States,Prof-specialty,White,Wife,Female,Local-gov
31490,20,Assoc-acdm,United-States,Exec-managerial,White,Own-child,Female,Private
31877,49,Bachelors,United-States,Craft-repair,White,Husband,Male,Private
32091,34,Bachelors,United-States,Adm-clerical,White,Not-in-family,Female,Private
32121,37,HS-grad,United-States,Craft-repair,White,Not-in-family,Male,Private
32181,43,Bachelors,United-States,Protective-serv,White,Husband,Male,Local-gov
3219,59,11th,United-States,Adm-clerical,White,Unmarried,Female,Private
32417,20,Some-college,United-States,Sales,White,Not-in-family,Female,Private
3252,46,Bachelors,United-States,Prof-specialty,White,Not-in-family,Female,Local-gov
3360,57,Bachelors,United-States,Sales,White,Wife,Female,Self-emp-inc
3384,47,HS-grad,United-States,Machine-op-inspct,Black,Wife,Female,Private
3449,31,Bachelors,United-States,Exec-managerial,White,Not-in-family,Female,Local-gov
3648,26,Bachelors,United-States,Exec-managerial,White,Not-in-family,Female,Federal-gov
3810,46,Bachelors,United-States,Prof-specialty,Black,Not-in-family,Female,Local-gov
3820,24,Bachelors,United-States,Farming-fishing,White,Unmarried,Male,Self-emp-not-inc
3825,21,HS-grad,United-States,Transport-moving,Black,Own-child,Male,Private
3871,30,HS-grad,United-States,Protective-serv,Black,Husband,Male,Local-gov
3986,30,HS-grad,United-States,Adm-clerical,White,Not-in-family,Female,Private
4123,24,9th,United-States,Other-service,White,Own-child,Female,Private
4134,38,HS-grad,United-States,Adm-clerical,White,Unmarried,Female,Private
4207,64,Bachelors,United-States,Sales,White,Not-in-family,Female,Private
4375,33,HS-grad,United-States,Craft-repair,White,Not-in-family,Male,Private
4574,36,HS-grad,United-States,Farming-fishing,White,Not-in-family,Male,Self-emp-inc
4587,65,Some-college,United-States,Adm-clerical,White,Not-in-family,Female,Private
4695,32,HS-grad,United-States,Other-service,White,Husband,Male,Local-gov
4797,46,Bachelors,United-States,Sales,White,Husband,Male,Self-emp-inc
4893,30,HS-grad,United-States,Tech-support,White,Not-in-family,Female,Private
4909,55,Masters,United-States,Prof-specialty,White,Unmarried,Female,Local-gov
4922,30,Some-college,United-States,Adm-clerical,White,Not-in-family,Male,Local-gov
4989,52,Assoc-voc,United-States,Exec-managerial,Black,Unmarried,Female,Private
5049,32,Masters,United-States,Prof-specialty,White,Husband,Male,Private
5167,49,Some-college,United-States,Handlers-cleaners,White,Husband,Male,Local-gov
5210,24,Some-college,United-States,Sales,Black,Other-relative,Female,Private
5237,21,Some-college,United-States,Sales,White,Own-child,Female,Private
5333,35,11th,United-States,Handlers-cleaners,White,Other-relative,Male,Private
5404,29,Assoc-voc,United-States,Craft-repair,White,Husband,Male,Private
5541,33,HS-grad,United-States,Machine-op-inspct,White,Not-in-family,Male,Private
5551,51,HS-grad,United-States,Protective-serv,Black,Not-in-family,Male,Local-gov
5680,60,Bachelors,United-States,Prof-specialty,White,Husband,Male,Private
5696,31,Some-college,United-States,Protective-serv,White,Husband,Male,Local-gov
5733,34,HS-grad,United-States,Exec-managerial,White,Husband,Male,Self-emp-not-inc
578,58,Bachelors,United-States,Prof-specialty,White,Not-in-family,Female,Local-gov
5844,21,HS-grad,United-States,Handlers-cleaners,White,Own-child,Male,Private
5851,36,HS-grad,United-States,Adm-clerical,Black,Own-child,Male,Private
616,30,HS-grad,United-States,Transport-moving,Black,Husband,Male,Private
6263,42,Masters,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc
6379,61,Bachelors,United-States,Adm-clerical,White,Not-in-family,Male,Private
6383,46,Masters,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
6482,37,Bachelors,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc
6693,42,Bachelors,United-States,Prof-specialty,White,Husband,Male,Private
6845,58,Assoc-voc,United-States,Prof-specialty,White,Not-in-family,Female,Private
7196,35,HS-grad,United-States,Machine-op-inspct,Black,Wife,Female,Private
7632,27,Some-college,United-States,Exec-managerial,White,Not-in-family,Female,Private
7753,33,HS-grad,United-States,Machine-op-inspct,Black,Unmarried,Female,Private
7788,40,11th,United-States,Farming-fishing,White,Husband,Male,Private
7795,28,Assoc-acdm,United-States,Prof-specialty,White,Not-in-family,Female,Private
8209,35,Bachelors,United-States,Exec-managerial,White,Husband,Male,Private
828,43,Some-college,United-States,Adm-clerical,White,Not-in-family,Male,Private
8401,48,Bachelors,United-States,Transport-moving,White,Husband,Male,Private
8407,31,Bachelors,United-States,Exec-managerial,White,Not-in-family,Male,Private
8572,35,Bachelors,Vietnam,Other-service,Asian-Pac-Islander,Husband,Male,Private
8672,61,10th,United-States,Sales,White,Unmarried,Female,Private
8889,35,Some-college,United-States,Adm-clerical,Black,Not-in-family,Male,Private
8935,54,Some-college,United-States,Sales,White,Husband,Male,Self-emp-not-inc
9034,20,HS-grad,United-States,Adm-clerical,White,Not-in-family,Female,Private
9123,52,Bachelors,United-States,Prof-specialty,Black,Husband,Male,Private
9164,72,Bachelors,United-States,Sales,White,Husband,Male,Private
9219,21,HS-grad,United-States,Prof-specialty,White,Unmarried,Female,Private
9289,19,Assoc-acdm,United-States,Exec-managerial,White,Not-in-family,Female,Private
9419,35,Bachelors,United-States,Prof-specialty,White,Unmarried,Female,Private
9426,58,7th-8th,United-States,Machine-op-inspct,White,Own-child,Male,Private
9778,67,9th,United-States,?,White,Husband,Male,?
9868,36,Bachelors,United-States,Exec-managerial,White,Husband,Male,Private
9873,47,Masters,United-States,Exec-managerial,White,Husband,Male,Local-gov
9915,29,Some-college,United-States,Sales,White,Not-in-family,Male,Private
