record_id,native-country,occupation,race,relationship,sex,workclass,capital-gain,education
1523,United-States,Farming-fishing,White,Own-child,Female,Private,0,Some-college
15258,United-States,Craft-repair,White,Husband,Male,Private,0,Some-college
15279,United-States,Prof-specialty,White,Husband,Male,Self-emp-inc,99999,Doctorate
15287,United-States,Adm-clerical,White,Own-child,Female,Private,0,Assoc-acdm
15502,United-States,Adm-clerical,White,Own-child,Female,State-gov,0,Some-college
15576,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc,0,Prof-school
1558,United-States,Transport-moving,White,Not-in-family,Male,Private,0,HS-grad
15596,United-States,?,White,Husband,Male,?,0,HS-grad
15677,United-States,Exec-managerial,White,Wife,Female,Private,0,HS-grad
15706,United-States,Sales,White,Not-in-family,Male,Self-emp-not-inc,0,Masters
15809,United-States,Sales,White,Husband,Male,Self-emp-not-inc,0,HS-grad
16013,United-States,Adm-clerical,Black,Unmarried,Female,Private,0,Some-college
16046,United-States,Sales,White,Not-in-family,Female,Private,0,HS-grad
16149,United-States,Machine-op-inspct,White,Not-in-family,Female,Private,0,10th
16241,United-States,Exec-managerial,White,Not-in-family,Male,Private,10520,Assoc-voc
16269,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc,0,Prof-school
16375,United-States,Transport-moving,White,Husband,Male,Private,0,HS-grad
16568,United-States,Craft-repair,White,Not-in-family,Male,Private,0,HS-grad
16709,United-States,Transport-moving,White,Not-in-family,Male,Private,0,HS-grad
16715,United-States,Sales,White,Not-in-family,Male,Private,0,HS-grad
16716,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc,0,Masters
16894,United-States,Sales,White,Not-in-family,Male,Self-emp-not-inc,0,Bachelors
16982,United-States,Craft-repair,White,Husband,Male,Private,0,12th
17083,United-States,Adm-clerical,White,Own-child,Female,Private,0,Assoc-voc
17253,United-States,Farming-fishing,White,Own-child,Male,Private,0,HS-grad
17328,United-States,Transport-moving,White,Own-child,Male,Private,0,11th
1743,United-States,Adm-clerical,White,Own-child,Female,Private,0,Bachelors
17527,United-States,Prof-specialty,White,Not-in-family,Female,Federal-gov,0,Bachelors
17580,United-States,Transport-moving,White,Husband,Male,Private,0,11th
17689,United-States,Handlers-cleaners,White,Husband,Male,Private,0,Some-college
17705,United-States,Prof-specialty,White,Wife,Female,Private,0,Assoc-voc
17775,United-States,Farming-fishing,White,Not-in-family,Female,Self-emp-not-inc,0,Some-college
17884,United-States,Prof-specialty,White,Husband,Male,Private,0,Prof-school
1796,United-States,Adm-clerical,White,Not-in-family,Male,Private,0,Bachelors
18008,United-States,?,White,Not-in-family,Female,?,0,HS-grad
18070,United-States,Sales,White,Not-in-family,Female,Private,0,HS-grad
1812,United-States,Transport-moving,White,Husband,Male,Private,0,Bachelors
18356,United-States,?,White,Not-in-family,Male,?,0,9th
1849,United-States,Craft-repair,White,Husband,Male,Self-emp-inc,5178,HS-grad
18498,United-States,Other-service,Black,Unmarried,Female,Private,0,9th
18620,United-States,Sales,White,Not-in-family,Female,Private,0,HS-grad
18727,United-States,Tech-support,White,Own-child,Male,Private,0,Bachelors
19087,United-States,Craft-repair,White,Not-in-family,Male,Self-emp-not-inc,0,Bachelors
19137,United-States,Prof-specialty,Amer-Indian-Eskimo,Unmarried,Female,Private,0,HS-grad
19188,United-States,Craft-repair,White,Not-in-family,Male,Private,0,11th
1938,Canada,Exec-managerial,White,Husband,Male,State-gov,0,Bachelors
19443,United-States,Adm-clerical,Amer-Indian-Eskimo,Husband,Male,Local-gov,0,Some-college
19459,United-States,Handlers-cleaners,White,Husband,Male,Private,0,HS-grad
19470,United-States,Exec-managerial,White,Unmarried,Female,Private,0,HS-grad
19506,United-States,Prof-specialty,White,Husband,Male,Private,0,Masters
1962,United-States,Prof-specialty,White,Husband,Male,Private,15024,Masters
20310,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
20342,Mexico,Other-service,White,Husband,Male,Private,0,5th-6th
20385,United-States,Adm-clerical,White,Not-in-family,Male,Local-gov,3674,Assoc-acdm
20432,United-States,Tech-support,White,Husband,Male,Private,0,Some-college
20438,United-States,Adm-clerical,White,Own-child,Female,Private,0,HS-grad
20532,United-States,Protective-serv,White,Husband,Male,Private,0,11th
20674,United-States,Farming-fishing,White,Husband,Male,Private,0,HS-grad
20832,United-States,Exec-managerial,White,Unmarried,Female,Private,0,Bachelors
20875,United-States,Exec-managerial,Black,Unmarried,Female,Private,0,HS-grad
20922,United-States,Craft-repair,White,Not-in-family,Male,Private,0,Some-college
20932,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
21267,United-States,Other-service,White,Husband,Male,Private,0,Some-college
21366,United-States,Sales,White,Not-in-family,Male,Private,0,Bachelors
21373,United-States,Sales,White,Not-in-family,Female,Private,0,Masters
21610,United-States,Transport-moving,White,Husband,Male,Private,0,HS-grad
21686,United-States,?,White,Other-relative,Female,?,0,HS-grad
21749,United-States,Sales,White,Husband,Male,Private,0,HS-grad
21922,United-States,Other-service,White,Other-relative,Male,Private,0,11th
21928,United-States,Machine-op-inspct,White,Unmarried,Female,Private,0,HS-grad
21977,Mexico,Other-service,White,Husband,Male,Private,0,10th
22005,United-States,Exec-managerial,White,Wife,Female,Private,0,HS-grad
22069,United-States,Tech-support,White,Own-child,Female,Private,0,Prof-school
22135,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
22581,United-States,Transport-moving,White,Husband,Male,Self-emp-not-inc,0,HS-grad
22584,United-States,Transport-moving,White,Not-in-family,Male,Private,0,HS-grad
22679,United-States,Farming-fishing,White,Husband,Male,Self-emp-not-inc,0,HS-grad
22739,United-States,Exec-managerial,White,Husband,Male,Private,0,Bachelors
23039,United-States,Adm-clerical,White,Own-child,Female,Private,0,Some-college
23141,United-States,Sales,White,Husband,Male,Private,0,HS-grad
23170,United-States,Transport-moving,White,Own-child,Female,Private,0,11th
23178,Puerto-Rico,Sales,White,Husband,Male,Self-emp-not-inc,0,7th-8th
23372,United-States,Tech-support,White,Own-child,Male,Private,0,HS-grad
23398,United-States,Priv-house-serv,White,Other-relative,Male,Private,0,Bachelors
234,United-States,Prof-specialty,White,Not-in-family,Male,Private,0,Prof-school
23606,United-States,Sales,White,Own-child,Female,Private,0,HS-grad
23685,United-States,Tech-support,White,Wife,Female,Private,0,Assoc-voc
23775,United-States,Protective-serv,Black,Not-in-family,Male,Local-gov,0,HS-grad
23905,United-States,Farming-fishing,Black,Not-in-family,Male,Private,0,10th
23923,United-States,Prof-specialty,White,Not-in-family,Male,State-gov,0,Some-college
23929,Mexico,Machine-op-inspct,White,Not-in-family,Male,Private,0,1st-4th
2398,United-States,Sales,White,Own-child,Female,Private,0,HS-grad
24019,United-States,Handlers-cleaners,White,Own-child,Male,Private,0,10th
24029,United-States,Handlers-cleaners,White,Husband,Male,Self-emp-not-inc,0,11th
241,United-States,Other-service,White,Wife,Female,Self-emp-not-inc,0,HS-grad
2425,United-States,Machine-op-inspct,White,Husband,Male,Private,0,HS-grad
24452,United-States,Prof-specialty,White,Wife,Female,Self-emp-not-inc,0,Bachelors
24503,United-States,Adm-clerical,White,Husband,Male,Private,0,9th
24574,United-States,Exec-managerial,White,Husband,Male,Private,0,Some-college
24761,United-States,Sales,White,Unmarried,Female,Private,0,Bachelors
24799,United-States,Adm-clerical,White,Wife,Female,Local-gov,0,Assoc-acdm
25036,United-States,Other-service,White,Unmarried,Female,Private,0,HS-grad
25149,Mexico,Farming-fishing,White,Not-in-family,Male,Private,0,7th-8th
25150,United-States,Exec-managerial,White,Not-in-family,Male,Private,0,Masters
25166,United-States,Sales,White,Husband,Male,Private,0,Bachelors
25271,Germany,Prof-specialty,White,Husband,Male,Private,0,Bachelors
25280,United-States,Craft-repair,White,Husband,Male,Private,0,10th
25402,United-States,Other-service,White,Not-in-family,Male,State-gov,594,Some-college
25702,United-States,Exec-managerial,White,Unmarried,Female,Private,0,HS-grad
25799,United-States,Armed-Forces,White,Husband,Male,Federal-gov,0,Masters
25872,Mexico,Handlers-cleaners,White,Not-in-family,Male,Private,0,5th-6th
25878,United-States,Craft-repair,White,Not-in-family,Male,Self-emp-not-inc,0,Masters
26062,United-States,Other-service,White,Own-child,Female,Private,0,Some-college
26142,United-States,Sales,White,Own-child,Male,Private,0,Some-college
26152,South,Sales,Asian-Pac-Islander,Husband,Male,Private,0,Some-college
26185,United-States,Prof-specialty,White,Wife,Female,Private,5013,Bachelors
26195,United-States,Craft-repair,White,Husband,Male,Local-gov,0,HS-grad
26939,United-States,Craft-repair,White,Husband,Male,Private,0,10th
26974,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
2701,United-States,Adm-clerical,White,Not-in-family,Female,Private,4865,HS-grad
27194,United-States,Other-service,White,Unmarried,Female,Local-gov,0,HS-grad
27252,United-States,Handlers-cleaners,White,Husband,Male,Self-emp-not-inc,0,HS-grad
27267,United-States,?,White,Husband,Male,?,0,Bachelors
27402,United-States,Transport-moving,White,Husband,Male,State-gov,0,5th-6th
2748,United-States,Transport-moving,White,Husband,Male,Private,0,Some-college
27529,United-States,Craft-repair,White,Other-relative,Male,Private,0,HS-grad
277,United-States,Exec-managerial,White,Not-in-family,Female,Private,0,Some-college
27726,United-States,Sales,White,Husband,Male,Private,0,HS-grad
2783,United-States,Protective-serv,White,Not-in-family,Male,Federal-gov,0,Masters
27968,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc,3137,HS-grad
28099,United-States,Adm-clerical,White,Wife,Female,Private,0,HS-grad
2816,United-States,Craft-repair,White,Husband,Male,Private,0,11th
28165,Mexico,Machine-op-inspct,White,Husband,Male,Private,0,HS-grad
28267,United-States,Exec-managerial,White,Husband,Male,Private,0,Doctorate
2831,United-States,Exec-managerial,White,Husband,Male,Private,0,Some-college
28438,United-States,Adm-clerical,White,Wife,Female,Federal-gov,0,Assoc-voc
28450,United-States,Sales,White,Wife,Female,Private,0,Assoc-acdm
28532,United-States,Machine-op-inspct,White,Husband,Male,Private,0,11th
28577,United-States,Craft-repair,White,Husband,Male,Federal-gov,0,Masters
2864,United-States,Sales,White,Wife,Female,Private,0,Some-college
2881,United-States,Adm-clerical,White,Not-in-family,Female,Private,0,Some-college
29148,United-States,Sales,White,Unmarried,Female,Private,2329,HS-grad
29278,United-States,Other-service,White,Not-in-family,Male,Private,0,Some-college
29411,United-States,Sales,White,Not-in-family,Male,Private,10520,Bachelors
29611,United-States,Craft-repair,White,Husband,Male,Private,0,10th
29733,United-States,Adm-clerical,White,Husband,Male,Private,0,Bachelors
29778,United-States,Handlers-cleaners,White,Husband,Male,Private,0,HS-grad
29863,United-States,Exec-managerial,White,Unmarried,Male,Private,0,Masters
30096,United-States,Transport-moving,White,Husband,Male,Private,0,HS-grad
30134,United-States,Farming-fishing,White,Not-in-family,Male,Self-emp-not-inc,0,HS-grad
30326,Laos,Adm-clerical,Asian-Pac-Islander,Husband,Male,Federal-gov,0,Some-college
30335,United-States,Adm-clerical,White,Own-child,Male,Local-gov,0,11th
30460,United-States,Adm-clerical,White,Unmarried,Female,State-gov,0,12th
30484,United-States,Exec-managerial,White,Husband,Male,State-gov,0,Assoc-voc
30526,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
30551,United-States,Transport-moving,Other,Husband,Male,Private,4064,HS-grad
30569,United-States,?,White,Husband,Male,?,0,Some-college
30612,United-States,Craft-repair,White,Own-child,Male,Private,0,HS-grad
30615,United-States,?,White,Unmarried,Female,?,0,Some-college
30638,?,Sales,White,Husband,Male,Self-emp-inc,0,HS-grad
307,United-States,Prof-specialty,White,Not-in-family,Female,Private,0,Assoc-acdm
30915,United-States,Other-service,White,Own-child,Male,Private,0,HS-grad
31084,United-States,Exec-managerial,White,Husband,Male,Federal-gov,0,Some-college
31133,United-States,Adm-clerical,White,Own-child,Male,Private,0,Some-college
31140,United-States,Transport-moving,White,Not-in-family,Male,Private,2597,10th
31175,United-States,Sales,White,Own-child,Male,Private,0,HS-grad
3119,United-States,?,White,Husband,Male,?,0,Bachelors
31234,United-States,Handlers-cleaners,White,Own-child,Male,Local-gov,0,11th
31297,United-States,Adm-clerical,White,Not-in-family,Female,Private,0,HS-grad
31339,United-States,Sales,White,Own-child,Male,Private,0,Bachelors
31410,United-States,Machine-op-inspct,White,Not-in-family,Male,Private,0,HS-grad
31505,United-States,Adm-clerical,White,Husband,Male,Private,0,HS-grad
31517,United-States,Exec-managerial,White,Not-in-family,Male,Private,0,Bachelors
31521,United-States,Exec-managerial,White,Unmarried,Female,Private,0,Some-college
31852,United-States,Sales,White,Unmarried,Female,Private,0,Some-college
31892,United-States,Adm-clerical,White,Not-in-family,Female,Private,0,HS-grad
3197,United-States,Sales,White,Husband,Male,Self-emp-inc,0,HS-grad
31983,United-States,Exec-managerial,White,Husband,Male,Private,0,Some-college
32001,United-States,Prof-specialty,White,Husband,Male,Local-gov,0,Masters
32044,Vietnam,Other-service,Asian-Pac-Islander,Wife,Female,Private,0,1st-4th
32149,United-States,Sales,Black,Not-in-family,Female,Private,0,Assoc-voc
32247,United-States,Exec-managerial,White,Unmarried,Female,Federal-gov,0,Bachelors
32300,United-States,Prof-specialty,White,Husband,Male,Private,0,Masters
3353,United-States,Craft-repair,White,Husband,Male,Private,7688,HS-grad
3534,United-States,Other-service,White,Own-child,Male,Private,0,Some-college
3571,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
3595,United-States,Other-service,White,Wife,Female,Self-emp-inc,0,Assoc-voc
3665,United-States,Sales,Black,Not-in-family,Male,Self-emp-not-inc,0,Bachelors
3778,United-States,Protective-serv,White,Husband,Male,Private,0,Some-college
3789,United-States,Exec-managerial,White,Husband,Male,Private,0,Bachelors
3823,United-States,Craft-repair,White,Not-in-family,Male,Private,0,Assoc-acdm
3869,United-States,Sales,White,Not-in-family,Female,Private,0,Masters
3883,United-States,Machine-op-inspct,White,Husband,Male,Self-emp-not-inc,0,10th
4173,United-States,Farming-fishing,White,Own-child,Female,Private,0,Bachelors
4219,United-States,Prof-specialty,White,Not-in-family,Female,Private,0,Bachelors
4257,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
4797,United-States,Sales,White,Husband,Male,Self-emp-inc,0,Bachelors
4816,United-States,Exec-managerial,White,Husband,Male,Private,0,Bachelors
4869,United-States,Other-service,White,Not-in-family,Female,Private,0,Some-college
5111,United-States,Other-service,Black,Unmarried,Male,Private,0,HS-grad
5201,?,Prof-specialty,White,Husband,Male,Self-emp-not-inc,0,Masters
5333,United-States,Handlers-cleaners,White,Other-relative,Male,Private,0,11th
5413,United-States,Adm-clerical,White,Not-in-family,Female,Local-gov,0,HS-grad
5427,United-States,Adm-clerical,White,Husband,Male,State-gov,0,Masters
5487,United-States,Prof-specialty,White,Husband,Male,Private,0,HS-grad
5572,United-States,Sales,White,Not-in-family,Male,Private,0,Some-college
5589,United-States,Exec-managerial,White,Husband,Male,Private,0,Bachelors
5612,United-States,Adm-clerical,White,Husband,Male,State-gov,0,Doctorate
5616,United-States,Other-service,White,Own-child,Female,Private,0,HS-grad
564,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc,0,Bachelors
5657,United-States,Craft-repair,White,Husband,Male,Private,0,Some-college
5751,United-States,Machine-op-inspct,White,Husband,Male,Private,2228,9th
5900,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
5902,United-States,Sales,White,Husband,Male,Self-emp-not-inc,0,HS-grad
6016,United-States,Sales,White,Husband,Male,Private,9386,HS-grad
6037,United-States,Transport-moving,White,Husband,Male,Self-emp-not-inc,0,7th-8th
6187,United-States,Handlers-cleaners,Black,Unmarried,Male,Private,0,10th
6224,United-States,Prof-specialty,White,Wife,Female,Local-gov,0,Masters
6298,United-States,Other-service,White,Not-in-family,Female,Private,0,HS-grad
6701,United-States,Transport-moving,White,Husband,Male,Private,0,7th-8th
7095,United-States,Tech-support,White,Husband,Male,Self-emp-not-inc,0,HS-grad
7177,United-States,Machine-op-inspct,White,Not-in-family,Male,Private,0,Some-college
7211,United-States,Protective-serv,White,Husband,Male,Local-gov,0,Some-college
7287,Yugoslavia,Other-service,White,Husband,Male,Private,0,HS-grad
7484,United-States,Adm-clerical,White,Husband,Male,Private,0,HS-grad
7647,United-States,Other-service,Black,Unmarried,Female,Private,0,Some-college
7721,United-States,Exec-managerial,White,Husband,Male,Private,0,Bachelors
7804,United-States,Sales,White,Unmarried,Female,Private,0,Assoc-acdm
8425,United-States,Exec-managerial,White,Husband,Male,Private,0,HS-grad
8624,United-States,Exec-managerial,White,Not-in-family,Female,Private,0,Bachelors
8719,United-States,Exec-managerial,White,Husband,Male,Private,0,Some-college
8745,United-States,Transport-moving,White,Husband,Male,Federal-gov,0,HS-grad
8747,United-States,Adm-clerical,White,Husband,Male,Private,0,HS-grad
8907,United-States,Adm-clerical,White,Own-child,Female,Private,0,Some-college
894,United-States,Farming-fishing,White,Husband,Male,Self-emp-not-inc,0,Prof-school
9031,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
9107,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
9364,United-States,Machine-op-inspct,White,Husband,Male,Private,0,HS-grad
9492,United-States,Other-service,White,Unmarried,Female,Private,0,HS-grad
9610,United-States,Prof-specialty,White,Husband,Male,Private,0,Bachelors
9630,United-States,Protective-serv,White,Own-child,Male,Local-gov,0,HS-grad
973,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
9830,United-States,Transport-moving,White,Not-in-family,Male,Private,0,10th
9914,United-States,Machine-op-inspct,White,Husband,Male,Private,0,HS-grad
