record_id,age,marital-status,native-country,occupation,relationship,sex,workclass
18259,19,Never-married,United-States,?,Not-in-family,Female,?
18353,40,Divorced,United-States,Other-service,Not-in-family,Female,Private
18463,74,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Private
18500,55,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,Local-gov
18532,59,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Self-emp-not-inc
18680,30,Married-civ-spouse,United-States,Sales,Husband,Male,Private
18712,34,Never-married,United-States,Exec-managerial,Not-in-family,Male,Private
18949,43,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,Private
18987,48,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Private
19208,45,Divorced,United-States,Exec-managerial,Not-in-family,Male,Private
19210,18,Married-civ-spouse,United-States,Other-service,Wife,Female,Self-emp-not-inc
19333,55,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Self-emp-inc
19458,52,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
19544,54,Divorced,United-States,?,Not-in-family,Female,?
19582,24,Never-married,United-States,Sales,Other-relative,Female,Private
19598,54,Married-civ-spouse,United-States,Prof-specialty,Wife,Female,Private
19738,27,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,Private
19870,77,Married-civ-spouse,United-States,Priv-house-serv,Wife,Female,Private
20077,35,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
20104,36,Never-married,United-States,Exec-managerial,Not-in-family,Female,Private
20141,26,Never-married,United-States,Handlers-cleaners,Own-child,Male,Private
20181,60,Married-civ-spouse,United-States,Other-service,Husband,Male,Local-gov
20210,43,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,State-gov
20280,36,Never-married,United-States,Other-service,Not-in-family,Female,Private
20449,32,Divorced,United-States,Machine-op-inspct,Own-child,Female,Private
20908,55,Married-civ-spouse,United-States,Tech-support,Husband,Male,Private
20954,20,Never-married,United-States,Adm-clerical,Own-child,Female,Private
21230,18,Never-married,United-States,Adm-clerical,Own-child,Female,Private
21241,40,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Self-emp-not-inc
21260,55,Widowed,United-States,Prof-specialty,Not-in-family,Female,Local-gov
21388,24,Never-married,United-States,Machine-op-inspct,Own-child,Female,Private
21602,45,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
21660,34,Never-married,United-States,Handlers-cleaners,Not-in-family,Male,State-gov
2180,36,Married-civ-spouse,United-States,Exec-managerial,Wife,Female,Private
21892,65,Never-married,United-States,?,Not-in-family,Male,?
21997,34,Divorced,United-States,Machine-op-inspct,Unmarried,Female,Private
22407,45,Divorced,United-States,Exec-managerial,Not-in-family,Male,Private
22722,46,Never-married,United-States,Prof-specialty,Not-in-family,Male,Private
22733,49,Never-married,United-States,Prof-specialty,Not-in-family,Male,Private
22855,23,Never-married,United-States,Transport-moving,Not-in-family,Male,Private
23051,64,Married-civ-spouse,United-States,Other-service,Husband,Male,Private
23094,32,Never-married,United-States,Other-service,Not-in-family,Male,Private
23141,36,Married-civ-spouse,United-States,Sales,Husband,Male,Private
23226,51,Divorced,United-States,Exec-managerial,Unmarried,Female,Self-emp-not-inc
23450,45,Divorced,United-States,Adm-clerical,Unmarried,Female,Private
23695,42,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,Private
23696,29,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
239,23,Never-married,United-States,Transport-moving,Own-child,Male,Private
24172,77,Widowed,United-States,Adm-clerical,Not-in-family,Female,Private
24207,39,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
24237,19,Never-married,United-States,Adm-clerical,Own-child,Female,Private
24319,44,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
24520,23,Never-married,United-States,Farming-fishing,Not-in-family,Male,Private
24672,28,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
24747,18,Never-married,United-States,Tech-support,Own-child,Female,Private
24779,43,Married-civ-spouse,United-States,?,Husband,Male,?
24798,36,Never-married,United-States,Other-service,Not-in-family,Male,Private
24925,62,Married-civ-spouse,United-States,Sales,Husband,Male,Private
24934,18,Never-married,United-States,Sales,Own-child,Female,Private
24962,22,Never-married,United-States,Adm-clerical,Own-child,Female,Private
2501,31,Married-spouse-absent,United-States,Exec-managerial,Not-in-family,Male,Self-emp-not-inc
25039,33,Married-civ-spouse,United-States,Sales,Husband,Male,Private
25263,40,Never-married,United-States,Tech-support,Not-in-family,Male,Private
25418,39,Divorced,United-States,Handlers-cleaners,Not-in-family,Male,Private
25419,52,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Self-emp-not-inc
2556,55,Married-civ-spouse,United-States,Sales,Husband,Male,Private
25589,46,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,Private
25609,21,Never-married,United-States,Adm-clerical,Own-child,Female,Private
26187,63,Divorced,United-States,Transport-moving,Not-in-family,Male,Private
26503,74,Widowed,United-States,?,Not-in-family,Female,?
26563,50,Widowed,United-States,Exec-managerial,Unmarried,Female,Private
26703,29,Never-married,United-States,Handlers-cleaners,Own-child,Male,Private
26849,34,Divorced,United-States,Adm-clerical,Own-child,Male,Private
26867,17,Never-married,United-States,Adm-clerical,Not-in-family,Female,Federal-gov
27084,29,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
27279,26,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,Private
27374,41,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,State-gov
274,30,Divorced,United-States,Prof-specialty,Own-child,Female,Private
27484,50,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
27555,19,Never-married,United-States,Other-service,Not-in-family,Male,Private
27738,52,Divorced,United-States,Machine-op-inspct,Not-in-family,Male,Private
27766,30,Married-civ-spouse,United-States,Transport-moving,Husband,Male,Private
27832,38,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Self-emp-inc
27895,21,Never-married,United-States,Sales,Own-child,Female,Private
27945,36,Divorced,United-States,Craft-repair,Unmarried,Male,Private
28011,28,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
28114,20,Never-married,United-States,Machine-op-inspct,Own-child,Female,Private
28140,36,Divorced,United-States,Craft-repair,Not-in-family,Male,Private
28172,47,Widowed,United-States,Priv-house-serv,Unmarried,Female,Private
28619,38,Divorced,United-States,Adm-clerical,Unmarried,Female,Private
28627,61,Married-civ-spouse,United-States,Other-service,Husband,Male,Private
28633,21,Never-married,United-States,Sales,Own-child,Female,Private
28643,42,Divorced,United-States,Sales,Not-in-family,Male,Private
28727,30,Married-civ-spouse,United-States,Transport-moving,Husband,Male,Private
28861,19,Never-married,United-States,Handlers-cleaners,Other-relative,Male,Private
29032,47,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,State-gov
29086,39,Never-married,United-States,Prof-specialty,Own-child,Female,Private
29113,44,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,Private
29169,41,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
29226,17,Never-married,United-States,Sales,Own-child,Female,Private
29274,38,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
29282,36,Married-civ-spouse,United-States,Prof-specialty,Wife,Female,Self-emp-not-inc
29428,47,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Private
29446,55,Married-civ-spouse,United-States,Transport-moving,Husband,Male,Private
29492,25,Never-married,United-States,Sales,Not-in-family,Male,Self-emp-inc
29497,51,Divorced,United-States,Craft-repair,Not-in-family,Male,Private
29540,21,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,Private
29547,40,Married-civ-spouse,China,Exec-managerial,Husband,Male,Private
29659,66,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
29707,38,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
29868,24,Never-married,United-States,Sales,Not-in-family,Male,Private
2989,44,Married-civ-spouse,India,Exec-managerial,Husband,Male,Private
29923,55,Married-civ-spouse,United-States,Prof-specialty,Wife,Female,Local-gov
30098,40,Never-married,United-States,Adm-clerical,Not-in-family,Female,Private
30118,31,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,State-gov
30236,23,Never-married,United-States,Adm-clerical,Not-in-family,Female,State-gov
303,55,Married-civ-spouse,United-States,Sales,Husband,Male,Private
3042,40,Married-civ-spouse,United-States,?,Husband,Male,?
30434,35,Never-married,United-States,Exec-managerial,Own-child,Male,Federal-gov
30487,61,Married-civ-spouse,United-States,Transport-moving,Husband,Male,Private
30546,47,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
30706,23,Never-married,United-States,Exec-managerial,Not-in-family,Female,Private
30728,65,Divorced,United-States,Prof-specialty,Not-in-family,Male,Private
30866,24,Never-married,United-States,Handlers-cleaners,Own-child,Male,Private
31007,63,Married-civ-spouse,United-States,Exec-managerial,Wife,Female,Local-gov
31013,50,Divorced,United-States,Exec-managerial,Not-in-family,Male,Private
31213,23,Never-married,United-States,Other-service,Not-in-family,Male,Private
31291,25,Married-civ-spouse,United-States,Other-service,Wife,Female,Private
31390,61,Married-civ-spouse,United-States,?,Husband,Male,?
3140,44,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
31436,32,Never-married,United-States,Adm-clerical,Not-in-family,Female,State-gov
31449,39,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,Private
31527,29,Divorced,United-States,?,Not-in-family,Male,?
31551,33,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
31761,44,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Self-emp-inc
31857,40,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Local-gov
31908,70,Widowed,United-States,?,Not-in-family,Female,?
31914,50,Separated,United-States,Sales,Not-in-family,Male,Private
32157,45,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Self-emp-not-inc
3222,25,Never-married,United-States,Craft-repair,Unmarried,Male,Self-emp-not-inc
32267,31,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Private
32268,42,Married-civ-spouse,United-States,Sales,Husband,Male,Private
32299,49,Married-civ-spouse,Columbia,Prof-specialty,Husband,Male,Private
32328,31,Divorced,United-States,Craft-repair,Not-in-family,Male,Private
32357,35,Divorced,United-States,Adm-clerical,Unmarried,Female,Private
32419,36,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
32460,62,Widowed,United-States,Adm-clerical,Not-in-family,Female,Private
32522,58,Married-civ-spouse,United-States,Sales,Husband,Male,Private
3358,41,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,Private
3421,30,Separated,United-States,Adm-clerical,Not-in-family,Female,State-gov
3520,30,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
3550,39,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Local-gov
3603,61,Married-civ-spouse,United-States,Transport-moving,Husband,Male,Private
3743,29,Divorced,Germany,Prof-specialty,Not-in-family,Female,Private
3811,38,Divorced,United-States,Tech-support,Unmarried,Female,Private
3841,49,Separated,United-States,Machine-op-inspct,Unmarried,Female,Private
3945,38,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
4050,44,Married-civ-spouse,United-States,Sales,Husband,Male,Private
4245,27,Never-married,United-States,Craft-repair,Not-in-family,Male,Federal-gov
4338,34,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Self-emp-inc
4343,33,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Local-gov
4388,29,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
4452,25,Never-married,United-States,Adm-clerical,Own-child,Female,Self-emp-inc
4483,43,Never-married,United-States,Sales,Not-in-family,Male,Private
468,49,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
4925,28,Never-married,United-States,?,Not-in-family,Male,?
5006,19,Never-married,United-States,Other-service,Not-in-family,Male,Private
5070,20,Never-married,United-States,Prof-specialty,Own-child,Male,Private
5182,25,Married-civ-spouse,United-States,Handlers-cleaners,Own-child,Male,Private
5290,47,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Self-emp-not-inc
5298,33,Married-civ-spouse,United-States,Adm-clerical,Wife,Female,Private
5345,30,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,Private
5358,33,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Private
5365,49,Married-civ-spouse,United-States,Other-service,Husband,Male,Local-gov
5516,43,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Self-emp-not-inc
5643,38,Married-civ-spouse,United-States,Tech-support,Husband,Male,Private
5680,60,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Private
5693,40,Separated,United-States,Adm-clerical,Unmarried,Female,Private
5760,21,Never-married,United-States,Prof-specialty,Not-in-family,Female,Private
5834,58,Married-civ-spouse,Cuba,Other-service,Husband,Male,Private
6086,33,Married-civ-spouse,United-States,Transport-moving,Husband,Male,Private
6137,36,Married-civ-spouse,United-States,Sales,Husband,Male,Private
6184,60,Married-civ-spouse,United-States,Protective-serv,Husband,Male,State-gov
637,33,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
711,36,Divorced,United-States,Adm-clerical,Unmarried,Female,Private
7302,19,Never-married,United-States,Transport-moving,Own-child,Male,Private
7327,53,Married-civ-spouse,?,Prof-specialty,Husband,Male,State-gov
7399,42,Never-married,United-States,Prof-specialty,Not-in-family,Male,Local-gov
7415,23,Never-married,United-States,Handlers-cleaners,Not-in-family,Male,Private
7498,74,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
7577,25,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
7583,28,Married-civ-spouse,Mexico,Handlers-cleaners,Husband,Male,Private
7624,43,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,Federal-gov
7745,33,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,Private
8186,21,Separated,United-States,Machine-op-inspct,Other-relative,Male,Private
8228,48,Married-civ-spouse,United-States,Protective-serv,Husband,Male,State-gov
8364,43,Divorced,United-States,?,Unmarried,Female,?
8477,24,Married-civ-spouse,?,Priv-house-serv,Wife,Female,Private
8829,46,Married-civ-spouse,United-States,Sales,Husband,Male,Self-emp-not-inc
8853,68,Widowed,United-States,?,Not-in-family,Female,?
8877,27,Never-married,United-States,Adm-clerical,Not-in-family,Female,Private
8981,47,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
8986,20,Married-civ-spouse,United-States,Sales,Husband,Male,Private
9039,18,Never-married,United-States,Sales,Own-child,Female,Private
907,24,Never-married,United-States,Prof-specialty,Own-child,Male,Private
9199,35,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Private
9238,36,Divorced,United-States,Adm-clerical,Unmarried,Female,Local-gov
9331,34,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
9390,60,Married-civ-spouse,Mexico,Craft-repair,Husband,Male,Private
9616,32,Married-civ-spouse,?,?,Husband,Male,?
9648,43,Married-civ-spouse,Haiti,Handlers-cleaners,Husband,Male,Private
968,48,Married-civ-spouse,India,Exec-managerial,Husband,Male,Private
9797,47,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Self-emp-inc
