record_id,age,education,marital-status,native-country,occupation,race,sex,workclass,hours-per-week
15944,60,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,50
1605,67,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,35
16322,39,Some-college,Divorced,United-States,Sales,White,Female,Private,35
16371,41,Some-college,Married-civ-spouse,United-States,Other-service,White,Male,Private,48
16469,18,11th,Never-married,United-States,Sales,White,Female,Private,20
16506,21,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,16
16590,34,Assoc-acdm,Divorced,United-States,Adm-clerical,Black,Male,Private,40
16688,47,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-not-inc,30
16787,17,11th,Never-married,United-States,Sales,White,Male,Private,30
16792,31,Some-college,Never-married,United-States,Sales,White,Female,Private,40
16893,54,9th,Married-civ-spouse,United-States,Other-service,White,Male,Local-gov,40
16972,34,HS-grad,Separated,United-States,Adm-clerical,White,Female,State-gov,20
17029,34,Some-college,Separated,United-States,Exec-managerial,White,Female,State-gov,40
17083,24,Assoc-voc,Never-married,United-States,Adm-clerical,White,Female,Private,20
17207,50,Some-college,Married-civ-spouse,United-States,Sales,Asian-Pac-Islander,Male,Private,50
17220,39,Some-college,Married-civ-spouse,United-States,Craft-repair,Asian-Pac-Islander,Male,Private,40
17295,22,Some-college,Never-married,United-States,Sales,White,Female,Private,30
17413,28,HS-grad,Never-married,United-States,Transport-moving,White,Male,Private,55
17422,37,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,45
1748,27,HS-grad,Never-married,United-States,Other-service,White,Female,Private,35
17615,35,HS-grad,Divorced,United-States,Machine-op-inspct,White,Male,Private,40
17633,62,7th-8th,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,5
17778,39,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,40
17830,37,Some-college,Never-married,United-States,Sales,White,Male,Private,60
17940,30,Some-college,Married-civ-spouse,United-States,Tech-support,White,Male,Private,45
17965,53,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,40
18014,36,Assoc-acdm,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,50
18019,17,11th,Never-married,United-States,?,White,Male,?,18
18058,36,7th-8th,Never-married,United-States,Craft-repair,Black,Male,Self-emp-inc,40
18064,31,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Female,Private,50
1824,51,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,84
18268,24,Bachelors,Never-married,United-States,Exec-managerial,White,Male,Private,45
18346,43,HS-grad,Divorced,United-States,Tech-support,White,Female,State-gov,40
18374,39,Some-college,Married-civ-spouse,United-States,Protective-serv,White,Male,State-gov,70
18500,55,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,White,Male,Local-gov,40
18567,32,Bachelors,Never-married,United-States,Transport-moving,White,Male,Private,40
18851,25,HS-grad,Never-married,United-States,Adm-clerical,White,Male,Private,50
18882,43,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,60
18965,45,Some-college,Divorced,United-States,Tech-support,White,Female,Private,45
19006,42,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,50
19028,61,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,40
19038,52,HS-grad,Married-civ-spouse,Philippines,Handlers-cleaners,Asian-Pac-Islander,Male,Private,8
19287,29,HS-grad,Never-married,United-States,Sales,White,Female,Private,35
19355,39,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Self-emp-inc,50
19386,58,Masters,Married-civ-spouse,United-States,Exec-managerial,White,Male,Self-emp-not-inc,50
19499,45,Bachelors,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,45
19631,34,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,40
19742,40,7th-8th,Separated,United-States,Other-service,White,Female,Private,25
19854,26,Bachelors,Never-married,United-States,Exec-managerial,White,Male,Private,70
20043,23,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,80
2021,36,Doctorate,Never-married,England,Prof-specialty,White,Male,Private,40
20250,59,10th,Married-civ-spouse,United-States,Farming-fishing,White,Male,State-gov,40
20397,30,HS-grad,Divorced,United-States,Other-service,White,Female,Private,32
20466,25,Some-college,Never-married,United-States,Craft-repair,White,Male,Private,55
20468,57,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,40
20500,40,Bachelors,Never-married,United-States,Prof-specialty,White,Female,Self-emp-inc,45
20820,34,HS-grad,Married-civ-spouse,United-States,Protective-serv,White,Male,Local-gov,57
20843,53,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,50
21025,19,HS-grad,Never-married,United-States,Other-service,White,Female,Private,50
21051,34,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,40
21188,46,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,50
21200,17,10th,Never-married,United-States,Other-service,White,Male,Private,16
21295,23,HS-grad,Never-married,United-States,Tech-support,White,Male,Private,50
21407,22,Assoc-voc,Never-married,United-States,Priv-house-serv,White,Female,Private,30
21526,37,10th,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,48
21796,40,Bachelors,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,50
21909,22,Some-college,Never-married,United-States,Craft-repair,White,Male,Private,40
21980,48,Assoc-acdm,Divorced,United-States,Adm-clerical,White,Female,Private,40
22008,42,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,50
22013,69,Bachelors,Married-civ-spouse,United-States,Handlers-cleaners,White,Male,Private,20
22057,58,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,40
22108,48,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,40
22401,40,Masters,Never-married,United-States,Tech-support,White,Female,Federal-gov,40
22485,25,10th,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,40
22521,50,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,50
22656,44,Bachelors,Never-married,United-States,Adm-clerical,White,Female,State-gov,38
2270,38,HS-grad,Divorced,United-States,Craft-repair,White,Male,Private,40
22910,19,12th,Married-civ-spouse,United-States,?,White,Female,?,40
22911,30,Bachelors,Never-married,United-States,Exec-managerial,White,Male,Self-emp-inc,43
23099,20,10th,Divorced,United-States,?,White,Female,?,40
23231,36,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,50
23435,29,Bachelors,Never-married,United-States,Prof-specialty,White,Female,Federal-gov,40
23658,48,Some-college,Divorced,United-States,Sales,White,Male,Private,45
24527,63,11th,Married-civ-spouse,United-States,?,White,Male,?,40
24580,21,Some-college,Never-married,United-States,?,White,Male,?,20
24648,31,Some-college,Divorced,United-States,Adm-clerical,White,Female,Private,50
24677,19,HS-grad,Never-married,United-States,Adm-clerical,White,Female,Private,40
25279,69,HS-grad,Married-civ-spouse,United-States,Other-service,White,Male,Private,20
25294,34,Masters,Never-married,United-States,Exec-managerial,White,Male,Private,40
25627,44,HS-grad,Divorced,United-States,Tech-support,White,Male,Private,50
25644,27,Bachelors,Never-married,United-States,Exec-managerial,White,Female,Private,40
25653,45,Assoc-voc,Never-married,United-States,Sales,White,Female,Private,38
2577,48,HS-grad,Divorced,United-States,Adm-clerical,White,Female,Private,52
25933,38,Bachelors,Married-civ-spouse,United-States,Sales,White,Male,Private,52
25952,48,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,50
26097,30,HS-grad,Never-married,United-States,Craft-repair,White,Male,Private,40
26209,32,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,43
26222,47,Bachelors,Never-married,United-States,Sales,Black,Male,Private,60
26357,23,Some-college,Divorced,United-States,Sales,Black,Female,Private,40
26473,34,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-not-inc,40
26477,36,Doctorate,Married-civ-spouse,United-States,Prof-specialty,White,Male,Local-gov,50
26561,34,HS-grad,Married-civ-spouse,United-States,Exec-managerial,Black,Female,Private,40
26606,54,Preschool,Married-civ-spouse,China,Craft-repair,Asian-Pac-Islander,Male,Private,40
26708,65,HS-grad,Divorced,United-States,Adm-clerical,White,Female,Federal-gov,40
26723,41,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Female,Self-emp-not-inc,40
26725,56,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Female,Self-emp-not-inc,50
26862,48,Bachelors,Married-civ-spouse,Japan,Exec-managerial,Asian-Pac-Islander,Male,Self-emp-not-inc,40
26902,78,5th-6th,Married-civ-spouse,United-States,Transport-moving,Asian-Pac-Islander,Male,Private,36
26938,35,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Federal-gov,40
26968,26,HS-grad,Married-civ-spouse,United-States,Other-service,White,Male,Private,50
27061,45,Some-college,Divorced,United-States,Handlers-cleaners,White,Male,Private,30
27103,37,5th-6th,Married-civ-spouse,Mexico,Machine-op-inspct,White,Male,Private,40
27299,37,Some-college,Married-civ-spouse,?,Craft-repair,White,Male,Self-emp-not-inc,70
27423,27,Bachelors,Never-married,United-States,Exec-managerial,White,Female,Federal-gov,40
27479,54,HS-grad,Divorced,United-States,Other-service,White,Male,Private,32
27577,42,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,40
27655,41,Masters,Never-married,United-States,Exec-managerial,White,Male,Private,50
277,35,Some-college,Never-married,United-States,Exec-managerial,White,Female,Private,40
27774,19,Some-college,Never-married,United-States,?,White,Male,?,40
27785,62,9th,Married-civ-spouse,United-States,Other-service,White,Male,Private,35
27806,32,Some-college,Divorced,United-States,Other-service,White,Female,Self-emp-not-inc,35
27812,28,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,26
2786,30,Some-college,Married-civ-spouse,United-States,Sales,White,Male,Private,50
2787,20,Some-college,Never-married,United-States,Sales,White,Female,Private,50
27881,49,Some-college,Married-civ-spouse,United-States,Farming-fishing,White,Male,Private,50
28116,44,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,40
2844,37,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-inc,60
28670,32,Masters,Never-married,United-States,Adm-clerical,Black,Female,Private,40
2879,22,11th,Never-married,United-States,Other-service,White,Male,Private,40
28836,19,HS-grad,Never-married,Mexico,Craft-repair,White,Male,Private,25
28871,26,5th-6th,Never-married,Mexico,Transport-moving,White,Male,Private,40
28924,42,Bachelors,Married-civ-spouse,Philippines,Adm-clerical,Asian-Pac-Islander,Male,Private,40
29055,43,Bachelors,Never-married,United-States,Sales,White,Male,Private,50
29185,48,Some-college,Never-married,United-States,Craft-repair,White,Female,Private,38
29279,17,10th,Never-married,United-States,Other-service,White,Female,Local-gov,25
29535,46,Assoc-voc,Married-civ-spouse,United-States,Adm-clerical,White,Male,Federal-gov,40
29802,47,Bachelors,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,40
30039,25,HS-grad,Never-married,United-States,Craft-repair,Black,Male,Private,50
30065,36,Some-college,Married-civ-spouse,El-Salvador,Craft-repair,White,Male,Private,50
30251,23,Some-college,Never-married,United-States,Farming-fishing,White,Female,Private,50
30269,29,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,White,Male,Private,42
30315,42,HS-grad,Married-civ-spouse,United-States,Sales,White,Female,Private,40
30352,62,Assoc-voc,Married-civ-spouse,United-States,Tech-support,White,Male,Private,40
30600,64,7th-8th,Married-civ-spouse,United-States,Protective-serv,White,Male,Local-gov,10
30691,20,Some-college,Never-married,United-States,Farming-fishing,White,Male,Private,40
3103,20,Some-college,Never-married,United-States,Other-service,White,Female,Private,20
31195,36,HS-grad,Never-married,United-States,Other-service,White,Male,Private,40
31320,24,Bachelors,Never-married,United-States,Tech-support,White,Female,Private,40
31358,31,HS-grad,Married-civ-spouse,United-States,Farming-fishing,Amer-Indian-Eskimo,Male,Federal-gov,40
31394,39,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Male,Self-emp-not-inc,30
31482,45,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,40
31517,24,Bachelors,Never-married,United-States,Exec-managerial,White,Male,Private,40
31535,51,7th-8th,Married-civ-spouse,United-States,Exec-managerial,White,Male,Self-emp-not-inc,42
31659,24,Some-college,Never-married,United-States,Other-service,White,Male,State-gov,40
31870,44,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,40
3205,31,7th-8th,Never-married,United-States,Craft-repair,White,Male,Private,40
32248,24,Masters,Never-married,United-States,Prof-specialty,White,Female,Private,40
32439,23,Bachelors,Never-married,United-States,Prof-specialty,White,Male,Private,40
3282,45,Some-college,Never-married,United-States,Farming-fishing,White,Male,Private,50
3336,33,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Female,Private,35
3375,21,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,54
3445,41,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,40
3489,36,Assoc-voc,Married-civ-spouse,United-States,Prof-specialty,White,Female,Private,40
3491,33,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,40
3566,24,Bachelors,Never-married,United-States,Prof-specialty,White,Male,Private,40
3629,32,HS-grad,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,48
3733,64,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Female,State-gov,5
3752,47,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Male,Private,40
3830,57,HS-grad,Married-civ-spouse,United-States,Other-service,White,Male,Private,30
3857,51,Some-college,Divorced,United-States,Sales,White,Female,Private,60
4183,23,HS-grad,Never-married,United-States,Craft-repair,White,Male,Private,40
4582,37,Assoc-acdm,Never-married,United-States,Adm-clerical,White,Female,Private,40
4645,45,9th,Married-civ-spouse,United-States,Adm-clerical,Black,Male,Private,40
469,30,Bachelors,Married-civ-spouse,United-States,Tech-support,White,Female,Private,16
4808,49,Bachelors,Married-civ-spouse,United-States,Adm-clerical,White,Male,State-gov,40
4878,46,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Female,Private,40
4925,28,Bachelors,Never-married,United-States,?,White,Male,?,18
4956,41,Bachelors,Widowed,United-States,Exec-managerial,White,Male,Private,20
5131,47,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Female,State-gov,30
5260,21,Some-college,Never-married,United-States,Adm-clerical,White,Female,Private,15
5292,21,Some-college,Never-married,United-States,Sales,White,Female,Private,8
5419,28,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,40
5503,21,HS-grad,Never-married,Mexico,Machine-op-inspct,White,Male,Private,40
5585,55,Assoc-voc,Divorced,United-States,Adm-clerical,Black,Female,Private,40
571,51,HS-grad,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,40
5834,58,1st-4th,Married-civ-spouse,Cuba,Other-service,White,Male,Private,38
5939,36,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,40
5945,20,9th,Never-married,United-States,Sales,White,Female,Private,40
6008,51,Assoc-voc,Married-civ-spouse,United-States,Tech-support,White,Male,Private,40
6060,40,Assoc-acdm,Divorced,United-States,Adm-clerical,Black,Female,Private,32
6087,19,Some-college,Never-married,United-States,Adm-clerical,White,Male,State-gov,10
6478,43,Assoc-voc,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,40
6766,71,Some-college,Married-civ-spouse,United-States,?,White,Male,?,10
6777,29,Some-college,Never-married,United-States,Other-service,White,Female,State-gov,40
6806,18,Some-college,Never-married,United-States,Sales,White,Female,Private,15
7120,47,Doctorate,Married-civ-spouse,United-States,Prof-specialty,White,Male,Self-emp-not-inc,35
7316,23,Some-college,Never-married,United-States,Adm-clerical,White,Male,Private,20
7434,33,Bachelors,Married-civ-spouse,United-States,Adm-clerical,Black,Female,Private,30
7446,33,HS-grad,Divorced,United-States,Exec-managerial,White,Female,Private,40
7972,31,Bachelors,Never-married,United-States,Prof-specialty,White,Female,Private,40
8043,24,Some-college,Never-married,United-States,Other-service,White,Male,Private,45
8079,47,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,40
8187,68,Assoc-voc,Widowed,United-States,Exec-managerial,White,Female,Private,40
8251,49,Masters,Divorced,United-States,Prof-specialty,Black,Female,State-gov,40
8260,25,Some-college,Never-married,United-States,Craft-repair,White,Male,Private,40
8270,43,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,50
843,62,Bachelors,Widowed,United-States,Prof-specialty,White,Female,Local-gov,48
8514,21,Assoc-acdm,Never-married,United-States,Other-service,White,Female,Private,9
8523,34,Assoc-acdm,Divorced,United-States,Machine-op-inspct,White,Male,Private,40
8584,53,Assoc-acdm,Married-civ-spouse,United-States,Sales,White,Male,Private,80
9075,36,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,60
9108,54,Masters,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,45
9223,47,HS-grad,Never-married,United-States,Tech-support,White,Male,Private,50
9397,46,Some-college,Married-civ-spouse,United-States,Sales,White,Male,Private,50
9411,23,Some-college,Never-married,United-States,Adm-clerical,White,Male,Private,40
9428,32,HS-grad,Divorced,United-States,Craft-repair,White,Male,Private,40
9532,43,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Female,Private,40
9668,31,11th,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,40
969,36,Assoc-voc,Widowed,United-States,?,White,Female,?,20
9804,18,HS-grad,Never-married,United-States,Sales,White,Female,Private,38
