record_id,education,occupation,race,relationship,sex,age,hours-per-week,native-country,workclass
2794,Bachelors,Prof-specialty,White,Husband,Male,28,40,?,Private
28142,Bachelors,Other-service,White,Not-in-family,Male,27,35,United-States,Private
28174,HS-grad,Craft-repair,White,Husband,Male,34,48,United-States,Private
28320,HS-grad,?,White,Husband,Male,36,40,United-States,?
28534,Masters,Prof-specialty,White,Not-in-family,Female,26,40,Canada,Local-gov
28558,HS-grad,Other-service,White,Not-in-family,Female,67,24,United-States,Private
28655,HS-grad,Other-service,White,Not-in-family,Male,27,30,United-States,Private
28709,Some-college,Sales,White,Own-child,Female,26,24,United-States,Private
28746,Bachelors,Exec-managerial,White,Husband,Male,38,50,United-States,Private
28834,7th-8th,Transport-moving,White,Husband,Male,29,40,Mexico,Private
29074,HS-grad,Other-service,Black,Unmarried,Male,26,40,United-States,Private
29141,9th,Machine-op-inspct,Black,Husband,Male,53,40,United-States,Private
29213,Some-college,Adm-clerical,White,Wife,Female,25,40,United-States,Private
29215,HS-grad,Adm-clerical,White,Unmarried,Female,39,40,United-States,Federal-gov
29296,Prof-school,Prof-specialty,White,Husband,Male,43,60,United-States,Private
2935,Some-college,Adm-clerical,White,Husband,Male,50,48,United-States,Local-gov
29582,Some-college,?,White,Own-child,Male,23,30,United-States,?
29596,Bachelors,Sales,White,Own-child,Female,29,40,United-States,Private
29726,12th,Farming-fishing,White,Not-in-family,Male,35,20,United-States,Private
29756,HS-grad,Sales,White,Own-child,Female,42,40,United-States,Private
299,HS-grad,Sales,White,Not-in-family,Male,38,80,United-States,Private
30140,Some-college,Adm-clerical,White,Not-in-family,Female,21,25,United-States,Private
30347,Bachelors,Exec-managerial,Asian-Pac-Islander,Husband,Male,39,50,South,Self-emp-not-inc
30497,10th,Other-service,White,Not-in-family,Female,39,15,United-States,Self-emp-not-inc
30539,Doctorate,Prof-specialty,Black,Unmarried,Female,45,35,United-States,Private
30661,Bachelors,Exec-managerial,White,Husband,Male,57,60,United-States,Private
30700,Masters,Prof-specialty,White,Husband,Male,60,40,?,Local-gov
30707,HS-grad,?,White,Own-child,Female,27,15,United-States,?
30756,HS-grad,Handlers-cleaners,White,Unmarried,Male,27,40,United-States,Private
30842,HS-grad,Other-service,White,Unmarried,Female,37,20,United-States,State-gov
3089,Bachelors,Sales,White,Husband,Male,51,50,United-States,Self-emp-not-inc
3091,Prof-school,Tech-support,White,Husband,Male,48,40,United-States,Private
31136,Masters,Prof-specialty,White,Wife,Female,40,40,United-States,Local-gov
31143,HS-grad,Craft-repair,White,Unmarried,Male,26,50,United-States,State-gov
31158,Some-college,Exec-managerial,Black,Unmarried,Female,37,40,United-States,Private
31166,HS-grad,Craft-repair,White,Husband,Male,47,40,United-States,Private
31268,Prof-school,Prof-specialty,White,Not-in-family,Male,43,66,France,Private
31291,Some-college,Other-service,White,Wife,Female,25,60,United-States,Private
31317,Some-college,Tech-support,White,Not-in-family,Female,23,40,United-States,Private
31422,Some-college,Transport-moving,White,Own-child,Female,20,17,United-States,Private
31489,Assoc-voc,Prof-specialty,White,Wife,Female,28,36,United-States,Local-gov
31725,Some-college,Adm-clerical,Black,Unmarried,Female,30,40,United-States,Private
31992,HS-grad,Machine-op-inspct,White,Husband,Male,45,52,United-States,Private
32050,HS-grad,Sales,White,Husband,Male,49,40,United-States,Private
32398,HS-grad,Other-service,White,Other-relative,Male,24,30,United-States,Private
32451,Some-college,Exec-managerial,White,Unmarried,Female,40,20,United-States,Private
3297,HS-grad,?,White,Husband,Male,76,40,Canada,?
3331,HS-grad,Tech-support,White,Other-relative,Male,26,40,United-States,Private
3365,Bachelors,Exec-managerial,White,Husband,Male,51,40,United-States,Private
3372,HS-grad,Other-service,White,Own-child,Female,21,35,United-States,Private
3459,HS-grad,?,White,Unmarried,Female,21,40,United-States,?
3475,Some-college,Exec-managerial,White,Husband,Male,34,50,United-States,Private
3515,Bachelors,Prof-specialty,White,Not-in-family,Female,62,40,United-States,Self-emp-not-inc
3630,Bachelors,Prof-specialty,White,Unmarried,Female,30,40,United-States,Local-gov
3778,Some-college,Protective-serv,White,Husband,Male,63,40,United-States,Private
3872,HS-grad,Machine-op-inspct,White,Husband,Male,38,45,United-States,Private
3887,Bachelors,?,White,Wife,Female,31,25,United-States,?
3934,Masters,Prof-specialty,White,Not-in-family,Female,53,40,United-States,Private
3956,Masters,Prof-specialty,White,Not-in-family,Female,42,40,United-States,Private
4144,HS-grad,Craft-repair,White,Unmarried,Female,52,40,United-States,Private
4152,Some-college,?,White,Own-child,Male,20,20,United-States,?
4546,Bachelors,Prof-specialty,White,Husband,Male,40,45,United-States,Self-emp-not-inc
4587,Some-college,Adm-clerical,White,Not-in-family,Female,65,38,United-States,Private
4592,Assoc-voc,?,White,Wife,Female,35,40,United-States,?
4623,11th,Other-service,White,Own-child,Female,17,16,United-States,Private
464,Bachelors,Tech-support,White,Not-in-family,Female,24,20,United-States,Private
4771,HS-grad,Other-service,White,Husband,Male,34,50,United-States,Local-gov
4814,HS-grad,Adm-clerical,White,Own-child,Female,30,40,United-States,Private
4977,HS-grad,Craft-repair,White,Husband,Male,55,40,United-States,Private
5070,Some-college,Prof-specialty,White,Own-child,Male,20,15,United-States,Private
5126,HS-grad,Machine-op-inspct,White,Other-relative,Female,20,40,United-States,Private
5206,Some-college,Other-service,White,Not-in-family,Male,22,25,United-States,Private
5247,11th,Handlers-cleaners,White,Own-child,Male,18,12,United-States,Private
5266,HS-grad,Transport-moving,White,Own-child,Male,23,40,United-States,Self-emp-not-inc
5295,HS-grad,Transport-moving,White,Husband,Male,30,40,United-States,Private
5380,Bachelors,Exec-managerial,Black,Wife,Female,42,50,United-States,Private
5411,Masters,Prof-specialty,White,Not-in-family,Female,71,40,United-States,Local-gov
5514,Bachelors,Prof-specialty,White,Not-in-family,Female,33,50,United-States,Local-gov
5544,Assoc-acdm,Protective-serv,White,Not-in-family,Male,33,56,United-States,Local-gov
5616,HS-grad,Other-service,White,Own-child,Female,28,25,United-States,Private
5650,HS-grad,Machine-op-inspct,White,Own-child,Male,35,48,United-States,Private
5651,Some-college,Craft-repair,White,Not-in-family,Female,62,39,United-States,Private
5769,Assoc-acdm,Transport-moving,White,Husband,Male,48,50,United-States,Private
5810,9th,Machine-op-inspct,White,Husband,Male,25,40,Mexico,Private
5958,1st-4th,Machine-op-inspct,White,Husband,Male,59,40,Mexico,Private
6119,12th,Transport-moving,White,Other-relative,Male,58,40,United-States,Private
6233,Masters,Prof-specialty,White,Husband,Male,67,60,United-States,Private
6280,10th,Craft-repair,White,Not-in-family,Male,53,40,United-States,Private
6398,Assoc-voc,Other-service,White,Not-in-family,Female,28,40,United-States,Private
6455,Masters,Prof-specialty,White,Husband,Male,55,40,United-States,Private
6501,10th,Farming-fishing,White,Own-child,Male,18,36,United-States,Private
6528,Bachelors,Prof-specialty,White,Husband,Male,63,40,United-States,Self-emp-not-inc
6616,HS-grad,Transport-moving,White,Not-in-family,Male,33,60,United-States,Self-emp-not-inc
6881,Some-college,Protective-serv,White,Unmarried,Male,52,40,United-States,State-gov
690,Some-college,Farming-fishing,White,Husband,Male,54,40,United-States,Local-gov
6934,Bachelors,Exec-managerial,White,Husband,Male,56,50,United-States,Private
7028,Some-college,Tech-support,White,Unmarried,Female,47,40,United-States,Private
7053,Some-college,Craft-repair,White,Husband,Male,49,40,United-States,Self-emp-not-inc
7082,Bachelors,Sales,White,Not-in-family,Female,31,65,United-States,Private
7157,10th,Machine-op-inspct,White,Own-child,Male,18,30,United-States,Private
7218,HS-grad,Craft-repair,White,Husband,Male,53,40,United-States,Private
7791,HS-grad,Machine-op-inspct,White,Other-relative,Male,19,20,United-States,Private
7934,Some-college,Other-service,White,Husband,Male,43,48,United-States,Private
8069,5th-6th,?,White,Husband,Male,57,84,United-States,?
8102,HS-grad,Prof-specialty,White,Husband,Male,44,40,United-States,Self-emp-not-inc
8164,7th-8th,Machine-op-inspct,White,Own-child,Male,23,40,United-States,Private
8214,HS-grad,Handlers-cleaners,White,Husband,Male,66,10,United-States,Private
8285,HS-grad,Exec-managerial,White,Not-in-family,Male,56,70,United-States,Self-emp-not-inc
8350,Some-college,Sales,White,Husband,Male,25,25,El-Salvador,Private
837,Bachelors,Prof-specialty,White,Not-in-family,Female,41,50,United-States,Private
8534,HS-grad,Handlers-cleaners,White,Own-child,Male,29,40,United-States,Private
8605,Some-college,Transport-moving,White,Own-child,Male,21,50,United-States,Private
8623,Bachelors,Prof-specialty,White,Own-child,Female,23,21,United-States,Private
8798,Some-college,Other-service,White,Own-child,Male,31,16,United-States,Private
8922,Bachelors,Adm-clerical,White,Not-in-family,Female,36,50,United-States,Private
9130,Masters,Exec-managerial,White,Husband,Male,40,50,United-States,Private
9378,Some-college,Exec-managerial,White,Husband,Male,53,40,United-States,Private
9562,Bachelors,Prof-specialty,White,Own-child,Male,32,40,United-States,Private
9617,Some-college,Prof-specialty,White,Unmarried,Male,60,42,United-States,Private
9783,HS-grad,Tech-support,White,Not-in-family,Male,39,44,United-States,Private
9800,Some-college,Machine-op-inspct,Black,Not-in-family,Male,44,40,United-States,Private
