record_id,age,education,marital-status,native-country,occupation,relationship,sex,capital-gain,hours-per-week,race
13221,47,Some-college,Divorced,United-States,Prof-specialty,Unmarried,Female,0,40,Black
13498,63,Prof-school,Married-civ-spouse,United-States,?,Husband,Male,0,30,White
13509,41,HS-grad,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,40,White
13534,50,HS-grad,Married-civ-spouse,United-States,?,Husband,Male,0,55,White
13642,34,Some-college,Never-married,United-States,Sales,Unmarried,Male,0,35,White
13731,28,Some-college,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,55,White
13766,61,10th,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,0,55,White
13767,42,Some-college,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,3908,40,White
13946,25,Some-college,Married-civ-spouse,United-States,Adm-clerical,Wife,Female,0,56,Black
13970,39,11th,Never-married,Puerto-Rico,Prof-specialty,Unmarried,Female,0,30,White
14070,60,Some-college,Divorced,United-States,Sales,Not-in-family,Female,0,48,White
14180,52,Masters,Never-married,United-States,Prof-specialty,Not-in-family,Male,0,32,White
14407,36,HS-grad,Never-married,United-States,Other-service,Not-in-family,Male,0,40,White
14622,26,Some-college,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,40,White
14979,55,HS-grad,Married-civ-spouse,United-States,Sales,Wife,Female,0,50,White
15025,37,11th,Never-married,United-States,Handlers-cleaners,Not-in-family,Male,0,40,Black
15089,38,Bachelors,Married-civ-spouse,United-States,Sales,Husband,Male,0,50,White
15108,43,Masters,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,40,White
15175,28,Bachelors,Never-married,United-States,Adm-clerical,Not-in-family,Female,0,20,White
15355,42,Some-college,Never-married,United-States,Machine-op-inspct,Not-in-family,Male,0,45,White
15454,36,Some-college,Never-married,United-States,Adm-clerical,Not-in-family,Female,0,35,White
15507,47,HS-grad,Married-civ-spouse,United-States,Sales,Husband,Male,0,45,White
15563,24,Bachelors,Never-married,United-States,Adm-clerical,Own-child,Female,0,20,White
15688,46,Assoc-acdm,Divorced,United-States,Craft-repair,Not-in-family,Male,0,40,White
1589,23,Bachelors,Never-married,United-States,Adm-clerical,Not-in-family,Female,0,40,White
15897,30,HS-grad,Never-married,United-States,Craft-repair,Not-in-family,Male,0,35,White
15904,42,10th,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,99999,40,White
15957,23,Some-college,Never-married,United-States,Prof-specialty,Not-in-family,Female,0,45,White
16150,23,Some-college,Never-married,United-States,Machine-op-inspct,Own-child,Male,0,30,Asian-Pac-Islander
16455,26,Some-college,Never-married,United-States,Adm-clerical,Not-in-family,Female,0,40,White
16513,75,Some-college,Married-spouse-absent,United-States,Craft-repair,Not-in-family,Male,0,30,White
16533,25,HS-grad,Never-married,United-States,Craft-repair,Other-relative,Male,0,40,White
16542,33,Masters,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,45,White
16619,36,Masters,Never-married,United-States,Adm-clerical,Not-in-family,Male,13550,50,White
16752,42,Masters,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,7688,40,White
16793,50,11th,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,40,White
16800,69,Masters,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,25,White
16945,25,Assoc-voc,Married-civ-spouse,United-States,Prof-specialty,Wife,Female,7688,40,White
16991,37,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Wife,Female,0,50,White
17048,61,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Wife,Female,0,40,White
17273,57,HS-grad,Separated,United-States,Adm-clerical,Other-relative,Female,0,35,Black
17296,31,HS-grad,Never-married,United-States,Sales,Own-child,Female,0,30,White
17535,64,10th,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,0,40,White
17575,50,10th,Never-married,United-States,Other-service,Not-in-family,Male,0,40,White
17674,36,HS-grad,Never-married,United-States,Exec-managerial,Unmarried,Male,0,90,Black
17675,68,Some-college,Married-civ-spouse,United-States,Sales,Husband,Male,20051,40,White
17721,69,Some-college,Married-civ-spouse,United-States,Other-service,Husband,Male,0,40,White
17767,19,Some-college,Never-married,United-States,Sales,Own-child,Female,0,25,White
1781,37,HS-grad,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,40,White
1787,39,Masters,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,15024,40,Asian-Pac-Islander
17932,71,HS-grad,Widowed,United-States,Sales,Other-relative,Female,0,16,White
17937,52,5th-6th,Divorced,United-States,Farming-fishing,Unmarried,Male,0,40,White
18088,47,HS-grad,Married-civ-spouse,United-States,Other-service,Wife,Female,0,30,Black
18117,41,HS-grad,Divorced,United-States,Craft-repair,Not-in-family,Male,0,40,White
18226,45,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,32,White
18329,39,Some-college,Divorced,United-States,Exec-managerial,Unmarried,Female,0,40,White
18347,29,Some-college,Never-married,United-States,Protective-serv,Not-in-family,Male,0,36,White
18641,59,Bachelors,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,4,White
18682,43,12th,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,60,White
18858,53,Some-college,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,40,White
18949,43,10th,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,0,40,White
19098,42,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,40,White
19101,60,HS-grad,Married-civ-spouse,United-States,Other-service,Wife,Female,0,40,White
19143,53,Doctorate,Divorced,United-States,Prof-specialty,Not-in-family,Female,10520,40,White
19282,44,Masters,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,7688,55,White
19324,68,Assoc-acdm,Divorced,United-States,Exec-managerial,Not-in-family,Female,0,43,White
19516,30,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,0,44,White
19544,54,9th,Divorced,United-States,?,Not-in-family,Female,0,15,White
19628,36,Some-college,Divorced,United-States,Exec-managerial,Not-in-family,Female,0,39,White
19659,30,HS-grad,Married-civ-spouse,United-States,Sales,Husband,Male,0,42,White
20100,65,7th-8th,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,40,White
20276,39,Masters,Married-civ-spouse,England,Prof-specialty,Wife,Female,0,50,White
20324,65,Masters,Divorced,United-States,Sales,Not-in-family,Male,0,28,White
20379,61,11th,Married-civ-spouse,United-States,Other-service,Husband,Male,0,40,White
20384,35,Assoc-voc,Never-married,United-States,Adm-clerical,Not-in-family,Female,0,40,Black
20456,36,HS-grad,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,0,65,White
20493,34,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Wife,Female,0,45,White
20508,45,HS-grad,Separated,United-States,Exec-managerial,Not-in-family,Female,0,40,White
20708,28,Bachelors,Never-married,United-States,Prof-specialty,Not-in-family,Female,2202,50,White
20742,61,Bachelors,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,60,White
20752,40,HS-grad,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,0,40,White
20877,48,10th,Married-civ-spouse,United-States,?,Wife,Female,0,35,Black
21027,49,Doctorate,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,45,White
21035,25,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,0,40,White
21050,29,Bachelors,Married-civ-spouse,United-States,Protective-serv,Husband,Male,0,40,White
21058,44,HS-grad,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,15024,60,White
21116,34,HS-grad,Married-civ-spouse,United-States,Other-service,Husband,Male,0,40,White
21161,29,Masters,Married-civ-spouse,Germany,Exec-managerial,Husband,Male,0,45,White
21400,34,HS-grad,Never-married,United-States,Tech-support,Not-in-family,Male,0,40,White
21885,40,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Wife,Female,0,45,White
21889,42,Some-college,Divorced,United-States,Machine-op-inspct,Not-in-family,Female,0,40,White
21928,42,HS-grad,Divorced,United-States,Machine-op-inspct,Unmarried,Female,0,40,White
21988,70,HS-grad,Divorced,United-States,Other-service,Not-in-family,Female,0,28,White
22037,25,Bachelors,Never-married,United-States,Sales,Not-in-family,Male,3325,48,White
22044,52,Some-college,Divorced,United-States,Adm-clerical,Unmarried,Female,0,35,White
22167,39,Preschool,Never-married,United-States,Other-service,Not-in-family,Female,0,12,White
22282,42,HS-grad,Married-civ-spouse,United-States,Tech-support,Husband,Male,0,30,White
22295,56,Masters,Divorced,United-States,Sales,Unmarried,Female,0,60,White
22364,24,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,0,40,White
22466,40,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,0,63,White
22479,17,11th,Never-married,United-States,Sales,Own-child,Female,0,13,White
22538,30,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,0,45,White
22829,61,Prof-school,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,50,White
23148,19,Some-college,Never-married,United-States,Other-service,Not-in-family,Male,0,12,Black
23186,24,HS-grad,Never-married,United-States,Craft-repair,Own-child,Male,0,40,White
23347,34,Assoc-acdm,Never-married,United-States,Sales,Unmarried,Male,0,50,White
23444,24,Bachelors,Never-married,United-States,Sales,Not-in-family,Male,0,40,White
23498,53,Masters,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,42,White
23593,33,Assoc-voc,Never-married,United-States,Craft-repair,Not-in-family,Male,0,40,White
2376,43,HS-grad,Never-married,United-States,Sales,Not-in-family,Female,0,44,Black
23802,41,Some-college,Separated,United-States,Prof-specialty,Own-child,Female,0,40,White
23846,42,HS-grad,Divorced,United-States,Machine-op-inspct,Not-in-family,Female,0,40,White
23979,44,Some-college,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,40,White
23995,55,Masters,Married-civ-spouse,United-States,Sales,Husband,Male,3103,55,White
24104,61,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,45,White
24267,36,Some-college,Separated,United-States,Exec-managerial,Not-in-family,Male,0,60,White
24536,46,Bachelors,Married-civ-spouse,United-States,Sales,Husband,Male,0,55,White
24560,81,Bachelors,Widowed,United-States,Sales,Not-in-family,Male,0,50,White
24933,65,11th,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,6418,35,White
24939,52,HS-grad,Divorced,United-States,Adm-clerical,Not-in-family,Male,0,45,White
24952,24,7th-8th,Separated,United-States,Machine-op-inspct,Own-child,Male,0,40,White
25023,46,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,50,White
25066,26,HS-grad,Divorced,United-States,Craft-repair,Not-in-family,Male,0,40,White
25143,50,HS-grad,Married-civ-spouse,United-States,Protective-serv,Husband,Male,0,40,White
25325,18,Some-college,Never-married,United-States,Other-service,Own-child,Male,0,30,White
25430,20,Assoc-acdm,Never-married,United-States,?,Not-in-family,Female,0,32,White
25456,54,Doctorate,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,50,White
2558,58,Doctorate,Married-civ-spouse,India,Prof-specialty,Husband,Male,4064,40,Asian-Pac-Islander
25593,27,Bachelors,Never-married,United-States,Tech-support,Not-in-family,Male,0,12,White
25606,41,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,60,White
25629,22,Assoc-acdm,Never-married,?,Handlers-cleaners,Not-in-family,Male,0,40,Black
25749,49,Some-college,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,0,45,White
25904,31,Prof-school,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,40,White
26110,51,Prof-school,Divorced,United-States,Prof-specialty,Not-in-family,Male,27828,60,White
26219,42,Masters,Divorced,United-States,Exec-managerial,Not-in-family,Male,0,45,White
26231,26,Masters,Never-married,United-States,Tech-support,Other-relative,Male,0,25,White
26291,39,HS-grad,Never-married,United-States,Machine-op-inspct,Own-child,Male,0,40,White
26715,31,Some-college,Married-civ-spouse,Cuba,Exec-managerial,Husband,Male,0,40,White
26862,48,Bachelors,Married-civ-spouse,Japan,Exec-managerial,Husband,Male,0,40,Asian-Pac-Islander
26870,38,Assoc-acdm,Divorced,United-States,Craft-repair,Not-in-family,Male,0,40,White
27283,46,Some-college,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,40,Black
27388,20,Some-college,Never-married,United-States,Other-service,Own-child,Male,0,30,White
275,43,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,0,40,Black
27500,40,Bachelors,Never-married,United-States,Adm-clerical,Not-in-family,Female,0,40,White
27597,24,Some-college,Never-married,United-States,Adm-clerical,Not-in-family,Female,0,40,White
27601,53,HS-grad,Divorced,United-States,Machine-op-inspct,Unmarried,Male,0,32,Black
27628,44,HS-grad,Divorced,United-States,Adm-clerical,Unmarried,Female,0,40,Black
27663,44,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,40,White
27678,52,Some-college,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,40,White
27786,41,12th,Divorced,United-States,Machine-op-inspct,Not-in-family,Female,0,40,Black
27882,41,Some-college,Divorced,United-States,Adm-clerical,Own-child,Female,0,40,Black
27890,33,Some-college,Married-civ-spouse,United-States,Sales,Husband,Male,0,25,White
27953,30,Masters,Married-civ-spouse,United-States,Other-service,Husband,Male,0,15,White
27980,56,Bachelors,Married-civ-spouse,United-States,Tech-support,Husband,Male,0,48,White
27986,40,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,0,55,White
28123,37,9th,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,70,White
28353,38,Assoc-voc,Divorced,United-States,Adm-clerical,Unmarried,Female,0,40,White
2840,44,Prof-school,Never-married,United-States,Prof-specialty,Not-in-family,Male,14084,40,White
28406,66,7th-8th,Widowed,United-States,Farming-fishing,Unmarried,Male,0,50,White
28431,43,Some-college,Divorced,?,Exec-managerial,Unmarried,Female,0,38,Black
28470,43,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,45,White
28558,67,HS-grad,Widowed,United-States,Other-service,Not-in-family,Female,0,24,White
28648,46,Assoc-voc,Divorced,United-States,Craft-repair,Not-in-family,Female,0,60,Amer-Indian-Eskimo
28650,38,Some-college,Married-civ-spouse,United-States,Transport-moving,Husband,Male,7298,43,White
28795,29,Assoc-acdm,Never-married,United-States,Tech-support,Not-in-family,Male,0,45,White
28960,36,Bachelors,Divorced,United-States,Prof-specialty,Unmarried,Female,0,40,Black
29329,20,Some-college,Never-married,United-States,Craft-repair,Not-in-family,Female,0,35,White
29339,44,5th-6th,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,0,40,Black
29699,35,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,50,White
29865,45,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,50,White
29962,45,Some-college,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,48,White
30049,56,Masters,Divorced,United-States,Adm-clerical,Unmarried,Female,0,40,White
30180,37,Some-college,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,45,White
30228,45,HS-grad,Widowed,United-States,Craft-repair,Not-in-family,Female,0,40,White
30324,22,11th,Never-married,United-States,Craft-repair,Own-child,Male,0,30,White
30338,33,Doctorate,Married-civ-spouse,Hong,Prof-specialty,Husband,Male,0,50,Asian-Pac-Islander
30526,38,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,40,White
30544,24,Some-college,Never-married,United-States,Handlers-cleaners,Own-child,Male,0,30,White
30631,49,HS-grad,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,40,White
30670,50,7th-8th,Married-civ-spouse,?,Other-service,Wife,Female,0,35,White
3068,34,Some-college,Divorced,United-States,Exec-managerial,Not-in-family,Male,0,50,White
30680,28,Bachelors,Never-married,United-States,Prof-specialty,Not-in-family,Female,0,40,White
30704,37,Assoc-voc,Never-married,United-States,Other-service,Not-in-family,Male,0,40,White
30735,42,Bachelors,Married-civ-spouse,Philippines,Adm-clerical,Wife,Female,0,40,Asian-Pac-Islander
30818,50,Some-college,Divorced,United-States,Adm-clerical,Unmarried,Female,0,40,White
30869,67,Masters,Married-civ-spouse,United-States,Sales,Husband,Male,0,30,White
30926,56,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,0,18,White
31312,31,Some-college,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,50,White
31464,32,Assoc-acdm,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,40,White
31465,48,Some-college,Separated,United-States,Sales,Unmarried,Female,0,50,White
31550,47,5th-6th,Never-married,United-States,Machine-op-inspct,Own-child,Male,0,20,White
31609,48,Assoc-acdm,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,40,White
3169,41,HS-grad,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,35,White
3180,30,HS-grad,Married-civ-spouse,United-States,Protective-serv,Husband,Male,0,40,White
31865,27,1st-4th,Never-married,Mexico,Craft-repair,Not-in-family,Male,0,40,White
3190,39,10th,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,60,White
32041,28,HS-grad,Separated,United-States,Transport-moving,Own-child,Male,0,45,White
32125,55,HS-grad,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,40,White
32126,23,Bachelors,Never-married,United-States,Prof-specialty,Not-in-family,Female,0,32,White
32194,42,HS-grad,Never-married,United-States,Adm-clerical,Unmarried,Female,0,40,Black
32272,38,Some-college,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,36,White
3322,37,Some-college,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,45,White
3366,39,11th,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,0,40,White
3388,46,Bachelors,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,0,40,White
3786,33,Assoc-acdm,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,60,White
3893,50,HS-grad,Divorced,United-States,Prof-specialty,Not-in-family,Male,0,40,White
3976,67,HS-grad,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,0,60,White
4101,57,HS-grad,Married-civ-spouse,United-States,Other-service,Husband,Male,0,78,White
4105,46,Some-college,Divorced,United-States,Handlers-cleaners,Not-in-family,Male,0,45,White
4110,25,HS-grad,Never-married,United-States,Adm-clerical,Not-in-family,Female,0,50,White
4125,65,HS-grad,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,20,White
4208,47,Masters,Never-married,United-States,Prof-specialty,Not-in-family,Female,0,45,White
4387,52,HS-grad,Divorced,United-States,Adm-clerical,Not-in-family,Female,0,40,White
4536,30,Bachelors,Never-married,Germany,Prof-specialty,Not-in-family,Female,0,40,Black
4547,37,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,51,White
4574,36,HS-grad,Never-married,United-States,Farming-fishing,Not-in-family,Male,0,50,White
4624,29,HS-grad,Never-married,United-States,Sales,Unmarried,Female,0,40,White
4640,44,Some-college,Never-married,United-States,Craft-repair,Own-child,Male,0,12,White
465,37,HS-grad,Married-civ-spouse,United-States,Adm-clerical,Wife,Female,0,60,White
4654,33,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,0,50,White
4683,27,Assoc-acdm,Never-married,United-States,Transport-moving,Not-in-family,Male,0,40,Black
4686,51,Masters,Never-married,United-States,Prof-specialty,Own-child,Male,0,40,White
4801,50,Masters,Never-married,United-States,?,Not-in-family,Male,0,40,White
4924,35,HS-grad,Divorced,United-States,Exec-managerial,Unmarried,Female,0,40,White
4994,39,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,60,White
5102,62,Some-college,Married-civ-spouse,United-States,Other-service,Husband,Male,0,40,White
5112,39,Masters,Married-civ-spouse,Poland,Transport-moving,Husband,Male,0,40,White
5139,40,Assoc-voc,Married-civ-spouse,United-States,Other-service,Husband,Male,0,30,Black
5234,42,Bachelors,Married-civ-spouse,?,Adm-clerical,Wife,Female,0,35,White
5944,35,Bachelors,Never-married,United-States,Prof-specialty,Not-in-family,Male,0,50,White
6061,31,Bachelors,Married-civ-spouse,United-States,Sales,Husband,Male,0,55,White
6134,64,Bachelors,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,0,40,White
614,27,Bachelors,Never-married,United-States,Other-service,Own-child,Female,0,20,White
645,50,Doctorate,Separated,United-States,Prof-specialty,Not-in-family,Male,0,40,White
6641,19,HS-grad,Never-married,United-States,Machine-op-inspct,Own-child,Male,0,40,White
6840,52,HS-grad,Never-married,United-States,Other-service,Unmarried,Male,0,40,White
6908,35,Some-college,Never-married,United-States,Adm-clerical,Own-child,Female,0,40,White
6974,56,HS-grad,Divorced,United-States,Adm-clerical,Not-in-family,Female,0,40,White
7051,30,Masters,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,4386,40,White
7207,45,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,38,White
7253,48,Bachelors,Married-civ-spouse,?,Adm-clerical,Husband,Male,0,45,White
7699,29,Bachelors,Married-civ-spouse,United-States,Tech-support,Husband,Male,0,40,White
7703,20,Some-college,Never-married,United-States,Adm-clerical,Own-child,Female,0,12,White
7830,31,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,43,White
818,64,HS-grad,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,45,White
8196,24,Some-college,Never-married,United-States,Sales,Not-in-family,Male,0,49,White
823,30,HS-grad,Widowed,United-States,Adm-clerical,Not-in-family,Female,0,40,White
8260,25,Some-college,Never-married,United-States,Craft-repair,Not-in-family,Male,0,40,White
8367,53,Some-college,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,15024,40,White
8421,47,Some-college,Divorced,United-States,Exec-managerial,Not-in-family,Female,0,65,White
8437,43,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,3103,40,White
8448,49,Bachelors,Married-civ-spouse,United-States,Sales,Husband,Male,0,45,White
8627,70,HS-grad,Widowed,United-States,Adm-clerical,Unmarried,Female,0,5,White
8693,45,HS-grad,Divorced,United-States,Handlers-cleaners,Not-in-family,Male,0,50,White
8790,36,HS-grad,Married-civ-spouse,United-States,Adm-clerical,Wife,Female,0,40,White
8799,60,Assoc-acdm,Divorced,United-States,Other-service,Not-in-family,Female,0,40,White
9101,39,Assoc-acdm,Married-civ-spouse,United-States,Adm-clerical,Wife,Female,0,40,White
9153,28,HS-grad,Never-married,United-States,Adm-clerical,Unmarried,Female,0,20,White
9319,40,HS-grad,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,2829,40,White
9395,31,HS-grad,Never-married,United-States,Sales,Own-child,Female,0,40,White
9412,24,Some-college,Never-married,United-States,Handlers-cleaners,Own-child,Female,0,30,White
9501,61,Some-college,Married-civ-spouse,United-States,Sales,Husband,Male,0,40,White
9521,33,HS-grad,Married-civ-spouse,Canada,Exec-managerial,Wife,Female,0,42,White
9612,55,10th,Never-married,United-States,Other-service,Not-in-family,Male,0,29,White
9641,42,Some-college,Never-married,United-States,Sales,Not-in-family,Male,0,45,White
9933,25,HS-grad,Never-married,United-States,Handlers-cleaners,Not-in-family,Female,0,40,White
