record_id,native-country,sex,workclass,age,capital-gain,capital-loss,education,hours-per-week,marital-status,race,relationship
13145,United-States,Male,Private,19,0,0,Some-college,40,Never-married,White,Own-child
13164,United-States,Male,Private,39,0,0,Assoc-voc,40,Married-civ-spouse,White,Husband
13196,United-States,Female,Private,23,0,0,Bachelors,40,Never-married,White,Own-child
13247,United-States,Female,Private,44,0,0,Some-college,40,Divorced,White,Other-relative
13315,Mexico,Female,Private,26,0,0,HS-grad,40,Never-married,Other,Own-child
1337,United-States,Male,Private,40,0,0,HS-grad,40,Married-civ-spouse,White,Husband
1338,United-States,Female,Private,71,2329,0,Bachelors,16,Divorced,White,Own-child
1346,Germany,Male,Self-emp-inc,61,0,0,Bachelors,50,Married-civ-spouse,White,Husband
13741,United-States,Female,Self-emp-not-inc,63,0,0,7th-8th,10,Widowed,White,Unmarried
13792,United-States,Male,Private,46,0,0,Some-college,40,Never-married,White,Own-child
13811,United-States,Male,Local-gov,56,0,0,HS-grad,40,Married-civ-spouse,White,Husband
14016,United-States,Male,Local-gov,36,0,0,Some-college,56,Married-civ-spouse,White,Husband
14067,United-States,Female,?,20,0,0,HS-grad,40,Never-married,White,Own-child
14097,United-States,Female,Private,59,0,0,5th-6th,40,Divorced,White,Unmarried
14131,United-States,Male,Private,38,0,0,HS-grad,40,Married-civ-spouse,White,Husband
1436,Mexico,Male,Private,28,0,0,Bachelors,43,Never-married,White,Not-in-family
14460,United-States,Female,Private,24,0,0,Bachelors,40,Never-married,White,Own-child
14521,United-States,Female,Private,27,0,0,Masters,40,Never-married,White,Own-child
14589,United-States,Male,Self-emp-not-inc,42,0,0,Bachelors,50,Married-civ-spouse,White,Husband
1465,United-States,Male,Federal-gov,70,0,0,HS-grad,40,Married-civ-spouse,Black,Husband
14795,United-States,Male,Private,59,0,1485,HS-grad,45,Married-civ-spouse,White,Husband
14955,United-States,Female,Private,63,0,0,12th,40,Widowed,White,Unmarried
15092,United-States,Male,Private,18,0,0,Some-college,40,Never-married,White,Own-child
15098,United-States,Male,Self-emp-not-inc,63,0,0,Bachelors,15,Married-civ-spouse,White,Husband
15129,United-States,Male,Private,28,0,0,Assoc-voc,45,Never-married,White,Not-in-family
15151,El-Salvador,Male,Federal-gov,27,4064,0,Assoc-acdm,40,Married-civ-spouse,White,Husband
15249,United-States,Female,Private,41,0,0,HS-grad,40,Never-married,Black,Unmarried
1529,United-States,Female,Private,37,0,0,HS-grad,12,Divorced,White,Unmarried
15292,United-States,Male,?,22,0,0,HS-grad,45,Never-married,Black,Unmarried
15381,United-States,Male,Private,44,0,0,HS-grad,48,Married-civ-spouse,White,Husband
15514,United-States,Male,State-gov,51,0,0,Some-college,40,Married-civ-spouse,White,Husband
15768,Philippines,Female,Private,48,0,0,Bachelors,36,Married-spouse-absent,Asian-Pac-Islander,Other-relative
15823,United-States,Male,Private,21,0,0,Some-college,40,Never-married,White,Not-in-family
15844,United-States,Male,Self-emp-not-inc,59,0,0,HS-grad,60,Divorced,White,Not-in-family
15847,United-States,Male,Local-gov,46,0,0,Masters,38,Married-civ-spouse,Black,Husband
15862,Jamaica,Male,Private,21,0,0,HS-grad,38,Never-married,White,Other-relative
15905,United-States,Male,Self-emp-not-inc,62,0,0,HS-grad,35,Married-civ-spouse,White,Husband
15920,United-States,Male,Private,35,0,0,Bachelors,40,Married-civ-spouse,White,Husband
15945,United-States,Male,Private,28,0,1672,HS-grad,50,Married-civ-spouse,White,Husband
16004,United-States,Male,?,64,8614,0,HS-grad,40,Divorced,White,Not-in-family
16071,United-States,Male,State-gov,57,0,0,HS-grad,40,Married-civ-spouse,White,Husband
16083,United-States,Male,Self-emp-not-inc,37,0,0,Doctorate,60,Married-civ-spouse,White,Husband
16094,United-States,Male,Private,31,0,0,Bachelors,45,Married-civ-spouse,White,Husband
16722,United-States,Female,Private,24,0,0,Assoc-voc,40,Never-married,White,Not-in-family
16732,United-States,Female,Private,32,0,0,Bachelors,40,Divorced,White,Not-in-family
16785,United-States,Male,Private,44,0,0,Assoc-acdm,40,Married-civ-spouse,White,Husband
16787,United-States,Male,Private,17,0,0,11th,30,Never-married,White,Own-child
1680,United-States,Female,Private,37,0,0,HS-grad,12,Divorced,White,Unmarried
16900,United-States,Male,Private,22,0,0,11th,35,Married-civ-spouse,White,Husband
16920,United-States,Male,Private,34,0,0,Bachelors,45,Married-civ-spouse,Black,Husband
17018,United-States,Male,Self-emp-inc,42,0,0,Masters,60,Married-civ-spouse,White,Husband
17038,United-States,Female,Private,30,0,0,Assoc-voc,40,Never-married,White,Not-in-family
17166,United-States,Male,Private,43,0,0,HS-grad,40,Divorced,White,Not-in-family
17212,United-States,Male,Self-emp-not-inc,60,0,0,7th-8th,40,Married-civ-spouse,White,Husband
17237,United-States,Male,Private,59,0,0,HS-grad,40,Married-civ-spouse,White,Husband
17388,United-States,Male,Private,39,0,2444,Masters,45,Never-married,White,Not-in-family
17443,United-States,Female,Private,64,0,0,Some-college,40,Widowed,White,Not-in-family
17595,United-States,Female,Private,33,0,0,Some-college,35,Never-married,Asian-Pac-Islander,Unmarried
17626,United-States,Male,Private,30,0,0,Bachelors,45,Married-civ-spouse,White,Husband
17656,United-States,Male,Private,38,0,0,Some-college,40,Married-civ-spouse,White,Husband
17685,United-States,Male,Local-gov,46,0,1902,Masters,45,Married-civ-spouse,White,Husband
17788,United-States,Female,Private,27,0,0,Assoc-voc,40,Never-married,Black,Unmarried
17816,United-States,Female,Private,58,0,0,HS-grad,35,Divorced,White,Unmarried
17826,United-States,Female,Private,39,0,2205,Some-college,40,Never-married,Black,Own-child
18152,United-States,Male,Federal-gov,49,0,0,HS-grad,40,Married-civ-spouse,White,Husband
18226,United-States,Male,Private,45,0,0,Bachelors,32,Married-civ-spouse,White,Husband
1827,United-States,Female,Local-gov,37,0,0,HS-grad,35,Divorced,Black,Unmarried
18349,United-States,Male,Private,24,0,0,Some-college,35,Never-married,White,Own-child
18498,United-States,Female,Private,62,0,0,9th,25,Widowed,Black,Unmarried
18537,United-States,Male,Private,44,0,0,9th,40,Never-married,White,Not-in-family
18609,United-States,Male,Private,18,1055,0,HS-grad,25,Never-married,White,Own-child
18629,United-States,Female,Self-emp-not-inc,43,0,0,Bachelors,35,Married-civ-spouse,White,Wife
18917,United-States,Male,Private,47,0,0,HS-grad,40,Married-civ-spouse,White,Husband
19048,United-States,Female,Private,21,0,0,Some-college,38,Never-married,White,Not-in-family
19072,United-States,Male,Private,43,0,0,Some-college,50,Married-civ-spouse,White,Husband
19142,United-States,Male,Private,45,0,0,Some-college,40,Married-civ-spouse,White,Husband
1925,United-States,Male,Private,30,0,0,Bachelors,55,Never-married,White,Not-in-family
19293,United-States,Female,Private,51,0,0,HS-grad,40,Separated,White,Other-relative
19324,United-States,Female,Private,68,0,0,Assoc-acdm,43,Divorced,White,Not-in-family
1936,United-States,Male,Local-gov,38,0,0,Bachelors,40,Separated,Black,Unmarried
19405,United-States,Male,Private,47,0,0,HS-grad,33,Never-married,White,Not-in-family
19450,United-States,Male,Self-emp-inc,44,0,2415,Masters,55,Married-civ-spouse,White,Husband
19626,?,Male,Private,36,0,0,Prof-school,50,Married-civ-spouse,White,Husband
19649,United-States,Female,Private,19,0,0,HS-grad,20,Never-married,Black,Unmarried
19751,United-States,Male,Private,35,0,0,HS-grad,55,Married-civ-spouse,White,Husband
19807,United-States,Female,Private,48,99999,0,Bachelors,40,Married-civ-spouse,White,Wife
20482,United-States,Female,Private,80,0,0,HS-grad,16,Married-spouse-absent,White,Not-in-family
20493,United-States,Female,State-gov,34,0,0,Bachelors,45,Married-civ-spouse,White,Wife
20668,United-States,Female,Federal-gov,51,0,0,Some-college,40,Divorced,Black,Not-in-family
20687,United-States,Male,Private,45,0,0,HS-grad,40,Married-civ-spouse,White,Husband
20744,United-States,Male,Self-emp-inc,49,0,0,Some-college,55,Divorced,White,Not-in-family
20867,United-States,Male,Local-gov,25,0,0,Some-college,40,Married-civ-spouse,White,Husband
20929,United-States,Female,Private,40,0,0,Some-college,40,Married-civ-spouse,White,Wife
20991,United-States,Male,Private,47,0,0,11th,36,Married-civ-spouse,Amer-Indian-Eskimo,Husband
21066,United-States,Male,Self-emp-not-inc,42,0,0,Assoc-acdm,50,Married-civ-spouse,White,Husband
21107,United-States,Male,Private,33,0,2258,12th,42,Divorced,White,Not-in-family
21165,United-States,Male,Private,46,0,0,HS-grad,40,Married-civ-spouse,White,Husband
21200,United-States,Male,Private,17,0,0,10th,16,Never-married,White,Own-child
21236,Mexico,Male,Private,39,0,0,9th,43,Married-civ-spouse,White,Husband
21237,United-States,Female,Private,37,0,0,Assoc-acdm,48,Divorced,White,Not-in-family
21254,United-States,Male,Private,53,0,0,11th,45,Married-civ-spouse,White,Husband
21484,United-States,Female,Private,19,0,0,Some-college,20,Never-married,White,Own-child
21551,United-States,Male,Federal-gov,41,0,0,Bachelors,38,Married-civ-spouse,White,Husband
21557,United-States,Male,Private,48,7688,0,Assoc-voc,40,Married-civ-spouse,White,Husband
2157,United-States,Male,Self-emp-inc,33,0,0,Bachelors,50,Married-civ-spouse,White,Husband
217,Poland,Male,Private,38,0,0,Bachelors,50,Married-civ-spouse,White,Husband
21761,United-States,Male,Private,60,0,0,HS-grad,40,Divorced,White,Not-in-family
21904,Haiti,Male,Private,42,0,0,HS-grad,40,Married-civ-spouse,Black,Husband
22023,United-States,Female,Private,32,0,0,Some-college,45,Divorced,White,Not-in-family
22059,United-States,Male,Private,29,0,0,HS-grad,40,Married-civ-spouse,Amer-Indian-Eskimo,Husband
2225,United-States,Male,State-gov,23,0,0,Bachelors,22,Never-married,White,Not-in-family
22265,France,Male,Private,42,0,0,Doctorate,40,Married-civ-spouse,White,Husband
22311,United-States,Female,Private,19,0,0,HS-grad,40,Never-married,Black,Own-child
22384,United-States,Male,Self-emp-not-inc,31,0,0,Bachelors,40,Married-civ-spouse,White,Husband
22397,United-States,Male,Private,49,0,0,10th,48,Divorced,White,Not-in-family
22464,United-States,Male,Private,24,2463,0,11th,40,Never-married,White,Unmarried
22646,United-States,Male,Self-emp-inc,23,0,0,Assoc-voc,50,Never-married,White,Not-in-family
22686,Mexico,Male,Private,33,0,0,7th-8th,43,Never-married,White,Not-in-family
22731,United-States,Female,?,66,2964,0,Assoc-voc,30,Widowed,White,Not-in-family
22784,United-States,Female,Private,30,0,0,HS-grad,62,Divorced,Black,Unmarried
22976,United-States,Male,?,58,0,0,5th-6th,40,Married-civ-spouse,White,Husband
23006,United-States,Male,Private,40,0,0,Assoc-voc,40,Married-civ-spouse,White,Husband
2303,United-States,Male,Private,90,0,0,Some-college,35,Never-married,Asian-Pac-Islander,Not-in-family
23041,United-States,Male,Private,34,3103,0,Some-college,40,Married-civ-spouse,White,Husband
23318,United-States,Male,Self-emp-not-inc,36,0,0,Assoc-voc,60,Married-civ-spouse,White,Husband
2337,United-States,Male,Private,22,0,0,10th,25,Never-married,White,Own-child
23414,United-States,Female,Private,36,0,0,11th,32,Separated,White,Not-in-family
23485,United-States,Male,Private,37,0,0,HS-grad,50,Married-civ-spouse,White,Husband
23772,United-States,Female,Local-gov,67,0,0,Some-college,20,Divorced,Black,Not-in-family
23850,United-States,Female,Private,37,0,0,10th,35,Divorced,White,Unmarried
24099,Mexico,Male,Private,23,0,0,7th-8th,40,Never-married,White,Not-in-family
24147,United-States,Male,Private,62,15020,0,Doctorate,50,Divorced,White,Unmarried
24198,United-States,Female,Private,36,0,0,HS-grad,40,Divorced,White,Not-in-family
24340,United-States,Male,Private,25,0,0,HS-grad,24,Never-married,Black,Own-child
24421,United-States,Male,Private,50,0,0,HS-grad,32,Married-civ-spouse,White,Husband
24435,United-States,Male,Private,52,0,0,HS-grad,40,Married-civ-spouse,White,Husband
24644,United-States,Female,?,34,0,0,12th,40,Separated,Black,Unmarried
2481,United-States,Male,Self-emp-inc,44,7688,0,Bachelors,52,Married-civ-spouse,White,Husband
24931,United-States,Male,Private,34,7298,0,Some-college,40,Married-civ-spouse,Black,Husband
25049,United-States,Male,Private,36,0,0,Assoc-acdm,40,Married-civ-spouse,White,Husband
25068,United-States,Male,Federal-gov,55,0,0,Some-college,45,Married-civ-spouse,White,Husband
25217,United-States,Female,Local-gov,45,0,0,HS-grad,40,Married-spouse-absent,Black,Unmarried
25226,United-States,Female,Private,43,0,0,HS-grad,30,Divorced,White,Not-in-family
25337,United-States,Male,Private,54,0,1672,HS-grad,50,Married-civ-spouse,White,Husband
2549,?,Female,Private,43,0,0,Doctorate,40,Married-spouse-absent,White,Not-in-family
25795,United-States,Male,Private,62,0,0,HS-grad,40,Married-civ-spouse,White,Husband
25851,United-States,Male,Private,38,0,0,Bachelors,40,Married-civ-spouse,White,Husband
26000,United-States,Female,Private,19,0,0,HS-grad,16,Never-married,White,Own-child
26083,United-States,Male,Self-emp-inc,71,99999,0,Masters,40,Married-civ-spouse,White,Husband
26093,United-States,Male,?,62,0,0,Doctorate,40,Married-civ-spouse,Amer-Indian-Eskimo,Husband
26206,United-States,Male,Private,53,0,0,Bachelors,45,Married-civ-spouse,White,Husband
26294,United-States,Male,Private,27,0,0,HS-grad,40,Never-married,White,Not-in-family
26431,Cuba,Female,Private,68,0,0,Doctorate,40,Divorced,White,Not-in-family
26432,Laos,Male,Private,36,0,0,HS-grad,40,Married-civ-spouse,Asian-Pac-Islander,Husband
26548,United-States,Male,Private,43,0,0,HS-grad,40,Divorced,White,Not-in-family
2666,United-States,Male,Private,20,0,0,HS-grad,43,Never-married,White,Own-child
26669,Mexico,Male,Private,28,0,0,7th-8th,40,Separated,White,Not-in-family
26791,United-States,Male,?,20,0,0,11th,40,Never-married,Black,Own-child
26804,United-States,Male,Private,44,0,0,Doctorate,45,Never-married,White,Not-in-family
26893,United-States,Male,Private,25,0,0,Bachelors,43,Married-civ-spouse,White,Husband
26938,United-States,Male,Federal-gov,35,0,0,Bachelors,40,Married-civ-spouse,White,Husband
2702,United-States,Male,Federal-gov,56,0,0,Bachelors,40,Married-civ-spouse,White,Husband
27208,United-States,Female,Private,44,0,0,Bachelors,45,Never-married,White,Not-in-family
27368,United-States,Male,Self-emp-inc,53,0,0,Bachelors,45,Married-civ-spouse,White,Husband
27387,England,Female,Private,30,0,0,Some-college,40,Never-married,White,Not-in-family
27529,United-States,Male,Private,31,0,0,HS-grad,40,Never-married,White,Other-relative
2763,United-States,Female,Federal-gov,24,0,0,HS-grad,40,Never-married,White,Not-in-family
28040,United-States,Male,Private,61,0,0,10th,24,Divorced,White,Not-in-family
28095,United-States,Female,Private,33,0,0,HS-grad,40,Divorced,White,Unmarried
28197,Germany,Male,Private,40,15024,0,Prof-school,55,Married-civ-spouse,White,Husband
28220,?,Female,Private,70,2346,0,5th-6th,40,Widowed,White,Other-relative
28294,United-States,Male,Self-emp-inc,65,99999,0,Bachelors,65,Married-civ-spouse,White,Husband
28297,United-States,Male,Private,29,0,0,HS-grad,40,Married-civ-spouse,Amer-Indian-Eskimo,Husband
28394,United-States,Female,?,20,0,0,Some-college,10,Never-married,White,Own-child
28431,?,Female,State-gov,43,0,0,Some-college,38,Divorced,Black,Unmarried
28538,United-States,Female,Private,50,0,0,Bachelors,40,Divorced,White,Unmarried
28543,United-States,Male,?,68,0,0,Some-college,48,Married-civ-spouse,White,Husband
28615,United-States,Male,Local-gov,46,0,0,HS-grad,40,Married-civ-spouse,Black,Husband
28623,United-States,Male,Private,33,0,0,11th,65,Never-married,White,Not-in-family
2867,United-States,Female,Self-emp-not-inc,56,0,0,7th-8th,40,Divorced,White,Unmarried
28686,United-States,Male,?,49,0,0,HS-grad,40,Married-civ-spouse,White,Husband
28687,United-States,Male,Self-emp-not-inc,58,0,0,7th-8th,40,Married-civ-spouse,White,Husband
28775,Guatemala,Male,Private,32,3674,0,1st-4th,40,Never-married,White,Not-in-family
28870,United-States,Male,Private,40,0,0,Assoc-voc,40,Married-civ-spouse,White,Husband
28871,Mexico,Male,Private,26,0,0,5th-6th,40,Never-married,White,Not-in-family
28875,United-States,Female,Private,42,0,0,Some-college,40,Never-married,White,Not-in-family
28877,United-States,Male,Private,43,0,0,Bachelors,45,Married-civ-spouse,White,Husband
28883,United-States,Male,Local-gov,31,0,0,Masters,45,Married-civ-spouse,White,Husband
2895,United-States,Female,Private,45,0,0,Some-college,27,Separated,White,Unmarried
29068,United-States,Female,Private,24,0,0,HS-grad,40,Never-married,White,Not-in-family
29178,United-States,Male,Private,25,0,0,Some-college,40,Married-civ-spouse,White,Husband
29236,United-States,Male,Self-emp-inc,58,7298,0,Some-college,60,Married-civ-spouse,White,Husband
29260,United-States,Male,Private,28,0,0,Some-college,60,Married-civ-spouse,Amer-Indian-Eskimo,Husband
29274,United-States,Male,Private,38,0,0,Bachelors,40,Married-civ-spouse,White,Husband
29287,United-States,Female,Private,25,0,0,Bachelors,25,Never-married,White,Other-relative
29374,Ecuador,Male,Private,23,0,0,Bachelors,66,Never-married,White,Not-in-family
29409,United-States,Male,Private,39,0,0,Assoc-acdm,50,Married-civ-spouse,White,Husband
29463,United-States,Male,Private,34,0,0,Bachelors,40,Never-married,White,Not-in-family
29478,United-States,Female,Private,38,0,0,Some-college,40,Married-civ-spouse,White,Wife
29506,United-States,Female,Private,34,0,0,Masters,50,Never-married,White,Not-in-family
2952,United-States,Female,?,22,0,0,HS-grad,22,Married-civ-spouse,White,Wife
29634,United-States,Female,Private,62,0,0,HS-grad,32,Never-married,White,Not-in-family
29849,United-States,Male,Private,27,0,0,Some-college,40,Married-civ-spouse,White,Husband
29883,United-States,Female,Private,29,0,0,Bachelors,46,Married-civ-spouse,White,Wife
29902,United-States,Male,?,64,0,0,Prof-school,16,Married-civ-spouse,White,Husband
30188,United-States,Male,State-gov,51,0,0,Bachelors,35,Married-civ-spouse,White,Husband
30316,United-States,Female,Private,22,0,0,Some-college,20,Never-married,Black,Own-child
30348,United-States,Male,Private,29,0,1887,Assoc-voc,48,Married-civ-spouse,White,Husband
3052,United-States,Male,Private,30,0,0,Some-college,56,Married-civ-spouse,White,Husband
30597,United-States,Female,Local-gov,42,0,0,Masters,40,Never-married,White,Unmarried
30660,United-States,Female,?,21,0,0,Some-college,40,Never-married,White,Own-child
30676,United-States,Male,Private,42,0,0,Assoc-voc,44,Never-married,White,Not-in-family
3068,United-States,Male,Private,34,0,0,Some-college,50,Divorced,White,Not-in-family
30957,United-States,Male,Private,45,3103,0,Bachelors,40,Married-civ-spouse,White,Husband
30970,United-States,Male,Local-gov,34,0,0,HS-grad,53,Married-civ-spouse,White,Husband
3117,United-States,Male,Private,25,2354,0,Assoc-acdm,45,Never-married,White,Not-in-family
31184,United-States,Male,Private,33,0,0,HS-grad,40,Never-married,White,Own-child
31278,United-States,Male,Private,49,0,0,Assoc-voc,25,Married-civ-spouse,White,Husband
3136,United-States,Male,Self-emp-not-inc,45,0,0,Some-college,50,Never-married,White,Not-in-family
31592,Iran,Male,Private,59,0,0,Masters,40,Married-civ-spouse,White,Husband
31645,United-States,Male,Self-emp-not-inc,32,7688,0,Bachelors,40,Married-civ-spouse,White,Husband
31723,United-States,Female,?,31,0,0,Some-college,10,Married-civ-spouse,White,Wife
31841,United-States,Female,Private,36,0,0,HS-grad,40,Divorced,White,Not-in-family
31873,Dominican-Republic,Female,Private,28,0,0,1st-4th,35,Married-spouse-absent,Other,Own-child
32334,Mexico,Male,Private,24,0,0,5th-6th,40,Married-spouse-absent,White,Not-in-family
32406,United-States,Female,Private,20,0,0,Some-college,40,Never-married,White,Own-child
32416,United-States,Male,Private,33,0,1902,Assoc-acdm,50,Married-civ-spouse,White,Husband
3337,United-States,Male,Private,46,0,0,Bachelors,50,Married-civ-spouse,White,Husband
3408,United-States,Male,Private,29,0,0,Assoc-acdm,50,Married-civ-spouse,White,Husband
348,Iran,Male,Private,56,0,0,Assoc-acdm,25,Married-spouse-absent,White,Not-in-family
3539,United-States,Male,Private,47,0,0,HS-grad,40,Married-civ-spouse,White,Husband
372,United-States,Male,State-gov,40,0,0,Assoc-voc,38,Married-civ-spouse,White,Husband
3801,United-States,Male,Private,30,0,0,HS-grad,10,Never-married,White,Own-child
3831,United-States,Male,Private,48,0,1485,Bachelors,40,Married-civ-spouse,White,Husband
3860,United-States,Male,Private,43,0,1887,Bachelors,40,Married-civ-spouse,White,Husband
3930,United-States,Female,Private,20,0,0,HS-grad,20,Never-married,White,Own-child
4084,United-States,Female,Private,28,0,0,Some-college,40,Divorced,White,Unmarried
411,United-States,Female,Private,24,0,0,HS-grad,40,Never-married,Black,Unmarried
4120,United-States,Female,Private,54,0,0,Some-college,40,Divorced,White,Not-in-family
4249,United-States,Male,Private,68,0,0,Bachelors,30,Married-civ-spouse,White,Husband
4276,United-States,Female,Private,23,0,0,Bachelors,45,Never-married,White,Not-in-family
4427,United-States,Female,Private,27,0,0,HS-grad,40,Never-married,White,Not-in-family
4445,United-States,Male,Local-gov,57,0,0,Masters,50,Married-civ-spouse,White,Husband
4483,United-States,Male,Private,43,0,0,Bachelors,50,Never-married,White,Not-in-family
4484,United-States,Female,Private,59,0,0,HS-grad,60,Widowed,White,Unmarried
4511,United-States,Male,Private,24,0,0,Bachelors,40,Never-married,White,Not-in-family
4614,United-States,Male,Self-emp-not-inc,42,0,0,HS-grad,50,Married-civ-spouse,White,Husband
4914,United-States,Male,Private,35,7298,0,HS-grad,40,Married-civ-spouse,White,Husband
4969,United-States,Male,Private,19,0,0,Some-college,10,Never-married,White,Own-child
5152,United-States,Female,Private,27,0,0,Some-college,39,Never-married,White,Not-in-family
5185,?,Male,Private,21,0,0,Some-college,20,Never-married,White,Own-child
5422,United-States,Female,Private,39,0,0,Bachelors,63,Never-married,White,Not-in-family
5546,United-States,Female,Self-emp-not-inc,35,0,0,Bachelors,60,Never-married,Black,Not-in-family
5709,?,Male,Federal-gov,37,0,0,Doctorate,72,Married-civ-spouse,White,Husband
5841,?,Male,Private,50,0,0,Masters,60,Married-spouse-absent,White,Other-relative
6233,United-States,Male,Private,67,20051,0,Masters,60,Married-civ-spouse,White,Husband
6425,United-States,Male,Private,44,0,0,HS-grad,40,Married-civ-spouse,White,Husband
6710,United-States,Female,State-gov,25,0,0,Bachelors,40,Never-married,White,Not-in-family
6802,Canada,Female,Self-emp-inc,73,0,0,10th,40,Widowed,White,Unmarried
6828,United-States,Female,Private,33,0,0,Some-college,40,Divorced,Black,Not-in-family
6852,Mexico,Male,Private,32,0,0,HS-grad,72,Married-civ-spouse,White,Own-child
6936,United-States,Male,Private,25,0,1590,Bachelors,60,Never-married,White,Not-in-family
7084,United-States,Male,Local-gov,44,0,0,Masters,40,Married-civ-spouse,White,Husband
7102,United-States,Female,?,18,0,0,Some-college,40,Never-married,White,Own-child
7422,United-States,Male,Private,18,0,0,HS-grad,20,Never-married,White,Own-child
7481,United-States,Male,Private,83,0,0,HS-grad,55,Widowed,White,Not-in-family
7564,United-States,Male,Private,36,0,0,HS-grad,40,Married-civ-spouse,White,Husband
826,United-States,Female,Private,62,0,0,HS-grad,40,Widowed,White,Not-in-family
83,United-States,Male,Private,59,0,0,HS-grad,48,Married-civ-spouse,White,Husband
8347,United-States,Female,Local-gov,45,0,0,Some-college,38,Divorced,White,Not-in-family
8421,United-States,Female,Self-emp-not-inc,47,0,0,Some-college,65,Divorced,White,Not-in-family
8449,United-States,Male,Private,66,0,0,HS-grad,10,Divorced,White,Not-in-family
8469,United-States,Male,Private,21,0,0,Some-college,30,Never-married,White,Own-child
848,United-States,Male,Private,39,0,0,Bachelors,40,Married-civ-spouse,White,Husband
8583,United-States,Female,Private,49,0,0,HS-grad,40,Divorced,White,Unmarried
8758,United-States,Male,Private,29,0,0,HS-grad,50,Married-civ-spouse,White,Husband
8795,United-States,Male,?,61,0,0,7th-8th,40,Married-civ-spouse,White,Husband
8831,United-States,Female,Private,22,0,0,Bachelors,40,Never-married,White,Own-child
9163,United-States,Female,Local-gov,41,0,0,Masters,40,Never-married,White,Not-in-family
9182,United-States,Male,Private,46,0,0,Some-college,48,Married-civ-spouse,White,Husband
9478,United-States,Male,Private,47,0,0,HS-grad,45,Never-married,White,Not-in-family
9582,United-States,Male,?,48,0,0,Bachelors,80,Married-civ-spouse,White,Husband
9605,United-States,Male,Private,22,13550,0,Bachelors,55,Never-married,White,Not-in-family
9773,United-States,Male,Private,21,0,0,Assoc-acdm,40,Never-married,White,Own-child
9808,United-States,Male,Local-gov,30,0,0,HS-grad,40,Married-civ-spouse,Black,Husband
9876,United-States,Male,Private,27,0,0,Some-college,40,Divorced,White,Not-in-family
9881,United-States,Female,Private,53,0,0,Some-college,38,Divorced,White,Unmarried
