record_id,age,sex,race,native-country,is_member
8887,61,Male,White,United-States,1
21780,25,Female,White,United-States,0
4138,20,Female,White,Germany,1
28521,39,Female,White,United-States,1
10543,33,Male,White,United-States,0
10021,45,Female,Black,United-States,0
20732,41,Male,White,United-States,1
14092,23,Male,White,United-States,1
11798,59,Male,White,United-States,0
17711,21,Male,White,United-States,1
5422,39,Female,White,United-States,0
23020,38,Male,White,United-States,1
21760,41,Male,White,United-States,0
14149,37,Male,White,United-States,1
9409,22,Male,White,United-States,1
10721,29,Male,White,United-States,1
27072,36,Female,Other,El-Salvador,1
23689,43,Female,Asian-Pac-Islander,Philippines,0
23421,64,Male,White,United-States,0
5864,48,Male,White,United-States,0
30322,28,Female,White,Ecuador,0
21610,48,Male,White,United-States,1
421,17,Male,White,United-States,1
620,23,Female,White,United-States,1
20503,35,Male,White,United-States,0
10188,28,Male,Asian-Pac-Islander,Hong,1
10154,28,Female,Black,Jamaica,0
13063,20,Male,White,United-States,1
896,47,Male,White,United-States,0
29951,17,Female,White,United-States,1
25144,39,Male,White,United-States,1
23842,38,Female,White,United-States,0
10823,23,Female,White,United-States,0
23073,34,Female,White,United-States,1
19306,49,Male,White,United-States,0
27564,33,Male,White,United-States,1
10389,34,Male,White,United-States,0
8300,25,Female,White,United-States,0
7893,37,Male,White,United-States,0
14649,24,Female,White,United-States,0
16097,45,Female,White,United-States,1
14724,31,Male,Black,United-States,0
5227,50,Female,Black,United-States,0
7668,23,Male,White,United-States,0
24667,17,Female,White,United-States,0
28329,25,Male,White,United-States,0
4296,41,Male,White,United-States,1
10499,56,Male,White,United-States,1
8423,32,Female,White,United-States,1
29830,55,Male,White,United-States,0
31237,18,Female,White,United-States,0
18095,68,Female,White,United-States,1
29376,35,Male,White,United-States,0
5039,44,Male,White,United-States,1
31423,29,Male,White,United-States,0
14872,26,Male,White,United-States,1
7215,42,Male,White,United-States,1
20687,45,Male,White,United-States,0
19274,45,Female,Black,United-States,0
22006,76,Male,White,United-States,1
16128,27,Male,White,United-States,0
22665,40,Male,Black,United-States,0
222,90,Male,Black,United-States,0
13244,33,Male,Asian-Pac-Islander,Japan,0
7610,35,Male,White,United-States,1
28550,43,Male,White,United-States,0
20356,63,Male,White,United-States,0
10510,35,Female,White,United-States,1
1286,47,Male,White,United-States,1
29485,30,Male,White,United-States,1
32089,54,Male,White,United-States,1
4872,39,Male,White,United-States,1
13231,22,Male,White,United-States,1
7406,19,Female,White,United-States,1
21658,39,Male,White,United-States,0
1865,60,Female,Black,United-States,1
11769,25,Female,Other,United-States,0
14513,51,Female,White,United-States,0
19664,52,Male,White,United-States,0
27592,30,Male,White,United-States,1
30728,65,Male,White,United-States,0
21969,40,Male,White,United-States,1
24615,47,Female,Black,United-States,0
4270,52,Female,White,United-States,1
11420,19,Female,White,United-States,0
17906,41,Male,White,United-States,1
11259,36,Female,White,United-States,0
13607,20,Male,White,United-States,1
19076,62,Male,White,United-States,1
28395,36,Male,Black,Puerto-Rico,0
21985,30,Female,White,United-States,1
10784,28,Female,White,United-States,0
30713,56,Female,White,United-States,0
32503,47,Male,White,United-States,0
7576,40,Female,White,United-States,0
29611,47,Male,White,United-States,0
14198,61,Male,White,United-States,0
6308,35,Male,White,United-States,0
11388,23,Male,Asian-Pac-Islander,Philippines,1
15353,19,Female,White,United-States,0
21020,31,Male,White,United-States,1
32160,23,Female,White,United-States,1
27359,38,Female,Black,United-States,1
21480,28,Male,White,United-States,1
10741,26,Male,White,United-States,1
15506,36,Female,White,United-States,0
1733,35,Male,White,United-States,1
19799,31,Male,White,United-States,1
25034,33,Female,White,United-States,1
25745,41,Female,White,Honduras,1
11032,33,Male,Other,El-Salvador,0
24291,68,Male,White,United-States,0
30020,45,Male,White,United-States,1
6346,21,Male,White,United-States,0
17306,30,Female,White,Germany,1
21043,29,Male,White,United-States,0
6202,37,Male,White,United-States,0
26806,46,Male,White,United-States,1
22216,45,Male,White,United-States,1
23700,27,Male,White,United-States,1
18391,39,Female,Black,United-States,0
17495,21,Female,White,United-States,0
16036,28,Female,White,?,0
24103,58,Male,White,United-States,0
15877,37,Male,Asian-Pac-Islander,Iran,0
17469,31,Female,Black,United-States,1
13001,62,Male,White,United-States,1
17043,36,Male,White,United-States,1
26909,66,Male,Black,Jamaica,1
4990,33,Male,White,United-States,1
32075,27,Female,Other,Japan,0
3628,22,Female,White,United-States,1
15092,18,Male,White,United-States,1
20328,66,Female,White,Cuba,0
28307,70,Male,White,United-States,0
23296,34,Male,White,United-States,0
8105,32,Male,White,United-States,0
6868,32,Female,White,United-States,0
17841,49,Male,White,United-States,1
4513,21,Male,White,United-States,0
15576,75,Male,White,United-States,1
32138,50,Male,White,United-States,0
26955,33,Male,Black,United-States,1
4076,39,Female,Black,United-States,1
13086,22,Male,White,United-States,0
17903,58,Female,White,United-States,0
5114,29,Male,White,United-States,0
14877,60,Male,Other,Dominican-Republic,1
28772,67,Female,White,United-States,0
15298,49,Male,White,United-States,1
20115,49,Male,White,United-States,0
32027,46,Female,White,United-States,0
26005,28,Male,White,United-States,1
31128,56,Male,White,?,0
30027,43,Male,White,United-States,0
1677,24,Male,White,United-States,1
12971,17,Female,White,United-States,0
22143,26,Female,White,United-States,1
21207,26,Female,White,United-States,0
30773,38,Male,White,?,1
11121,43,Male,White,United-States,0
18285,50,Male,White,United-States,0
5648,45,Male,White,United-States,1
573,37,Male,White,United-States,0
5557,37,Female,White,United-States,1
19139,36,Male,White,United-States,0
9607,25,Female,Black,United-States,1
14683,50,Female,Black,United-States,1
23955,31,Male,White,United-States,1
3835,40,Female,White,United-States,0
12728,21,Male,White,United-States,1
13664,58,Male,Black,United-States,1
5284,44,Male,White,United-States,1
21654,57,Female,White,United-States,1
23533,59,Male,White,United-States,0
26426,37,Male,White,United-States,0
7247,36,Male,White,United-States,1
32366,42,Female,White,United-States,1
12468,34,Male,White,United-States,1
439,42,Female,White,United-States,1
9523,40,Male,White,United-States,1
1442,36,Male,White,United-States,1
23986,31,Male,White,United-States,1
8757,22,Female,White,United-States,0
15266,18,Male,Black,United-States,0
23919,46,Female,White,United-States,0
27139,25,Male,White,United-States,1
22758,36,Male,White,United-States,1
31135,41,Male,White,United-States,0
24145,21,Female,Other,United-States,0
13995,29,Male,White,United-States,0
28350,23,Female,Black,United-States,1
16118,27,Male,Black,Jamaica,0
17714,33,Male,White,United-States,1
29770,24,Male,White,United-States,1
28498,32,Male,White,United-States,1
18976,24,Female,White,United-States,1
14001,42,Male,White,United-States,0
11315,66,Male,Asian-Pac-Islander,Philippines,0
11110,40,Male,Black,United-States,1
19917,31,Male,White,United-States,0
22332,36,Male,White,Canada,1
17653,34,Male,White,United-States,1
3072,28,Male,Black,United-States,1
30075,35,Male,White,United-States,0
30446,19,Male,White,United-States,1
8540,35,Male,White,Cuba,0
1869,32,Male,White,United-States,1
3179,35,Female,Black,Trinadad&Tobago,1
14617,38,Male,White,United-States,0
15979,48,Male,White,United-States,1
7317,67,Male,White,United-States,0
29481,18,Male,White,United-States,0
15301,39,Male,White,United-States,0
11564,30,Male,White,United-States,1
6567,19,Female,White,United-States,1
29443,56,Male,White,United-States,1
27844,61,Male,White,United-States,0
15016,62,Female,Black,United-States,1
6454,40,Male,White,United-States,1
22550,44,Female,White,United-States,1
24055,35,Male,White,United-States,0
2764,19,Female,White,United-States,0
20741,37,Male,White,United-States,0
6332,66,Male,White,United-States,0
4975,29,Male,White,United-States,1
31998,52,Female,Black,United-States,1
20132,48,Male,Black,United-States,1
28729,70,Male,White,United-States,0
24958,24,Male,Black,United-States,1
26,19,Male,White,United-States,1
6054,43,Female,White,United-States,1
12033,40,Female,White,United-States,0
29000,28,Female,White,United-States,1
21840,56,Male,White,United-States,1
15770,43,Female,White,United-States,1
2240,38,Male,White,United-States,0
2464,69,Male,White,United-States,0
5721,40,Male,White,United-States,1
28040,61,Male,White,United-States,0
28528,38,Male,White,United-States,0
18275,38,Male,White,United-States,0
29954,55,Male,White,United-States,0
9152,32,Male,White,United-States,0
29410,22,Female,White,United-States,0
24006,29,Female,Asian-Pac-Islander,Taiwan,0
14150,69,Male,White,United-States,1
20736,42,Male,White,United-States,1
10048,31,Female,White,United-States,1
3919,25,Male,White,United-States,1
6594,44,Female,Black,United-States,0
24686,17,Female,White,United-States,1
28013,19,Female,White,United-States,1
26678,53,Male,White,United-States,1
30913,38,Male,White,United-States,1
18340,53,Female,White,Italy,0
20218,26,Male,White,United-States,0
13300,37,Male,White,United-States,0
8854,37,Male,White,United-States,1
11366,37,Female,White,United-States,1
25499,27,Male,White,United-States,0
13908,30,Male,White,United-States,1
31695,32,Male,White,United-States,0
23259,29,Male,White,United-States,1
1339,38,Male,White,United-States,0
21910,39,Female,White,United-States,0
4485,27,Female,White,Jamaica,1
14752,28,Female,Asian-Pac-Islander,United-States,1
16790,51,Male,White,United-States,0
15621,41,Male,White,United-States,0
31309,43,Female,White,United-States,0
30747,64,Female,White,United-States,0
10078,48,Male,White,United-States,1
26438,47,Female,White,England,1
7347,46,Female,White,United-States,1
3147,26,Female,White,United-States,1
14234,44,Female,Asian-Pac-Islander,?,1
5942,26,Male,White,United-States,1
20476,24,Male,White,United-States,0
8318,53,Male,White,United-States,0
17645,40,Male,White,United-States,1
18356,22,Male,White,United-States,0
9968,25,Male,White,Mexico,1
31344,45,Male,White,United-States,1
23504,31,Male,White,United-States,0
3234,34,Female,Black,United-States,1
27310,55,Male,Black,United-States,1
104,29,Male,White,United-States,1
310,26,Male,White,United-States,1
498,26,Female,White,United-States,1
25839,53,Male,White,United-States,1
15843,23,Male,White,United-States,1
20998,38,Male,White,United-States,1
2532,18,Male,White,United-States,0
7356,44,Male,Black,United-States,1
5921,33,Female,White,United-States,1
9323,49,Male,White,United-States,1
19881,19,Female,White,United-States,1
15625,66,Male,White,United-States,0
23158,19,Female,White,United-States,1
24665,37,Female,White,United-States,1
19796,53,Male,White,United-States,0
10712,46,Male,Amer-Indian-Eskimo,United-States,1
15491,19,Female,White,United-States,0
29819,52,Male,White,United-States,1
15756,27,Male,Black,United-States,1
26915,24,Male,White,United-States,1
27147,41,Female,White,United-States,0
16548,25,Male,White,United-States,1
15060,31,Female,White,United-States,1
28765,72,Male,White,United-States,0
24836,30,Male,White,United-States,0
12865,59,Female,Asian-Pac-Islander,Philippines,1
5354,49,Female,Black,United-States,1
7627,20,Female,White,United-States,0
22594,30,Male,White,United-States,1
22283,59,Male,White,United-States,1
27178,34,Male,White,United-States,0
24719,33,Male,White,United-States,0
4483,43,Male,White,United-States,1
31739,36,Female,White,United-States,0
22562,45,Female,White,United-States,0
1579,72,Female,White,United-States,1
26907,26,Female,Black,United-States,1
16332,28,Male,White,United-States,0
4017,37,Male,White,United-States,1
11762,50,Female,White,United-States,0
8168,20,Female,White,United-States,1
5702,39,Male,White,United-States,1
2326,37,Male,White,United-States,1
16255,64,Female,White,United-States,0
14183,31,Male,White,United-States,0
25943,19,Male,White,Hong,1
24744,51,Male,White,United-States,1
1398,51,Male,White,United-States,0
17054,60,Male,Black,United-States,0
23330,21,Male,White,United-States,0
26041,18,Female,White,United-States,0
17585,42,Female,White,England,0
28348,59,Male,White,United-States,1
23926,59,Male,White,United-States,1
19629,20,Male,White,United-States,0
4845,36,Male,White,United-States,0
6821,44,Male,White,United-States,0
30841,37,Male,White,Cuba,0
26831,30,Male,White,United-States,1
7442,24,Male,White,United-States,0
13069,23,Male,White,El-Salvador,0
22328,54,Female,White,United-States,0
6885,33,Male,White,United-States,0
19339,62,Male,White,United-States,0
19730,20,Male,White,United-States,1
31413,30,Male,White,United-States,1
6424,58,Female,White,Greece,0
13414,46,Male,White,Germany,1
25400,49,Female,White,United-States,0
14588,26,Male,White,United-States,1
23981,60,Male,White,United-States,1
31422,20,Female,White,United-States,1
26883,36,Male,White,United-States,1
30683,41,Male,White,United-States,0
26354,43,Female,White,United-States,1
19932,39,Male,White,United-States,1
27263,28,Female,White,United-States,1
5400,50,Male,White,United-States,1
7521,28,Male,Amer-Indian-Eskimo,United-States,1
14525,32,Male,White,United-States,1
9667,23,Female,White,United-States,1
1035,19,Male,White,United-States,1
17584,22,Male,White,United-States,1
19841,58,Female,Black,United-States,0
30697,24,Male,White,United-States,0
31027,22,Male,White,United-States,1
6422,44,Female,White,Puerto-Rico,0
1406,30,Male,White,United-States,0
21567,39,Female,White,United-States,0
12522,33,Male,Black,United-States,0
16793,50,Male,White,United-States,0
20494,37,Male,Asian-Pac-Islander,Cambodia,0
3265,31,Male,White,United-States,1
29529,21,Female,White,United-States,0
10231,51,Male,White,United-States,0
6528,63,Male,White,United-States,0
9987,67,Male,White,United-States,0
20996,29,Male,White,United-States,1
23994,43,Male,Black,United-States,1
25583,24,Female,Black,United-States,1
32185,52,Male,White,United-States,0
17917,26,Male,White,Mexico,0
21072,56,Male,Black,United-States,0
18690,34,Male,White,United-States,1
319,62,Female,White,United-States,1
24725,19,Male,White,United-States,1
31492,40,Female,Black,United-States,1
26924,29,Female,Black,United-States,0
21135,69,Male,White,United-States,0
11997,24,Male,White,United-States,1
20284,34,Male,Black,?,1
11365,18,Female,White,United-States,1
829,24,Male,White,United-States,1
22657,51,Male,White,United-States,0
25912,74,Female,White,United-States,1
17911,32,Male,White,United-States,1
6363,61,Male,White,United-States,1
14969,59,Male,White,United-States,0
20078,48,Female,White,United-States,1
6606,48,Male,White,Italy,1
21381,22,Male,White,United-States,0
3282,45,Male,White,United-States,0
7886,43,Male,White,United-States,0
24924,69,Female,White,United-States,0
23771,20,Male,White,United-States,0
15778,27,Female,White,United-States,0
8579,21,Male,Black,United-States,1
23364,25,Female,Other,United-States,1
7364,28,Male,White,United-States,1
1281,42,Female,Asian-Pac-Islander,Philippines,0
28114,20,Female,White,United-States,1
25313,47,Male,White,?,1
30473,46,Male,Black,United-States,1
11172,57,Female,Black,United-States,1
26074,47,Male,White,Cuba,1
22849,18,Male,White,United-States,0
15685,21,Female,White,United-States,0
17789,42,Male,White,United-States,0
8671,33,Male,White,United-States,1
18185,30,Male,White,United-States,1
19098,42,Male,White,United-States,1
7974,35,Male,White,United-States,1
1474,22,Female,White,United-States,1
31860,21,Female,White,United-States,0
24571,29,Female,White,United-States,0
2540,63,Female,White,United-States,0
11324,65,Male,White,United-States,1
23124,43,Male,White,United-States,1
11070,29,Female,White,United-States,0
8494,36,Male,White,United-States,0
3707,41,Male,Amer-Indian-Eskimo,United-States,0
21798,50,Female,Asian-Pac-Islander,Philippines,0
2097,56,Female,White,United-States,1
16069,44,Male,White,Mexico,0
8442,47,Male,White,United-States,0
7945,50,Female,White,United-States,1
18536,53,Male,Other,Puerto-Rico,0
13763,51,Male,White,United-States,1
31906,48,Female,White,United-States,1
22869,40,Female,White,United-States,1
21516,78,Male,White,United-States,0
21056,64,Male,White,United-States,1
31580,55,Male,White,United-States,1
24261,38,Male,White,United-States,0
21166,43,Female,White,United-States,1
9683,58,Male,White,United-States,1
12892,27,Male,White,United-States,0
10927,54,Male,White,United-States,0
26168,29,Male,White,United-States,1
3884,51,Male,White,United-States,1
5165,22,Male,White,United-States,0
7417,23,Female,White,United-States,0
8373,45,Male,White,United-States,1
16976,23,Female,White,United-States,0
3011,37,Male,White,United-States,1
6215,23,Male,White,United-States,0
28866,43,Male,White,United-States,1
26886,48,Male,White,United-States,0
6110,54,Male,White,United-States,1
14613,39,Male,White,United-States,0
5846,33,Female,Amer-Indian-Eskimo,United-States,1
14475,17,Female,Black,United-States,1
17401,34,Female,White,United-States,1
21623,50,Male,White,United-States,0
31506,48,Female,Asian-Pac-Islander,Philippines,1
25842,37,Female,Black,United-States,1
22814,21,Male,White,United-States,1
20387,33,Male,White,United-States,1
7013,27,Male,White,United-States,1
16092,58,Female,White,United-States,1
22349,21,Male,White,United-States,0
9163,41,Female,White,United-States,0
11988,50,Female,White,?,0
5598,24,Male,White,United-States,0
15537,28,Male,White,United-States,1
1236,34,Female,White,United-States,1
27740,31,Male,White,United-States,1
25717,34,Male,White,United-States,0
10463,41,Female,Black,United-States,1
17123,46,Female,White,United-States,0
25997,38,Female,White,United-States,0
8950,27,Female,White,United-States,1
24682,42,Female,White,United-States,1
22275,50,Male,White,United-States,1
16729,45,Male,Asian-Pac-Islander,Japan,1
25863,29,Female,White,United-States,1
7335,40,Female,White,United-States,0
20959,43,Female,White,United-States,0
12922,27,Male,Black,United-States,0
24617,36,Male,White,United-States,1
22198,43,Male,White,United-States,1
24225,29,Male,White,Mexico,0
17002,42,Male,White,United-States,1
2980,37,Male,White,United-States,1
9433,55,Female,White,United-States,0
24675,47,Female,White,United-States,1
23816,42,Male,White,United-States,1
28623,33,Male,White,United-States,0
31370,43,Male,White,United-States,1
7897,30,Male,Black,United-States,1
10421,38,Male,White,United-States,0
697,31,Male,White,United-States,1
19741,48,Male,White,United-States,1
11428,61,Male,White,United-States,1
13206,36,Female,White,United-States,0
32249,35,Male,Amer-Indian-Eskimo,United-States,1
31754,26,Female,White,United-States,1
24629,52,Male,Asian-Pac-Islander,United-States,0
4285,59,Male,White,United-States,0
24458,60,Male,White,United-States,0
7637,33,Female,Black,United-States,1
16783,32,Male,White,United-States,0
23458,24,Female,Asian-Pac-Islander,United-States,0
30116,40,Female,White,United-States,1
13840,34,Male,Black,United-States,1
8846,23,Female,White,United-States,1
4579,43,Female,White,United-States,0
4519,21,Male,White,United-States,0
24641,54,Male,White,United-States,0
12154,37,Female,White,United-States,0
26935,48,Female,White,United-States,1
13621,33,Male,White,United-States,1
1923,21,Female,White,United-States,0
16507,44,Male,White,United-States,0
24890,32,Female,Black,?,0
21852,31,Male,White,United-States,1
18535,31,Male,White,United-States,1
28296,61,Male,White,El-Salvador,1
20649,29,Male,White,United-States,1
10671,17,Male,White,United-States,0
19178,51,Male,Black,United-States,0
1770,29,Male,White,United-States,1
31493,28,Male,White,United-States,1
25309,42,Female,White,United-States,0
28166,36,Male,White,United-States,0
30495,43,Male,White,United-States,1
28124,33,Male,White,?,1
14921,34,Male,White,United-States,0
19083,61,Male,White,United-States,0
12654,40,Male,White,United-States,0
16219,31,Male,White,United-States,0
23582,30,Male,White,United-States,0
17781,42,Female,Amer-Indian-Eskimo,United-States,0
21041,21,Female,White,United-States,0
24287,27,Male,Black,United-States,1
23500,31,Male,White,United-States,0
23939,28,Male,White,Poland,1
9100,24,Male,White,United-States,0
7250,49,Female,White,United-States,1
24546,43,Male,White,United-States,1
16817,66,Female,Other,Puerto-Rico,0
14358,34,Male,White,United-States,1
22339,32,Male,White,Mexico,0
5407,35,Female,White,United-States,0
10600,33,Male,White,United-States,0
7286,47,Male,White,United-States,0
29253,35,Male,White,United-States,1
16257,19,Female,White,United-States,1
21374,44,Male,White,United-States,0
13966,24,Female,White,United-States,0
18020,45,Female,White,United-States,1
19261,29,Male,White,United-States,1
7748,68,Female,White,United-States,0
22071,59,Male,White,United-States,1
29116,22,Male,White,United-States,0
9935,22,Male,White,United-States,1
12964,46,Male,White,United-States,1
24101,33,Male,White,United-States,1
2874,38,Female,White,United-States,0
16613,53,Male,White,United-States,1
21022,26,Male,White,United-States,1
14023,23,Male,White,United-States,0
5144,28,Male,White,United-States,0
1385,45,Male,White,United-States,0
14654,33,Male,White,United-States,0
16052,51,Male,White,United-States,1
4645,45,Male,Black,United-States,0
1616,46,Male,White,United-States,0
20636,23,Male,White,Ireland,0
31183,20,Male,White,United-States,0
1122,34,Male,White,United-States,0
9666,29,Female,White,El-Salvador,0
5777,26,Male,White,United-States,0
7454,34,Male,White,United-States,1
17978,18,Male,White,United-States,0
7765,23,Male,White,United-States,1
4847,34,Male,White,United-States,0
23763,40,Female,White,United-States,0
1684,20,Male,White,United-States,0
16647,49,Male,Black,?,1
32182,50,Male,White,United-States,1
17933,38,Male,White,Mexico,0
19228,57,Female,White,United-States,1
12206,49,Male,White,Mexico,1
13927,60,Male,White,United-States,1
12310,22,Male,White,United-States,0
30504,36,Male,White,United-States,0
2425,34,Male,White,United-States,0
5604,23,Male,White,Philippines,0
31536,29,Female,Black,Haiti,1
15934,33,Female,White,United-States,1
23864,51,Female,White,United-States,1
17597,47,Male,White,United-States,1
26509,45,Female,White,United-States,0
5473,44,Male,White,United-States,1
17491,19,Female,White,United-States,0
13078,56,Male,White,United-States,0
18495,48,Male,White,United-States,0
12877,36,Female,White,United-States,1
3929,46,Male,White,United-States,0
25081,35,Male,White,United-States,1
19583,27,Male,White,United-States,1
17716,29,Female,White,United-States,0
17782,36,Male,White,United-States,1
652,35,Male,Asian-Pac-Islander,Taiwan,1
26441,58,Male,White,United-States,0
10244,20,Female,White,United-States,0
13346,36,Male,White,United-States,0
3580,63,Male,White,United-States,0
22695,33,Female,White,United-States,0
1319,48,Male,White,United-States,1
6111,39,Male,White,United-States,0
665,42,Female,White,United-States,1
31676,34,Male,White,United-States,1
15768,48,Female,Asian-Pac-Islander,Philippines,1
18438,31,Male,Black,?,0
19759,34,Male,Amer-Indian-Eskimo,United-States,0
24421,50,Male,White,United-States,0
1487,25,Female,White,United-States,0
20826,81,Male,White,United-States,0
4049,28,Male,Amer-Indian-Eskimo,United-States,1
24015,58,Female,White,United-States,1
2924,40,Male,White,Canada,1
29359,20,Female,White,United-States,0
20332,21,Male,White,United-States,0
27559,49,Male,White,United-States,0
18371,29,Male,White,United-States,0
25885,28,Male,Black,United-States,1
9448,40,Female,White,United-States,1
26145,25,Female,White,United-States,1
9982,33,Male,White,United-States,1
19009,31,Female,Other,Mexico,1
22566,45,Male,White,United-States,0
23368,52,Male,Black,United-States,0
4418,54,Female,White,United-States,1
16414,38,Male,White,United-States,0
31809,54,Male,White,United-States,1
9880,31,Male,Black,United-States,0
8080,21,Male,White,Mexico,1
13098,32,Male,White,United-States,1
20693,27,Male,White,United-States,1
6431,34,Male,White,United-States,1
20935,26,Female,White,United-States,1
14122,31,Male,White,United-States,1
28210,55,Male,White,United-States,1
13811,56,Male,White,United-States,1
28976,23,Male,White,United-States,1
23183,39,Male,White,United-States,0
4273,72,Female,White,United-States,0
31240,27,Male,White,United-States,0
17409,36,Female,White,United-States,0
9542,47,Female,White,United-States,0
21096,20,Male,Black,United-States,1
18063,17,Male,White,United-States,0
21543,52,Male,White,United-States,1
30589,35,Male,White,United-States,0
8471,38,Male,White,United-States,0
27352,26,Female,White,United-States,0
30581,37,Female,Black,United-States,0
19708,70,Male,White,United-States,1
8372,33,Male,Black,United-States,0
8866,57,Male,Amer-Indian-Eskimo,United-States,0
3639,39,Male,White,United-States,0
23317,33,Male,White,United-States,0
23643,47,Female,White,United-States,0
16119,30,Female,White,United-States,0
22209,26,Male,White,United-States,0
7109,34,Female,White,United-States,0
24476,31,Male,White,United-States,1
6237,55,Male,White,United-States,0
26012,81,Female,White,United-States,0
6356,49,Male,White,United-States,1
16703,30,Male,White,United-States,0
1457,22,Male,White,United-States,1
16111,24,Male,White,United-States,1
29970,20,Female,White,United-States,1
655,29,Female,Asian-Pac-Islander,Philippines,0
2648,32,Female,White,United-States,1
13287,34,Male,White,United-States,0
15283,54,Male,White,United-States,0
24457,39,Male,White,?,0
25134,20,Male,White,United-States,1
25391,31,Male,White,England,0
28828,33,Female,Black,Trinadad&Tobago,0
17940,30,Male,White,United-States,1
20728,37,Male,White,United-States,0
29256,50,Male,Black,United-States,0
898,30,Male,White,United-States,1
11860,38,Male,White,United-States,0
3887,31,Female,White,United-States,1
19905,41,Female,White,United-States,0
14733,45,Male,White,United-States,0
10598,30,Female,White,United-States,1
20309,58,Male,Black,United-States,1
3949,45,Female,White,United-States,0
10269,40,Male,Amer-Indian-Eskimo,United-States,0
10809,25,Male,White,Mexico,0
29759,46,Male,White,United-States,1
16873,34,Female,White,United-States,1
7963,19,Female,White,United-States,1
21563,32,Male,White,United-States,1
13053,24,Female,Black,United-States,0
14675,48,Female,White,United-States,0
13275,27,Male,White,United-States,1
1633,27,Male,White,Mexico,1
9162,34,Female,White,United-States,0
17708,46,Female,White,Mexico,0
6334,36,Male,White,United-States,0
7375,39,Male,Amer-Indian-Eskimo,United-States,0
25612,59,Male,White,United-States,0
21280,36,Male,White,United-States,0
16677,29,Male,White,United-States,0
22519,40,Female,White,United-States,0
5403,32,Male,White,United-States,0
16278,27,Female,White,United-States,0
11791,23,Female,White,United-States,0
6741,31,Male,White,United-States,0
16153,39,Male,White,United-States,0
4156,20,Female,White,?,0
6113,26,Female,White,United-States,1
22404,28,Male,Black,United-States,1
21933,67,Male,White,United-States,0
29258,36,Male,White,United-States,1
3843,20,Male,Amer-Indian-Eskimo,United-States,0
3118,19,Male,White,Mexico,1
4639,30,Male,Black,?,0
13537,33,Male,Black,United-States,1
2805,18,Male,White,United-States,0
26521,28,Male,White,United-States,0
19565,28,Male,White,United-States,0
29213,25,Female,White,United-States,0
15004,36,Male,White,United-States,0
10019,35,Male,White,United-States,0
9445,36,Female,White,United-States,1
6935,60,Male,White,United-States,0
3392,44,Male,White,United-States,1
25230,33,Male,White,United-States,0
10989,60,Male,White,United-States,0
14757,52,Male,White,United-States,0
21627,30,Male,White,England,1
29842,35,Female,White,United-States,0
32543,45,Female,White,United-States,0
21824,34,Male,White,United-States,1
14119,23,Male,White,United-States,1
26458,60,Male,White,United-States,0
27396,38,Female,White,United-States,1
28197,40,Male,White,Germany,0
19807,48,Female,White,United-States,0
26835,23,Male,White,United-States,1
14900,56,Male,White,Portugal,1
13925,33,Male,White,United-States,0
4413,20,Female,White,United-States,0
9253,45,Female,White,United-States,0
