record_id,age,sex,native-country,relationship,is_member
15353,19,Female,United-States,Wife,0
7712,41,Male,United-States,Husband,1
4992,23,Male,United-States,Husband,1
11753,45,Male,United-States,Husband,0
28166,36,Male,United-States,Husband,0
27914,38,Male,Italy,Husband,0
8794,33,Male,United-States,Husband,0
7107,33,Female,United-States,Not-in-family,0
17903,58,Female,United-States,Unmarried,0
24034,42,Male,United-States,Husband,1
14449,25,Female,United-States,Unmarried,1
11933,43,Male,United-States,Husband,1
24567,46,Male,United-States,Not-in-family,0
8766,42,Male,United-States,Not-in-family,1
2497,32,Male,United-States,Husband,0
28681,54,Female,United-States,Not-in-family,0
8179,60,Male,United-States,Not-in-family,1
9235,39,Male,United-States,Husband,1
28055,37,Male,United-States,Husband,0
11339,19,Male,United-States,Not-in-family,0
31421,42,Male,United-States,Unmarried,1
1112,37,Male,United-States,Not-in-family,1
7229,41,Female,United-States,Unmarried,0
12358,35,Female,United-States,Unmarried,1
4845,36,Male,United-States,Husband,0
7317,67,Male,United-States,Husband,0
10544,41,Male,United-States,Not-in-family,0
15596,68,Male,United-States,Husband,1
4716,38,Female,United-States,Unmarried,0
1043,44,Male,United-States,Husband,0
21381,22,Male,United-States,Husband,0
21790,33,Male,United-States,Unmarried,0
28642,30,Male,United-States,Husband,1
18127,36,Male,United-States,Unmarried,0
6067,22,Male,Mexico,Husband,0
11543,65,Male,United-States,Husband,1
20476,24,Male,United-States,Not-in-family,0
22144,57,Male,United-States,Own-child,1
25597,61,Male,United-States,Husband,1
12892,27,Male,United-States,Not-in-family,0
22158,42,Male,United-States,Husband,1
29140,31,Female,United-States,Not-in-family,1
14105,51,Male,United-States,Husband,1
30649,45,Male,United-States,Husband,0
4335,47,Male,United-States,Husband,0
29787,44,Male,United-States,Husband,1
4254,41,Male,United-States,Not-in-family,0
18913,31,Male,United-States,Husband,1
16837,47,Female,United-States,Not-in-family,0
18415,24,Male,Mexico,Not-in-family,1
4107,52,Male,El-Salvador,Not-in-family,1
8300,25,Female,United-States,Own-child,0
28417,34,Male,United-States,Husband,0
29867,47,Female,United-States,Wife,0
28550,43,Male,United-States,Husband,0
22362,52,Male,United-States,Husband,0
24244,32,Male,United-States,Own-child,1
8371,43,Female,United-States,Not-in-family,1
3383,40,Male,United-States,Husband,0
9997,21,Male,United-States,Own-child,0
5384,19,Female,United-States,Not-in-family,0
21538,47,Male,United-States,Husband,1
29903,30,Male,United-States,Not-in-family,1
6949,33,Male,United-States,Husband,1
1023,34,Male,United-States,Husband,0
26939,50,Male,United-States,Husband,0
12763,20,Male,United-States,Not-in-family,1
11083,49,Male,United-States,Husband,1
30318,39,Male,United-States,Husband,1
15746,31,Male,United-States,Husband,0
5691,59,Male,United-States,Not-in-family,1
1655,44,Male,Italy,Husband,0
6462,26,Female,United-States,Not-in-family,1
15506,36,Female,United-States,Unmarried,0
25751,38,Female,United-States,Not-in-family,1
21887,31,Male,United-States,Husband,0
31309,43,Female,United-States,Not-in-family,0
24295,31,Male,United-States,Not-in-family,0
14194,34,Male,China,Own-child,0
11872,34,Female,United-States,Unmarried,1
637,33,Male,United-States,Husband,1
15724,45,Female,United-States,Not-in-family,0
15067,51,Female,United-States,Not-in-family,1
1616,46,Male,United-States,Husband,0
27468,48,Male,United-States,Not-in-family,1
28948,81,Male,United-States,Husband,0
9099,21,Male,United-States,Husband,0
30717,25,Female,United-States,Not-in-family,1
31764,61,Male,United-States,Husband,0
18460,29,Female,United-States,Not-in-family,1
28652,50,Male,United-States,Husband,1
2616,27,Male,Mexico,Not-in-family,0
1298,44,Male,United-States,Own-child,0
31291,25,Female,United-States,Wife,0
7078,42,Female,United-States,Unmarried,1
4855,20,Female,United-States,Own-child,1
20233,51,Female,United-States,Not-in-family,1
26507,19,Female,United-States,Own-child,1
29313,45,Male,United-States,Husband,1
27652,61,Male,United-States,Husband,1
32113,54,Male,United-States,Husband,0
10569,40,Male,United-States,Husband,0
15609,63,Male,?,Husband,0
216,50,Female,United-States,Not-in-family,0
22365,20,Male,United-States,Not-in-family,0
24625,42,Male,United-States,Husband,0
29712,46,Female,United-States,Wife,0
32394,31,Male,United-States,Not-in-family,0
5986,56,Female,United-States,Not-in-family,1
660,44,Male,United-States,Husband,1
22517,21,Female,United-States,Not-in-family,0
6211,41,Female,United-States,Not-in-family,1
423,29,Male,United-States,Not-in-family,0
6980,29,Male,United-States,Husband,1
25798,22,Female,United-States,Own-child,1
6253,42,Male,United-States,Unmarried,0
26805,37,Female,Mexico,Other-relative,0
28229,37,Male,United-States,Husband,0
17448,23,Male,United-States,Not-in-family,1
15127,51,Male,United-States,Husband,1
11353,41,Male,United-States,Own-child,1
27737,34,Male,United-States,Husband,0
29559,44,Female,United-States,Wife,1
21762,67,Female,United-States,Not-in-family,1
20701,57,Female,United-States,Not-in-family,0
8567,57,Female,United-States,Wife,1
29640,35,Male,United-States,Husband,1
28280,17,Female,United-States,Own-child,1
3505,32,Male,United-States,Husband,1
24774,51,Female,United-States,Not-in-family,1
16141,33,Male,?,Husband,0
27200,39,Male,United-States,Husband,0
23755,72,Male,United-States,Not-in-family,1
13730,45,Male,United-States,Husband,1
25424,52,Female,United-States,Wife,1
5769,48,Male,United-States,Husband,1
31808,53,Female,United-States,Unmarried,1
17061,38,Female,United-States,Not-in-family,1
16616,37,Male,United-States,Husband,1
27550,52,Male,United-States,Husband,1
26981,41,Male,United-States,Husband,1
9622,24,Female,United-States,Not-in-family,1
25261,50,Male,United-States,Husband,1
16055,36,Female,United-States,Wife,0
12088,28,Male,United-States,Own-child,0
6528,63,Male,United-States,Husband,0
3640,63,Male,United-States,Not-in-family,1
5625,54,Male,United-States,Husband,1
17964,18,Female,United-States,Own-child,1
28670,32,Female,United-States,Not-in-family,0
17471,39,Female,United-States,Unmarried,0
21332,23,Male,United-States,Own-child,0
32433,41,Male,United-States,Husband,1
11794,36,Female,United-States,Own-child,0
12173,55,Female,United-States,Other-relative,1
30548,18,Male,United-States,Own-child,1
12293,46,Male,United-States,Husband,1
28946,56,Male,United-States,Husband,0
5472,23,Male,United-States,Own-child,0
26237,52,Male,United-States,Not-in-family,1
12022,37,Male,United-States,Husband,0
19305,37,Male,United-States,Own-child,1
5216,28,Male,United-States,Not-in-family,0
14361,56,Female,United-States,Wife,1
13508,51,Female,United-States,Not-in-family,1
16584,26,Female,United-States,Own-child,1
29184,29,Male,Ecuador,Not-in-family,0
8102,44,Male,United-States,Husband,1
8254,39,Female,United-States,Own-child,1
4675,32,Male,United-States,Husband,1
19147,44,Female,United-States,Wife,0
12140,27,Male,United-States,Husband,1
15633,58,Male,United-States,Husband,1
20655,55,Male,United-States,Not-in-family,1
1966,21,Male,United-States,Own-child,1
14489,23,Male,United-States,Not-in-family,1
27851,34,Male,United-States,Own-child,1
14429,51,Male,United-States,Unmarried,1
13441,32,Male,United-States,Own-child,0
9571,49,Female,United-States,Unmarried,1
8903,40,Male,?,Husband,1
26012,81,Female,United-States,Unmarried,0
14613,39,Male,United-States,Not-in-family,0
24797,36,Male,Mexico,Husband,0
31498,35,Male,United-States,Husband,1
18843,35,Female,United-States,Not-in-family,0
13314,39,Female,United-States,Not-in-family,1
7781,52,Male,United-States,Husband,0
18689,32,Female,United-States,Not-in-family,1
9299,48,Male,United-States,Husband,0
8732,22,Male,United-States,Not-in-family,1
5545,21,Male,United-States,Own-child,0
3298,25,Female,United-States,Unmarried,0
27081,62,Male,United-States,Not-in-family,0
18014,36,Male,United-States,Husband,0
3926,52,Male,United-States,Not-in-family,1
31054,50,Male,United-States,Husband,0
13658,34,Male,United-States,Unmarried,0
26619,27,Female,United-States,Wife,1
15749,49,Male,United-States,Husband,1
202,51,Male,United-States,Husband,1
15170,25,Male,United-States,Not-in-family,0
22182,39,Male,United-States,Husband,1
30751,27,Male,United-States,Husband,0
15968,38,Male,United-States,Husband,0
22501,20,Male,United-States,Own-child,0
8394,41,Male,United-States,Husband,0
24608,30,Male,United-States,Own-child,1
22695,33,Female,United-States,Unmarried,0
25400,49,Female,United-States,Not-in-family,0
9226,42,Female,United-States,Unmarried,0
29032,47,Male,United-States,Husband,0
5761,37,Male,United-States,Husband,1
5077,35,Female,United-States,Not-in-family,1
24418,23,Male,United-States,Other-relative,0
6156,20,Male,United-States,Own-child,0
9152,32,Male,United-States,Husband,0
19917,31,Male,United-States,Husband,0
8840,53,Male,United-States,Husband,0
5394,43,Male,United-States,Husband,1
21374,44,Male,United-States,Husband,0
3004,25,Female,United-States,Not-in-family,1
25997,38,Female,United-States,Wife,0
3545,29,Female,United-States,Not-in-family,1
11222,51,Male,United-States,Husband,1
16904,48,Female,United-States,Own-child,0
7002,35,Female,United-States,Own-child,1
22542,42,Male,United-States,Husband,0
7668,23,Male,United-States,Unmarried,0
12198,18,Male,United-States,Own-child,1
10059,32,Male,United-States,Husband,0
32286,28,Female,United-States,Own-child,0
26337,45,Male,United-States,Husband,1
22296,23,Female,United-States,Not-in-family,1
13110,22,Female,United-States,Own-child,1
6004,52,Male,United-States,Husband,1
6425,44,Male,United-States,Husband,0
27958,31,Male,United-States,Not-in-family,0
5925,57,Male,United-States,Husband,0
26954,46,Female,United-States,Unmarried,1
9894,50,Male,United-States,Not-in-family,1
23763,40,Female,United-States,Not-in-family,0
13995,29,Male,United-States,Not-in-family,0
21572,33,Male,United-States,Husband,1
14467,38,Male,United-States,Husband,1
22665,40,Male,United-States,Husband,0
7688,30,Male,?,Husband,1
181,43,Female,United-States,Not-in-family,1
29714,26,Female,United-States,Own-child,0
3756,39,Female,United-States,Unmarried,1
12687,65,Female,United-States,Unmarried,1
12422,17,Female,United-States,Own-child,1
2140,54,Female,United-States,Unmarried,0
14198,61,Male,United-States,Husband,0
23094,32,Male,United-States,Not-in-family,1
22217,53,Male,United-States,Husband,0
15434,29,Female,United-States,Unmarried,1
6823,35,Male,United-States,Husband,1
4792,32,Male,United-States,Husband,1
1406,30,Male,United-States,Own-child,0
9260,35,Male,United-States,Husband,1
31281,46,Male,United-States,Husband,1
16414,38,Male,United-States,Husband,0
3356,29,Female,United-States,Own-child,1
3174,41,Male,United-States,Husband,1
4910,41,Male,United-States,Husband,1
17872,41,Male,United-States,Not-in-family,1
20579,42,Male,United-States,Husband,0
30888,43,Male,United-States,Husband,1
11883,44,Male,United-States,Not-in-family,1
