record_id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
58,*,Private-sector,147372,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,48,North-America,<=50K
59,*,Private-sector,188146,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,5013,0,40,North-America,<=50K
60,*,Private-sector,59496,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,2407,0,40,North-America,<=50K
62,*,Private-sector,149640,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
63,*,Private-sector,116632,Higher-education,16,Married-spouse-present,Non-manual,Husband,White,Male,0,0,45,North-America,>50K
64,*,Private-sector,105598,Higher-education,10,Previously-married,Non-manual,Not-in-family,White,Male,0,0,58,North-America,<=50K
65,*,Private-sector,155537,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
66,*,Private-sector,183175,Higher-education,10,Previously-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
67,*,Private-sector,169846,Pre-higher-education,9,Married-spouse-present,Non-manual,Wife,White,Female,0,0,40,North-America,>50K
68,*,Self-employed,191681,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,>50K
69,*,Unknown,200681,Higher-education,10,Never-married,Unknown,Own-child,White,Male,0,0,40,North-America,<=50K
70,*,Private-sector,101509,Higher-education,10,Never-married,Non-manual,Own-child,White,Male,0,0,32,North-America,<=50K
71,*,Private-sector,309974,Higher-education,13,Previously-married,Non-manual,Own-child,Non-White,Female,0,0,40,North-America,<=50K
72,*,Self-employed,162298,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,70,North-America,>50K
73,*,Private-sector,211678,Higher-education,10,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
74,*,Private-sector,124744,Higher-education,10,Married-spouse-present,Non-manual,Other-relative,White,Male,0,0,20,North-America,<=50K
75,*,Private-sector,213921,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,40,Central-America,<=50K
76,*,Private-sector,32214,Higher-education,12,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,<=50K
77,*,Unknown,212759,Pre-higher-education,6,Married-spouse-present,Unknown,Husband,White,Male,0,0,2,North-America,<=50K
78,*,Private-sector,309634,Pre-higher-education,7,Never-married,Manual-or-service,Own-child,White,Female,0,0,22,North-America,<=50K
79,*,Government,125927,Pre-higher-education,4,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
80,*,Private-sector,446839,Pre-higher-education,9,Never-married,Non-manual,Not-in-family,White,Male,0,0,30,North-America,<=50K
81,*,Private-sector,276515,Higher-education,13,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,Caribbean,<=50K
82,*,Private-sector,51618,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Wife,White,Female,0,0,40,North-America,<=50K
83,*,Private-sector,159937,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,48,North-America,<=50K
84,*,Private-sector,343591,Pre-higher-education,9,Previously-married,Manual-or-service,Not-in-family,White,Female,14344,0,40,North-America,>50K
85,*,Private-sector,346253,Pre-higher-education,9,Previously-married,Non-manual,Own-child,White,Female,0,0,35,North-America,<=50K
86,*,Government,268234,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,>50K
87,*,Private-sector,202051,Higher-education,14,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,<=50K
88,*,Private-sector,54334,Pre-higher-education,5,Never-married,Non-manual,Not-in-family,White,Male,0,0,40,North-America,<=50K
89,*,Government,410867,Higher-education,16,Never-married,Non-manual,Not-in-family,White,Female,0,0,50,North-America,>50K
90,*,Private-sector,249977,Higher-education,11,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,<=50K
91,*,Private-sector,286730,Higher-education,10,Previously-married,Manual-or-service,Unmarried,White,Female,0,0,40,North-America,<=50K
94,*,Government,226296,Higher-education,13,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,>50K
95,*,Government,115585,Higher-education,10,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,50,North-America,<=50K
96,*,Self-employed,191277,Higher-education,16,Married-spouse-present,Non-manual,Husband,White,Male,0,1902,60,North-America,>50K
97,*,Private-sector,202683,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,48,North-America,>50K
99,*,Government,249409,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,Non-White,Male,0,0,40,North-America,<=50K
100,*,Private-sector,124191,Higher-education,14,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
101,*,Private-sector,198282,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,15024,0,60,North-America,>50K
102,*,Self-employed,149116,Higher-education,14,Never-married,Non-manual,Not-in-family,White,Female,0,0,50,North-America,<=50K
103,*,Private-sector,188300,Higher-education,10,Never-married,Non-manual,Own-child,White,Female,0,0,40,North-America,<=50K
104,*,Private-sector,103432,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
105,*,Self-employed,317660,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,7688,0,40,North-America,>50K
107,*,Private-sector,194901,Pre-higher-education,7,Never-married,Manual-or-service,Own-child,White,Male,0,0,40,North-America,<=50K
109,*,Private-sector,124692,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
110,*,Private-sector,432376,Higher-education,13,Never-married,Non-manual,Other-relative,White,Male,0,0,40,North-America,<=50K
111,*,Private-sector,65324,Higher-education,15,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
112,*,Self-employed,335605,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,1887,50,North-America,>50K
113,*,Private-sector,377869,Higher-education,10,Married-spouse-present,Non-manual,Wife,White,Female,4064,0,25,North-America,<=50K
114,*,Private-sector,102864,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Female,0,0,40,North-America,<=50K
115,*,Private-sector,95647,Pre-higher-education,5,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,50,North-America,<=50K
116,*,Self-employed,303090,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,<=50K
117,*,Government,197371,Higher-education,11,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,>50K
118,*,Private-sector,247552,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,56,North-America,<=50K
119,*,Private-sector,102632,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,41,North-America,<=50K
120,*,Private-sector,199915,Higher-education,10,Never-married,Manual-or-service,Own-child,White,Female,0,0,40,North-America,<=50K
121,*,Private-sector,118853,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,60,North-America,<=50K
123,*,Government,267989,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,>50K
124,*,Private-sector,301606,Higher-education,10,Never-married,Manual-or-service,Own-child,Non-White,Male,0,0,35,North-America,<=50K
125,*,Private-sector,287828,Higher-education,13,Married-spouse-present,Non-manual,Wife,White,Female,0,0,40,North-America,>50K
126,*,Private-sector,111697,Higher-education,10,Never-married,Non-manual,Own-child,White,Female,0,1719,28,North-America,<=50K
127,*,Private-sector,114937,Higher-education,12,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
128,*,Unknown,129305,Pre-higher-education,9,Married-spouse-present,Unknown,Husband,White,Male,0,0,40,North-America,<=50K
129,*,Private-sector,365739,Higher-education,10,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
130,*,Private-sector,69621,Higher-education,12,Never-married,Non-manual,Not-in-family,White,Female,0,0,60,North-America,<=50K
131,*,Private-sector,43323,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Female,0,1762,40,North-America,<=50K
132,*,Self-employed,120985,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,4386,0,35,North-America,<=50K
133,*,Private-sector,254202,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,<=50K
134,*,Private-sector,146195,Higher-education,12,Previously-married,Non-manual,Not-in-family,Non-White,Female,0,0,36,North-America,<=50K
136,*,Self-employed,56920,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,60,North-America,<=50K
137,*,Private-sector,163127,Higher-education,11,Married-spouse-present,Non-manual,Wife,White,Female,0,0,35,North-America,<=50K
138,*,Private-sector,34310,Higher-education,10,Never-married,Non-manual,Own-child,White,Male,0,0,20,North-America,<=50K
139,*,Private-sector,81973,Higher-education,10,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,>50K
140,*,Self-employed,66614,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
141,*,Private-sector,232782,Higher-education,10,Never-married,Non-manual,Own-child,White,Female,0,0,40,North-America,<=50K
142,*,Private-sector,316868,Higher-education,10,Never-married,Manual-or-service,Own-child,White,Male,0,0,30,Central-America,<=50K
143,*,Private-sector,196584,Higher-education,11,Never-married,Non-manual,Not-in-family,White,Female,0,1564,40,North-America,>50K
144,*,Private-sector,105376,Higher-education,10,Never-married,Non-manual,Other-relative,White,Male,0,0,40,North-America,<=50K
146,*,Private-sector,175374,Higher-education,10,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,24,North-America,<=50K
147,*,Private-sector,108293,Pre-higher-education,9,Previously-married,Manual-or-service,Unmarried,White,Female,0,0,24,North-America,<=50K
148,*,Private-sector,181232,Pre-higher-education,7,Married-spouse-present,Manual-or-service,Husband,White,Male,0,2179,40,North-America,<=50K
149,*,Unknown,174662,Higher-education,10,Previously-married,Unknown,Not-in-family,White,Female,0,0,40,North-America,<=50K
151,*,Private-sector,198183,Pre-higher-education,9,Never-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
152,*,Private-sector,163003,Higher-education,13,Never-married,Non-manual,Other-relative,Non-White,Female,0,0,40,Southeast-Asia,<=50K
153,*,Private-sector,296158,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,35,North-America,<=50K
154,*,Unknown,252903,Pre-higher-education,9,Previously-married,Unknown,Not-in-family,White,Male,0,0,45,North-America,>50K
155,*,Private-sector,187715,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,46,North-America,<=50K
156,*,Private-sector,214542,Higher-education,13,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
158,*,Private-sector,191535,Pre-higher-education,9,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,60,North-America,<=50K
159,*,Private-sector,228456,Higher-education,13,Previously-married,Manual-or-service,Other-relative,Non-White,Male,0,0,50,North-America,<=50K
160,*,Unknown,38317,Pre-higher-education,2,Previously-married,Unknown,Not-in-family,White,Female,0,0,20,North-America,<=50K
161,*,Private-sector,252752,Pre-higher-education,9,Never-married,Manual-or-service,Unmarried,White,Female,0,0,40,North-America,<=50K
162,*,Self-employed,78374,Higher-education,14,Previously-married,Non-manual,Unmarried,Non-White,Female,0,0,40,North-America,<=50K
164,*,Self-employed,201080,Higher-education,14,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
166,*,Government,235485,Higher-education,12,Never-married,Non-manual,Not-in-family,White,Male,0,0,42,North-America,<=50K
167,*,Government,102628,Higher-education,14,Previously-married,Manual-or-service,Unmarried,White,Male,0,0,40,North-America,<=50K
168,*,Private-sector,25828,Pre-higher-education,7,Never-married,Manual-or-service,Own-child,White,Male,0,0,16,North-America,<=50K
169,*,Government,54826,Higher-education,11,Previously-married,Non-manual,Not-in-family,White,Female,0,0,20,North-America,<=50K
170,*,Private-sector,124953,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Male,0,1980,40,North-America,<=50K
171,*,Government,175325,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
172,*,Private-sector,96062,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,1977,40,North-America,>50K
173,*,Private-sector,428030,Higher-education,13,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,50,North-America,<=50K
174,*,Government,149624,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
176,*,Private-sector,312956,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,Non-White,Male,0,0,40,North-America,<=50K
177,*,Private-sector,483777,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,Non-White,Male,0,0,40,North-America,<=50K
178,*,Private-sector,183930,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,12,North-America,<=50K
179,*,Private-sector,37274,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,65,North-America,<=50K
180,*,Government,181344,Higher-education,10,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,38,North-America,>50K
181,*,Private-sector,114580,Higher-education,10,Previously-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
182,*,Private-sector,633742,Higher-education,10,Never-married,Manual-or-service,Not-in-family,Non-White,Male,0,0,45,North-America,<=50K
183,*,Private-sector,286370,Pre-higher-education,4,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,Central-America,>50K
184,*,Government,29054,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,42,North-America,>50K
185,*,Private-sector,304030,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,40,North-America,<=50K
186,*,Self-employed,143129,Higher-education,13,Previously-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
187,*,Unknown,135105,Higher-education,13,Previously-married,Unknown,Not-in-family,White,Female,0,0,50,North-America,<=50K
188,*,Private-sector,99928,Higher-education,14,Married-spouse-present,Non-manual,Wife,White,Female,0,0,50,North-America,<=50K
189,*,Government,109567,Higher-education,16,Married-spouse-present,Non-manual,Husband,White,Male,0,0,1,North-America,>50K
191,*,Private-sector,159567,Higher-education,10,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
192,*,Government,523910,Higher-education,13,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,<=50K
193,*,Private-sector,120939,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,45,North-America,<=50K
194,*,Government,130760,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,24,North-America,<=50K
195,*,Private-sector,197387,Pre-higher-education,3,Married-spouse-present,Manual-or-service,Other-relative,White,Male,0,0,40,Central-America,<=50K
196,*,Private-sector,99374,Higher-education,10,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
197,*,Government,56795,Higher-education,14,Never-married,Non-manual,Not-in-family,White,Female,14084,0,55,North-America,>50K
198,*,Private-sector,138992,Higher-education,14,Married-spouse-present,Non-manual,Other-relative,White,Male,7298,0,40,North-America,>50K
199,*,Self-employed,32921,Pre-higher-education,9,Never-married,Non-manual,Not-in-family,White,Male,0,0,40,North-America,<=50K
200,*,Private-sector,397317,Higher-education,14,Never-married,Non-manual,Not-in-family,White,Female,0,1876,40,North-America,<=50K
202,*,Private-sector,259323,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,>50K
203,*,Government,254817,Higher-education,10,Never-married,Non-manual,Not-in-family,White,Female,0,1340,40,North-America,<=50K
204,*,Government,48211,Pre-higher-education,9,Previously-married,Non-manual,Unmarried,White,Female,0,0,35,North-America,<=50K
205,*,Private-sector,140164,Pre-higher-education,7,Never-married,Non-manual,Own-child,White,Female,0,0,40,North-America,<=50K
206,*,Private-sector,128757,Higher-education,13,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,7298,0,36,North-America,>50K
207,*,Private-sector,36270,Pre-higher-education,9,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,60,North-America,<=50K
208,*,Self-employed,210563,Pre-higher-education,9,Married-spouse-present,Non-manual,Wife,White,Female,15024,0,35,North-America,>50K
209,*,Private-sector,65368,Pre-higher-education,7,Never-married,Non-manual,Own-child,White,Female,0,0,12,North-America,<=50K
210,*,Government,160943,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,<=50K
211,*,Private-sector,208358,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,>50K
212,*,Private-sector,153790,Higher-education,10,Never-married,Non-manual,Not-in-family,Non-White,Female,0,0,40,North-America,<=50K
213,*,Private-sector,85815,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,<=50K
214,*,Self-employed,125417,Pre-higher-education,4,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,>50K
215,*,Private-sector,635913,Higher-education,13,Never-married,Non-manual,Not-in-family,Non-White,Male,0,0,60,North-America,>50K
216,*,Private-sector,313321,Higher-education,12,Previously-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
217,*,Private-sector,182609,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,Eastern-Southern-Europe,<=50K
218,*,Private-sector,109434,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,55,North-America,<=50K
219,*,Private-sector,255004,Pre-higher-education,6,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
220,*,Private-sector,197860,Higher-education,10,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
221,*,Unknown,187656,Pre-higher-education,2,Previously-married,Unknown,Not-in-family,White,Male,0,0,40,North-America,<=50K
222,*,Private-sector,51744,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,Non-White,Male,0,2206,40,North-America,<=50K
223,*,Private-sector,176681,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,20,North-America,<=50K
224,*,Government,140359,Pre-higher-education,1,Never-married,Manual-or-service,Not-in-family,White,Female,0,0,35,North-America,<=50K
225,*,Private-sector,243313,Pre-higher-education,9,Never-married,Non-manual,Own-child,White,Female,0,0,40,North-America,<=50K
227,*,Self-employed,167687,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,1409,0,50,North-America,<=50K
229,*,Private-sector,176796,Pre-higher-education,9,Previously-married,Non-manual,Not-in-family,White,Female,0,0,40,North-America,<=50K
230,*,Private-sector,538583,Pre-higher-education,7,Previously-married,Manual-or-service,Not-in-family,Non-White,Male,3674,0,40,North-America,<=50K
231,*,Private-sector,130408,Pre-higher-education,9,Previously-married,Non-manual,Unmarried,Non-White,Female,0,0,38,North-America,<=50K
232,*,Private-sector,159732,Higher-education,10,Never-married,Non-manual,Not-in-family,White,Male,0,0,42,North-America,<=50K
234,*,Private-sector,76714,Higher-education,15,Never-married,Non-manual,Not-in-family,White,Male,0,0,55,North-America,>50K
235,*,Government,268700,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
236,*,Government,170525,Higher-education,10,Never-married,Non-manual,Not-in-family,White,Female,0,0,38,North-America,<=50K
237,*,Private-sector,180138,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,Middle-East,>50K
238,*,Government,115076,Higher-education,14,Married-spouse-present,Non-manual,Husband,White,Male,0,0,70,North-America,>50K
239,*,Private-sector,115458,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,40,North-America,<=50K
240,*,Private-sector,347890,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
241,*,Self-employed,196001,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Wife,White,Female,0,0,20,North-America,<=50K
242,*,Government,273905,Higher-education,12,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,50,North-America,<=50K
243,*,Unknown,119156,Higher-education,10,Never-married,Unknown,Own-child,White,Male,0,0,20,North-America,<=50K
244,*,Private-sector,179488,Higher-education,10,Previously-married,Manual-or-service,Not-in-family,White,Male,0,1741,40,North-America,<=50K
245,*,Private-sector,203580,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,35,Unknown,<=50K
246,*,Private-sector,236596,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,45,North-America,>50K
247,*,Private-sector,183916,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Female,0,0,34,North-America,<=50K
248,*,Private-sector,207578,Higher-education,12,Married-spouse-present,Non-manual,Husband,White,Male,0,1977,60,North-America,>50K
249,*,Private-sector,153141,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,Unknown,<=50K
250,*,Private-sector,112763,Higher-education,15,Married-spouse-present,Non-manual,Wife,White,Female,0,0,40,North-America,>50K
