target_id,known_values,qid_filter_values,refine_values,qid_exposed_values,qid_equivalence_class_size,stage1_equivalence_class_size,reduced_equivalence_class_size,stage2_equivalence_class_size,equivalence_class_size,equivalence_class_reduction,equivalence_class_reduction_rate,true_record_in_qid_class,true_record_in_reduced_class,unique_reidentified,false_unique_match,true_sensitive_value,predicted_sensitive_top_value,predicted_sensitive_top_probability,true_sensitive_probability,sensitive_value_certain,n_distinct_sensitive_values,sensitive_distribution_json
30695,sex=Male | race=White | age=47,age=47,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
1967,sex=Female | race=Black | age=28,age=28,sex=Female | race=Black,age=20-29,7354,7354,342,342,342,7012,0.953495,True,True,False,False,<=50K,<=50K,0.973684,0.973684,False,2,"{""<=50K"": 0.973684, "">50K"": 0.026316}"
26146,sex=Male | race=White | age=31,age=31,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
9980,sex=Male | race=White | age=29,age=29,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
2806,sex=Male | race=White | age=47,age=47,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
25206,sex=Female | race=White | age=47,age=47,sex=Female | race=White,age=40-49,6745,6745,1566,1566,1566,5179,0.767828,True,True,False,False,<=50K,<=50K,0.809706,0.809706,False,2,"{""<=50K"": 0.809706, "">50K"": 0.190294}"
16693,sex=Male | race=White | age=21,age=21,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
19968,sex=Male | race=White | age=45,age=45,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
18435,sex=Male | race=White | age=36,age=36,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
11514,sex=Male | race=White | age=42,age=42,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
22183,sex=Male | race=White | age=59,age=59,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,<=50K,<=50K,0.513031,0.513031,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
26462,sex=Male | race=White | age=60,age=60,sex=Male | race=White,age=60-69,1876,1876,1218,1218,1218,658,0.350746,True,True,False,False,<=50K,<=50K,0.652709,0.652709,False,2,"{""<=50K"": 0.652709, "">50K"": 0.347291}"
27966,sex=Male | race=White | age=30,age=30,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
9058,sex=Female | race=White | age=27,age=27,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
4490,sex=Male | race=White | age=29,age=29,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
16752,sex=Male | race=White | age=42,age=42,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
31560,sex=Female | race=White | age=40,age=40,sex=Female | race=White,age=40-49,6745,6745,1566,1566,1566,5179,0.767828,True,True,False,False,<=50K,<=50K,0.809706,0.809706,False,2,"{""<=50K"": 0.809706, "">50K"": 0.190294}"
19236,sex=Female | race=White | age=17,age=17,sex=Female | race=White,age=10-19,1324,1324,649,649,649,675,0.509819,True,True,False,False,<=50K,<=50K,0.998459,0.998459,False,2,"{""<=50K"": 0.998459, "">50K"": 0.001541}"
15873,sex=Male | race=White | age=58,age=58,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
4526,sex=Female | race=Black | age=47,age=47,sex=Female | race=Black,age=40-49,6745,6745,336,336,336,6409,0.950185,True,True,False,False,<=50K,<=50K,0.880952,0.880952,False,2,"{""<=50K"": 0.880952, "">50K"": 0.119048}"
31158,sex=Female | race=Black | age=37,age=37,sex=Female | race=Black,age=30-39,8051,8051,429,429,429,7622,0.946715,True,True,False,False,<=50K,<=50K,0.939394,0.939394,False,2,"{""<=50K"": 0.939394, "">50K"": 0.060606}"
31740,sex=Male | race=White | age=40,age=40,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
22264,sex=Female | race=White | age=31,age=31,sex=Female | race=White,age=30-39,8051,8051,1831,1831,1831,6220,0.772575,True,True,False,False,<=50K,<=50K,0.823048,0.823048,False,2,"{""<=50K"": 0.823048, "">50K"": 0.176952}"
28642,sex=Male | race=White | age=30,age=30,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,>50K,<=50K,0.670382,0.329618,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
16445,sex=Female | race=White | age=52,age=52,sex=Female | race=White,age=50-59,4106,4106,916,916,916,3190,0.776912,True,True,False,False,<=50K,<=50K,0.805677,0.805677,False,2,"{""<=50K"": 0.805677, "">50K"": 0.194323}"
23646,sex=Male | race=White | age=42,age=42,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
10980,sex=Male | race=White | age=54,age=54,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
8918,sex=Male | race=White | age=34,age=34,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,>50K,<=50K,0.670382,0.329618,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
14668,sex=Male | race=White | age=30,age=30,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,>50K,<=50K,0.670382,0.329618,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
817,sex=Male | race=White | age=56,age=56,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
3226,sex=Male | race=White | age=58,age=58,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,<=50K,<=50K,0.513031,0.513031,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
31921,sex=Female | race=White | age=25,age=25,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
4794,sex=Male | race=White | age=48,age=48,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
11302,sex=Male | race=White | age=43,age=43,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
26219,sex=Male | race=White | age=42,age=42,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
19910,sex=Male | race=White | age=36,age=36,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
15964,sex=Female | race=White | age=55,age=55,sex=Female | race=White,age=50-59,4106,4106,916,916,916,3190,0.776912,True,True,False,False,<=50K,<=50K,0.805677,0.805677,False,2,"{""<=50K"": 0.805677, "">50K"": 0.194323}"
5779,sex=Male | race=Black | age=33,age=33,sex=Male | race=Black,age=30-39,8051,8051,381,381,381,7670,0.952677,True,True,False,False,<=50K,<=50K,0.816273,0.816273,False,2,"{""<=50K"": 0.816273, "">50K"": 0.183727}"
9033,sex=Male | race=White | age=41,age=41,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
6743,sex=Male | race=White | age=39,age=39,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
3212,sex=Male | race=White | age=49,age=49,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
3780,sex=Female | race=White | age=51,age=51,sex=Female | race=White,age=50-59,4106,4106,916,916,916,3190,0.776912,True,True,False,False,<=50K,<=50K,0.805677,0.805677,False,2,"{""<=50K"": 0.805677, "">50K"": 0.194323}"
22588,sex=Male | race=White | age=36,age=36,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
20735,sex=Female | race=White | age=37,age=37,sex=Female | race=White,age=30-39,8051,8051,1831,1831,1831,6220,0.772575,True,True,False,False,>50K,<=50K,0.823048,0.176952,False,2,"{""<=50K"": 0.823048, "">50K"": 0.176952}"
30001,sex=Male | race=Black | age=27,age=27,sex=Male | race=Black,age=20-29,7354,7354,399,399,399,6955,0.945744,True,True,False,False,<=50K,<=50K,0.952381,0.952381,False,2,"{""<=50K"": 0.952381, "">50K"": 0.047619}"
16715,sex=Male | race=White | age=41,age=41,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
1597,sex=Female | race=Black | age=37,age=37,sex=Female | race=Black,age=30-39,8051,8051,429,429,429,7622,0.946715,True,True,False,False,<=50K,<=50K,0.939394,0.939394,False,2,"{""<=50K"": 0.939394, "">50K"": 0.060606}"
22483,sex=Male | race=Black | age=26,age=26,sex=Male | race=Black,age=20-29,7354,7354,399,399,399,6955,0.945744,True,True,False,False,<=50K,<=50K,0.952381,0.952381,False,2,"{""<=50K"": 0.952381, "">50K"": 0.047619}"
26062,sex=Female | race=White | age=23,age=23,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
18510,sex=Female | race=White | age=21,age=21,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
28314,sex=Male | race=White | age=45,age=45,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
10531,sex=Female | race=White | age=60,age=60,sex=Female | race=White,age=60-69,1876,1876,471,471,471,1405,0.748934,True,True,False,False,<=50K,<=50K,0.89172,0.89172,False,2,"{""<=50K"": 0.89172, "">50K"": 0.10828}"
14506,sex=Male | race=White | age=57,age=57,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,<=50K,<=50K,0.513031,0.513031,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
26311,sex=Male | race=White | age=35,age=35,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
14486,sex=Female | race=White | age=27,age=27,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
1126,sex=Male | race=White | age=35,age=35,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,>50K,<=50K,0.670382,0.329618,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
2878,sex=Male | race=White | age=31,age=31,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
914,sex=Male | race=Black | age=23,age=23,sex=Male | race=Black,age=20-29,7354,7354,399,399,399,6955,0.945744,True,True,False,False,<=50K,<=50K,0.952381,0.952381,False,2,"{""<=50K"": 0.952381, "">50K"": 0.047619}"
24315,sex=Male | race=White | age=53,age=53,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
22758,sex=Male | race=White | age=36,age=36,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
340,sex=Male | race=White | age=26,age=26,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
1964,sex=Male | race=White | age=28,age=28,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
31451,sex=Female | race=White | age=36,age=36,sex=Female | race=White,age=30-39,8051,8051,1831,1831,1831,6220,0.772575,True,True,False,False,>50K,<=50K,0.823048,0.176952,False,2,"{""<=50K"": 0.823048, "">50K"": 0.176952}"
378,sex=Male | race=White | age=46,age=46,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
29173,sex=Male | race=White | age=61,age=61,sex=Male | race=White,age=60-69,1876,1876,1218,1218,1218,658,0.350746,True,True,False,False,>50K,<=50K,0.652709,0.347291,False,2,"{""<=50K"": 0.652709, "">50K"": 0.347291}"
4246,sex=Female | race=White | age=39,age=39,sex=Female | race=White,age=30-39,8051,8051,1831,1831,1831,6220,0.772575,True,True,False,False,>50K,<=50K,0.823048,0.176952,False,2,"{""<=50K"": 0.823048, "">50K"": 0.176952}"
21163,sex=Male | race=White | age=42,age=42,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
12238,sex=Male | race=Black | age=40,age=40,sex=Male | race=Black,age=40-49,6745,6745,333,333,333,6412,0.95063,True,True,False,False,<=50K,<=50K,0.663664,0.663664,False,2,"{""<=50K"": 0.663664, "">50K"": 0.336336}"
16269,sex=Male | race=White | age=50,age=50,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
30881,sex=Male | race=White | age=20,age=20,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
1335,sex=Female | race=White | age=33,age=33,sex=Female | race=White,age=30-39,8051,8051,1831,1831,1831,6220,0.772575,True,True,False,False,<=50K,<=50K,0.823048,0.823048,False,2,"{""<=50K"": 0.823048, "">50K"": 0.176952}"
2436,sex=Male | race=White | age=31,age=31,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
25313,sex=Male | race=White | age=47,age=47,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
2306,sex=Male | race=White | age=42,age=42,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
471,sex=Male | race=White | age=22,age=22,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
10938,sex=Female | race=White | age=28,age=28,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
11187,sex=Female | race=White | age=65,age=65,sex=Female | race=White,age=60-69,1876,1876,471,471,471,1405,0.748934,True,True,False,False,<=50K,<=50K,0.89172,0.89172,False,2,"{""<=50K"": 0.89172, "">50K"": 0.10828}"
14542,sex=Male | race=White | age=47,age=47,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
10348,sex=Male | race=White | age=26,age=26,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
22440,sex=Male | race=White | age=36,age=36,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
18584,sex=Female | race=White | age=33,age=33,sex=Female | race=White,age=30-39,8051,8051,1831,1831,1831,6220,0.772575,True,True,False,False,<=50K,<=50K,0.823048,0.823048,False,2,"{""<=50K"": 0.823048, "">50K"": 0.176952}"
