target_id,known_values,qid_filter_values,refine_values,qid_exposed_values,qid_equivalence_class_size,stage1_equivalence_class_size,reduced_equivalence_class_size,stage2_equivalence_class_size,equivalence_class_size,equivalence_class_reduction,equivalence_class_reduction_rate,true_record_in_qid_class,true_record_in_reduced_class,unique_reidentified,false_unique_match,true_sensitive_value,predicted_sensitive_top_value,predicted_sensitive_top_probability,true_sensitive_probability,sensitive_value_certain,n_distinct_sensitive_values,sensitive_distribution_json
3684,age=46 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=46 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,318,318,318,28831,0.989091,True,True,False,False,<=50K,>50K,0.597484,0.402516,False,2,"{"">50K"": 0.597484, ""<=50K"": 0.402516}"
27876,age=43 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=43 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,345,345,345,28804,0.988164,True,True,False,False,>50K,<=50K,0.533333,0.466667,False,2,"{""<=50K"": 0.533333, "">50K"": 0.466667}"
22979,age=30 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=30 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,273,273,273,28876,0.990634,True,True,False,False,<=50K,<=50K,0.648352,0.648352,False,2,"{""<=50K"": 0.648352, "">50K"": 0.351648}"
24196,age=42 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=42 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,329,329,329,28820,0.988713,True,True,False,False,>50K,<=50K,0.50152,0.49848,False,2,"{""<=50K"": 0.50152, "">50K"": 0.49848}"
5019,age=22 | sex=Male | native-country=Mexico | relationship=Not-in-family | capital-loss=0,native-country=Mexico,age=22 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=Central-America,573,573,5,5,5,568,0.991274,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
22133,age=56 | sex=Female | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=56 | sex=Female | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,45,45,45,29104,0.998456,True,True,False,False,<=50K,<=50K,0.866667,0.866667,False,2,"{""<=50K"": 0.866667, "">50K"": 0.133333}"
16457,age=55 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=55 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,200,200,200,28949,0.993139,True,True,False,False,>50K,>50K,0.505,0.505,False,2,"{"">50K"": 0.505, ""<=50K"": 0.495}"
8737,age=46 | sex=Male | native-country=United-States | relationship=Unmarried | capital-loss=2258,native-country=United-States,age=46 | sex=Male | relationship=Unmarried | capital-loss=2258,native-country=North-America,29149,29149,1,1,1,29148,0.999966,True,True,True,False,>50K,>50K,1.0,1.0,True,1,"{"">50K"": 1.0}"
10563,age=23 | sex=Male | native-country=United-States | relationship=Own-child | capital-loss=0,native-country=United-States,age=23 | sex=Male | relationship=Own-child | capital-loss=0,native-country=North-America,29149,29149,192,192,192,28957,0.993413,True,True,False,False,<=50K,<=50K,0.994792,0.994792,False,2,"{""<=50K"": 0.994792, "">50K"": 0.005208}"
10594,age=45 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=45 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,316,316,316,28833,0.989159,True,True,False,False,>50K,>50K,0.572785,0.572785,False,2,"{"">50K"": 0.572785, ""<=50K"": 0.427215}"
9430,age=27 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=27 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,182,182,182,28967,0.993756,True,True,False,False,<=50K,<=50K,0.807692,0.807692,False,2,"{""<=50K"": 0.807692, "">50K"": 0.192308}"
9918,age=30 | sex=Female | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=30 | sex=Female | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,85,85,85,29064,0.997084,True,True,False,False,<=50K,<=50K,0.952941,0.952941,False,2,"{""<=50K"": 0.952941, "">50K"": 0.047059}"
19286,age=32 | sex=Male | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=32 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,105,105,105,29044,0.996398,True,True,False,False,<=50K,<=50K,0.885714,0.885714,False,2,"{""<=50K"": 0.885714, "">50K"": 0.114286}"
22090,age=43 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=43 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,345,345,345,28804,0.988164,True,True,False,False,<=50K,<=50K,0.533333,0.533333,False,2,"{""<=50K"": 0.533333, "">50K"": 0.466667}"
3136,age=45 | sex=Male | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=45 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,73,73,73,29076,0.997496,True,True,False,False,<=50K,<=50K,0.712329,0.712329,False,2,"{""<=50K"": 0.712329, "">50K"": 0.287671}"
25018,age=39 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=39 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,317,317,317,28832,0.989125,True,True,False,False,<=50K,<=50K,0.526814,0.526814,False,2,"{""<=50K"": 0.526814, "">50K"": 0.473186}"
28691,age=28 | sex=Female | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=28 | sex=Female | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,110,110,110,29039,0.996226,True,True,False,False,<=50K,<=50K,0.963636,0.963636,False,2,"{""<=50K"": 0.963636, "">50K"": 0.036364}"
15883,age=21 | sex=Male | native-country=United-States | relationship=Own-child | capital-loss=0,native-country=United-States,age=21 | sex=Male | relationship=Own-child | capital-loss=0,native-country=North-America,29149,29149,214,214,214,28935,0.992658,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
6334,age=36 | sex=Male | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=36 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,112,112,112,29037,0.996158,True,True,False,False,>50K,<=50K,0.821429,0.178571,False,2,"{""<=50K"": 0.821429, "">50K"": 0.178571}"
20299,age=17 | sex=Female | native-country=United-States | relationship=Own-child | capital-loss=0,native-country=United-States,age=17 | sex=Female | relationship=Own-child | capital-loss=0,native-country=North-America,29149,29149,158,158,158,28991,0.99458,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
11235,age=35 | sex=Female | native-country=United-States | relationship=Unmarried | capital-loss=0,native-country=United-States,age=35 | sex=Female | relationship=Unmarried | capital-loss=0,native-country=North-America,29149,29149,81,81,81,29068,0.997221,True,True,False,False,<=50K,<=50K,0.950617,0.950617,False,2,"{""<=50K"": 0.950617, "">50K"": 0.049383}"
31489,age=28 | sex=Female | native-country=United-States | relationship=Wife | capital-loss=0,native-country=United-States,age=28 | sex=Female | relationship=Wife | capital-loss=0,native-country=North-America,29149,29149,41,41,41,29108,0.998593,True,True,False,False,>50K,<=50K,0.512195,0.487805,False,2,"{""<=50K"": 0.512195, "">50K"": 0.487805}"
22700,age=31 | sex=Male | native-country=Italy | relationship=Husband | capital-loss=0,native-country=Italy,age=31 | sex=Male | relationship=Husband | capital-loss=0,native-country=Western-Europe,372,372,3,3,3,369,0.991935,True,True,False,False,<=50K,>50K,0.666667,0.333333,False,2,"{"">50K"": 0.666667, ""<=50K"": 0.333333}"
25013,age=33 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=33 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,317,317,317,28832,0.989125,True,True,False,False,<=50K,<=50K,0.643533,0.643533,False,2,"{""<=50K"": 0.643533, "">50K"": 0.356467}"
24343,age=55 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=55 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,200,200,200,28949,0.993139,True,True,False,False,<=50K,>50K,0.505,0.495,False,2,"{"">50K"": 0.505, ""<=50K"": 0.495}"
22762,age=31 | sex=Female | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=31 | sex=Female | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,90,90,90,29059,0.996912,True,True,False,False,>50K,<=50K,0.911111,0.088889,False,2,"{""<=50K"": 0.911111, "">50K"": 0.088889}"
26041,age=18 | sex=Female | native-country=United-States | relationship=Own-child | capital-loss=0,native-country=United-States,age=18 | sex=Female | relationship=Own-child | capital-loss=0,native-country=North-America,29149,29149,204,204,204,28945,0.993001,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
21263,age=60 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=60 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,173,173,173,28976,0.994065,True,True,False,False,<=50K,<=50K,0.624277,0.624277,False,2,"{""<=50K"": 0.624277, "">50K"": 0.375723}"
18739,age=53 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=53 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,215,215,215,28934,0.992624,True,True,False,False,>50K,>50K,0.539535,0.539535,False,2,"{"">50K"": 0.539535, ""<=50K"": 0.460465}"
10463,age=41 | sex=Female | native-country=United-States | relationship=Unmarried | capital-loss=0,native-country=United-States,age=41 | sex=Female | relationship=Unmarried | capital-loss=0,native-country=North-America,29149,29149,77,77,77,29072,0.997358,True,True,False,False,<=50K,<=50K,0.935065,0.935065,False,2,"{""<=50K"": 0.935065, "">50K"": 0.064935}"
16770,age=26 | sex=Male | native-country=United-States | relationship=Other-relative | capital-loss=0,native-country=United-States,age=26 | sex=Male | relationship=Other-relative | capital-loss=0,native-country=North-America,29149,29149,22,22,22,29127,0.999245,True,True,False,False,<=50K,<=50K,0.954545,0.954545,False,2,"{""<=50K"": 0.954545, "">50K"": 0.045455}"
10663,age=48 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=48 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,247,247,247,28902,0.991526,True,True,False,False,<=50K,>50K,0.554656,0.445344,False,2,"{"">50K"": 0.554656, ""<=50K"": 0.445344}"
27112,age=48 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=48 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,247,247,247,28902,0.991526,True,True,False,False,>50K,>50K,0.554656,0.554656,False,2,"{"">50K"": 0.554656, ""<=50K"": 0.445344}"
4781,age=39 | sex=Male | native-country=United-States | relationship=Own-child | capital-loss=0,native-country=United-States,age=39 | sex=Male | relationship=Own-child | capital-loss=0,native-country=North-America,29149,29149,24,24,24,29125,0.999177,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
20980,age=30 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=30 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,273,273,273,28876,0.990634,True,True,False,False,>50K,<=50K,0.648352,0.351648,False,2,"{""<=50K"": 0.648352, "">50K"": 0.351648}"
28716,age=56 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=56 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,174,174,174,28975,0.994031,True,True,False,False,<=50K,<=50K,0.522989,0.522989,False,2,"{""<=50K"": 0.522989, "">50K"": 0.477011}"
24209,age=60 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=60 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,173,173,173,28976,0.994065,True,True,False,False,>50K,<=50K,0.624277,0.375723,False,2,"{""<=50K"": 0.624277, "">50K"": 0.375723}"
16335,age=42 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=42 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,329,329,329,28820,0.988713,True,True,False,False,<=50K,<=50K,0.50152,0.50152,False,2,"{""<=50K"": 0.50152, "">50K"": 0.49848}"
30686,age=33 | sex=Female | native-country=United-States | relationship=Not-in-family | capital-loss=1617,native-country=United-States,age=33 | sex=Female | relationship=Not-in-family | capital-loss=1617,native-country=North-America,29149,29149,1,1,1,29148,0.999966,True,True,True,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
5422,age=39 | sex=Female | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=39 | sex=Female | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,60,60,60,29089,0.997942,True,True,False,False,<=50K,<=50K,0.85,0.85,False,2,"{""<=50K"": 0.85, "">50K"": 0.15}"
13393,age=23 | sex=Male | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=23 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,142,142,142,29007,0.995128,True,True,False,False,<=50K,<=50K,0.992958,0.992958,False,2,"{""<=50K"": 0.992958, "">50K"": 0.007042}"
282,age=34 | sex=Female | native-country=United-States | relationship=Unmarried | capital-loss=0,native-country=United-States,age=34 | sex=Female | relationship=Unmarried | capital-loss=0,native-country=North-America,29149,29149,77,77,77,29072,0.997358,True,True,False,False,<=50K,<=50K,0.987013,0.987013,False,2,"{""<=50K"": 0.987013, "">50K"": 0.012987}"
16923,age=41 | sex=Male | native-country=India | relationship=Husband | capital-loss=0,native-country=India,age=41 | sex=Male | relationship=Husband | capital-loss=0,native-country=South-Asia,78,78,2,2,2,76,0.974359,True,True,False,False,>50K,>50K,1.0,1.0,True,1,"{"">50K"": 1.0}"
21480,age=28 | sex=Male | native-country=United-States | relationship=Unmarried | capital-loss=0,native-country=United-States,age=28 | sex=Male | relationship=Unmarried | capital-loss=0,native-country=North-America,29149,29149,19,19,19,29130,0.999348,True,True,False,False,<=50K,<=50K,0.947368,0.947368,False,2,"{""<=50K"": 0.947368, "">50K"": 0.052632}"
28046,age=32 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=1672,native-country=United-States,age=32 | sex=Male | relationship=Husband | capital-loss=1672,native-country=North-America,29149,29149,2,2,2,29147,0.999931,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
21511,age=25 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=25 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,132,132,132,29017,0.995472,True,True,False,False,<=50K,<=50K,0.818182,0.818182,False,2,"{""<=50K"": 0.818182, "">50K"": 0.181818}"
22720,age=39 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=2415,native-country=United-States,age=39 | sex=Male | relationship=Husband | capital-loss=2415,native-country=North-America,29149,29149,4,4,4,29145,0.999863,True,True,False,False,>50K,>50K,1.0,1.0,True,1,"{"">50K"": 1.0}"
12640,age=36 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=36 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,346,346,346,28803,0.98813,True,True,False,False,<=50K,<=50K,0.552023,0.552023,False,2,"{""<=50K"": 0.552023, "">50K"": 0.447977}"
4265,age=32 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=32 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,306,306,306,28843,0.989502,True,True,False,False,>50K,<=50K,0.614379,0.385621,False,2,"{""<=50K"": 0.614379, "">50K"": 0.385621}"
14604,age=80 | sex=Female | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=80 | sex=Female | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,4,4,4,29145,0.999863,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
29254,age=59 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=59 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,177,177,177,28972,0.993928,True,True,False,False,<=50K,<=50K,0.502825,0.502825,False,2,"{""<=50K"": 0.502825, "">50K"": 0.497175}"
13112,age=60 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=60 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,173,173,173,28976,0.994065,True,True,False,False,>50K,<=50K,0.624277,0.375723,False,2,"{""<=50K"": 0.624277, "">50K"": 0.375723}"
28044,age=34 | sex=Male | native-country=? | relationship=Not-in-family | capital-loss=0,native-country=?,age=34 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=Unknown,496,496,4,4,4,492,0.991935,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
6948,age=60 | sex=Female | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=60 | sex=Female | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,37,37,37,29112,0.998731,True,True,False,False,>50K,<=50K,0.918919,0.081081,False,2,"{""<=50K"": 0.918919, "">50K"": 0.081081}"
29013,age=52 | sex=Female | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=52 | sex=Female | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,42,42,42,29107,0.998559,True,True,False,False,<=50K,<=50K,0.904762,0.904762,False,2,"{""<=50K"": 0.904762, "">50K"": 0.095238}"
4344,age=51 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=51 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,307,307,307,28842,0.989468,True,True,False,False,>50K,>50K,0.534202,0.534202,False,2,"{"">50K"": 0.534202, ""<=50K"": 0.465798}"
8396,age=45 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=45 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,316,316,316,28833,0.989159,True,True,False,False,<=50K,>50K,0.572785,0.427215,False,2,"{"">50K"": 0.572785, ""<=50K"": 0.427215}"
14256,age=20 | sex=Male | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=20 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,66,66,66,29083,0.997736,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
7305,age=45 | sex=Female | native-country=United-States | relationship=Wife | capital-loss=0,native-country=United-States,age=45 | sex=Female | relationship=Wife | capital-loss=0,native-country=North-America,29149,29149,23,23,23,29126,0.999211,True,True,False,False,>50K,<=50K,0.565217,0.434783,False,2,"{""<=50K"": 0.565217, "">50K"": 0.434783}"
17665,age=57 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=57 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,173,173,173,28976,0.994065,True,True,False,False,>50K,>50K,0.514451,0.514451,False,2,"{"">50K"": 0.514451, ""<=50K"": 0.485549}"
16970,age=46 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=46 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,318,318,318,28831,0.989091,True,True,False,False,>50K,>50K,0.597484,0.597484,False,2,"{"">50K"": 0.597484, ""<=50K"": 0.402516}"
15434,age=29 | sex=Female | native-country=United-States | relationship=Unmarried | capital-loss=0,native-country=United-States,age=29 | sex=Female | relationship=Unmarried | capital-loss=0,native-country=North-America,29149,29149,49,49,49,29100,0.998319,True,True,False,False,<=50K,<=50K,0.959184,0.959184,False,2,"{""<=50K"": 0.959184, "">50K"": 0.040816}"
14749,age=23 | sex=Male | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=23 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,142,142,142,29007,0.995128,True,True,False,False,<=50K,<=50K,0.992958,0.992958,False,2,"{""<=50K"": 0.992958, "">50K"": 0.007042}"
287,age=50 | sex=Male | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=50 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,55,55,55,29094,0.998113,True,True,False,False,<=50K,<=50K,0.745455,0.745455,False,2,"{""<=50K"": 0.745455, "">50K"": 0.254545}"
32006,age=24 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=24 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,113,113,113,29036,0.996123,True,True,False,False,<=50K,<=50K,0.884956,0.884956,False,2,"{""<=50K"": 0.884956, "">50K"": 0.115044}"
3798,age=30 | sex=Male | native-country=Guatemala | relationship=Other-relative | capital-loss=0,native-country=Guatemala,age=30 | sex=Male | relationship=Other-relative | capital-loss=0,native-country=Central-America,573,573,3,3,3,570,0.994764,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
15006,age=36 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=36 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,346,346,346,28803,0.98813,True,True,False,False,>50K,<=50K,0.552023,0.447977,False,2,"{""<=50K"": 0.552023, "">50K"": 0.447977}"
19072,age=43 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=43 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,345,345,345,28804,0.988164,True,True,False,False,>50K,<=50K,0.533333,0.466667,False,2,"{""<=50K"": 0.533333, "">50K"": 0.466667}"
16001,age=24 | sex=Male | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=24 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,147,147,147,29002,0.994957,True,True,False,False,<=50K,<=50K,0.972789,0.972789,False,2,"{""<=50K"": 0.972789, "">50K"": 0.027211}"
26075,age=25 | sex=Male | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=25 | sex=Male | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,142,142,142,29007,0.995128,True,True,False,False,<=50K,<=50K,0.93662,0.93662,False,2,"{""<=50K"": 0.93662, "">50K"": 0.06338}"
18220,age=43 | sex=Female | native-country=United-States | relationship=Unmarried | capital-loss=0,native-country=United-States,age=43 | sex=Female | relationship=Unmarried | capital-loss=0,native-country=North-America,29149,29149,71,71,71,29078,0.997564,True,True,False,False,<=50K,<=50K,0.873239,0.873239,False,2,"{""<=50K"": 0.873239, "">50K"": 0.126761}"
27766,age=30 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=30 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,273,273,273,28876,0.990634,True,True,False,False,<=50K,<=50K,0.648352,0.648352,False,2,"{""<=50K"": 0.648352, "">50K"": 0.351648}"
19446,age=35 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=35 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,342,342,342,28807,0.988267,True,True,False,False,<=50K,<=50K,0.654971,0.654971,False,2,"{""<=50K"": 0.654971, "">50K"": 0.345029}"
