record_id,age,sex,race,marital-status,native-country
22533,48,Male,White,Married-civ-spouse,Poland
22566,45,Male,White,Married-civ-spouse,United-States
22657,51,Male,White,Married-civ-spouse,United-States
22697,53,Male,White,Married-civ-spouse,United-States
22770,41,Female,White,Divorced,United-States
2286,41,Male,Asian-Pac-Islander,Married-civ-spouse,Taiwan
22994,41,Male,White,Married-civ-spouse,United-States
23002,38,Male,White,Married-civ-spouse,United-States
23011,47,Male,White,Never-married,United-States
23146,28,Female,White,Never-married,United-States
2320,40,Male,White,Never-married,United-States
23208,24,Male,White,Never-married,United-States
23215,55,Male,White,Married-civ-spouse,United-States
23294,63,Male,White,Never-married,United-States
23317,33,Male,White,Married-civ-spouse,United-States
23342,21,Female,Black,Never-married,United-States
23372,22,Male,White,Never-married,United-States
23421,64,Male,White,Married-civ-spouse,United-States
23440,22,Male,White,Never-married,?
23444,24,Male,White,Never-married,United-States
23582,30,Male,White,Married-civ-spouse,United-States
2361,26,Male,White,Married-civ-spouse,United-States
23638,47,Female,White,Married-civ-spouse,United-States
23643,47,Female,White,Divorced,United-States
23771,20,Male,White,Never-married,United-States
23842,38,Female,White,Divorced,United-States
23876,54,Male,White,Married-civ-spouse,United-States
23919,46,Female,White,Married-civ-spouse,United-States
23967,46,Female,White,Married-civ-spouse,United-States
24001,23,Male,White,Never-married,United-States
24103,58,Male,White,Married-civ-spouse,United-States
24138,56,Female,White,Widowed,United-States
24357,26,Female,White,Separated,United-States
24412,60,Female,White,Widowed,United-States
24418,23,Male,Black,Never-married,United-States
24479,35,Male,White,Separated,United-States
24601,57,Male,White,Married-civ-spouse,United-States
24615,47,Female,Black,Divorced,United-States
24625,42,Male,White,Married-civ-spouse,United-States
24641,54,Male,White,Married-civ-spouse,United-States
24659,62,Male,White,Married-civ-spouse,United-States
24668,36,Female,White,Divorced,United-States
24755,26,Male,White,Never-married,Mexico
2476,21,Male,White,Never-married,United-States
24836,30,Male,White,Married-civ-spouse,United-States
24850,48,Male,White,Married-civ-spouse,United-States
24924,69,Female,White,Widowed,United-States
24936,30,Male,White,Married-civ-spouse,United-States
2497,32,Male,White,Married-civ-spouse,United-States
25211,42,Male,White,Divorced,United-States
25336,54,Male,White,Married-civ-spouse,United-States
25358,32,Male,White,Married-civ-spouse,United-States
25412,47,Female,White,Divorced,United-States
25429,50,Male,White,Married-civ-spouse,United-States
25487,33,Male,White,Married-civ-spouse,United-States
25499,27,Male,White,Married-civ-spouse,United-States
25502,17,Female,Black,Never-married,United-States
25612,59,Male,White,Married-civ-spouse,United-States
2564,19,Male,Black,Never-married,United-States
25659,52,Male,Black,Widowed,United-States
25850,45,Male,Asian-Pac-Islander,Married-civ-spouse,United-States
25928,28,Female,White,Married-civ-spouse,United-States
26012,81,Female,White,Widowed,United-States
26084,59,Male,White,Never-married,United-States
26115,42,Female,White,Divorced,United-States
26162,25,Female,White,Separated,El-Salvador
2622,42,Male,Amer-Indian-Eskimo,Married-civ-spouse,United-States
26268,37,Female,White,Never-married,United-States
26405,64,Male,White,Married-civ-spouse,?
26426,37,Male,White,Married-civ-spouse,United-States
2649,28,Female,White,Married-civ-spouse,United-States
26509,45,Female,White,Divorced,United-States
26521,28,Male,White,Never-married,United-States
26546,62,Female,White,Separated,United-States
26627,30,Male,White,Married-civ-spouse,United-States
26686,25,Female,Asian-Pac-Islander,Never-married,United-States
26693,34,Male,Black,Married-civ-spouse,United-States
2678,31,Female,White,Never-married,United-States
26812,26,Male,White,Never-married,United-States
26929,41,Male,White,Married-civ-spouse,United-States
27043,45,Male,Black,Married-civ-spouse,United-States
27048,45,Female,White,Married-civ-spouse,United-States
27142,34,Male,White,Married-civ-spouse,United-States
27298,36,Female,Black,Divorced,United-States
2730,54,Female,Black,Married-civ-spouse,United-States
27302,33,Male,Black,Never-married,United-States
27385,42,Male,White,Divorced,Mexico
27423,27,Female,White,Never-married,United-States
27537,46,Male,White,Married-civ-spouse,United-States
27539,25,Female,White,Married-civ-spouse,United-States
27672,45,Male,White,Never-married,United-States
27726,24,Male,White,Married-civ-spouse,United-States
27825,44,Male,White,Married-civ-spouse,United-States
27844,61,Male,White,Married-civ-spouse,United-States
27942,27,Male,White,Married-civ-spouse,United-States
27958,31,Male,White,Never-married,United-States
28005,54,Female,White,Married-spouse-absent,United-States
28025,26,Male,Black,Never-married,United-States
2805,18,Male,White,Never-married,United-States
28143,68,Male,White,Married-civ-spouse,United-States
28156,21,Female,White,Never-married,United-States
28185,32,Male,White,Married-civ-spouse,United-States
28197,40,Male,White,Married-civ-spouse,Germany
28300,40,Male,White,Married-civ-spouse,United-States
28307,70,Male,White,Never-married,United-States
28329,25,Male,White,Married-civ-spouse,United-States
28382,20,Male,White,Never-married,United-States
28389,31,Male,White,Married-civ-spouse,United-States
28459,29,Female,White,Never-married,United-States
2847,26,Female,Black,Never-married,United-States
2848,36,Male,White,Married-civ-spouse,United-States
28550,43,Male,White,Married-civ-spouse,United-States
28553,25,Male,White,Married-civ-spouse,United-States
28622,57,Male,White,Married-civ-spouse,United-States
28623,33,Male,White,Never-married,United-States
2867,56,Female,White,Divorced,United-States
28670,32,Female,Black,Never-married,United-States
28681,54,Female,White,Divorced,United-States
28705,59,Female,White,Never-married,?
2874,38,Female,White,Married-civ-spouse,United-States
28747,34,Male,White,Married-civ-spouse,United-States
28771,32,Female,Black,Divorced,United-States
28788,45,Female,White,Divorced,United-States
28868,29,Male,Black,Married-civ-spouse,United-States
28908,46,Male,Amer-Indian-Eskimo,Divorced,United-States
29024,29,Female,White,Never-married,United-States
29044,46,Male,White,Married-civ-spouse,United-States
29119,73,Female,White,Widowed,United-States
29184,29,Male,Other,Never-married,Ecuador
29187,31,Female,White,Divorced,United-States
29250,33,Male,White,Divorced,United-States
29359,20,Female,White,Never-married,United-States
29376,35,Male,White,Never-married,United-States
29383,46,Male,White,Divorced,United-States
29481,18,Male,White,Never-married,United-States
29529,21,Female,White,Never-married,United-States
29595,41,Female,White,Divorced,United-States
29611,47,Male,White,Married-civ-spouse,United-States
29613,32,Female,White,Never-married,United-States
29623,51,Male,White,Divorced,United-States
29637,27,Male,White,Divorced,United-States
29816,19,Male,White,Never-married,United-States
29864,40,Male,Amer-Indian-Eskimo,Married-civ-spouse,United-States
29867,47,Female,White,Married-civ-spouse,United-States
30010,47,Male,White,Married-civ-spouse,?
30027,43,Male,White,Married-civ-spouse,United-States
30131,35,Female,White,Divorced,United-States
30137,26,Female,White,Never-married,United-States
30139,43,Male,White,Divorced,United-States
30155,37,Male,White,Married-civ-spouse,United-States
30196,22,Female,White,Never-married,United-States
30204,27,Male,White,Married-civ-spouse,United-States
30219,72,Male,White,Married-civ-spouse,United-States
30470,35,Male,White,Married-civ-spouse,United-States
30554,22,Female,White,Never-married,United-States
30581,37,Female,Black,Never-married,United-States
30634,21,Male,White,Never-married,Italy
30649,45,Male,White,Married-civ-spouse,United-States
30661,57,Male,White,Married-civ-spouse,United-States
30713,56,Female,White,Divorced,United-States
30841,37,Male,White,Married-civ-spouse,Cuba
31059,46,Male,White,Married-civ-spouse,United-States
31135,41,Male,White,Divorced,United-States
31155,31,Male,White,Married-civ-spouse,United-States
31168,27,Female,White,Married-civ-spouse,United-States
31183,20,Male,White,Never-married,United-States
31198,30,Male,White,Married-civ-spouse,United-States
3122,26,Female,White,Married-civ-spouse,United-States
31237,18,Female,White,Never-married,United-States
31264,28,Male,White,Never-married,United-States
31410,24,Male,White,Never-married,United-States
31706,29,Male,White,Married-civ-spouse,United-States
31718,34,Male,White,Never-married,United-States
31739,36,Female,White,Separated,United-States
31764,61,Male,White,Married-civ-spouse,United-States
31884,41,Male,White,Married-civ-spouse,United-States
31900,37,Male,White,Divorced,United-States
31903,35,Male,White,Married-civ-spouse,United-States
32003,51,Male,White,Married-civ-spouse,United-States
32027,46,Female,White,Divorced,United-States
32185,52,Male,White,Married-civ-spouse,United-States
32399,42,Male,White,Married-civ-spouse,United-States
32457,33,Male,Asian-Pac-Islander,Married-civ-spouse,United-States
32502,35,Male,White,Married-civ-spouse,United-States
32513,46,Female,White,Married-civ-spouse,United-States
32526,32,Male,White,Married-civ-spouse,United-States
32543,45,Female,White,Divorced,United-States
3263,31,Female,White,Never-married,United-States
3298,25,Female,Black,Never-married,United-States
3315,68,Female,White,Widowed,United-States
3383,40,Male,White,Married-civ-spouse,United-States
345,43,Male,White,Never-married,United-States
3517,47,Male,White,Married-civ-spouse,United-States
3580,63,Male,White,Married-civ-spouse,United-States
3594,59,Female,White,Married-civ-spouse,United-States
3673,39,Male,White,Married-civ-spouse,Germany
369,39,Female,White,Divorced,United-States
3707,41,Male,Amer-Indian-Eskimo,Married-civ-spouse,United-States
3725,18,Male,White,Never-married,United-States
3835,40,Female,White,Never-married,United-States
3929,46,Male,White,Married-civ-spouse,United-States
3964,39,Male,White,Married-civ-spouse,United-States
4034,21,Male,White,Never-married,United-States
408,28,Female,White,Married-civ-spouse,United-States
4229,41,Female,White,Married-civ-spouse,United-States
4235,26,Male,White,Never-married,United-States
4241,34,Male,White,Never-married,United-States
4273,72,Female,White,Widowed,United-States
4405,45,Male,White,Married-civ-spouse,?
4413,20,Female,White,Never-married,United-States
4449,56,Male,White,Divorced,United-States
4457,31,Male,Other,Divorced,United-States
4579,43,Female,White,Divorced,United-States
4641,58,Male,White,Married-civ-spouse,United-States
4845,36,Male,White,Married-civ-spouse,United-States
4884,26,Female,White,Never-married,United-States
4890,51,Male,White,Married-civ-spouse,United-States
4915,18,Male,White,Never-married,United-States
499,72,Male,White,Married-civ-spouse,United-States
5018,33,Male,White,Never-married,United-States
5038,55,Male,White,Married-civ-spouse,United-States
5107,25,Male,White,Never-married,United-States
5121,50,Male,White,Married-civ-spouse,United-States
5172,32,Female,White,Married-civ-spouse,United-States
5216,28,Male,White,Never-married,United-States
5337,47,Female,White,Divorced,United-States
5384,19,Female,Black,Never-married,United-States
5407,35,Female,White,Divorced,United-States
5422,39,Female,White,Never-married,United-States
5425,34,Male,White,Married-civ-spouse,United-States
5464,47,Female,Amer-Indian-Eskimo,Divorced,United-States
5576,45,Male,White,Never-married,United-States
5598,24,Male,White,Never-married,United-States
5667,30,Female,White,Never-married,United-States
573,37,Male,White,Married-civ-spouse,United-States
5777,26,Male,White,Married-civ-spouse,United-States
5803,27,Male,White,Divorced,United-States
6039,55,Female,White,Widowed,United-States
6067,22,Male,White,Married-civ-spouse,Mexico
6111,39,Male,White,Married-civ-spouse,United-States
6179,58,Male,White,Married-civ-spouse,United-States
6215,23,Male,White,Never-married,United-States
6267,18,Female,White,Never-married,United-States
6334,36,Male,White,Divorced,United-States
6419,40,Female,White,Married-civ-spouse,United-States
6438,33,Male,White,Married-civ-spouse,United-States
6528,63,Male,White,Married-civ-spouse,United-States
6720,48,Male,White,Married-civ-spouse,United-States
6741,31,Male,White,Divorced,United-States
6797,49,Female,White,Married-civ-spouse,United-States
6870,30,Female,White,Never-married,United-States
6888,17,Male,White,Never-married,United-States
6914,67,Female,White,Divorced,United-States
7251,18,Male,White,Never-married,United-States
7317,67,Male,White,Married-civ-spouse,United-States
7335,40,Female,White,Divorced,United-States
7375,39,Male,Amer-Indian-Eskimo,Never-married,United-States
7449,26,Female,White,Divorced,United-States
7468,54,Female,White,Married-civ-spouse,United-States
7542,24,Male,White,Never-married,United-States
7748,68,Female,White,Divorced,United-States
7827,29,Male,White,Divorced,United-States
7888,59,Male,White,Married-civ-spouse,United-States
8010,41,Male,White,Married-civ-spouse,United-States
8030,34,Male,White,Never-married,United-States
83,59,Male,White,Married-civ-spouse,United-States
8300,25,Female,White,Never-married,United-States
8372,33,Male,Black,Never-married,United-States
843,62,Female,White,Widowed,United-States
8471,38,Male,White,Married-civ-spouse,United-States
8574,28,Male,White,Never-married,United-States
8629,53,Female,White,Divorced,United-States
8696,33,Male,White,Married-civ-spouse,United-States
8815,34,Male,White,Never-married,United-States
8879,34,Male,White,Married-civ-spouse,United-States
8943,22,Female,Other,Never-married,United-States
8966,43,Male,White,Married-civ-spouse,United-States
9163,41,Female,White,Never-married,United-States
9226,42,Female,Amer-Indian-Eskimo,Widowed,United-States
9253,45,Female,White,Divorced,United-States
9295,36,Male,White,Never-married,United-States
9300,42,Female,Black,Separated,United-States
9433,55,Female,White,Widowed,United-States
9507,24,Male,White,Never-married,United-States
9655,17,Male,White,Never-married,United-States
9666,29,Female,White,Married-spouse-absent,El-Salvador
9704,46,Female,White,Never-married,United-States
9712,30,Male,White,Never-married,United-States
9779,42,Female,Black,Separated,Haiti
9826,33,Male,White,Married-civ-spouse,Iran
9987,67,Male,White,Married-civ-spouse,United-States
